context: Come in. response:	I feel bad for the people at Globe.
context: Then all six that were taken in, except Teppei Arashi, are missing.\Just like Teppei, the other designer children\can use the Machine Goodfellows to become Kiltgangs.\I think the fact that the Kiltgangs have entered their active phase\suggests that their preparations are complete.\Why don't they attack more frequently?\When Teppei became a Kiltgang,\Hana used the energy built up in the Blume. response:	Teppei says that
context: Just like Teppei, the other designer children\can use the Machine Goodfellows to become Kiltgangs.\I think the fact that the Kiltgangs have entered their active phase\suggests that their preparations are complete.\Why don't they attack more frequently?\When Teppei became a Kiltgang,\Hana used the energy built up in the Blume.\Teppei says that response:	the craft equivalent to the Kiltgang mothership is orbiting Uranus.
context: can use the Machine Goodfellows to become Kiltgangs.\I think the fact that the Kiltgangs have entered their active phase\suggests that their preparations are complete.\Why don't they attack more frequently?\When Teppei became a Kiltgang,\Hana used the energy built up in the Blume.\Teppei says that\the craft equivalent to the Kiltgang mothership is orbiting Uranus. response:	They've run out of energy, and can't move.
context: I think the fact that the Kiltgangs have entered their active phase\suggests that their preparations are complete.\Why don't they attack more frequently?\When Teppei became a Kiltgang,\Hana used the energy built up in the Blume.\Teppei says that\the craft equivalent to the Kiltgang mothership is orbiting Uranus.\They've run out of energy, and can't move. response:	So they're using the Machine Goodfellows
context: suggests that their preparations are complete.\Why don't they attack more frequently?\When Teppei became a Kiltgang,\Hana used the energy built up in the Blume.\Teppei says that\the craft equivalent to the Kiltgang mothership is orbiting Uranus.\They've run out of energy, and can't move.\So they're using the Machine Goodfellows response:	to get the energy they need from the people of Earth.
context: Why don't they attack more frequently?\When Teppei became a Kiltgang,\Hana used the energy built up in the Blume.\Teppei says that\the craft equivalent to the Kiltgang mothership is orbiting Uranus.\They've run out of energy, and can't move.\So they're using the Machine Goodfellows\to get the energy they need from the people of Earth. response:	The human libido... Orgone energy.
context: When Teppei became a Kiltgang,\Hana used the energy built up in the Blume.\Teppei says that\the craft equivalent to the Kiltgang mothership is orbiting Uranus.\They've run out of energy, and can't move.\So they're using the Machine Goodfellows\to get the energy they need from the people of Earth.\The human libido... Orgone energy. response:	Anyway, we won't notify HQ about this yet.
context: Hana used the energy built up in the Blume.\Teppei says that\the craft equivalent to the Kiltgang mothership is orbiting Uranus.\They've run out of energy, and can't move.\So they're using the Machine Goodfellows\to get the energy they need from the people of Earth.\The human libido... Orgone energy.\Anyway, we won't notify HQ about this yet. response:	If Salty Dog learns about the relationship between the Machine Goodfellows and the Kiltgangs,
context: Teppei says that\the craft equivalent to the Kiltgang mothership is orbiting Uranus.\They've run out of energy, and can't move.\So they're using the Machine Goodfellows\to get the energy they need from the people of Earth.\The human libido... Orgone energy.\Anyway, we won't notify HQ about this yet.\If Salty Dog learns about the relationship between the Machine Goodfellows and the Kiltgangs, response:	they might decide to detonate a nuclear bomb themselves
context: the craft equivalent to the Kiltgang mothership is orbiting Uranus.\They've run out of energy, and can't move.\So they're using the Machine Goodfellows\to get the energy they need from the people of Earth.\The human libido... Orgone energy.\Anyway, we won't notify HQ about this yet.\If Salty Dog learns about the relationship between the Machine Goodfellows and the Kiltgangs,\they might decide to detonate a nuclear bomb themselves response:	in Tokyo, where Macbeth has offices, and blame it on terrorists.
context: They've run out of energy, and can't move.\So they're using the Machine Goodfellows\to get the energy they need from the people of Earth.\The human libido... Orgone energy.\Anyway, we won't notify HQ about this yet.\If Salty Dog learns about the relationship between the Machine Goodfellows and the Kiltgangs,\they might decide to detonate a nuclear bomb themselves\in Tokyo, where Macbeth has offices, and blame it on terrorists. response:	And even if that saved the rest of humanity,
context: So they're using the Machine Goodfellows\to get the energy they need from the people of Earth.\The human libido... Orgone energy.\Anyway, we won't notify HQ about this yet.\If Salty Dog learns about the relationship between the Machine Goodfellows and the Kiltgangs,\they might decide to detonate a nuclear bomb themselves\in Tokyo, where Macbeth has offices, and blame it on terrorists.\And even if that saved the rest of humanity, response:	you wouldn't accept it, would you?
context: to get the energy they need from the people of Earth.\The human libido... Orgone energy.\Anyway, we won't notify HQ about this yet.\If Salty Dog learns about the relationship between the Machine Goodfellows and the Kiltgangs,\they might decide to detonate a nuclear bomb themselves\in Tokyo, where Macbeth has offices, and blame it on terrorists.\And even if that saved the rest of humanity,\you wouldn't accept it, would you? response:	Anyway,
context: The human libido... Orgone energy.\Anyway, we won't notify HQ about this yet.\If Salty Dog learns about the relationship between the Machine Goodfellows and the Kiltgangs,\they might decide to detonate a nuclear bomb themselves\in Tokyo, where Macbeth has offices, and blame it on terrorists.\And even if that saved the rest of humanity,\you wouldn't accept it, would you?\Anyway, response:	it's peculiar that word of such a huge danger hasn't leaked to the public yet.
context: Anyway, we won't notify HQ about this yet.\If Salty Dog learns about the relationship between the Machine Goodfellows and the Kiltgangs,\they might decide to detonate a nuclear bomb themselves\in Tokyo, where Macbeth has offices, and blame it on terrorists.\And even if that saved the rest of humanity,\you wouldn't accept it, would you?\Anyway,\it's peculiar that word of such a huge danger hasn't leaked to the public yet. response:	During the Cuban Missile Crisis...
context: If Salty Dog learns about the relationship between the Machine Goodfellows and the Kiltgangs,\they might decide to detonate a nuclear bomb themselves\in Tokyo, where Macbeth has offices, and blame it on terrorists.\And even if that saved the rest of humanity,\you wouldn't accept it, would you?\Anyway,\it's peculiar that word of such a huge danger hasn't leaked to the public yet.\During the Cuban Missile Crisis... response:	The media said that if the Russians
context: they might decide to detonate a nuclear bomb themselves\in Tokyo, where Macbeth has offices, and blame it on terrorists.\And even if that saved the rest of humanity,\you wouldn't accept it, would you?\Anyway,\it's peculiar that word of such a huge danger hasn't leaked to the public yet.\During the Cuban Missile Crisis...\The media said that if the Russians response:	brought nuclear missiles to Cuba, it would incite a full-scale nuclear war.
context: in Tokyo, where Macbeth has offices, and blame it on terrorists.\And even if that saved the rest of humanity,\you wouldn't accept it, would you?\Anyway,\it's peculiar that word of such a huge danger hasn't leaked to the public yet.\During the Cuban Missile Crisis...\The media said that if the Russians\brought nuclear missiles to Cuba, it would incite a full-scale nuclear war. response:	In the end, the Soviets gave in, and the danger was averted.
context: And even if that saved the rest of humanity,\you wouldn't accept it, would you?\Anyway,\it's peculiar that word of such a huge danger hasn't leaked to the public yet.\During the Cuban Missile Crisis...\The media said that if the Russians\brought nuclear missiles to Cuba, it would incite a full-scale nuclear war.\In the end, the Soviets gave in, and the danger was averted. response:	Publicly, at least.
context: you wouldn't accept it, would you?\Anyway,\it's peculiar that word of such a huge danger hasn't leaked to the public yet.\During the Cuban Missile Crisis...\The media said that if the Russians\brought nuclear missiles to Cuba, it would incite a full-scale nuclear war.\In the end, the Soviets gave in, and the danger was averted.\Publicly, at least. response:	In truth, however, the Soviets had already sent over one hundred missiles there.
context: Anyway,\it's peculiar that word of such a huge danger hasn't leaked to the public yet.\During the Cuban Missile Crisis...\The media said that if the Russians\brought nuclear missiles to Cuba, it would incite a full-scale nuclear war.\In the end, the Soviets gave in, and the danger was averted.\Publicly, at least.\In truth, however, the Soviets had already sent over one hundred missiles there. response:	Only the President and a few of his close advisors knew,
context: it's peculiar that word of such a huge danger hasn't leaked to the public yet.\During the Cuban Missile Crisis...\The media said that if the Russians\brought nuclear missiles to Cuba, it would incite a full-scale nuclear war.\In the end, the Soviets gave in, and the danger was averted.\Publicly, at least.\In truth, however, the Soviets had already sent over one hundred missiles there.\Only the President and a few of his close advisors knew, response:	and the truth wasn't revealed until thirty years after the Cold War ended.
context: During the Cuban Missile Crisis...\The media said that if the Russians\brought nuclear missiles to Cuba, it would incite a full-scale nuclear war.\In the end, the Soviets gave in, and the danger was averted.\Publicly, at least.\In truth, however, the Soviets had already sent over one hundred missiles there.\Only the President and a few of his close advisors knew,\and the truth wasn't revealed until thirty years after the Cold War ended. response:	It's strange that news of such a dire threat never leaked to the public.
context: The media said that if the Russians\brought nuclear missiles to Cuba, it would incite a full-scale nuclear war.\In the end, the Soviets gave in, and the danger was averted.\Publicly, at least.\In truth, however, the Soviets had already sent over one hundred missiles there.\Only the President and a few of his close advisors knew,\and the truth wasn't revealed until thirty years after the Cold War ended.\It's strange that news of such a dire threat never leaked to the public. response:	Why tell the public they might have only five minutes to live?
context: brought nuclear missiles to Cuba, it would incite a full-scale nuclear war.\In the end, the Soviets gave in, and the danger was averted.\Publicly, at least.\In truth, however, the Soviets had already sent over one hundred missiles there.\Only the President and a few of his close advisors knew,\and the truth wasn't revealed until thirty years after the Cold War ended.\It's strange that news of such a dire threat never leaked to the public.\Why tell the public they might have only five minutes to live? response:	If a thing is truly dangerous, it's kept secret.
context: In the end, the Soviets gave in, and the danger was averted.\Publicly, at least.\In truth, however, the Soviets had already sent over one hundred missiles there.\Only the President and a few of his close advisors knew,\and the truth wasn't revealed until thirty years after the Cold War ended.\It's strange that news of such a dire threat never leaked to the public.\Why tell the public they might have only five minutes to live?\If a thing is truly dangerous, it's kept secret. response:	Throughout history, that's happened many times.
context: Publicly, at least.\In truth, however, the Soviets had already sent over one hundred missiles there.\Only the President and a few of his close advisors knew,\and the truth wasn't revealed until thirty years after the Cold War ended.\It's strange that news of such a dire threat never leaked to the public.\Why tell the public they might have only five minutes to live?\If a thing is truly dangerous, it's kept secret.\Throughout history, that's happened many times. response:	Ta-da!
context: In truth, however, the Soviets had already sent over one hundred missiles there.\Only the President and a few of his close advisors knew,\and the truth wasn't revealed until thirty years after the Cold War ended.\It's strange that news of such a dire threat never leaked to the public.\Why tell the public they might have only five minutes to live?\If a thing is truly dangerous, it's kept secret.\Throughout history, that's happened many times.\Ta-da! response:	Snack time!
context: Only the President and a few of his close advisors knew,\and the truth wasn't revealed until thirty years after the Cold War ended.\It's strange that news of such a dire threat never leaked to the public.\Why tell the public they might have only five minutes to live?\If a thing is truly dangerous, it's kept secret.\Throughout history, that's happened many times.\Ta-da!\Snack time! response:	Watermelon again?
context: and the truth wasn't revealed until thirty years after the Cold War ended.\It's strange that news of such a dire threat never leaked to the public.\Why tell the public they might have only five minutes to live?\If a thing is truly dangerous, it's kept secret.\Throughout history, that's happened many times.\Ta-da!\Snack time!\Watermelon again? response:	Is that a problem?
context: It's strange that news of such a dire threat never leaked to the public.\Why tell the public they might have only five minutes to live?\If a thing is truly dangerous, it's kept secret.\Throughout history, that's happened many times.\Ta-da!\Snack time!\Watermelon again?\Is that a problem? response:	Not at all.
context: Why tell the public they might have only five minutes to live?\If a thing is truly dangerous, it's kept secret.\Throughout history, that's happened many times.\Ta-da!\Snack time!\Watermelon again?\Is that a problem?\Not at all. response:	Times like these won't continue for much longer.
context: If a thing is truly dangerous, it's kept secret.\Throughout history, that's happened many times.\Ta-da!\Snack time!\Watermelon again?\Is that a problem?\Not at all.\Times like these won't continue for much longer. response:	Pitz was saying that.
context: Throughout history, that's happened many times.\Ta-da!\Snack time!\Watermelon again?\Is that a problem?\Not at all.\Times like these won't continue for much longer.\Pitz was saying that. response:	It's nice you can talk to Pitz.
context: Ta-da!\Snack time!\Watermelon again?\Is that a problem?\Not at all.\Times like these won't continue for much longer.\Pitz was saying that.\It's nice you can talk to Pitz. response:	It makes you seem like a heroine.
context: Snack time!\Watermelon again?\Is that a problem?\Not at all.\Times like these won't continue for much longer.\Pitz was saying that.\It's nice you can talk to Pitz.\It makes you seem like a heroine. response:	If even a single Kiltgang makes it to Earth,
context: Watermelon again?\Is that a problem?\Not at all.\Times like these won't continue for much longer.\Pitz was saying that.\It's nice you can talk to Pitz.\It makes you seem like a heroine.\If even a single Kiltgang makes it to Earth, response:	it will drain all humanity of their libidos.
context: Is that a problem?\Not at all.\Times like these won't continue for much longer.\Pitz was saying that.\It's nice you can talk to Pitz.\It makes you seem like a heroine.\If even a single Kiltgang makes it to Earth,\it will drain all humanity of their libidos. response:	I think so, yeah...
context: Not at all.\Times like these won't continue for much longer.\Pitz was saying that.\It's nice you can talk to Pitz.\It makes you seem like a heroine.\If even a single Kiltgang makes it to Earth,\it will drain all humanity of their libidos.\I think so, yeah... response:	When I first sensed them,
context: Times like these won't continue for much longer.\Pitz was saying that.\It's nice you can talk to Pitz.\It makes you seem like a heroine.\If even a single Kiltgang makes it to Earth,\it will drain all humanity of their libidos.\I think so, yeah...\When I first sensed them, response:	I had this awful feeling.
context: Pitz was saying that.\It's nice you can talk to Pitz.\It makes you seem like a heroine.\If even a single Kiltgang makes it to Earth,\it will drain all humanity of their libidos.\I think so, yeah...\When I first sensed them,\I had this awful feeling. response:	Well, if we need him, we have Teppei.
context: It's nice you can talk to Pitz.\It makes you seem like a heroine.\If even a single Kiltgang makes it to Earth,\it will drain all humanity of their libidos.\I think so, yeah...\When I first sensed them,\I had this awful feeling.\Well, if we need him, we have Teppei. response:	To be honest, if I become a Kiltgang again, I don't know
context: It makes you seem like a heroine.\If even a single Kiltgang makes it to Earth,\it will drain all humanity of their libidos.\I think so, yeah...\When I first sensed them,\I had this awful feeling.\Well, if we need him, we have Teppei.\To be honest, if I become a Kiltgang again, I don't know response:	if I'll return to who I am now.
context: If even a single Kiltgang makes it to Earth,\it will drain all humanity of their libidos.\I think so, yeah...\When I first sensed them,\I had this awful feeling.\Well, if we need him, we have Teppei.\To be honest, if I become a Kiltgang again, I don't know\if I'll return to who I am now. response:	At any rate, we shouldn't underestimate them.
context: it will drain all humanity of their libidos.\I think so, yeah...\When I first sensed them,\I had this awful feeling.\Well, if we need him, we have Teppei.\To be honest, if I become a Kiltgang again, I don't know\if I'll return to who I am now.\At any rate, we shouldn't underestimate them. response:	Didn't the Planetary Gears try to make you fire the Livlaster
context: I think so, yeah...\When I first sensed them,\I had this awful feeling.\Well, if we need him, we have Teppei.\To be honest, if I become a Kiltgang again, I don't know\if I'll return to who I am now.\At any rate, we shouldn't underestimate them.\Didn't the Planetary Gears try to make you fire the Livlaster response:	because they wanted infinite energy, Hana?
context: When I first sensed them,\I had this awful feeling.\Well, if we need him, we have Teppei.\To be honest, if I become a Kiltgang again, I don't know\if I'll return to who I am now.\At any rate, we shouldn't underestimate them.\Didn't the Planetary Gears try to make you fire the Livlaster\because they wanted infinite energy, Hana? response:	Yeah.
context: I had this awful feeling.\Well, if we need him, we have Teppei.\To be honest, if I become a Kiltgang again, I don't know\if I'll return to who I am now.\At any rate, we shouldn't underestimate them.\Didn't the Planetary Gears try to make you fire the Livlaster\because they wanted infinite energy, Hana?\Yeah. response:	And none of them can fire the Livlaster?
context: Well, if we need him, we have Teppei.\To be honest, if I become a Kiltgang again, I don't know\if I'll return to who I am now.\At any rate, we shouldn't underestimate them.\Didn't the Planetary Gears try to make you fire the Livlaster\because they wanted infinite energy, Hana?\Yeah.\And none of them can fire the Livlaster? response:	Right.
context: To be honest, if I become a Kiltgang again, I don't know\if I'll return to who I am now.\At any rate, we shouldn't underestimate them.\Didn't the Planetary Gears try to make you fire the Livlaster\because they wanted infinite energy, Hana?\Yeah.\And none of them can fire the Livlaster?\Right. response:	You know,
context: if I'll return to who I am now.\At any rate, we shouldn't underestimate them.\Didn't the Planetary Gears try to make you fire the Livlaster\because they wanted infinite energy, Hana?\Yeah.\And none of them can fire the Livlaster?\Right.\You know, response:	we're pretty amazing, talking about this stuff while eating our watermelon.
context: At any rate, we shouldn't underestimate them.\Didn't the Planetary Gears try to make you fire the Livlaster\because they wanted infinite energy, Hana?\Yeah.\And none of them can fire the Livlaster?\Right.\You know,\we're pretty amazing, talking about this stuff while eating our watermelon. response:	We are, aren't we?
context: Didn't the Planetary Gears try to make you fire the Livlaster\because they wanted infinite energy, Hana?\Yeah.\And none of them can fire the Livlaster?\Right.\You know,\we're pretty amazing, talking about this stuff while eating our watermelon.\We are, aren't we? response:	And get this... I have melons, too.
context: because they wanted infinite energy, Hana?\Yeah.\And none of them can fire the Livlaster?\Right.\You know,\we're pretty amazing, talking about this stuff while eating our watermelon.\We are, aren't we?\And get this... I have melons, too. response:	Melons!
context: Yeah.\And none of them can fire the Livlaster?\Right.\You know,\we're pretty amazing, talking about this stuff while eating our watermelon.\We are, aren't we?\And get this... I have melons, too.\Melons! response:	Melons?
context: And none of them can fire the Livlaster?\Right.\You know,\we're pretty amazing, talking about this stuff while eating our watermelon.\We are, aren't we?\And get this... I have melons, too.\Melons!\Melons? response:	But the melons are for tomorrow.
context: Right.\You know,\we're pretty amazing, talking about this stuff while eating our watermelon.\We are, aren't we?\And get this... I have melons, too.\Melons!\Melons?\But the melons are for tomorrow. response:	I'm so disappointed.
context: You know,\we're pretty amazing, talking about this stuff while eating our watermelon.\We are, aren't we?\And get this... I have melons, too.\Melons!\Melons?\But the melons are for tomorrow.\I'm so disappointed. response:	I'm so disappointed.
context: we're pretty amazing, talking about this stuff while eating our watermelon.\We are, aren't we?\And get this... I have melons, too.\Melons!\Melons?\But the melons are for tomorrow.\I'm so disappointed.\I'm so disappointed. response:	Tomorrow, let's all eat together again.
context: We are, aren't we?\And get this... I have melons, too.\Melons!\Melons?\But the melons are for tomorrow.\I'm so disappointed.\I'm so disappointed.\Tomorrow, let's all eat together again. response:	For now, why not eat?
context: And get this... I have melons, too.\Melons!\Melons?\But the melons are for tomorrow.\I'm so disappointed.\I'm so disappointed.\Tomorrow, let's all eat together again.\For now, why not eat? response:	Melons...
context: Melons!\Melons?\But the melons are for tomorrow.\I'm so disappointed.\I'm so disappointed.\Tomorrow, let's all eat together again.\For now, why not eat?\Melons... response:	Pitz?
context: Melons?\But the melons are for tomorrow.\I'm so disappointed.\I'm so disappointed.\Tomorrow, let's all eat together again.\For now, why not eat?\Melons...\Pitz? response:	I saved the seeds, Pitz.
context: But the melons are for tomorrow.\I'm so disappointed.\I'm so disappointed.\Tomorrow, let's all eat together again.\For now, why not eat?\Melons...\Pitz?\I saved the seeds, Pitz. response:	What's wrong, Pitz?
context: I'm so disappointed.\I'm so disappointed.\Tomorrow, let's all eat together again.\For now, why not eat?\Melons...\Pitz?\I saved the seeds, Pitz.\What's wrong, Pitz? response:	The Kiltgang are going to act?
context: I'm so disappointed.\Tomorrow, let's all eat together again.\For now, why not eat?\Melons...\Pitz?\I saved the seeds, Pitz.\What's wrong, Pitz?\The Kiltgang are going to act? response:	Soon, he says.
context: Tomorrow, let's all eat together again.\For now, why not eat?\Melons...\Pitz?\I saved the seeds, Pitz.\What's wrong, Pitz?\The Kiltgang are going to act?\Soon, he says. response:	Who says?
context: For now, why not eat?\Melons...\Pitz?\I saved the seeds, Pitz.\What's wrong, Pitz?\The Kiltgang are going to act?\Soon, he says.\Who says? response:	Pitz.
context: Melons...\Pitz?\I saved the seeds, Pitz.\What's wrong, Pitz?\The Kiltgang are going to act?\Soon, he says.\Who says?\Pitz. response:	Th-The squirrel?
context: Pitz?\I saved the seeds, Pitz.\What's wrong, Pitz?\The Kiltgang are going to act?\Soon, he says.\Who says?\Pitz.\Th-The squirrel? response:	At the moment, there's no sign of any AEO or NEO.
context: I saved the seeds, Pitz.\What's wrong, Pitz?\The Kiltgang are going to act?\Soon, he says.\Who says?\Pitz.\Th-The squirrel?\At the moment, there's no sign of any AEO or NEO. response:	He says he knows the rough time and the location
context: What's wrong, Pitz?\The Kiltgang are going to act?\Soon, he says.\Who says?\Pitz.\Th-The squirrel?\At the moment, there's no sign of any AEO or NEO.\He says he knows the rough time and the location response:	where the Orgone energy will be used.
context: The Kiltgang are going to act?\Soon, he says.\Who says?\Pitz.\Th-The squirrel?\At the moment, there's no sign of any AEO or NEO.\He says he knows the rough time and the location\where the Orgone energy will be used. response:	Shall we request a nuclear strike on this area?
context: Soon, he says.\Who says?\Pitz.\Th-The squirrel?\At the moment, there's no sign of any AEO or NEO.\He says he knows the rough time and the location\where the Orgone energy will be used.\Shall we request a nuclear strike on this area? response:	They aren't there yet.
context: Who says?\Pitz.\Th-The squirrel?\At the moment, there's no sign of any AEO or NEO.\He says he knows the rough time and the location\where the Orgone energy will be used.\Shall we request a nuclear strike on this area?\They aren't there yet. response:	But they'll act tonight.
context: Pitz.\Th-The squirrel?\At the moment, there's no sign of any AEO or NEO.\He says he knows the rough time and the location\where the Orgone energy will be used.\Shall we request a nuclear strike on this area?\They aren't there yet.\But they'll act tonight. response:	Commander!
context: Th-The squirrel?\At the moment, there's no sign of any AEO or NEO.\He says he knows the rough time and the location\where the Orgone energy will be used.\Shall we request a nuclear strike on this area?\They aren't there yet.\But they'll act tonight.\Commander! response:	Daichi Manatsu is standing by in the Earth Engine's cockpit.
context: At the moment, there's no sign of any AEO or NEO.\He says he knows the rough time and the location\where the Orgone energy will be used.\Shall we request a nuclear strike on this area?\They aren't there yet.\But they'll act tonight.\Commander!\Daichi Manatsu is standing by in the Earth Engine's cockpit. response:	The Earth Engine is fixed now, isn't it?
context: He says he knows the rough time and the location\where the Orgone energy will be used.\Shall we request a nuclear strike on this area?\They aren't there yet.\But they'll act tonight.\Commander!\Daichi Manatsu is standing by in the Earth Engine's cockpit.\The Earth Engine is fixed now, isn't it? response:	What are you thinking, Daichi?
context: where the Orgone energy will be used.\Shall we request a nuclear strike on this area?\They aren't there yet.\But they'll act tonight.\Commander!\Daichi Manatsu is standing by in the Earth Engine's cockpit.\The Earth Engine is fixed now, isn't it?\What are you thinking, Daichi? response:	I learned the basic controls in the simulator.
context: Shall we request a nuclear strike on this area?\They aren't there yet.\But they'll act tonight.\Commander!\Daichi Manatsu is standing by in the Earth Engine's cockpit.\The Earth Engine is fixed now, isn't it?\What are you thinking, Daichi?\I learned the basic controls in the simulator. response:	Science Chief!
context: They aren't there yet.\But they'll act tonight.\Commander!\Daichi Manatsu is standing by in the Earth Engine's cockpit.\The Earth Engine is fixed now, isn't it?\What are you thinking, Daichi?\I learned the basic controls in the simulator.\Science Chief! response:	His Earth Driver training was ordered by HQ.
context: But they'll act tonight.\Commander!\Daichi Manatsu is standing by in the Earth Engine's cockpit.\The Earth Engine is fixed now, isn't it?\What are you thinking, Daichi?\I learned the basic controls in the simulator.\Science Chief!\His Earth Driver training was ordered by HQ. response:	He's been doing it for a while.
