context: Wow. response:	It looks delicious.
context: Hey!\Come on... it's not like he's a dog or a cat...\Ugh, so gross!\You don't have to look at it.\Will this really work?\Sayu?\Manaka-san?\Can we really catch him with this? response:	Yeah, probably.
context: Come on... it's not like he's a dog or a cat...\Ugh, so gross!\You don't have to look at it.\Will this really work?\Sayu?\Manaka-san?\Can we really catch him with this?\Yeah, probably. response:	What are you two doing?!
context: Ugh, so gross!\You don't have to look at it.\Will this really work?\Sayu?\Manaka-san?\Can we really catch him with this?\Yeah, probably.\What are you two doing?! response:	We're planting a porn magazine we found on the shore.
context: You don't have to look at it.\Will this really work?\Sayu?\Manaka-san?\Can we really catch him with this?\Yeah, probably.\What are you two doing?!\We're planting a porn magazine we found on the shore. response:	Uroko-sama likes perverted things, and...
context: Will this really work?\Sayu?\Manaka-san?\Can we really catch him with this?\Yeah, probably.\What are you two doing?!\We're planting a porn magazine we found on the shore.\Uroko-sama likes perverted things, and... response:	Ooh!
context: Sayu?\Manaka-san?\Can we really catch him with this?\Yeah, probably.\What are you two doing?!\We're planting a porn magazine we found on the shore.\Uroko-sama likes perverted things, and...\Ooh! response:	You made that for Uroko-sama?
context: Manaka-san?\Can we really catch him with this?\Yeah, probably.\What are you two doing?!\We're planting a porn magazine we found on the shore.\Uroko-sama likes perverted things, and...\Ooh!\You made that for Uroko-sama? response:	Yeah.
context: Can we really catch him with this?\Yeah, probably.\What are you two doing?!\We're planting a porn magazine we found on the shore.\Uroko-sama likes perverted things, and...\Ooh!\You made that for Uroko-sama?\Yeah. response:	It has bamboo shoots, carrots, and chicken.
context: Yeah, probably.\What are you two doing?!\We're planting a porn magazine we found on the shore.\Uroko-sama likes perverted things, and...\Ooh!\You made that for Uroko-sama?\Yeah.\It has bamboo shoots, carrots, and chicken. response:	I prepared them all separately.
context: What are you two doing?!\We're planting a porn magazine we found on the shore.\Uroko-sama likes perverted things, and...\Ooh!\You made that for Uroko-sama?\Yeah.\It has bamboo shoots, carrots, and chicken.\I prepared them all separately. response:	Let me taste it!
context: We're planting a porn magazine we found on the shore.\Uroko-sama likes perverted things, and...\Ooh!\You made that for Uroko-sama?\Yeah.\It has bamboo shoots, carrots, and chicken.\I prepared them all separately.\Let me taste it! response:	Wow, so good!
context: Uroko-sama likes perverted things, and...\Ooh!\You made that for Uroko-sama?\Yeah.\It has bamboo shoots, carrots, and chicken.\I prepared them all separately.\Let me taste it!\Wow, so good! response:	My grandma's is better, but...
context: Ooh!\You made that for Uroko-sama?\Yeah.\It has bamboo shoots, carrots, and chicken.\I prepared them all separately.\Let me taste it!\Wow, so good!\My grandma's is better, but... response:	I'll take one more.
context: You made that for Uroko-sama?\Yeah.\It has bamboo shoots, carrots, and chicken.\I prepared them all separately.\Let me taste it!\Wow, so good!\My grandma's is better, but...\I'll take one more. response:	Yay, it turned out good.
context: Yeah.\It has bamboo shoots, carrots, and chicken.\I prepared them all separately.\Let me taste it!\Wow, so good!\My grandma's is better, but...\I'll take one more.\Yay, it turned out good. response:	I wonder if Uroko-sama will come out if we leave this as well.
context: It has bamboo shoots, carrots, and chicken.\I prepared them all separately.\Let me taste it!\Wow, so good!\My grandma's is better, but...\I'll take one more.\Yay, it turned out good.\I wonder if Uroko-sama will come out if we leave this as well. response:	Yeah, totally.
context: I prepared them all separately.\Let me taste it!\Wow, so good!\My grandma's is better, but...\I'll take one more.\Yay, it turned out good.\I wonder if Uroko-sama will come out if we leave this as well.\Yeah, totally. response:	But he's not a dog or a cat...
context: Let me taste it!\Wow, so good!\My grandma's is better, but...\I'll take one more.\Yay, it turned out good.\I wonder if Uroko-sama will come out if we leave this as well.\Yeah, totally.\But he's not a dog or a cat... response:	But he totally eats things that have fallen on the floor.
context: Wow, so good!\My grandma's is better, but...\I'll take one more.\Yay, it turned out good.\I wonder if Uroko-sama will come out if we leave this as well.\Yeah, totally.\But he's not a dog or a cat...\But he totally eats things that have fallen on the floor. response:	Wow, that's awful!
context: My grandma's is better, but...\I'll take one more.\Yay, it turned out good.\I wonder if Uroko-sama will come out if we leave this as well.\Yeah, totally.\But he's not a dog or a cat...\But he totally eats things that have fallen on the floor.\Wow, that's awful! response:	What am I going to do if he has super hairy fingers and emits a pervy aura...
context: I'll take one more.\Yay, it turned out good.\I wonder if Uroko-sama will come out if we leave this as well.\Yeah, totally.\But he's not a dog or a cat...\But he totally eats things that have fallen on the floor.\Wow, that's awful!\What am I going to do if he has super hairy fingers and emits a pervy aura... response:	He doesn't have hairy fingers,
context: Yay, it turned out good.\I wonder if Uroko-sama will come out if we leave this as well.\Yeah, totally.\But he's not a dog or a cat...\But he totally eats things that have fallen on the floor.\Wow, that's awful!\What am I going to do if he has super hairy fingers and emits a pervy aura...\He doesn't have hairy fingers, response:	but he has scales on his chest and his arms.
context: I wonder if Uroko-sama will come out if we leave this as well.\Yeah, totally.\But he's not a dog or a cat...\But he totally eats things that have fallen on the floor.\Wow, that's awful!\What am I going to do if he has super hairy fingers and emits a pervy aura...\He doesn't have hairy fingers,\but he has scales on his chest and his arms. response:	Well, I guess they don't call him Uroko-sama for nothing.
context: Yeah, totally.\But he's not a dog or a cat...\But he totally eats things that have fallen on the floor.\Wow, that's awful!\What am I going to do if he has super hairy fingers and emits a pervy aura...\He doesn't have hairy fingers,\but he has scales on his chest and his arms.\Well, I guess they don't call him Uroko-sama for nothing. response:	The thing you said you'd tell me after the Ofunehiki...
context: But he's not a dog or a cat...\But he totally eats things that have fallen on the floor.\Wow, that's awful!\What am I going to do if he has super hairy fingers and emits a pervy aura...\He doesn't have hairy fingers,\but he has scales on his chest and his arms.\Well, I guess they don't call him Uroko-sama for nothing.\The thing you said you'd tell me after the Ofunehiki... response:	I'll hear it now.
context: But he totally eats things that have fallen on the floor.\Wow, that's awful!\What am I going to do if he has super hairy fingers and emits a pervy aura...\He doesn't have hairy fingers,\but he has scales on his chest and his arms.\Well, I guess they don't call him Uroko-sama for nothing.\The thing you said you'd tell me after the Ofunehiki...\I'll hear it now. response:	What did you want to say?
context: Wow, that's awful!\What am I going to do if he has super hairy fingers and emits a pervy aura...\He doesn't have hairy fingers,\but he has scales on his chest and his arms.\Well, I guess they don't call him Uroko-sama for nothing.\The thing you said you'd tell me after the Ofunehiki...\I'll hear it now.\What did you want to say? response:	Is it about Tsumugu?
context: What am I going to do if he has super hairy fingers and emits a pervy aura...\He doesn't have hairy fingers,\but he has scales on his chest and his arms.\Well, I guess they don't call him Uroko-sama for nothing.\The thing you said you'd tell me after the Ofunehiki...\I'll hear it now.\What did you want to say?\Is it about Tsumugu? response:	Huh?
context: He doesn't have hairy fingers,\but he has scales on his chest and his arms.\Well, I guess they don't call him Uroko-sama for nothing.\The thing you said you'd tell me after the Ofunehiki...\I'll hear it now.\What did you want to say?\Is it about Tsumugu?\Huh? response:	Isn't it about Tsumugu?
context: but he has scales on his chest and his arms.\Well, I guess they don't call him Uroko-sama for nothing.\The thing you said you'd tell me after the Ofunehiki...\I'll hear it now.\What did you want to say?\Is it about Tsumugu?\Huh?\Isn't it about Tsumugu? response:	What are you talking about?
context: Well, I guess they don't call him Uroko-sama for nothing.\The thing you said you'd tell me after the Ofunehiki...\I'll hear it now.\What did you want to say?\Is it about Tsumugu?\Huh?\Isn't it about Tsumugu?\What are you talking about? response:	What are you staring at so blankly?
context: The thing you said you'd tell me after the Ofunehiki...\I'll hear it now.\What did you want to say?\Is it about Tsumugu?\Huh?\Isn't it about Tsumugu?\What are you talking about?\What are you staring at so blankly? response:	Nothing.
context: I'll hear it now.\What did you want to say?\Is it about Tsumugu?\Huh?\Isn't it about Tsumugu?\What are you talking about?\What are you staring at so blankly?\Nothing. response:	It's snowing...
context: What did you want to say?\Is it about Tsumugu?\Huh?\Isn't it about Tsumugu?\What are you talking about?\What are you staring at so blankly?\Nothing.\It's snowing... response:	Lately, the salt-flake snow has been falling more frequently.
context: Is it about Tsumugu?\Huh?\Isn't it about Tsumugu?\What are you talking about?\What are you staring at so blankly?\Nothing.\It's snowing...\Lately, the salt-flake snow has been falling more frequently. response:	And according to the news,
context: Huh?\Isn't it about Tsumugu?\What are you talking about?\What are you staring at so blankly?\Nothing.\It's snowing...\Lately, the salt-flake snow has been falling more frequently.\And according to the news, response:	it's now falling in towns and cities far from the sea as well.
context: Isn't it about Tsumugu?\What are you talking about?\What are you staring at so blankly?\Nothing.\It's snowing...\Lately, the salt-flake snow has been falling more frequently.\And according to the news,\it's now falling in towns and cities far from the sea as well. response:	I wonder where Uroko-sama is...
context: What are you talking about?\What are you staring at so blankly?\Nothing.\It's snowing...\Lately, the salt-flake snow has been falling more frequently.\And according to the news,\it's now falling in towns and cities far from the sea as well.\I wonder where Uroko-sama is... response:	I guess searching aimlessly won't work.
context: What are you staring at so blankly?\Nothing.\It's snowing...\Lately, the salt-flake snow has been falling more frequently.\And according to the news,\it's now falling in towns and cities far from the sea as well.\I wonder where Uroko-sama is...\I guess searching aimlessly won't work. response:	Is there somewhere on the surface that's connected to the Sea God?
context: Nothing.\It's snowing...\Lately, the salt-flake snow has been falling more frequently.\And according to the news,\it's now falling in towns and cities far from the sea as well.\I wonder where Uroko-sama is...\I guess searching aimlessly won't work.\Is there somewhere on the surface that's connected to the Sea God? response:	Huh? Um...
context: It's snowing...\Lately, the salt-flake snow has been falling more frequently.\And according to the news,\it's now falling in towns and cities far from the sea as well.\I wonder where Uroko-sama is...\I guess searching aimlessly won't work.\Is there somewhere on the surface that's connected to the Sea God?\Huh? Um... response:	No idea.
context: Lately, the salt-flake snow has been falling more frequently.\And according to the news,\it's now falling in towns and cities far from the sea as well.\I wonder where Uroko-sama is...\I guess searching aimlessly won't work.\Is there somewhere on the surface that's connected to the Sea God?\Huh? Um...\No idea. response:	Do you know anywhere, Miuna?
context: And according to the news,\it's now falling in towns and cities far from the sea as well.\I wonder where Uroko-sama is...\I guess searching aimlessly won't work.\Is there somewhere on the surface that's connected to the Sea God?\Huh? Um...\No idea.\Do you know anywhere, Miuna? response:	What?
context: it's now falling in towns and cities far from the sea as well.\I wonder where Uroko-sama is...\I guess searching aimlessly won't work.\Is there somewhere on the surface that's connected to the Sea God?\Huh? Um...\No idea.\Do you know anywhere, Miuna?\What? response:	Oh...
context: I wonder where Uroko-sama is...\I guess searching aimlessly won't work.\Is there somewhere on the surface that's connected to the Sea God?\Huh? Um...\No idea.\Do you know anywhere, Miuna?\What?\Oh... response:	I know there's some old shrine, but...
context: I guess searching aimlessly won't work.\Is there somewhere on the surface that's connected to the Sea God?\Huh? Um...\No idea.\Do you know anywhere, Miuna?\What?\Oh...\I know there's some old shrine, but... response:	You're going back to the university, right?
context: Is there somewhere on the surface that's connected to the Sea God?\Huh? Um...\No idea.\Do you know anywhere, Miuna?\What?\Oh...\I know there's some old shrine, but...\You're going back to the university, right? response:	Where is that?
context: Huh? Um...\No idea.\Do you know anywhere, Miuna?\What?\Oh...\I know there's some old shrine, but...\You're going back to the university, right?\Where is that? response:	Are you sure you're okay doing this?
context: No idea.\Do you know anywhere, Miuna?\What?\Oh...\I know there's some old shrine, but...\You're going back to the university, right?\Where is that?\Are you sure you're okay doing this? response:	South of the beach.
context: Do you know anywhere, Miuna?\What?\Oh...\I know there's some old shrine, but...\You're going back to the university, right?\Where is that?\Are you sure you're okay doing this?\South of the beach. response:	But it's sort of barren...
context: What?\Oh...\I know there's some old shrine, but...\You're going back to the university, right?\Where is that?\Are you sure you're okay doing this?\South of the beach.\But it's sort of barren... response:	Finding Uroko-sama is part of our research, too.
context: Oh...\I know there's some old shrine, but...\You're going back to the university, right?\Where is that?\Are you sure you're okay doing this?\South of the beach.\But it's sort of barren...\Finding Uroko-sama is part of our research, too. response:	Is that place even related to the Sea God, though?
context: I know there's some old shrine, but...\You're going back to the university, right?\Where is that?\Are you sure you're okay doing this?\South of the beach.\But it's sort of barren...\Finding Uroko-sama is part of our research, too.\Is that place even related to the Sea God, though? response:	It sounds like a fart.
context: You're going back to the university, right?\Where is that?\Are you sure you're okay doing this?\South of the beach.\But it's sort of barren...\Finding Uroko-sama is part of our research, too.\Is that place even related to the Sea God, though?\It sounds like a fart. response:	Yours was like that too.
context: Where is that?\Are you sure you're okay doing this?\South of the beach.\But it's sort of barren...\Finding Uroko-sama is part of our research, too.\Is that place even related to the Sea God, though?\It sounds like a fart.\Yours was like that too. response:	You totally hated it when it was on your knee.
context: Are you sure you're okay doing this?\South of the beach.\But it's sort of barren...\Finding Uroko-sama is part of our research, too.\Is that place even related to the Sea God, though?\It sounds like a fart.\Yours was like that too.\You totally hated it when it was on your knee. response:	That's true.
context: South of the beach.\But it's sort of barren...\Finding Uroko-sama is part of our research, too.\Is that place even related to the Sea God, though?\It sounds like a fart.\Yours was like that too.\You totally hated it when it was on your knee.\That's true. response:	I wonder if it's hungry.
context: But it's sort of barren...\Finding Uroko-sama is part of our research, too.\Is that place even related to the Sea God, though?\It sounds like a fart.\Yours was like that too.\You totally hated it when it was on your knee.\That's true.\I wonder if it's hungry. response:	I'm gonna give it some food.
context: Finding Uroko-sama is part of our research, too.\Is that place even related to the Sea God, though?\It sounds like a fart.\Yours was like that too.\You totally hated it when it was on your knee.\That's true.\I wonder if it's hungry.\I'm gonna give it some food. response:	Food? It eats?
context: Is that place even related to the Sea God, though?\It sounds like a fart.\Yours was like that too.\You totally hated it when it was on your knee.\That's true.\I wonder if it's hungry.\I'm gonna give it some food.\Food? It eats? response:	It does. Wanna watch?
context: It sounds like a fart.\Yours was like that too.\You totally hated it when it was on your knee.\That's true.\I wonder if it's hungry.\I'm gonna give it some food.\Food? It eats?\It does. Wanna watch? response:	Gross!
context: Yours was like that too.\You totally hated it when it was on your knee.\That's true.\I wonder if it's hungry.\I'm gonna give it some food.\Food? It eats?\It does. Wanna watch?\Gross! response:	I wanna see!
context: You totally hated it when it was on your knee.\That's true.\I wonder if it's hungry.\I'm gonna give it some food.\Food? It eats?\It does. Wanna watch?\Gross!\I wanna see! response:	Oh, Sayu?
context: That's true.\I wonder if it's hungry.\I'm gonna give it some food.\Food? It eats?\It does. Wanna watch?\Gross!\I wanna see!\Oh, Sayu? response:	Why don't we take a break?
context: I wonder if it's hungry.\I'm gonna give it some food.\Food? It eats?\It does. Wanna watch?\Gross!\I wanna see!\Oh, Sayu?\Why don't we take a break? response:	I'll go prepare some tea.
context: I'm gonna give it some food.\Food? It eats?\It does. Wanna watch?\Gross!\I wanna see!\Oh, Sayu?\Why don't we take a break?\I'll go prepare some tea. response:	I'll help.
context: Food? It eats?\It does. Wanna watch?\Gross!\I wanna see!\Oh, Sayu?\Why don't we take a break?\I'll go prepare some tea.\I'll help. response:	Whoa, it's really coming down!
context: It does. Wanna watch?\Gross!\I wanna see!\Oh, Sayu?\Why don't we take a break?\I'll go prepare some tea.\I'll help.\Whoa, it's really coming down! response:	I wonder if Uroko-sama ate some of the stew.
context: Gross!\I wanna see!\Oh, Sayu?\Why don't we take a break?\I'll go prepare some tea.\I'll help.\Whoa, it's really coming down!\I wonder if Uroko-sama ate some of the stew. response:	Um, you had a fish appear on you, too, Manaka-san?
context: I wanna see!\Oh, Sayu?\Why don't we take a break?\I'll go prepare some tea.\I'll help.\Whoa, it's really coming down!\I wonder if Uroko-sama ate some of the stew.\Um, you had a fish appear on you, too, Manaka-san? response:	Yeah, I was totally surprised!
context: Oh, Sayu?\Why don't we take a break?\I'll go prepare some tea.\I'll help.\Whoa, it's really coming down!\I wonder if Uroko-sama ate some of the stew.\Um, you had a fish appear on you, too, Manaka-san?\Yeah, I was totally surprised! response:	After it was gone, you lied and still said it was there.
context: Why don't we take a break?\I'll go prepare some tea.\I'll help.\Whoa, it's really coming down!\I wonder if Uroko-sama ate some of the stew.\Um, you had a fish appear on you, too, Manaka-san?\Yeah, I was totally surprised!\After it was gone, you lied and still said it was there. response:	It's so funny!
context: I'll go prepare some tea.\I'll help.\Whoa, it's really coming down!\I wonder if Uroko-sama ate some of the stew.\Um, you had a fish appear on you, too, Manaka-san?\Yeah, I was totally surprised!\After it was gone, you lied and still said it was there.\It's so funny! response:	Whoa! It totally ate it!
context: I'll help.\Whoa, it's really coming down!\I wonder if Uroko-sama ate some of the stew.\Um, you had a fish appear on you, too, Manaka-san?\Yeah, I was totally surprised!\After it was gone, you lied and still said it was there.\It's so funny!\Whoa! It totally ate it! response:	Gross!
context: Whoa, it's really coming down!\I wonder if Uroko-sama ate some of the stew.\Um, you had a fish appear on you, too, Manaka-san?\Yeah, I was totally surprised!\After it was gone, you lied and still said it was there.\It's so funny!\Whoa! It totally ate it!\Gross! response:	It's like a frog! Here!
context: I wonder if Uroko-sama ate some of the stew.\Um, you had a fish appear on you, too, Manaka-san?\Yeah, I was totally surprised!\After it was gone, you lied and still said it was there.\It's so funny!\Whoa! It totally ate it!\Gross!\It's like a frog! Here! response:	I got those bean pastries from a patient.
context: Um, you had a fish appear on you, too, Manaka-san?\Yeah, I was totally surprised!\After it was gone, you lied and still said it was there.\It's so funny!\Whoa! It totally ate it!\Gross!\It's like a frog! Here!\I got those bean pastries from a patient. response:	This is so cool!
context: Yeah, I was totally surprised!\After it was gone, you lied and still said it was there.\It's so funny!\Whoa! It totally ate it!\Gross!\It's like a frog! Here!\I got those bean pastries from a patient.\This is so cool! response:	Huh. From a guy?
context: After it was gone, you lied and still said it was there.\It's so funny!\Whoa! It totally ate it!\Gross!\It's like a frog! Here!\I got those bean pastries from a patient.\This is so cool!\Huh. From a guy? response:	Oh, stop. What are you saying?
context: It's so funny!\Whoa! It totally ate it!\Gross!\It's like a frog! Here!\I got those bean pastries from a patient.\This is so cool!\Huh. From a guy?\Oh, stop. What are you saying? response:	You're so popular.
context: Whoa! It totally ate it!\Gross!\It's like a frog! Here!\I got those bean pastries from a patient.\This is so cool!\Huh. From a guy?\Oh, stop. What are you saying?\You're so popular. response:	Stupid. He's an old man.
context: Gross!\It's like a frog! Here!\I got those bean pastries from a patient.\This is so cool!\Huh. From a guy?\Oh, stop. What are you saying?\You're so popular.\Stupid. He's an old man. response:	I'm kinda jealous.
context: It's like a frog! Here!\I got those bean pastries from a patient.\This is so cool!\Huh. From a guy?\Oh, stop. What are you saying?\You're so popular.\Stupid. He's an old man.\I'm kinda jealous. response:	Maybe I should ask you out again.
context: I got those bean pastries from a patient.\This is so cool!\Huh. From a guy?\Oh, stop. What are you saying?\You're so popular.\Stupid. He's an old man.\I'm kinda jealous.\Maybe I should ask you out again. response:	Kidding.
context: This is so cool!\Huh. From a guy?\Oh, stop. What are you saying?\You're so popular.\Stupid. He's an old man.\I'm kinda jealous.\Maybe I should ask you out again.\Kidding. response:	Some time passed,
context: Huh. From a guy?\Oh, stop. What are you saying?\You're so popular.\Stupid. He's an old man.\I'm kinda jealous.\Maybe I should ask you out again.\Kidding.\Some time passed, response:	and Mihashi-sensei had to go back to the university earlier than expected.
context: Oh, stop. What are you saying?\You're so popular.\Stupid. He's an old man.\I'm kinda jealous.\Maybe I should ask you out again.\Kidding.\Some time passed,\and Mihashi-sensei had to go back to the university earlier than expected. response:	Because of the bad weather,
context: You're so popular.\Stupid. He's an old man.\I'm kinda jealous.\Maybe I should ask you out again.\Kidding.\Some time passed,\and Mihashi-sensei had to go back to the university earlier than expected.\Because of the bad weather, response:	the investigations were delayed, and since there were dangers,
context: Stupid. He's an old man.\I'm kinda jealous.\Maybe I should ask you out again.\Kidding.\Some time passed,\and Mihashi-sensei had to go back to the university earlier than expected.\Because of the bad weather,\the investigations were delayed, and since there were dangers, response:	he was called back to the university.
context: I'm kinda jealous.\Maybe I should ask you out again.\Kidding.\Some time passed,\and Mihashi-sensei had to go back to the university earlier than expected.\Because of the bad weather,\the investigations were delayed, and since there were dangers,\he was called back to the university. response:	Sorry about this.
context: Maybe I should ask you out again.\Kidding.\Some time passed,\and Mihashi-sensei had to go back to the university earlier than expected.\Because of the bad weather,\the investigations were delayed, and since there were dangers,\he was called back to the university.\Sorry about this. response:	This is from Chisaki.
context: Kidding.\Some time passed,\and Mihashi-sensei had to go back to the university earlier than expected.\Because of the bad weather,\the investigations were delayed, and since there were dangers,\he was called back to the university.\Sorry about this.\This is from Chisaki. response:	To eat on your trip.
context: Some time passed,\and Mihashi-sensei had to go back to the university earlier than expected.\Because of the bad weather,\the investigations were delayed, and since there were dangers,\he was called back to the university.\Sorry about this.\This is from Chisaki.\To eat on your trip. response:	That's great!
context: and Mihashi-sensei had to go back to the university earlier than expected.\Because of the bad weather,\the investigations were delayed, and since there were dangers,\he was called back to the university.\Sorry about this.\This is from Chisaki.\To eat on your trip.\That's great! response:	Thanks.
context: Because of the bad weather,\the investigations were delayed, and since there were dangers,\he was called back to the university.\Sorry about this.\This is from Chisaki.\To eat on your trip.\That's great!\Thanks. response:	I kept telling them that this is exactly
context: the investigations were delayed, and since there were dangers,\he was called back to the university.\Sorry about this.\This is from Chisaki.\To eat on your trip.\That's great!\Thanks.\I kept telling them that this is exactly response:	why we need to continue our investigations, but...
context: he was called back to the university.\Sorry about this.\This is from Chisaki.\To eat on your trip.\That's great!\Thanks.\I kept telling them that this is exactly\why we need to continue our investigations, but... response:	Is there that much salt-flake snow falling?
context: Sorry about this.\This is from Chisaki.\To eat on your trip.\That's great!\Thanks.\I kept telling them that this is exactly\why we need to continue our investigations, but...\Is there that much salt-flake snow falling? response:	It was on the news, wasn't it?
context: This is from Chisaki.\To eat on your trip.\That's great!\Thanks.\I kept telling them that this is exactly\why we need to continue our investigations, but...\Is there that much salt-flake snow falling?\It was on the news, wasn't it? response:	Even cities far inlands are getting heavy snow,
context: To eat on your trip.\That's great!\Thanks.\I kept telling them that this is exactly\why we need to continue our investigations, but...\Is there that much salt-flake snow falling?\It was on the news, wasn't it?\Even cities far inlands are getting heavy snow, response:	causing problems with the traffic network and power outages.
context: That's great!\Thanks.\I kept telling them that this is exactly\why we need to continue our investigations, but...\Is there that much salt-flake snow falling?\It was on the news, wasn't it?\Even cities far inlands are getting heavy snow,\causing problems with the traffic network and power outages. response:	Are you going back, too, Tsumugu-kun?
context: Thanks.\I kept telling them that this is exactly\why we need to continue our investigations, but...\Is there that much salt-flake snow falling?\It was on the news, wasn't it?\Even cities far inlands are getting heavy snow,\causing problems with the traffic network and power outages.\Are you going back, too, Tsumugu-kun? response:	No, I'm staying for a little longer.
context: I kept telling them that this is exactly\why we need to continue our investigations, but...\Is there that much salt-flake snow falling?\It was on the news, wasn't it?\Even cities far inlands are getting heavy snow,\causing problems with the traffic network and power outages.\Are you going back, too, Tsumugu-kun?\No, I'm staying for a little longer. response:	I see.
context: why we need to continue our investigations, but...\Is there that much salt-flake snow falling?\It was on the news, wasn't it?\Even cities far inlands are getting heavy snow,\causing problems with the traffic network and power outages.\Are you going back, too, Tsumugu-kun?\No, I'm staying for a little longer.\I see. response:	Well, there's still some time before the sun sets,
context: Is there that much salt-flake snow falling?\It was on the news, wasn't it?\Even cities far inlands are getting heavy snow,\causing problems with the traffic network and power outages.\Are you going back, too, Tsumugu-kun?\No, I'm staying for a little longer.\I see.\Well, there's still some time before the sun sets, response:	so I'm going to go look for that bastard, Uroko.
context: It was on the news, wasn't it?\Even cities far inlands are getting heavy snow,\causing problems with the traffic network and power outages.\Are you going back, too, Tsumugu-kun?\No, I'm staying for a little longer.\I see.\Well, there's still some time before the sun sets,\so I'm going to go look for that bastard, Uroko. response:	Oh, I'll go, too.
context: Even cities far inlands are getting heavy snow,\causing problems with the traffic network and power outages.\Are you going back, too, Tsumugu-kun?\No, I'm staying for a little longer.\I see.\Well, there's still some time before the sun sets,\so I'm going to go look for that bastard, Uroko.\Oh, I'll go, too. response:	Sayu, let's go, too.
