context: A Ki! There's another unknown Ki coming this way from over there! response:	Hide! Gohan! Bulma- san!
context: I'm going to go over there and see what's going on.\I'm going with you!\J- just a minute, now!\Are you planning on leaving me here all by myself!?\It's a lot safer staying here than moving around carelessly.\W- when you put it that way, you're right.\Okay then, I'll put up a house with my Capsules inside this cave and wait for you.\Okay, please do. response:	Come back soon, okay?
context: I'm going with you!\J- just a minute, now!\Are you planning on leaving me here all by myself!?\It's a lot safer staying here than moving around carelessly.\W- when you put it that way, you're right.\Okay then, I'll put up a house with my Capsules inside this cave and wait for you.\Okay, please do.\Come back soon, okay? response:	Remember, Gohan, keep your Ki as suppressed as you can, but hurry.
context: J- just a minute, now!\Are you planning on leaving me here all by myself!?\It's a lot safer staying here than moving around carelessly.\W- when you put it that way, you're right.\Okay then, I'll put up a house with my Capsules inside this cave and wait for you.\Okay, please do.\Come back soon, okay?\Remember, Gohan, keep your Ki as suppressed as you can, but hurry. response:	You can do that, right?
context: Are you planning on leaving me here all by myself!?\It's a lot safer staying here than moving around carelessly.\W- when you put it that way, you're right.\Okay then, I'll put up a house with my Capsules inside this cave and wait for you.\Okay, please do.\Come back soon, okay?\Remember, Gohan, keep your Ki as suppressed as you can, but hurry.\You can do that, right? response:	Yes.
context: It's a lot safer staying here than moving around carelessly.\W- when you put it that way, you're right.\Okay then, I'll put up a house with my Capsules inside this cave and wait for you.\Okay, please do.\Come back soon, okay?\Remember, Gohan, keep your Ki as suppressed as you can, but hurry.\You can do that, right?\Yes. response:	All right!
context: W- when you put it that way, you're right.\Okay then, I'll put up a house with my Capsules inside this cave and wait for you.\Okay, please do.\Come back soon, okay?\Remember, Gohan, keep your Ki as suppressed as you can, but hurry.\You can do that, right?\Yes.\All right! response:	They're gone. I wonder if they'll really be okay.
context: Okay then, I'll put up a house with my Capsules inside this cave and wait for you.\Okay, please do.\Come back soon, okay?\Remember, Gohan, keep your Ki as suppressed as you can, but hurry.\You can do that, right?\Yes.\All right!\They're gone. I wonder if they'll really be okay. response:	Oh, that's right! I need to contact Earth!
context: Okay, please do.\Come back soon, okay?\Remember, Gohan, keep your Ki as suppressed as you can, but hurry.\You can do that, right?\Yes.\All right!\They're gone. I wonder if they'll really be okay.\Oh, that's right! I need to contact Earth! response:	Oh, okay, okay, okay...
context: Come back soon, okay?\Remember, Gohan, keep your Ki as suppressed as you can, but hurry.\You can do that, right?\Yes.\All right!\They're gone. I wonder if they'll really be okay.\Oh, that's right! I need to contact Earth!\Oh, okay, okay, okay... response:	Hello? Oh, Bulma... Yeah, I was just heading to the hospital...
context: Remember, Gohan, keep your Ki as suppressed as you can, but hurry.\You can do that, right?\Yes.\All right!\They're gone. I wonder if they'll really be okay.\Oh, that's right! I need to contact Earth!\Oh, okay, okay, okay...\Hello? Oh, Bulma... Yeah, I was just heading to the hospital... response:	What?
context: You can do that, right?\Yes.\All right!\They're gone. I wonder if they'll really be okay.\Oh, that's right! I need to contact Earth!\Oh, okay, okay, okay...\Hello? Oh, Bulma... Yeah, I was just heading to the hospital...\What? response:	Doctor, can't I have your permission to train yet?
context: Yes.\All right!\They're gone. I wonder if they'll really be okay.\Oh, that's right! I need to contact Earth!\Oh, okay, okay, okay...\Hello? Oh, Bulma... Yeah, I was just heading to the hospital...\What?\Doctor, can't I have your permission to train yet? response:	Are you still goin' on about that!?
context: All right!\They're gone. I wonder if they'll really be okay.\Oh, that's right! I need to contact Earth!\Oh, okay, okay, okay...\Hello? Oh, Bulma... Yeah, I was just heading to the hospital...\What?\Doctor, can't I have your permission to train yet?\Are you still goin' on about that!? response:	I told you, bed rest is the best thing for you right now.
context: They're gone. I wonder if they'll really be okay.\Oh, that's right! I need to contact Earth!\Oh, okay, okay, okay...\Hello? Oh, Bulma... Yeah, I was just heading to the hospital...\What?\Doctor, can't I have your permission to train yet?\Are you still goin' on about that!?\I told you, bed rest is the best thing for you right now. response:	If I don't start training soon, my body is going to go soft.
context: Oh, that's right! I need to contact Earth!\Oh, okay, okay, okay...\Hello? Oh, Bulma... Yeah, I was just heading to the hospital...\What?\Doctor, can't I have your permission to train yet?\Are you still goin' on about that!?\I told you, bed rest is the best thing for you right now.\If I don't start training soon, my body is going to go soft. response:	How are you doing, Goku?
context: Oh, okay, okay, okay...\Hello? Oh, Bulma... Yeah, I was just heading to the hospital...\What?\Doctor, can't I have your permission to train yet?\Are you still goin' on about that!?\I told you, bed rest is the best thing for you right now.\If I don't start training soon, my body is going to go soft.\How are you doing, Goku? response:	Old Timer!
context: Hello? Oh, Bulma... Yeah, I was just heading to the hospital...\What?\Doctor, can't I have your permission to train yet?\Are you still goin' on about that!?\I told you, bed rest is the best thing for you right now.\If I don't start training soon, my body is going to go soft.\How are you doing, Goku?\Old Timer! response:	Oh, Doctor, hello there. Uh, is Chichi around, too?
context: What?\Doctor, can't I have your permission to train yet?\Are you still goin' on about that!?\I told you, bed rest is the best thing for you right now.\If I don't start training soon, my body is going to go soft.\How are you doing, Goku?\Old Timer!\Oh, Doctor, hello there. Uh, is Chichi around, too? response:	Does me bein' here make things inconvenient for you?
context: Doctor, can't I have your permission to train yet?\Are you still goin' on about that!?\I told you, bed rest is the best thing for you right now.\If I don't start training soon, my body is going to go soft.\How are you doing, Goku?\Old Timer!\Oh, Doctor, hello there. Uh, is Chichi around, too?\Does me bein' here make things inconvenient for you? response:	Oh, no, no, no, I wouldn't say that...
context: Are you still goin' on about that!?\I told you, bed rest is the best thing for you right now.\If I don't start training soon, my body is going to go soft.\How are you doing, Goku?\Old Timer!\Oh, Doctor, hello there. Uh, is Chichi around, too?\Does me bein' here make things inconvenient for you?\Oh, no, no, no, I wouldn't say that... response:	I'm goin' to go do some laundry.
context: I told you, bed rest is the best thing for you right now.\If I don't start training soon, my body is going to go soft.\How are you doing, Goku?\Old Timer!\Oh, Doctor, hello there. Uh, is Chichi around, too?\Does me bein' here make things inconvenient for you?\Oh, no, no, no, I wouldn't say that...\I'm goin' to go do some laundry. response:	Ah, thank goodness.
context: If I don't start training soon, my body is going to go soft.\How are you doing, Goku?\Old Timer!\Oh, Doctor, hello there. Uh, is Chichi around, too?\Does me bein' here make things inconvenient for you?\Oh, no, no, no, I wouldn't say that...\I'm goin' to go do some laundry.\Ah, thank goodness. response:	As it happens, I just received a message from Bulma and the others.
context: How are you doing, Goku?\Old Timer!\Oh, Doctor, hello there. Uh, is Chichi around, too?\Does me bein' here make things inconvenient for you?\Oh, no, no, no, I wouldn't say that...\I'm goin' to go do some laundry.\Ah, thank goodness.\As it happens, I just received a message from Bulma and the others. response:	Not again!
context: Old Timer!\Oh, Doctor, hello there. Uh, is Chichi around, too?\Does me bein' here make things inconvenient for you?\Oh, no, no, no, I wouldn't say that...\I'm goin' to go do some laundry.\Ah, thank goodness.\As it happens, I just received a message from Bulma and the others.\Not again! response:	Oh, my, no, what a naughty hand! Sorry'bout that.
context: Oh, Doctor, hello there. Uh, is Chichi around, too?\Does me bein' here make things inconvenient for you?\Oh, no, no, no, I wouldn't say that...\I'm goin' to go do some laundry.\Ah, thank goodness.\As it happens, I just received a message from Bulma and the others.\Not again!\Oh, my, no, what a naughty hand! Sorry'bout that. response:	So, are Gohan and them okay?
context: Does me bein' here make things inconvenient for you?\Oh, no, no, no, I wouldn't say that...\I'm goin' to go do some laundry.\Ah, thank goodness.\As it happens, I just received a message from Bulma and the others.\Not again!\Oh, my, no, what a naughty hand! Sorry'bout that.\So, are Gohan and them okay? response:	Ah, they did indeed arrive on Planet Namek safely. However,
context: Oh, no, no, no, I wouldn't say that...\I'm goin' to go do some laundry.\Ah, thank goodness.\As it happens, I just received a message from Bulma and the others.\Not again!\Oh, my, no, what a naughty hand! Sorry'bout that.\So, are Gohan and them okay?\Ah, they did indeed arrive on Planet Namek safely. However, response:	Gohan and the others weren't the only ones who went to Planet Namek.
context: I'm goin' to go do some laundry.\Ah, thank goodness.\As it happens, I just received a message from Bulma and the others.\Not again!\Oh, my, no, what a naughty hand! Sorry'bout that.\So, are Gohan and them okay?\Ah, they did indeed arrive on Planet Namek safely. However,\Gohan and the others weren't the only ones who went to Planet Namek. response:	That Saiyan, Vegeta, has gone there, too.
context: Ah, thank goodness.\As it happens, I just received a message from Bulma and the others.\Not again!\Oh, my, no, what a naughty hand! Sorry'bout that.\So, are Gohan and them okay?\Ah, they did indeed arrive on Planet Namek safely. However,\Gohan and the others weren't the only ones who went to Planet Namek.\That Saiyan, Vegeta, has gone there, too. response:	Vegeta!? He's there!?
context: As it happens, I just received a message from Bulma and the others.\Not again!\Oh, my, no, what a naughty hand! Sorry'bout that.\So, are Gohan and them okay?\Ah, they did indeed arrive on Planet Namek safely. However,\Gohan and the others weren't the only ones who went to Planet Namek.\That Saiyan, Vegeta, has gone there, too.\Vegeta!? He's there!? response:	That's not all. In addition to Vegeta,
context: Not again!\Oh, my, no, what a naughty hand! Sorry'bout that.\So, are Gohan and them okay?\Ah, they did indeed arrive on Planet Namek safely. However,\Gohan and the others weren't the only ones who went to Planet Namek.\That Saiyan, Vegeta, has gone there, too.\Vegeta!? He's there!?\That's not all. In addition to Vegeta, response:	there are dozens of his buddies there on Planet Namek.
context: Oh, my, no, what a naughty hand! Sorry'bout that.\So, are Gohan and them okay?\Ah, they did indeed arrive on Planet Namek safely. However,\Gohan and the others weren't the only ones who went to Planet Namek.\That Saiyan, Vegeta, has gone there, too.\Vegeta!? He's there!?\That's not all. In addition to Vegeta,\there are dozens of his buddies there on Planet Namek. response:	Those guys wrecked the spaceship they went there in,
context: So, are Gohan and them okay?\Ah, they did indeed arrive on Planet Namek safely. However,\Gohan and the others weren't the only ones who went to Planet Namek.\That Saiyan, Vegeta, has gone there, too.\Vegeta!? He's there!?\That's not all. In addition to Vegeta,\there are dozens of his buddies there on Planet Namek.\Those guys wrecked the spaceship they went there in, response:	so they can't get back to Earth.
context: Ah, they did indeed arrive on Planet Namek safely. However,\Gohan and the others weren't the only ones who went to Planet Namek.\That Saiyan, Vegeta, has gone there, too.\Vegeta!? He's there!?\That's not all. In addition to Vegeta,\there are dozens of his buddies there on Planet Namek.\Those guys wrecked the spaceship they went there in,\so they can't get back to Earth. response:	W- what!?
context: Gohan and the others weren't the only ones who went to Planet Namek.\That Saiyan, Vegeta, has gone there, too.\Vegeta!? He's there!?\That's not all. In addition to Vegeta,\there are dozens of his buddies there on Planet Namek.\Those guys wrecked the spaceship they went there in,\so they can't get back to Earth.\W- what!? response:	What's more, at least one of them has a Ki that's even greater than Vegeta's.
context: That Saiyan, Vegeta, has gone there, too.\Vegeta!? He's there!?\That's not all. In addition to Vegeta,\there are dozens of his buddies there on Planet Namek.\Those guys wrecked the spaceship they went there in,\so they can't get back to Earth.\W- what!?\What's more, at least one of them has a Ki that's even greater than Vegeta's. response:	That can't be... Someone with a Ki even greater than Vegeta?
context: Vegeta!? He's there!?\That's not all. In addition to Vegeta,\there are dozens of his buddies there on Planet Namek.\Those guys wrecked the spaceship they went there in,\so they can't get back to Earth.\W- what!?\What's more, at least one of them has a Ki that's even greater than Vegeta's.\That can't be... Someone with a Ki even greater than Vegeta? response:	Hey, you still alive?
context: That's not all. In addition to Vegeta,\there are dozens of his buddies there on Planet Namek.\Those guys wrecked the spaceship they went there in,\so they can't get back to Earth.\W- what!?\What's more, at least one of them has a Ki that's even greater than Vegeta's.\That can't be... Someone with a Ki even greater than Vegeta?\Hey, you still alive? response:	What's this? After I went to all the trouble of comin' here,
context: there are dozens of his buddies there on Planet Namek.\Those guys wrecked the spaceship they went there in,\so they can't get back to Earth.\W- what!?\What's more, at least one of them has a Ki that's even greater than Vegeta's.\That can't be... Someone with a Ki even greater than Vegeta?\Hey, you still alive?\What's this? After I went to all the trouble of comin' here, response:	ya don't look to happy to see me.
context: Those guys wrecked the spaceship they went there in,\so they can't get back to Earth.\W- what!?\What's more, at least one of them has a Ki that's even greater than Vegeta's.\That can't be... Someone with a Ki even greater than Vegeta?\Hey, you still alive?\What's this? After I went to all the trouble of comin' here,\ya don't look to happy to see me. response:	The senzu beans're finally ready. There's just a few of'em, though.
context: so they can't get back to Earth.\W- what!?\What's more, at least one of them has a Ki that's even greater than Vegeta's.\That can't be... Someone with a Ki even greater than Vegeta?\Hey, you still alive?\What's this? After I went to all the trouble of comin' here,\ya don't look to happy to see me.\The senzu beans're finally ready. There's just a few of'em, though. response:	But Karin- sama said to take all seven of'em.
context: W- what!?\What's more, at least one of them has a Ki that's even greater than Vegeta's.\That can't be... Someone with a Ki even greater than Vegeta?\Hey, you still alive?\What's this? After I went to all the trouble of comin' here,\ya don't look to happy to see me.\The senzu beans're finally ready. There's just a few of'em, though.\But Karin- sama said to take all seven of'em. response:	Wow, all right! That's what you call good timing! Hurry and let me have one!
context: What's more, at least one of them has a Ki that's even greater than Vegeta's.\That can't be... Someone with a Ki even greater than Vegeta?\Hey, you still alive?\What's this? After I went to all the trouble of comin' here,\ya don't look to happy to see me.\The senzu beans're finally ready. There's just a few of'em, though.\But Karin- sama said to take all seven of'em.\Wow, all right! That's what you call good timing! Hurry and let me have one! response:	N- now look, you, you can't go giving strange foods to patients!
context: That can't be... Someone with a Ki even greater than Vegeta?\Hey, you still alive?\What's this? After I went to all the trouble of comin' here,\ya don't look to happy to see me.\The senzu beans're finally ready. There's just a few of'em, though.\But Karin- sama said to take all seven of'em.\Wow, all right! That's what you call good timing! Hurry and let me have one!\N- now look, you, you can't go giving strange foods to patients! response:	Here ya go.
context: Hey, you still alive?\What's this? After I went to all the trouble of comin' here,\ya don't look to happy to see me.\The senzu beans're finally ready. There's just a few of'em, though.\But Karin- sama said to take all seven of'em.\Wow, all right! That's what you call good timing! Hurry and let me have one!\N- now look, you, you can't go giving strange foods to patients!\Here ya go. response:	I've been waiting for this moment!
context: What's this? After I went to all the trouble of comin' here,\ya don't look to happy to see me.\The senzu beans're finally ready. There's just a few of'em, though.\But Karin- sama said to take all seven of'em.\Wow, all right! That's what you call good timing! Hurry and let me have one!\N- now look, you, you can't go giving strange foods to patients!\Here ya go.\I've been waiting for this moment! response:	Here it is, here it is. Kaio- sama sent this new gi to me for just this day.
context: ya don't look to happy to see me.\The senzu beans're finally ready. There's just a few of'em, though.\But Karin- sama said to take all seven of'em.\Wow, all right! That's what you call good timing! Hurry and let me have one!\N- now look, you, you can't go giving strange foods to patients!\Here ya go.\I've been waiting for this moment!\Here it is, here it is. Kaio- sama sent this new gi to me for just this day. response:	All right! I'm off to Planet Namek!
context: The senzu beans're finally ready. There's just a few of'em, though.\But Karin- sama said to take all seven of'em.\Wow, all right! That's what you call good timing! Hurry and let me have one!\N- now look, you, you can't go giving strange foods to patients!\Here ya go.\I've been waiting for this moment!\Here it is, here it is. Kaio- sama sent this new gi to me for just this day.\All right! I'm off to Planet Namek! response:	Oh, thanks. I'm taking the rest of the senzu with me.
context: But Karin- sama said to take all seven of'em.\Wow, all right! That's what you call good timing! Hurry and let me have one!\N- now look, you, you can't go giving strange foods to patients!\Here ya go.\I've been waiting for this moment!\Here it is, here it is. Kaio- sama sent this new gi to me for just this day.\All right! I'm off to Planet Namek!\Oh, thanks. I'm taking the rest of the senzu with me. response:	H- how are you planning to get to Planet Namek?
