context: Why did Kyousuke say that? response:	I won't lead the Little Busters from now on.
context: Wh-What's with that jacket?\Oh, I made this Little Busters jacket myself.\Huh?!\You made it yourself?!\Even the embroidery?!\Creepy.\You made this logo yourself too?\Yeah. response:	It took me all night.
context: Oh, I made this Little Busters jacket myself.\Huh?!\You made it yourself?!\Even the embroidery?!\Creepy.\You made this logo yourself too?\Yeah.\It took me all night. response:	What do you think?
context: Huh?!\You made it yourself?!\Even the embroidery?!\Creepy.\You made this logo yourself too?\Yeah.\It took me all night.\What do you think? response:	I'm not sure what to think.
context: You made it yourself?!\Even the embroidery?!\Creepy.\You made this logo yourself too?\Yeah.\It took me all night.\What do you think?\I'm not sure what to think. response:	I'm honestly feeling really happy right now.
context: Even the embroidery?!\Creepy.\You made this logo yourself too?\Yeah.\It took me all night.\What do you think?\I'm not sure what to think.\I'm honestly feeling really happy right now. response:	Let's go!
context: Creepy.\You made this logo yourself too?\Yeah.\It took me all night.\What do you think?\I'm not sure what to think.\I'm honestly feeling really happy right now.\Let's go! response:	Time for some baseball! Time for morning practice!
context: You made this logo yourself too?\Yeah.\It took me all night.\What do you think?\I'm not sure what to think.\I'm honestly feeling really happy right now.\Let's go!\Time for some baseball! Time for morning practice! response:	Kengo's turned into an idiot.
context: Yeah.\It took me all night.\What do you think?\I'm not sure what to think.\I'm honestly feeling really happy right now.\Let's go!\Time for some baseball! Time for morning practice!\Kengo's turned into an idiot. response:	What the heck's going on?
context: It took me all night.\What do you think?\I'm not sure what to think.\I'm honestly feeling really happy right now.\Let's go!\Time for some baseball! Time for morning practice!\Kengo's turned into an idiot.\What the heck's going on? response:	A screw must've come loose when he jumped off the roof!
context: What do you think?\I'm not sure what to think.\I'm honestly feeling really happy right now.\Let's go!\Time for some baseball! Time for morning practice!\Kengo's turned into an idiot.\What the heck's going on?\A screw must've come loose when he jumped off the roof! response:	He probably always had the potential to be like this.
context: I'm not sure what to think.\I'm honestly feeling really happy right now.\Let's go!\Time for some baseball! Time for morning practice!\Kengo's turned into an idiot.\What the heck's going on?\A screw must've come loose when he jumped off the roof!\He probably always had the potential to be like this. response:	I didn't think he'd go straight to top gear though.
context: I'm honestly feeling really happy right now.\Let's go!\Time for some baseball! Time for morning practice!\Kengo's turned into an idiot.\What the heck's going on?\A screw must've come loose when he jumped off the roof!\He probably always had the potential to be like this.\I didn't think he'd go straight to top gear though. response:	Everyone! Let's go!
context: Let's go!\Time for some baseball! Time for morning practice!\Kengo's turned into an idiot.\What the heck's going on?\A screw must've come loose when he jumped off the roof!\He probably always had the potential to be like this.\I didn't think he'd go straight to top gear though.\Everyone! Let's go! response:	Alright!
context: Time for some baseball! Time for morning practice!\Kengo's turned into an idiot.\What the heck's going on?\A screw must've come loose when he jumped off the roof!\He probably always had the potential to be like this.\I didn't think he'd go straight to top gear though.\Everyone! Let's go!\Alright! response:	We'll head over with the Little Busters March I thought up!
context: Kengo's turned into an idiot.\What the heck's going on?\A screw must've come loose when he jumped off the roof!\He probably always had the potential to be like this.\I didn't think he'd go straight to top gear though.\Everyone! Let's go!\Alright!\We'll head over with the Little Busters March I thought up! response:	One, two, Little Busters!
context: What the heck's going on?\A screw must've come loose when he jumped off the roof!\He probably always had the potential to be like this.\I didn't think he'd go straight to top gear though.\Everyone! Let's go!\Alright!\We'll head over with the Little Busters March I thought up!\One, two, Little Busters! response:	That's great for muscles too!
context: A screw must've come loose when he jumped off the roof!\He probably always had the potential to be like this.\I didn't think he'd go straight to top gear though.\Everyone! Let's go!\Alright!\We'll head over with the Little Busters March I thought up!\One, two, Little Busters!\That's great for muscles too! response:	Three, four, Little Busters!
context: He probably always had the potential to be like this.\I didn't think he'd go straight to top gear though.\Everyone! Let's go!\Alright!\We'll head over with the Little Busters March I thought up!\One, two, Little Busters!\That's great for muscles too!\Three, four, Little Busters! response:	One, two, Little Busters!
context: I didn't think he'd go straight to top gear though.\Everyone! Let's go!\Alright!\We'll head over with the Little Busters March I thought up!\One, two, Little Busters!\That's great for muscles too!\Three, four, Little Busters!\One, two, Little Busters! response:	At long last, Kengo has joined us.
context: Everyone! Let's go!\Alright!\We'll head over with the Little Busters March I thought up!\One, two, Little Busters!\That's great for muscles too!\Three, four, Little Busters!\One, two, Little Busters!\At long last, Kengo has joined us. response:	Playing baseball with these members...
context: Alright!\We'll head over with the Little Busters March I thought up!\One, two, Little Busters!\That's great for muscles too!\Three, four, Little Busters!\One, two, Little Busters!\At long last, Kengo has joined us.\Playing baseball with these members... response:	Three, four, Little Busters!
context: We'll head over with the Little Busters March I thought up!\One, two, Little Busters!\That's great for muscles too!\Three, four, Little Busters!\One, two, Little Busters!\At long last, Kengo has joined us.\Playing baseball with these members...\Three, four, Little Busters! response:	It's like we're kids again.
context: One, two, Little Busters!\That's great for muscles too!\Three, four, Little Busters!\One, two, Little Busters!\At long last, Kengo has joined us.\Playing baseball with these members...\Three, four, Little Busters!\It's like we're kids again. response:	And everyone else is here too.
context: That's great for muscles too!\Three, four, Little Busters!\One, two, Little Busters!\At long last, Kengo has joined us.\Playing baseball with these members...\Three, four, Little Busters!\It's like we're kids again.\And everyone else is here too. response:	Game time!
context: Three, four, Little Busters!\One, two, Little Busters!\At long last, Kengo has joined us.\Playing baseball with these members...\Three, four, Little Busters!\It's like we're kids again.\And everyone else is here too.\Game time! response:	We're winning this!
context: One, two, Little Busters!\At long last, Kengo has joined us.\Playing baseball with these members...\Three, four, Little Busters!\It's like we're kids again.\And everyone else is here too.\Game time!\We're winning this! response:	Wafu!
context: At long last, Kengo has joined us.\Playing baseball with these members...\Three, four, Little Busters!\It's like we're kids again.\And everyone else is here too.\Game time!\We're winning this!\Wafu! response:	Tomorrow is our first game!
context: Playing baseball with these members...\Three, four, Little Busters!\It's like we're kids again.\And everyone else is here too.\Game time!\We're winning this!\Wafu!\Tomorrow is our first game! response:	Episode 26
context: Three, four, Little Busters!\It's like we're kids again.\And everyone else is here too.\Game time!\We're winning this!\Wafu!\Tomorrow is our first game!\Episode 26 response:	Episode 26
context: It's like we're kids again.\And everyone else is here too.\Game time!\We're winning this!\Wafu!\Tomorrow is our first game!\Episode 26\Episode 26 response:	Episode 26
context: And everyone else is here too.\Game time!\We're winning this!\Wafu!\Tomorrow is our first game!\Episode 26\Episode 26\Episode 26 response:	The Best Friends Ever
context: Game time!\We're winning this!\Wafu!\Tomorrow is our first game!\Episode 26\Episode 26\Episode 26\The Best Friends Ever response:	The Best Friends Ever
context: We're winning this!\Wafu!\Tomorrow is our first game!\Episode 26\Episode 26\Episode 26\The Best Friends Ever\The Best Friends Ever response:	The Best Friends Ever
context: Wafu!\Tomorrow is our first game!\Episode 26\Episode 26\Episode 26\The Best Friends Ever\The Best Friends Ever\The Best Friends Ever response:	Alright.
context: Tomorrow is our first game!\Episode 26\Episode 26\Episode 26\The Best Friends Ever\The Best Friends Ever\The Best Friends Ever\Alright. response:	Let's do some final touch-ups before our first game.
context: Episode 26\Episode 26\Episode 26\The Best Friends Ever\The Best Friends Ever\The Best Friends Ever\Alright.\Let's do some final touch-ups before our first game. response:	What are we going to practice, Riki?
context: Episode 26\Episode 26\The Best Friends Ever\The Best Friends Ever\The Best Friends Ever\Alright.\Let's do some final touch-ups before our first game.\What are we going to practice, Riki? response:	You're in charge, you know.
context: Episode 26\The Best Friends Ever\The Best Friends Ever\The Best Friends Ever\Alright.\Let's do some final touch-ups before our first game.\What are we going to practice, Riki?\You're in charge, you know. response:	I am?
context: The Best Friends Ever\The Best Friends Ever\The Best Friends Ever\Alright.\Let's do some final touch-ups before our first game.\What are we going to practice, Riki?\You're in charge, you know.\I am? response:	I already told you,
context: The Best Friends Ever\The Best Friends Ever\Alright.\Let's do some final touch-ups before our first game.\What are we going to practice, Riki?\You're in charge, you know.\I am?\I already told you, response:	I'm not the leader anymore.
context: The Best Friends Ever\Alright.\Let's do some final touch-ups before our first game.\What are we going to practice, Riki?\You're in charge, you know.\I am?\I already told you,\I'm not the leader anymore. response:	Are you serious, Kyousuke?
context: Alright.\Let's do some final touch-ups before our first game.\What are we going to practice, Riki?\You're in charge, you know.\I am?\I already told you,\I'm not the leader anymore.\Are you serious, Kyousuke? response:	Of course.
context: Let's do some final touch-ups before our first game.\What are we going to practice, Riki?\You're in charge, you know.\I am?\I already told you,\I'm not the leader anymore.\Are you serious, Kyousuke?\Of course. response:	I'm a third-year.
context: What are we going to practice, Riki?\You're in charge, you know.\I am?\I already told you,\I'm not the leader anymore.\Are you serious, Kyousuke?\Of course.\I'm a third-year. response:	It's about time I drew the line.
context: You're in charge, you know.\I am?\I already told you,\I'm not the leader anymore.\Are you serious, Kyousuke?\Of course.\I'm a third-year.\It's about time I drew the line. response:	I'm thinking of leaving everything to you from here on.
context: I am?\I already told you,\I'm not the leader anymore.\Are you serious, Kyousuke?\Of course.\I'm a third-year.\It's about time I drew the line.\I'm thinking of leaving everything to you from here on. response:	W-Wait, this is way too sudden!
context: I already told you,\I'm not the leader anymore.\Are you serious, Kyousuke?\Of course.\I'm a third-year.\It's about time I drew the line.\I'm thinking of leaving everything to you from here on.\W-Wait, this is way too sudden! response:	I've been thinking about it for a while now.
context: I'm not the leader anymore.\Are you serious, Kyousuke?\Of course.\I'm a third-year.\It's about time I drew the line.\I'm thinking of leaving everything to you from here on.\W-Wait, this is way too sudden!\I've been thinking about it for a while now. response:	Ever since we decided to start playing baseball,
context: Are you serious, Kyousuke?\Of course.\I'm a third-year.\It's about time I drew the line.\I'm thinking of leaving everything to you from here on.\W-Wait, this is way too sudden!\I've been thinking about it for a while now.\Ever since we decided to start playing baseball, response:	I thought of some day making you the leader.
context: Of course.\I'm a third-year.\It's about time I drew the line.\I'm thinking of leaving everything to you from here on.\W-Wait, this is way too sudden!\I've been thinking about it for a while now.\Ever since we decided to start playing baseball,\I thought of some day making you the leader. response:	But I don't think everyone would agree
context: I'm a third-year.\It's about time I drew the line.\I'm thinking of leaving everything to you from here on.\W-Wait, this is way too sudden!\I've been thinking about it for a while now.\Ever since we decided to start playing baseball,\I thought of some day making you the leader.\But I don't think everyone would agree response:	Riki! Riki!
context: It's about time I drew the line.\I'm thinking of leaving everything to you from here on.\W-Wait, this is way too sudden!\I've been thinking about it for a while now.\Ever since we decided to start playing baseball,\I thought of some day making you the leader.\But I don't think everyone would agree\Riki! Riki! response:	Ri-Ri-Ri-Ri-Riki-kun!
context: I'm thinking of leaving everything to you from here on.\W-Wait, this is way too sudden!\I've been thinking about it for a while now.\Ever since we decided to start playing baseball,\I thought of some day making you the leader.\But I don't think everyone would agree\Riki! Riki!\Ri-Ri-Ri-Ri-Riki-kun! response:	Riki-kun! Riki-kun!
context: W-Wait, this is way too sudden!\I've been thinking about it for a while now.\Ever since we decided to start playing baseball,\I thought of some day making you the leader.\But I don't think everyone would agree\Riki! Riki!\Ri-Ri-Ri-Ri-Riki-kun!\Riki-kun! Riki-kun! response:	Fan, fan, fan.
context: I've been thinking about it for a while now.\Ever since we decided to start playing baseball,\I thought of some day making you the leader.\But I don't think everyone would agree\Riki! Riki!\Ri-Ri-Ri-Ri-Riki-kun!\Riki-kun! Riki-kun!\Fan, fan, fan. response:	Makes sense. Kyousuke's got job searching to do, anyway.
context: Ever since we decided to start playing baseball,\I thought of some day making you the leader.\But I don't think everyone would agree\Riki! Riki!\Ri-Ri-Ri-Ri-Riki-kun!\Riki-kun! Riki-kun!\Fan, fan, fan.\Makes sense. Kyousuke's got job searching to do, anyway. response:	You're kind of unreliable, but you'd make an okay leader!
context: I thought of some day making you the leader.\But I don't think everyone would agree\Riki! Riki!\Ri-Ri-Ri-Ri-Riki-kun!\Riki-kun! Riki-kun!\Fan, fan, fan.\Makes sense. Kyousuke's got job searching to do, anyway.\You're kind of unreliable, but you'd make an okay leader! response:	Congratulations on being the new leader!
context: But I don't think everyone would agree\Riki! Riki!\Ri-Ri-Ri-Ri-Riki-kun!\Riki-kun! Riki-kun!\Fan, fan, fan.\Makes sense. Kyousuke's got job searching to do, anyway.\You're kind of unreliable, but you'd make an okay leader!\Congratulations on being the new leader! response:	Congratulations!
context: Riki! Riki!\Ri-Ri-Ri-Ri-Riki-kun!\Riki-kun! Riki-kun!\Fan, fan, fan.\Makes sense. Kyousuke's got job searching to do, anyway.\You're kind of unreliable, but you'd make an okay leader!\Congratulations on being the new leader!\Congratulations! response:	Don't worry too much about it.
context: Ri-Ri-Ri-Ri-Riki-kun!\Riki-kun! Riki-kun!\Fan, fan, fan.\Makes sense. Kyousuke's got job searching to do, anyway.\You're kind of unreliable, but you'd make an okay leader!\Congratulations on being the new leader!\Congratulations!\Don't worry too much about it. response:	Just try giving it a shot.
context: Riki-kun! Riki-kun!\Fan, fan, fan.\Makes sense. Kyousuke's got job searching to do, anyway.\You're kind of unreliable, but you'd make an okay leader!\Congratulations on being the new leader!\Congratulations!\Don't worry too much about it.\Just try giving it a shot. response:	Who knows, you might even be good at it.
context: Fan, fan, fan.\Makes sense. Kyousuke's got job searching to do, anyway.\You're kind of unreliable, but you'd make an okay leader!\Congratulations on being the new leader!\Congratulations!\Don't worry too much about it.\Just try giving it a shot.\Who knows, you might even be good at it. response:	Yeah.
context: Makes sense. Kyousuke's got job searching to do, anyway.\You're kind of unreliable, but you'd make an okay leader!\Congratulations on being the new leader!\Congratulations!\Don't worry too much about it.\Just try giving it a shot.\Who knows, you might even be good at it.\Yeah. response:	You're undoubtedly much weaker than Kyousuke-san,
context: You're kind of unreliable, but you'd make an okay leader!\Congratulations on being the new leader!\Congratulations!\Don't worry too much about it.\Just try giving it a shot.\Who knows, you might even be good at it.\Yeah.\You're undoubtedly much weaker than Kyousuke-san, response:	but that's also a moe point.
context: Congratulations on being the new leader!\Congratulations!\Don't worry too much about it.\Just try giving it a shot.\Who knows, you might even be good at it.\Yeah.\You're undoubtedly much weaker than Kyousuke-san,\but that's also a moe point. response:	I have no objections as your manager.
context: Congratulations!\Don't worry too much about it.\Just try giving it a shot.\Who knows, you might even be good at it.\Yeah.\You're undoubtedly much weaker than Kyousuke-san,\but that's also a moe point.\I have no objections as your manager. response:	Alright, so what should we practice first?
context: Don't worry too much about it.\Just try giving it a shot.\Who knows, you might even be good at it.\Yeah.\You're undoubtedly much weaker than Kyousuke-san,\but that's also a moe point.\I have no objections as your manager.\Alright, so what should we practice first? response:	Why don't we do a roll call?
context: Just try giving it a shot.\Who knows, you might even be good at it.\Yeah.\You're undoubtedly much weaker than Kyousuke-san,\but that's also a moe point.\I have no objections as your manager.\Alright, so what should we practice first?\Why don't we do a roll call? response:	A roll call?
context: Who knows, you might even be good at it.\Yeah.\You're undoubtedly much weaker than Kyousuke-san,\but that's also a moe point.\I have no objections as your manager.\Alright, so what should we practice first?\Why don't we do a roll call?\A roll call? response:	You know, that thing where you call out people's names and they count.
context: Yeah.\You're undoubtedly much weaker than Kyousuke-san,\but that's also a moe point.\I have no objections as your manager.\Alright, so what should we practice first?\Why don't we do a roll call?\A roll call?\You know, that thing where you call out people's names and they count. response:	It would raise our morale.
context: You're undoubtedly much weaker than Kyousuke-san,\but that's also a moe point.\I have no objections as your manager.\Alright, so what should we practice first?\Why don't we do a roll call?\A roll call?\You know, that thing where you call out people's names and they count.\It would raise our morale. response:	I-I'll try it.
context: but that's also a moe point.\I have no objections as your manager.\Alright, so what should we practice first?\Why don't we do a roll call?\A roll call?\You know, that thing where you call out people's names and they count.\It would raise our morale.\I-I'll try it. response:	Kyousuke!
context: I have no objections as your manager.\Alright, so what should we practice first?\Why don't we do a roll call?\A roll call?\You know, that thing where you call out people's names and they count.\It would raise our morale.\I-I'll try it.\Kyousuke! response:	One!
context: Alright, so what should we practice first?\Why don't we do a roll call?\A roll call?\You know, that thing where you call out people's names and they count.\It would raise our morale.\I-I'll try it.\Kyousuke!\One! response:	Komari-san!
context: Why don't we do a roll call?\A roll call?\You know, that thing where you call out people's names and they count.\It would raise our morale.\I-I'll try it.\Kyousuke!\One!\Komari-san! response:	Huh?
context: A roll call?\You know, that thing where you call out people's names and they count.\It would raise our morale.\I-I'll try it.\Kyousuke!\One!\Komari-san!\Huh? response:	Kurugaya-san!
context: You know, that thing where you call out people's names and they count.\It would raise our morale.\I-I'll try it.\Kyousuke!\One!\Komari-san!\Huh?\Kurugaya-san! response:	What is it?
context: It would raise our morale.\I-I'll try it.\Kyousuke!\One!\Komari-san!\Huh?\Kurugaya-san!\What is it? response:	Saigusa-san!
context: I-I'll try it.\Kyousuke!\One!\Komari-san!\Huh?\Kurugaya-san!\What is it?\Saigusa-san! response:	Hup!
context: Kyousuke!\One!\Komari-san!\Huh?\Kurugaya-san!\What is it?\Saigusa-san!\Hup! response:	Kud!
context: One!\Komari-san!\Huh?\Kurugaya-san!\What is it?\Saigusa-san!\Hup!\Kud! response:	Wafu!
context: Komari-san!\Huh?\Kurugaya-san!\What is it?\Saigusa-san!\Hup!\Kud!\Wafu! response:	Rin!
context: Huh?\Kurugaya-san!\What is it?\Saigusa-san!\Hup!\Kud!\Wafu!\Rin! response:	Can't you see I'm here?
context: Kurugaya-san!\What is it?\Saigusa-san!\Hup!\Kud!\Wafu!\Rin!\Can't you see I'm here? response:	Nishizono-san.
context: What is it?\Saigusa-san!\Hup!\Kud!\Wafu!\Rin!\Can't you see I'm here?\Nishizono-san. response:	Yes, that would be me.
context: Saigusa-san!\Hup!\Kud!\Wafu!\Rin!\Can't you see I'm here?\Nishizono-san.\Yes, that would be me. response:	Masato...
context: Hup!\Kud!\Wafu!\Rin!\Can't you see I'm here?\Nishizono-san.\Yes, that would be me.\Masato... response:	Sorry, Riki!
context: Kud!\Wafu!\Rin!\Can't you see I'm here?\Nishizono-san.\Yes, that would be me.\Masato...\Sorry, Riki! response:	I wanted to shout my number like I'm supposed to,
context: Wafu!\Rin!\Can't you see I'm here?\Nishizono-san.\Yes, that would be me.\Masato...\Sorry, Riki!\I wanted to shout my number like I'm supposed to, response:	but I don't know what number I am!
context: Rin!\Can't you see I'm here?\Nishizono-san.\Yes, that would be me.\Masato...\Sorry, Riki!\I wanted to shout my number like I'm supposed to,\but I don't know what number I am! response:	I don't either.
context: Can't you see I'm here?\Nishizono-san.\Yes, that would be me.\Masato...\Sorry, Riki!\I wanted to shout my number like I'm supposed to,\but I don't know what number I am!\I don't either. response:	Riki, what about me?
context: Nishizono-san.\Yes, that would be me.\Masato...\Sorry, Riki!\I wanted to shout my number like I'm supposed to,\but I don't know what number I am!\I don't either.\Riki, what about me? response:	Sorry!
context: Yes, that would be me.\Masato...\Sorry, Riki!\I wanted to shout my number like I'm supposed to,\but I don't know what number I am!\I don't either.\Riki, what about me?\Sorry! response:	Kengo!
context: Masato...\Sorry, Riki!\I wanted to shout my number like I'm supposed to,\but I don't know what number I am!\I don't either.\Riki, what about me?\Sorry!\Kengo! response:	Nine!
context: Sorry, Riki!\I wanted to shout my number like I'm supposed to,\but I don't know what number I am!\I don't either.\Riki, what about me?\Sorry!\Kengo!\Nine! response:	It's... perfect.
context: I wanted to shout my number like I'm supposed to,\but I don't know what number I am!\I don't either.\Riki, what about me?\Sorry!\Kengo!\Nine!\It's... perfect. response:	All's well that ends well.
context: but I don't know what number I am!\I don't either.\Riki, what about me?\Sorry!\Kengo!\Nine!\It's... perfect.\All's well that ends well. response:	It would've been better not to do it...
context: I don't either.\Riki, what about me?\Sorry!\Kengo!\Nine!\It's... perfect.\All's well that ends well.\It would've been better not to do it... response:	Well, anyway, how about we all do some fielding practice?
context: Riki, what about me?\Sorry!\Kengo!\Nine!\It's... perfect.\All's well that ends well.\It would've been better not to do it...\Well, anyway, how about we all do some fielding practice? response:	Just what I wanted!
context: Sorry!\Kengo!\Nine!\It's... perfect.\All's well that ends well.\It would've been better not to do it...\Well, anyway, how about we all do some fielding practice?\Just what I wanted! response:	First order!
context: Kengo!\Nine!\It's... perfect.\All's well that ends well.\It would've been better not to do it...\Well, anyway, how about we all do some fielding practice?\Just what I wanted!\First order! response:	Yay!
context: Nine!\It's... perfect.\All's well that ends well.\It would've been better not to do it...\Well, anyway, how about we all do some fielding practice?\Just what I wanted!\First order!\Yay! response:	Wait right there!
context: It's... perfect.\All's well that ends well.\It would've been better not to do it...\Well, anyway, how about we all do some fielding practice?\Just what I wanted!\First order!\Yay!\Wait right there! response:	You're not allowed on the field today.
context: All's well that ends well.\It would've been better not to do it...\Well, anyway, how about we all do some fielding practice?\Just what I wanted!\First order!\Yay!\Wait right there!\You're not allowed on the field today. response:	They're doing maintenance on it.
context: It would've been better not to do it...\Well, anyway, how about we all do some fielding practice?\Just what I wanted!\First order!\Yay!\Wait right there!\You're not allowed on the field today.\They're doing maintenance on it. response:	The school said they had already told Naoe-kun about it, seeing how his name was on the request form...
context: Well, anyway, how about we all do some fielding practice?\Just what I wanted!\First order!\Yay!\Wait right there!\You're not allowed on the field today.\They're doing maintenance on it.\The school said they had already told Naoe-kun about it, seeing how his name was on the request form... response:	Huh?
context: Just what I wanted!\First order!\Yay!\Wait right there!\You're not allowed on the field today.\They're doing maintenance on it.\The school said they had already told Naoe-kun about it, seeing how his name was on the request form...\Huh? response:	It's off...
context: First order!\Yay!\Wait right there!\You're not allowed on the field today.\They're doing maintenance on it.\The school said they had already told Naoe-kun about it, seeing how his name was on the request form...\Huh?\It's off... response:	Looks like your first order immediately ended in failure.
context: Yay!\Wait right there!\You're not allowed on the field today.\They're doing maintenance on it.\The school said they had already told Naoe-kun about it, seeing how his name was on the request form...\Huh?\It's off...\Looks like your first order immediately ended in failure. response:	Too bad about that. Let's do individual training!
context: Wait right there!\You're not allowed on the field today.\They're doing maintenance on it.\The school said they had already told Naoe-kun about it, seeing how his name was on the request form...\Huh?\It's off...\Looks like your first order immediately ended in failure.\Too bad about that. Let's do individual training! response:	Yeah!
context: You're not allowed on the field today.\They're doing maintenance on it.\The school said they had already told Naoe-kun about it, seeing how his name was on the request form...\Huh?\It's off...\Looks like your first order immediately ended in failure.\Too bad about that. Let's do individual training!\Yeah! response:	Practice swings! That's right!
context: They're doing maintenance on it.\The school said they had already told Naoe-kun about it, seeing how his name was on the request form...\Huh?\It's off...\Looks like your first order immediately ended in failure.\Too bad about that. Let's do individual training!\Yeah!\Practice swings! That's right! response:	How about some snacks?
context: The school said they had already told Naoe-kun about it, seeing how his name was on the request form...\Huh?\It's off...\Looks like your first order immediately ended in failure.\Too bad about that. Let's do individual training!\Yeah!\Practice swings! That's right!\How about some snacks? response:	Snacks? Wafu!
context: Huh?\It's off...\Looks like your first order immediately ended in failure.\Too bad about that. Let's do individual training!\Yeah!\Practice swings! That's right!\How about some snacks?\Snacks? Wafu! response:	Don't forget about the batting order and fielding positions for the game, as well as the strategy.
context: It's off...\Looks like your first order immediately ended in failure.\Too bad about that. Let's do individual training!\Yeah!\Practice swings! That's right!\How about some snacks?\Snacks? Wafu!\Don't forget about the batting order and fielding positions for the game, as well as the strategy. response:	I'm looking forward to seeing them.
context: Looks like your first order immediately ended in failure.\Too bad about that. Let's do individual training!\Yeah!\Practice swings! That's right!\How about some snacks?\Snacks? Wafu!\Don't forget about the batting order and fielding positions for the game, as well as the strategy.\I'm looking forward to seeing them. response:	You look nothing like an actual leader.
context: Too bad about that. Let's do individual training!\Yeah!\Practice swings! That's right!\How about some snacks?\Snacks? Wafu!\Don't forget about the batting order and fielding positions for the game, as well as the strategy.\I'm looking forward to seeing them.\You look nothing like an actual leader. response:	I'm the leader?
context: Yeah!\Practice swings! That's right!\How about some snacks?\Snacks? Wafu!\Don't forget about the batting order and fielding positions for the game, as well as the strategy.\I'm looking forward to seeing them.\You look nothing like an actual leader.\I'm the leader? response:	Batting order, fielding positions, strategy...
context: Practice swings! That's right!\How about some snacks?\Snacks? Wafu!\Don't forget about the batting order and fielding positions for the game, as well as the strategy.\I'm looking forward to seeing them.\You look nothing like an actual leader.\I'm the leader?\Batting order, fielding positions, strategy... response:	Where on Earth do I even start?
context: How about some snacks?\Snacks? Wafu!\Don't forget about the batting order and fielding positions for the game, as well as the strategy.\I'm looking forward to seeing them.\You look nothing like an actual leader.\I'm the leader?\Batting order, fielding positions, strategy...\Where on Earth do I even start? response:	What should I do?
context: Snacks? Wafu!\Don't forget about the batting order and fielding positions for the game, as well as the strategy.\I'm looking forward to seeing them.\You look nothing like an actual leader.\I'm the leader?\Batting order, fielding positions, strategy...\Where on Earth do I even start?\What should I do? response:	Hey, Kyousuke
