context: Huh?! response:	Hikari...
context: Let me finish carrying these first.\I'm sure there's a reason you want to play around,\but it's dangerous to hold your head with an unstable grip\A-Are you all right?\You aren't... hurt, are you?\No, I'm fine.\That happens sometimes.\But surprisingly, I can always catch it pretty easily. response:	So don't worry about
context: I'm sure there's a reason you want to play around,\but it's dangerous to hold your head with an unstable grip\A-Are you all right?\You aren't... hurt, are you?\No, I'm fine.\That happens sometimes.\But surprisingly, I can always catch it pretty easily.\So don't worry about response:	You thought I'd see that and not worry?!
context: but it's dangerous to hold your head with an unstable grip\A-Are you all right?\You aren't... hurt, are you?\No, I'm fine.\That happens sometimes.\But surprisingly, I can always catch it pretty easily.\So don't worry about\You thought I'd see that and not worry?! response:	Someday, that pride could get you into a terrible accident!
context: A-Are you all right?\You aren't... hurt, are you?\No, I'm fine.\That happens sometimes.\But surprisingly, I can always catch it pretty easily.\So don't worry about\You thought I'd see that and not worry?!\Someday, that pride could get you into a terrible accident! response:	Be more careful!
context: You aren't... hurt, are you?\No, I'm fine.\That happens sometimes.\But surprisingly, I can always catch it pretty easily.\So don't worry about\You thought I'd see that and not worry?!\Someday, that pride could get you into a terrible accident!\Be more careful! response:	I'm sorry. I... I didn't mean...
context: No, I'm fine.\That happens sometimes.\But surprisingly, I can always catch it pretty easily.\So don't worry about\You thought I'd see that and not worry?!\Someday, that pride could get you into a terrible accident!\Be more careful!\I'm sorry. I... I didn't mean... response:	Oh, uh, I just...
context: That happens sometimes.\But surprisingly, I can always catch it pretty easily.\So don't worry about\You thought I'd see that and not worry?!\Someday, that pride could get you into a terrible accident!\Be more careful!\I'm sorry. I... I didn't mean...\Oh, uh, I just... response:	You see?
context: But surprisingly, I can always catch it pretty easily.\So don't worry about\You thought I'd see that and not worry?!\Someday, that pride could get you into a terrible accident!\Be more careful!\I'm sorry. I... I didn't mean...\Oh, uh, I just...\You see? response:	It's... It's my fault...
context: So don't worry about\You thought I'd see that and not worry?!\Someday, that pride could get you into a terrible accident!\Be more careful!\I'm sorry. I... I didn't mean...\Oh, uh, I just...\You see?\It's... It's my fault... response:	I made this mess.
context: You thought I'd see that and not worry?!\Someday, that pride could get you into a terrible accident!\Be more careful!\I'm sorry. I... I didn't mean...\Oh, uh, I just...\You see?\It's... It's my fault...\I made this mess. response:	And...
context: Someday, that pride could get you into a terrible accident!\Be more careful!\I'm sorry. I... I didn't mean...\Oh, uh, I just...\You see?\It's... It's my fault...\I made this mess.\And... response:	Machi...
context: Be more careful!\I'm sorry. I... I didn't mean...\Oh, uh, I just...\You see?\It's... It's my fault...\I made this mess.\And...\Machi... response:	I'm so sorry!
context: I'm sorry. I... I didn't mean...\Oh, uh, I just...\You see?\It's... It's my fault...\I made this mess.\And...\Machi...\I'm so sorry! response:	And you can't straighten it while holding your head, right?
context: Oh, uh, I just...\You see?\It's... It's my fault...\I made this mess.\And...\Machi...\I'm so sorry!\And you can't straighten it while holding your head, right? response:	Macchi? What's wrong?
context: You see?\It's... It's my fault...\I made this mess.\And...\Machi...\I'm so sorry!\And you can't straighten it while holding your head, right?\Macchi? What's wrong? response:	I see...
context: It's... It's my fault...\I made this mess.\And...\Machi...\I'm so sorry!\And you can't straighten it while holding your head, right?\Macchi? What's wrong?\I see... response:	So Takahashi-sensei yelled at you.
context: I made this mess.\And...\Machi...\I'm so sorry!\And you can't straighten it while holding your head, right?\Macchi? What's wrong?\I see...\So Takahashi-sensei yelled at you. response:	Yeah.
context: And...\Machi...\I'm so sorry!\And you can't straighten it while holding your head, right?\Macchi? What's wrong?\I see...\So Takahashi-sensei yelled at you.\Yeah. response:	You don't like being yelled at?
context: Machi...\I'm so sorry!\And you can't straighten it while holding your head, right?\Macchi? What's wrong?\I see...\So Takahashi-sensei yelled at you.\Yeah.\You don't like being yelled at? response:	Huh? N-No...
context: I'm so sorry!\And you can't straighten it while holding your head, right?\Macchi? What's wrong?\I see...\So Takahashi-sensei yelled at you.\Yeah.\You don't like being yelled at?\Huh? N-No... response:	But it's more than that.
context: And you can't straighten it while holding your head, right?\Macchi? What's wrong?\I see...\So Takahashi-sensei yelled at you.\Yeah.\You don't like being yelled at?\Huh? N-No...\But it's more than that. response:	Takahashi-sensei is such a kind person.
context: Macchi? What's wrong?\I see...\So Takahashi-sensei yelled at you.\Yeah.\You don't like being yelled at?\Huh? N-No...\But it's more than that.\Takahashi-sensei is such a kind person. response:	So the idea that I got him angry makes me feel so awful...
context: I see...\So Takahashi-sensei yelled at you.\Yeah.\You don't like being yelled at?\Huh? N-No...\But it's more than that.\Takahashi-sensei is such a kind person.\So the idea that I got him angry makes me feel so awful... response:	I see... That makes sense.
context: So Takahashi-sensei yelled at you.\Yeah.\You don't like being yelled at?\Huh? N-No...\But it's more than that.\Takahashi-sensei is such a kind person.\So the idea that I got him angry makes me feel so awful...\I see... That makes sense. response:	Here.
context: Yeah.\You don't like being yelled at?\Huh? N-No...\But it's more than that.\Takahashi-sensei is such a kind person.\So the idea that I got him angry makes me feel so awful...\I see... That makes sense.\Here. response:	Eh?
context: You don't like being yelled at?\Huh? N-No...\But it's more than that.\Takahashi-sensei is such a kind person.\So the idea that I got him angry makes me feel so awful...\I see... That makes sense.\Here.\Eh? response:	Wait here a sec!
context: Huh? N-No...\But it's more than that.\Takahashi-sensei is such a kind person.\So the idea that I got him angry makes me feel so awful...\I see... That makes sense.\Here.\Eh?\Wait here a sec! response:	Hikari-chan?
context: But it's more than that.\Takahashi-sensei is such a kind person.\So the idea that I got him angry makes me feel so awful...\I see... That makes sense.\Here.\Eh?\Wait here a sec!\Hikari-chan? response:	I understand how you feel, Kyouko.
context: Takahashi-sensei is such a kind person.\So the idea that I got him angry makes me feel so awful...\I see... That makes sense.\Here.\Eh?\Wait here a sec!\Hikari-chan?\I understand how you feel, Kyouko. response:	Takahashi-sensei really is a kind person.
context: So the idea that I got him angry makes me feel so awful...\I see... That makes sense.\Here.\Eh?\Wait here a sec!\Hikari-chan?\I understand how you feel, Kyouko.\Takahashi-sensei really is a kind person. response:	Yeah.
context: I see... That makes sense.\Here.\Eh?\Wait here a sec!\Hikari-chan?\I understand how you feel, Kyouko.\Takahashi-sensei really is a kind person.\Yeah. response:	Do you remember
context: Here.\Eh?\Wait here a sec!\Hikari-chan?\I understand how you feel, Kyouko.\Takahashi-sensei really is a kind person.\Yeah.\Do you remember response:	when we all ate those popsicles together?
context: Eh?\Wait here a sec!\Hikari-chan?\I understand how you feel, Kyouko.\Takahashi-sensei really is a kind person.\Yeah.\Do you remember\when we all ate those popsicles together? response:	Huh? Yeah.
context: Wait here a sec!\Hikari-chan?\I understand how you feel, Kyouko.\Takahashi-sensei really is a kind person.\Yeah.\Do you remember\when we all ate those popsicles together?\Huh? Yeah. response:	I was worried about my nature as a snow woman.
context: Hikari-chan?\I understand how you feel, Kyouko.\Takahashi-sensei really is a kind person.\Yeah.\Do you remember\when we all ate those popsicles together?\Huh? Yeah.\I was worried about my nature as a snow woman. response:	When I told Sensei about it,
context: I understand how you feel, Kyouko.\Takahashi-sensei really is a kind person.\Yeah.\Do you remember\when we all ate those popsicles together?\Huh? Yeah.\I was worried about my nature as a snow woman.\When I told Sensei about it, response:	he tried something that actually brought out my nature.
context: Takahashi-sensei really is a kind person.\Yeah.\Do you remember\when we all ate those popsicles together?\Huh? Yeah.\I was worried about my nature as a snow woman.\When I told Sensei about it,\he tried something that actually brought out my nature. response:	To be honest, it wasn't easy.
context: Yeah.\Do you remember\when we all ate those popsicles together?\Huh? Yeah.\I was worried about my nature as a snow woman.\When I told Sensei about it,\he tried something that actually brought out my nature.\To be honest, it wasn't easy. response:	I didn't understand why he'd put me through that.
context: Do you remember\when we all ate those popsicles together?\Huh? Yeah.\I was worried about my nature as a snow woman.\When I told Sensei about it,\he tried something that actually brought out my nature.\To be honest, it wasn't easy.\I didn't understand why he'd put me through that. response:	But it cleared up my misunderstanding
context: when we all ate those popsicles together?\Huh? Yeah.\I was worried about my nature as a snow woman.\When I told Sensei about it,\he tried something that actually brought out my nature.\To be honest, it wasn't easy.\I didn't understand why he'd put me through that.\But it cleared up my misunderstanding response:	and gave me the chance to be friends with you and Hikari.
context: Huh? Yeah.\I was worried about my nature as a snow woman.\When I told Sensei about it,\he tried something that actually brought out my nature.\To be honest, it wasn't easy.\I didn't understand why he'd put me through that.\But it cleared up my misunderstanding\and gave me the chance to be friends with you and Hikari. response:	And I'm really grateful to him now.
context: I was worried about my nature as a snow woman.\When I told Sensei about it,\he tried something that actually brought out my nature.\To be honest, it wasn't easy.\I didn't understand why he'd put me through that.\But it cleared up my misunderstanding\and gave me the chance to be friends with you and Hikari.\And I'm really grateful to him now. response:	So, you know?
context: When I told Sensei about it,\he tried something that actually brought out my nature.\To be honest, it wasn't easy.\I didn't understand why he'd put me through that.\But it cleared up my misunderstanding\and gave me the chance to be friends with you and Hikari.\And I'm really grateful to him now.\So, you know? response:	I don't think being kind is only about coddling others.
context: he tried something that actually brought out my nature.\To be honest, it wasn't easy.\I didn't understand why he'd put me through that.\But it cleared up my misunderstanding\and gave me the chance to be friends with you and Hikari.\And I'm really grateful to him now.\So, you know?\I don't think being kind is only about coddling others. response:	He really cares about you, and he was honestly worried.
context: To be honest, it wasn't easy.\I didn't understand why he'd put me through that.\But it cleared up my misunderstanding\and gave me the chance to be friends with you and Hikari.\And I'm really grateful to him now.\So, you know?\I don't think being kind is only about coddling others.\He really cares about you, and he was honestly worried. response:	That's why he yelled at you.
context: I didn't understand why he'd put me through that.\But it cleared up my misunderstanding\and gave me the chance to be friends with you and Hikari.\And I'm really grateful to him now.\So, you know?\I don't think being kind is only about coddling others.\He really cares about you, and he was honestly worried.\That's why he yelled at you. response:	Hey... Where are you taking me?
context: But it cleared up my misunderstanding\and gave me the chance to be friends with you and Hikari.\And I'm really grateful to him now.\So, you know?\I don't think being kind is only about coddling others.\He really cares about you, and he was honestly worried.\That's why he yelled at you.\Hey... Where are you taking me? response:	Just come on!
context: and gave me the chance to be friends with you and Hikari.\And I'm really grateful to him now.\So, you know?\I don't think being kind is only about coddling others.\He really cares about you, and he was honestly worried.\That's why he yelled at you.\Hey... Where are you taking me?\Just come on! response:	Wha?
context: And I'm really grateful to him now.\So, you know?\I don't think being kind is only about coddling others.\He really cares about you, and he was honestly worried.\That's why he yelled at you.\Hey... Where are you taking me?\Just come on!\Wha? response:	S-Sensei...
context: So, you know?\I don't think being kind is only about coddling others.\He really cares about you, and he was honestly worried.\That's why he yelled at you.\Hey... Where are you taking me?\Just come on!\Wha?\S-Sensei... response:	Okay, this time, you two are gonna have a real talk!
context: I don't think being kind is only about coddling others.\He really cares about you, and he was honestly worried.\That's why he yelled at you.\Hey... Where are you taking me?\Just come on!\Wha?\S-Sensei...\Okay, this time, you two are gonna have a real talk! response:	Your head can't run away on its own, Macchi.
context: He really cares about you, and he was honestly worried.\That's why he yelled at you.\Hey... Where are you taking me?\Just come on!\Wha?\S-Sensei...\Okay, this time, you two are gonna have a real talk!\Your head can't run away on its own, Macchi. response:	Uh... I guess, um...
context: That's why he yelled at you.\Hey... Where are you taking me?\Just come on!\Wha?\S-Sensei...\Okay, this time, you two are gonna have a real talk!\Your head can't run away on its own, Macchi.\Uh... I guess, um... response:	Machi, I shouldn't have done what I did. I'm sorry.
context: Hey... Where are you taking me?\Just come on!\Wha?\S-Sensei...\Okay, this time, you two are gonna have a real talk!\Your head can't run away on its own, Macchi.\Uh... I guess, um...\Machi, I shouldn't have done what I did. I'm sorry. response:	Scolding students is a necessary part of teaching.
