context: Where are we going, Coach? response:	You'll know when we get there.
context: to be moving around like that right after getting out of the hospital?\What? If they let you out of the hospital,\it means they're giving you permission to move around all you want.\He's my grandpa.\Huh?!\Gra...\Coach Ukai?!\Haikyu!! response:	Ukai
context: What? If they let you out of the hospital,\it means they're giving you permission to move around all you want.\He's my grandpa.\Huh?!\Gra...\Coach Ukai?!\Haikyu!!\Ukai response:	So...
context: it means they're giving you permission to move around all you want.\He's my grandpa.\Huh?!\Gra...\Coach Ukai?!\Haikyu!!\Ukai\So... response:	You couldn't figure out what to do
context: He's my grandpa.\Huh?!\Gra...\Coach Ukai?!\Haikyu!!\Ukai\So...\You couldn't figure out what to do response:	Episode 06: Tempo
context: Huh?!\Gra...\Coach Ukai?!\Haikyu!!\Ukai\So...\You couldn't figure out what to do\Episode 06: Tempo response:	with this weirdo quick attack and helplessly ran away, eh, Coach?
context: Gra...\Coach Ukai?!\Haikyu!!\Ukai\So...\You couldn't figure out what to do\Episode 06: Tempo\with this weirdo quick attack and helplessly ran away, eh, Coach? response:	That's your team, you weakling!
context: Coach Ukai?!\Haikyu!!\Ukai\So...\You couldn't figure out what to do\Episode 06: Tempo\with this weirdo quick attack and helplessly ran away, eh, Coach?\That's your team, you weakling! response:	Coach?!
context: Haikyu!!\Ukai\So...\You couldn't figure out what to do\Episode 06: Tempo\with this weirdo quick attack and helplessly ran away, eh, Coach?\That's your team, you weakling!\Coach?! response:	He's the great commander that led the nameless Karasuno to nationals.
context: Ukai\So...\You couldn't figure out what to do\Episode 06: Tempo\with this weirdo quick attack and helplessly ran away, eh, Coach?\That's your team, you weakling!\Coach?!\He's the great commander that led the nameless Karasuno to nationals. response:	The name Karasuno's Ukai was super famous.
context: So...\You couldn't figure out what to do\Episode 06: Tempo\with this weirdo quick attack and helplessly ran away, eh, Coach?\That's your team, you weakling!\Coach?!\He's the great commander that led the nameless Karasuno to nationals.\The name Karasuno's Ukai was super famous. response:	They said he owned a fierce pack of crows.
context: You couldn't figure out what to do\Episode 06: Tempo\with this weirdo quick attack and helplessly ran away, eh, Coach?\That's your team, you weakling!\Coach?!\He's the great commander that led the nameless Karasuno to nationals.\The name Karasuno's Ukai was super famous.\They said he owned a fierce pack of crows. response:	P-Please help me!
context: Episode 06: Tempo\with this weirdo quick attack and helplessly ran away, eh, Coach?\That's your team, you weakling!\Coach?!\He's the great commander that led the nameless Karasuno to nationals.\The name Karasuno's Ukai was super famous.\They said he owned a fierce pack of crows.\P-Please help me! response:	With what?
context: with this weirdo quick attack and helplessly ran away, eh, Coach?\That's your team, you weakling!\Coach?!\He's the great commander that led the nameless Karasuno to nationals.\The name Karasuno's Ukai was super famous.\They said he owned a fierce pack of crows.\P-Please help me!\With what? response:	I don't go around smacking random people.
context: That's your team, you weakling!\Coach?!\He's the great commander that led the nameless Karasuno to nationals.\The name Karasuno's Ukai was super famous.\They said he owned a fierce pack of crows.\P-Please help me!\With what?\I don't go around smacking random people. response:	Just weaklings.
context: Coach?!\He's the great commander that led the nameless Karasuno to nationals.\The name Karasuno's Ukai was super famous.\They said he owned a fierce pack of crows.\P-Please help me!\With what?\I don't go around smacking random people.\Just weaklings. response:	You shitty old man...
context: He's the great commander that led the nameless Karasuno to nationals.\The name Karasuno's Ukai was super famous.\They said he owned a fierce pack of crows.\P-Please help me!\With what?\I don't go around smacking random people.\Just weaklings.\You shitty old man... response:	I-I came here to learn to fight on my own!
context: The name Karasuno's Ukai was super famous.\They said he owned a fierce pack of crows.\P-Please help me!\With what?\I don't go around smacking random people.\Just weaklings.\You shitty old man...\I-I came here to learn to fight on my own! response:	You want to master mid-air battles? When you're only that tall?
context: They said he owned a fierce pack of crows.\P-Please help me!\With what?\I don't go around smacking random people.\Just weaklings.\You shitty old man...\I-I came here to learn to fight on my own!\You want to master mid-air battles? When you're only that tall? response:	It's because I'm only this tall!
context: P-Please help me!\With what?\I don't go around smacking random people.\Just weaklings.\You shitty old man...\I-I came here to learn to fight on my own!\You want to master mid-air battles? When you're only that tall?\It's because I'm only this tall! response:	I might sound like I'm saying something weird, but...
context: With what?\I don't go around smacking random people.\Just weaklings.\You shitty old man...\I-I came here to learn to fight on my own!\You want to master mid-air battles? When you're only that tall?\It's because I'm only this tall!\I might sound like I'm saying something weird, but... response:	What's weird about it?
context: I don't go around smacking random people.\Just weaklings.\You shitty old man...\I-I came here to learn to fight on my own!\You want to master mid-air battles? When you're only that tall?\It's because I'm only this tall!\I might sound like I'm saying something weird, but...\What's weird about it? response:	No matter what kind of genius setter you're dealing with,
context: Just weaklings.\You shitty old man...\I-I came here to learn to fight on my own!\You want to master mid-air battles? When you're only that tall?\It's because I'm only this tall!\I might sound like I'm saying something weird, but...\What's weird about it?\No matter what kind of genius setter you're dealing with, response:	in what we call a quick attack,
context: You shitty old man...\I-I came here to learn to fight on my own!\You want to master mid-air battles? When you're only that tall?\It's because I'm only this tall!\I might sound like I'm saying something weird, but...\What's weird about it?\No matter what kind of genius setter you're dealing with,\in what we call a quick attack, response:	the one that's the absolute leader
context: I-I came here to learn to fight on my own!\You want to master mid-air battles? When you're only that tall?\It's because I'm only this tall!\I might sound like I'm saying something weird, but...\What's weird about it?\No matter what kind of genius setter you're dealing with,\in what we call a quick attack,\the one that's the absolute leader response:	is you.
context: You want to master mid-air battles? When you're only that tall?\It's because I'm only this tall!\I might sound like I'm saying something weird, but...\What's weird about it?\No matter what kind of genius setter you're dealing with,\in what we call a quick attack,\the one that's the absolute leader\is you. response:	Stop spacing out! You're the coach, damn it!
context: It's because I'm only this tall!\I might sound like I'm saying something weird, but...\What's weird about it?\No matter what kind of genius setter you're dealing with,\in what we call a quick attack,\the one that's the absolute leader\is you.\Stop spacing out! You're the coach, damn it! response:	O-Oikawa-san, what are you doing here?
context: I might sound like I'm saying something weird, but...\What's weird about it?\No matter what kind of genius setter you're dealing with,\in what we call a quick attack,\the one that's the absolute leader\is you.\Stop spacing out! You're the coach, damn it!\O-Oikawa-san, what are you doing here? response:	I'm watching my nephew.
context: What's weird about it?\No matter what kind of genius setter you're dealing with,\in what we call a quick attack,\the one that's the absolute leader\is you.\Stop spacing out! You're the coach, damn it!\O-Oikawa-san, what are you doing here?\I'm watching my nephew. response:	Hey!
context: No matter what kind of genius setter you're dealing with,\in what we call a quick attack,\the one that's the absolute leader\is you.\Stop spacing out! You're the coach, damn it!\O-Oikawa-san, what are you doing here?\I'm watching my nephew.\Hey! response:	H-Hey... What about club?
context: in what we call a quick attack,\the one that's the absolute leader\is you.\Stop spacing out! You're the coach, damn it!\O-Oikawa-san, what are you doing here?\I'm watching my nephew.\Hey!\H-Hey... What about club? response:	We usually have Mondays off.
context: the one that's the absolute leader\is you.\Stop spacing out! You're the coach, damn it!\O-Oikawa-san, what are you doing here?\I'm watching my nephew.\Hey!\H-Hey... What about club?\We usually have Mondays off. response:	Y-You take a day off during the week? That's such a waste!
context: is you.\Stop spacing out! You're the coach, damn it!\O-Oikawa-san, what are you doing here?\I'm watching my nephew.\Hey!\H-Hey... What about club?\We usually have Mondays off.\Y-You take a day off during the week? That's such a waste! response:	Resting and skipping are two different things.
context: Stop spacing out! You're the coach, damn it!\O-Oikawa-san, what are you doing here?\I'm watching my nephew.\Hey!\H-Hey... What about club?\We usually have Mondays off.\Y-You take a day off during the week? That's such a waste!\Resting and skipping are two different things. response:	See ya.
context: O-Oikawa-san, what are you doing here?\I'm watching my nephew.\Hey!\H-Hey... What about club?\We usually have Mondays off.\Y-You take a day off during the week? That's such a waste!\Resting and skipping are two different things.\See ya. response:	O-Oikawa-san, um...
context: I'm watching my nephew.\Hey!\H-Hey... What about club?\We usually have Mondays off.\Y-You take a day off during the week? That's such a waste!\Resting and skipping are two different things.\See ya.\O-Oikawa-san, um... response:	Nope! Stupid!
context: Hey!\H-Hey... What about club?\We usually have Mondays off.\Y-You take a day off during the week? That's such a waste!\Resting and skipping are two different things.\See ya.\O-Oikawa-san, um...\Nope! Stupid! response:	You're stupid! You stupid face!
context: H-Hey... What about club?\We usually have Mondays off.\Y-You take a day off during the week? That's such a waste!\Resting and skipping are two different things.\See ya.\O-Oikawa-san, um...\Nope! Stupid!\You're stupid! You stupid face! response:	I haven't even said anything yet!
context: We usually have Mondays off.\Y-You take a day off during the week? That's such a waste!\Resting and skipping are two different things.\See ya.\O-Oikawa-san, um...\Nope! Stupid!\You're stupid! You stupid face!\I haven't even said anything yet! response:	Oikawa-san
context: Y-You take a day off during the week? That's such a waste!\Resting and skipping are two different things.\See ya.\O-Oikawa-san, um...\Nope! Stupid!\You're stupid! You stupid face!\I haven't even said anything yet!\Oikawa-san response:	Nope! Can't hear you! Can't hear a thing!
context: Resting and skipping are two different things.\See ya.\O-Oikawa-san, um...\Nope! Stupid!\You're stupid! You stupid face!\I haven't even said anything yet!\Oikawa-san\Nope! Can't hear you! Can't hear a thing! response:	Please listen to me for a second.
context: See ya.\O-Oikawa-san, um...\Nope! Stupid!\You're stupid! You stupid face!\I haven't even said anything yet!\Oikawa-san\Nope! Can't hear you! Can't hear a thing!\Please listen to me for a second. response:	Why should I have to listen to what my opponent has to say?
context: O-Oikawa-san, um...\Nope! Stupid!\You're stupid! You stupid face!\I haven't even said anything yet!\Oikawa-san\Nope! Can't hear you! Can't hear a thing!\Please listen to me for a second.\Why should I have to listen to what my opponent has to say? response:	Please, Oikawa-san!
context: Nope! Stupid!\You're stupid! You stupid face!\I haven't even said anything yet!\Oikawa-san\Nope! Can't hear you! Can't hear a thing!\Please listen to me for a second.\Why should I have to listen to what my opponent has to say?\Please, Oikawa-san! response:	Please! Please!
context: You're stupid! You stupid face!\I haven't even said anything yet!\Oikawa-san\Nope! Can't hear you! Can't hear a thing!\Please listen to me for a second.\Why should I have to listen to what my opponent has to say?\Please, Oikawa-san!\Please! Please! response:	Please!
context: I haven't even said anything yet!\Oikawa-san\Nope! Can't hear you! Can't hear a thing!\Please listen to me for a second.\Why should I have to listen to what my opponent has to say?\Please, Oikawa-san!\Please! Please!\Please! response:	Takeru.
context: Oikawa-san\Nope! Can't hear you! Can't hear a thing!\Please listen to me for a second.\Why should I have to listen to what my opponent has to say?\Please, Oikawa-san!\Please! Please!\Please!\Takeru. response:	What?
context: Nope! Can't hear you! Can't hear a thing!\Please listen to me for a second.\Why should I have to listen to what my opponent has to say?\Please, Oikawa-san!\Please! Please!\Please!\Takeru.\What? response:	Take a picture.
context: Please listen to me for a second.\Why should I have to listen to what my opponent has to say?\Please, Oikawa-san!\Please! Please!\Please!\Takeru.\What?\Take a picture. response:	Hold it like this... And press this button.
context: Why should I have to listen to what my opponent has to say?\Please, Oikawa-san!\Please! Please!\Please!\Takeru.\What?\Take a picture.\Hold it like this... And press this button. response:	Don't move, Tobio.
context: Please, Oikawa-san!\Please! Please!\Please!\Takeru.\What?\Take a picture.\Hold it like this... And press this button.\Don't move, Tobio. response:	Yay! I'll call this, Tobio is No Match For Oikawa-san!
context: Please! Please!\Please!\Takeru.\What?\Take a picture.\Hold it like this... And press this button.\Don't move, Tobio.\Yay! I'll call this, Tobio is No Match For Oikawa-san! response:	Toru, you're actually happy about this picture? Lame.
context: Please!\Takeru.\What?\Take a picture.\Hold it like this... And press this button.\Don't move, Tobio.\Yay! I'll call this, Tobio is No Match For Oikawa-san!\Toru, you're actually happy about this picture? Lame. response:	Well, what do you want?
context: Takeru.\What?\Take a picture.\Hold it like this... And press this button.\Don't move, Tobio.\Yay! I'll call this, Tobio is No Match For Oikawa-san!\Toru, you're actually happy about this picture? Lame.\Well, what do you want? response:	I'm busy, you know.
context: What?\Take a picture.\Hold it like this... And press this button.\Don't move, Tobio.\Yay! I'll call this, Tobio is No Match For Oikawa-san!\Toru, you're actually happy about this picture? Lame.\Well, what do you want?\I'm busy, you know. response:	You said your girlfriend dumped you, so you had free time!
context: Take a picture.\Hold it like this... And press this button.\Don't move, Tobio.\Yay! I'll call this, Tobio is No Match For Oikawa-san!\Toru, you're actually happy about this picture? Lame.\Well, what do you want?\I'm busy, you know.\You said your girlfriend dumped you, so you had free time! response:	Takeru! Shut up!
context: Hold it like this... And press this button.\Don't move, Tobio.\Yay! I'll call this, Tobio is No Match For Oikawa-san!\Toru, you're actually happy about this picture? Lame.\Well, what do you want?\I'm busy, you know.\You said your girlfriend dumped you, so you had free time!\Takeru! Shut up! response:	What? But when you came, you said you didn't know what you did wrong...
context: Don't move, Tobio.\Yay! I'll call this, Tobio is No Match For Oikawa-san!\Toru, you're actually happy about this picture? Lame.\Well, what do you want?\I'm busy, you know.\You said your girlfriend dumped you, so you had free time!\Takeru! Shut up!\What? But when you came, you said you didn't know what you did wrong... response:	I said, Shut up!
context: Yay! I'll call this, Tobio is No Match For Oikawa-san!\Toru, you're actually happy about this picture? Lame.\Well, what do you want?\I'm busy, you know.\You said your girlfriend dumped you, so you had free time!\Takeru! Shut up!\What? But when you came, you said you didn't know what you did wrong...\I said, Shut up! response:	So, uh, what if you were close to a tournament, and, uh...
context: Toru, you're actually happy about this picture? Lame.\Well, what do you want?\I'm busy, you know.\You said your girlfriend dumped you, so you had free time!\Takeru! Shut up!\What? But when you came, you said you didn't know what you did wrong...\I said, Shut up!\So, uh, what if you were close to a tournament, and, uh... response:	And Iwaizumi-san said he was going to try some impossible attack...
context: Well, what do you want?\I'm busy, you know.\You said your girlfriend dumped you, so you had free time!\Takeru! Shut up!\What? But when you came, you said you didn't know what you did wrong...\I said, Shut up!\So, uh, what if you were close to a tournament, and, uh...\And Iwaizumi-san said he was going to try some impossible attack... response:	Hey.
context: I'm busy, you know.\You said your girlfriend dumped you, so you had free time!\Takeru! Shut up!\What? But when you came, you said you didn't know what you did wrong...\I said, Shut up!\So, uh, what if you were close to a tournament, and, uh...\And Iwaizumi-san said he was going to try some impossible attack...\Hey. response:	If you want to talk to me about something,
context: You said your girlfriend dumped you, so you had free time!\Takeru! Shut up!\What? But when you came, you said you didn't know what you did wrong...\I said, Shut up!\So, uh, what if you were close to a tournament, and, uh...\And Iwaizumi-san said he was going to try some impossible attack...\Hey.\If you want to talk to me about something, response:	quit with the lame what if story and just tell me flat out.
context: Takeru! Shut up!\What? But when you came, you said you didn't know what you did wrong...\I said, Shut up!\So, uh, what if you were close to a tournament, and, uh...\And Iwaizumi-san said he was going to try some impossible attack...\Hey.\If you want to talk to me about something,\quit with the lame what if story and just tell me flat out. response:	Hinata said he wants to hit our quick with his own will,
context: What? But when you came, you said you didn't know what you did wrong...\I said, Shut up!\So, uh, what if you were close to a tournament, and, uh...\And Iwaizumi-san said he was going to try some impossible attack...\Hey.\If you want to talk to me about something,\quit with the lame what if story and just tell me flat out.\Hinata said he wants to hit our quick with his own will, response:	even though he had been closing his eyes this whole time.
context: I said, Shut up!\So, uh, what if you were close to a tournament, and, uh...\And Iwaizumi-san said he was going to try some impossible attack...\Hey.\If you want to talk to me about something,\quit with the lame what if story and just tell me flat out.\Hinata said he wants to hit our quick with his own will,\even though he had been closing his eyes this whole time. response:	Oh, really? That'd be pretty impressive if he could do it.
context: So, uh, what if you were close to a tournament, and, uh...\And Iwaizumi-san said he was going to try some impossible attack...\Hey.\If you want to talk to me about something,\quit with the lame what if story and just tell me flat out.\Hinata said he wants to hit our quick with his own will,\even though he had been closing his eyes this whole time.\Oh, really? That'd be pretty impressive if he could do it. response:	Why not let him?
context: And Iwaizumi-san said he was going to try some impossible attack...\Hey.\If you want to talk to me about something,\quit with the lame what if story and just tell me flat out.\Hinata said he wants to hit our quick with his own will,\even though he had been closing his eyes this whole time.\Oh, really? That'd be pretty impressive if he could do it.\Why not let him? response:	Please don't make it sound so easy!
context: Hey.\If you want to talk to me about something,\quit with the lame what if story and just tell me flat out.\Hinata said he wants to hit our quick with his own will,\even though he had been closing his eyes this whole time.\Oh, really? That'd be pretty impressive if he could do it.\Why not let him?\Please don't make it sound so easy! response:	Hinata doesn't have any technique!
context: If you want to talk to me about something,\quit with the lame what if story and just tell me flat out.\Hinata said he wants to hit our quick with his own will,\even though he had been closing his eyes this whole time.\Oh, really? That'd be pretty impressive if he could do it.\Why not let him?\Please don't make it sound so easy!\Hinata doesn't have any technique! response:	So you told him, Just do as I say?
context: quit with the lame what if story and just tell me flat out.\Hinata said he wants to hit our quick with his own will,\even though he had been closing his eyes this whole time.\Oh, really? That'd be pretty impressive if he could do it.\Why not let him?\Please don't make it sound so easy!\Hinata doesn't have any technique!\So you told him, Just do as I say? response:	You sound like a dictator.
context: Hinata said he wants to hit our quick with his own will,\even though he had been closing his eyes this whole time.\Oh, really? That'd be pretty impressive if he could do it.\Why not let him?\Please don't make it sound so easy!\Hinata doesn't have any technique!\So you told him, Just do as I say?\You sound like a dictator. response:	Have you put any thought into it?
context: even though he had been closing his eyes this whole time.\Oh, really? That'd be pretty impressive if he could do it.\Why not let him?\Please don't make it sound so easy!\Hinata doesn't have any technique!\So you told him, Just do as I say?\You sound like a dictator.\Have you put any thought into it? response:	Are you giving the shrimp the exact tosses he wants?
context: Oh, really? That'd be pretty impressive if he could do it.\Why not let him?\Please don't make it sound so easy!\Hinata doesn't have any technique!\So you told him, Just do as I say?\You sound like a dictator.\Have you put any thought into it?\Are you giving the shrimp the exact tosses he wants? response:	Have you even tried to?
context: Why not let him?\Please don't make it sound so easy!\Hinata doesn't have any technique!\So you told him, Just do as I say?\You sound like a dictator.\Have you put any thought into it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to? response:	Kageyama...
context: Please don't make it sound so easy!\Hinata doesn't have any technique!\So you told him, Just do as I say?\You sound like a dictator.\Have you put any thought into it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Kageyama... response:	Give me a toss.
context: Hinata doesn't have any technique!\So you told him, Just do as I say?\You sound like a dictator.\Have you put any thought into it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Kageyama...\Give me a toss. response:	If you're thinking the situation as good as it can be and you're being defensive about it,
context: So you told him, Just do as I say?\You sound like a dictator.\Have you put any thought into it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Kageyama...\Give me a toss.\If you're thinking the situation as good as it can be and you're being defensive about it, response:	you're basically a coward.
context: You sound like a dictator.\Have you put any thought into it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Kageyama...\Give me a toss.\If you're thinking the situation as good as it can be and you're being defensive about it,\you're basically a coward. response:	Don't get the wrong idea.
context: Have you put any thought into it?\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Kageyama...\Give me a toss.\If you're thinking the situation as good as it can be and you're being defensive about it,\you're basically a coward.\Don't get the wrong idea. response:	The one who has leadership in an attack isn't you...
context: Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\Kageyama...\Give me a toss.\If you're thinking the situation as good as it can be and you're being defensive about it,\you're basically a coward.\Don't get the wrong idea.\The one who has leadership in an attack isn't you... response:	It's the little shrimp.
context: Have you even tried to?\Kageyama...\Give me a toss.\If you're thinking the situation as good as it can be and you're being defensive about it,\you're basically a coward.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp. response:	If you can't understand that,
context: Kageyama...\Give me a toss.\If you're thinking the situation as good as it can be and you're being defensive about it,\you're basically a coward.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that, response:	you're just regressing back to playing the tyrant king.
context: Give me a toss.\If you're thinking the situation as good as it can be and you're being defensive about it,\you're basically a coward.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king. response:	Let's go, Takeru.
context: If you're thinking the situation as good as it can be and you're being defensive about it,\you're basically a coward.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Let's go, Takeru. response:	Are you in a good mood, Toru?
context: you're basically a coward.\Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Let's go, Takeru.\Are you in a good mood, Toru? response:	I'm happy that Tobio's more run down that I thought he was.
context: Don't get the wrong idea.\The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Let's go, Takeru.\Are you in a good mood, Toru?\I'm happy that Tobio's more run down that I thought he was. response:	I'm totally blurry!
context: The one who has leadership in an attack isn't you...\It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Let's go, Takeru.\Are you in a good mood, Toru?\I'm happy that Tobio's more run down that I thought he was.\I'm totally blurry! response:	You'll need awareness before you improve your technique.
context: It's the little shrimp.\If you can't understand that,\you're just regressing back to playing the tyrant king.\Let's go, Takeru.\Are you in a good mood, Toru?\I'm happy that Tobio's more run down that I thought he was.\I'm totally blurry!\You'll need awareness before you improve your technique. response:	What do you personally think about this weirdo quick of yours?
context: If you can't understand that,\you're just regressing back to playing the tyrant king.\Let's go, Takeru.\Are you in a good mood, Toru?\I'm happy that Tobio's more run down that I thought he was.\I'm totally blurry!\You'll need awareness before you improve your technique.\What do you personally think about this weirdo quick of yours? response:	Um... I go whoosh, and then jump up as high as I can, like pop,
context: you're just regressing back to playing the tyrant king.\Let's go, Takeru.\Are you in a good mood, Toru?\I'm happy that Tobio's more run down that I thought he was.\I'm totally blurry!\You'll need awareness before you improve your technique.\What do you personally think about this weirdo quick of yours?\Um... I go whoosh, and then jump up as high as I can, like pop, response:	and then the set comes toward me, like slash,
context: Let's go, Takeru.\Are you in a good mood, Toru?\I'm happy that Tobio's more run down that I thought he was.\I'm totally blurry!\You'll need awareness before you improve your technique.\What do you personally think about this weirdo quick of yours?\Um... I go whoosh, and then jump up as high as I can, like pop,\and then the set comes toward me, like slash, response:	and then if I wave my arm, like swoosh,
context: Are you in a good mood, Toru?\I'm happy that Tobio's more run down that I thought he was.\I'm totally blurry!\You'll need awareness before you improve your technique.\What do you personally think about this weirdo quick of yours?\Um... I go whoosh, and then jump up as high as I can, like pop,\and then the set comes toward me, like slash,\and then if I wave my arm, like swoosh, response:	my hand happens to perfectly make contact, like whack.
context: I'm happy that Tobio's more run down that I thought he was.\I'm totally blurry!\You'll need awareness before you improve your technique.\What do you personally think about this weirdo quick of yours?\Um... I go whoosh, and then jump up as high as I can, like pop,\and then the set comes toward me, like slash,\and then if I wave my arm, like swoosh,\my hand happens to perfectly make contact, like whack. response:	Er, what he's trying to say is when he jumps up with his eyes closed,
context: I'm totally blurry!\You'll need awareness before you improve your technique.\What do you personally think about this weirdo quick of yours?\Um... I go whoosh, and then jump up as high as I can, like pop,\and then the set comes toward me, like slash,\and then if I wave my arm, like swoosh,\my hand happens to perfectly make contact, like whack.\Er, what he's trying to say is when he jumps up with his eyes closed, response:	our setter, Kageyama, tosses the ball directly to him
context: You'll need awareness before you improve your technique.\What do you personally think about this weirdo quick of yours?\Um... I go whoosh, and then jump up as high as I can, like pop,\and then the set comes toward me, like slash,\and then if I wave my arm, like swoosh,\my hand happens to perfectly make contact, like whack.\Er, what he's trying to say is when he jumps up with his eyes closed,\our setter, Kageyama, tosses the ball directly to him response:	I get what you're trying to say.
context: What do you personally think about this weirdo quick of yours?\Um... I go whoosh, and then jump up as high as I can, like pop,\and then the set comes toward me, like slash,\and then if I wave my arm, like swoosh,\my hand happens to perfectly make contact, like whack.\Er, what he's trying to say is when he jumps up with his eyes closed,\our setter, Kageyama, tosses the ball directly to him\I get what you're trying to say. response:	But you're wrong, Shrimpy.
