context: Invade the Empire of Misurugi?! response:	Embryo is in charge of all of the human world's defenses.
context: The new troops will stand by at the border.\They'll help Ange and the Villkiss escape.\Y-Yes, ma'am!\What's wrong? Are you nervous?\B-But Onee-sama...\I've never flown in the human world before.\Don't worry. It's my first time, too.\What?! response:	It'll be all right. I think.
context: They'll help Ange and the Villkiss escape.\Y-Yes, ma'am!\What's wrong? Are you nervous?\B-But Onee-sama...\I've never flown in the human world before.\Don't worry. It's my first time, too.\What?!\It'll be all right. I think. response:	All right, Hilda Squad, move out!
context: Y-Yes, ma'am!\What's wrong? Are you nervous?\B-But Onee-sama...\I've never flown in the human world before.\Don't worry. It's my first time, too.\What?!\It'll be all right. I think.\All right, Hilda Squad, move out! response:	Yes, ma'am!
context: What's wrong? Are you nervous?\B-But Onee-sama...\I've never flown in the human world before.\Don't worry. It's my first time, too.\What?!\It'll be all right. I think.\All right, Hilda Squad, move out!\Yes, ma'am! response:	The One Left Behind
context: B-But Onee-sama...\I've never flown in the human world before.\Don't worry. It's my first time, too.\What?!\It'll be all right. I think.\All right, Hilda Squad, move out!\Yes, ma'am!\The One Left Behind response:	Salako...
context: I've never flown in the human world before.\Don't worry. It's my first time, too.\What?!\It'll be all right. I think.\All right, Hilda Squad, move out!\Yes, ma'am!\The One Left Behind\Salako... response:	Is it you?
context: Don't worry. It's my first time, too.\What?!\It'll be all right. I think.\All right, Hilda Squad, move out!\Yes, ma'am!\The One Left Behind\Salako...\Is it you? response:	Is she an acquaintance?
context: What?!\It'll be all right. I think.\All right, Hilda Squad, move out!\Yes, ma'am!\The One Left Behind\Salako...\Is it you?\Is she an acquaintance? response:	You're looking pretty ragged, compared to the last time I saw you.
context: It'll be all right. I think.\All right, Hilda Squad, move out!\Yes, ma'am!\The One Left Behind\Salako...\Is it you?\Is she an acquaintance?\You're looking pretty ragged, compared to the last time I saw you. response:	And I can smell you from downwind.
context: All right, Hilda Squad, move out!\Yes, ma'am!\The One Left Behind\Salako...\Is it you?\Is she an acquaintance?\You're looking pretty ragged, compared to the last time I saw you.\And I can smell you from downwind. response:	How about you go take a bath?
context: Yes, ma'am!\The One Left Behind\Salako...\Is it you?\Is she an acquaintance?\You're looking pretty ragged, compared to the last time I saw you.\And I can smell you from downwind.\How about you go take a bath? response:	I'll take care of this.
context: The One Left Behind\Salako...\Is it you?\Is she an acquaintance?\You're looking pretty ragged, compared to the last time I saw you.\And I can smell you from downwind.\How about you go take a bath?\I'll take care of this. response:	All right, then. Thanks.
context: Salako...\Is it you?\Is she an acquaintance?\You're looking pretty ragged, compared to the last time I saw you.\And I can smell you from downwind.\How about you go take a bath?\I'll take care of this.\All right, then. Thanks. response:	Are you ready, you two?
context: Is it you?\Is she an acquaintance?\You're looking pretty ragged, compared to the last time I saw you.\And I can smell you from downwind.\How about you go take a bath?\I'll take care of this.\All right, then. Thanks.\Are you ready, you two? response:	Yes, Salamandinay-sama.
context: Is she an acquaintance?\You're looking pretty ragged, compared to the last time I saw you.\And I can smell you from downwind.\How about you go take a bath?\I'll take care of this.\All right, then. Thanks.\Are you ready, you two?\Yes, Salamandinay-sama. response:	Let me through, please.
context: You're looking pretty ragged, compared to the last time I saw you.\And I can smell you from downwind.\How about you go take a bath?\I'll take care of this.\All right, then. Thanks.\Are you ready, you two?\Yes, Salamandinay-sama.\Let me through, please. response:	To Aura!
context: And I can smell you from downwind.\How about you go take a bath?\I'll take care of this.\All right, then. Thanks.\Are you ready, you two?\Yes, Salamandinay-sama.\Let me through, please.\To Aura! response:	What is that?
context: How about you go take a bath?\I'll take care of this.\All right, then. Thanks.\Are you ready, you two?\Yes, Salamandinay-sama.\Let me through, please.\To Aura!\What is that? response:	Help me!
context: I'll take care of this.\All right, then. Thanks.\Are you ready, you two?\Yes, Salamandinay-sama.\Let me through, please.\To Aura!\What is that?\Help me! response:	Embryo-ojisama!
context: All right, then. Thanks.\Are you ready, you two?\Yes, Salamandinay-sama.\Let me through, please.\To Aura!\What is that?\Help me!\Embryo-ojisama! response:	Salamandinay-sama.
context: Are you ready, you two?\Yes, Salamandinay-sama.\Let me through, please.\To Aura!\What is that?\Help me!\Embryo-ojisama!\Salamandinay-sama. response:	Hilda, something's not right.
context: Yes, Salamandinay-sama.\Let me through, please.\To Aura!\What is that?\Help me!\Embryo-ojisama!\Salamandinay-sama.\Hilda, something's not right. response:	They're already fighting.
context: Let me through, please.\To Aura!\What is that?\Help me!\Embryo-ojisama!\Salamandinay-sama.\Hilda, something's not right.\They're already fighting. response:	What?
context: To Aura!\What is that?\Help me!\Embryo-ojisama!\Salamandinay-sama.\Hilda, something's not right.\They're already fighting.\What? response:	Sniff sniff, sniff sniff...
context: What is that?\Help me!\Embryo-ojisama!\Salamandinay-sama.\Hilda, something's not right.\They're already fighting.\What?\Sniff sniff, sniff sniff... response:	Hilda, Ange is that way.
context: Help me!\Embryo-ojisama!\Salamandinay-sama.\Hilda, something's not right.\They're already fighting.\What?\Sniff sniff, sniff sniff...\Hilda, Ange is that way. response:	What?
context: Embryo-ojisama!\Salamandinay-sama.\Hilda, something's not right.\They're already fighting.\What?\Sniff sniff, sniff sniff...\Hilda, Ange is that way.\What? response:	That way!
context: Salamandinay-sama.\Hilda, something's not right.\They're already fighting.\What?\Sniff sniff, sniff sniff...\Hilda, Ange is that way.\What?\That way! response:	Shit, what's going on?
context: Hilda, something's not right.\They're already fighting.\What?\Sniff sniff, sniff sniff...\Hilda, Ange is that way.\What?\That way!\Shit, what's going on? response:	Tusk, we have a change of plans.
context: They're already fighting.\What?\Sniff sniff, sniff sniff...\Hilda, Ange is that way.\What?\That way!\Shit, what's going on?\Tusk, we have a change of plans. response:	Ange isn't at the palace anymore.
context: What?\Sniff sniff, sniff sniff...\Hilda, Ange is that way.\What?\That way!\Shit, what's going on?\Tusk, we have a change of plans.\Ange isn't at the palace anymore. response:	We'll be following her.
context: Sniff sniff, sniff sniff...\Hilda, Ange is that way.\What?\That way!\Shit, what's going on?\Tusk, we have a change of plans.\Ange isn't at the palace anymore.\We'll be following her. response:	Got it.
context: Hilda, Ange is that way.\What?\That way!\Shit, what's going on?\Tusk, we have a change of plans.\Ange isn't at the palace anymore.\We'll be following her.\Got it. response:	Momoka, any followers?
context: What?\That way!\Shit, what's going on?\Tusk, we have a change of plans.\Ange isn't at the palace anymore.\We'll be following her.\Got it.\Momoka, any followers? response:	Not for now.
context: That way!\Shit, what's going on?\Tusk, we have a change of plans.\Ange isn't at the palace anymore.\We'll be following her.\Got it.\Momoka, any followers?\Not for now. response:	There's Ange!
context: Shit, what's going on?\Tusk, we have a change of plans.\Ange isn't at the palace anymore.\We'll be following her.\Got it.\Momoka, any followers?\Not for now.\There's Ange! response:	Damn, she really found her.
context: Tusk, we have a change of plans.\Ange isn't at the palace anymore.\We'll be following her.\Got it.\Momoka, any followers?\Not for now.\There's Ange!\Damn, she really found her. response:	We're here to help you, Ange.
context: Ange isn't at the palace anymore.\We'll be following her.\Got it.\Momoka, any followers?\Not for now.\There's Ange!\Damn, she really found her.\We're here to help you, Ange. response:	Guys...
context: We'll be following her.\Got it.\Momoka, any followers?\Not for now.\There's Ange!\Damn, she really found her.\We're here to help you, Ange.\Guys... response:	Ange!
context: Got it.\Momoka, any followers?\Not for now.\There's Ange!\Damn, she really found her.\We're here to help you, Ange.\Guys...\Ange! response:	Ange!
context: Momoka, any followers?\Not for now.\There's Ange!\Damn, she really found her.\We're here to help you, Ange.\Guys...\Ange!\Ange! response:	Move.
context: Not for now.\There's Ange!\Damn, she really found her.\We're here to help you, Ange.\Guys...\Ange!\Ange!\Move. response:	Ange, I'm taking you back.
context: There's Ange!\Damn, she really found her.\We're here to help you, Ange.\Guys...\Ange!\Ange!\Move.\Ange, I'm taking you back. response:	I'm taking Ange.
context: Damn, she really found her.\We're here to help you, Ange.\Guys...\Ange!\Ange!\Move.\Ange, I'm taking you back.\I'm taking Ange. response:	Piss off.
context: We're here to help you, Ange.\Guys...\Ange!\Ange!\Move.\Ange, I'm taking you back.\I'm taking Ange.\Piss off. response:	Oh? You're here to help her.
context: Guys...\Ange!\Ange!\Move.\Ange, I'm taking you back.\I'm taking Ange.\Piss off.\Oh? You're here to help her. response:	Even though...
context: Ange!\Ange!\Move.\Ange, I'm taking you back.\I'm taking Ange.\Piss off.\Oh? You're here to help her.\Even though... response:	W-Wait, Chris!
context: Ange!\Move.\Ange, I'm taking you back.\I'm taking Ange.\Piss off.\Oh? You're here to help her.\Even though...\W-Wait, Chris! response:	I told you to piss off!
context: Move.\Ange, I'm taking you back.\I'm taking Ange.\Piss off.\Oh? You're here to help her.\Even though...\W-Wait, Chris!\I told you to piss off! response:	Do you really think you can beat me?
context: Ange, I'm taking you back.\I'm taking Ange.\Piss off.\Oh? You're here to help her.\Even though...\W-Wait, Chris!\I told you to piss off!\Do you really think you can beat me? response:	You haven't changed, have you?
context: I'm taking Ange.\Piss off.\Oh? You're here to help her.\Even though...\W-Wait, Chris!\I told you to piss off!\Do you really think you can beat me?\You haven't changed, have you? response:	You still think I'm your worthless old puppet, don't you?
context: Piss off.\Oh? You're here to help her.\Even though...\W-Wait, Chris!\I told you to piss off!\Do you really think you can beat me?\You haven't changed, have you?\You still think I'm your worthless old puppet, don't you? response:	What?
context: Oh? You're here to help her.\Even though...\W-Wait, Chris!\I told you to piss off!\Do you really think you can beat me?\You haven't changed, have you?\You still think I'm your worthless old puppet, don't you?\What? response:	I'm not the same person I was before.
context: Even though...\W-Wait, Chris!\I told you to piss off!\Do you really think you can beat me?\You haven't changed, have you?\You still think I'm your worthless old puppet, don't you?\What?\I'm not the same person I was before. response:	Get in my way, and I'll kill you.
context: W-Wait, Chris!\I told you to piss off!\Do you really think you can beat me?\You haven't changed, have you?\You still think I'm your worthless old puppet, don't you?\What?\I'm not the same person I was before.\Get in my way, and I'll kill you. response:	Chris...
context: I told you to piss off!\Do you really think you can beat me?\You haven't changed, have you?\You still think I'm your worthless old puppet, don't you?\What?\I'm not the same person I was before.\Get in my way, and I'll kill you.\Chris... response:	Try it.
context: Do you really think you can beat me?\You haven't changed, have you?\You still think I'm your worthless old puppet, don't you?\What?\I'm not the same person I was before.\Get in my way, and I'll kill you.\Chris...\Try it. response:	Tusk, the Villkiss is down.
context: You haven't changed, have you?\You still think I'm your worthless old puppet, don't you?\What?\I'm not the same person I was before.\Get in my way, and I'll kill you.\Chris...\Try it.\Tusk, the Villkiss is down. response:	I have my hands full.
context: You still think I'm your worthless old puppet, don't you?\What?\I'm not the same person I was before.\Get in my way, and I'll kill you.\Chris...\Try it.\Tusk, the Villkiss is down.\I have my hands full. response:	Take care of Ange.
context: What?\I'm not the same person I was before.\Get in my way, and I'll kill you.\Chris...\Try it.\Tusk, the Villkiss is down.\I have my hands full.\Take care of Ange. response:	Got it.
context: I'm not the same person I was before.\Get in my way, and I'll kill you.\Chris...\Try it.\Tusk, the Villkiss is down.\I have my hands full.\Take care of Ange.\Got it. response:	Princess.
context: Get in my way, and I'll kill you.\Chris...\Try it.\Tusk, the Villkiss is down.\I have my hands full.\Take care of Ange.\Got it.\Princess. response:	Momoka.
context: Chris...\Try it.\Tusk, the Villkiss is down.\I have my hands full.\Take care of Ange.\Got it.\Princess.\Momoka. response:	The Villkiss.
context: Try it.\Tusk, the Villkiss is down.\I have my hands full.\Take care of Ange.\Got it.\Princess.\Momoka.\The Villkiss. response:	Let's go, Momoka.
context: Tusk, the Villkiss is down.\I have my hands full.\Take care of Ange.\Got it.\Princess.\Momoka.\The Villkiss.\Let's go, Momoka. response:	Where to?
context: I have my hands full.\Take care of Ange.\Got it.\Princess.\Momoka.\The Villkiss.\Let's go, Momoka.\Where to? response:	Hilda and the others are here.
context: Take care of Ange.\Got it.\Princess.\Momoka.\The Villkiss.\Let's go, Momoka.\Where to?\Hilda and the others are here. response:	That must mean the Aurora is nearby.
context: Got it.\Princess.\Momoka.\The Villkiss.\Let's go, Momoka.\Where to?\Hilda and the others are here.\That must mean the Aurora is nearby. response:	We should be able to meet them at sea.
context: Princess.\Momoka.\The Villkiss.\Let's go, Momoka.\Where to?\Hilda and the others are here.\That must mean the Aurora is nearby.\We should be able to meet them at sea. response:	Okay.
context: Momoka.\The Villkiss.\Let's go, Momoka.\Where to?\Hilda and the others are here.\That must mean the Aurora is nearby.\We should be able to meet them at sea.\Okay. response:	Everyone, hang in there until Mommy Ersha gets back, okay?
context: The Villkiss.\Let's go, Momoka.\Where to?\Hilda and the others are here.\That must mean the Aurora is nearby.\We should be able to meet them at sea.\Okay.\Everyone, hang in there until Mommy Ersha gets back, okay? response:	I'll go find a car.
context: Let's go, Momoka.\Where to?\Hilda and the others are here.\That must mean the Aurora is nearby.\We should be able to meet them at sea.\Okay.\Everyone, hang in there until Mommy Ersha gets back, okay?\I'll go find a car. response:	Please wait here.
context: Where to?\Hilda and the others are here.\That must mean the Aurora is nearby.\We should be able to meet them at sea.\Okay.\Everyone, hang in there until Mommy Ersha gets back, okay?\I'll go find a car.\Please wait here. response:	Sorry to burden you, Momoka.
context: Hilda and the others are here.\That must mean the Aurora is nearby.\We should be able to meet them at sea.\Okay.\Everyone, hang in there until Mommy Ersha gets back, okay?\I'll go find a car.\Please wait here.\Sorry to burden you, Momoka. response:	I, Momoka Oginome, am your top maid.
context: That must mean the Aurora is nearby.\We should be able to meet them at sea.\Okay.\Everyone, hang in there until Mommy Ersha gets back, okay?\I'll go find a car.\Please wait here.\Sorry to burden you, Momoka.\I, Momoka Oginome, am your top maid. response:	Momoka.
context: We should be able to meet them at sea.\Okay.\Everyone, hang in there until Mommy Ersha gets back, okay?\I'll go find a car.\Please wait here.\Sorry to burden you, Momoka.\I, Momoka Oginome, am your top maid.\Momoka. response:	You must be tired, Ange.
context: Okay.\Everyone, hang in there until Mommy Ersha gets back, okay?\I'll go find a car.\Please wait here.\Sorry to burden you, Momoka.\I, Momoka Oginome, am your top maid.\Momoka.\You must be tired, Ange. response:	Embryo.
context: Everyone, hang in there until Mommy Ersha gets back, okay?\I'll go find a car.\Please wait here.\Sorry to burden you, Momoka.\I, Momoka Oginome, am your top maid.\Momoka.\You must be tired, Ange.\Embryo. response:	Now, come home.
context: I'll go find a car.\Please wait here.\Sorry to burden you, Momoka.\I, Momoka Oginome, am your top maid.\Momoka.\You must be tired, Ange.\Embryo.\Now, come home. response:	Angelise-sama, the car.
context: Please wait here.\Sorry to burden you, Momoka.\I, Momoka Oginome, am your top maid.\Momoka.\You must be tired, Ange.\Embryo.\Now, come home.\Angelise-sama, the car. response:	Go, Momoka.
context: Sorry to burden you, Momoka.\I, Momoka Oginome, am your top maid.\Momoka.\You must be tired, Ange.\Embryo.\Now, come home.\Angelise-sama, the car.\Go, Momoka. response:	What? Yes!
context: I, Momoka Oginome, am your top maid.\Momoka.\You must be tired, Ange.\Embryo.\Now, come home.\Angelise-sama, the car.\Go, Momoka.\What? Yes! response:	Ange!
context: Momoka.\You must be tired, Ange.\Embryo.\Now, come home.\Angelise-sama, the car.\Go, Momoka.\What? Yes!\Ange! response:	Ange!
context: You must be tired, Ange.\Embryo.\Now, come home.\Angelise-sama, the car.\Go, Momoka.\What? Yes!\Ange!\Ange! response:	Wait, please, Chris!
context: Embryo.\Now, come home.\Angelise-sama, the car.\Go, Momoka.\What? Yes!\Ange!\Ange!\Wait, please, Chris! response:	Why?
context: Now, come home.\Angelise-sama, the car.\Go, Momoka.\What? Yes!\Ange!\Ange!\Wait, please, Chris!\Why? response:	Why do we have to kill each other?
context: Angelise-sama, the car.\Go, Momoka.\What? Yes!\Ange!\Ange!\Wait, please, Chris!\Why?\Why do we have to kill each other? response:	You left me for dead.
context: Go, Momoka.\What? Yes!\Ange!\Ange!\Wait, please, Chris!\Why?\Why do we have to kill each other?\You left me for dead. response:	We wanted to help you, but we couldn't.
context: What? Yes!\Ange!\Ange!\Wait, please, Chris!\Why?\Why do we have to kill each other?\You left me for dead.\We wanted to help you, but we couldn't. response:	Because I wasn't worth saving, right?
context: Ange!\Ange!\Wait, please, Chris!\Why?\Why do we have to kill each other?\You left me for dead.\We wanted to help you, but we couldn't.\Because I wasn't worth saving, right? response:	That's what you people are like.
context: Ange!\Wait, please, Chris!\Why?\Why do we have to kill each other?\You left me for dead.\We wanted to help you, but we couldn't.\Because I wasn't worth saving, right?\That's what you people are like. response:	You haven't changed.
context: Wait, please, Chris!\Why?\Why do we have to kill each other?\You left me for dead.\We wanted to help you, but we couldn't.\Because I wasn't worth saving, right?\That's what you people are like.\You haven't changed. response:	Hey, do you remember this?
context: Why?\Why do we have to kill each other?\You left me for dead.\We wanted to help you, but we couldn't.\Because I wasn't worth saving, right?\That's what you people are like.\You haven't changed.\Hey, do you remember this? response:	At the Festa, seven years ago.
context: Why do we have to kill each other?\You left me for dead.\We wanted to help you, but we couldn't.\Because I wasn't worth saving, right?\That's what you people are like.\You haven't changed.\Hey, do you remember this?\At the Festa, seven years ago. response:	One, two...
context: You left me for dead.\We wanted to help you, but we couldn't.\Because I wasn't worth saving, right?\That's what you people are like.\You haven't changed.\Hey, do you remember this?\At the Festa, seven years ago.\One, two... response:	That's the one I bought.
context: We wanted to help you, but we couldn't.\Because I wasn't worth saving, right?\That's what you people are like.\You haven't changed.\Hey, do you remember this?\At the Festa, seven years ago.\One, two...\That's the one I bought. response:	Oh? You have good taste.
context: Because I wasn't worth saving, right?\That's what you people are like.\You haven't changed.\Hey, do you remember this?\At the Festa, seven years ago.\One, two...\That's the one I bought.\Oh? You have good taste. response:	I chose it.
context: That's what you people are like.\You haven't changed.\Hey, do you remember this?\At the Festa, seven years ago.\One, two...\That's the one I bought.\Oh? You have good taste.\I chose it. response:	That's so you.
context: You haven't changed.\Hey, do you remember this?\At the Festa, seven years ago.\One, two...\That's the one I bought.\Oh? You have good taste.\I chose it.\That's so you. response:	It's cute.
context: Hey, do you remember this?\At the Festa, seven years ago.\One, two...\That's the one I bought.\Oh? You have good taste.\I chose it.\That's so you.\It's cute. response:	But what should I do? I only have one.
context: At the Festa, seven years ago.\One, two...\That's the one I bought.\Oh? You have good taste.\I chose it.\That's so you.\It's cute.\But what should I do? I only have one. response:	Why not get rid of one of your pigtails?
context: One, two...\That's the one I bought.\Oh? You have good taste.\I chose it.\That's so you.\It's cute.\But what should I do? I only have one.\Why not get rid of one of your pigtails? response:	I already have two.
context: That's the one I bought.\Oh? You have good taste.\I chose it.\That's so you.\It's cute.\But what should I do? I only have one.\Why not get rid of one of your pigtails?\I already have two. response:	That sounds good.
context: Oh? You have good taste.\I chose it.\That's so you.\It's cute.\But what should I do? I only have one.\Why not get rid of one of your pigtails?\I already have two.\That sounds good. response:	Right?
context: I chose it.\That's so you.\It's cute.\But what should I do? I only have one.\Why not get rid of one of your pigtails?\I already have two.\That sounds good.\Right? response:	S-Sure...
context: That's so you.\It's cute.\But what should I do? I only have one.\Why not get rid of one of your pigtails?\I already have two.\That sounds good.\Right?\S-Sure... response:	How could you?
context: It's cute.\But what should I do? I only have one.\Why not get rid of one of your pigtails?\I already have two.\That sounds good.\Right?\S-Sure...\How could you? response:	I liked my hair that way.
context: But what should I do? I only have one.\Why not get rid of one of your pigtails?\I already have two.\That sounds good.\Right?\S-Sure...\How could you?\I liked my hair that way. response:	What of it now, after all this time?
context: Why not get rid of one of your pigtails?\I already have two.\That sounds good.\Right?\S-Sure...\How could you?\I liked my hair that way.\What of it now, after all this time? response:	That's not all.
context: I already have two.\That sounds good.\Right?\S-Sure...\How could you?\I liked my hair that way.\What of it now, after all this time?\That's not all. response:	I've always been holding it in.
context: That sounds good.\Right?\S-Sure...\How could you?\I liked my hair that way.\What of it now, after all this time?\That's not all.\I've always been holding it in. response:	I tried to accept everything.
context: Right?\S-Sure...\How could you?\I liked my hair that way.\What of it now, after all this time?\That's not all.\I've always been holding it in.\I tried to accept everything. response:	All your self-indulgence.
context: S-Sure...\How could you?\I liked my hair that way.\What of it now, after all this time?\That's not all.\I've always been holding it in.\I tried to accept everything.\All your self-indulgence. response:	My own place among you.
context: How could you?\I liked my hair that way.\What of it now, after all this time?\That's not all.\I've always been holding it in.\I tried to accept everything.\All your self-indulgence.\My own place among you. response:	I thought we were friends.
context: I liked my hair that way.\What of it now, after all this time?\That's not all.\I've always been holding it in.\I tried to accept everything.\All your self-indulgence.\My own place among you.\I thought we were friends. response:	Ah, forget it.
context: What of it now, after all this time?\That's not all.\I've always been holding it in.\I tried to accept everything.\All your self-indulgence.\My own place among you.\I thought we were friends.\Ah, forget it. response:	You wouldn't get it, would you?
context: That's not all.\I've always been holding it in.\I tried to accept everything.\All your self-indulgence.\My own place among you.\I thought we were friends.\Ah, forget it.\You wouldn't get it, would you? response:	One woman who can't understand other people's feelings,
context: I've always been holding it in.\I tried to accept everything.\All your self-indulgence.\My own place among you.\I thought we were friends.\Ah, forget it.\You wouldn't get it, would you?\One woman who can't understand other people's feelings, response:	and an idiot who never thinks at all.
context: I tried to accept everything.\All your self-indulgence.\My own place among you.\I thought we were friends.\Ah, forget it.\You wouldn't get it, would you?\One woman who can't understand other people's feelings,\and an idiot who never thinks at all. response:	But Embryo-kun is different.
context: All your self-indulgence.\My own place among you.\I thought we were friends.\Ah, forget it.\You wouldn't get it, would you?\One woman who can't understand other people's feelings,\and an idiot who never thinks at all.\But Embryo-kun is different. response:	Poor Chris.
context: My own place among you.\I thought we were friends.\Ah, forget it.\You wouldn't get it, would you?\One woman who can't understand other people's feelings,\and an idiot who never thinks at all.\But Embryo-kun is different.\Poor Chris. response:	Betrayed and walked all over.
