context: Your Majesty. response:	If I may, you don't have to go yourself.
context: Oh, no.\We wouldn't have it any other way, my lady.\We shall now put down\the traitorous Three Heroes Church's Pope,\Bisca T. Balmus, and his followers!\Yes, my lady!\We leave immediately! Move the cavalry out!\Please, just survive a little longer, Shield Hero... and Melty. response:	The Rising of the Shield Hero
context: We wouldn't have it any other way, my lady.\We shall now put down\the traitorous Three Heroes Church's Pope,\Bisca T. Balmus, and his followers!\Yes, my lady!\We leave immediately! Move the cavalry out!\Please, just survive a little longer, Shield Hero... and Melty.\The Rising of the Shield Hero response:	Battle of Good and Evil
context: We shall now put down\the traitorous Three Heroes Church's Pope,\Bisca T. Balmus, and his followers!\Yes, my lady!\We leave immediately! Move the cavalry out!\Please, just survive a little longer, Shield Hero... and Melty.\The Rising of the Shield Hero\Battle of Good and Evil response:	Cathedral!
context: the traitorous Three Heroes Church's Pope,\Bisca T. Balmus, and his followers!\Yes, my lady!\We leave immediately! Move the cavalry out!\Please, just survive a little longer, Shield Hero... and Melty.\The Rising of the Shield Hero\Battle of Good and Evil\Cathedral! response:	Thunderbolt Slash!
context: Bisca T. Balmus, and his followers!\Yes, my lady!\We leave immediately! Move the cavalry out!\Please, just survive a little longer, Shield Hero... and Melty.\The Rising of the Shield Hero\Battle of Good and Evil\Cathedral!\Thunderbolt Slash! response:	Thunder Shot!
context: Yes, my lady!\We leave immediately! Move the cavalry out!\Please, just survive a little longer, Shield Hero... and Melty.\The Rising of the Shield Hero\Battle of Good and Evil\Cathedral!\Thunderbolt Slash!\Thunder Shot! response:	Filo! Raphtalia!
context: We leave immediately! Move the cavalry out!\Please, just survive a little longer, Shield Hero... and Melty.\The Rising of the Shield Hero\Battle of Good and Evil\Cathedral!\Thunderbolt Slash!\Thunder Shot!\Filo! Raphtalia! response:	Right!
context: Please, just survive a little longer, Shield Hero... and Melty.\The Rising of the Shield Hero\Battle of Good and Evil\Cathedral!\Thunderbolt Slash!\Thunder Shot!\Filo! Raphtalia!\Right! response:	'Kay!
context: The Rising of the Shield Hero\Battle of Good and Evil\Cathedral!\Thunderbolt Slash!\Thunder Shot!\Filo! Raphtalia!\Right!\'Kay! response:	High Quick!
context: Battle of Good and Evil\Cathedral!\Thunderbolt Slash!\Thunder Shot!\Filo! Raphtalia!\Right!\'Kay!\High Quick! response:	Heal my target!
context: Cathedral!\Thunderbolt Slash!\Thunder Shot!\Filo! Raphtalia!\Right!\'Kay!\High Quick!\Heal my target! response:	Zweit Heal!
context: Thunderbolt Slash!\Thunder Shot!\Filo! Raphtalia!\Right!\'Kay!\High Quick!\Heal my target!\Zweit Heal! response:	One more time, Filo.
context: Thunder Shot!\Filo! Raphtalia!\Right!\'Kay!\High Quick!\Heal my target!\Zweit Heal!\One more time, Filo. response:	'Kay!
context: Filo! Raphtalia!\Right!\'Kay!\High Quick!\Heal my target!\Zweit Heal!\One more time, Filo.\'Kay! response:	You're coming too, Motoyasu!
context: Right!\'Kay!\High Quick!\Heal my target!\Zweit Heal!\One more time, Filo.\'Kay!\You're coming too, Motoyasu! response:	Motoyasu-sama!
context: 'Kay!\High Quick!\Heal my target!\Zweit Heal!\One more time, Filo.\'Kay!\You're coming too, Motoyasu!\Motoyasu-sama! response:	Zweit Aqua Shell!
context: High Quick!\Heal my target!\Zweit Heal!\One more time, Filo.\'Kay!\You're coming too, Motoyasu!\Motoyasu-sama!\Zweit Aqua Shell! response:	Sister, focus!
context: Heal my target!\Zweit Heal!\One more time, Filo.\'Kay!\You're coming too, Motoyasu!\Motoyasu-sama!\Zweit Aqua Shell!\Sister, focus! response:	Motoyasu, attack me when we get near the Pope.
context: Zweit Heal!\One more time, Filo.\'Kay!\You're coming too, Motoyasu!\Motoyasu-sama!\Zweit Aqua Shell!\Sister, focus!\Motoyasu, attack me when we get near the Pope. response:	Huh? What are you talking about?
context: One more time, Filo.\'Kay!\You're coming too, Motoyasu!\Motoyasu-sama!\Zweit Aqua Shell!\Sister, focus!\Motoyasu, attack me when we get near the Pope.\Huh? What are you talking about? response:	Let's go!
context: 'Kay!\You're coming too, Motoyasu!\Motoyasu-sama!\Zweit Aqua Shell!\Sister, focus!\Motoyasu, attack me when we get near the Pope.\Huh? What are you talking about?\Let's go! response:	Now!
context: You're coming too, Motoyasu!\Motoyasu-sama!\Zweit Aqua Shell!\Sister, focus!\Motoyasu, attack me when we get near the Pope.\Huh? What are you talking about?\Let's go!\Now! response:	Fine!
context: Motoyasu-sama!\Zweit Aqua Shell!\Sister, focus!\Motoyasu, attack me when we get near the Pope.\Huh? What are you talking about?\Let's go!\Now!\Fine! response:	Eat this!
context: Zweit Aqua Shell!\Sister, focus!\Motoyasu, attack me when we get near the Pope.\Huh? What are you talking about?\Let's go!\Now!\Fine!\Eat this! response:	He dispelled that curse in an instant?
context: Sister, focus!\Motoyasu, attack me when we get near the Pope.\Huh? What are you talking about?\Let's go!\Now!\Fine!\Eat this!\He dispelled that curse in an instant? response:	Curses are meaningless within this Cathedral.
context: Motoyasu, attack me when we get near the Pope.\Huh? What are you talking about?\Let's go!\Now!\Fine!\Eat this!\He dispelled that curse in an instant?\Curses are meaningless within this Cathedral. response:	After all, this is hallowed ground, blessed by God.
context: Huh? What are you talking about?\Let's go!\Now!\Fine!\Eat this!\He dispelled that curse in an instant?\Curses are meaningless within this Cathedral.\After all, this is hallowed ground, blessed by God. response:	What strength!
context: Let's go!\Now!\Fine!\Eat this!\He dispelled that curse in an instant?\Curses are meaningless within this Cathedral.\After all, this is hallowed ground, blessed by God.\What strength! response:	Do you hear me, Bishop?
context: Now!\Fine!\Eat this!\He dispelled that curse in an instant?\Curses are meaningless within this Cathedral.\After all, this is hallowed ground, blessed by God.\What strength!\Do you hear me, Bishop? response:	In order to show the might of God, I need further prayers from the believers.
context: Fine!\Eat this!\He dispelled that curse in an instant?\Curses are meaningless within this Cathedral.\After all, this is hallowed ground, blessed by God.\What strength!\Do you hear me, Bishop?\In order to show the might of God, I need further prayers from the believers. response:	But sir, almost a third of them have already run out of mana.
context: Eat this!\He dispelled that curse in an instant?\Curses are meaningless within this Cathedral.\After all, this is hallowed ground, blessed by God.\What strength!\Do you hear me, Bishop?\In order to show the might of God, I need further prayers from the believers.\But sir, almost a third of them have already run out of mana. response:	If they keep going, their lives may be in danger.
context: He dispelled that curse in an instant?\Curses are meaningless within this Cathedral.\After all, this is hallowed ground, blessed by God.\What strength!\Do you hear me, Bishop?\In order to show the might of God, I need further prayers from the believers.\But sir, almost a third of them have already run out of mana.\If they keep going, their lives may be in danger. response:	Is that a problem?
context: Curses are meaningless within this Cathedral.\After all, this is hallowed ground, blessed by God.\What strength!\Do you hear me, Bishop?\In order to show the might of God, I need further prayers from the believers.\But sir, almost a third of them have already run out of mana.\If they keep going, their lives may be in danger.\Is that a problem? response:	This is a battle between God and the Devil.
context: After all, this is hallowed ground, blessed by God.\What strength!\Do you hear me, Bishop?\In order to show the might of God, I need further prayers from the believers.\But sir, almost a third of them have already run out of mana.\If they keep going, their lives may be in danger.\Is that a problem?\This is a battle between God and the Devil. response:	Perishing as martyrs here
context: What strength!\Do you hear me, Bishop?\In order to show the might of God, I need further prayers from the believers.\But sir, almost a third of them have already run out of mana.\If they keep going, their lives may be in danger.\Is that a problem?\This is a battle between God and the Devil.\Perishing as martyrs here response:	is the greatest honor for one of the Three Heroes Church's disciples.
context: Do you hear me, Bishop?\In order to show the might of God, I need further prayers from the believers.\But sir, almost a third of them have already run out of mana.\If they keep going, their lives may be in danger.\Is that a problem?\This is a battle between God and the Devil.\Perishing as martyrs here\is the greatest honor for one of the Three Heroes Church's disciples. response:	As you say.
context: In order to show the might of God, I need further prayers from the believers.\But sir, almost a third of them have already run out of mana.\If they keep going, their lives may be in danger.\Is that a problem?\This is a battle between God and the Devil.\Perishing as martyrs here\is the greatest honor for one of the Three Heroes Church's disciples.\As you say. response:	Everyone, provide the Pope with more prayers!
context: But sir, almost a third of them have already run out of mana.\If they keep going, their lives may be in danger.\Is that a problem?\This is a battle between God and the Devil.\Perishing as martyrs here\is the greatest honor for one of the Three Heroes Church's disciples.\As you say.\Everyone, provide the Pope with more prayers! response:	How could he say something so awful to the people who trusted and followed him?
context: If they keep going, their lives may be in danger.\Is that a problem?\This is a battle between God and the Devil.\Perishing as martyrs here\is the greatest honor for one of the Three Heroes Church's disciples.\As you say.\Everyone, provide the Pope with more prayers!\How could he say something so awful to the people who trusted and followed him? response:	They'll probably still follow his orders, though.
context: Is that a problem?\This is a battle between God and the Devil.\Perishing as martyrs here\is the greatest honor for one of the Three Heroes Church's disciples.\As you say.\Everyone, provide the Pope with more prayers!\How could he say something so awful to the people who trusted and followed him?\They'll probably still follow his orders, though. response:	Indeed.
context: This is a battle between God and the Devil.\Perishing as martyrs here\is the greatest honor for one of the Three Heroes Church's disciples.\As you say.\Everyone, provide the Pope with more prayers!\How could he say something so awful to the people who trusted and followed him?\They'll probably still follow his orders, though.\Indeed. response:	We are one in body and soul.
context: Perishing as martyrs here\is the greatest honor for one of the Three Heroes Church's disciples.\As you say.\Everyone, provide the Pope with more prayers!\How could he say something so awful to the people who trusted and followed him?\They'll probably still follow his orders, though.\Indeed.\We are one in body and soul. response:	With their prayers and the sacred weapon's greatest attack,
context: is the greatest honor for one of the Three Heroes Church's disciples.\As you say.\Everyone, provide the Pope with more prayers!\How could he say something so awful to the people who trusted and followed him?\They'll probably still follow his orders, though.\Indeed.\We are one in body and soul.\With their prayers and the sacred weapon's greatest attack, response:	I shall grant you all complete purification.
context: As you say.\Everyone, provide the Pope with more prayers!\How could he say something so awful to the people who trusted and followed him?\They'll probably still follow his orders, though.\Indeed.\We are one in body and soul.\With their prayers and the sacred weapon's greatest attack,\I shall grant you all complete purification. response:	It is the greatest mercy that God may bestow.
context: Everyone, provide the Pope with more prayers!\How could he say something so awful to the people who trusted and followed him?\They'll probably still follow his orders, though.\Indeed.\We are one in body and soul.\With their prayers and the sacred weapon's greatest attack,\I shall grant you all complete purification.\It is the greatest mercy that God may bestow. response:	This feels wrong.
context: How could he say something so awful to the people who trusted and followed him?\They'll probably still follow his orders, though.\Indeed.\We are one in body and soul.\With their prayers and the sacred weapon's greatest attack,\I shall grant you all complete purification.\It is the greatest mercy that God may bestow.\This feels wrong. response:	He's building up mana.
context: They'll probably still follow his orders, though.\Indeed.\We are one in body and soul.\With their prayers and the sacred weapon's greatest attack,\I shall grant you all complete purification.\It is the greatest mercy that God may bestow.\This feels wrong.\He's building up mana. response:	If the light reaches all the way up to the top...
context: Indeed.\We are one in body and soul.\With their prayers and the sacred weapon's greatest attack,\I shall grant you all complete purification.\It is the greatest mercy that God may bestow.\This feels wrong.\He's building up mana.\If the light reaches all the way up to the top... response:	Hey, can't your shield do something about it?
context: We are one in body and soul.\With their prayers and the sacred weapon's greatest attack,\I shall grant you all complete purification.\It is the greatest mercy that God may bestow.\This feels wrong.\He's building up mana.\If the light reaches all the way up to the top...\Hey, can't your shield do something about it? response:	Huh?
context: With their prayers and the sacred weapon's greatest attack,\I shall grant you all complete purification.\It is the greatest mercy that God may bestow.\This feels wrong.\He's building up mana.\If the light reaches all the way up to the top...\Hey, can't your shield do something about it?\Huh? response:	I mean, your shield seems overpowered.
context: I shall grant you all complete purification.\It is the greatest mercy that God may bestow.\This feels wrong.\He's building up mana.\If the light reaches all the way up to the top...\Hey, can't your shield do something about it?\Huh?\I mean, your shield seems overpowered. response:	Look here...
context: It is the greatest mercy that God may bestow.\This feels wrong.\He's building up mana.\If the light reaches all the way up to the top...\Hey, can't your shield do something about it?\Huh?\I mean, your shield seems overpowered.\Look here... response:	True.
context: This feels wrong.\He's building up mana.\If the light reaches all the way up to the top...\Hey, can't your shield do something about it?\Huh?\I mean, your shield seems overpowered.\Look here...\True. response:	You're underleveled compared to us, and yet you're keeping up with us.
context: He's building up mana.\If the light reaches all the way up to the top...\Hey, can't your shield do something about it?\Huh?\I mean, your shield seems overpowered.\Look here...\True.\You're underleveled compared to us, and yet you're keeping up with us. response:	Isn't that because of your shield?
context: If the light reaches all the way up to the top...\Hey, can't your shield do something about it?\Huh?\I mean, your shield seems overpowered.\Look here...\True.\You're underleveled compared to us, and yet you're keeping up with us.\Isn't that because of your shield? response:	You idiots just aren't making good use of your weapons!
context: Hey, can't your shield do something about it?\Huh?\I mean, your shield seems overpowered.\Look here...\True.\You're underleveled compared to us, and yet you're keeping up with us.\Isn't that because of your shield?\You idiots just aren't making good use of your weapons! response:	Got any special skills?
context: Huh?\I mean, your shield seems overpowered.\Look here...\True.\You're underleveled compared to us, and yet you're keeping up with us.\Isn't that because of your shield?\You idiots just aren't making good use of your weapons!\Got any special skills? response:	As if there'd be...
context: I mean, your shield seems overpowered.\Look here...\True.\You're underleveled compared to us, and yet you're keeping up with us.\Isn't that because of your shield?\You idiots just aren't making good use of your weapons!\Got any special skills?\As if there'd be... response:	What is this?
context: Look here...\True.\You're underleveled compared to us, and yet you're keeping up with us.\Isn't that because of your shield?\You idiots just aren't making good use of your weapons!\Got any special skills?\As if there'd be...\What is this? response:	The Shield of the Curse Series is like a double-edged sword.
context: True.\You're underleveled compared to us, and yet you're keeping up with us.\Isn't that because of your shield?\You idiots just aren't making good use of your weapons!\Got any special skills?\As if there'd be...\What is this?\The Shield of the Curse Series is like a double-edged sword. response:	Don't use it anymore.
context: You're underleveled compared to us, and yet you're keeping up with us.\Isn't that because of your shield?\You idiots just aren't making good use of your weapons!\Got any special skills?\As if there'd be...\What is this?\The Shield of the Curse Series is like a double-edged sword.\Don't use it anymore. response:	Naofumi?
context: Isn't that because of your shield?\You idiots just aren't making good use of your weapons!\Got any special skills?\As if there'd be...\What is this?\The Shield of the Curse Series is like a double-edged sword.\Don't use it anymore.\Naofumi? response:	This will be quite the gamble, but it could work.
context: You idiots just aren't making good use of your weapons!\Got any special skills?\As if there'd be...\What is this?\The Shield of the Curse Series is like a double-edged sword.\Don't use it anymore.\Naofumi?\This will be quite the gamble, but it could work. response:	See?
context: Got any special skills?\As if there'd be...\What is this?\The Shield of the Curse Series is like a double-edged sword.\Don't use it anymore.\Naofumi?\This will be quite the gamble, but it could work.\See? response:	Will you use that power again?
context: As if there'd be...\What is this?\The Shield of the Curse Series is like a double-edged sword.\Don't use it anymore.\Naofumi?\This will be quite the gamble, but it could work.\See?\Will you use that power again? response:	Yeah.
context: What is this?\The Shield of the Curse Series is like a double-edged sword.\Don't use it anymore.\Naofumi?\This will be quite the gamble, but it could work.\See?\Will you use that power again?\Yeah. response:	It went fine before, so I'm sure I can come back this time, too.
context: The Shield of the Curse Series is like a double-edged sword.\Don't use it anymore.\Naofumi?\This will be quite the gamble, but it could work.\See?\Will you use that power again?\Yeah.\It went fine before, so I'm sure I can come back this time, too. response:	Okay. I believe in you.
context: Don't use it anymore.\Naofumi?\This will be quite the gamble, but it could work.\See?\Will you use that power again?\Yeah.\It went fine before, so I'm sure I can come back this time, too.\Okay. I believe in you. response:	Me too.
context: Naofumi?\This will be quite the gamble, but it could work.\See?\Will you use that power again?\Yeah.\It went fine before, so I'm sure I can come back this time, too.\Okay. I believe in you.\Me too. response:	You made the right choice in releasing me from my shackles.
context: This will be quite the gamble, but it could work.\See?\Will you use that power again?\Yeah.\It went fine before, so I'm sure I can come back this time, too.\Okay. I believe in you.\Me too.\You made the right choice in releasing me from my shackles. response:	Let the anger take you over, and you won't suffer.
context: See?\Will you use that power again?\Yeah.\It went fine before, so I'm sure I can come back this time, too.\Okay. I believe in you.\Me too.\You made the right choice in releasing me from my shackles.\Let the anger take you over, and you won't suffer. response:	I won't let your anger overtake me!
context: Will you use that power again?\Yeah.\It went fine before, so I'm sure I can come back this time, too.\Okay. I believe in you.\Me too.\You made the right choice in releasing me from my shackles.\Let the anger take you over, and you won't suffer.\I won't let your anger overtake me! response:	It isn't simply my anger, the anger of a dragon.
context: Yeah.\It went fine before, so I'm sure I can come back this time, too.\Okay. I believe in you.\Me too.\You made the right choice in releasing me from my shackles.\Let the anger take you over, and you won't suffer.\I won't let your anger overtake me!\It isn't simply my anger, the anger of a dragon. response:	It wells up from within your heart.
context: It went fine before, so I'm sure I can come back this time, too.\Okay. I believe in you.\Me too.\You made the right choice in releasing me from my shackles.\Let the anger take you over, and you won't suffer.\I won't let your anger overtake me!\It isn't simply my anger, the anger of a dragon.\It wells up from within your heart. response:	What?
context: Okay. I believe in you.\Me too.\You made the right choice in releasing me from my shackles.\Let the anger take you over, and you won't suffer.\I won't let your anger overtake me!\It isn't simply my anger, the anger of a dragon.\It wells up from within your heart.\What? response:	Your anger at being set up.
context: Me too.\You made the right choice in releasing me from my shackles.\Let the anger take you over, and you won't suffer.\I won't let your anger overtake me!\It isn't simply my anger, the anger of a dragon.\It wells up from within your heart.\What?\Your anger at being set up. response:	Your anger at the shame and humiliation you were put through.
context: You made the right choice in releasing me from my shackles.\Let the anger take you over, and you won't suffer.\I won't let your anger overtake me!\It isn't simply my anger, the anger of a dragon.\It wells up from within your heart.\What?\Your anger at being set up.\Your anger at the shame and humiliation you were put through. response:	Your anger at being continually persecuted, not even being given a chance to defend yourself.
context: Let the anger take you over, and you won't suffer.\I won't let your anger overtake me!\It isn't simply my anger, the anger of a dragon.\It wells up from within your heart.\What?\Your anger at being set up.\Your anger at the shame and humiliation you were put through.\Your anger at being continually persecuted, not even being given a chance to defend yourself. response:	It is all your own.
context: I won't let your anger overtake me!\It isn't simply my anger, the anger of a dragon.\It wells up from within your heart.\What?\Your anger at being set up.\Your anger at the shame and humiliation you were put through.\Your anger at being continually persecuted, not even being given a chance to defend yourself.\It is all your own. response:	Mine?
context: It isn't simply my anger, the anger of a dragon.\It wells up from within your heart.\What?\Your anger at being set up.\Your anger at the shame and humiliation you were put through.\Your anger at being continually persecuted, not even being given a chance to defend yourself.\It is all your own.\Mine? response:	Release every last drop of your pent-up anger and hatred.
context: It wells up from within your heart.\What?\Your anger at being set up.\Your anger at the shame and humiliation you were put through.\Your anger at being continually persecuted, not even being given a chance to defend yourself.\It is all your own.\Mine?\Release every last drop of your pent-up anger and hatred. response:	Every last drop...
context: What?\Your anger at being set up.\Your anger at the shame and humiliation you were put through.\Your anger at being continually persecuted, not even being given a chance to defend yourself.\It is all your own.\Mine?\Release every last drop of your pent-up anger and hatred.\Every last drop... response:	Hit your foes with all the anger you have felt until now.
context: Your anger at being set up.\Your anger at the shame and humiliation you were put through.\Your anger at being continually persecuted, not even being given a chance to defend yourself.\It is all your own.\Mine?\Release every last drop of your pent-up anger and hatred.\Every last drop...\Hit your foes with all the anger you have felt until now. response:	I'll give you the power to do that.
context: Your anger at the shame and humiliation you were put through.\Your anger at being continually persecuted, not even being given a chance to defend yourself.\It is all your own.\Mine?\Release every last drop of your pent-up anger and hatred.\Every last drop...\Hit your foes with all the anger you have felt until now.\I'll give you the power to do that. response:	Power!
context: Your anger at being continually persecuted, not even being given a chance to defend yourself.\It is all your own.\Mine?\Release every last drop of your pent-up anger and hatred.\Every last drop...\Hit your foes with all the anger you have felt until now.\I'll give you the power to do that.\Power! response:	No! I can't fall for his words!
context: It is all your own.\Mine?\Release every last drop of your pent-up anger and hatred.\Every last drop...\Hit your foes with all the anger you have felt until now.\I'll give you the power to do that.\Power!\No! I can't fall for his words! response:	This power...
context: Mine?\Release every last drop of your pent-up anger and hatred.\Every last drop...\Hit your foes with all the anger you have felt until now.\I'll give you the power to do that.\Power!\No! I can't fall for his words!\This power... response:	It tasted sweet, did it not?
context: Release every last drop of your pent-up anger and hatred.\Every last drop...\Hit your foes with all the anger you have felt until now.\I'll give you the power to do that.\Power!\No! I can't fall for his words!\This power...\It tasted sweet, did it not? response:	With the power of the cursed flame,
context: Every last drop...\Hit your foes with all the anger you have felt until now.\I'll give you the power to do that.\Power!\No! I can't fall for his words!\This power...\It tasted sweet, did it not?\With the power of the cursed flame, response:	you could make your foes submit and walk all over them.
context: Hit your foes with all the anger you have felt until now.\I'll give you the power to do that.\Power!\No! I can't fall for his words!\This power...\It tasted sweet, did it not?\With the power of the cursed flame,\you could make your foes submit and walk all over them. response:	It was pleasant, was it not?
context: I'll give you the power to do that.\Power!\No! I can't fall for his words!\This power...\It tasted sweet, did it not?\With the power of the cursed flame,\you could make your foes submit and walk all over them.\It was pleasant, was it not? response:	You felt fulfilled, did you not?
context: Power!\No! I can't fall for his words!\This power...\It tasted sweet, did it not?\With the power of the cursed flame,\you could make your foes submit and walk all over them.\It was pleasant, was it not?\You felt fulfilled, did you not? response:	That's...
context: No! I can't fall for his words!\This power...\It tasted sweet, did it not?\With the power of the cursed flame,\you could make your foes submit and walk all over them.\It was pleasant, was it not?\You felt fulfilled, did you not?\That's... response:	Show your rage! Seek more power!
context: This power...\It tasted sweet, did it not?\With the power of the cursed flame,\you could make your foes submit and walk all over them.\It was pleasant, was it not?\You felt fulfilled, did you not?\That's...\Show your rage! Seek more power! response:	And burn everything in your path!
context: It tasted sweet, did it not?\With the power of the cursed flame,\you could make your foes submit and walk all over them.\It was pleasant, was it not?\You felt fulfilled, did you not?\That's...\Show your rage! Seek more power!\And burn everything in your path! response:	Burn...
context: With the power of the cursed flame,\you could make your foes submit and walk all over them.\It was pleasant, was it not?\You felt fulfilled, did you not?\That's...\Show your rage! Seek more power!\And burn everything in your path!\Burn... response:	I'll burn everything!
context: you could make your foes submit and walk all over them.\It was pleasant, was it not?\You felt fulfilled, did you not?\That's...\Show your rage! Seek more power!\And burn everything in your path!\Burn...\I'll burn everything! response:	Very nice, human!
context: It was pleasant, was it not?\You felt fulfilled, did you not?\That's...\Show your rage! Seek more power!\And burn everything in your path!\Burn...\I'll burn everything!\Very nice, human! response:	Your rage puts even mine to shame.
context: You felt fulfilled, did you not?\That's...\Show your rage! Seek more power!\And burn everything in your path!\Burn...\I'll burn everything!\Very nice, human!\Your rage puts even mine to shame. response:	Hey, Naofumi!
context: That's...\Show your rage! Seek more power!\And burn everything in your path!\Burn...\I'll burn everything!\Very nice, human!\Your rage puts even mine to shame.\Hey, Naofumi! response:	Please don't tell me you really became the Devil of the Shield.
context: Show your rage! Seek more power!\And burn everything in your path!\Burn...\I'll burn everything!\Very nice, human!\Your rage puts even mine to shame.\Hey, Naofumi!\Please don't tell me you really became the Devil of the Shield. response:	Naofumi-sama!
context: And burn everything in your path!\Burn...\I'll burn everything!\Very nice, human!\Your rage puts even mine to shame.\Hey, Naofumi!\Please don't tell me you really became the Devil of the Shield.\Naofumi-sama! response:	I'll burn everything.
context: Burn...\I'll burn everything!\Very nice, human!\Your rage puts even mine to shame.\Hey, Naofumi!\Please don't tell me you really became the Devil of the Shield.\Naofumi-sama!\I'll burn everything. response:	If I burn it all down, it'll be over.
context: I'll burn everything!\Very nice, human!\Your rage puts even mine to shame.\Hey, Naofumi!\Please don't tell me you really became the Devil of the Shield.\Naofumi-sama!\I'll burn everything.\If I burn it all down, it'll be over. response:	Naofumi-sama!
context: Very nice, human!\Your rage puts even mine to shame.\Hey, Naofumi!\Please don't tell me you really became the Devil of the Shield.\Naofumi-sama!\I'll burn everything.\If I burn it all down, it'll be over.\Naofumi-sama! response:	I can let my anger take over and destroy everything.
context: Your rage puts even mine to shame.\Hey, Naofumi!\Please don't tell me you really became the Devil of the Shield.\Naofumi-sama!\I'll burn everything.\If I burn it all down, it'll be over.\Naofumi-sama!\I can let my anger take over and destroy everything. response:	Master!
context: Hey, Naofumi!\Please don't tell me you really became the Devil of the Shield.\Naofumi-sama!\I'll burn everything.\If I burn it all down, it'll be over.\Naofumi-sama!\I can let my anger take over and destroy everything.\Master! response:	I have the power to do that now.
context: Please don't tell me you really became the Devil of the Shield.\Naofumi-sama!\I'll burn everything.\If I burn it all down, it'll be over.\Naofumi-sama!\I can let my anger take over and destroy everything.\Master!\I have the power to do that now. response:	I'll use it to...
context: Naofumi-sama!\I'll burn everything.\If I burn it all down, it'll be over.\Naofumi-sama!\I can let my anger take over and destroy everything.\Master!\I have the power to do that now.\I'll use it to... response:	Naofumi!
context: I'll burn everything.\If I burn it all down, it'll be over.\Naofumi-sama!\I can let my anger take over and destroy everything.\Master!\I have the power to do that now.\I'll use it to...\Naofumi! response:	You're so annoying! Don't try to stop me!
context: If I burn it all down, it'll be over.\Naofumi-sama!\I can let my anger take over and destroy everything.\Master!\I have the power to do that now.\I'll use it to...\Naofumi!\You're so annoying! Don't try to stop me! response:	Master, do you really hate everything?
context: Naofumi-sama!\I can let my anger take over and destroy everything.\Master!\I have the power to do that now.\I'll use it to...\Naofumi!\You're so annoying! Don't try to stop me!\Master, do you really hate everything? response:	What is this voice?
context: I can let my anger take over and destroy everything.\Master!\I have the power to do that now.\I'll use it to...\Naofumi!\You're so annoying! Don't try to stop me!\Master, do you really hate everything?\What is this voice? response:	Did your travels with us truly mean nothing at all?
context: Master!\I have the power to do that now.\I'll use it to...\Naofumi!\You're so annoying! Don't try to stop me!\Master, do you really hate everything?\What is this voice?\Did your travels with us truly mean nothing at all? response:	Travels?
context: I have the power to do that now.\I'll use it to...\Naofumi!\You're so annoying! Don't try to stop me!\Master, do you really hate everything?\What is this voice?\Did your travels with us truly mean nothing at all?\Travels? response:	I was terrified at first.
