context: Now you'll be saying goodbye to your johnny, too. response:	Your luck ran out when you met me there.
context: Would you lend me some clothes?\Eden of the East\I guess maybe this sounds fishy?\You couldn't call it anything but fishy!\You should probably go home for now.\If nothing else, it's hard to swallow this Takizawa's story.\And I'm not sure about that outfit you're wearing, either.\What's wrong with it? Saki looks good in anything. response:	And I think this Takizawa thing is actually pretty interesting.
context: Eden of the East\I guess maybe this sounds fishy?\You couldn't call it anything but fishy!\You should probably go home for now.\If nothing else, it's hard to swallow this Takizawa's story.\And I'm not sure about that outfit you're wearing, either.\What's wrong with it? Saki looks good in anything.\And I think this Takizawa thing is actually pretty interesting. response:	Are you serious?
context: I guess maybe this sounds fishy?\You couldn't call it anything but fishy!\You should probably go home for now.\If nothing else, it's hard to swallow this Takizawa's story.\And I'm not sure about that outfit you're wearing, either.\What's wrong with it? Saki looks good in anything.\And I think this Takizawa thing is actually pretty interesting.\Are you serious? response:	Sure, it's absurd,
context: You couldn't call it anything but fishy!\You should probably go home for now.\If nothing else, it's hard to swallow this Takizawa's story.\And I'm not sure about that outfit you're wearing, either.\What's wrong with it? Saki looks good in anything.\And I think this Takizawa thing is actually pretty interesting.\Are you serious?\Sure, it's absurd, response:	but it's not like Saki living with him or not is the only issue here, right?
context: You should probably go home for now.\If nothing else, it's hard to swallow this Takizawa's story.\And I'm not sure about that outfit you're wearing, either.\What's wrong with it? Saki looks good in anything.\And I think this Takizawa thing is actually pretty interesting.\Are you serious?\Sure, it's absurd,\but it's not like Saki living with him or not is the only issue here, right? response:	This club's about to hit the end of the road if nothing changes.
context: If nothing else, it's hard to swallow this Takizawa's story.\And I'm not sure about that outfit you're wearing, either.\What's wrong with it? Saki looks good in anything.\And I think this Takizawa thing is actually pretty interesting.\Are you serious?\Sure, it's absurd,\but it's not like Saki living with him or not is the only issue here, right?\This club's about to hit the end of the road if nothing changes. response:	True.
context: And I'm not sure about that outfit you're wearing, either.\What's wrong with it? Saki looks good in anything.\And I think this Takizawa thing is actually pretty interesting.\Are you serious?\Sure, it's absurd,\but it's not like Saki living with him or not is the only issue here, right?\This club's about to hit the end of the road if nothing changes.\True. response:	I can't believe this.
context: What's wrong with it? Saki looks good in anything.\And I think this Takizawa thing is actually pretty interesting.\Are you serious?\Sure, it's absurd,\but it's not like Saki living with him or not is the only issue here, right?\This club's about to hit the end of the road if nothing changes.\True.\I can't believe this. response:	To think that not only our club's attention-grabber,
context: And I think this Takizawa thing is actually pretty interesting.\Are you serious?\Sure, it's absurd,\but it's not like Saki living with him or not is the only issue here, right?\This club's about to hit the end of the road if nothing changes.\True.\I can't believe this.\To think that not only our club's attention-grabber, response:	but the entire elite staff
context: Are you serious?\Sure, it's absurd,\but it's not like Saki living with him or not is the only issue here, right?\This club's about to hit the end of the road if nothing changes.\True.\I can't believe this.\To think that not only our club's attention-grabber,\but the entire elite staff response:	would all show interest in such a dubious character!
context: Sure, it's absurd,\but it's not like Saki living with him or not is the only issue here, right?\This club's about to hit the end of the road if nothing changes.\True.\I can't believe this.\To think that not only our club's attention-grabber,\but the entire elite staff\would all show interest in such a dubious character! response:	Just what's happened with you since the graduation trip?
context: but it's not like Saki living with him or not is the only issue here, right?\This club's about to hit the end of the road if nothing changes.\True.\I can't believe this.\To think that not only our club's attention-grabber,\but the entire elite staff\would all show interest in such a dubious character!\Just what's happened with you since the graduation trip? response:	This behavior just doesn't seem worthy of the seasoned maiden
context: This club's about to hit the end of the road if nothing changes.\True.\I can't believe this.\To think that not only our club's attention-grabber,\but the entire elite staff\would all show interest in such a dubious character!\Just what's happened with you since the graduation trip?\This behavior just doesn't seem worthy of the seasoned maiden response:	who's easily parried the come-ons of Osugi
context: True.\I can't believe this.\To think that not only our club's attention-grabber,\but the entire elite staff\would all show interest in such a dubious character!\Just what's happened with you since the graduation trip?\This behavior just doesn't seem worthy of the seasoned maiden\who's easily parried the come-ons of Osugi response:	and all the other youthful Johnnys with blood surging in their loins
context: I can't believe this.\To think that not only our club's attention-grabber,\but the entire elite staff\would all show interest in such a dubious character!\Just what's happened with you since the graduation trip?\This behavior just doesn't seem worthy of the seasoned maiden\who's easily parried the come-ons of Osugi\and all the other youthful Johnnys with blood surging in their loins response:	for a full four years now!
context: To think that not only our club's attention-grabber,\but the entire elite staff\would all show interest in such a dubious character!\Just what's happened with you since the graduation trip?\This behavior just doesn't seem worthy of the seasoned maiden\who's easily parried the come-ons of Osugi\and all the other youthful Johnnys with blood surging in their loins\for a full four years now! response:	Did something special happen?!
context: but the entire elite staff\would all show interest in such a dubious character!\Just what's happened with you since the graduation trip?\This behavior just doesn't seem worthy of the seasoned maiden\who's easily parried the come-ons of Osugi\and all the other youthful Johnnys with blood surging in their loins\for a full four years now!\Did something special happen?! response:	-No... -Surging blood aside,
context: would all show interest in such a dubious character!\Just what's happened with you since the graduation trip?\This behavior just doesn't seem worthy of the seasoned maiden\who's easily parried the come-ons of Osugi\and all the other youthful Johnnys with blood surging in their loins\for a full four years now!\Did something special happen?!\-No... -Surging blood aside, response:	if we'd successfully started our business,
context: Just what's happened with you since the graduation trip?\This behavior just doesn't seem worthy of the seasoned maiden\who's easily parried the come-ons of Osugi\and all the other youthful Johnnys with blood surging in their loins\for a full four years now!\Did something special happen?!\-No... -Surging blood aside,\if we'd successfully started our business, response:	you wanted to keep Saki here come hell or high water, right, Kazuomi?
context: This behavior just doesn't seem worthy of the seasoned maiden\who's easily parried the come-ons of Osugi\and all the other youthful Johnnys with blood surging in their loins\for a full four years now!\Did something special happen?!\-No... -Surging blood aside,\if we'd successfully started our business,\you wanted to keep Saki here come hell or high water, right, Kazuomi? response:	True.
context: who's easily parried the come-ons of Osugi\and all the other youthful Johnnys with blood surging in their loins\for a full four years now!\Did something special happen?!\-No... -Surging blood aside,\if we'd successfully started our business,\you wanted to keep Saki here come hell or high water, right, Kazuomi?\True. response:	After all, Eden only worked because Saki compensated for your one weakness,
context: and all the other youthful Johnnys with blood surging in their loins\for a full four years now!\Did something special happen?!\-No... -Surging blood aside,\if we'd successfully started our business,\you wanted to keep Saki here come hell or high water, right, Kazuomi?\True.\After all, Eden only worked because Saki compensated for your one weakness, response:	your lack of leadership skills.
context: for a full four years now!\Did something special happen?!\-No... -Surging blood aside,\if we'd successfully started our business,\you wanted to keep Saki here come hell or high water, right, Kazuomi?\True.\After all, Eden only worked because Saki compensated for your one weakness,\your lack of leadership skills. response:	Now hold on. I don't mind you criticizing my faults,
context: Did something special happen?!\-No... -Surging blood aside,\if we'd successfully started our business,\you wanted to keep Saki here come hell or high water, right, Kazuomi?\True.\After all, Eden only worked because Saki compensated for your one weakness,\your lack of leadership skills.\Now hold on. I don't mind you criticizing my faults, response:	but don't you think there's a huge difference
context: -No... -Surging blood aside,\if we'd successfully started our business,\you wanted to keep Saki here come hell or high water, right, Kazuomi?\True.\After all, Eden only worked because Saki compensated for your one weakness,\your lack of leadership skills.\Now hold on. I don't mind you criticizing my faults,\but don't you think there's a huge difference response:	between me and what that Takizawa person is saying?
context: if we'd successfully started our business,\you wanted to keep Saki here come hell or high water, right, Kazuomi?\True.\After all, Eden only worked because Saki compensated for your one weakness,\your lack of leadership skills.\Now hold on. I don't mind you criticizing my faults,\but don't you think there's a huge difference\between me and what that Takizawa person is saying? response:	We may have been forced into temporary withdrawal,
context: you wanted to keep Saki here come hell or high water, right, Kazuomi?\True.\After all, Eden only worked because Saki compensated for your one weakness,\your lack of leadership skills.\Now hold on. I don't mind you criticizing my faults,\but don't you think there's a huge difference\between me and what that Takizawa person is saying?\We may have been forced into temporary withdrawal, response:	but I am steadily moving forward with starting the business.
context: True.\After all, Eden only worked because Saki compensated for your one weakness,\your lack of leadership skills.\Now hold on. I don't mind you criticizing my faults,\but don't you think there's a huge difference\between me and what that Takizawa person is saying?\We may have been forced into temporary withdrawal,\but I am steadily moving forward with starting the business. response:	Whereas he has no clothes and no memory,
context: After all, Eden only worked because Saki compensated for your one weakness,\your lack of leadership skills.\Now hold on. I don't mind you criticizing my faults,\but don't you think there's a huge difference\between me and what that Takizawa person is saying?\We may have been forced into temporary withdrawal,\but I am steadily moving forward with starting the business.\Whereas he has no clothes and no memory, response:	and can't remember his family, his job, or even what movies he likes.
context: your lack of leadership skills.\Now hold on. I don't mind you criticizing my faults,\but don't you think there's a huge difference\between me and what that Takizawa person is saying?\We may have been forced into temporary withdrawal,\but I am steadily moving forward with starting the business.\Whereas he has no clothes and no memory,\and can't remember his family, his job, or even what movies he likes. response:	I won't have you comparing me to someone who has absolutely nothing.
context: Now hold on. I don't mind you criticizing my faults,\but don't you think there's a huge difference\between me and what that Takizawa person is saying?\We may have been forced into temporary withdrawal,\but I am steadily moving forward with starting the business.\Whereas he has no clothes and no memory,\and can't remember his family, his job, or even what movies he likes.\I won't have you comparing me to someone who has absolutely nothing. response:	Poor boy.
context: but don't you think there's a huge difference\between me and what that Takizawa person is saying?\We may have been forced into temporary withdrawal,\but I am steadily moving forward with starting the business.\Whereas he has no clothes and no memory,\and can't remember his family, his job, or even what movies he likes.\I won't have you comparing me to someone who has absolutely nothing.\Poor boy. response:	I wonder if his personal.44 Magnum is still at the mercy of that cold wind...
context: between me and what that Takizawa person is saying?\We may have been forced into temporary withdrawal,\but I am steadily moving forward with starting the business.\Whereas he has no clothes and no memory,\and can't remember his family, his job, or even what movies he likes.\I won't have you comparing me to someone who has absolutely nothing.\Poor boy.\I wonder if his personal.44 Magnum is still at the mercy of that cold wind... response:	That's not what I'm asking!
context: We may have been forced into temporary withdrawal,\but I am steadily moving forward with starting the business.\Whereas he has no clothes and no memory,\and can't remember his family, his job, or even what movies he likes.\I won't have you comparing me to someone who has absolutely nothing.\Poor boy.\I wonder if his personal.44 Magnum is still at the mercy of that cold wind...\That's not what I'm asking! response:	Um...
context: but I am steadily moving forward with starting the business.\Whereas he has no clothes and no memory,\and can't remember his family, his job, or even what movies he likes.\I won't have you comparing me to someone who has absolutely nothing.\Poor boy.\I wonder if his personal.44 Magnum is still at the mercy of that cold wind...\That's not what I'm asking!\Um... response:	Hirasawa, from what I've been hearing from in here,
context: Whereas he has no clothes and no memory,\and can't remember his family, his job, or even what movies he likes.\I won't have you comparing me to someone who has absolutely nothing.\Poor boy.\I wonder if his personal.44 Magnum is still at the mercy of that cold wind...\That's not what I'm asking!\Um...\Hirasawa, from what I've been hearing from in here, response:	I don't believe Mr. Takizawa is as worthless as you think.
context: and can't remember his family, his job, or even what movies he likes.\I won't have you comparing me to someone who has absolutely nothing.\Poor boy.\I wonder if his personal.44 Magnum is still at the mercy of that cold wind...\That's not what I'm asking!\Um...\Hirasawa, from what I've been hearing from in here,\I don't believe Mr. Takizawa is as worthless as you think. response:	He's always been gentlemanly and broad-minded towards Morimi,
context: I won't have you comparing me to someone who has absolutely nothing.\Poor boy.\I wonder if his personal.44 Magnum is still at the mercy of that cold wind...\That's not what I'm asking!\Um...\Hirasawa, from what I've been hearing from in here,\I don't believe Mr. Takizawa is as worthless as you think.\He's always been gentlemanly and broad-minded towards Morimi, response:	and he has the drive to act, too.
context: Poor boy.\I wonder if his personal.44 Magnum is still at the mercy of that cold wind...\That's not what I'm asking!\Um...\Hirasawa, from what I've been hearing from in here,\I don't believe Mr. Takizawa is as worthless as you think.\He's always been gentlemanly and broad-minded towards Morimi,\and he has the drive to act, too. response:	His house is a shopping mall, so he seems to have some wealth,
context: I wonder if his personal.44 Magnum is still at the mercy of that cold wind...\That's not what I'm asking!\Um...\Hirasawa, from what I've been hearing from in here,\I don't believe Mr. Takizawa is as worthless as you think.\He's always been gentlemanly and broad-minded towards Morimi,\and he has the drive to act, too.\His house is a shopping mall, so he seems to have some wealth, response:	and most importantly, there is no such thing as an evil dog owner.
context: That's not what I'm asking!\Um...\Hirasawa, from what I've been hearing from in here,\I don't believe Mr. Takizawa is as worthless as you think.\He's always been gentlemanly and broad-minded towards Morimi,\and he has the drive to act, too.\His house is a shopping mall, so he seems to have some wealth,\and most importantly, there is no such thing as an evil dog owner. response:	I don't want your opinion!
context: Um...\Hirasawa, from what I've been hearing from in here,\I don't believe Mr. Takizawa is as worthless as you think.\He's always been gentlemanly and broad-minded towards Morimi,\and he has the drive to act, too.\His house is a shopping mall, so he seems to have some wealth,\and most importantly, there is no such thing as an evil dog owner.\I don't want your opinion! response:	Excuse me.
context: Hirasawa, from what I've been hearing from in here,\I don't believe Mr. Takizawa is as worthless as you think.\He's always been gentlemanly and broad-minded towards Morimi,\and he has the drive to act, too.\His house is a shopping mall, so he seems to have some wealth,\and most importantly, there is no such thing as an evil dog owner.\I don't want your opinion!\Excuse me. response:	Sitting here and talking about it is pointless.
context: I don't believe Mr. Takizawa is as worthless as you think.\He's always been gentlemanly and broad-minded towards Morimi,\and he has the drive to act, too.\His house is a shopping mall, so he seems to have some wealth,\and most importantly, there is no such thing as an evil dog owner.\I don't want your opinion!\Excuse me.\Sitting here and talking about it is pointless. response:	Why don't we go meet him and see what he's really like?
context: He's always been gentlemanly and broad-minded towards Morimi,\and he has the drive to act, too.\His house is a shopping mall, so he seems to have some wealth,\and most importantly, there is no such thing as an evil dog owner.\I don't want your opinion!\Excuse me.\Sitting here and talking about it is pointless.\Why don't we go meet him and see what he's really like? response:	Agreed! Seeing is believing. Let's go size him up.
context: and he has the drive to act, too.\His house is a shopping mall, so he seems to have some wealth,\and most importantly, there is no such thing as an evil dog owner.\I don't want your opinion!\Excuse me.\Sitting here and talking about it is pointless.\Why don't we go meet him and see what he's really like?\Agreed! Seeing is believing. Let's go size him up. response:	You've got a point, but we have to be prepared for the worst.
context: His house is a shopping mall, so he seems to have some wealth,\and most importantly, there is no such thing as an evil dog owner.\I don't want your opinion!\Excuse me.\Sitting here and talking about it is pointless.\Why don't we go meet him and see what he's really like?\Agreed! Seeing is believing. Let's go size him up.\You've got a point, but we have to be prepared for the worst. response:	Let's investigate in secret first, and not just go in through the front door.
context: and most importantly, there is no such thing as an evil dog owner.\I don't want your opinion!\Excuse me.\Sitting here and talking about it is pointless.\Why don't we go meet him and see what he's really like?\Agreed! Seeing is believing. Let's go size him up.\You've got a point, but we have to be prepared for the worst.\Let's investigate in secret first, and not just go in through the front door. response:	What the heck? That's so passive.
context: I don't want your opinion!\Excuse me.\Sitting here and talking about it is pointless.\Why don't we go meet him and see what he's really like?\Agreed! Seeing is believing. Let's go size him up.\You've got a point, but we have to be prepared for the worst.\Let's investigate in secret first, and not just go in through the front door.\What the heck? That's so passive. response:	Call it cautious!
context: Excuse me.\Sitting here and talking about it is pointless.\Why don't we go meet him and see what he's really like?\Agreed! Seeing is believing. Let's go size him up.\You've got a point, but we have to be prepared for the worst.\Let's investigate in secret first, and not just go in through the front door.\What the heck? That's so passive.\Call it cautious! response:	Well, Saki?
context: Sitting here and talking about it is pointless.\Why don't we go meet him and see what he's really like?\Agreed! Seeing is believing. Let's go size him up.\You've got a point, but we have to be prepared for the worst.\Let's investigate in secret first, and not just go in through the front door.\What the heck? That's so passive.\Call it cautious!\Well, Saki? response:	I'm fine with that.
context: Why don't we go meet him and see what he's really like?\Agreed! Seeing is believing. Let's go size him up.\You've got a point, but we have to be prepared for the worst.\Let's investigate in secret first, and not just go in through the front door.\What the heck? That's so passive.\Call it cautious!\Well, Saki?\I'm fine with that. response:	At the time, I thought maybe I could completely believe in him,
context: Agreed! Seeing is believing. Let's go size him up.\You've got a point, but we have to be prepared for the worst.\Let's investigate in secret first, and not just go in through the front door.\What the heck? That's so passive.\Call it cautious!\Well, Saki?\I'm fine with that.\At the time, I thought maybe I could completely believe in him, response:	but I am a little scared, too.
context: You've got a point, but we have to be prepared for the worst.\Let's investigate in secret first, and not just go in through the front door.\What the heck? That's so passive.\Call it cautious!\Well, Saki?\I'm fine with that.\At the time, I thought maybe I could completely believe in him,\but I am a little scared, too. response:	So let's all go together.
context: Let's investigate in secret first, and not just go in through the front door.\What the heck? That's so passive.\Call it cautious!\Well, Saki?\I'm fine with that.\At the time, I thought maybe I could completely believe in him,\but I am a little scared, too.\So let's all go together. response:	Okay. I'll go get a car. We'll leave in a half hour.
context: What the heck? That's so passive.\Call it cautious!\Well, Saki?\I'm fine with that.\At the time, I thought maybe I could completely believe in him,\but I am a little scared, too.\So let's all go together.\Okay. I'll go get a car. We'll leave in a half hour. response:	Hirasawa.
context: Call it cautious!\Well, Saki?\I'm fine with that.\At the time, I thought maybe I could completely believe in him,\but I am a little scared, too.\So let's all go together.\Okay. I'll go get a car. We'll leave in a half hour.\Hirasawa. response:	The truth is, Osugi treated me to a first-class dinner last night...
context: Well, Saki?\I'm fine with that.\At the time, I thought maybe I could completely believe in him,\but I am a little scared, too.\So let's all go together.\Okay. I'll go get a car. We'll leave in a half hour.\Hirasawa.\The truth is, Osugi treated me to a first-class dinner last night... response:	And after hearing Morimi's story,
context: I'm fine with that.\At the time, I thought maybe I could completely believe in him,\but I am a little scared, too.\So let's all go together.\Okay. I'll go get a car. We'll leave in a half hour.\Hirasawa.\The truth is, Osugi treated me to a first-class dinner last night...\And after hearing Morimi's story, response:	I figured out something that I didn't realize at the time.
context: At the time, I thought maybe I could completely believe in him,\but I am a little scared, too.\So let's all go together.\Okay. I'll go get a car. We'll leave in a half hour.\Hirasawa.\The truth is, Osugi treated me to a first-class dinner last night...\And after hearing Morimi's story,\I figured out something that I didn't realize at the time. response:	That dinner must have been originally planned with Morimi.
context: but I am a little scared, too.\So let's all go together.\Okay. I'll go get a car. We'll leave in a half hour.\Hirasawa.\The truth is, Osugi treated me to a first-class dinner last night...\And after hearing Morimi's story,\I figured out something that I didn't realize at the time.\That dinner must have been originally planned with Morimi. response:	What?! Why didn't you tell me sooner?!
context: So let's all go together.\Okay. I'll go get a car. We'll leave in a half hour.\Hirasawa.\The truth is, Osugi treated me to a first-class dinner last night...\And after hearing Morimi's story,\I figured out something that I didn't realize at the time.\That dinner must have been originally planned with Morimi.\What?! Why didn't you tell me sooner?! response:	I couldn't say this in front of her!
context: Okay. I'll go get a car. We'll leave in a half hour.\Hirasawa.\The truth is, Osugi treated me to a first-class dinner last night...\And after hearing Morimi's story,\I figured out something that I didn't realize at the time.\That dinner must have been originally planned with Morimi.\What?! Why didn't you tell me sooner?!\I couldn't say this in front of her! response:	Plus, judging from how he was acting at the time,
context: Hirasawa.\The truth is, Osugi treated me to a first-class dinner last night...\And after hearing Morimi's story,\I figured out something that I didn't realize at the time.\That dinner must have been originally planned with Morimi.\What?! Why didn't you tell me sooner?!\I couldn't say this in front of her!\Plus, judging from how he was acting at the time, response:	Osugi definitely saw Morimi with Mr. Takizawa.
context: The truth is, Osugi treated me to a first-class dinner last night...\And after hearing Morimi's story,\I figured out something that I didn't realize at the time.\That dinner must have been originally planned with Morimi.\What?! Why didn't you tell me sooner?!\I couldn't say this in front of her!\Plus, judging from how he was acting at the time,\Osugi definitely saw Morimi with Mr. Takizawa. response:	And what did Osugi do after dinner?
context: And after hearing Morimi's story,\I figured out something that I didn't realize at the time.\That dinner must have been originally planned with Morimi.\What?! Why didn't you tell me sooner?!\I couldn't say this in front of her!\Plus, judging from how he was acting at the time,\Osugi definitely saw Morimi with Mr. Takizawa.\And what did Osugi do after dinner? response:	He disappeared into the night, blind drunk.
context: I figured out something that I didn't realize at the time.\That dinner must have been originally planned with Morimi.\What?! Why didn't you tell me sooner?!\I couldn't say this in front of her!\Plus, judging from how he was acting at the time,\Osugi definitely saw Morimi with Mr. Takizawa.\And what did Osugi do after dinner?\He disappeared into the night, blind drunk. response:	And now it seems even Morimi can't get in touch with him...
context: That dinner must have been originally planned with Morimi.\What?! Why didn't you tell me sooner?!\I couldn't say this in front of her!\Plus, judging from how he was acting at the time,\Osugi definitely saw Morimi with Mr. Takizawa.\And what did Osugi do after dinner?\He disappeared into the night, blind drunk.\And now it seems even Morimi can't get in touch with him... response:	What should we do?
