context: Love, it is gentle. Love, it is pure. response:	And yet, he takes advantage of such a girl's affections!
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	I'm Usagi Tsukino. I don't look like a super heroine, but I am!
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am! response:	As you know, I transform myself by using a peculiar brooch
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch response:	and fight against bad guys.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys. response:	I'm the sailor warrior of love and justice, Sailor Moon!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon! response:	And my friends are the smart and sweet Ami Mizuno,
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno, response:	and a slightly quick-tempered psychic girl, Rei Hino.
context: We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino. response:	Both of them are so dependable, I feel like I'll fall behind.
context: I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind. response:	But anyway, I just have to do my best!
context: I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best! response:	Wish Upon A Shooting Star! Naru's Pure love
context: As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Wish Upon A Shooting Star! Naru's Pure love response:	Naru...
context: and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Wish Upon A Shooting Star! Naru's Pure love\Naru... response:	So this is love...
context: I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Wish Upon A Shooting Star! Naru's Pure love\Naru...\So this is love... response:	There! There!
context: And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Wish Upon A Shooting Star! Naru's Pure love\Naru...\So this is love...\There! There! response:	Usagi, you're such a child.
context: and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Wish Upon A Shooting Star! Naru's Pure love\Naru...\So this is love...\There! There!\Usagi, you're such a child. response:	Oh, you're too kind! Then are you a grown-up?
context: Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Wish Upon A Shooting Star! Naru's Pure love\Naru...\So this is love...\There! There!\Usagi, you're such a child.\Oh, you're too kind! Then are you a grown-up? response:	Well, of course. Because I'm...
context: But anyway, I just have to do my best!\Wish Upon A Shooting Star! Naru's Pure love\Naru...\So this is love...\There! There!\Usagi, you're such a child.\Oh, you're too kind! Then are you a grown-up?\Well, of course. Because I'm... response:	Naru, you need to have someone to love first!
context: Wish Upon A Shooting Star! Naru's Pure love\Naru...\So this is love...\There! There!\Usagi, you're such a child.\Oh, you're too kind! Then are you a grown-up?\Well, of course. Because I'm...\Naru, you need to have someone to love first! response:	Oh, please, Usagi. Of course, I have someone.
context: Naru...\So this is love...\There! There!\Usagi, you're such a child.\Oh, you're too kind! Then are you a grown-up?\Well, of course. Because I'm...\Naru, you need to have someone to love first!\Oh, please, Usagi. Of course, I have someone. response:	What?! Then are you in love with Umino?!
context: So this is love...\There! There!\Usagi, you're such a child.\Oh, you're too kind! Then are you a grown-up?\Well, of course. Because I'm...\Naru, you need to have someone to love first!\Oh, please, Usagi. Of course, I have someone.\What?! Then are you in love with Umino?! response:	Oh, it better not be Tuxedo Mask or Motoki!
context: There! There!\Usagi, you're such a child.\Oh, you're too kind! Then are you a grown-up?\Well, of course. Because I'm...\Naru, you need to have someone to love first!\Oh, please, Usagi. Of course, I have someone.\What?! Then are you in love with Umino?!\Oh, it better not be Tuxedo Mask or Motoki! response:	They belong to me!
context: Usagi, you're such a child.\Oh, you're too kind! Then are you a grown-up?\Well, of course. Because I'm...\Naru, you need to have someone to love first!\Oh, please, Usagi. Of course, I have someone.\What?! Then are you in love with Umino?!\Oh, it better not be Tuxedo Mask or Motoki!\They belong to me! response:	It's not them. I told you, it's a mature romance.
context: Oh, you're too kind! Then are you a grown-up?\Well, of course. Because I'm...\Naru, you need to have someone to love first!\Oh, please, Usagi. Of course, I have someone.\What?! Then are you in love with Umino?!\Oh, it better not be Tuxedo Mask or Motoki!\They belong to me!\It's not them. I told you, it's a mature romance. response:	Okay, then, I'll tell you. It's Mr. Sanjoin.
context: Well, of course. Because I'm...\Naru, you need to have someone to love first!\Oh, please, Usagi. Of course, I have someone.\What?! Then are you in love with Umino?!\Oh, it better not be Tuxedo Mask or Motoki!\They belong to me!\It's not them. I told you, it's a mature romance.\Okay, then, I'll tell you. It's Mr. Sanjoin. response:	What?!
context: Naru, you need to have someone to love first!\Oh, please, Usagi. Of course, I have someone.\What?! Then are you in love with Umino?!\Oh, it better not be Tuxedo Mask or Motoki!\They belong to me!\It's not them. I told you, it's a mature romance.\Okay, then, I'll tell you. It's Mr. Sanjoin.\What?! response:	What? You don't have to act so surprised.
context: Oh, please, Usagi. Of course, I have someone.\What?! Then are you in love with Umino?!\Oh, it better not be Tuxedo Mask or Motoki!\They belong to me!\It's not them. I told you, it's a mature romance.\Okay, then, I'll tell you. It's Mr. Sanjoin.\What?!\What? You don't have to act so surprised. response:	I know he's a bit older than me,
context: What?! Then are you in love with Umino?!\Oh, it better not be Tuxedo Mask or Motoki!\They belong to me!\It's not them. I told you, it's a mature romance.\Okay, then, I'll tell you. It's Mr. Sanjoin.\What?!\What? You don't have to act so surprised.\I know he's a bit older than me, response:	but an age difference doesn't matter when you're in love.
context: Oh, it better not be Tuxedo Mask or Motoki!\They belong to me!\It's not them. I told you, it's a mature romance.\Okay, then, I'll tell you. It's Mr. Sanjoin.\What?!\What? You don't have to act so surprised.\I know he's a bit older than me,\but an age difference doesn't matter when you're in love. response:	Well...
context: They belong to me!\It's not them. I told you, it's a mature romance.\Okay, then, I'll tell you. It's Mr. Sanjoin.\What?!\What? You don't have to act so surprised.\I know he's a bit older than me,\but an age difference doesn't matter when you're in love.\Well... response:	Anyway, he's absolutely not good for you!
context: It's not them. I told you, it's a mature romance.\Okay, then, I'll tell you. It's Mr. Sanjoin.\What?!\What? You don't have to act so surprised.\I know he's a bit older than me,\but an age difference doesn't matter when you're in love.\Well...\Anyway, he's absolutely not good for you! response:	Forget it, I shouldn't have told you anything!
context: Okay, then, I'll tell you. It's Mr. Sanjoin.\What?!\What? You don't have to act so surprised.\I know he's a bit older than me,\but an age difference doesn't matter when you're in love.\Well...\Anyway, he's absolutely not good for you!\Forget it, I shouldn't have told you anything! response:	What'll we do now?
context: What?!\What? You don't have to act so surprised.\I know he's a bit older than me,\but an age difference doesn't matter when you're in love.\Well...\Anyway, he's absolutely not good for you!\Forget it, I shouldn't have told you anything!\What'll we do now? response:	We need to tell Naru
context: What? You don't have to act so surprised.\I know he's a bit older than me,\but an age difference doesn't matter when you're in love.\Well...\Anyway, he's absolutely not good for you!\Forget it, I shouldn't have told you anything!\What'll we do now?\We need to tell Naru response:	that Masato Sanjoin is Nephrite as soon as possible.
context: I know he's a bit older than me,\but an age difference doesn't matter when you're in love.\Well...\Anyway, he's absolutely not good for you!\Forget it, I shouldn't have told you anything!\What'll we do now?\We need to tell Naru\that Masato Sanjoin is Nephrite as soon as possible. response:	Maybe we can wait a little and see.
context: but an age difference doesn't matter when you're in love.\Well...\Anyway, he's absolutely not good for you!\Forget it, I shouldn't have told you anything!\What'll we do now?\We need to tell Naru\that Masato Sanjoin is Nephrite as soon as possible.\Maybe we can wait a little and see. response:	It's easier said than done, when you consider Naru's feelings.
context: Well...\Anyway, he's absolutely not good for you!\Forget it, I shouldn't have told you anything!\What'll we do now?\We need to tell Naru\that Masato Sanjoin is Nephrite as soon as possible.\Maybe we can wait a little and see.\It's easier said than done, when you consider Naru's feelings. response:	We won't know how it'll go unless we try it!
context: Anyway, he's absolutely not good for you!\Forget it, I shouldn't have told you anything!\What'll we do now?\We need to tell Naru\that Masato Sanjoin is Nephrite as soon as possible.\Maybe we can wait a little and see.\It's easier said than done, when you consider Naru's feelings.\We won't know how it'll go unless we try it! response:	Hold on, Rei. Usagi, what do you think?
context: Forget it, I shouldn't have told you anything!\What'll we do now?\We need to tell Naru\that Masato Sanjoin is Nephrite as soon as possible.\Maybe we can wait a little and see.\It's easier said than done, when you consider Naru's feelings.\We won't know how it'll go unless we try it!\Hold on, Rei. Usagi, what do you think? response:	What? Well, I think we ought to tell her, but...
context: What'll we do now?\We need to tell Naru\that Masato Sanjoin is Nephrite as soon as possible.\Maybe we can wait a little and see.\It's easier said than done, when you consider Naru's feelings.\We won't know how it'll go unless we try it!\Hold on, Rei. Usagi, what do you think?\What? Well, I think we ought to tell her, but... response:	Then, what are we going to do?
context: We need to tell Naru\that Masato Sanjoin is Nephrite as soon as possible.\Maybe we can wait a little and see.\It's easier said than done, when you consider Naru's feelings.\We won't know how it'll go unless we try it!\Hold on, Rei. Usagi, what do you think?\What? Well, I think we ought to tell her, but...\Then, what are we going to do? response:	Anyway, just leave everything concerning Naru to me!
context: that Masato Sanjoin is Nephrite as soon as possible.\Maybe we can wait a little and see.\It's easier said than done, when you consider Naru's feelings.\We won't know how it'll go unless we try it!\Hold on, Rei. Usagi, what do you think?\What? Well, I think we ought to tell her, but...\Then, what are we going to do?\Anyway, just leave everything concerning Naru to me! response:	Leaving it to Usagi worries me even more.
context: Maybe we can wait a little and see.\It's easier said than done, when you consider Naru's feelings.\We won't know how it'll go unless we try it!\Hold on, Rei. Usagi, what do you think?\What? Well, I think we ought to tell her, but...\Then, what are we going to do?\Anyway, just leave everything concerning Naru to me!\Leaving it to Usagi worries me even more. response:	Where has Nephrite gone?!
context: It's easier said than done, when you consider Naru's feelings.\We won't know how it'll go unless we try it!\Hold on, Rei. Usagi, what do you think?\What? Well, I think we ought to tell her, but...\Then, what are we going to do?\Anyway, just leave everything concerning Naru to me!\Leaving it to Usagi worries me even more.\Where has Nephrite gone?! response:	He does not appear, no matter how many times I summon him!
context: We won't know how it'll go unless we try it!\Hold on, Rei. Usagi, what do you think?\What? Well, I think we ought to tell her, but...\Then, what are we going to do?\Anyway, just leave everything concerning Naru to me!\Leaving it to Usagi worries me even more.\Where has Nephrite gone?!\He does not appear, no matter how many times I summon him! response:	Queen Beryl is furious!
context: Hold on, Rei. Usagi, what do you think?\What? Well, I think we ought to tell her, but...\Then, what are we going to do?\Anyway, just leave everything concerning Naru to me!\Leaving it to Usagi worries me even more.\Where has Nephrite gone?!\He does not appear, no matter how many times I summon him!\Queen Beryl is furious! response:	How terrifying!
context: What? Well, I think we ought to tell her, but...\Then, what are we going to do?\Anyway, just leave everything concerning Naru to me!\Leaving it to Usagi worries me even more.\Where has Nephrite gone?!\He does not appear, no matter how many times I summon him!\Queen Beryl is furious!\How terrifying! response:	Nephrite, you had better be ready to face the consequences!
context: Then, what are we going to do?\Anyway, just leave everything concerning Naru to me!\Leaving it to Usagi worries me even more.\Where has Nephrite gone?!\He does not appear, no matter how many times I summon him!\Queen Beryl is furious!\How terrifying!\Nephrite, you had better be ready to face the consequences! response:	Nephrite is already a candle flickering in the wind.
context: Anyway, just leave everything concerning Naru to me!\Leaving it to Usagi worries me even more.\Where has Nephrite gone?!\He does not appear, no matter how many times I summon him!\Queen Beryl is furious!\How terrifying!\Nephrite, you had better be ready to face the consequences!\Nephrite is already a candle flickering in the wind. response:	How I pity him.
context: Leaving it to Usagi worries me even more.\Where has Nephrite gone?!\He does not appear, no matter how many times I summon him!\Queen Beryl is furious!\How terrifying!\Nephrite, you had better be ready to face the consequences!\Nephrite is already a candle flickering in the wind.\How I pity him. response:	I no longer have time to worry about stealing energy.
context: Where has Nephrite gone?!\He does not appear, no matter how many times I summon him!\Queen Beryl is furious!\How terrifying!\Nephrite, you had better be ready to face the consequences!\Nephrite is already a candle flickering in the wind.\How I pity him.\I no longer have time to worry about stealing energy. response:	Now I must obtain what I need
context: He does not appear, no matter how many times I summon him!\Queen Beryl is furious!\How terrifying!\Nephrite, you had better be ready to face the consequences!\Nephrite is already a candle flickering in the wind.\How I pity him.\I no longer have time to worry about stealing energy.\Now I must obtain what I need response:	in exchange for the celestial globe.
context: Queen Beryl is furious!\How terrifying!\Nephrite, you had better be ready to face the consequences!\Nephrite is already a candle flickering in the wind.\How I pity him.\I no longer have time to worry about stealing energy.\Now I must obtain what I need\in exchange for the celestial globe. response:	You again! What do you want?
context: How terrifying!\Nephrite, you had better be ready to face the consequences!\Nephrite is already a candle flickering in the wind.\How I pity him.\I no longer have time to worry about stealing energy.\Now I must obtain what I need\in exchange for the celestial globe.\You again! What do you want? response:	My, you shouldn't treat me so coldly.
context: Nephrite, you had better be ready to face the consequences!\Nephrite is already a candle flickering in the wind.\How I pity him.\I no longer have time to worry about stealing energy.\Now I must obtain what I need\in exchange for the celestial globe.\You again! What do you want?\My, you shouldn't treat me so coldly. response:	Queen Beryl is furious. She is looking for you.
context: Nephrite is already a candle flickering in the wind.\How I pity him.\I no longer have time to worry about stealing energy.\Now I must obtain what I need\in exchange for the celestial globe.\You again! What do you want?\My, you shouldn't treat me so coldly.\Queen Beryl is furious. She is looking for you. response:	Kunzite told you to come check up on me, did he?
context: How I pity him.\I no longer have time to worry about stealing energy.\Now I must obtain what I need\in exchange for the celestial globe.\You again! What do you want?\My, you shouldn't treat me so coldly.\Queen Beryl is furious. She is looking for you.\Kunzite told you to come check up on me, did he? response:	Well, well...
context: I no longer have time to worry about stealing energy.\Now I must obtain what I need\in exchange for the celestial globe.\You again! What do you want?\My, you shouldn't treat me so coldly.\Queen Beryl is furious. She is looking for you.\Kunzite told you to come check up on me, did he?\Well, well... response:	From your attitude, you don't seem to have any good plans ready.
context: Now I must obtain what I need\in exchange for the celestial globe.\You again! What do you want?\My, you shouldn't treat me so coldly.\Queen Beryl is furious. She is looking for you.\Kunzite told you to come check up on me, did he?\Well, well...\From your attitude, you don't seem to have any good plans ready. response:	Mind your own business! Get out of here!
context: in exchange for the celestial globe.\You again! What do you want?\My, you shouldn't treat me so coldly.\Queen Beryl is furious. She is looking for you.\Kunzite told you to come check up on me, did he?\Well, well...\From your attitude, you don't seem to have any good plans ready.\Mind your own business! Get out of here! response:	Oh, how scary. Here's some friendly advice.
context: You again! What do you want?\My, you shouldn't treat me so coldly.\Queen Beryl is furious. She is looking for you.\Kunzite told you to come check up on me, did he?\Well, well...\From your attitude, you don't seem to have any good plans ready.\Mind your own business! Get out of here!\Oh, how scary. Here's some friendly advice. response:	Why don't you retire,
context: My, you shouldn't treat me so coldly.\Queen Beryl is furious. She is looking for you.\Kunzite told you to come check up on me, did he?\Well, well...\From your attitude, you don't seem to have any good plans ready.\Mind your own business! Get out of here!\Oh, how scary. Here's some friendly advice.\Why don't you retire, response:	before you truly anger Queen Beryl?
context: Queen Beryl is furious. She is looking for you.\Kunzite told you to come check up on me, did he?\Well, well...\From your attitude, you don't seem to have any good plans ready.\Mind your own business! Get out of here!\Oh, how scary. Here's some friendly advice.\Why don't you retire,\before you truly anger Queen Beryl? response:	Shut up!
context: Kunzite told you to come check up on me, did he?\Well, well...\From your attitude, you don't seem to have any good plans ready.\Mind your own business! Get out of here!\Oh, how scary. Here's some friendly advice.\Why don't you retire,\before you truly anger Queen Beryl?\Shut up! response:	I will find the Silver Crystal and get the better of you!
context: Well, well...\From your attitude, you don't seem to have any good plans ready.\Mind your own business! Get out of here!\Oh, how scary. Here's some friendly advice.\Why don't you retire,\before you truly anger Queen Beryl?\Shut up!\I will find the Silver Crystal and get the better of you! response:	You're terrible! The Silver Crystal is my assignment!
context: From your attitude, you don't seem to have any good plans ready.\Mind your own business! Get out of here!\Oh, how scary. Here's some friendly advice.\Why don't you retire,\before you truly anger Queen Beryl?\Shut up!\I will find the Silver Crystal and get the better of you!\You're terrible! The Silver Crystal is my assignment! response:	It doesn't matter who's assignment it is! Whoever gets it wins!
context: Mind your own business! Get out of here!\Oh, how scary. Here's some friendly advice.\Why don't you retire,\before you truly anger Queen Beryl?\Shut up!\I will find the Silver Crystal and get the better of you!\You're terrible! The Silver Crystal is my assignment!\It doesn't matter who's assignment it is! Whoever gets it wins! response:	I'll get a hold of the Silver Crystal and restore my honor!
context: Oh, how scary. Here's some friendly advice.\Why don't you retire,\before you truly anger Queen Beryl?\Shut up!\I will find the Silver Crystal and get the better of you!\You're terrible! The Silver Crystal is my assignment!\It doesn't matter who's assignment it is! Whoever gets it wins!\I'll get a hold of the Silver Crystal and restore my honor! response:	Unbelievable! Just you remember this!
context: Why don't you retire,\before you truly anger Queen Beryl?\Shut up!\I will find the Silver Crystal and get the better of you!\You're terrible! The Silver Crystal is my assignment!\It doesn't matter who's assignment it is! Whoever gets it wins!\I'll get a hold of the Silver Crystal and restore my honor!\Unbelievable! Just you remember this! response:	I cannot believe I lost my composure with someone as petty as Zoisite.
context: before you truly anger Queen Beryl?\Shut up!\I will find the Silver Crystal and get the better of you!\You're terrible! The Silver Crystal is my assignment!\It doesn't matter who's assignment it is! Whoever gets it wins!\I'll get a hold of the Silver Crystal and restore my honor!\Unbelievable! Just you remember this!\I cannot believe I lost my composure with someone as petty as Zoisite. response:	The stars know everything.
context: Shut up!\I will find the Silver Crystal and get the better of you!\You're terrible! The Silver Crystal is my assignment!\It doesn't matter who's assignment it is! Whoever gets it wins!\I'll get a hold of the Silver Crystal and restore my honor!\Unbelievable! Just you remember this!\I cannot believe I lost my composure with someone as petty as Zoisite.\The stars know everything. response:	When the sun creates a sinister perpendicular angle
context: I will find the Silver Crystal and get the better of you!\You're terrible! The Silver Crystal is my assignment!\It doesn't matter who's assignment it is! Whoever gets it wins!\I'll get a hold of the Silver Crystal and restore my honor!\Unbelievable! Just you remember this!\I cannot believe I lost my composure with someone as petty as Zoisite.\The stars know everything.\When the sun creates a sinister perpendicular angle response:	between Neptune and Mars,
context: You're terrible! The Silver Crystal is my assignment!\It doesn't matter who's assignment it is! Whoever gets it wins!\I'll get a hold of the Silver Crystal and restore my honor!\Unbelievable! Just you remember this!\I cannot believe I lost my composure with someone as petty as Zoisite.\The stars know everything.\When the sun creates a sinister perpendicular angle\between Neptune and Mars, response:	the guide to the Silver Crystal shall appear.
context: It doesn't matter who's assignment it is! Whoever gets it wins!\I'll get a hold of the Silver Crystal and restore my honor!\Unbelievable! Just you remember this!\I cannot believe I lost my composure with someone as petty as Zoisite.\The stars know everything.\When the sun creates a sinister perpendicular angle\between Neptune and Mars,\the guide to the Silver Crystal shall appear. response:	And that is...
context: I'll get a hold of the Silver Crystal and restore my honor!\Unbelievable! Just you remember this!\I cannot believe I lost my composure with someone as petty as Zoisite.\The stars know everything.\When the sun creates a sinister perpendicular angle\between Neptune and Mars,\the guide to the Silver Crystal shall appear.\And that is... response:	So, this is the guide that will lead me to the Silver Crystal.
context: Unbelievable! Just you remember this!\I cannot believe I lost my composure with someone as petty as Zoisite.\The stars know everything.\When the sun creates a sinister perpendicular angle\between Neptune and Mars,\the guide to the Silver Crystal shall appear.\And that is...\So, this is the guide that will lead me to the Silver Crystal. response:	Is it saying that little girl has the Silver Crystal?!
context: I cannot believe I lost my composure with someone as petty as Zoisite.\The stars know everything.\When the sun creates a sinister perpendicular angle\between Neptune and Mars,\the guide to the Silver Crystal shall appear.\And that is...\So, this is the guide that will lead me to the Silver Crystal.\Is it saying that little girl has the Silver Crystal?! response:	Master Kunzite, I am so upset!
context: The stars know everything.\When the sun creates a sinister perpendicular angle\between Neptune and Mars,\the guide to the Silver Crystal shall appear.\And that is...\So, this is the guide that will lead me to the Silver Crystal.\Is it saying that little girl has the Silver Crystal?!\Master Kunzite, I am so upset! response:	Let Nephrite do what he wants.
context: When the sun creates a sinister perpendicular angle\between Neptune and Mars,\the guide to the Silver Crystal shall appear.\And that is...\So, this is the guide that will lead me to the Silver Crystal.\Is it saying that little girl has the Silver Crystal?!\Master Kunzite, I am so upset!\Let Nephrite do what he wants. response:	But, Master Kunzite, what if he...
context: between Neptune and Mars,\the guide to the Silver Crystal shall appear.\And that is...\So, this is the guide that will lead me to the Silver Crystal.\Is it saying that little girl has the Silver Crystal?!\Master Kunzite, I am so upset!\Let Nephrite do what he wants.\But, Master Kunzite, what if he... response:	If Nephrite happens to get a hold of the Silver Crystal,
context: the guide to the Silver Crystal shall appear.\And that is...\So, this is the guide that will lead me to the Silver Crystal.\Is it saying that little girl has the Silver Crystal?!\Master Kunzite, I am so upset!\Let Nephrite do what he wants.\But, Master Kunzite, what if he...\If Nephrite happens to get a hold of the Silver Crystal, response:	we can just steal it from him!
context: And that is...\So, this is the guide that will lead me to the Silver Crystal.\Is it saying that little girl has the Silver Crystal?!\Master Kunzite, I am so upset!\Let Nephrite do what he wants.\But, Master Kunzite, what if he...\If Nephrite happens to get a hold of the Silver Crystal,\we can just steal it from him! response:	You are a genius, Master Kunzite.
context: So, this is the guide that will lead me to the Silver Crystal.\Is it saying that little girl has the Silver Crystal?!\Master Kunzite, I am so upset!\Let Nephrite do what he wants.\But, Master Kunzite, what if he...\If Nephrite happens to get a hold of the Silver Crystal,\we can just steal it from him!\You are a genius, Master Kunzite. response:	Zoisite, for the time being, let the monsters keep an eye on Nephrite.
context: Is it saying that little girl has the Silver Crystal?!\Master Kunzite, I am so upset!\Let Nephrite do what he wants.\But, Master Kunzite, what if he...\If Nephrite happens to get a hold of the Silver Crystal,\we can just steal it from him!\You are a genius, Master Kunzite.\Zoisite, for the time being, let the monsters keep an eye on Nephrite. response:	Yasha! I know you are there! You heard what he said!
context: Master Kunzite, I am so upset!\Let Nephrite do what he wants.\But, Master Kunzite, what if he...\If Nephrite happens to get a hold of the Silver Crystal,\we can just steal it from him!\You are a genius, Master Kunzite.\Zoisite, for the time being, let the monsters keep an eye on Nephrite.\Yasha! I know you are there! You heard what he said! response:	Yes, your wish is my command.
context: Let Nephrite do what he wants.\But, Master Kunzite, what if he...\If Nephrite happens to get a hold of the Silver Crystal,\we can just steal it from him!\You are a genius, Master Kunzite.\Zoisite, for the time being, let the monsters keep an eye on Nephrite.\Yasha! I know you are there! You heard what he said!\Yes, your wish is my command. response:	Jewelry
