context: Hey, do you think people avoid us when we come through? response:	You're just too intimidating.
context: The urban legend has a girlfriend!\My Christmas\I'm Gouda Takeo, a first-year in high school.\It's now winter,\but I still feel like I'm in spring.\And soon...\It'll be Christmas soon!\Yeah. response:	Christmas... With Yamato.
context: My Christmas\I'm Gouda Takeo, a first-year in high school.\It's now winter,\but I still feel like I'm in spring.\And soon...\It'll be Christmas soon!\Yeah.\Christmas... With Yamato. response:	Hey, Takeo-kun...
context: I'm Gouda Takeo, a first-year in high school.\It's now winter,\but I still feel like I'm in spring.\And soon...\It'll be Christmas soon!\Yeah.\Christmas... With Yamato.\Hey, Takeo-kun... response:	About Christmas... Can we celebrate with my friends and yours?
context: It's now winter,\but I still feel like I'm in spring.\And soon...\It'll be Christmas soon!\Yeah.\Christmas... With Yamato.\Hey, Takeo-kun...\About Christmas... Can we celebrate with my friends and yours? response:	No one seems to have any plans.
context: but I still feel like I'm in spring.\And soon...\It'll be Christmas soon!\Yeah.\Christmas... With Yamato.\Hey, Takeo-kun...\About Christmas... Can we celebrate with my friends and yours?\No one seems to have any plans. response:	Christmas with everyone...
context: And soon...\It'll be Christmas soon!\Yeah.\Christmas... With Yamato.\Hey, Takeo-kun...\About Christmas... Can we celebrate with my friends and yours?\No one seems to have any plans.\Christmas with everyone... response:	I see.
context: It'll be Christmas soon!\Yeah.\Christmas... With Yamato.\Hey, Takeo-kun...\About Christmas... Can we celebrate with my friends and yours?\No one seems to have any plans.\Christmas with everyone...\I see. response:	I hadn't thought of that.
context: Yeah.\Christmas... With Yamato.\Hey, Takeo-kun...\About Christmas... Can we celebrate with my friends and yours?\No one seems to have any plans.\Christmas with everyone...\I see.\I hadn't thought of that. response:	That's a good idea. Okay, let's do that!
context: Christmas... With Yamato.\Hey, Takeo-kun...\About Christmas... Can we celebrate with my friends and yours?\No one seems to have any plans.\Christmas with everyone...\I see.\I hadn't thought of that.\That's a good idea. Okay, let's do that! response:	Okay!
context: Hey, Takeo-kun...\About Christmas... Can we celebrate with my friends and yours?\No one seems to have any plans.\Christmas with everyone...\I see.\I hadn't thought of that.\That's a good idea. Okay, let's do that!\Okay! response:	She's right.
context: About Christmas... Can we celebrate with my friends and yours?\No one seems to have any plans.\Christmas with everyone...\I see.\I hadn't thought of that.\That's a good idea. Okay, let's do that!\Okay!\She's right. response:	I'm already a happy man, anyway...
context: No one seems to have any plans.\Christmas with everyone...\I see.\I hadn't thought of that.\That's a good idea. Okay, let's do that!\Okay!\She's right.\I'm already a happy man, anyway... response:	Class 1-6
context: Christmas with everyone...\I see.\I hadn't thought of that.\That's a good idea. Okay, let's do that!\Okay!\She's right.\I'm already a happy man, anyway...\Class 1-6 response:	Whoa, a Christmas party with girls?
context: I see.\I hadn't thought of that.\That's a good idea. Okay, let's do that!\Okay!\She's right.\I'm already a happy man, anyway...\Class 1-6\Whoa, a Christmas party with girls? response:	That'd be a first for me!
context: I hadn't thought of that.\That's a good idea. Okay, let's do that!\Okay!\She's right.\I'm already a happy man, anyway...\Class 1-6\Whoa, a Christmas party with girls?\That'd be a first for me! response:	The day has finally come!
context: That's a good idea. Okay, let's do that!\Okay!\She's right.\I'm already a happy man, anyway...\Class 1-6\Whoa, a Christmas party with girls?\That'd be a first for me!\The day has finally come! response:	It'd be my first time since elementary school!
context: Okay!\She's right.\I'm already a happy man, anyway...\Class 1-6\Whoa, a Christmas party with girls?\That'd be a first for me!\The day has finally come!\It'd be my first time since elementary school! response:	This year, I won't have to walk through the streets, crying!
context: She's right.\I'm already a happy man, anyway...\Class 1-6\Whoa, a Christmas party with girls?\That'd be a first for me!\The day has finally come!\It'd be my first time since elementary school!\This year, I won't have to walk through the streets, crying! response:	Long live, Yamato-san!
context: I'm already a happy man, anyway...\Class 1-6\Whoa, a Christmas party with girls?\That'd be a first for me!\The day has finally come!\It'd be my first time since elementary school!\This year, I won't have to walk through the streets, crying!\Long live, Yamato-san! response:	What a goddess!
context: Class 1-6\Whoa, a Christmas party with girls?\That'd be a first for me!\The day has finally come!\It'd be my first time since elementary school!\This year, I won't have to walk through the streets, crying!\Long live, Yamato-san!\What a goddess! response:	Yamato, they're super happy.
context: Whoa, a Christmas party with girls?\That'd be a first for me!\The day has finally come!\It'd be my first time since elementary school!\This year, I won't have to walk through the streets, crying!\Long live, Yamato-san!\What a goddess!\Yamato, they're super happy. response:	Thank you.
context: That'd be a first for me!\The day has finally come!\It'd be my first time since elementary school!\This year, I won't have to walk through the streets, crying!\Long live, Yamato-san!\What a goddess!\Yamato, they're super happy.\Thank you. response:	Suna, you should come, too.
context: The day has finally come!\It'd be my first time since elementary school!\This year, I won't have to walk through the streets, crying!\Long live, Yamato-san!\What a goddess!\Yamato, they're super happy.\Thank you.\Suna, you should come, too. response:	I knew you'd say that.
context: It'd be my first time since elementary school!\This year, I won't have to walk through the streets, crying!\Long live, Yamato-san!\What a goddess!\Yamato, they're super happy.\Thank you.\Suna, you should come, too.\I knew you'd say that. response:	Takeo?
context: This year, I won't have to walk through the streets, crying!\Long live, Yamato-san!\What a goddess!\Yamato, they're super happy.\Thank you.\Suna, you should come, too.\I knew you'd say that.\Takeo? response:	What's wrong?
context: Long live, Yamato-san!\What a goddess!\Yamato, they're super happy.\Thank you.\Suna, you should come, too.\I knew you'd say that.\Takeo?\What's wrong? response:	Um, so...
context: What a goddess!\Yamato, they're super happy.\Thank you.\Suna, you should come, too.\I knew you'd say that.\Takeo?\What's wrong?\Um, so... response:	Can I tell Nanako-chan at that Christmas thing?
context: Yamato, they're super happy.\Thank you.\Suna, you should come, too.\I knew you'd say that.\Takeo?\What's wrong?\Um, so...\Can I tell Nanako-chan at that Christmas thing? response:	Nanako-san?
context: Thank you.\Suna, you should come, too.\I knew you'd say that.\Takeo?\What's wrong?\Um, so...\Can I tell Nanako-chan at that Christmas thing?\Nanako-san? response:	Tell her what?
context: Suna, you should come, too.\I knew you'd say that.\Takeo?\What's wrong?\Um, so...\Can I tell Nanako-chan at that Christmas thing?\Nanako-san?\Tell her what? response:	Well, tell her that I want to ask her out.
context: I knew you'd say that.\Takeo?\What's wrong?\Um, so...\Can I tell Nanako-chan at that Christmas thing?\Nanako-san?\Tell her what?\Well, tell her that I want to ask her out. response:	C'mon, read between the lines.
context: Takeo?\What's wrong?\Um, so...\Can I tell Nanako-chan at that Christmas thing?\Nanako-san?\Tell her what?\Well, tell her that I want to ask her out.\C'mon, read between the lines. response:	Since when?
context: What's wrong?\Um, so...\Can I tell Nanako-chan at that Christmas thing?\Nanako-san?\Tell her what?\Well, tell her that I want to ask her out.\C'mon, read between the lines.\Since when? response:	So, can I?
context: Um, so...\Can I tell Nanako-chan at that Christmas thing?\Nanako-san?\Tell her what?\Well, tell her that I want to ask her out.\C'mon, read between the lines.\Since when?\So, can I? response:	Sure, why not?
context: Can I tell Nanako-chan at that Christmas thing?\Nanako-san?\Tell her what?\Well, tell her that I want to ask her out.\C'mon, read between the lines.\Since when?\So, can I?\Sure, why not? response:	Should we ask Yamato for permission, too?
context: Nanako-san?\Tell her what?\Well, tell her that I want to ask her out.\C'mon, read between the lines.\Since when?\So, can I?\Sure, why not?\Should we ask Yamato for permission, too? response:	Yeah, we should.
context: Tell her what?\Well, tell her that I want to ask her out.\C'mon, read between the lines.\Since when?\So, can I?\Sure, why not?\Should we ask Yamato for permission, too?\Yeah, we should. response:	Please do that, thanks.
context: Well, tell her that I want to ask her out.\C'mon, read between the lines.\Since when?\So, can I?\Sure, why not?\Should we ask Yamato for permission, too?\Yeah, we should.\Please do that, thanks. response:	I see, he likes her now.
context: C'mon, read between the lines.\Since when?\So, can I?\Sure, why not?\Should we ask Yamato for permission, too?\Yeah, we should.\Please do that, thanks.\I see, he likes her now. response:	I hope you'll be happy together.
context: Since when?\So, can I?\Sure, why not?\Should we ask Yamato for permission, too?\Yeah, we should.\Please do that, thanks.\I see, he likes her now.\I hope you'll be happy together. response:	Give it your best shot!
context: So, can I?\Sure, why not?\Should we ask Yamato for permission, too?\Yeah, we should.\Please do that, thanks.\I see, he likes her now.\I hope you'll be happy together.\Give it your best shot! response:	Inbox From: Takeo-kun To: Yamato Rinko Subject: Christmas It's all good. Everyone's happy.
context: Sure, why not?\Should we ask Yamato for permission, too?\Yeah, we should.\Please do that, thanks.\I see, he likes her now.\I hope you'll be happy together.\Give it your best shot!\Inbox From: Takeo-kun To: Yamato Rinko Subject: Christmas It's all good. Everyone's happy. response:	Takeo-kun and his friends are on for Christmas!
context: Should we ask Yamato for permission, too?\Yeah, we should.\Please do that, thanks.\I see, he likes her now.\I hope you'll be happy together.\Give it your best shot!\Inbox From: Takeo-kun To: Yamato Rinko Subject: Christmas It's all good. Everyone's happy.\Takeo-kun and his friends are on for Christmas! response:	Thanks, Rinko!
context: Yeah, we should.\Please do that, thanks.\I see, he likes her now.\I hope you'll be happy together.\Give it your best shot!\Inbox From: Takeo-kun To: Yamato Rinko Subject: Christmas It's all good. Everyone's happy.\Takeo-kun and his friends are on for Christmas!\Thanks, Rinko! response:	Let's exchange gifts!
context: Please do that, thanks.\I see, he likes her now.\I hope you'll be happy together.\Give it your best shot!\Inbox From: Takeo-kun To: Yamato Rinko Subject: Christmas It's all good. Everyone's happy.\Takeo-kun and his friends are on for Christmas!\Thanks, Rinko!\Let's exchange gifts! response:	A thousand-yen budget?
context: I see, he likes her now.\I hope you'll be happy together.\Give it your best shot!\Inbox From: Takeo-kun To: Yamato Rinko Subject: Christmas It's all good. Everyone's happy.\Takeo-kun and his friends are on for Christmas!\Thanks, Rinko!\Let's exchange gifts!\A thousand-yen budget? response:	I want to go karaoke!
context: I hope you'll be happy together.\Give it your best shot!\Inbox From: Takeo-kun To: Yamato Rinko Subject: Christmas It's all good. Everyone's happy.\Takeo-kun and his friends are on for Christmas!\Thanks, Rinko!\Let's exchange gifts!\A thousand-yen budget?\I want to go karaoke! response:	Nice!
context: Give it your best shot!\Inbox From: Takeo-kun To: Yamato Rinko Subject: Christmas It's all good. Everyone's happy.\Takeo-kun and his friends are on for Christmas!\Thanks, Rinko!\Let's exchange gifts!\A thousand-yen budget?\I want to go karaoke!\Nice! response:	Rinko...
context: Inbox From: Takeo-kun To: Yamato Rinko Subject: Christmas It's all good. Everyone's happy.\Takeo-kun and his friends are on for Christmas!\Thanks, Rinko!\Let's exchange gifts!\A thousand-yen budget?\I want to go karaoke!\Nice!\Rinko... response:	Is Kurihara-kun coming, too?
context: Takeo-kun and his friends are on for Christmas!\Thanks, Rinko!\Let's exchange gifts!\A thousand-yen budget?\I want to go karaoke!\Nice!\Rinko...\Is Kurihara-kun coming, too? response:	Kurihara-kun? I'm not sure.
context: Thanks, Rinko!\Let's exchange gifts!\A thousand-yen budget?\I want to go karaoke!\Nice!\Rinko...\Is Kurihara-kun coming, too?\Kurihara-kun? I'm not sure. response:	I'll try asking right now
context: Let's exchange gifts!\A thousand-yen budget?\I want to go karaoke!\Nice!\Rinko...\Is Kurihara-kun coming, too?\Kurihara-kun? I'm not sure.\I'll try asking right now response:	No, you don't have to ask!
context: A thousand-yen budget?\I want to go karaoke!\Nice!\Rinko...\Is Kurihara-kun coming, too?\Kurihara-kun? I'm not sure.\I'll try asking right now\No, you don't have to ask! response:	You sure?
context: I want to go karaoke!\Nice!\Rinko...\Is Kurihara-kun coming, too?\Kurihara-kun? I'm not sure.\I'll try asking right now\No, you don't have to ask!\You sure? response:	Rinko...
context: Nice!\Rinko...\Is Kurihara-kun coming, too?\Kurihara-kun? I'm not sure.\I'll try asking right now\No, you don't have to ask!\You sure?\Rinko... response:	What does it mean if a guy tries to hold your hand?
context: Rinko...\Is Kurihara-kun coming, too?\Kurihara-kun? I'm not sure.\I'll try asking right now\No, you don't have to ask!\You sure?\Rinko...\What does it mean if a guy tries to hold your hand? response:	Huh?
context: Is Kurihara-kun coming, too?\Kurihara-kun? I'm not sure.\I'll try asking right now\No, you don't have to ask!\You sure?\Rinko...\What does it mean if a guy tries to hold your hand?\Huh? response:	Doesn't that mean he likes you?
context: Kurihara-kun? I'm not sure.\I'll try asking right now\No, you don't have to ask!\You sure?\Rinko...\What does it mean if a guy tries to hold your hand?\Huh?\Doesn't that mean he likes you? response:	That's what I'd think.
context: I'll try asking right now\No, you don't have to ask!\You sure?\Rinko...\What does it mean if a guy tries to hold your hand?\Huh?\Doesn't that mean he likes you?\That's what I'd think. response:	Well, actually...
context: No, you don't have to ask!\You sure?\Rinko...\What does it mean if a guy tries to hold your hand?\Huh?\Doesn't that mean he likes you?\That's what I'd think.\Well, actually... response:	Kurihara asked for my contact info,
context: You sure?\Rinko...\What does it mean if a guy tries to hold your hand?\Huh?\Doesn't that mean he likes you?\That's what I'd think.\Well, actually...\Kurihara asked for my contact info, response:	and we went to a movie once...
context: Rinko...\What does it mean if a guy tries to hold your hand?\Huh?\Doesn't that mean he likes you?\That's what I'd think.\Well, actually...\Kurihara asked for my contact info,\and we went to a movie once... response:	And he held my hand.
context: What does it mean if a guy tries to hold your hand?\Huh?\Doesn't that mean he likes you?\That's what I'd think.\Well, actually...\Kurihara asked for my contact info,\and we went to a movie once...\And he held my hand. response:	What do you think?
context: Huh?\Doesn't that mean he likes you?\That's what I'd think.\Well, actually...\Kurihara asked for my contact info,\and we went to a movie once...\And he held my hand.\What do you think? response:	Huh? Huh? I see!
context: Doesn't that mean he likes you?\That's what I'd think.\Well, actually...\Kurihara asked for my contact info,\and we went to a movie once...\And he held my hand.\What do you think?\Huh? Huh? I see! response:	Um, doesn't that mean he likes you?!
context: That's what I'd think.\Well, actually...\Kurihara asked for my contact info,\and we went to a movie once...\And he held my hand.\What do you think?\Huh? Huh? I see!\Um, doesn't that mean he likes you?! response:	No, you can't be sure...
context: Well, actually...\Kurihara asked for my contact info,\and we went to a movie once...\And he held my hand.\What do you think?\Huh? Huh? I see!\Um, doesn't that mean he likes you?!\No, you can't be sure... response:	He hasn't said anything definite.
context: Kurihara asked for my contact info,\and we went to a movie once...\And he held my hand.\What do you think?\Huh? Huh? I see!\Um, doesn't that mean he likes you?!\No, you can't be sure...\He hasn't said anything definite. response:	But wait!
context: and we went to a movie once...\And he held my hand.\What do you think?\Huh? Huh? I see!\Um, doesn't that mean he likes you?!\No, you can't be sure...\He hasn't said anything definite.\But wait! response:	If he didn't like you a little, he wouldn't have asked you to the movies!
context: And he held my hand.\What do you think?\Huh? Huh? I see!\Um, doesn't that mean he likes you?!\No, you can't be sure...\He hasn't said anything definite.\But wait!\If he didn't like you a little, he wouldn't have asked you to the movies! response:	How do you feel about Kurihara-kun?
context: What do you think?\Huh? Huh? I see!\Um, doesn't that mean he likes you?!\No, you can't be sure...\He hasn't said anything definite.\But wait!\If he didn't like you a little, he wouldn't have asked you to the movies!\How do you feel about Kurihara-kun? response:	Huh?
context: Huh? Huh? I see!\Um, doesn't that mean he likes you?!\No, you can't be sure...\He hasn't said anything definite.\But wait!\If he didn't like you a little, he wouldn't have asked you to the movies!\How do you feel about Kurihara-kun?\Huh? response:	Well...
context: Um, doesn't that mean he likes you?!\No, you can't be sure...\He hasn't said anything definite.\But wait!\If he didn't like you a little, he wouldn't have asked you to the movies!\How do you feel about Kurihara-kun?\Huh?\Well... response:	If he asked, I guess I could go out with him.
context: No, you can't be sure...\He hasn't said anything definite.\But wait!\If he didn't like you a little, he wouldn't have asked you to the movies!\How do you feel about Kurihara-kun?\Huh?\Well...\If he asked, I guess I could go out with him. response:	Anything I can do to help?!
context: He hasn't said anything definite.\But wait!\If he didn't like you a little, he wouldn't have asked you to the movies!\How do you feel about Kurihara-kun?\Huh?\Well...\If he asked, I guess I could go out with him.\Anything I can do to help?! response:	Huh?
context: But wait!\If he didn't like you a little, he wouldn't have asked you to the movies!\How do you feel about Kurihara-kun?\Huh?\Well...\If he asked, I guess I could go out with him.\Anything I can do to help?!\Huh? response:	No, it's fine.
context: If he didn't like you a little, he wouldn't have asked you to the movies!\How do you feel about Kurihara-kun?\Huh?\Well...\If he asked, I guess I could go out with him.\Anything I can do to help?!\Huh?\No, it's fine. response:	Want me to ask Takeo-kun about it?
context: How do you feel about Kurihara-kun?\Huh?\Well...\If he asked, I guess I could go out with him.\Anything I can do to help?!\Huh?\No, it's fine.\Want me to ask Takeo-kun about it? response:	No, don't worry about it.
context: Huh?\Well...\If he asked, I guess I could go out with him.\Anything I can do to help?!\Huh?\No, it's fine.\Want me to ask Takeo-kun about it?\No, don't worry about it. response:	What should I get as a present?
context: Well...\If he asked, I guess I could go out with him.\Anything I can do to help?!\Huh?\No, it's fine.\Want me to ask Takeo-kun about it?\No, don't worry about it.\What should I get as a present? response:	Man, I need to work more hours.
context: If he asked, I guess I could go out with him.\Anything I can do to help?!\Huh?\No, it's fine.\Want me to ask Takeo-kun about it?\No, don't worry about it.\What should I get as a present?\Man, I need to work more hours. response:	Sorry, Takeo-kun!
context: Anything I can do to help?!\Huh?\No, it's fine.\Want me to ask Takeo-kun about it?\No, don't worry about it.\What should I get as a present?\Man, I need to work more hours.\Sorry, Takeo-kun! response:	I was waiting over there...
context: Huh?\No, it's fine.\Want me to ask Takeo-kun about it?\No, don't worry about it.\What should I get as a present?\Man, I need to work more hours.\Sorry, Takeo-kun!\I was waiting over there... response:	I love her.
context: No, it's fine.\Want me to ask Takeo-kun about it?\No, don't worry about it.\What should I get as a present?\Man, I need to work more hours.\Sorry, Takeo-kun!\I was waiting over there...\I love her. response:	So a reservation for twelve, on December 24th, at 4 PM?
context: Want me to ask Takeo-kun about it?\No, don't worry about it.\What should I get as a present?\Man, I need to work more hours.\Sorry, Takeo-kun!\I was waiting over there...\I love her.\So a reservation for twelve, on December 24th, at 4 PM? response:	Yes.
context: No, don't worry about it.\What should I get as a present?\Man, I need to work more hours.\Sorry, Takeo-kun!\I was waiting over there...\I love her.\So a reservation for twelve, on December 24th, at 4 PM?\Yes. response:	Please wait a moment.
context: What should I get as a present?\Man, I need to work more hours.\Sorry, Takeo-kun!\I was waiting over there...\I love her.\So a reservation for twelve, on December 24th, at 4 PM?\Yes.\Please wait a moment. response:	Look, Yamato!
context: Man, I need to work more hours.\Sorry, Takeo-kun!\I was waiting over there...\I love her.\So a reservation for twelve, on December 24th, at 4 PM?\Yes.\Please wait a moment.\Look, Yamato! response:	There's a big Christmas tree in the courtyard.
context: Sorry, Takeo-kun!\I was waiting over there...\I love her.\So a reservation for twelve, on December 24th, at 4 PM?\Yes.\Please wait a moment.\Look, Yamato!\There's a big Christmas tree in the courtyard. response:	Wow, it's beautiful.
context: I was waiting over there...\I love her.\So a reservation for twelve, on December 24th, at 4 PM?\Yes.\Please wait a moment.\Look, Yamato!\There's a big Christmas tree in the courtyard.\Wow, it's beautiful. response:	Oh, the Christmas tree can be seen from all the rooms.
context: I love her.\So a reservation for twelve, on December 24th, at 4 PM?\Yes.\Please wait a moment.\Look, Yamato!\There's a big Christmas tree in the courtyard.\Wow, it's beautiful.\Oh, the Christmas tree can be seen from all the rooms. response:	It's even better at night!
context: So a reservation for twelve, on December 24th, at 4 PM?\Yes.\Please wait a moment.\Look, Yamato!\There's a big Christmas tree in the courtyard.\Wow, it's beautiful.\Oh, the Christmas tree can be seen from all the rooms.\It's even better at night! response:	Oh, and there's a story about that tree.
context: Yes.\Please wait a moment.\Look, Yamato!\There's a big Christmas tree in the courtyard.\Wow, it's beautiful.\Oh, the Christmas tree can be seen from all the rooms.\It's even better at night!\Oh, and there's a story about that tree. response:	At the very top, there's one star that's different from the rest.
context: Please wait a moment.\Look, Yamato!\There's a big Christmas tree in the courtyard.\Wow, it's beautiful.\Oh, the Christmas tree can be seen from all the rooms.\It's even better at night!\Oh, and there's a story about that tree.\At the very top, there's one star that's different from the rest. response:	Oh, that one.
context: Look, Yamato!\There's a big Christmas tree in the courtyard.\Wow, it's beautiful.\Oh, the Christmas tree can be seen from all the rooms.\It's even better at night!\Oh, and there's a story about that tree.\At the very top, there's one star that's different from the rest.\Oh, that one. response:	Huh?
context: There's a big Christmas tree in the courtyard.\Wow, it's beautiful.\Oh, the Christmas tree can be seen from all the rooms.\It's even better at night!\Oh, and there's a story about that tree.\At the very top, there's one star that's different from the rest.\Oh, that one.\Huh? response:	You can see it all the way from here, Takeo-kun?
context: Wow, it's beautiful.\Oh, the Christmas tree can be seen from all the rooms.\It's even better at night!\Oh, and there's a story about that tree.\At the very top, there's one star that's different from the rest.\Oh, that one.\Huh?\You can see it all the way from here, Takeo-kun? response:	Wow
context: Oh, the Christmas tree can be seen from all the rooms.\It's even better at night!\Oh, and there's a story about that tree.\At the very top, there's one star that's different from the rest.\Oh, that one.\Huh?\You can see it all the way from here, Takeo-kun?\Wow response:	If you pluck that star and ask someone out,
context: It's even better at night!\Oh, and there's a story about that tree.\At the very top, there's one star that's different from the rest.\Oh, that one.\Huh?\You can see it all the way from here, Takeo-kun?\Wow\If you pluck that star and ask someone out, response:	they'll say yes.
context: Oh, and there's a story about that tree.\At the very top, there's one star that's different from the rest.\Oh, that one.\Huh?\You can see it all the way from here, Takeo-kun?\Wow\If you pluck that star and ask someone out,\they'll say yes. response:	Well, it's cold and your hands go numb, so you can't really climb up there.
context: At the very top, there's one star that's different from the rest.\Oh, that one.\Huh?\You can see it all the way from here, Takeo-kun?\Wow\If you pluck that star and ask someone out,\they'll say yes.\Well, it's cold and your hands go numb, so you can't really climb up there. response:	It's high and scary,
context: Oh, that one.\Huh?\You can see it all the way from here, Takeo-kun?\Wow\If you pluck that star and ask someone out,\they'll say yes.\Well, it's cold and your hands go numb, so you can't really climb up there.\It's high and scary, response:	so no one's ever managed it...
