context: Fist of Flowing Water, Crushed Rock! response:	Those moves are the perfect offense and defense alike.
context: I didn't expect him to be that strong.\And even Silverfang is here.\This will make it hard to snatch him.\But if I go back empty-handed, Orochi might eat me next.\I need Garo to survive this on his own somehow,\but I'm not sure things could be any worse.\Say, Big Bro, if you were him,\would you still be able to stand after being hurt that badly? response:	If I were 60 years younger, I could've held on... probably.
context: And even Silverfang is here.\This will make it hard to snatch him.\But if I go back empty-handed, Orochi might eat me next.\I need Garo to survive this on his own somehow,\but I'm not sure things could be any worse.\Say, Big Bro, if you were him,\would you still be able to stand after being hurt that badly?\If I were 60 years younger, I could've held on... probably. response:	Come on! Just a little more!
context: This will make it hard to snatch him.\But if I go back empty-handed, Orochi might eat me next.\I need Garo to survive this on his own somehow,\but I'm not sure things could be any worse.\Say, Big Bro, if you were him,\would you still be able to stand after being hurt that badly?\If I were 60 years younger, I could've held on... probably.\Come on! Just a little more! response:	Let's go, Bang!
context: But if I go back empty-handed, Orochi might eat me next.\I need Garo to survive this on his own somehow,\but I'm not sure things could be any worse.\Say, Big Bro, if you were him,\would you still be able to stand after being hurt that badly?\If I were 60 years younger, I could've held on... probably.\Come on! Just a little more!\Let's go, Bang! response:	Damn it... Old Man Bang
context: I need Garo to survive this on his own somehow,\but I'm not sure things could be any worse.\Say, Big Bro, if you were him,\would you still be able to stand after being hurt that badly?\If I were 60 years younger, I could've held on... probably.\Come on! Just a little more!\Let's go, Bang!\Damn it... Old Man Bang response:	is taking advantage of the fact that his former top pupil is weakened.
context: but I'm not sure things could be any worse.\Say, Big Bro, if you were him,\would you still be able to stand after being hurt that badly?\If I were 60 years younger, I could've held on... probably.\Come on! Just a little more!\Let's go, Bang!\Damn it... Old Man Bang\is taking advantage of the fact that his former top pupil is weakened. response:	Not to mention the other geezer is the master of the Fist of Whirling Wind,
context: Say, Big Bro, if you were him,\would you still be able to stand after being hurt that badly?\If I were 60 years younger, I could've held on... probably.\Come on! Just a little more!\Let's go, Bang!\Damn it... Old Man Bang\is taking advantage of the fact that his former top pupil is weakened.\Not to mention the other geezer is the master of the Fist of Whirling Wind, response:	Slashing Steel, Bomb!
context: would you still be able to stand after being hurt that badly?\If I were 60 years younger, I could've held on... probably.\Come on! Just a little more!\Let's go, Bang!\Damn it... Old Man Bang\is taking advantage of the fact that his former top pupil is weakened.\Not to mention the other geezer is the master of the Fist of Whirling Wind,\Slashing Steel, Bomb! response:	Have they no shame?
context: If I were 60 years younger, I could've held on... probably.\Come on! Just a little more!\Let's go, Bang!\Damn it... Old Man Bang\is taking advantage of the fact that his former top pupil is weakened.\Not to mention the other geezer is the master of the Fist of Whirling Wind,\Slashing Steel, Bomb!\Have they no shame? response:	Even if I were to beg for my life in front of these two,
context: Come on! Just a little more!\Let's go, Bang!\Damn it... Old Man Bang\is taking advantage of the fact that his former top pupil is weakened.\Not to mention the other geezer is the master of the Fist of Whirling Wind,\Slashing Steel, Bomb!\Have they no shame?\Even if I were to beg for my life in front of these two, response:	the Demon Cyborg wouldn't let me go.
context: Let's go, Bang!\Damn it... Old Man Bang\is taking advantage of the fact that his former top pupil is weakened.\Not to mention the other geezer is the master of the Fist of Whirling Wind,\Slashing Steel, Bomb!\Have they no shame?\Even if I were to beg for my life in front of these two,\the Demon Cyborg wouldn't let me go. response:	So if I want to get through this dire situation,
context: Damn it... Old Man Bang\is taking advantage of the fact that his former top pupil is weakened.\Not to mention the other geezer is the master of the Fist of Whirling Wind,\Slashing Steel, Bomb!\Have they no shame?\Even if I were to beg for my life in front of these two,\the Demon Cyborg wouldn't let me go.\So if I want to get through this dire situation, response:	I need to kill all three of them.
context: is taking advantage of the fact that his former top pupil is weakened.\Not to mention the other geezer is the master of the Fist of Whirling Wind,\Slashing Steel, Bomb!\Have they no shame?\Even if I were to beg for my life in front of these two,\the Demon Cyborg wouldn't let me go.\So if I want to get through this dire situation,\I need to kill all three of them. response:	That's impossible, though.
context: Not to mention the other geezer is the master of the Fist of Whirling Wind,\Slashing Steel, Bomb!\Have they no shame?\Even if I were to beg for my life in front of these two,\the Demon Cyborg wouldn't let me go.\So if I want to get through this dire situation,\I need to kill all three of them.\That's impossible, though. response:	Know the pain that my top pupil Charanko felt, Garo!
context: Slashing Steel, Bomb!\Have they no shame?\Even if I were to beg for my life in front of these two,\the Demon Cyborg wouldn't let me go.\So if I want to get through this dire situation,\I need to kill all three of them.\That's impossible, though.\Know the pain that my top pupil Charanko felt, Garo! response:	Let's play heroes!
context: Have they no shame?\Even if I were to beg for my life in front of these two,\the Demon Cyborg wouldn't let me go.\So if I want to get through this dire situation,\I need to kill all three of them.\That's impossible, though.\Know the pain that my top pupil Charanko felt, Garo!\Let's play heroes! response:	You wanna play, too, don't you, Garo?
context: Even if I were to beg for my life in front of these two,\the Demon Cyborg wouldn't let me go.\So if I want to get through this dire situation,\I need to kill all three of them.\That's impossible, though.\Know the pain that my top pupil Charanko felt, Garo!\Let's play heroes!\You wanna play, too, don't you, Garo? response:	Yeah, let's play!
context: the Demon Cyborg wouldn't let me go.\So if I want to get through this dire situation,\I need to kill all three of them.\That's impossible, though.\Know the pain that my top pupil Charanko felt, Garo!\Let's play heroes!\You wanna play, too, don't you, Garo?\Yeah, let's play! response:	Huh? Sure.
context: So if I want to get through this dire situation,\I need to kill all three of them.\That's impossible, though.\Know the pain that my top pupil Charanko felt, Garo!\Let's play heroes!\You wanna play, too, don't you, Garo?\Yeah, let's play!\Huh? Sure. response:	Bum-ba-bom! Justice Man is here!
context: I need to kill all three of them.\That's impossible, though.\Know the pain that my top pupil Charanko felt, Garo!\Let's play heroes!\You wanna play, too, don't you, Garo?\Yeah, let's play!\Huh? Sure.\Bum-ba-bom! Justice Man is here! response:	Hup!
context: That's impossible, though.\Know the pain that my top pupil Charanko felt, Garo!\Let's play heroes!\You wanna play, too, don't you, Garo?\Yeah, let's play!\Huh? Sure.\Bum-ba-bom! Justice Man is here!\Hup! response:	Justice Man Kick!
context: Know the pain that my top pupil Charanko felt, Garo!\Let's play heroes!\You wanna play, too, don't you, Garo?\Yeah, let's play!\Huh? Sure.\Bum-ba-bom! Justice Man is here!\Hup!\Justice Man Kick! response:	That's dangerous!
context: Let's play heroes!\You wanna play, too, don't you, Garo?\Yeah, let's play!\Huh? Sure.\Bum-ba-bom! Justice Man is here!\Hup!\Justice Man Kick!\That's dangerous! response:	Huh?
context: You wanna play, too, don't you, Garo?\Yeah, let's play!\Huh? Sure.\Bum-ba-bom! Justice Man is here!\Hup!\Justice Man Kick!\That's dangerous!\Huh? response:	That's mean!
context: Yeah, let's play!\Huh? Sure.\Bum-ba-bom! Justice Man is here!\Hup!\Justice Man Kick!\That's dangerous!\Huh?\That's mean! response:	In that case...
context: Huh? Sure.\Bum-ba-bom! Justice Man is here!\Hup!\Justice Man Kick!\That's dangerous!\Huh?\That's mean!\In that case... response:	You can be the monster.
context: Bum-ba-bom! Justice Man is here!\Hup!\Justice Man Kick!\That's dangerous!\Huh?\That's mean!\In that case...\You can be the monster. response:	Huh?
context: Hup!\Justice Man Kick!\That's dangerous!\Huh?\That's mean!\In that case...\You can be the monster.\Huh? response:	You be the monster.
context: Justice Man Kick!\That's dangerous!\Huh?\That's mean!\In that case...\You can be the monster.\Huh?\You be the monster. response:	The hell is this? Am I seeing my life flash before my eyes?
context: That's dangerous!\Huh?\That's mean!\In that case...\You can be the monster.\Huh?\You be the monster.\The hell is this? Am I seeing my life flash before my eyes? response:	This is a pretty shitty memory.
context: Huh?\That's mean!\In that case...\You can be the monster.\Huh?\You be the monster.\The hell is this? Am I seeing my life flash before my eyes?\This is a pretty shitty memory. response:	This guy is...
context: That's mean!\In that case...\You can be the monster.\Huh?\You be the monster.\The hell is this? Am I seeing my life flash before my eyes?\This is a pretty shitty memory.\This guy is... response:	Now you get to be the monster.
context: In that case...\You can be the monster.\Huh?\You be the monster.\The hell is this? Am I seeing my life flash before my eyes?\This is a pretty shitty memory.\This guy is...\Now you get to be the monster. response:	That's right. Tatsu.
context: You can be the monster.\Huh?\You be the monster.\The hell is this? Am I seeing my life flash before my eyes?\This is a pretty shitty memory.\This guy is...\Now you get to be the monster.\That's right. Tatsu. response:	He was the popular kid in class.
context: Huh?\You be the monster.\The hell is this? Am I seeing my life flash before my eyes?\This is a pretty shitty memory.\This guy is...\Now you get to be the monster.\That's right. Tatsu.\He was the popular kid in class. response:	Wait, what's going on?
context: You be the monster.\The hell is this? Am I seeing my life flash before my eyes?\This is a pretty shitty memory.\This guy is...\Now you get to be the monster.\That's right. Tatsu.\He was the popular kid in class.\Wait, what's going on? response:	Garo's going crazy.
context: The hell is this? Am I seeing my life flash before my eyes?\This is a pretty shitty memory.\This guy is...\Now you get to be the monster.\That's right. Tatsu.\He was the popular kid in class.\Wait, what's going on?\Garo's going crazy. response:	We were just playing, but then Garo suddenly got mad.
context: This is a pretty shitty memory.\This guy is...\Now you get to be the monster.\That's right. Tatsu.\He was the popular kid in class.\Wait, what's going on?\Garo's going crazy.\We were just playing, but then Garo suddenly got mad. response:	We were playing heroes, and Garo got super mad at Tatsu.
context: This guy is...\Now you get to be the monster.\That's right. Tatsu.\He was the popular kid in class.\Wait, what's going on?\Garo's going crazy.\We were just playing, but then Garo suddenly got mad.\We were playing heroes, and Garo got super mad at Tatsu. response:	What the heck? What's his problem?
context: Now you get to be the monster.\That's right. Tatsu.\He was the popular kid in class.\Wait, what's going on?\Garo's going crazy.\We were just playing, but then Garo suddenly got mad.\We were playing heroes, and Garo got super mad at Tatsu.\What the heck? What's his problem? response:	Poor Tatsu.
context: That's right. Tatsu.\He was the popular kid in class.\Wait, what's going on?\Garo's going crazy.\We were just playing, but then Garo suddenly got mad.\We were playing heroes, and Garo got super mad at Tatsu.\What the heck? What's his problem?\Poor Tatsu. response:	So, what made you so angry?
context: He was the popular kid in class.\Wait, what's going on?\Garo's going crazy.\We were just playing, but then Garo suddenly got mad.\We were playing heroes, and Garo got super mad at Tatsu.\What the heck? What's his problem?\Poor Tatsu.\So, what made you so angry? response:	Well...
context: Wait, what's going on?\Garo's going crazy.\We were just playing, but then Garo suddenly got mad.\We were playing heroes, and Garo got super mad at Tatsu.\What the heck? What's his problem?\Poor Tatsu.\So, what made you so angry?\Well... response:	I heard you got angry while playing heroes. Is that true?
context: Garo's going crazy.\We were just playing, but then Garo suddenly got mad.\We were playing heroes, and Garo got super mad at Tatsu.\What the heck? What's his problem?\Poor Tatsu.\So, what made you so angry?\Well...\I heard you got angry while playing heroes. Is that true? response:	That's because Tatsu always...
context: We were just playing, but then Garo suddenly got mad.\We were playing heroes, and Garo got super mad at Tatsu.\What the heck? What's his problem?\Poor Tatsu.\So, what made you so angry?\Well...\I heard you got angry while playing heroes. Is that true?\That's because Tatsu always... response:	You can't even tell the difference between real life and make-believe?
context: We were playing heroes, and Garo got super mad at Tatsu.\What the heck? What's his problem?\Poor Tatsu.\So, what made you so angry?\Well...\I heard you got angry while playing heroes. Is that true?\That's because Tatsu always...\You can't even tell the difference between real life and make-believe? response:	That's not it.
context: What the heck? What's his problem?\Poor Tatsu.\So, what made you so angry?\Well...\I heard you got angry while playing heroes. Is that true?\That's because Tatsu always...\You can't even tell the difference between real life and make-believe?\That's not it. response:	I always have to play the monster and
context: Poor Tatsu.\So, what made you so angry?\Well...\I heard you got angry while playing heroes. Is that true?\That's because Tatsu always...\You can't even tell the difference between real life and make-believe?\That's not it.\I always have to play the monster and response:	You're the one who lost control!
context: So, what made you so angry?\Well...\I heard you got angry while playing heroes. Is that true?\That's because Tatsu always...\You can't even tell the difference between real life and make-believe?\That's not it.\I always have to play the monster and\You're the one who lost control! response:	How are you going to take responsibility for this?!
context: Well...\I heard you got angry while playing heroes. Is that true?\That's because Tatsu always...\You can't even tell the difference between real life and make-believe?\That's not it.\I always have to play the monster and\You're the one who lost control!\How are you going to take responsibility for this?! response:	It's not that I didn't like playing the monster...
context: I heard you got angry while playing heroes. Is that true?\That's because Tatsu always...\You can't even tell the difference between real life and make-believe?\That's not it.\I always have to play the monster and\You're the one who lost control!\How are you going to take responsibility for this?!\It's not that I didn't like playing the monster... response:	Did I just not like Tatsu playing the hero?
context: That's because Tatsu always...\You can't even tell the difference between real life and make-believe?\That's not it.\I always have to play the monster and\You're the one who lost control!\How are you going to take responsibility for this?!\It's not that I didn't like playing the monster...\Did I just not like Tatsu playing the hero? response:	No, that wasn't the problem.
context: You can't even tell the difference between real life and make-believe?\That's not it.\I always have to play the monster and\You're the one who lost control!\How are you going to take responsibility for this?!\It's not that I didn't like playing the monster...\Did I just not like Tatsu playing the hero?\No, that wasn't the problem. response:	I just learned how unbelievably unfair things were while we were playing heroes.
context: That's not it.\I always have to play the monster and\You're the one who lost control!\How are you going to take responsibility for this?!\It's not that I didn't like playing the monster...\Did I just not like Tatsu playing the hero?\No, that wasn't the problem.\I just learned how unbelievably unfair things were while we were playing heroes. response:	Playing heroes is just
context: I always have to play the monster and\You're the one who lost control!\How are you going to take responsibility for this?!\It's not that I didn't like playing the monster...\Did I just not like Tatsu playing the hero?\No, that wasn't the problem.\I just learned how unbelievably unfair things were while we were playing heroes.\Playing heroes is just response:	supposed to be kids reenacting what they see on a kids' show. It's make-believe.
context: You're the one who lost control!\How are you going to take responsibility for this?!\It's not that I didn't like playing the monster...\Did I just not like Tatsu playing the hero?\No, that wasn't the problem.\I just learned how unbelievably unfair things were while we were playing heroes.\Playing heroes is just\supposed to be kids reenacting what they see on a kids' show. It's make-believe. response:	It shouldn't matter who plays what role.
context: How are you going to take responsibility for this?!\It's not that I didn't like playing the monster...\Did I just not like Tatsu playing the hero?\No, that wasn't the problem.\I just learned how unbelievably unfair things were while we were playing heroes.\Playing heroes is just\supposed to be kids reenacting what they see on a kids' show. It's make-believe.\It shouldn't matter who plays what role. response:	Tatsu was the most popular kid in class.
context: It's not that I didn't like playing the monster...\Did I just not like Tatsu playing the hero?\No, that wasn't the problem.\I just learned how unbelievably unfair things were while we were playing heroes.\Playing heroes is just\supposed to be kids reenacting what they see on a kids' show. It's make-believe.\It shouldn't matter who plays what role.\Tatsu was the most popular kid in class. response:	On the other hand, I was a loner who basically kept to himself.
context: Did I just not like Tatsu playing the hero?\No, that wasn't the problem.\I just learned how unbelievably unfair things were while we were playing heroes.\Playing heroes is just\supposed to be kids reenacting what they see on a kids' show. It's make-believe.\It shouldn't matter who plays what role.\Tatsu was the most popular kid in class.\On the other hand, I was a loner who basically kept to himself. response:	The one to play the hero is decided when everyone agrees on who it should be.
context: No, that wasn't the problem.\I just learned how unbelievably unfair things were while we were playing heroes.\Playing heroes is just\supposed to be kids reenacting what they see on a kids' show. It's make-believe.\It shouldn't matter who plays what role.\Tatsu was the most popular kid in class.\On the other hand, I was a loner who basically kept to himself.\The one to play the hero is decided when everyone agrees on who it should be. response:	Of course I'd never get that chance.
context: I just learned how unbelievably unfair things were while we were playing heroes.\Playing heroes is just\supposed to be kids reenacting what they see on a kids' show. It's make-believe.\It shouldn't matter who plays what role.\Tatsu was the most popular kid in class.\On the other hand, I was a loner who basically kept to himself.\The one to play the hero is decided when everyone agrees on who it should be.\Of course I'd never get that chance. response:	Justice Man Cross Chop!
context: Playing heroes is just\supposed to be kids reenacting what they see on a kids' show. It's make-believe.\It shouldn't matter who plays what role.\Tatsu was the most popular kid in class.\On the other hand, I was a loner who basically kept to himself.\The one to play the hero is decided when everyone agrees on who it should be.\Of course I'd never get that chance.\Justice Man Cross Chop! response:	Why the heck are you dodging?
context: supposed to be kids reenacting what they see on a kids' show. It's make-believe.\It shouldn't matter who plays what role.\Tatsu was the most popular kid in class.\On the other hand, I was a loner who basically kept to himself.\The one to play the hero is decided when everyone agrees on who it should be.\Of course I'd never get that chance.\Justice Man Cross Chop!\Why the heck are you dodging? response:	Guys, hold on to Garo for me.
context: It shouldn't matter who plays what role.\Tatsu was the most popular kid in class.\On the other hand, I was a loner who basically kept to himself.\The one to play the hero is decided when everyone agrees on who it should be.\Of course I'd never get that chance.\Justice Man Cross Chop!\Why the heck are you dodging?\Guys, hold on to Garo for me. response:	You got it.
context: Tatsu was the most popular kid in class.\On the other hand, I was a loner who basically kept to himself.\The one to play the hero is decided when everyone agrees on who it should be.\Of course I'd never get that chance.\Justice Man Cross Chop!\Why the heck are you dodging?\Guys, hold on to Garo for me.\You got it. response:	Huh?
context: On the other hand, I was a loner who basically kept to himself.\The one to play the hero is decided when everyone agrees on who it should be.\Of course I'd never get that chance.\Justice Man Cross Chop!\Why the heck are you dodging?\Guys, hold on to Garo for me.\You got it.\Huh? response:	This should be obvious, but there's no scenario where the monster actually wins.
context: The one to play the hero is decided when everyone agrees on who it should be.\Of course I'd never get that chance.\Justice Man Cross Chop!\Why the heck are you dodging?\Guys, hold on to Garo for me.\You got it.\Huh?\This should be obvious, but there's no scenario where the monster actually wins. response:	I would always lose.
context: Of course I'd never get that chance.\Justice Man Cross Chop!\Why the heck are you dodging?\Guys, hold on to Garo for me.\You got it.\Huh?\This should be obvious, but there's no scenario where the monster actually wins.\I would always lose. response:	Justice Man Kick!
context: Justice Man Cross Chop!\Why the heck are you dodging?\Guys, hold on to Garo for me.\You got it.\Huh?\This should be obvious, but there's no scenario where the monster actually wins.\I would always lose.\Justice Man Kick! response:	I've defeated the monster Garo Poop Man!
context: Why the heck are you dodging?\Guys, hold on to Garo for me.\You got it.\Huh?\This should be obvious, but there's no scenario where the monster actually wins.\I would always lose.\Justice Man Kick!\I've defeated the monster Garo Poop Man! response:	The system in which the popular kid everyone loves
context: Guys, hold on to Garo for me.\You got it.\Huh?\This should be obvious, but there's no scenario where the monster actually wins.\I would always lose.\Justice Man Kick!\I've defeated the monster Garo Poop Man!\The system in which the popular kid everyone loves response:	beats the crap out of the weak, loner kid who's hated by everyone...
context: You got it.\Huh?\This should be obvious, but there's no scenario where the monster actually wins.\I would always lose.\Justice Man Kick!\I've defeated the monster Garo Poop Man!\The system in which the popular kid everyone loves\beats the crap out of the weak, loner kid who's hated by everyone... response:	I can't take it anymore!
context: Huh?\This should be obvious, but there's no scenario where the monster actually wins.\I would always lose.\Justice Man Kick!\I've defeated the monster Garo Poop Man!\The system in which the popular kid everyone loves\beats the crap out of the weak, loner kid who's hated by everyone...\I can't take it anymore! response:	Fight me, Tatsu!
context: This should be obvious, but there's no scenario where the monster actually wins.\I would always lose.\Justice Man Kick!\I've defeated the monster Garo Poop Man!\The system in which the popular kid everyone loves\beats the crap out of the weak, loner kid who's hated by everyone...\I can't take it anymore!\Fight me, Tatsu! response:	Huh? What the heck are you talking about?
context: I would always lose.\Justice Man Kick!\I've defeated the monster Garo Poop Man!\The system in which the popular kid everyone loves\beats the crap out of the weak, loner kid who's hated by everyone...\I can't take it anymore!\Fight me, Tatsu!\Huh? What the heck are you talking about? response:	I don't want to play the monster anymore!
context: Justice Man Kick!\I've defeated the monster Garo Poop Man!\The system in which the popular kid everyone loves\beats the crap out of the weak, loner kid who's hated by everyone...\I can't take it anymore!\Fight me, Tatsu!\Huh? What the heck are you talking about?\I don't want to play the monster anymore! response:	If I win, promise me that you won't mess with me anymore!
context: I've defeated the monster Garo Poop Man!\The system in which the popular kid everyone loves\beats the crap out of the weak, loner kid who's hated by everyone...\I can't take it anymore!\Fight me, Tatsu!\Huh? What the heck are you talking about?\I don't want to play the monster anymore!\If I win, promise me that you won't mess with me anymore! response:	Guys, hold on to Garo for me.
context: The system in which the popular kid everyone loves\beats the crap out of the weak, loner kid who's hated by everyone...\I can't take it anymore!\Fight me, Tatsu!\Huh? What the heck are you talking about?\I don't want to play the monster anymore!\If I win, promise me that you won't mess with me anymore!\Guys, hold on to Garo for me. response:	That's not fair! Let me go!
context: beats the crap out of the weak, loner kid who's hated by everyone...\I can't take it anymore!\Fight me, Tatsu!\Huh? What the heck are you talking about?\I don't want to play the monster anymore!\If I win, promise me that you won't mess with me anymore!\Guys, hold on to Garo for me.\That's not fair! Let me go! response:	I want to fight Tatsu fair and square!
context: I can't take it anymore!\Fight me, Tatsu!\Huh? What the heck are you talking about?\I don't want to play the monster anymore!\If I win, promise me that you won't mess with me anymore!\Guys, hold on to Garo for me.\That's not fair! Let me go!\I want to fight Tatsu fair and square! response:	The others said you suddenly
context: Fight me, Tatsu!\Huh? What the heck are you talking about?\I don't want to play the monster anymore!\If I win, promise me that you won't mess with me anymore!\Guys, hold on to Garo for me.\That's not fair! Let me go!\I want to fight Tatsu fair and square!\The others said you suddenly response:	went crazy when you were all just playing around.
context: Huh? What the heck are you talking about?\I don't want to play the monster anymore!\If I win, promise me that you won't mess with me anymore!\Guys, hold on to Garo for me.\That's not fair! Let me go!\I want to fight Tatsu fair and square!\The others said you suddenly\went crazy when you were all just playing around. response:	That's not true.
context: I don't want to play the monster anymore!\If I win, promise me that you won't mess with me anymore!\Guys, hold on to Garo for me.\That's not fair! Let me go!\I want to fight Tatsu fair and square!\The others said you suddenly\went crazy when you were all just playing around.\That's not true. response:	Tatsu's popular, so everyone's making me out to be the bad guy.
context: If I win, promise me that you won't mess with me anymore!\Guys, hold on to Garo for me.\That's not fair! Let me go!\I want to fight Tatsu fair and square!\The others said you suddenly\went crazy when you were all just playing around.\That's not true.\Tatsu's popular, so everyone's making me out to be the bad guy. response:	That's not true! You did a bad thing!
context: Guys, hold on to Garo for me.\That's not fair! Let me go!\I want to fight Tatsu fair and square!\The others said you suddenly\went crazy when you were all just playing around.\That's not true.\Tatsu's popular, so everyone's making me out to be the bad guy.\That's not true! You did a bad thing! response:	Go apologize to everyone right now!
context: That's not fair! Let me go!\I want to fight Tatsu fair and square!\The others said you suddenly\went crazy when you were all just playing around.\That's not true.\Tatsu's popular, so everyone's making me out to be the bad guy.\That's not true! You did a bad thing!\Go apologize to everyone right now! response:	Justice, my ass. Evil, my ass.
context: I want to fight Tatsu fair and square!\The others said you suddenly\went crazy when you were all just playing around.\That's not true.\Tatsu's popular, so everyone's making me out to be the bad guy.\That's not true! You did a bad thing!\Go apologize to everyone right now!\Justice, my ass. Evil, my ass. response:	In the end, they were just going to kill me based on popular opinion.
