context: Morning! response:	You're so noisy in the morning.
context: Huh?\You getting in our way again, brat and little wench?\You're getting in our way.\You're too late, anyway.\Shao-Lang noticed the aura of a Clow Card\around lunchtime.\Sakura had noticed by then, too!\Right? response:	Yeah, but it was when I was coming home from school'
context: You getting in our way again, brat and little wench?\You're getting in our way.\You're too late, anyway.\Shao-Lang noticed the aura of a Clow Card\around lunchtime.\Sakura had noticed by then, too!\Right?\Yeah, but it was when I was coming home from school' response:	Yay! Shao-Lang was first!
context: You're getting in our way.\You're too late, anyway.\Shao-Lang noticed the aura of a Clow Card\around lunchtime.\Sakura had noticed by then, too!\Right?\Yeah, but it was when I was coming home from school'\Yay! Shao-Lang was first! response:	No way!
context: You're too late, anyway.\Shao-Lang noticed the aura of a Clow Card\around lunchtime.\Sakura had noticed by then, too!\Right?\Yeah, but it was when I was coming home from school'\Yay! Shao-Lang was first!\No way! response:	Sakura is gonna tell us
context: Shao-Lang noticed the aura of a Clow Card\around lunchtime.\Sakura had noticed by then, too!\Right?\Yeah, but it was when I was coming home from school'\Yay! Shao-Lang was first!\No way!\Sakura is gonna tell us response:	where the card is now!
context: around lunchtime.\Sakura had noticed by then, too!\Right?\Yeah, but it was when I was coming home from school'\Yay! Shao-Lang was first!\No way!\Sakura is gonna tell us\where the card is now! response:	Shao-Lang already knows!
context: Sakura had noticed by then, too!\Right?\Yeah, but it was when I was coming home from school'\Yay! Shao-Lang was first!\No way!\Sakura is gonna tell us\where the card is now!\Shao-Lang already knows! response:	Right, Sakura?
context: Right?\Yeah, but it was when I was coming home from school'\Yay! Shao-Lang was first!\No way!\Sakura is gonna tell us\where the card is now!\Shao-Lang already knows!\Right, Sakura? response:	Right, Shao-Lang?
context: Yeah, but it was when I was coming home from school'\Yay! Shao-Lang was first!\No way!\Sakura is gonna tell us\where the card is now!\Shao-Lang already knows!\Right, Sakura?\Right, Shao-Lang? response:	Yes.
context: Yay! Shao-Lang was first!\No way!\Sakura is gonna tell us\where the card is now!\Shao-Lang already knows!\Right, Sakura?\Right, Shao-Lang?\Yes. response:	Where is it?
context: No way!\Sakura is gonna tell us\where the card is now!\Shao-Lang already knows!\Right, Sakura?\Right, Shao-Lang?\Yes.\Where is it? response:	Over there'
context: Sakura is gonna tell us\where the card is now!\Shao-Lang already knows!\Right, Sakura?\Right, Shao-Lang?\Yes.\Where is it?\Over there' response:	Just a cat'
context: where the card is now!\Shao-Lang already knows!\Right, Sakura?\Right, Shao-Lang?\Yes.\Where is it?\Over there'\Just a cat' response:	I' it ain't a normal cat'
context: Shao-Lang already knows!\Right, Sakura?\Right, Shao-Lang?\Yes.\Where is it?\Over there'\Just a cat'\I' it ain't a normal cat' response:	What?
context: Right, Sakura?\Right, Shao-Lang?\Yes.\Where is it?\Over there'\Just a cat'\I' it ain't a normal cat'\What? response:	Fly!
context: Right, Shao-Lang?\Yes.\Where is it?\Over there'\Just a cat'\I' it ain't a normal cat'\What?\Fly! response:	Tomoyo!
context: Yes.\Where is it?\Over there'\Just a cat'\I' it ain't a normal cat'\What?\Fly!\Tomoyo! response:	Mei-ling!
context: Where is it?\Over there'\Just a cat'\I' it ain't a normal cat'\What?\Fly!\Tomoyo!\Mei-ling! response:	I don't taste good!
context: Over there'\Just a cat'\I' it ain't a normal cat'\What?\Fly!\Tomoyo!\Mei-ling!\I don't taste good! response:	Let Mei-ling go!
context: Just a cat'\I' it ain't a normal cat'\What?\Fly!\Tomoyo!\Mei-ling!\I don't taste good!\Let Mei-ling go! response:	Li!
context: I' it ain't a normal cat'\What?\Fly!\Tomoyo!\Mei-ling!\I don't taste good!\Let Mei-ling go!\Li! response:	What's with this guy?
context: What?\Fly!\Tomoyo!\Mei-ling!\I don't taste good!\Let Mei-ling go!\Li!\What's with this guy? response:	Eh?
context: Fly!\Tomoyo!\Mei-ling!\I don't taste good!\Let Mei-ling go!\Li!\What's with this guy?\Eh? response:	It appears that it likes Li.
context: Tomoyo!\Mei-ling!\I don't taste good!\Let Mei-ling go!\Li!\What's with this guy?\Eh?\It appears that it likes Li. response:	Might be the Big card.
context: Mei-ling!\I don't taste good!\Let Mei-ling go!\Li!\What's with this guy?\Eh?\It appears that it likes Li.\Might be the Big card. response:	'Big'?
context: I don't taste good!\Let Mei-ling go!\Li!\What's with this guy?\Eh?\It appears that it likes Li.\Might be the Big card.\'Big'? response:	'Big,' means enlarge?
context: Let Mei-ling go!\Li!\What's with this guy?\Eh?\It appears that it likes Li.\Might be the Big card.\'Big'?\'Big,' means enlarge? response:	Big can enlarge objects.
context: Li!\What's with this guy?\Eh?\It appears that it likes Li.\Might be the Big card.\'Big'?\'Big,' means enlarge?\Big can enlarge objects. response:	So where's the card at?
context: What's with this guy?\Eh?\It appears that it likes Li.\Might be the Big card.\'Big'?\'Big,' means enlarge?\Big can enlarge objects.\So where's the card at? response:	Over there!
context: Eh?\It appears that it likes Li.\Might be the Big card.\'Big'?\'Big,' means enlarge?\Big can enlarge objects.\So where's the card at?\Over there! response:	The card!
context: It appears that it likes Li.\Might be the Big card.\'Big'?\'Big,' means enlarge?\Big can enlarge objects.\So where's the card at?\Over there!\The card! response:	Hey, let me go!
context: Might be the Big card.\'Big'?\'Big,' means enlarge?\Big can enlarge objects.\So where's the card at?\Over there!\The card!\Hey, let me go! response:	Hey, quit interfering with Shao-Lang! Get off of him!
context: 'Big'?\'Big,' means enlarge?\Big can enlarge objects.\So where's the card at?\Over there!\The card!\Hey, let me go!\Hey, quit interfering with Shao-Lang! Get off of him! response:	There it is! Sakura, that's the Big card!
context: 'Big,' means enlarge?\Big can enlarge objects.\So where's the card at?\Over there!\The card!\Hey, let me go!\Hey, quit interfering with Shao-Lang! Get off of him!\There it is! Sakura, that's the Big card! response:	Sakura, seal it!
context: Big can enlarge objects.\So where's the card at?\Over there!\The card!\Hey, let me go!\Hey, quit interfering with Shao-Lang! Get off of him!\There it is! Sakura, that's the Big card!\Sakura, seal it! response:	Eh?
context: So where's the card at?\Over there!\The card!\Hey, let me go!\Hey, quit interfering with Shao-Lang! Get off of him!\There it is! Sakura, that's the Big card!\Sakura, seal it!\Eh? response:	It's just a big fish!
context: Over there!\The card!\Hey, let me go!\Hey, quit interfering with Shao-Lang! Get off of him!\There it is! Sakura, that's the Big card!\Sakura, seal it!\Eh?\It's just a big fish! response:	Show me some Card Captor courage!
context: The card!\Hey, let me go!\Hey, quit interfering with Shao-Lang! Get off of him!\There it is! Sakura, that's the Big card!\Sakura, seal it!\Eh?\It's just a big fish!\Show me some Card Captor courage! response:	Return to thy true form, Clow Card!
context: Hey, let me go!\Hey, quit interfering with Shao-Lang! Get off of him!\There it is! Sakura, that's the Big card!\Sakura, seal it!\Eh?\It's just a big fish!\Show me some Card Captor courage!\Return to thy true form, Clow Card! response:	All right!
context: Hey, quit interfering with Shao-Lang! Get off of him!\There it is! Sakura, that's the Big card!\Sakura, seal it!\Eh?\It's just a big fish!\Show me some Card Captor courage!\Return to thy true form, Clow Card!\All right! response:	You did it!
context: There it is! Sakura, that's the Big card!\Sakura, seal it!\Eh?\It's just a big fish!\Show me some Card Captor courage!\Return to thy true form, Clow Card!\All right!\You did it! response:	Here you go.
context: Sakura, seal it!\Eh?\It's just a big fish!\Show me some Card Captor courage!\Return to thy true form, Clow Card!\All right!\You did it!\Here you go. response:	Oh, geez.
context: Eh?\It's just a big fish!\Show me some Card Captor courage!\Return to thy true form, Clow Card!\All right!\You did it!\Here you go.\Oh, geez. response:	It's your fault we didn't get that card.
context: It's just a big fish!\Show me some Card Captor courage!\Return to thy true form, Clow Card!\All right!\You did it!\Here you go.\Oh, geez.\It's your fault we didn't get that card. response:	Are you listening?
context: Show me some Card Captor courage!\Return to thy true form, Clow Card!\All right!\You did it!\Here you go.\Oh, geez.\It's your fault we didn't get that card.\Are you listening? response:	That was good.
context: Return to thy true form, Clow Card!\All right!\You did it!\Here you go.\Oh, geez.\It's your fault we didn't get that card.\Are you listening?\That was good. response:	This book leaves room for a sequel.
context: All right!\You did it!\Here you go.\Oh, geez.\It's your fault we didn't get that card.\Are you listening?\That was good.\This book leaves room for a sequel. response:	Oh, that's right.
context: You did it!\Here you go.\Oh, geez.\It's your fault we didn't get that card.\Are you listening?\That was good.\This book leaves room for a sequel.\Oh, that's right. response:	'Next chapter,' huh?
context: Here you go.\Oh, geez.\It's your fault we didn't get that card.\Are you listening?\That was good.\This book leaves room for a sequel.\Oh, that's right.\'Next chapter,' huh? response:	That's right'
context: Oh, geez.\It's your fault we didn't get that card.\Are you listening?\That was good.\This book leaves room for a sequel.\Oh, that's right.\'Next chapter,' huh?\That's right' response:	That card was going to be Shao-Lang's!
context: It's your fault we didn't get that card.\Are you listening?\That was good.\This book leaves room for a sequel.\Oh, that's right.\'Next chapter,' huh?\That's right'\That card was going to be Shao-Lang's! response:	But what actually happened was'
context: Are you listening?\That was good.\This book leaves room for a sequel.\Oh, that's right.\'Next chapter,' huh?\That's right'\That card was going to be Shao-Lang's!\But what actually happened was' response:	That was just luck!
context: That was good.\This book leaves room for a sequel.\Oh, that's right.\'Next chapter,' huh?\That's right'\That card was going to be Shao-Lang's!\But what actually happened was'\That was just luck! response:	Now, now, you two'
context: This book leaves room for a sequel.\Oh, that's right.\'Next chapter,' huh?\That's right'\That card was going to be Shao-Lang's!\But what actually happened was'\That was just luck!\Now, now, you two' response:	If that big cat hadn't gotten in our way,
context: Oh, that's right.\'Next chapter,' huh?\That's right'\That card was going to be Shao-Lang's!\But what actually happened was'\That was just luck!\Now, now, you two'\If that big cat hadn't gotten in our way, response:	the card would be Shao-Lang's!
context: 'Next chapter,' huh?\That's right'\That card was going to be Shao-Lang's!\But what actually happened was'\That was just luck!\Now, now, you two'\If that big cat hadn't gotten in our way,\the card would be Shao-Lang's! response:	If Sakura hadn't sealed that card,
context: That's right'\That card was going to be Shao-Lang's!\But what actually happened was'\That was just luck!\Now, now, you two'\If that big cat hadn't gotten in our way,\the card would be Shao-Lang's!\If Sakura hadn't sealed that card, response:	you might've been eaten by that cat!
context: That card was going to be Shao-Lang's!\But what actually happened was'\That was just luck!\Now, now, you two'\If that big cat hadn't gotten in our way,\the card would be Shao-Lang's!\If Sakura hadn't sealed that card,\you might've been eaten by that cat! response:	What was that?!
