context: Diamond Service! response:	With Diamond Service, you get diamond-level security.
context: Dude, 10,000 yen isn't enough for two weeks, right? I could burn through that in a day!\O-oh?\Well then, 20,000 should do, right?\Wh-whaaat?\Blessings upon you, Lord Bomba!\Blessings, blessings!\Still, it could be fun if we think of it as a vacation, right? Blessings, blessings!\Oh, yeah... Hamamatsu is famous for eel, right? response:	Let's eat some eel!
context: O-oh?\Well then, 20,000 should do, right?\Wh-whaaat?\Blessings upon you, Lord Bomba!\Blessings, blessings!\Still, it could be fun if we think of it as a vacation, right? Blessings, blessings!\Oh, yeah... Hamamatsu is famous for eel, right?\Let's eat some eel! response:	Eel? Big Brother, what's this about eel?!
context: Well then, 20,000 should do, right?\Wh-whaaat?\Blessings upon you, Lord Bomba!\Blessings, blessings!\Still, it could be fun if we think of it as a vacation, right? Blessings, blessings!\Oh, yeah... Hamamatsu is famous for eel, right?\Let's eat some eel!\Eel? Big Brother, what's this about eel?! response:	Didn't you know?
context: Wh-whaaat?\Blessings upon you, Lord Bomba!\Blessings, blessings!\Still, it could be fun if we think of it as a vacation, right? Blessings, blessings!\Oh, yeah... Hamamatsu is famous for eel, right?\Let's eat some eel!\Eel? Big Brother, what's this about eel?!\Didn't you know? response:	Taihei's project is to come up with a restaurant's management system.
context: Blessings upon you, Lord Bomba!\Blessings, blessings!\Still, it could be fun if we think of it as a vacation, right? Blessings, blessings!\Oh, yeah... Hamamatsu is famous for eel, right?\Let's eat some eel!\Eel? Big Brother, what's this about eel?!\Didn't you know?\Taihei's project is to come up with a restaurant's management system. response:	The restaurant's an affiliate of our company, so we're going to Hamamatsu to gather more information.
context: Blessings, blessings!\Still, it could be fun if we think of it as a vacation, right? Blessings, blessings!\Oh, yeah... Hamamatsu is famous for eel, right?\Let's eat some eel!\Eel? Big Brother, what's this about eel?!\Didn't you know?\Taihei's project is to come up with a restaurant's management system.\The restaurant's an affiliate of our company, so we're going to Hamamatsu to gather more information. response:	I'll just buy some eel on the way back...
context: Still, it could be fun if we think of it as a vacation, right? Blessings, blessings!\Oh, yeah... Hamamatsu is famous for eel, right?\Let's eat some eel!\Eel? Big Brother, what's this about eel?!\Didn't you know?\Taihei's project is to come up with a restaurant's management system.\The restaurant's an affiliate of our company, so we're going to Hamamatsu to gather more information.\I'll just buy some eel on the way back... response:	No fair, no fair, no fair! I wanna eat eel too!
context: Oh, yeah... Hamamatsu is famous for eel, right?\Let's eat some eel!\Eel? Big Brother, what's this about eel?!\Didn't you know?\Taihei's project is to come up with a restaurant's management system.\The restaurant's an affiliate of our company, so we're going to Hamamatsu to gather more information.\I'll just buy some eel on the way back...\No fair, no fair, no fair! I wanna eat eel too! response:	Whoa! That's a tantrum that sure makes use of limited space! It's not fair if only YOU get to eat it!
context: Let's eat some eel!\Eel? Big Brother, what's this about eel?!\Didn't you know?\Taihei's project is to come up with a restaurant's management system.\The restaurant's an affiliate of our company, so we're going to Hamamatsu to gather more information.\I'll just buy some eel on the way back...\No fair, no fair, no fair! I wanna eat eel too!\Whoa! That's a tantrum that sure makes use of limited space! It's not fair if only YOU get to eat it! response:	I wanna see those eels too! C'mon, Big Brother!
context: Eel? Big Brother, what's this about eel?!\Didn't you know?\Taihei's project is to come up with a restaurant's management system.\The restaurant's an affiliate of our company, so we're going to Hamamatsu to gather more information.\I'll just buy some eel on the way back...\No fair, no fair, no fair! I wanna eat eel too!\Whoa! That's a tantrum that sure makes use of limited space! It's not fair if only YOU get to eat it!\I wanna see those eels too! C'mon, Big Brother! response:	I thought this might happen, which is why I didn't say anything... I wanna see those eels too! C'mon, Big Brother!
context: Didn't you know?\Taihei's project is to come up with a restaurant's management system.\The restaurant's an affiliate of our company, so we're going to Hamamatsu to gather more information.\I'll just buy some eel on the way back...\No fair, no fair, no fair! I wanna eat eel too!\Whoa! That's a tantrum that sure makes use of limited space! It's not fair if only YOU get to eat it!\I wanna see those eels too! C'mon, Big Brother!\I thought this might happen, which is why I didn't say anything... I wanna see those eels too! C'mon, Big Brother! response:	Fine. How about we bring Tanukichi with us? I wanna see those eels too! C'mon, Big Brother!
context: Taihei's project is to come up with a restaurant's management system.\The restaurant's an affiliate of our company, so we're going to Hamamatsu to gather more information.\I'll just buy some eel on the way back...\No fair, no fair, no fair! I wanna eat eel too!\Whoa! That's a tantrum that sure makes use of limited space! It's not fair if only YOU get to eat it!\I wanna see those eels too! C'mon, Big Brother!\I thought this might happen, which is why I didn't say anything... I wanna see those eels too! C'mon, Big Brother!\Fine. How about we bring Tanukichi with us? I wanna see those eels too! C'mon, Big Brother! response:	Huh? Is that okay?!
context: The restaurant's an affiliate of our company, so we're going to Hamamatsu to gather more information.\I'll just buy some eel on the way back...\No fair, no fair, no fair! I wanna eat eel too!\Whoa! That's a tantrum that sure makes use of limited space! It's not fair if only YOU get to eat it!\I wanna see those eels too! C'mon, Big Brother!\I thought this might happen, which is why I didn't say anything... I wanna see those eels too! C'mon, Big Brother!\Fine. How about we bring Tanukichi with us? I wanna see those eels too! C'mon, Big Brother!\Huh? Is that okay?! response:	No, it isn't!
context: I'll just buy some eel on the way back...\No fair, no fair, no fair! I wanna eat eel too!\Whoa! That's a tantrum that sure makes use of limited space! It's not fair if only YOU get to eat it!\I wanna see those eels too! C'mon, Big Brother!\I thought this might happen, which is why I didn't say anything... I wanna see those eels too! C'mon, Big Brother!\Fine. How about we bring Tanukichi with us? I wanna see those eels too! C'mon, Big Brother!\Huh? Is that okay?!\No, it isn't! response:	Well, let's go.
context: No fair, no fair, no fair! I wanna eat eel too!\Whoa! That's a tantrum that sure makes use of limited space! It's not fair if only YOU get to eat it!\I wanna see those eels too! C'mon, Big Brother!\I thought this might happen, which is why I didn't say anything... I wanna see those eels too! C'mon, Big Brother!\Fine. How about we bring Tanukichi with us? I wanna see those eels too! C'mon, Big Brother!\Huh? Is that okay?!\No, it isn't!\Well, let's go. response:	Ma'am!
context: Whoa! That's a tantrum that sure makes use of limited space! It's not fair if only YOU get to eat it!\I wanna see those eels too! C'mon, Big Brother!\I thought this might happen, which is why I didn't say anything... I wanna see those eels too! C'mon, Big Brother!\Fine. How about we bring Tanukichi with us? I wanna see those eels too! C'mon, Big Brother!\Huh? Is that okay?!\No, it isn't!\Well, let's go.\Ma'am! response:	So sleepy... it's WAY too early!
context: I wanna see those eels too! C'mon, Big Brother!\I thought this might happen, which is why I didn't say anything... I wanna see those eels too! C'mon, Big Brother!\Fine. How about we bring Tanukichi with us? I wanna see those eels too! C'mon, Big Brother!\Huh? Is that okay?!\No, it isn't!\Well, let's go.\Ma'am!\So sleepy... it's WAY too early! response:	Wait, you're not sleepy?
context: I thought this might happen, which is why I didn't say anything... I wanna see those eels too! C'mon, Big Brother!\Fine. How about we bring Tanukichi with us? I wanna see those eels too! C'mon, Big Brother!\Huh? Is that okay?!\No, it isn't!\Well, let's go.\Ma'am!\So sleepy... it's WAY too early!\Wait, you're not sleepy? response:	I'm used to getting up early for anime events.
context: Fine. How about we bring Tanukichi with us? I wanna see those eels too! C'mon, Big Brother!\Huh? Is that okay?!\No, it isn't!\Well, let's go.\Ma'am!\So sleepy... it's WAY too early!\Wait, you're not sleepy?\I'm used to getting up early for anime events. response:	More importunately, why is Kanau here?
context: Huh? Is that okay?!\No, it isn't!\Well, let's go.\Ma'am!\So sleepy... it's WAY too early!\Wait, you're not sleepy?\I'm used to getting up early for anime events.\More importunately, why is Kanau here? response:	She's got nothing to do with this, does she?
context: No, it isn't!\Well, let's go.\Ma'am!\So sleepy... it's WAY too early!\Wait, you're not sleepy?\I'm used to getting up early for anime events.\More importunately, why is Kanau here?\She's got nothing to do with this, does she? response:	Beats me. She's the one who planned this whole trip, right?
context: Well, let's go.\Ma'am!\So sleepy... it's WAY too early!\Wait, you're not sleepy?\I'm used to getting up early for anime events.\More importunately, why is Kanau here?\She's got nothing to do with this, does she?\Beats me. She's the one who planned this whole trip, right? response:	A vacation, with Taihei!
context: Ma'am!\So sleepy... it's WAY too early!\Wait, you're not sleepy?\I'm used to getting up early for anime events.\More importunately, why is Kanau here?\She's got nothing to do with this, does she?\Beats me. She's the one who planned this whole trip, right?\A vacation, with Taihei! response:	The ocean, huh...?
context: So sleepy... it's WAY too early!\Wait, you're not sleepy?\I'm used to getting up early for anime events.\More importunately, why is Kanau here?\She's got nothing to do with this, does she?\Beats me. She's the one who planned this whole trip, right?\A vacation, with Taihei!\The ocean, huh...? response:	Big Brother! It's the ocean, the ocean!
context: Wait, you're not sleepy?\I'm used to getting up early for anime events.\More importunately, why is Kanau here?\She's got nothing to do with this, does she?\Beats me. She's the one who planned this whole trip, right?\A vacation, with Taihei!\The ocean, huh...?\Big Brother! It's the ocean, the ocean! response:	She sure did want to come. Maybe I'll bring her here sometime. The ocean! That's Umaru's ocean!
context: I'm used to getting up early for anime events.\More importunately, why is Kanau here?\She's got nothing to do with this, does she?\Beats me. She's the one who planned this whole trip, right?\A vacation, with Taihei!\The ocean, huh...?\Big Brother! It's the ocean, the ocean!\She sure did want to come. Maybe I'll bring her here sometime. The ocean! That's Umaru's ocean! response:	I still don't know if she'll be okay on her own.
context: More importunately, why is Kanau here?\She's got nothing to do with this, does she?\Beats me. She's the one who planned this whole trip, right?\A vacation, with Taihei!\The ocean, huh...?\Big Brother! It's the ocean, the ocean!\She sure did want to come. Maybe I'll bring her here sometime. The ocean! That's Umaru's ocean!\I still don't know if she'll be okay on her own. response:	She's probably eating right about now...
context: She's got nothing to do with this, does she?\Beats me. She's the one who planned this whole trip, right?\A vacation, with Taihei!\The ocean, huh...?\Big Brother! It's the ocean, the ocean!\She sure did want to come. Maybe I'll bring her here sometime. The ocean! That's Umaru's ocean!\I still don't know if she'll be okay on her own.\She's probably eating right about now... response:	Wait, can she even get up on her own?
context: Beats me. She's the one who planned this whole trip, right?\A vacation, with Taihei!\The ocean, huh...?\Big Brother! It's the ocean, the ocean!\She sure did want to come. Maybe I'll bring her here sometime. The ocean! That's Umaru's ocean!\I still don't know if she'll be okay on her own.\She's probably eating right about now...\Wait, can she even get up on her own? response:	Big Brother, how long till we get to Hamamatsu?
context: A vacation, with Taihei!\The ocean, huh...?\Big Brother! It's the ocean, the ocean!\She sure did want to come. Maybe I'll bring her here sometime. The ocean! That's Umaru's ocean!\I still don't know if she'll be okay on her own.\She's probably eating right about now...\Wait, can she even get up on her own?\Big Brother, how long till we get to Hamamatsu? response:	A vacation with Taihei...! A vacation with Taihei! A vacation with-!
context: The ocean, huh...?\Big Brother! It's the ocean, the ocean!\She sure did want to come. Maybe I'll bring her here sometime. The ocean! That's Umaru's ocean!\I still don't know if she'll be okay on her own.\She's probably eating right about now...\Wait, can she even get up on her own?\Big Brother, how long till we get to Hamamatsu?\A vacation with Taihei...! A vacation with Taihei! A vacation with-! response:	What are you doing here?!
context: Big Brother! It's the ocean, the ocean!\She sure did want to come. Maybe I'll bring her here sometime. The ocean! That's Umaru's ocean!\I still don't know if she'll be okay on her own.\She's probably eating right about now...\Wait, can she even get up on her own?\Big Brother, how long till we get to Hamamatsu?\A vacation with Taihei...! A vacation with Taihei! A vacation with-!\What are you doing here?! response:	Umaru has joined your business trip, Big Brother!
context: She sure did want to come. Maybe I'll bring her here sometime. The ocean! That's Umaru's ocean!\I still don't know if she'll be okay on her own.\She's probably eating right about now...\Wait, can she even get up on her own?\Big Brother, how long till we get to Hamamatsu?\A vacation with Taihei...! A vacation with Taihei! A vacation with-!\What are you doing here?!\Umaru has joined your business trip, Big Brother! response:	Go home!
context: I still don't know if she'll be okay on her own.\She's probably eating right about now...\Wait, can she even get up on her own?\Big Brother, how long till we get to Hamamatsu?\A vacation with Taihei...! A vacation with Taihei! A vacation with-!\What are you doing here?!\Umaru has joined your business trip, Big Brother!\Go home! response:	C'mon, let me tag along for a bit.
context: She's probably eating right about now...\Wait, can she even get up on her own?\Big Brother, how long till we get to Hamamatsu?\A vacation with Taihei...! A vacation with Taihei! A vacation with-!\What are you doing here?!\Umaru has joined your business trip, Big Brother!\Go home!\C'mon, let me tag along for a bit. response:	This isn't a game, you know!
context: Wait, can she even get up on her own?\Big Brother, how long till we get to Hamamatsu?\A vacation with Taihei...! A vacation with Taihei! A vacation with-!\What are you doing here?!\Umaru has joined your business trip, Big Brother!\Go home!\C'mon, let me tag along for a bit.\This isn't a game, you know! response:	I won't go back until I've tasted eel!
context: Big Brother, how long till we get to Hamamatsu?\A vacation with Taihei...! A vacation with Taihei! A vacation with-!\What are you doing here?!\Umaru has joined your business trip, Big Brother!\Go home!\C'mon, let me tag along for a bit.\This isn't a game, you know!\I won't go back until I've tasted eel! response:	You're being way too loud! Keep your voice down!
context: A vacation with Taihei...! A vacation with Taihei! A vacation with-!\What are you doing here?!\Umaru has joined your business trip, Big Brother!\Go home!\C'mon, let me tag along for a bit.\This isn't a game, you know!\I won't go back until I've tasted eel!\You're being way too loud! Keep your voice down! response:	We'll be gone two whole weeks, so I'm sure I'll get my chance! You're being way too loud! Keep your voice down!
context: What are you doing here?!\Umaru has joined your business trip, Big Brother!\Go home!\C'mon, let me tag along for a bit.\This isn't a game, you know!\I won't go back until I've tasted eel!\You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance! You're being way too loud! Keep your voice down! response:	We'll be gone two whole weeks, so I'm sure I'll get my chance!
context: Umaru has joined your business trip, Big Brother!\Go home!\C'mon, let me tag along for a bit.\This isn't a game, you know!\I won't go back until I've tasted eel!\You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance! You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance! response:	We'll be gone two whole weeks, so I'm sure I'll get my chance! I want eel!
context: Go home!\C'mon, let me tag along for a bit.\This isn't a game, you know!\I won't go back until I've tasted eel!\You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance! You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance!\We'll be gone two whole weeks, so I'm sure I'll get my chance! I want eel! response:	I feel like... something is going to happen!
context: C'mon, let me tag along for a bit.\This isn't a game, you know!\I won't go back until I've tasted eel!\You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance! You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance!\We'll be gone two whole weeks, so I'm sure I'll get my chance! I want eel!\I feel like... something is going to happen! response:	Hamamatsu.
context: This isn't a game, you know!\I won't go back until I've tasted eel!\You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance! You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance!\We'll be gone two whole weeks, so I'm sure I'll get my chance! I want eel!\I feel like... something is going to happen!\Hamamatsu. response:	Located in western Shizuoka, it is the largest city in the prefecture.
context: I won't go back until I've tasted eel!\You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance! You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance!\We'll be gone two whole weeks, so I'm sure I'll get my chance! I want eel!\I feel like... something is going to happen!\Hamamatsu.\Located in western Shizuoka, it is the largest city in the prefecture. response:	The area around Lake Hamana to the south is a resort area famous throughout Japan.
context: You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance! You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance!\We'll be gone two whole weeks, so I'm sure I'll get my chance! I want eel!\I feel like... something is going to happen!\Hamamatsu.\Located in western Shizuoka, it is the largest city in the prefecture.\The area around Lake Hamana to the south is a resort area famous throughout Japan. response:	It is easily accessible, and the scenery is remarkable!
context: We'll be gone two whole weeks, so I'm sure I'll get my chance! You're being way too loud! Keep your voice down!\We'll be gone two whole weeks, so I'm sure I'll get my chance!\We'll be gone two whole weeks, so I'm sure I'll get my chance! I want eel!\I feel like... something is going to happen!\Hamamatsu.\Located in western Shizuoka, it is the largest city in the prefecture.\The area around Lake Hamana to the south is a resort area famous throughout Japan.\It is easily accessible, and the scenery is remarkable! response:	Also...
context: We'll be gone two whole weeks, so I'm sure I'll get my chance!\We'll be gone two whole weeks, so I'm sure I'll get my chance! I want eel!\I feel like... something is going to happen!\Hamamatsu.\Located in western Shizuoka, it is the largest city in the prefecture.\The area around Lake Hamana to the south is a resort area famous throughout Japan.\It is easily accessible, and the scenery is remarkable!\Also... response:	it's famous for its eel!
context: We'll be gone two whole weeks, so I'm sure I'll get my chance! I want eel!\I feel like... something is going to happen!\Hamamatsu.\Located in western Shizuoka, it is the largest city in the prefecture.\The area around Lake Hamana to the south is a resort area famous throughout Japan.\It is easily accessible, and the scenery is remarkable!\Also...\it's famous for its eel! response:	Umaru, I swear... I'm here for WORK.
context: I feel like... something is going to happen!\Hamamatsu.\Located in western Shizuoka, it is the largest city in the prefecture.\The area around Lake Hamana to the south is a resort area famous throughout Japan.\It is easily accessible, and the scenery is remarkable!\Also...\it's famous for its eel!\Umaru, I swear... I'm here for WORK. response:	What am I going to do with her?
context: Hamamatsu.\Located in western Shizuoka, it is the largest city in the prefecture.\The area around Lake Hamana to the south is a resort area famous throughout Japan.\It is easily accessible, and the scenery is remarkable!\Also...\it's famous for its eel!\Umaru, I swear... I'm here for WORK.\What am I going to do with her? response:	It's not like I can introduce her to Kanau...
context: Located in western Shizuoka, it is the largest city in the prefecture.\The area around Lake Hamana to the south is a resort area famous throughout Japan.\It is easily accessible, and the scenery is remarkable!\Also...\it's famous for its eel!\Umaru, I swear... I'm here for WORK.\What am I going to do with her?\It's not like I can introduce her to Kanau... response:	This is my younger sister!
context: The area around Lake Hamana to the south is a resort area famous throughout Japan.\It is easily accessible, and the scenery is remarkable!\Also...\it's famous for its eel!\Umaru, I swear... I'm here for WORK.\What am I going to do with her?\It's not like I can introduce her to Kanau...\This is my younger sister! response:	She sort of tagged along!
context: It is easily accessible, and the scenery is remarkable!\Also...\it's famous for its eel!\Umaru, I swear... I'm here for WORK.\What am I going to do with her?\It's not like I can introduce her to Kanau...\This is my younger sister!\She sort of tagged along! response:	Just wait till it's time to review your bonus...
context: Also...\it's famous for its eel!\Umaru, I swear... I'm here for WORK.\What am I going to do with her?\It's not like I can introduce her to Kanau...\This is my younger sister!\She sort of tagged along!\Just wait till it's time to review your bonus... response:	Huh?! No, it can't be!
context: it's famous for its eel!\Umaru, I swear... I'm here for WORK.\What am I going to do with her?\It's not like I can introduce her to Kanau...\This is my younger sister!\She sort of tagged along!\Just wait till it's time to review your bonus...\Huh?! No, it can't be! response:	Ah! U-um...
