context: Hey. Morning. response:	Hi.
context: I'm sure even you could improve your grades.\You're right.\There's definitely a limit to what I can do alone.\Could you help me with this question?\Of course.\All right.\Come to the staff room later.\Thank you, Sensei. response:	I'm not giving up.
context: You're right.\There's definitely a limit to what I can do alone.\Could you help me with this question?\Of course.\All right.\Come to the staff room later.\Thank you, Sensei.\I'm not giving up. response:	Next!
context: There's definitely a limit to what I can do alone.\Could you help me with this question?\Of course.\All right.\Come to the staff room later.\Thank you, Sensei.\I'm not giving up.\Next! response:	Nino!
context: Could you help me with this question?\Of course.\All right.\Come to the staff room later.\Thank you, Sensei.\I'm not giving up.\Next!\Nino! response:	Are you ready for the midterms?
context: Of course.\All right.\Come to the staff room later.\Thank you, Sensei.\I'm not giving up.\Next!\Nino!\Are you ready for the midterms? response:	Let's go, girls.
context: All right.\Come to the staff room later.\Thank you, Sensei.\I'm not giving up.\Next!\Nino!\Are you ready for the midterms?\Let's go, girls. response:	Hey, wasn't that guy calling you?
context: Come to the staff room later.\Thank you, Sensei.\I'm not giving up.\Next!\Nino!\Are you ready for the midterms?\Let's go, girls.\Hey, wasn't that guy calling you? response:	He's a stalker.
context: Thank you, Sensei.\I'm not giving up.\Next!\Nino!\Are you ready for the midterms?\Let's go, girls.\Hey, wasn't that guy calling you?\He's a stalker. response:	Yikes.
context: I'm not giving up.\Next!\Nino!\Are you ready for the midterms?\Let's go, girls.\Hey, wasn't that guy calling you?\He's a stalker.\Yikes. response:	Nino! I'm not giving up!
context: Next!\Nino!\Are you ready for the midterms?\Let's go, girls.\Hey, wasn't that guy calling you?\He's a stalker.\Yikes.\Nino! I'm not giving up! response:	You were happy to go along with it back at the festival, weren't you?
context: Nino!\Are you ready for the midterms?\Let's go, girls.\Hey, wasn't that guy calling you?\He's a stalker.\Yikes.\Nino! I'm not giving up!\You were happy to go along with it back at the festival, weren't you? response:	Just think about it.
context: Are you ready for the midterms?\Let's go, girls.\Hey, wasn't that guy calling you?\He's a stalker.\Yikes.\Nino! I'm not giving up!\You were happy to go along with it back at the festival, weren't you?\Just think about it. response:	We can do it at your place if we have to.
context: Let's go, girls.\Hey, wasn't that guy calling you?\He's a stalker.\Yikes.\Nino! I'm not giving up!\You were happy to go along with it back at the festival, weren't you?\Just think about it.\We can do it at your place if we have to. response:	One more time!
context: Hey, wasn't that guy calling you?\He's a stalker.\Yikes.\Nino! I'm not giving up!\You were happy to go along with it back at the festival, weren't you?\Just think about it.\We can do it at your place if we have to.\One more time! response:	Just give me one more chance!
context: He's a stalker.\Yikes.\Nino! I'm not giving up!\You were happy to go along with it back at the festival, weren't you?\Just think about it.\We can do it at your place if we have to.\One more time!\Just give me one more chance! response:	There's so much I can teach you, Nino!
context: Yikes.\Nino! I'm not giving up!\You were happy to go along with it back at the festival, weren't you?\Just think about it.\We can do it at your place if we have to.\One more time!\Just give me one more chance!\There's so much I can teach you, Nino! response:	I swear I'll satisfy you!
context: Nino! I'm not giving up!\You were happy to go along with it back at the festival, weren't you?\Just think about it.\We can do it at your place if we have to.\One more time!\Just give me one more chance!\There's so much I can teach you, Nino!\I swear I'll satisfy you! response:	Do you get it... now?
context: You were happy to go along with it back at the festival, weren't you?\Just think about it.\We can do it at your place if we have to.\One more time!\Just give me one more chance!\There's so much I can teach you, Nino!\I swear I'll satisfy you!\Do you get it... now? response:	You're going to give people the wrong idea!
context: Just think about it.\We can do it at your place if we have to.\One more time!\Just give me one more chance!\There's so much I can teach you, Nino!\I swear I'll satisfy you!\Do you get it... now?\You're going to give people the wrong idea! response:	She really got you good.
context: We can do it at your place if we have to.\One more time!\Just give me one more chance!\There's so much I can teach you, Nino!\I swear I'll satisfy you!\Do you get it... now?\You're going to give people the wrong idea!\She really got you good. response:	Are you okay?
context: One more time!\Just give me one more chance!\There's so much I can teach you, Nino!\I swear I'll satisfy you!\Do you get it... now?\You're going to give people the wrong idea!\She really got you good.\Are you okay? response:	Yeah. Never mind that.
context: Just give me one more chance!\There's so much I can teach you, Nino!\I swear I'll satisfy you!\Do you get it... now?\You're going to give people the wrong idea!\She really got you good.\Are you okay?\Yeah. Never mind that. response:	Uesugi-san!
context: There's so much I can teach you, Nino!\I swear I'll satisfy you!\Do you get it... now?\You're going to give people the wrong idea!\She really got you good.\Are you okay?\Yeah. Never mind that.\Uesugi-san! response:	Here's a question!
context: I swear I'll satisfy you!\Do you get it... now?\You're going to give people the wrong idea!\She really got you good.\Are you okay?\Yeah. Never mind that.\Uesugi-san!\Here's a question! response:	What's different about me today?
context: Do you get it... now?\You're going to give people the wrong idea!\She really got you good.\Are you okay?\Yeah. Never mind that.\Uesugi-san!\Here's a question!\What's different about me today? response:	I'm assuming you've heard that the midterms are coming up.
context: You're going to give people the wrong idea!\She really got you good.\Are you okay?\Yeah. Never mind that.\Uesugi-san!\Here's a question!\What's different about me today?\I'm assuming you've heard that the midterms are coming up. response:	He ignored me!
context: She really got you good.\Are you okay?\Yeah. Never mind that.\Uesugi-san!\Here's a question!\What's different about me today?\I'm assuming you've heard that the midterms are coming up.\He ignored me! response:	Listen...
context: Are you okay?\Yeah. Never mind that.\Uesugi-san!\Here's a question!\What's different about me today?\I'm assuming you've heard that the midterms are coming up.\He ignored me!\Listen... response:	Hint: it's somewhere above my neck.
context: Yeah. Never mind that.\Uesugi-san!\Here's a question!\What's different about me today?\I'm assuming you've heard that the midterms are coming up.\He ignored me!\Listen...\Hint: it's somewhere above my neck. response:	Unless you do better, there's no way you're going to survive the exams.
context: Uesugi-san!\Here's a question!\What's different about me today?\I'm assuming you've heard that the midterms are coming up.\He ignored me!\Listen...\Hint: it's somewhere above my neck.\Unless you do better, there's no way you're going to survive the exams. response:	Ta-da!
context: Here's a question!\What's different about me today?\I'm assuming you've heard that the midterms are coming up.\He ignored me!\Listen...\Hint: it's somewhere above my neck.\Unless you do better, there's no way you're going to survive the exams.\Ta-da! response:	The answer is that my ribbon has a different pattern than usual.
context: What's different about me today?\I'm assuming you've heard that the midterms are coming up.\He ignored me!\Listen...\Hint: it's somewhere above my neck.\Unless you do better, there's no way you're going to survive the exams.\Ta-da!\The answer is that my ribbon has a different pattern than usual. response:	I heard checks are in right now.
context: I'm assuming you've heard that the midterms are coming up.\He ignored me!\Listen...\Hint: it's somewhere above my neck.\Unless you do better, there's no way you're going to survive the exams.\Ta-da!\The answer is that my ribbon has a different pattern than usual.\I heard checks are in right now. response:	Your answer sheets are full of checks, too.
context: He ignored me!\Listen...\Hint: it's somewhere above my neck.\Unless you do better, there's no way you're going to survive the exams.\Ta-da!\The answer is that my ribbon has a different pattern than usual.\I heard checks are in right now.\Your answer sheets are full of checks, too. response:	Congratulations.
context: Listen...\Hint: it's somewhere above my neck.\Unless you do better, there's no way you're going to survive the exams.\Ta-da!\The answer is that my ribbon has a different pattern than usual.\I heard checks are in right now.\Your answer sheets are full of checks, too.\Congratulations. response:	Yay! I'm leading the trend!
context: Hint: it's somewhere above my neck.\Unless you do better, there's no way you're going to survive the exams.\Ta-da!\The answer is that my ribbon has a different pattern than usual.\I heard checks are in right now.\Your answer sheets are full of checks, too.\Congratulations.\Yay! I'm leading the trend! response:	Ichika.
context: Unless you do better, there's no way you're going to survive the exams.\Ta-da!\The answer is that my ribbon has a different pattern than usual.\I heard checks are in right now.\Your answer sheets are full of checks, too.\Congratulations.\Yay! I'm leading the trend!\Ichika. response:	You're not one to be laughing.
context: Ta-da!\The answer is that my ribbon has a different pattern than usual.\I heard checks are in right now.\Your answer sheets are full of checks, too.\Congratulations.\Yay! I'm leading the trend!\Ichika.\You're not one to be laughing. response:	At least Yotsuba is willing to work at it.
context: The answer is that my ribbon has a different pattern than usual.\I heard checks are in right now.\Your answer sheets are full of checks, too.\Congratulations.\Yay! I'm leading the trend!\Ichika.\You're not one to be laughing.\At least Yotsuba is willing to work at it. response:	We have a week until midterms.
context: I heard checks are in right now.\Your answer sheets are full of checks, too.\Congratulations.\Yay! I'm leading the trend!\Ichika.\You're not one to be laughing.\At least Yotsuba is willing to work at it.\We have a week until midterms. response:	We're going to prepare thoroughly for them!
context: Your answer sheets are full of checks, too.\Congratulations.\Yay! I'm leading the trend!\Ichika.\You're not one to be laughing.\At least Yotsuba is willing to work at it.\We have a week until midterms.\We're going to prepare thoroughly for them! response:	What did you expect?
context: Congratulations.\Yay! I'm leading the trend!\Ichika.\You're not one to be laughing.\At least Yotsuba is willing to work at it.\We have a week until midterms.\We're going to prepare thoroughly for them!\What did you expect? response:	And Miku, you need to work not only on Japanese history...
context: Yay! I'm leading the trend!\Ichika.\You're not one to be laughing.\At least Yotsuba is willing to work at it.\We have a week until midterms.\We're going to prepare thoroughly for them!\What did you expect?\And Miku, you need to work not only on Japanese history... response:	What?
context: Ichika.\You're not one to be laughing.\At least Yotsuba is willing to work at it.\We have a week until midterms.\We're going to prepare thoroughly for them!\What did you expect?\And Miku, you need to work not only on Japanese history...\What? response:	Miku's studying English, her worst subject, and without being forced to!
context: You're not one to be laughing.\At least Yotsuba is willing to work at it.\We have a week until midterms.\We're going to prepare thoroughly for them!\What did you expect?\And Miku, you need to work not only on Japanese history...\What?\Miku's studying English, her worst subject, and without being forced to! response:	Do you have a fever?
context: At least Yotsuba is willing to work at it.\We have a week until midterms.\We're going to prepare thoroughly for them!\What did you expect?\And Miku, you need to work not only on Japanese history...\What?\Miku's studying English, her worst subject, and without being forced to!\Do you have a fever? response:	I'm fine.
context: We have a week until midterms.\We're going to prepare thoroughly for them!\What did you expect?\And Miku, you need to work not only on Japanese history...\What?\Miku's studying English, her worst subject, and without being forced to!\Do you have a fever?\I'm fine. response:	I just felt like trying for once.
context: We're going to prepare thoroughly for them!\What did you expect?\And Miku, you need to work not only on Japanese history...\What?\Miku's studying English, her worst subject, and without being forced to!\Do you have a fever?\I'm fine.\I just felt like trying for once. response:	Miku...
context: What did you expect?\And Miku, you need to work not only on Japanese history...\What?\Miku's studying English, her worst subject, and without being forced to!\Do you have a fever?\I'm fine.\I just felt like trying for once.\Miku... response:	All right, everyone, let's do this!
context: And Miku, you need to work not only on Japanese history...\What?\Miku's studying English, her worst subject, and without being forced to!\Do you have a fever?\I'm fine.\I just felt like trying for once.\Miku...\All right, everyone, let's do this! response:	Yeah!
context: What?\Miku's studying English, her worst subject, and without being forced to!\Do you have a fever?\I'm fine.\I just felt like trying for once.\Miku...\All right, everyone, let's do this!\Yeah! response:	Be quiet!
context: Miku's studying English, her worst subject, and without being forced to!\Do you have a fever?\I'm fine.\I just felt like trying for once.\Miku...\All right, everyone, let's do this!\Yeah!\Be quiet! response:	Yes, ma'am.
context: Do you have a fever?\I'm fine.\I just felt like trying for once.\Miku...\All right, everyone, let's do this!\Yeah!\Be quiet!\Yes, ma'am. response:	I'm so tired.
context: I'm fine.\I just felt like trying for once.\Miku...\All right, everyone, let's do this!\Yeah!\Be quiet!\Yes, ma'am.\I'm so tired. response:	I can't wait to get home.
context: I just felt like trying for once.\Miku...\All right, everyone, let's do this!\Yeah!\Be quiet!\Yes, ma'am.\I'm so tired.\I can't wait to get home. response:	Damn it, after school isn't enough time.
context: Miku...\All right, everyone, let's do this!\Yeah!\Be quiet!\Yes, ma'am.\I'm so tired.\I can't wait to get home.\Damn it, after school isn't enough time. response:	How much can we cram in during the weekend?
context: All right, everyone, let's do this!\Yeah!\Be quiet!\Yes, ma'am.\I'm so tired.\I can't wait to get home.\Damn it, after school isn't enough time.\How much can we cram in during the weekend? response:	I-Ichika!
context: Yeah!\Be quiet!\Yes, ma'am.\I'm so tired.\I can't wait to get home.\Damn it, after school isn't enough time.\How much can we cram in during the weekend?\I-Ichika! response:	We don't need to work that hard, do we?
context: Be quiet!\Yes, ma'am.\I'm so tired.\I can't wait to get home.\Damn it, after school isn't enough time.\How much can we cram in during the weekend?\I-Ichika!\We don't need to work that hard, do we? response:	It's not like we're going to wind up getting expelled over a midterm.
context: Yes, ma'am.\I'm so tired.\I can't wait to get home.\Damn it, after school isn't enough time.\How much can we cram in during the weekend?\I-Ichika!\We don't need to work that hard, do we?\It's not like we're going to wind up getting expelled over a midterm. response:	We're going to do our best.
context: I'm so tired.\I can't wait to get home.\Damn it, after school isn't enough time.\How much can we cram in during the weekend?\I-Ichika!\We don't need to work that hard, do we?\It's not like we're going to wind up getting expelled over a midterm.\We're going to do our best. response:	Have patience with us.
context: I can't wait to get home.\Damn it, after school isn't enough time.\How much can we cram in during the weekend?\I-Ichika!\We don't need to work that hard, do we?\It's not like we're going to wind up getting expelled over a midterm.\We're going to do our best.\Have patience with us. response:	I mean, if you're going to give us a reward, we'll try harder.
context: Damn it, after school isn't enough time.\How much can we cram in during the weekend?\I-Ichika!\We don't need to work that hard, do we?\It's not like we're going to wind up getting expelled over a midterm.\We're going to do our best.\Have patience with us.\I mean, if you're going to give us a reward, we'll try harder. response:	Oh, I know!
context: How much can we cram in during the weekend?\I-Ichika!\We don't need to work that hard, do we?\It's not like we're going to wind up getting expelled over a midterm.\We're going to do our best.\Have patience with us.\I mean, if you're going to give us a reward, we'll try harder.\Oh, I know! response:	I'd like that fruit parfait by the station.
context: I-Ichika!\We don't need to work that hard, do we?\It's not like we're going to wind up getting expelled over a midterm.\We're going to do our best.\Have patience with us.\I mean, if you're going to give us a reward, we'll try harder.\Oh, I know!\I'd like that fruit parfait by the station. response:	I want matcha parfait.
context: We don't need to work that hard, do we?\It's not like we're going to wind up getting expelled over a midterm.\We're going to do our best.\Have patience with us.\I mean, if you're going to give us a reward, we'll try harder.\Oh, I know!\I'd like that fruit parfait by the station.\I want matcha parfait. response:	I'm starting to want some, too.
context: It's not like we're going to wind up getting expelled over a midterm.\We're going to do our best.\Have patience with us.\I mean, if you're going to give us a reward, we'll try harder.\Oh, I know!\I'd like that fruit parfait by the station.\I want matcha parfait.\I'm starting to want some, too. response:	Let's invite the others and go right now.
context: We're going to do our best.\Have patience with us.\I mean, if you're going to give us a reward, we'll try harder.\Oh, I know!\I'd like that fruit parfait by the station.\I want matcha parfait.\I'm starting to want some, too.\Let's invite the others and go right now. response:	I thought you couldn't wait to get home.
context: Have patience with us.\I mean, if you're going to give us a reward, we'll try harder.\Oh, I know!\I'd like that fruit parfait by the station.\I want matcha parfait.\I'm starting to want some, too.\Let's invite the others and go right now.\I thought you couldn't wait to get home. response:	Maybe I don't need to freak out too much.
context: I mean, if you're going to give us a reward, we'll try harder.\Oh, I know!\I'd like that fruit parfait by the station.\I want matcha parfait.\I'm starting to want some, too.\Let's invite the others and go right now.\I thought you couldn't wait to get home.\Maybe I don't need to freak out too much. response:	Uesugi-san!
context: Oh, I know!\I'd like that fruit parfait by the station.\I want matcha parfait.\I'm starting to want some, too.\Let's invite the others and go right now.\I thought you couldn't wait to get home.\Maybe I don't need to freak out too much.\Uesugi-san! response:	Hurry up, or we'll leave you behind!
context: I'd like that fruit parfait by the station.\I want matcha parfait.\I'm starting to want some, too.\Let's invite the others and go right now.\I thought you couldn't wait to get home.\Maybe I don't need to freak out too much.\Uesugi-san!\Hurry up, or we'll leave you behind! response:	Hold it!
context: I want matcha parfait.\I'm starting to want some, too.\Let's invite the others and go right now.\I thought you couldn't wait to get home.\Maybe I don't need to freak out too much.\Uesugi-san!\Hurry up, or we'll leave you behind!\Hold it! response:	You...
context: I'm starting to want some, too.\Let's invite the others and go right now.\I thought you couldn't wait to get home.\Maybe I don't need to freak out too much.\Uesugi-san!\Hurry up, or we'll leave you behind!\Hold it!\You... response:	I can't believe you would go home in that situation.
context: Let's invite the others and go right now.\I thought you couldn't wait to get home.\Maybe I don't need to freak out too much.\Uesugi-san!\Hurry up, or we'll leave you behind!\Hold it!\You...\I can't believe you would go home in that situation. response:	You were supposed to go with them!
context: I thought you couldn't wait to get home.\Maybe I don't need to freak out too much.\Uesugi-san!\Hurry up, or we'll leave you behind!\Hold it!\You...\I can't believe you would go home in that situation.\You were supposed to go with them! response:	No, I need to go home and study.
context: Maybe I don't need to freak out too much.\Uesugi-san!\Hurry up, or we'll leave you behind!\Hold it!\You...\I can't believe you would go home in that situation.\You were supposed to go with them!\No, I need to go home and study. response:	What? You chased me down just to tell me that?
context: Uesugi-san!\Hurry up, or we'll leave you behind!\Hold it!\You...\I can't believe you would go home in that situation.\You were supposed to go with them!\No, I need to go home and study.\What? You chased me down just to tell me that? response:	No.
context: Hurry up, or we'll leave you behind!\Hold it!\You...\I can't believe you would go home in that situation.\You were supposed to go with them!\No, I need to go home and study.\What? You chased me down just to tell me that?\No. response:	I was asked to get you on the phone.
context: Hold it!\You...\I can't believe you would go home in that situation.\You were supposed to go with them!\No, I need to go home and study.\What? You chased me down just to tell me that?\No.\I was asked to get you on the phone. response:	Me?
context: You...\I can't believe you would go home in that situation.\You were supposed to go with them!\No, I need to go home and study.\What? You chased me down just to tell me that?\No.\I was asked to get you on the phone.\Me? response:	It's me, Itsuki.
context: I can't believe you would go home in that situation.\You were supposed to go with them!\No, I need to go home and study.\What? You chased me down just to tell me that?\No.\I was asked to get you on the phone.\Me?\It's me, Itsuki. response:	I'll put him on now.
context: You were supposed to go with them!\No, I need to go home and study.\What? You chased me down just to tell me that?\No.\I was asked to get you on the phone.\Me?\It's me, Itsuki.\I'll put him on now. response:	Hello?
context: No, I need to go home and study.\What? You chased me down just to tell me that?\No.\I was asked to get you on the phone.\Me?\It's me, Itsuki.\I'll put him on now.\Hello? response:	Uesugi-kun, correct?
context: What? You chased me down just to tell me that?\No.\I was asked to get you on the phone.\Me?\It's me, Itsuki.\I'll put him on now.\Hello?\Uesugi-kun, correct? response:	Thanks for taking care of my daughters.
context: No.\I was asked to get you on the phone.\Me?\It's me, Itsuki.\I'll put him on now.\Hello?\Uesugi-kun, correct?\Thanks for taking care of my daughters. response:	F-F-Father! Nice to finally speak to you.
context: I was asked to get you on the phone.\Me?\It's me, Itsuki.\I'll put him on now.\Hello?\Uesugi-kun, correct?\Thanks for taking care of my daughters.\F-F-Father! Nice to finally speak to you. response:	Thank you for everything.
context: Me?\It's me, Itsuki.\I'll put him on now.\Hello?\Uesugi-kun, correct?\Thanks for taking care of my daughters.\F-F-Father! Nice to finally speak to you.\Thank you for everything. response:	You have no reason to call me father.
context: It's me, Itsuki.\I'll put him on now.\Hello?\Uesugi-kun, correct?\Thanks for taking care of my daughters.\F-F-Father! Nice to finally speak to you.\Thank you for everything.\You have no reason to call me father. response:	You have no reason to call him father.
context: I'll put him on now.\Hello?\Uesugi-kun, correct?\Thanks for taking care of my daughters.\F-F-Father! Nice to finally speak to you.\Thank you for everything.\You have no reason to call me father.\You have no reason to call him father. response:	I'm sorry I haven't been able to show up at all.
context: Hello?\Uesugi-kun, correct?\Thanks for taking care of my daughters.\F-F-Father! Nice to finally speak to you.\Thank you for everything.\You have no reason to call me father.\You have no reason to call him father.\I'm sorry I haven't been able to show up at all. response:	I trust that the tutoring has been going well.
context: Uesugi-kun, correct?\Thanks for taking care of my daughters.\F-F-Father! Nice to finally speak to you.\Thank you for everything.\You have no reason to call me father.\You have no reason to call him father.\I'm sorry I haven't been able to show up at all.\I trust that the tutoring has been going well. response:	Of course, we're in the middle of it right now.
context: Thanks for taking care of my daughters.\F-F-Father! Nice to finally speak to you.\Thank you for everything.\You have no reason to call me father.\You have no reason to call him father.\I'm sorry I haven't been able to show up at all.\I trust that the tutoring has been going well.\Of course, we're in the middle of it right now. response:	Wait up, Itsuki. I'll tell you the answer to that later.
context: F-F-Father! Nice to finally speak to you.\Thank you for everything.\You have no reason to call me father.\You have no reason to call him father.\I'm sorry I haven't been able to show up at all.\I trust that the tutoring has been going well.\Of course, we're in the middle of it right now.\Wait up, Itsuki. I'll tell you the answer to that later. response:	They're all good girls.
