context: I'm freezing! I'm definitely gonna wear a scarf tomorrow. response:	It gets pretty cold in the evenings now, huh.
context: Playing video games.\Though I've spent plenty of nights at Miyamura's!\Though I've spent plenty of nights at Miyamura's!\Hey, Shindo, let's go get some Mickey D's!\Can't spell burger without Shindo, am I right?!\Wait, what? Makes no sense, but okay.\Is that free coffee coupon still good?\No, it expired. response:	Miyamura, I just want you to know something, okay?
context: Though I've spent plenty of nights at Miyamura's!\Though I've spent plenty of nights at Miyamura's!\Hey, Shindo, let's go get some Mickey D's!\Can't spell burger without Shindo, am I right?!\Wait, what? Makes no sense, but okay.\Is that free coffee coupon still good?\No, it expired.\Miyamura, I just want you to know something, okay? response:	I'm not worried about girls.
context: Though I've spent plenty of nights at Miyamura's!\Hey, Shindo, let's go get some Mickey D's!\Can't spell burger without Shindo, am I right?!\Wait, what? Makes no sense, but okay.\Is that free coffee coupon still good?\No, it expired.\Miyamura, I just want you to know something, okay?\I'm not worried about girls. response:	But when I think about some guy taking you, I can't...
context: Hey, Shindo, let's go get some Mickey D's!\Can't spell burger without Shindo, am I right?!\Wait, what? Makes no sense, but okay.\Is that free coffee coupon still good?\No, it expired.\Miyamura, I just want you to know something, okay?\I'm not worried about girls.\But when I think about some guy taking you, I can't... response:	Taking me how?!
context: Can't spell burger without Shindo, am I right?!\Wait, what? Makes no sense, but okay.\Is that free coffee coupon still good?\No, it expired.\Miyamura, I just want you to know something, okay?\I'm not worried about girls.\But when I think about some guy taking you, I can't...\Taking me how?! response:	Promise me this! If you fall for someone else, it better be a girl!
context: Wait, what? Makes no sense, but okay.\Is that free coffee coupon still good?\No, it expired.\Miyamura, I just want you to know something, okay?\I'm not worried about girls.\But when I think about some guy taking you, I can't...\Taking me how?!\Promise me this! If you fall for someone else, it better be a girl! response:	No guys, okay?!
context: Is that free coffee coupon still good?\No, it expired.\Miyamura, I just want you to know something, okay?\I'm not worried about girls.\But when I think about some guy taking you, I can't...\Taking me how?!\Promise me this! If you fall for someone else, it better be a girl!\No guys, okay?! response:	O-Okay!
context: No, it expired.\Miyamura, I just want you to know something, okay?\I'm not worried about girls.\But when I think about some guy taking you, I can't...\Taking me how?!\Promise me this! If you fall for someone else, it better be a girl!\No guys, okay?!\O-Okay! response:	So I had to promise her no guys yesterday.
context: Miyamura, I just want you to know something, okay?\I'm not worried about girls.\But when I think about some guy taking you, I can't...\Taking me how?!\Promise me this! If you fall for someone else, it better be a girl!\No guys, okay?!\O-Okay!\So I had to promise her no guys yesterday. response:	You guys need to stay away from me, okay?!
context: I'm not worried about girls.\But when I think about some guy taking you, I can't...\Taking me how?!\Promise me this! If you fall for someone else, it better be a girl!\No guys, okay?!\O-Okay!\So I had to promise her no guys yesterday.\You guys need to stay away from me, okay?! response:	Sure, but... what about when you need to use the bathroom?
context: But when I think about some guy taking you, I can't...\Taking me how?!\Promise me this! If you fall for someone else, it better be a girl!\No guys, okay?!\O-Okay!\So I had to promise her no guys yesterday.\You guys need to stay away from me, okay?!\Sure, but... what about when you need to use the bathroom? response:	I just won't go!
context: Taking me how?!\Promise me this! If you fall for someone else, it better be a girl!\No guys, okay?!\O-Okay!\So I had to promise her no guys yesterday.\You guys need to stay away from me, okay?!\Sure, but... what about when you need to use the bathroom?\I just won't go! response:	Good luck with that, bro.
context: Promise me this! If you fall for someone else, it better be a girl!\No guys, okay?!\O-Okay!\So I had to promise her no guys yesterday.\You guys need to stay away from me, okay?!\Sure, but... what about when you need to use the bathroom?\I just won't go!\Good luck with that, bro. response:	Horimiya
context: No guys, okay?!\O-Okay!\So I had to promise her no guys yesterday.\You guys need to stay away from me, okay?!\Sure, but... what about when you need to use the bathroom?\I just won't go!\Good luck with that, bro.\Horimiya response:	Man, this is my day off!
context: O-Okay!\So I had to promise her no guys yesterday.\You guys need to stay away from me, okay?!\Sure, but... what about when you need to use the bathroom?\I just won't go!\Good luck with that, bro.\Horimiya\Man, this is my day off! response:	You could've gone shopping for art supplies by yourself!
context: So I had to promise her no guys yesterday.\You guys need to stay away from me, okay?!\Sure, but... what about when you need to use the bathroom?\I just won't go!\Good luck with that, bro.\Horimiya\Man, this is my day off!\You could've gone shopping for art supplies by yourself! response:	Until the Snow Melts
context: You guys need to stay away from me, okay?!\Sure, but... what about when you need to use the bathroom?\I just won't go!\Good luck with that, bro.\Horimiya\Man, this is my day off!\You could've gone shopping for art supplies by yourself!\Until the Snow Melts response:	You could've gone shopping for art supplies by yourself!
context: Sure, but... what about when you need to use the bathroom?\I just won't go!\Good luck with that, bro.\Horimiya\Man, this is my day off!\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\You could've gone shopping for art supplies by yourself! response:	Until the Snow Melts
context: I just won't go!\Good luck with that, bro.\Horimiya\Man, this is my day off!\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\You could've gone shopping for art supplies by yourself!\Until the Snow Melts response:	I want to hit up the bookstore, too. I can't carry everything by myself.
context: Good luck with that, bro.\Horimiya\Man, this is my day off!\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\I want to hit up the bookstore, too. I can't carry everything by myself. response:	Or you could just go to the bookstore another day.
context: Horimiya\Man, this is my day off!\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\I want to hit up the bookstore, too. I can't carry everything by myself.\Or you could just go to the bookstore another day. response:	Is that you, Yoshikawa-san?
context: Man, this is my day off!\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\I want to hit up the bookstore, too. I can't carry everything by myself.\Or you could just go to the bookstore another day.\Is that you, Yoshikawa-san? response:	Yanagi-kun? Whoa, you're wearing glasses!
context: You could've gone shopping for art supplies by yourself!\Until the Snow Melts\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\I want to hit up the bookstore, too. I can't carry everything by myself.\Or you could just go to the bookstore another day.\Is that you, Yoshikawa-san?\Yanagi-kun? Whoa, you're wearing glasses! response:	I thought it was you. What're you shopping for?
context: Until the Snow Melts\You could've gone shopping for art supplies by yourself!\Until the Snow Melts\I want to hit up the bookstore, too. I can't carry everything by myself.\Or you could just go to the bookstore another day.\Is that you, Yoshikawa-san?\Yanagi-kun? Whoa, you're wearing glasses!\I thought it was you. What're you shopping for? response:	Oh, books and stuff, but mostly art supplies.
context: You could've gone shopping for art supplies by yourself!\Until the Snow Melts\I want to hit up the bookstore, too. I can't carry everything by myself.\Or you could just go to the bookstore another day.\Is that you, Yoshikawa-san?\Yanagi-kun? Whoa, you're wearing glasses!\I thought it was you. What're you shopping for?\Oh, books and stuff, but mostly art supplies. response:	Art supplies? I didn't know you were an artist, Yoshikawa-san.
context: Until the Snow Melts\I want to hit up the bookstore, too. I can't carry everything by myself.\Or you could just go to the bookstore another day.\Is that you, Yoshikawa-san?\Yanagi-kun? Whoa, you're wearing glasses!\I thought it was you. What're you shopping for?\Oh, books and stuff, but mostly art supplies.\Art supplies? I didn't know you were an artist, Yoshikawa-san. response:	Oh, they're not for me, they're for my sister...
context: I want to hit up the bookstore, too. I can't carry everything by myself.\Or you could just go to the bookstore another day.\Is that you, Yoshikawa-san?\Yanagi-kun? Whoa, you're wearing glasses!\I thought it was you. What're you shopping for?\Oh, books and stuff, but mostly art supplies.\Art supplies? I didn't know you were an artist, Yoshikawa-san.\Oh, they're not for me, they're for my sister... response:	Stare
context: Or you could just go to the bookstore another day.\Is that you, Yoshikawa-san?\Yanagi-kun? Whoa, you're wearing glasses!\I thought it was you. What're you shopping for?\Oh, books and stuff, but mostly art supplies.\Art supplies? I didn't know you were an artist, Yoshikawa-san.\Oh, they're not for me, they're for my sister...\Stare response:	This is my older sister.
context: Is that you, Yoshikawa-san?\Yanagi-kun? Whoa, you're wearing glasses!\I thought it was you. What're you shopping for?\Oh, books and stuff, but mostly art supplies.\Art supplies? I didn't know you were an artist, Yoshikawa-san.\Oh, they're not for me, they're for my sister...\Stare\This is my older sister. response:	Pleased to meet you, I'm Akane Yanagi.
context: Yanagi-kun? Whoa, you're wearing glasses!\I thought it was you. What're you shopping for?\Oh, books and stuff, but mostly art supplies.\Art supplies? I didn't know you were an artist, Yoshikawa-san.\Oh, they're not for me, they're for my sister...\Stare\This is my older sister.\Pleased to meet you, I'm Akane Yanagi. response:	Likewise. Didn't know Yuki was friends with a hottie like you.
context: I thought it was you. What're you shopping for?\Oh, books and stuff, but mostly art supplies.\Art supplies? I didn't know you were an artist, Yoshikawa-san.\Oh, they're not for me, they're for my sister...\Stare\This is my older sister.\Pleased to meet you, I'm Akane Yanagi.\Likewise. Didn't know Yuki was friends with a hottie like you. response:	Unless you're her boyfriend?
context: Oh, books and stuff, but mostly art supplies.\Art supplies? I didn't know you were an artist, Yoshikawa-san.\Oh, they're not for me, they're for my sister...\Stare\This is my older sister.\Pleased to meet you, I'm Akane Yanagi.\Likewise. Didn't know Yuki was friends with a hottie like you.\Unless you're her boyfriend? response:	No, ma'am. She turned me down.
context: Art supplies? I didn't know you were an artist, Yoshikawa-san.\Oh, they're not for me, they're for my sister...\Stare\This is my older sister.\Pleased to meet you, I'm Akane Yanagi.\Likewise. Didn't know Yuki was friends with a hottie like you.\Unless you're her boyfriend?\No, ma'am. She turned me down. response:	I figured. You wouldn't date-
context: Oh, they're not for me, they're for my sister...\Stare\This is my older sister.\Pleased to meet you, I'm Akane Yanagi.\Likewise. Didn't know Yuki was friends with a hottie like you.\Unless you're her boyfriend?\No, ma'am. She turned me down.\I figured. You wouldn't date- response:	Wait, she turned you down?! Not the other way around?!
context: Stare\This is my older sister.\Pleased to meet you, I'm Akane Yanagi.\Likewise. Didn't know Yuki was friends with a hottie like you.\Unless you're her boyfriend?\No, ma'am. She turned me down.\I figured. You wouldn't date-\Wait, she turned you down?! Not the other way around?! response:	Oh, my God, shut up!
context: This is my older sister.\Pleased to meet you, I'm Akane Yanagi.\Likewise. Didn't know Yuki was friends with a hottie like you.\Unless you're her boyfriend?\No, ma'am. She turned me down.\I figured. You wouldn't date-\Wait, she turned you down?! Not the other way around?!\Oh, my God, shut up! response:	Wait, hold on...
context: Pleased to meet you, I'm Akane Yanagi.\Likewise. Didn't know Yuki was friends with a hottie like you.\Unless you're her boyfriend?\No, ma'am. She turned me down.\I figured. You wouldn't date-\Wait, she turned you down?! Not the other way around?!\Oh, my God, shut up!\Wait, hold on... response:	No, I'm far out of her league.
context: Likewise. Didn't know Yuki was friends with a hottie like you.\Unless you're her boyfriend?\No, ma'am. She turned me down.\I figured. You wouldn't date-\Wait, she turned you down?! Not the other way around?!\Oh, my God, shut up!\Wait, hold on...\No, I'm far out of her league. response:	Wait, Yuki's league? This Yuki?
context: Unless you're her boyfriend?\No, ma'am. She turned me down.\I figured. You wouldn't date-\Wait, she turned you down?! Not the other way around?!\Oh, my God, shut up!\Wait, hold on...\No, I'm far out of her league.\Wait, Yuki's league? This Yuki? response:	You let this high-class meal go to waste?
context: No, ma'am. She turned me down.\I figured. You wouldn't date-\Wait, she turned you down?! Not the other way around?!\Oh, my God, shut up!\Wait, hold on...\No, I'm far out of her league.\Wait, Yuki's league? This Yuki?\You let this high-class meal go to waste? response:	You let this high-class meal go to waste?
context: I figured. You wouldn't date-\Wait, she turned you down?! Not the other way around?!\Oh, my God, shut up!\Wait, hold on...\No, I'm far out of her league.\Wait, Yuki's league? This Yuki?\You let this high-class meal go to waste?\You let this high-class meal go to waste? response:	You can stop looking at me like that! I hear you loud and clear!
context: Wait, she turned you down?! Not the other way around?!\Oh, my God, shut up!\Wait, hold on...\No, I'm far out of her league.\Wait, Yuki's league? This Yuki?\You let this high-class meal go to waste?\You let this high-class meal go to waste?\You can stop looking at me like that! I hear you loud and clear! response:	You let this high-class meal go to waste?
context: Oh, my God, shut up!\Wait, hold on...\No, I'm far out of her league.\Wait, Yuki's league? This Yuki?\You let this high-class meal go to waste?\You let this high-class meal go to waste?\You can stop looking at me like that! I hear you loud and clear!\You let this high-class meal go to waste? response:	Sorry, my sister's such an ass.
context: Wait, hold on...\No, I'm far out of her league.\Wait, Yuki's league? This Yuki?\You let this high-class meal go to waste?\You let this high-class meal go to waste?\You can stop looking at me like that! I hear you loud and clear!\You let this high-class meal go to waste?\Sorry, my sister's such an ass. response:	It's okay. This was a pleasant surprise.
context: No, I'm far out of her league.\Wait, Yuki's league? This Yuki?\You let this high-class meal go to waste?\You let this high-class meal go to waste?\You can stop looking at me like that! I hear you loud and clear!\You let this high-class meal go to waste?\Sorry, my sister's such an ass.\It's okay. This was a pleasant surprise. response:	I never imagined being able to speak to you outside of school.
context: Wait, Yuki's league? This Yuki?\You let this high-class meal go to waste?\You let this high-class meal go to waste?\You can stop looking at me like that! I hear you loud and clear!\You let this high-class meal go to waste?\Sorry, my sister's such an ass.\It's okay. This was a pleasant surprise.\I never imagined being able to speak to you outside of school. response:	Oh, sorry, I shouldn't say that, or Ishikawa-kun will get mad at me.
context: You let this high-class meal go to waste?\You let this high-class meal go to waste?\You can stop looking at me like that! I hear you loud and clear!\You let this high-class meal go to waste?\Sorry, my sister's such an ass.\It's okay. This was a pleasant surprise.\I never imagined being able to speak to you outside of school.\Oh, sorry, I shouldn't say that, or Ishikawa-kun will get mad at me. response:	No, he wouldn't. You're a good guy, Yanagi-kun.
context: You let this high-class meal go to waste?\You can stop looking at me like that! I hear you loud and clear!\You let this high-class meal go to waste?\Sorry, my sister's such an ass.\It's okay. This was a pleasant surprise.\I never imagined being able to speak to you outside of school.\Oh, sorry, I shouldn't say that, or Ishikawa-kun will get mad at me.\No, he wouldn't. You're a good guy, Yanagi-kun. response:	Toru wouldn't get mad.
context: You can stop looking at me like that! I hear you loud and clear!\You let this high-class meal go to waste?\Sorry, my sister's such an ass.\It's okay. This was a pleasant surprise.\I never imagined being able to speak to you outside of school.\Oh, sorry, I shouldn't say that, or Ishikawa-kun will get mad at me.\No, he wouldn't. You're a good guy, Yanagi-kun.\Toru wouldn't get mad. response:	I'm such a liar.
context: You let this high-class meal go to waste?\Sorry, my sister's such an ass.\It's okay. This was a pleasant surprise.\I never imagined being able to speak to you outside of school.\Oh, sorry, I shouldn't say that, or Ishikawa-kun will get mad at me.\No, he wouldn't. You're a good guy, Yanagi-kun.\Toru wouldn't get mad.\I'm such a liar. response:	I hear those two are dating!
context: Sorry, my sister's such an ass.\It's okay. This was a pleasant surprise.\I never imagined being able to speak to you outside of school.\Oh, sorry, I shouldn't say that, or Ishikawa-kun will get mad at me.\No, he wouldn't. You're a good guy, Yanagi-kun.\Toru wouldn't get mad.\I'm such a liar.\I hear those two are dating! response:	Wait, really? I thought so! They are always together.
context: It's okay. This was a pleasant surprise.\I never imagined being able to speak to you outside of school.\Oh, sorry, I shouldn't say that, or Ishikawa-kun will get mad at me.\No, he wouldn't. You're a good guy, Yanagi-kun.\Toru wouldn't get mad.\I'm such a liar.\I hear those two are dating!\Wait, really? I thought so! They are always together. response:	Yeah!
context: I never imagined being able to speak to you outside of school.\Oh, sorry, I shouldn't say that, or Ishikawa-kun will get mad at me.\No, he wouldn't. You're a good guy, Yanagi-kun.\Toru wouldn't get mad.\I'm such a liar.\I hear those two are dating!\Wait, really? I thought so! They are always together.\Yeah! response:	They make a good couple.
context: Oh, sorry, I shouldn't say that, or Ishikawa-kun will get mad at me.\No, he wouldn't. You're a good guy, Yanagi-kun.\Toru wouldn't get mad.\I'm such a liar.\I hear those two are dating!\Wait, really? I thought so! They are always together.\Yeah!\They make a good couple. response:	I know that Kono-san is totally fooled.
context: No, he wouldn't. You're a good guy, Yanagi-kun.\Toru wouldn't get mad.\I'm such a liar.\I hear those two are dating!\Wait, really? I thought so! They are always together.\Yeah!\They make a good couple.\I know that Kono-san is totally fooled. response:	Fooled?
context: Toru wouldn't get mad.\I'm such a liar.\I hear those two are dating!\Wait, really? I thought so! They are always together.\Yeah!\They make a good couple.\I know that Kono-san is totally fooled.\Fooled? response:	Kono-san thinks Toru and I are dating, right?
context: I'm such a liar.\I hear those two are dating!\Wait, really? I thought so! They are always together.\Yeah!\They make a good couple.\I know that Kono-san is totally fooled.\Fooled?\Kono-san thinks Toru and I are dating, right? response:	Does she? I have no idea.
context: I hear those two are dating!\Wait, really? I thought so! They are always together.\Yeah!\They make a good couple.\I know that Kono-san is totally fooled.\Fooled?\Kono-san thinks Toru and I are dating, right?\Does she? I have no idea. response:	She sorta asked me about it yesterday,
context: Wait, really? I thought so! They are always together.\Yeah!\They make a good couple.\I know that Kono-san is totally fooled.\Fooled?\Kono-san thinks Toru and I are dating, right?\Does she? I have no idea.\She sorta asked me about it yesterday, response:	and I told her we were dating.
context: Yeah!\They make a good couple.\I know that Kono-san is totally fooled.\Fooled?\Kono-san thinks Toru and I are dating, right?\Does she? I have no idea.\She sorta asked me about it yesterday,\and I told her we were dating. response:	Why couldn't I just tell her the truth? What's wrong with me?
context: They make a good couple.\I know that Kono-san is totally fooled.\Fooled?\Kono-san thinks Toru and I are dating, right?\Does she? I have no idea.\She sorta asked me about it yesterday,\and I told her we were dating.\Why couldn't I just tell her the truth? What's wrong with me? response:	Did you want to talk to me to see if I'd tell her the truth?
context: I know that Kono-san is totally fooled.\Fooled?\Kono-san thinks Toru and I are dating, right?\Does she? I have no idea.\She sorta asked me about it yesterday,\and I told her we were dating.\Why couldn't I just tell her the truth? What's wrong with me?\Did you want to talk to me to see if I'd tell her the truth? response:	Yeah.
