context: So this is Tsutsugami Gais response:	Youve belonged to this side since the beginning.
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel response:	All living things
context: The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things response:	bear witness to my song
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song response:	Your heart contains all its truth
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth response:	Even when all you see in your path are storms
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms response:	remember that your strength is no coincidence
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence response:	Im sorry, Mana.
context: that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Im sorry, Mana. response:	What?! She should be here!
context: that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Im sorry, Mana.\What?! She should be here! response:	Manas not here.
context: All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Im sorry, Mana.\What?! She should be here!\Manas not here. response:	She never has been.
context: bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Im sorry, Mana.\What?! She should be here!\Manas not here.\She never has been. response:	You never change, Haruka.
context: Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Im sorry, Mana.\What?! She should be here!\Manas not here.\She never has been.\You never change, Haruka. response:	Youre honest with yourself, and youre an idealist who never gives up.
context: Even when all you see in your path are storms\remember that your strength is no coincidence\Im sorry, Mana.\What?! She should be here!\Manas not here.\She never has been.\You never change, Haruka.\Youre honest with yourself, and youre an idealist who never gives up. response:	Just like him like Ouma Kurosu.
context: remember that your strength is no coincidence\Im sorry, Mana.\What?! She should be here!\Manas not here.\She never has been.\You never change, Haruka.\Youre honest with yourself, and youre an idealist who never gives up.\Just like him like Ouma Kurosu. response:	Youre the one who killed him, werent you
context: Im sorry, Mana.\What?! She should be here!\Manas not here.\She never has been.\You never change, Haruka.\Youre honest with yourself, and youre an idealist who never gives up.\Just like him like Ouma Kurosu.\Youre the one who killed him, werent you response:	So you knew.
context: What?! She should be here!\Manas not here.\She never has been.\You never change, Haruka.\Youre honest with yourself, and youre an idealist who never gives up.\Just like him like Ouma Kurosu.\Youre the one who killed him, werent you\So you knew. response:	Why? You were best friends!
context: Manas not here.\She never has been.\You never change, Haruka.\Youre honest with yourself, and youre an idealist who never gives up.\Just like him like Ouma Kurosu.\Youre the one who killed him, werent you\So you knew.\Why? You were best friends! response:	Best friends”? Me and him?
context: She never has been.\You never change, Haruka.\Youre honest with yourself, and youre an idealist who never gives up.\Just like him like Ouma Kurosu.\Youre the one who killed him, werent you\So you knew.\Why? You were best friends!\Best friends”? Me and him? response:	Come on, hands in the air.
context: You never change, Haruka.\Youre honest with yourself, and youre an idealist who never gives up.\Just like him like Ouma Kurosu.\Youre the one who killed him, werent you\So you knew.\Why? You were best friends!\Best friends”? Me and him?\Come on, hands in the air. response:	What is it? What do you think Ive done?
context: Youre honest with yourself, and youre an idealist who never gives up.\Just like him like Ouma Kurosu.\Youre the one who killed him, werent you\So you knew.\Why? You were best friends!\Best friends”? Me and him?\Come on, hands in the air.\What is it? What do you think Ive done? response:	Please dont move.
context: Just like him like Ouma Kurosu.\Youre the one who killed him, werent you\So you knew.\Why? You were best friends!\Best friends”? Me and him?\Come on, hands in the air.\What is it? What do you think Ive done?\Please dont move. response:	You
context: Youre the one who killed him, werent you\So you knew.\Why? You were best friends!\Best friends”? Me and him?\Come on, hands in the air.\What is it? What do you think Ive done?\Please dont move.\You response:	Is this revenge for betraying you?
context: So you knew.\Why? You were best friends!\Best friends”? Me and him?\Come on, hands in the air.\What is it? What do you think Ive done?\Please dont move.\You\Is this revenge for betraying you? response:	I dont care about what happens to me.
context: Why? You were best friends!\Best friends”? Me and him?\Come on, hands in the air.\What is it? What do you think Ive done?\Please dont move.\You\Is this revenge for betraying you?\I dont care about what happens to me. response:	Tell me where Inori is, please.
context: Best friends”? Me and him?\Come on, hands in the air.\What is it? What do you think Ive done?\Please dont move.\You\Is this revenge for betraying you?\I dont care about what happens to me.\Tell me where Inori is, please. response:	Her?!
context: Come on, hands in the air.\What is it? What do you think Ive done?\Please dont move.\You\Is this revenge for betraying you?\I dont care about what happens to me.\Tell me where Inori is, please.\Her?! response:	Attention all units.
context: What is it? What do you think Ive done?\Please dont move.\You\Is this revenge for betraying you?\I dont care about what happens to me.\Tell me where Inori is, please.\Her?!\Attention all units. response:	Dr. Ouma Haruka has committed high treason and is now on the run.
context: Please dont move.\You\Is this revenge for betraying you?\I dont care about what happens to me.\Tell me where Inori is, please.\Her?!\Attention all units.\Dr. Ouma Haruka has committed high treason and is now on the run. response:	Anyone who finds her is to arrest her on sight.
context: You\Is this revenge for betraying you?\I dont care about what happens to me.\Tell me where Inori is, please.\Her?!\Attention all units.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight. response:	Dr. Ouma Haruka has committed high treason and is now on the run.
context: Is this revenge for betraying you?\I dont care about what happens to me.\Tell me where Inori is, please.\Her?!\Attention all units.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Dr. Ouma Haruka has committed high treason and is now on the run. response:	Anyone who finds her is to arrest her on sight.
context: I dont care about what happens to me.\Tell me where Inori is, please.\Her?!\Attention all units.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight. response:	Thats one of the cases Sephirah uses to transport top secret
context: Tell me where Inori is, please.\Her?!\Attention all units.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Thats one of the cases Sephirah uses to transport top secret response:	Whats so funny?
context: Her?!\Attention all units.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Thats one of the cases Sephirah uses to transport top secret\Whats so funny? response:	Its all clear!
context: Attention all units.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Thats one of the cases Sephirah uses to transport top secret\Whats so funny?\Its all clear! response:	Im afraid that its all clear to me now!
context: Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Thats one of the cases Sephirah uses to transport top secret\Whats so funny?\Its all clear!\Im afraid that its all clear to me now! response:	Mr. President, about Dr. Ouma
context: Anyone who finds her is to arrest her on sight.\Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Thats one of the cases Sephirah uses to transport top secret\Whats so funny?\Its all clear!\Im afraid that its all clear to me now!\Mr. President, about Dr. Ouma response:	I would love to be the one you send to track her.
context: Dr. Ouma Haruka has committed high treason and is now on the run.\Anyone who finds her is to arrest her on sight.\Thats one of the cases Sephirah uses to transport top secret\Whats so funny?\Its all clear!\Im afraid that its all clear to me now!\Mr. President, about Dr. Ouma\I would love to be the one you send to track her. response:	Where are you going, Comrade Arisa?
context: Anyone who finds her is to arrest her on sight.\Thats one of the cases Sephirah uses to transport top secret\Whats so funny?\Its all clear!\Im afraid that its all clear to me now!\Mr. President, about Dr. Ouma\I would love to be the one you send to track her.\Where are you going, Comrade Arisa? response:	Im going after Dr. Ouma. Ill tell Gai myself.
context: Thats one of the cases Sephirah uses to transport top secret\Whats so funny?\Its all clear!\Im afraid that its all clear to me now!\Mr. President, about Dr. Ouma\I would love to be the one you send to track her.\Where are you going, Comrade Arisa?\Im going after Dr. Ouma. Ill tell Gai myself. response:	W-Wait! You didnt say Master”...!
context: Whats so funny?\Its all clear!\Im afraid that its all clear to me now!\Mr. President, about Dr. Ouma\I would love to be the one you send to track her.\Where are you going, Comrade Arisa?\Im going after Dr. Ouma. Ill tell Gai myself.\W-Wait! You didnt say Master”...! response:	Let me speak with Ouma Haruka once we find her.
context: Its all clear!\Im afraid that its all clear to me now!\Mr. President, about Dr. Ouma\I would love to be the one you send to track her.\Where are you going, Comrade Arisa?\Im going after Dr. Ouma. Ill tell Gai myself.\W-Wait! You didnt say Master”...!\Let me speak with Ouma Haruka once we find her. response:	Understood?
context: Im afraid that its all clear to me now!\Mr. President, about Dr. Ouma\I would love to be the one you send to track her.\Where are you going, Comrade Arisa?\Im going after Dr. Ouma. Ill tell Gai myself.\W-Wait! You didnt say Master”...!\Let me speak with Ouma Haruka once we find her.\Understood? response:	Is that your condition for telling me where Inori is?
context: Mr. President, about Dr. Ouma\I would love to be the one you send to track her.\Where are you going, Comrade Arisa?\Im going after Dr. Ouma. Ill tell Gai myself.\W-Wait! You didnt say Master”...!\Let me speak with Ouma Haruka once we find her.\Understood?\Is that your condition for telling me where Inori is? response:	Im sure she knows what Gais plan is.
context: I would love to be the one you send to track her.\Where are you going, Comrade Arisa?\Im going after Dr. Ouma. Ill tell Gai myself.\W-Wait! You didnt say Master”...!\Let me speak with Ouma Haruka once we find her.\Understood?\Is that your condition for telling me where Inori is?\Im sure she knows what Gais plan is. response:	I want to know him.
context: Where are you going, Comrade Arisa?\Im going after Dr. Ouma. Ill tell Gai myself.\W-Wait! You didnt say Master”...!\Let me speak with Ouma Haruka once we find her.\Understood?\Is that your condition for telling me where Inori is?\Im sure she knows what Gais plan is.\I want to know him. response:	His past, his desires, his weaknesses, his pains
context: Im going after Dr. Ouma. Ill tell Gai myself.\W-Wait! You didnt say Master”...!\Let me speak with Ouma Haruka once we find her.\Understood?\Is that your condition for telling me where Inori is?\Im sure she knows what Gais plan is.\I want to know him.\His past, his desires, his weaknesses, his pains response:	Everything.
context: W-Wait! You didnt say Master”...!\Let me speak with Ouma Haruka once we find her.\Understood?\Is that your condition for telling me where Inori is?\Im sure she knows what Gais plan is.\I want to know him.\His past, his desires, his weaknesses, his pains\Everything. response:	The Kuhouins I have nowhere else to go now.
context: Let me speak with Ouma Haruka once we find her.\Understood?\Is that your condition for telling me where Inori is?\Im sure she knows what Gais plan is.\I want to know him.\His past, his desires, his weaknesses, his pains\Everything.\The Kuhouins I have nowhere else to go now. response:	Dr. Ouma Haruka, am I right?
context: Understood?\Is that your condition for telling me where Inori is?\Im sure she knows what Gais plan is.\I want to know him.\His past, his desires, his weaknesses, his pains\Everything.\The Kuhouins I have nowhere else to go now.\Dr. Ouma Haruka, am I right? response:	Its been a long time, Haruka.
context: Is that your condition for telling me where Inori is?\Im sure she knows what Gais plan is.\I want to know him.\His past, his desires, his weaknesses, his pains\Everything.\The Kuhouins I have nowhere else to go now.\Dr. Ouma Haruka, am I right?\Its been a long time, Haruka. response:	Kurachi!?
context: Im sure she knows what Gais plan is.\I want to know him.\His past, his desires, his weaknesses, his pains\Everything.\The Kuhouins I have nowhere else to go now.\Dr. Ouma Haruka, am I right?\Its been a long time, Haruka.\Kurachi!? response:	When I heard you were on the run, I thought you might come here.
context: I want to know him.\His past, his desires, his weaknesses, his pains\Everything.\The Kuhouins I have nowhere else to go now.\Dr. Ouma Haruka, am I right?\Its been a long time, Haruka.\Kurachi!?\When I heard you were on the run, I thought you might come here. response:	I have slight problem.
context: His past, his desires, his weaknesses, his pains\Everything.\The Kuhouins I have nowhere else to go now.\Dr. Ouma Haruka, am I right?\Its been a long time, Haruka.\Kurachi!?\When I heard you were on the run, I thought you might come here.\I have slight problem. response:	However Im afraid that this is no longer the Kuhouin mansion.
context: Everything.\The Kuhouins I have nowhere else to go now.\Dr. Ouma Haruka, am I right?\Its been a long time, Haruka.\Kurachi!?\When I heard you were on the run, I thought you might come here.\I have slight problem.\However Im afraid that this is no longer the Kuhouin mansion. response:	Then Mr. Kuhouin?
context: The Kuhouins I have nowhere else to go now.\Dr. Ouma Haruka, am I right?\Its been a long time, Haruka.\Kurachi!?\When I heard you were on the run, I thought you might come here.\I have slight problem.\However Im afraid that this is no longer the Kuhouin mansion.\Then Mr. Kuhouin? response:	It was a heros death.
context: Dr. Ouma Haruka, am I right?\Its been a long time, Haruka.\Kurachi!?\When I heard you were on the run, I thought you might come here.\I have slight problem.\However Im afraid that this is no longer the Kuhouin mansion.\Then Mr. Kuhouin?\It was a heros death. response:	I tried to kill Mana to prevent Daath from carrying out its plan.
context: Its been a long time, Haruka.\Kurachi!?\When I heard you were on the run, I thought you might come here.\I have slight problem.\However Im afraid that this is no longer the Kuhouin mansion.\Then Mr. Kuhouin?\It was a heros death.\I tried to kill Mana to prevent Daath from carrying out its plan. response:	But I failed.
context: Kurachi!?\When I heard you were on the run, I thought you might come here.\I have slight problem.\However Im afraid that this is no longer the Kuhouin mansion.\Then Mr. Kuhouin?\It was a heros death.\I tried to kill Mana to prevent Daath from carrying out its plan.\But I failed. response:	Wait moment. I thought Mana was
context: When I heard you were on the run, I thought you might come here.\I have slight problem.\However Im afraid that this is no longer the Kuhouin mansion.\Then Mr. Kuhouin?\It was a heros death.\I tried to kill Mana to prevent Daath from carrying out its plan.\But I failed.\Wait moment. I thought Mana was response:	My daughter.
context: I have slight problem.\However Im afraid that this is no longer the Kuhouin mansion.\Then Mr. Kuhouin?\It was a heros death.\I tried to kill Mana to prevent Daath from carrying out its plan.\But I failed.\Wait moment. I thought Mana was\My daughter. response:	In other words, Shus older sister?
context: However Im afraid that this is no longer the Kuhouin mansion.\Then Mr. Kuhouin?\It was a heros death.\I tried to kill Mana to prevent Daath from carrying out its plan.\But I failed.\Wait moment. I thought Mana was\My daughter.\In other words, Shus older sister? response:	You know Shu?
context: Then Mr. Kuhouin?\It was a heros death.\I tried to kill Mana to prevent Daath from carrying out its plan.\But I failed.\Wait moment. I thought Mana was\My daughter.\In other words, Shus older sister?\You know Shu? response:	Im a member of the Undertakers.
context: It was a heros death.\I tried to kill Mana to prevent Daath from carrying out its plan.\But I failed.\Wait moment. I thought Mana was\My daughter.\In other words, Shus older sister?\You know Shu?\Im a member of the Undertakers. response:	I see. The Undertakers
context: I tried to kill Mana to prevent Daath from carrying out its plan.\But I failed.\Wait moment. I thought Mana was\My daughter.\In other words, Shus older sister?\You know Shu?\Im a member of the Undertakers.\I see. The Undertakers response:	What was Shu like?
context: But I failed.\Wait moment. I thought Mana was\My daughter.\In other words, Shus older sister?\You know Shu?\Im a member of the Undertakers.\I see. The Undertakers\What was Shu like? response:	Im his mother, but I neglected him
context: Wait moment. I thought Mana was\My daughter.\In other words, Shus older sister?\You know Shu?\Im a member of the Undertakers.\I see. The Undertakers\What was Shu like?\Im his mother, but I neglected him response:	No, thats not it.
context: My daughter.\In other words, Shus older sister?\You know Shu?\Im a member of the Undertakers.\I see. The Undertakers\What was Shu like?\Im his mother, but I neglected him\No, thats not it. response:	Ive just been running away from him, havent I?
context: In other words, Shus older sister?\You know Shu?\Im a member of the Undertakers.\I see. The Undertakers\What was Shu like?\Im his mother, but I neglected him\No, thats not it.\Ive just been running away from him, havent I? response:	Haruka isnt my real mother.
context: You know Shu?\Im a member of the Undertakers.\I see. The Undertakers\What was Shu like?\Im his mother, but I neglected him\No, thats not it.\Ive just been running away from him, havent I?\Haruka isnt my real mother. response:	She got remarried to my father, but he died shortly after.
context: Im a member of the Undertakers.\I see. The Undertakers\What was Shu like?\Im his mother, but I neglected him\No, thats not it.\Ive just been running away from him, havent I?\Haruka isnt my real mother.\She got remarried to my father, but he died shortly after. response:	She raised me anyway, though.
context: I see. The Undertakers\What was Shu like?\Im his mother, but I neglected him\No, thats not it.\Ive just been running away from him, havent I?\Haruka isnt my real mother.\She got remarried to my father, but he died shortly after.\She raised me anyway, though. response:	It wasnt out of a sense of duty or anything.
context: What was Shu like?\Im his mother, but I neglected him\No, thats not it.\Ive just been running away from him, havent I?\Haruka isnt my real mother.\She got remarried to my father, but he died shortly after.\She raised me anyway, though.\It wasnt out of a sense of duty or anything. response:	I really did care about Shu.
context: Im his mother, but I neglected him\No, thats not it.\Ive just been running away from him, havent I?\Haruka isnt my real mother.\She got remarried to my father, but he died shortly after.\She raised me anyway, though.\It wasnt out of a sense of duty or anything.\I really did care about Shu. response:	Shu lost a parent, and I lost him
context: No, thats not it.\Ive just been running away from him, havent I?\Haruka isnt my real mother.\She got remarried to my father, but he died shortly after.\She raised me anyway, though.\It wasnt out of a sense of duty or anything.\I really did care about Shu.\Shu lost a parent, and I lost him response:	Still, the two of us were
context: Ive just been running away from him, havent I?\Haruka isnt my real mother.\She got remarried to my father, but he died shortly after.\She raised me anyway, though.\It wasnt out of a sense of duty or anything.\I really did care about Shu.\Shu lost a parent, and I lost him\Still, the two of us were response:	Yes, perhaps we were only licking each others wounds.
context: Haruka isnt my real mother.\She got remarried to my father, but he died shortly after.\She raised me anyway, though.\It wasnt out of a sense of duty or anything.\I really did care about Shu.\Shu lost a parent, and I lost him\Still, the two of us were\Yes, perhaps we were only licking each others wounds. response:	Then you can assure me that this building is a hideout of the Undertakers?
context: She got remarried to my father, but he died shortly after.\She raised me anyway, though.\It wasnt out of a sense of duty or anything.\I really did care about Shu.\Shu lost a parent, and I lost him\Still, the two of us were\Yes, perhaps we were only licking each others wounds.\Then you can assure me that this building is a hideout of the Undertakers? response:	Y-Yes
context: She raised me anyway, though.\It wasnt out of a sense of duty or anything.\I really did care about Shu.\Shu lost a parent, and I lost him\Still, the two of us were\Yes, perhaps we were only licking each others wounds.\Then you can assure me that this building is a hideout of the Undertakers?\Y-Yes response:	I cant hear you!
context: It wasnt out of a sense of duty or anything.\I really did care about Shu.\Shu lost a parent, and I lost him\Still, the two of us were\Yes, perhaps we were only licking each others wounds.\Then you can assure me that this building is a hideout of the Undertakers?\Y-Yes\I cant hear you! response:	I-Im not lying! Please believe me!
context: I really did care about Shu.\Shu lost a parent, and I lost him\Still, the two of us were\Yes, perhaps we were only licking each others wounds.\Then you can assure me that this building is a hideout of the Undertakers?\Y-Yes\I cant hear you!\I-Im not lying! Please believe me! response:	Im picking up a signal, Sir. Its the real thing.
context: Shu lost a parent, and I lost him\Still, the two of us were\Yes, perhaps we were only licking each others wounds.\Then you can assure me that this building is a hideout of the Undertakers?\Y-Yes\I cant hear you!\I-Im not lying! Please believe me!\Im picking up a signal, Sir. Its the real thing. response:	Magnificent. Youre an honest woman.
context: Still, the two of us were\Yes, perhaps we were only licking each others wounds.\Then you can assure me that this building is a hideout of the Undertakers?\Y-Yes\I cant hear you!\I-Im not lying! Please believe me!\Im picking up a signal, Sir. Its the real thing.\Magnificent. Youre an honest woman. response:	This is just a small token of my thanks.
context: Yes, perhaps we were only licking each others wounds.\Then you can assure me that this building is a hideout of the Undertakers?\Y-Yes\I cant hear you!\I-Im not lying! Please believe me!\Im picking up a signal, Sir. Its the real thing.\Magnificent. Youre an honest woman.\This is just a small token of my thanks. response:	Someones here.
context: Then you can assure me that this building is a hideout of the Undertakers?\Y-Yes\I cant hear you!\I-Im not lying! Please believe me!\Im picking up a signal, Sir. Its the real thing.\Magnificent. Youre an honest woman.\This is just a small token of my thanks.\Someones here. response:	Excuse me, we heard that there was vaccine here
context: Y-Yes\I cant hear you!\I-Im not lying! Please believe me!\Im picking up a signal, Sir. Its the real thing.\Magnificent. Youre an honest woman.\This is just a small token of my thanks.\Someones here.\Excuse me, we heard that there was vaccine here response:	How much would you charge for some?
context: I cant hear you!\I-Im not lying! Please believe me!\Im picking up a signal, Sir. Its the real thing.\Magnificent. Youre an honest woman.\This is just a small token of my thanks.\Someones here.\Excuse me, we heard that there was vaccine here\How much would you charge for some? response:	We heard that the government stockpiles are running out
context: I-Im not lying! Please believe me!\Im picking up a signal, Sir. Its the real thing.\Magnificent. Youre an honest woman.\This is just a small token of my thanks.\Someones here.\Excuse me, we heard that there was vaccine here\How much would you charge for some?\We heard that the government stockpiles are running out response:	I have two young children at home! Please!
context: Im picking up a signal, Sir. Its the real thing.\Magnificent. Youre an honest woman.\This is just a small token of my thanks.\Someones here.\Excuse me, we heard that there was vaccine here\How much would you charge for some?\We heard that the government stockpiles are running out\I have two young children at home! Please! response:	You want to keep it all to yourself, dont you? Despicable!
context: Magnificent. Youre an honest woman.\This is just a small token of my thanks.\Someones here.\Excuse me, we heard that there was vaccine here\How much would you charge for some?\We heard that the government stockpiles are running out\I have two young children at home! Please!\You want to keep it all to yourself, dont you? Despicable! response:	Yeah, hes right!
context: This is just a small token of my thanks.\Someones here.\Excuse me, we heard that there was vaccine here\How much would you charge for some?\We heard that the government stockpiles are running out\I have two young children at home! Please!\You want to keep it all to yourself, dont you? Despicable!\Yeah, hes right! response:	Come out and face us!
context: Someones here.\Excuse me, we heard that there was vaccine here\How much would you charge for some?\We heard that the government stockpiles are running out\I have two young children at home! Please!\You want to keep it all to yourself, dont you? Despicable!\Yeah, hes right!\Come out and face us! response:	Open the door!
context: Excuse me, we heard that there was vaccine here\How much would you charge for some?\We heard that the government stockpiles are running out\I have two young children at home! Please!\You want to keep it all to yourself, dont you? Despicable!\Yeah, hes right!\Come out and face us!\Open the door! response:	We said wed pay you!
context: How much would you charge for some?\We heard that the government stockpiles are running out\I have two young children at home! Please!\You want to keep it all to yourself, dont you? Despicable!\Yeah, hes right!\Come out and face us!\Open the door!\We said wed pay you! response:	Youre mistaken. Theres no vaccine here.
context: We heard that the government stockpiles are running out\I have two young children at home! Please!\You want to keep it all to yourself, dont you? Despicable!\Yeah, hes right!\Come out and face us!\Open the door!\We said wed pay you!\Youre mistaken. Theres no vaccine here. response:	Liar!
context: I have two young children at home! Please!\You want to keep it all to yourself, dont you? Despicable!\Yeah, hes right!\Come out and face us!\Open the door!\We said wed pay you!\Youre mistaken. Theres no vaccine here.\Liar! response:	You cant fool us.
context: You want to keep it all to yourself, dont you? Despicable!\Yeah, hes right!\Come out and face us!\Open the door!\We said wed pay you!\Youre mistaken. Theres no vaccine here.\Liar!\You cant fool us. response:	Show us you really dont have any!
context: Yeah, hes right!\Come out and face us!\Open the door!\We said wed pay you!\Youre mistaken. Theres no vaccine here.\Liar!\You cant fool us.\Show us you really dont have any! response:	All right. Ill open the door, so come and see for yourselves.
context: Come out and face us!\Open the door!\We said wed pay you!\Youre mistaken. Theres no vaccine here.\Liar!\You cant fool us.\Show us you really dont have any!\All right. Ill open the door, so come and see for yourselves. response:	See? Its just an office.
context: Open the door!\We said wed pay you!\Youre mistaken. Theres no vaccine here.\Liar!\You cant fool us.\Show us you really dont have any!\All right. Ill open the door, so come and see for yourselves.\See? Its just an office. response:	Theres no vaccine anywhere.
context: We said wed pay you!\Youre mistaken. Theres no vaccine here.\Liar!\You cant fool us.\Show us you really dont have any!\All right. Ill open the door, so come and see for yourselves.\See? Its just an office.\Theres no vaccine anywhere. response:	Being a champion of justice just doesn't pay.
context: Youre mistaken. Theres no vaccine here.\Liar!\You cant fool us.\Show us you really dont have any!\All right. Ill open the door, so come and see for yourselves.\See? Its just an office.\Theres no vaccine anywhere.\Being a champion of justice just doesn't pay. response:	Ogumo!
context: Liar!\You cant fool us.\Show us you really dont have any!\All right. Ill open the door, so come and see for yourselves.\See? Its just an office.\Theres no vaccine anywhere.\Being a champion of justice just doesn't pay.\Ogumo! response:	Dont worry about me! Just run!
context: You cant fool us.\Show us you really dont have any!\All right. Ill open the door, so come and see for yourselves.\See? Its just an office.\Theres no vaccine anywhere.\Being a champion of justice just doesn't pay.\Ogumo!\Dont worry about me! Just run! response:	You too.
context: Show us you really dont have any!\All right. Ill open the door, so come and see for yourselves.\See? Its just an office.\Theres no vaccine anywhere.\Being a champion of justice just doesn't pay.\Ogumo!\Dont worry about me! Just run!\You too. response:	You bastard!
context: All right. Ill open the door, so come and see for yourselves.\See? Its just an office.\Theres no vaccine anywhere.\Being a champion of justice just doesn't pay.\Ogumo!\Dont worry about me! Just run!\You too.\You bastard! response:	Too bad.
context: See? Its just an office.\Theres no vaccine anywhere.\Being a champion of justice just doesn't pay.\Ogumo!\Dont worry about me! Just run!\You too.\You bastard!\Too bad. response:	We seem to be short two
