context: Brother! response:	You're here again?
context: I'll pray for your success.\I'm going.\I don't get it.\You don't know the word hideout?\That's not what I meant!\Why do we have to hang out in a place like this?\Very soon, the main Kiss troop will rendezvous with us.\My ship's not gonna be able to hold all of us at once. response:	Then this is all a plan to take the Vox?
context: I'm going.\I don't get it.\You don't know the word hideout?\That's not what I meant!\Why do we have to hang out in a place like this?\Very soon, the main Kiss troop will rendezvous with us.\My ship's not gonna be able to hold all of us at once.\Then this is all a plan to take the Vox? response:	Easy, now! You three will stay away from the Vox.
context: I don't get it.\You don't know the word hideout?\That's not what I meant!\Why do we have to hang out in a place like this?\Very soon, the main Kiss troop will rendezvous with us.\My ship's not gonna be able to hold all of us at once.\Then this is all a plan to take the Vox?\Easy, now! You three will stay away from the Vox. response:	Got that?
context: You don't know the word hideout?\That's not what I meant!\Why do we have to hang out in a place like this?\Very soon, the main Kiss troop will rendezvous with us.\My ship's not gonna be able to hold all of us at once.\Then this is all a plan to take the Vox?\Easy, now! You three will stay away from the Vox.\Got that? response:	I'll contact you once everything is ready.
context: That's not what I meant!\Why do we have to hang out in a place like this?\Very soon, the main Kiss troop will rendezvous with us.\My ship's not gonna be able to hold all of us at once.\Then this is all a plan to take the Vox?\Easy, now! You three will stay away from the Vox.\Got that?\I'll contact you once everything is ready. response:	Be with Kiss!
context: Why do we have to hang out in a place like this?\Very soon, the main Kiss troop will rendezvous with us.\My ship's not gonna be able to hold all of us at once.\Then this is all a plan to take the Vox?\Easy, now! You three will stay away from the Vox.\Got that?\I'll contact you once everything is ready.\Be with Kiss! response:	Departing Katsuura, Heading to Kamogawa
context: Very soon, the main Kiss troop will rendezvous with us.\My ship's not gonna be able to hold all of us at once.\Then this is all a plan to take the Vox?\Easy, now! You three will stay away from the Vox.\Got that?\I'll contact you once everything is ready.\Be with Kiss!\Departing Katsuura, Heading to Kamogawa response:	Departing Katsuura, Heading to Kamogawa
context: My ship's not gonna be able to hold all of us at once.\Then this is all a plan to take the Vox?\Easy, now! You three will stay away from the Vox.\Got that?\I'll contact you once everything is ready.\Be with Kiss!\Departing Katsuura, Heading to Kamogawa\Departing Katsuura, Heading to Kamogawa response:	Be with Kiss!
context: Then this is all a plan to take the Vox?\Easy, now! You three will stay away from the Vox.\Got that?\I'll contact you once everything is ready.\Be with Kiss!\Departing Katsuura, Heading to Kamogawa\Departing Katsuura, Heading to Kamogawa\Be with Kiss! response:	What was that all about?
context: Easy, now! You three will stay away from the Vox.\Got that?\I'll contact you once everything is ready.\Be with Kiss!\Departing Katsuura, Heading to Kamogawa\Departing Katsuura, Heading to Kamogawa\Be with Kiss!\What was that all about? response:	Do you guys do that kind of thing often?
context: Got that?\I'll contact you once everything is ready.\Be with Kiss!\Departing Katsuura, Heading to Kamogawa\Departing Katsuura, Heading to Kamogawa\Be with Kiss!\What was that all about?\Do you guys do that kind of thing often? response:	Nope, that was a first.
context: I'll contact you once everything is ready.\Be with Kiss!\Departing Katsuura, Heading to Kamogawa\Departing Katsuura, Heading to Kamogawa\Be with Kiss!\What was that all about?\Do you guys do that kind of thing often?\Nope, that was a first. response:	He probably made it up just now.
context: Be with Kiss!\Departing Katsuura, Heading to Kamogawa\Departing Katsuura, Heading to Kamogawa\Be with Kiss!\What was that all about?\Do you guys do that kind of thing often?\Nope, that was a first.\He probably made it up just now. response:	And why do we have to take orders from him anyway?
context: Departing Katsuura, Heading to Kamogawa\Departing Katsuura, Heading to Kamogawa\Be with Kiss!\What was that all about?\Do you guys do that kind of thing often?\Nope, that was a first.\He probably made it up just now.\And why do we have to take orders from him anyway? response:	That's what you get for becoming Villagiulio's lackeys.
context: Departing Katsuura, Heading to Kamogawa\Be with Kiss!\What was that all about?\Do you guys do that kind of thing often?\Nope, that was a first.\He probably made it up just now.\And why do we have to take orders from him anyway?\That's what you get for becoming Villagiulio's lackeys. response:	I don't remember ever agreeing to that!
context: Be with Kiss!\What was that all about?\Do you guys do that kind of thing often?\Nope, that was a first.\He probably made it up just now.\And why do we have to take orders from him anyway?\That's what you get for becoming Villagiulio's lackeys.\I don't remember ever agreeing to that! response:	And whose lackey are you, dressed up like that?
context: What was that all about?\Do you guys do that kind of thing often?\Nope, that was a first.\He probably made it up just now.\And why do we have to take orders from him anyway?\That's what you get for becoming Villagiulio's lackeys.\I don't remember ever agreeing to that!\And whose lackey are you, dressed up like that? response:	You think I wanted to wear this?
context: Do you guys do that kind of thing often?\Nope, that was a first.\He probably made it up just now.\And why do we have to take orders from him anyway?\That's what you get for becoming Villagiulio's lackeys.\I don't remember ever agreeing to that!\And whose lackey are you, dressed up like that?\You think I wanted to wear this? response:	I had no choice!
context: Nope, that was a first.\He probably made it up just now.\And why do we have to take orders from him anyway?\That's what you get for becoming Villagiulio's lackeys.\I don't remember ever agreeing to that!\And whose lackey are you, dressed up like that?\You think I wanted to wear this?\I had no choice! response:	I was already in these clothes when I woke up!
context: He probably made it up just now.\And why do we have to take orders from him anyway?\That's what you get for becoming Villagiulio's lackeys.\I don't remember ever agreeing to that!\And whose lackey are you, dressed up like that?\You think I wanted to wear this?\I had no choice!\I was already in these clothes when I woke up! response:	I bet you think it looks good on you, too.
context: And why do we have to take orders from him anyway?\That's what you get for becoming Villagiulio's lackeys.\I don't remember ever agreeing to that!\And whose lackey are you, dressed up like that?\You think I wanted to wear this?\I had no choice!\I was already in these clothes when I woke up!\I bet you think it looks good on you, too. response:	The hell I do!
context: That's what you get for becoming Villagiulio's lackeys.\I don't remember ever agreeing to that!\And whose lackey are you, dressed up like that?\You think I wanted to wear this?\I had no choice!\I was already in these clothes when I woke up!\I bet you think it looks good on you, too.\The hell I do! response:	Wow!
context: I don't remember ever agreeing to that!\And whose lackey are you, dressed up like that?\You think I wanted to wear this?\I had no choice!\I was already in these clothes when I woke up!\I bet you think it looks good on you, too.\The hell I do!\Wow! response:	Look, you can see the ocean right outside!
context: And whose lackey are you, dressed up like that?\You think I wanted to wear this?\I had no choice!\I was already in these clothes when I woke up!\I bet you think it looks good on you, too.\The hell I do!\Wow!\Look, you can see the ocean right outside! response:	Oh, there's a little kitchen too!
context: You think I wanted to wear this?\I had no choice!\I was already in these clothes when I woke up!\I bet you think it looks good on you, too.\The hell I do!\Wow!\Look, you can see the ocean right outside!\Oh, there's a little kitchen too! response:	And a closet!
context: I had no choice!\I was already in these clothes when I woke up!\I bet you think it looks good on you, too.\The hell I do!\Wow!\Look, you can see the ocean right outside!\Oh, there's a little kitchen too!\And a closet! response:	Hey, why don't we put up some nice blue curtains?
context: I was already in these clothes when I woke up!\I bet you think it looks good on you, too.\The hell I do!\Wow!\Look, you can see the ocean right outside!\Oh, there's a little kitchen too!\And a closet!\Hey, why don't we put up some nice blue curtains? response:	Just imagine waking up each morning feeling like you're at the bottom of the sea!
context: I bet you think it looks good on you, too.\The hell I do!\Wow!\Look, you can see the ocean right outside!\Oh, there's a little kitchen too!\And a closet!\Hey, why don't we put up some nice blue curtains?\Just imagine waking up each morning feeling like you're at the bottom of the sea! response:	Can we pretend none of that just happened?
context: The hell I do!\Wow!\Look, you can see the ocean right outside!\Oh, there's a little kitchen too!\And a closet!\Hey, why don't we put up some nice blue curtains?\Just imagine waking up each morning feeling like you're at the bottom of the sea!\Can we pretend none of that just happened? response:	Huh?
context: Wow!\Look, you can see the ocean right outside!\Oh, there's a little kitchen too!\And a closet!\Hey, why don't we put up some nice blue curtains?\Just imagine waking up each morning feeling like you're at the bottom of the sea!\Can we pretend none of that just happened?\Huh? response:	Yeah...
context: Look, you can see the ocean right outside!\Oh, there's a little kitchen too!\And a closet!\Hey, why don't we put up some nice blue curtains?\Just imagine waking up each morning feeling like you're at the bottom of the sea!\Can we pretend none of that just happened?\Huh?\Yeah... response:	That's a good idea.
context: Oh, there's a little kitchen too!\And a closet!\Hey, why don't we put up some nice blue curtains?\Just imagine waking up each morning feeling like you're at the bottom of the sea!\Can we pretend none of that just happened?\Huh?\Yeah...\That's a good idea. response:	Kamo Girl's
context: And a closet!\Hey, why don't we put up some nice blue curtains?\Just imagine waking up each morning feeling like you're at the bottom of the sea!\Can we pretend none of that just happened?\Huh?\Yeah...\That's a good idea.\Kamo Girl's response:	Kamo Girl's
context: Hey, why don't we put up some nice blue curtains?\Just imagine waking up each morning feeling like you're at the bottom of the sea!\Can we pretend none of that just happened?\Huh?\Yeah...\That's a good idea.\Kamo Girl's\Kamo Girl's response:	Oraga
context: Just imagine waking up each morning feeling like you're at the bottom of the sea!\Can we pretend none of that just happened?\Huh?\Yeah...\That's a good idea.\Kamo Girl's\Kamo Girl's\Oraga response:	Oraga
context: Can we pretend none of that just happened?\Huh?\Yeah...\That's a good idea.\Kamo Girl's\Kamo Girl's\Oraga\Oraga response:	Oraga
context: Huh?\Yeah...\That's a good idea.\Kamo Girl's\Kamo Girl's\Oraga\Oraga\Oraga response:	Oraga
context: Yeah...\That's a good idea.\Kamo Girl's\Kamo Girl's\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: That's a good idea.\Kamo Girl's\Kamo Girl's\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Kamo Girl's\Kamo Girl's\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Kamo Girl's\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Oraga
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga response:	Art
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Art response:	Art
context: Oraga\Oraga\Oraga\Oraga\Oraga\Oraga\Art\Art response:	Art
context: Oraga\Oraga\Oraga\Oraga\Oraga\Art\Art\Art response:	Art
context: Oraga\Oraga\Oraga\Oraga\Art\Art\Art\Art response:	Art
context: Oraga\Oraga\Oraga\Art\Art\Art\Art\Art response:	Art
context: Oraga\Oraga\Art\Art\Art\Art\Art\Art response:	Art
context: Oraga\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Art
context: Art\Art\Art\Art\Art\Art\Art\Art response:	Festival
context: Art\Art\Art\Art\Art\Art\Art\Festival response:	Festival
context: Art\Art\Art\Art\Art\Art\Festival\Festival response:	Festival
context: Art\Art\Art\Art\Art\Festival\Festival\Festival response:	Festival
context: Art\Art\Art\Art\Festival\Festival\Festival\Festival response:	Festival
context: Art\Art\Art\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Art\Art\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Art\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	Festival
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\Festival response:	86th Annual
context: Festival\Festival\Festival\Festival\Festival\Festival\Festival\86th Annual response:	86th Annual
context: Festival\Festival\Festival\Festival\Festival\Festival\86th Annual\86th Annual response:	86th Annual
context: Festival\Festival\Festival\Festival\Festival\86th Annual\86th Annual\86th Annual response:	86th Annual
context: Festival\Festival\Festival\Festival\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: Festival\Festival\Festival\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: Festival\Festival\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: Festival\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
context: 86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual\86th Annual response:	86th Annual
