context: Party is over response:	But I still wanna dance
context: What's wrong?\You must have a fever.\You shouldn't be in the water. Come.\Oh no, hang on there.\Hey!\I've never seen him so weak before.\It must be because of his wounds.\But he's also regained many things from the demons. response:	Maybe he's having trouble adjusting.
context: You must have a fever.\You shouldn't be in the water. Come.\Oh no, hang on there.\Hey!\I've never seen him so weak before.\It must be because of his wounds.\But he's also regained many things from the demons.\Maybe he's having trouble adjusting. response:	Here are some old rags, but they're clean.
context: You shouldn't be in the water. Come.\Oh no, hang on there.\Hey!\I've never seen him so weak before.\It must be because of his wounds.\But he's also regained many things from the demons.\Maybe he's having trouble adjusting.\Here are some old rags, but they're clean. response:	-Thanks. -Mio, was it?
context: Oh no, hang on there.\Hey!\I've never seen him so weak before.\It must be because of his wounds.\But he's also regained many things from the demons.\Maybe he's having trouble adjusting.\Here are some old rags, but they're clean.\-Thanks. -Mio, was it? response:	Forgive us for causing you so much trouble.
context: Hey!\I've never seen him so weak before.\It must be because of his wounds.\But he's also regained many things from the demons.\Maybe he's having trouble adjusting.\Here are some old rags, but they're clean.\-Thanks. -Mio, was it?\Forgive us for causing you so much trouble. response:	Not at all. Please stay until he's better.
context: I've never seen him so weak before.\It must be because of his wounds.\But he's also regained many things from the demons.\Maybe he's having trouble adjusting.\Here are some old rags, but they're clean.\-Thanks. -Mio, was it?\Forgive us for causing you so much trouble.\Not at all. Please stay until he's better. response:	Can we?
context: It must be because of his wounds.\But he's also regained many things from the demons.\Maybe he's having trouble adjusting.\Here are some old rags, but they're clean.\-Thanks. -Mio, was it?\Forgive us for causing you so much trouble.\Not at all. Please stay until he's better.\Can we? response:	Of course. There are lots of people here like your big brother.
context: But he's also regained many things from the demons.\Maybe he's having trouble adjusting.\Here are some old rags, but they're clean.\-Thanks. -Mio, was it?\Forgive us for causing you so much trouble.\Not at all. Please stay until he's better.\Can we?\Of course. There are lots of people here like your big brother. response:	We're all used to it.
context: Maybe he's having trouble adjusting.\Here are some old rags, but they're clean.\-Thanks. -Mio, was it?\Forgive us for causing you so much trouble.\Not at all. Please stay until he's better.\Can we?\Of course. There are lots of people here like your big brother.\We're all used to it. response:	Don't be shy, say hello kids.
context: Here are some old rags, but they're clean.\-Thanks. -Mio, was it?\Forgive us for causing you so much trouble.\Not at all. Please stay until he's better.\Can we?\Of course. There are lots of people here like your big brother.\We're all used to it.\Don't be shy, say hello kids. response:	There was a terrible war.
context: -Thanks. -Mio, was it?\Forgive us for causing you so much trouble.\Not at all. Please stay until he's better.\Can we?\Of course. There are lots of people here like your big brother.\We're all used to it.\Don't be shy, say hello kids.\There was a terrible war. response:	We lost our houses and everything we had.
context: Forgive us for causing you so much trouble.\Not at all. Please stay until he's better.\Can we?\Of course. There are lots of people here like your big brother.\We're all used to it.\Don't be shy, say hello kids.\There was a terrible war.\We lost our houses and everything we had. response:	So we all live together here.
context: Not at all. Please stay until he's better.\Can we?\Of course. There are lots of people here like your big brother.\We're all used to it.\Don't be shy, say hello kids.\There was a terrible war.\We lost our houses and everything we had.\So we all live together here. response:	So none of them have dads or moms?
context: Can we?\Of course. There are lots of people here like your big brother.\We're all used to it.\Don't be shy, say hello kids.\There was a terrible war.\We lost our houses and everything we had.\So we all live together here.\So none of them have dads or moms? response:	Right. But they're all wonderful children.
context: Of course. There are lots of people here like your big brother.\We're all used to it.\Don't be shy, say hello kids.\There was a terrible war.\We lost our houses and everything we had.\So we all live together here.\So none of them have dads or moms?\Right. But they're all wonderful children. response:	We make do somehow, even though they're all young.
context: We're all used to it.\Don't be shy, say hello kids.\There was a terrible war.\We lost our houses and everything we had.\So we all live together here.\So none of them have dads or moms?\Right. But they're all wonderful children.\We make do somehow, even though they're all young. response:	Sis Mio, you're still up?
context: Don't be shy, say hello kids.\There was a terrible war.\We lost our houses and everything we had.\So we all live together here.\So none of them have dads or moms?\Right. But they're all wonderful children.\We make do somehow, even though they're all young.\Sis Mio, you're still up? response:	Come out, out you guys.
context: There was a terrible war.\We lost our houses and everything we had.\So we all live together here.\So none of them have dads or moms?\Right. But they're all wonderful children.\We make do somehow, even though they're all young.\Sis Mio, you're still up?\Come out, out you guys. response:	Sis Mio, you better get some sleep while you can.
context: We lost our houses and everything we had.\So we all live together here.\So none of them have dads or moms?\Right. But they're all wonderful children.\We make do somehow, even though they're all young.\Sis Mio, you're still up?\Come out, out you guys.\Sis Mio, you better get some sleep while you can. response:	I'll watch over the hurt guy, so you go to sleep.
context: So we all live together here.\So none of them have dads or moms?\Right. But they're all wonderful children.\We make do somehow, even though they're all young.\Sis Mio, you're still up?\Come out, out you guys.\Sis Mio, you better get some sleep while you can.\I'll watch over the hurt guy, so you go to sleep. response:	Okay, okay.
context: So none of them have dads or moms?\Right. But they're all wonderful children.\We make do somehow, even though they're all young.\Sis Mio, you're still up?\Come out, out you guys.\Sis Mio, you better get some sleep while you can.\I'll watch over the hurt guy, so you go to sleep.\Okay, okay. response:	If you need anything, ask Takebo here.
context: Right. But they're all wonderful children.\We make do somehow, even though they're all young.\Sis Mio, you're still up?\Come out, out you guys.\Sis Mio, you better get some sleep while you can.\I'll watch over the hurt guy, so you go to sleep.\Okay, okay.\If you need anything, ask Takebo here. response:	Hurry up. I made breakfast so eat it before you sleep.
context: We make do somehow, even though they're all young.\Sis Mio, you're still up?\Come out, out you guys.\Sis Mio, you better get some sleep while you can.\I'll watch over the hurt guy, so you go to sleep.\Okay, okay.\If you need anything, ask Takebo here.\Hurry up. I made breakfast so eat it before you sleep. response:	I will, I will.
context: Sis Mio, you're still up?\Come out, out you guys.\Sis Mio, you better get some sleep while you can.\I'll watch over the hurt guy, so you go to sleep.\Okay, okay.\If you need anything, ask Takebo here.\Hurry up. I made breakfast so eat it before you sleep.\I will, I will. response:	There's some for you guys, too.
context: Come out, out you guys.\Sis Mio, you better get some sleep while you can.\I'll watch over the hurt guy, so you go to sleep.\Okay, okay.\If you need anything, ask Takebo here.\Hurry up. I made breakfast so eat it before you sleep.\I will, I will.\There's some for you guys, too. response:	Potato gruel. Eat up.
context: Sis Mio, you better get some sleep while you can.\I'll watch over the hurt guy, so you go to sleep.\Okay, okay.\If you need anything, ask Takebo here.\Hurry up. I made breakfast so eat it before you sleep.\I will, I will.\There's some for you guys, too.\Potato gruel. Eat up. response:	T-Thanks.
context: I'll watch over the hurt guy, so you go to sleep.\Okay, okay.\If you need anything, ask Takebo here.\Hurry up. I made breakfast so eat it before you sleep.\I will, I will.\There's some for you guys, too.\Potato gruel. Eat up.\T-Thanks. response:	You need help?
context: Okay, okay.\If you need anything, ask Takebo here.\Hurry up. I made breakfast so eat it before you sleep.\I will, I will.\There's some for you guys, too.\Potato gruel. Eat up.\T-Thanks.\You need help? response:	Nah, you watch over your guy.
context: If you need anything, ask Takebo here.\Hurry up. I made breakfast so eat it before you sleep.\I will, I will.\There's some for you guys, too.\Potato gruel. Eat up.\T-Thanks.\You need help?\Nah, you watch over your guy. response:	I can't just sit here and do nothing in return.
context: Hurry up. I made breakfast so eat it before you sleep.\I will, I will.\There's some for you guys, too.\Potato gruel. Eat up.\T-Thanks.\You need help?\Nah, you watch over your guy.\I can't just sit here and do nothing in return. response:	At least let me work for how much you feed us.
context: I will, I will.\There's some for you guys, too.\Potato gruel. Eat up.\T-Thanks.\You need help?\Nah, you watch over your guy.\I can't just sit here and do nothing in return.\At least let me work for how much you feed us. response:	You're a good guy, huh.
