context: The blue sky! The sparkling sun! response:	Summer vacation is finally here for us girls!
context: In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	I'm Usagi Tsukino. I don't look like a super heroine, but I am!
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am! response:	As you know, I transform myself by using a peculiar brooch
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch response:	and fight against bad guys.
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys. response:	I'm the sailor warrior of love and justice, Sailor Moon!
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon! response:	And my friends are the smart and sweet Ami Mizuno,
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno, response:	and a slightly quick-tempered psychic girl, Rei Hino.
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino. response:	Both of them are so dependable, I feel like I'll fall behind.
context: Shinjite iru no miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind. response:	But anyway, I just have to do my best!
context: I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best! response:	The Summer! The Ocean! Our Youth! And A Ghost, Too
context: As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\The Summer! The Ocean! Our Youth! And A Ghost, Too response:	There!
context: and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\The Summer! The Ocean! Our Youth! And A Ghost, Too\There! response:	We're here! We're here!
context: I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\The Summer! The Ocean! Our Youth! And A Ghost, Too\There!\We're here! We're here! response:	The Kagawa We're here! We're here!
context: And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\The Summer! The Ocean! Our Youth! And A Ghost, Too\There!\We're here! We're here!\The Kagawa We're here! We're here! response:	The Kagawa
context: and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\The Summer! The Ocean! Our Youth! And A Ghost, Too\There!\We're here! We're here!\The Kagawa We're here! We're here!\The Kagawa response:	Wow!
context: Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\The Summer! The Ocean! Our Youth! And A Ghost, Too\There!\We're here! We're here!\The Kagawa We're here! We're here!\The Kagawa\Wow! response:	It's the ocean!
context: But anyway, I just have to do my best!\The Summer! The Ocean! Our Youth! And A Ghost, Too\There!\We're here! We're here!\The Kagawa We're here! We're here!\The Kagawa\Wow!\It's the ocean! response:	The smell of the ocean is so good!
context: The Summer! The Ocean! Our Youth! And A Ghost, Too\There!\We're here! We're here!\The Kagawa We're here! We're here!\The Kagawa\Wow!\It's the ocean!\The smell of the ocean is so good! response:	It seems like a nice place.
context: There!\We're here! We're here!\The Kagawa We're here! We're here!\The Kagawa\Wow!\It's the ocean!\The smell of the ocean is so good!\It seems like a nice place. response:	I wish I could have brought Naru, too.
context: We're here! We're here!\The Kagawa We're here! We're here!\The Kagawa\Wow!\It's the ocean!\The smell of the ocean is so good!\It seems like a nice place.\I wish I could have brought Naru, too. response:	Usagi, this trip is not for fun!
context: The Kagawa We're here! We're here!\The Kagawa\Wow!\It's the ocean!\The smell of the ocean is so good!\It seems like a nice place.\I wish I could have brought Naru, too.\Usagi, this trip is not for fun! response:	We came all this way for training camp to become better sailor warriors!
context: The Kagawa\Wow!\It's the ocean!\The smell of the ocean is so good!\It seems like a nice place.\I wish I could have brought Naru, too.\Usagi, this trip is not for fun!\We came all this way for training camp to become better sailor warriors! response:	I know that!
context: Wow!\It's the ocean!\The smell of the ocean is so good!\It seems like a nice place.\I wish I could have brought Naru, too.\Usagi, this trip is not for fun!\We came all this way for training camp to become better sailor warriors!\I know that! response:	Inaka Hama
context: It's the ocean!\The smell of the ocean is so good!\It seems like a nice place.\I wish I could have brought Naru, too.\Usagi, this trip is not for fun!\We came all this way for training camp to become better sailor warriors!\I know that!\Inaka Hama response:	Inaka Hama I'm so happy! I'm so happy!
context: The smell of the ocean is so good!\It seems like a nice place.\I wish I could have brought Naru, too.\Usagi, this trip is not for fun!\We came all this way for training camp to become better sailor warriors!\I know that!\Inaka Hama\Inaka Hama I'm so happy! I'm so happy! response:	Inaka Hama Is the pension you reserved close by? I'm so happy! I'm so happy!
context: It seems like a nice place.\I wish I could have brought Naru, too.\Usagi, this trip is not for fun!\We came all this way for training camp to become better sailor warriors!\I know that!\Inaka Hama\Inaka Hama I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by? I'm so happy! I'm so happy! response:	Inaka Hama Is the pension you reserved close by?
context: I wish I could have brought Naru, too.\Usagi, this trip is not for fun!\We came all this way for training camp to become better sailor warriors!\I know that!\Inaka Hama\Inaka Hama I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by? I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by? response:	Inaka Hama Yes, it looks like it's on the headland up ahead.
context: Usagi, this trip is not for fun!\We came all this way for training camp to become better sailor warriors!\I know that!\Inaka Hama\Inaka Hama I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by? I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by?\Inaka Hama Yes, it looks like it's on the headland up ahead. response:	Yes, it looks like it's on the headland up ahead.
context: We came all this way for training camp to become better sailor warriors!\I know that!\Inaka Hama\Inaka Hama I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by? I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by?\Inaka Hama Yes, it looks like it's on the headland up ahead.\Yes, it looks like it's on the headland up ahead. response:	Rei, this pension had better be a nice place.
context: I know that!\Inaka Hama\Inaka Hama I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by? I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by?\Inaka Hama Yes, it looks like it's on the headland up ahead.\Yes, it looks like it's on the headland up ahead.\Rei, this pension had better be a nice place. response:	Don't worry!
context: Inaka Hama\Inaka Hama I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by? I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by?\Inaka Hama Yes, it looks like it's on the headland up ahead.\Yes, it looks like it's on the headland up ahead.\Rei, this pension had better be a nice place.\Don't worry! response:	Really?
context: Inaka Hama I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by? I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by?\Inaka Hama Yes, it looks like it's on the headland up ahead.\Yes, it looks like it's on the headland up ahead.\Rei, this pension had better be a nice place.\Don't worry!\Really? response:	The blue ocean! And yachts sailing with their white sails unfurled.
context: Inaka Hama Is the pension you reserved close by? I'm so happy! I'm so happy!\Inaka Hama Is the pension you reserved close by?\Inaka Hama Yes, it looks like it's on the headland up ahead.\Yes, it looks like it's on the headland up ahead.\Rei, this pension had better be a nice place.\Don't worry!\Really?\The blue ocean! And yachts sailing with their white sails unfurled. response:	A European-style pension on the headland
context: Inaka Hama Is the pension you reserved close by?\Inaka Hama Yes, it looks like it's on the headland up ahead.\Yes, it looks like it's on the headland up ahead.\Rei, this pension had better be a nice place.\Don't worry!\Really?\The blue ocean! And yachts sailing with their white sails unfurled.\A European-style pension on the headland response:	with a great view of the sunset.
context: Inaka Hama Yes, it looks like it's on the headland up ahead.\Yes, it looks like it's on the headland up ahead.\Rei, this pension had better be a nice place.\Don't worry!\Really?\The blue ocean! And yachts sailing with their white sails unfurled.\A European-style pension on the headland\with a great view of the sunset. response:	A white private beach is just waiting for you!
context: Yes, it looks like it's on the headland up ahead.\Rei, this pension had better be a nice place.\Don't worry!\Really?\The blue ocean! And yachts sailing with their white sails unfurled.\A European-style pension on the headland\with a great view of the sunset.\A white private beach is just waiting for you! response:	A private beach?!
context: Rei, this pension had better be a nice place.\Don't worry!\Really?\The blue ocean! And yachts sailing with their white sails unfurled.\A European-style pension on the headland\with a great view of the sunset.\A white private beach is just waiting for you!\A private beach?! response:	Motoki!
context: Don't worry!\Really?\The blue ocean! And yachts sailing with their white sails unfurled.\A European-style pension on the headland\with a great view of the sunset.\A white private beach is just waiting for you!\A private beach?!\Motoki! response:	Tuxedo Mask!
context: Really?\The blue ocean! And yachts sailing with their white sails unfurled.\A European-style pension on the headland\with a great view of the sunset.\A white private beach is just waiting for you!\A private beach?!\Motoki!\Tuxedo Mask! response:	Oh, that would be wonderful!
context: The blue ocean! And yachts sailing with their white sails unfurled.\A European-style pension on the headland\with a great view of the sunset.\A white private beach is just waiting for you!\A private beach?!\Motoki!\Tuxedo Mask!\Oh, that would be wonderful! response:	This is it! Yes, yes! This is youth! Summer vacation!
context: A European-style pension on the headland\with a great view of the sunset.\A white private beach is just waiting for you!\A private beach?!\Motoki!\Tuxedo Mask!\Oh, that would be wonderful!\This is it! Yes, yes! This is youth! Summer vacation! response:	What? Oh, no, wait for me!
context: with a great view of the sunset.\A white private beach is just waiting for you!\A private beach?!\Motoki!\Tuxedo Mask!\Oh, that would be wonderful!\This is it! Yes, yes! This is youth! Summer vacation!\What? Oh, no, wait for me! response:	Are we there yet? Are you sure we aren't lost?
context: A white private beach is just waiting for you!\A private beach?!\Motoki!\Tuxedo Mask!\Oh, that would be wonderful!\This is it! Yes, yes! This is youth! Summer vacation!\What? Oh, no, wait for me!\Are we there yet? Are you sure we aren't lost? response:	You're the one who insisted it was this way!
context: A private beach?!\Motoki!\Tuxedo Mask!\Oh, that would be wonderful!\This is it! Yes, yes! This is youth! Summer vacation!\What? Oh, no, wait for me!\Are we there yet? Are you sure we aren't lost?\You're the one who insisted it was this way! response:	It's your fault for not properly checking things out! Rei, you moron!
context: Motoki!\Tuxedo Mask!\Oh, that would be wonderful!\This is it! Yes, yes! This is youth! Summer vacation!\What? Oh, no, wait for me!\Are we there yet? Are you sure we aren't lost?\You're the one who insisted it was this way!\It's your fault for not properly checking things out! Rei, you moron! response:	What did you say?!
context: Tuxedo Mask!\Oh, that would be wonderful!\This is it! Yes, yes! This is youth! Summer vacation!\What? Oh, no, wait for me!\Are we there yet? Are you sure we aren't lost?\You're the one who insisted it was this way!\It's your fault for not properly checking things out! Rei, you moron!\What did you say?! response:	Oh, lightning!
context: Oh, that would be wonderful!\This is it! Yes, yes! This is youth! Summer vacation!\What? Oh, no, wait for me!\Are we there yet? Are you sure we aren't lost?\You're the one who insisted it was this way!\It's your fault for not properly checking things out! Rei, you moron!\What did you say?!\Oh, lightning! response:	This is bad. It looks like it's going to rain!
context: This is it! Yes, yes! This is youth! Summer vacation!\What? Oh, no, wait for me!\Are we there yet? Are you sure we aren't lost?\You're the one who insisted it was this way!\It's your fault for not properly checking things out! Rei, you moron!\What did you say?!\Oh, lightning!\This is bad. It looks like it's going to rain! response:	Let's hurry!
context: What? Oh, no, wait for me!\Are we there yet? Are you sure we aren't lost?\You're the one who insisted it was this way!\It's your fault for not properly checking things out! Rei, you moron!\What did you say?!\Oh, lightning!\This is bad. It looks like it's going to rain!\Let's hurry! response:	Yes!
context: Are we there yet? Are you sure we aren't lost?\You're the one who insisted it was this way!\It's your fault for not properly checking things out! Rei, you moron!\What did you say?!\Oh, lightning!\This is bad. It looks like it's going to rain!\Let's hurry!\Yes! response:	I'm scared of lightning!
context: You're the one who insisted it was this way!\It's your fault for not properly checking things out! Rei, you moron!\What did you say?!\Oh, lightning!\This is bad. It looks like it's going to rain!\Let's hurry!\Yes!\I'm scared of lightning! response:	Usagi!
context: It's your fault for not properly checking things out! Rei, you moron!\What did you say?!\Oh, lightning!\This is bad. It looks like it's going to rain!\Let's hurry!\Yes!\I'm scared of lightning!\Usagi! response:	What's the matter?
context: What did you say?!\Oh, lightning!\This is bad. It looks like it's going to rain!\Let's hurry!\Yes!\I'm scared of lightning!\Usagi!\What's the matter? response:	Who's there?!
context: Oh, lightning!\This is bad. It looks like it's going to rain!\Let's hurry!\Yes!\I'm scared of lightning!\Usagi!\What's the matter?\Who's there?! response:	I'm sorry.
context: This is bad. It looks like it's going to rain!\Let's hurry!\Yes!\I'm scared of lightning!\Usagi!\What's the matter?\Who's there?!\I'm sorry. response:	It's raining!
context: Let's hurry!\Yes!\I'm scared of lightning!\Usagi!\What's the matter?\Who's there?!\I'm sorry.\It's raining! response:	Please, this way.
context: Yes!\I'm scared of lightning!\Usagi!\What's the matter?\Who's there?!\I'm sorry.\It's raining!\Please, this way. response:	Let's go!
context: I'm scared of lightning!\Usagi!\What's the matter?\Who's there?!\I'm sorry.\It's raining!\Please, this way.\Let's go! response:	Okay.
context: Usagi!\What's the matter?\Who's there?!\I'm sorry.\It's raining!\Please, this way.\Let's go!\Okay. response:	Yeah.
context: What's the matter?\Who's there?!\I'm sorry.\It's raining!\Please, this way.\Let's go!\Okay.\Yeah. response:	I hate this!
context: Who's there?!\I'm sorry.\It's raining!\Please, this way.\Let's go!\Okay.\Yeah.\I hate this! response:	Lightning is scary!
context: I'm sorry.\It's raining!\Please, this way.\Let's go!\Okay.\Yeah.\I hate this!\Lightning is scary! response:	It looks creepy.
context: It's raining!\Please, this way.\Let's go!\Okay.\Yeah.\I hate this!\Lightning is scary!\It looks creepy. response:	Pension Adams
context: Please, this way.\Let's go!\Okay.\Yeah.\I hate this!\Lightning is scary!\It looks creepy.\Pension Adams response:	Pension Adams This is it! This is the pension I booked!
context: Let's go!\Okay.\Yeah.\I hate this!\Lightning is scary!\It looks creepy.\Pension Adams\Pension Adams This is it! This is the pension I booked! response:	Gag! You're kidding me!
context: Okay.\Yeah.\I hate this!\Lightning is scary!\It looks creepy.\Pension Adams\Pension Adams This is it! This is the pension I booked!\Gag! You're kidding me! response:	What?
context: Yeah.\I hate this!\Lightning is scary!\It looks creepy.\Pension Adams\Pension Adams This is it! This is the pension I booked!\Gag! You're kidding me!\What? response:	It looks spooky.
context: I hate this!\Lightning is scary!\It looks creepy.\Pension Adams\Pension Adams This is it! This is the pension I booked!\Gag! You're kidding me!\What?\It looks spooky. response:	Thank you, you were a great help.
context: Lightning is scary!\It looks creepy.\Pension Adams\Pension Adams This is it! This is the pension I booked!\Gag! You're kidding me!\What?\It looks spooky.\Thank you, you were a great help. response:	We're soaking wet. Are the flowers okay?
context: It looks creepy.\Pension Adams\Pension Adams This is it! This is the pension I booked!\Gag! You're kidding me!\What?\It looks spooky.\Thank you, you were a great help.\We're soaking wet. Are the flowers okay? response:	Oh, yes.
context: Pension Adams\Pension Adams This is it! This is the pension I booked!\Gag! You're kidding me!\What?\It looks spooky.\Thank you, you were a great help.\We're soaking wet. Are the flowers okay?\Oh, yes. response:	I'm glad.
context: Pension Adams This is it! This is the pension I booked!\Gag! You're kidding me!\What?\It looks spooky.\Thank you, you were a great help.\We're soaking wet. Are the flowers okay?\Oh, yes.\I'm glad. response:	I'm home.
context: Gag! You're kidding me!\What?\It looks spooky.\Thank you, you were a great help.\We're soaking wet. Are the flowers okay?\Oh, yes.\I'm glad.\I'm home. response:	Are you the guests with reservations?
context: What?\It looks spooky.\Thank you, you were a great help.\We're soaking wet. Are the flowers okay?\Oh, yes.\I'm glad.\I'm home.\Are you the guests with reservations? response:	Yes! We're from Tokyo and my name is Rei Hino.
context: It looks spooky.\Thank you, you were a great help.\We're soaking wet. Are the flowers okay?\Oh, yes.\I'm glad.\I'm home.\Are you the guests with reservations?\Yes! We're from Tokyo and my name is Rei Hino. response:	We have been waiting for you.
context: Thank you, you were a great help.\We're soaking wet. Are the flowers okay?\Oh, yes.\I'm glad.\I'm home.\Are you the guests with reservations?\Yes! We're from Tokyo and my name is Rei Hino.\We have been waiting for you. response:	Please!
context: We're soaking wet. Are the flowers okay?\Oh, yes.\I'm glad.\I'm home.\Are you the guests with reservations?\Yes! We're from Tokyo and my name is Rei Hino.\We have been waiting for you.\Please! response:	Thank you.
context: Oh, yes.\I'm glad.\I'm home.\Are you the guests with reservations?\Yes! We're from Tokyo and my name is Rei Hino.\We have been waiting for you.\Please!\Thank you. response:	It's nice to meet you. Oh?
context: I'm glad.\I'm home.\Are you the guests with reservations?\Yes! We're from Tokyo and my name is Rei Hino.\We have been waiting for you.\Please!\Thank you.\It's nice to meet you. Oh? response:	Nice to meet you!
context: I'm home.\Are you the guests with reservations?\Yes! We're from Tokyo and my name is Rei Hino.\We have been waiting for you.\Please!\Thank you.\It's nice to meet you. Oh?\Nice to meet you! response:	How long are you going to make a fuss about this? It's embarrassing!
context: Are you the guests with reservations?\Yes! We're from Tokyo and my name is Rei Hino.\We have been waiting for you.\Please!\Thank you.\It's nice to meet you. Oh?\Nice to meet you!\How long are you going to make a fuss about this? It's embarrassing! response:	But...
context: Yes! We're from Tokyo and my name is Rei Hino.\We have been waiting for you.\Please!\Thank you.\It's nice to meet you. Oh?\Nice to meet you!\How long are you going to make a fuss about this? It's embarrassing!\But... response:	Sakiko!
context: We have been waiting for you.\Please!\Thank you.\It's nice to meet you. Oh?\Nice to meet you!\How long are you going to make a fuss about this? It's embarrassing!\But...\Sakiko! response:	You're so noisy!
context: Please!\Thank you.\It's nice to meet you. Oh?\Nice to meet you!\How long are you going to make a fuss about this? It's embarrassing!\But...\Sakiko!\You're so noisy! response:	Where were you?! Come here right this minute!
context: Thank you.\It's nice to meet you. Oh?\Nice to meet you!\How long are you going to make a fuss about this? It's embarrassing!\But...\Sakiko!\You're so noisy!\Where were you?! Come here right this minute! response:	Yes, Father.
context: It's nice to meet you. Oh?\Nice to meet you!\How long are you going to make a fuss about this? It's embarrassing!\But...\Sakiko!\You're so noisy!\Where were you?! Come here right this minute!\Yes, Father. response:	I'm so tired! I'm hungry!
context: Nice to meet you!\How long are you going to make a fuss about this? It's embarrassing!\But...\Sakiko!\You're so noisy!\Where were you?! Come here right this minute!\Yes, Father.\I'm so tired! I'm hungry! response:	I bet you would be, after making such a commotion.
context: How long are you going to make a fuss about this? It's embarrassing!\But...\Sakiko!\You're so noisy!\Where were you?! Come here right this minute!\Yes, Father.\I'm so tired! I'm hungry!\I bet you would be, after making such a commotion. response:	Speak for yourself, Luna!
context: But...\Sakiko!\You're so noisy!\Where were you?! Come here right this minute!\Yes, Father.\I'm so tired! I'm hungry!\I bet you would be, after making such a commotion.\Speak for yourself, Luna! response:	Oops.
context: Sakiko!\You're so noisy!\Where were you?! Come here right this minute!\Yes, Father.\I'm so tired! I'm hungry!\I bet you would be, after making such a commotion.\Speak for yourself, Luna!\Oops. response:	But don't you think the people here are a little weird?
context: You're so noisy!\Where were you?! Come here right this minute!\Yes, Father.\I'm so tired! I'm hungry!\I bet you would be, after making such a commotion.\Speak for yourself, Luna!\Oops.\But don't you think the people here are a little weird? response:	What if this place turns out to be a haunted house?
context: Where were you?! Come here right this minute!\Yes, Father.\I'm so tired! I'm hungry!\I bet you would be, after making such a commotion.\Speak for yourself, Luna!\Oops.\But don't you think the people here are a little weird?\What if this place turns out to be a haunted house? response:	Yes?
context: Yes, Father.\I'm so tired! I'm hungry!\I bet you would be, after making such a commotion.\Speak for yourself, Luna!\Oops.\But don't you think the people here are a little weird?\What if this place turns out to be a haunted house?\Yes? response:	Excuse me.
context: I'm so tired! I'm hungry!\I bet you would be, after making such a commotion.\Speak for yourself, Luna!\Oops.\But don't you think the people here are a little weird?\What if this place turns out to be a haunted house?\Yes?\Excuse me. response:	What's going on?
context: I bet you would be, after making such a commotion.\Speak for yourself, Luna!\Oops.\But don't you think the people here are a little weird?\What if this place turns out to be a haunted house?\Yes?\Excuse me.\What's going on? response:	Over there... What's going on?
context: Speak for yourself, Luna!\Oops.\But don't you think the people here are a little weird?\What if this place turns out to be a haunted house?\Yes?\Excuse me.\What's going on?\Over there... What's going on? response:	Over there...
context: Oops.\But don't you think the people here are a little weird?\What if this place turns out to be a haunted house?\Yes?\Excuse me.\What's going on?\Over there... What's going on?\Over there... response:	What?
context: But don't you think the people here are a little weird?\What if this place turns out to be a haunted house?\Yes?\Excuse me.\What's going on?\Over there... What's going on?\Over there...\What? response:	Oh, it came on. Sorry for disturbing you. Dinner is ready.
context: What if this place turns out to be a haunted house?\Yes?\Excuse me.\What's going on?\Over there... What's going on?\Over there...\What?\Oh, it came on. Sorry for disturbing you. Dinner is ready. response:	Honestly!
context: Yes?\Excuse me.\What's going on?\Over there... What's going on?\Over there...\What?\Oh, it came on. Sorry for disturbing you. Dinner is ready.\Honestly! response:	Usagi!
context: Excuse me.\What's going on?\Over there... What's going on?\Over there...\What?\Oh, it came on. Sorry for disturbing you. Dinner is ready.\Honestly!\Usagi! response:	But her neck snaked out and...
context: What's going on?\Over there... What's going on?\Over there...\What?\Oh, it came on. Sorry for disturbing you. Dinner is ready.\Honestly!\Usagi!\But her neck snaked out and... response:	That's enough!
context: Over there... What's going on?\Over there...\What?\Oh, it came on. Sorry for disturbing you. Dinner is ready.\Honestly!\Usagi!\But her neck snaked out and...\That's enough! response:	I'm sorry! Ami, help me!
context: Over there...\What?\Oh, it came on. Sorry for disturbing you. Dinner is ready.\Honestly!\Usagi!\But her neck snaked out and...\That's enough!\I'm sorry! Ami, help me! response:	No, Usagi, I'm not helping you out anymore!
context: What?\Oh, it came on. Sorry for disturbing you. Dinner is ready.\Honestly!\Usagi!\But her neck snaked out and...\That's enough!\I'm sorry! Ami, help me!\No, Usagi, I'm not helping you out anymore! response:	Why not?!
