context: No! response:	Komari-san...
context: Whatever happened,\cheer her up.\Masato\Thanks, Masato.\I remember.\Everything.\What I lost.\hitori ga tsurai kara futatsu no te wo tsunaida response:	It was too hard for one to do, so two of us held hands
context: cheer her up.\Masato\Thanks, Masato.\I remember.\Everything.\What I lost.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands response:	hitori ga tsurai kara futatsu no te wo tsunaida
context: Masato\Thanks, Masato.\I remember.\Everything.\What I lost.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida response:	It was too hard for one to do, so two of us held hands
context: Thanks, Masato.\I remember.\Everything.\What I lost.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands response:	futari ja samishii kara wa ni natte te wo tsunaida
context: I remember.\Everything.\What I lost.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida response:	But two would be too lonely, so we all came together in a circle and held hands
context: Everything.\What I lost.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands response:	futari ja samishii kara wa ni natte te wo tsunaida
context: What I lost.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida response:	But two would be too lonely, so we all came together in a circle and held hands
context: hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands response:	kitto sore ga ikusen no chikara ni mo nari
context: It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari response:	I'm sure that will be strength in itself,
context: hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself, response:	kitto sore ga ikusen no chikara ni mo nari
context: It was too hard for one to do, so two of us held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari response:	I'm sure that will be strength in itself,
context: futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself, response:	donna yume mo tateru ki ga surunda
context: But two would be too lonely, so we all came together in a circle and held hands\futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda response:	Enough to end any dream we have
context: futari ja samishii kara wa ni natte te wo tsunaida\But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have response:	donna yume mo tateru ki ga surunda
context: But two would be too lonely, so we all came together in a circle and held hands\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda response:	Enough to end any dream we have
context: kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have response:	takaku tobe takaku sora he
context: I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku tobe takaku sora he
context: I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku kere takaku koe wo age
context: Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	takaku kere takaku koe wo age
context: Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	itsuka kujiketa sono hi no mukou made
context: Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	itsuka kujiketa sono hi no mukou made
context: Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	sono ashi wa arukidasu
context: I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	sono ashi wa arukidasu
context: I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	yagate kuru kakoku mo
context: The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	yagate kuru kakoku mo
context: The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	Onii-chan...
context: Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Onii-chan... response:	He wasn't very healthy, so he stayed in the hospital.
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Onii-chan...\He wasn't very healthy, so he stayed in the hospital. response:	Found you!
context: Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Onii-chan...\He wasn't very healthy, so he stayed in the hospital.\Found you! response:	But you haven't caught me yet!
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Onii-chan...\He wasn't very healthy, so he stayed in the hospital.\Found you!\But you haven't caught me yet! response:	Wait, Komari!
context: Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Onii-chan...\He wasn't very healthy, so he stayed in the hospital.\Found you!\But you haven't caught me yet!\Wait, Komari! response:	That night, the little match girl went to Heaven with the last shooting star.
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\Onii-chan...\He wasn't very healthy, so he stayed in the hospital.\Found you!\But you haven't caught me yet!\Wait, Komari!\That night, the little match girl went to Heaven with the last shooting star. response:	Did the girl die?
context: Even in the face of the oncoming grief\Onii-chan...\He wasn't very healthy, so he stayed in the hospital.\Found you!\But you haven't caught me yet!\Wait, Komari!\That night, the little match girl went to Heaven with the last shooting star.\Did the girl die? response:	No!
context: Onii-chan...\He wasn't very healthy, so he stayed in the hospital.\Found you!\But you haven't caught me yet!\Wait, Komari!\That night, the little match girl went to Heaven with the last shooting star.\Did the girl die?\No! response:	I don't want that!
context: He wasn't very healthy, so he stayed in the hospital.\Found you!\But you haven't caught me yet!\Wait, Komari!\That night, the little match girl went to Heaven with the last shooting star.\Did the girl die?\No!\I don't want that! response:	No!
context: Found you!\But you haven't caught me yet!\Wait, Komari!\That night, the little match girl went to Heaven with the last shooting star.\Did the girl die?\No!\I don't want that!\No! response:	Sorry.
context: But you haven't caught me yet!\Wait, Komari!\That night, the little match girl went to Heaven with the last shooting star.\Did the girl die?\No!\I don't want that!\No!\Sorry. response:	I won't tell you sad stories anymore.
context: Wait, Komari!\That night, the little match girl went to Heaven with the last shooting star.\Did the girl die?\No!\I don't want that!\No!\Sorry.\I won't tell you sad stories anymore. response:	I'll write a story for you.
context: That night, the little match girl went to Heaven with the last shooting star.\Did the girl die?\No!\I don't want that!\No!\Sorry.\I won't tell you sad stories anymore.\I'll write a story for you. response:	One day, an egg became a chick.
context: Did the girl die?\No!\I don't want that!\No!\Sorry.\I won't tell you sad stories anymore.\I'll write a story for you.\One day, an egg became a chick. response:	A chick! A chick!
context: No!\I don't want that!\No!\Sorry.\I won't tell you sad stories anymore.\I'll write a story for you.\One day, an egg became a chick.\A chick! A chick! response:	The chick became a hen and laid an egg.
context: I don't want that!\No!\Sorry.\I won't tell you sad stories anymore.\I'll write a story for you.\One day, an egg became a chick.\A chick! A chick!\The chick became a hen and laid an egg. response:	After taking three steps, the hen forgot that it was once an egg.
context: No!\Sorry.\I won't tell you sad stories anymore.\I'll write a story for you.\One day, an egg became a chick.\A chick! A chick!\The chick became a hen and laid an egg.\After taking three steps, the hen forgot that it was once an egg. response:	Onii-chan, you're so warm.
context: Sorry.\I won't tell you sad stories anymore.\I'll write a story for you.\One day, an egg became a chick.\A chick! A chick!\The chick became a hen and laid an egg.\After taking three steps, the hen forgot that it was once an egg.\Onii-chan, you're so warm. response:	Onii-chan? What's wrong?
context: I won't tell you sad stories anymore.\I'll write a story for you.\One day, an egg became a chick.\A chick! A chick!\The chick became a hen and laid an egg.\After taking three steps, the hen forgot that it was once an egg.\Onii-chan, you're so warm.\Onii-chan? What's wrong? response:	Listen, Komari.
context: I'll write a story for you.\One day, an egg became a chick.\A chick! A chick!\The chick became a hen and laid an egg.\After taking three steps, the hen forgot that it was once an egg.\Onii-chan, you're so warm.\Onii-chan? What's wrong?\Listen, Komari. response:	When you wake up, I might not be here anymore.
context: One day, an egg became a chick.\A chick! A chick!\The chick became a hen and laid an egg.\After taking three steps, the hen forgot that it was once an egg.\Onii-chan, you're so warm.\Onii-chan? What's wrong?\Listen, Komari.\When you wake up, I might not be here anymore. response:	But there isn't anything to be sad about.
context: A chick! A chick!\The chick became a hen and laid an egg.\After taking three steps, the hen forgot that it was once an egg.\Onii-chan, you're so warm.\Onii-chan? What's wrong?\Listen, Komari.\When you wake up, I might not be here anymore.\But there isn't anything to be sad about. response:	It'll all be a dream.
context: The chick became a hen and laid an egg.\After taking three steps, the hen forgot that it was once an egg.\Onii-chan, you're so warm.\Onii-chan? What's wrong?\Listen, Komari.\When you wake up, I might not be here anymore.\But there isn't anything to be sad about.\It'll all be a dream. response:	A dream?
context: After taking three steps, the hen forgot that it was once an egg.\Onii-chan, you're so warm.\Onii-chan? What's wrong?\Listen, Komari.\When you wake up, I might not be here anymore.\But there isn't anything to be sad about.\It'll all be a dream.\A dream? response:	That's right.
context: Onii-chan, you're so warm.\Onii-chan? What's wrong?\Listen, Komari.\When you wake up, I might not be here anymore.\But there isn't anything to be sad about.\It'll all be a dream.\A dream?\That's right. response:	All a dream.
context: Onii-chan? What's wrong?\Listen, Komari.\When you wake up, I might not be here anymore.\But there isn't anything to be sad about.\It'll all be a dream.\A dream?\That's right.\All a dream. response:	So...
context: Listen, Komari.\When you wake up, I might not be here anymore.\But there isn't anything to be sad about.\It'll all be a dream.\A dream?\That's right.\All a dream.\So... response:	Good night.
context: When you wake up, I might not be here anymore.\But there isn't anything to be sad about.\It'll all be a dream.\A dream?\That's right.\All a dream.\So...\Good night. response:	Onii-chan?
context: But there isn't anything to be sad about.\It'll all be a dream.\A dream?\That's right.\All a dream.\So...\Good night.\Onii-chan? response:	Hey, wake up!
context: It'll all be a dream.\A dream?\That's right.\All a dream.\So...\Good night.\Onii-chan?\Hey, wake up! response:	But there isn't anything to be sad about.
context: A dream?\That's right.\All a dream.\So...\Good night.\Onii-chan?\Hey, wake up!\But there isn't anything to be sad about. response:	It'll all be a dream.
context: That's right.\All a dream.\So...\Good night.\Onii-chan?\Hey, wake up!\But there isn't anything to be sad about.\It'll all be a dream. response:	It's all a dream, so...
context: All a dream.\So...\Good night.\Onii-chan?\Hey, wake up!\But there isn't anything to be sad about.\It'll all be a dream.\It's all a dream, so... response:	It's not sad.
context: So...\Good night.\Onii-chan?\Hey, wake up!\But there isn't anything to be sad about.\It'll all be a dream.\It's all a dream, so...\It's not sad. response:	She believed what her brother said and thought everything was a dream.
context: Good night.\Onii-chan?\Hey, wake up!\But there isn't anything to be sad about.\It'll all be a dream.\It's all a dream, so...\It's not sad.\She believed what her brother said and thought everything was a dream. response:	She's been using that to escape from her sadness all these years.
context: Onii-chan?\Hey, wake up!\But there isn't anything to be sad about.\It'll all be a dream.\It's all a dream, so...\It's not sad.\She believed what her brother said and thought everything was a dream.\She's been using that to escape from her sadness all these years. response:	Just as Takuya-san wished, so she wouldn't be sad.
context: Hey, wake up!\But there isn't anything to be sad about.\It'll all be a dream.\It's all a dream, so...\It's not sad.\She believed what her brother said and thought everything was a dream.\She's been using that to escape from her sadness all these years.\Just as Takuya-san wished, so she wouldn't be sad. response:	Thanks to his wish, Komari-san could smile the way she did.
context: But there isn't anything to be sad about.\It'll all be a dream.\It's all a dream, so...\It's not sad.\She believed what her brother said and thought everything was a dream.\She's been using that to escape from her sadness all these years.\Just as Takuya-san wished, so she wouldn't be sad.\Thanks to his wish, Komari-san could smile the way she did. response:	When I was little, I found a pretty flower.
context: It'll all be a dream.\It's all a dream, so...\It's not sad.\She believed what her brother said and thought everything was a dream.\She's been using that to escape from her sadness all these years.\Just as Takuya-san wished, so she wouldn't be sad.\Thanks to his wish, Komari-san could smile the way she did.\When I was little, I found a pretty flower. response:	I picked it so I could take it to Onii-chan.
context: It's all a dream, so...\It's not sad.\She believed what her brother said and thought everything was a dream.\She's been using that to escape from her sadness all these years.\Just as Takuya-san wished, so she wouldn't be sad.\Thanks to his wish, Komari-san could smile the way she did.\When I was little, I found a pretty flower.\I picked it so I could take it to Onii-chan. response:	But it wilted shortly after.
context: It's not sad.\She believed what her brother said and thought everything was a dream.\She's been using that to escape from her sadness all these years.\Just as Takuya-san wished, so she wouldn't be sad.\Thanks to his wish, Komari-san could smile the way she did.\When I was little, I found a pretty flower.\I picked it so I could take it to Onii-chan.\But it wilted shortly after. response:	I regretted doing it.
context: She believed what her brother said and thought everything was a dream.\She's been using that to escape from her sadness all these years.\Just as Takuya-san wished, so she wouldn't be sad.\Thanks to his wish, Komari-san could smile the way she did.\When I was little, I found a pretty flower.\I picked it so I could take it to Onii-chan.\But it wilted shortly after.\I regretted doing it. response:	I didn't know it would wilt.
context: She's been using that to escape from her sadness all these years.\Just as Takuya-san wished, so she wouldn't be sad.\Thanks to his wish, Komari-san could smile the way she did.\When I was little, I found a pretty flower.\I picked it so I could take it to Onii-chan.\But it wilted shortly after.\I regretted doing it.\I didn't know it would wilt. response:	There are lots of things in this world I don't want to know.
context: Just as Takuya-san wished, so she wouldn't be sad.\Thanks to his wish, Komari-san could smile the way she did.\When I was little, I found a pretty flower.\I picked it so I could take it to Onii-chan.\But it wilted shortly after.\I regretted doing it.\I didn't know it would wilt.\There are lots of things in this world I don't want to know. response:	I wish they were all gone!
context: Thanks to his wish, Komari-san could smile the way she did.\When I was little, I found a pretty flower.\I picked it so I could take it to Onii-chan.\But it wilted shortly after.\I regretted doing it.\I didn't know it would wilt.\There are lots of things in this world I don't want to know.\I wish they were all gone! response:	What happened?
context: When I was little, I found a pretty flower.\I picked it so I could take it to Onii-chan.\But it wilted shortly after.\I regretted doing it.\I didn't know it would wilt.\There are lots of things in this world I don't want to know.\I wish they were all gone!\What happened? response:	We heard from Masato-kun.
context: I picked it so I could take it to Onii-chan.\But it wilted shortly after.\I regretted doing it.\I didn't know it would wilt.\There are lots of things in this world I don't want to know.\I wish they were all gone!\What happened?\We heard from Masato-kun. response:	It's not much, but we brought a change of clothes for her.
context: But it wilted shortly after.\I regretted doing it.\I didn't know it would wilt.\There are lots of things in this world I don't want to know.\I wish they were all gone!\What happened?\We heard from Masato-kun.\It's not much, but we brought a change of clothes for her. response:	Are you alright?
context: I regretted doing it.\I didn't know it would wilt.\There are lots of things in this world I don't want to know.\I wish they were all gone!\What happened?\We heard from Masato-kun.\It's not much, but we brought a change of clothes for her.\Are you alright? response:	What happened?
context: I didn't know it would wilt.\There are lots of things in this world I don't want to know.\I wish they were all gone!\What happened?\We heard from Masato-kun.\It's not much, but we brought a change of clothes for her.\Are you alright?\What happened? response:	It's probably better if we don't ask.
context: There are lots of things in this world I don't want to know.\I wish they were all gone!\What happened?\We heard from Masato-kun.\It's not much, but we brought a change of clothes for her.\Are you alright?\What happened?\It's probably better if we don't ask. response:	Come on.
context: I wish they were all gone!\What happened?\We heard from Masato-kun.\It's not much, but we brought a change of clothes for her.\Are you alright?\What happened?\It's probably better if we don't ask.\Come on. response:	Could you take her back to her room?
context: What happened?\We heard from Masato-kun.\It's not much, but we brought a change of clothes for her.\Are you alright?\What happened?\It's probably better if we don't ask.\Come on.\Could you take her back to her room? response:	Komari-kun.
