context: I finally made it to the magic academy, Luna Nova! response:	You only told us about a hundred times last night.
context: I simply want to tutor her about fundamental magic during my spare time,\and make sure she feels comfortable here.\All the while, it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\It is a form of phonemic orthography.\You are the first person able to read this that I have witnessed as a teacher.\Now please turn to line 102 on page 923 of your textbooks.\You won't be able to find anyone who respects Shiny Chariot's magic. response:	Jush khul mih Akcho.
context: and make sure she feels comfortable here.\All the while, it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\It is a form of phonemic orthography.\You are the first person able to read this that I have witnessed as a teacher.\Now please turn to line 102 on page 923 of your textbooks.\You won't be able to find anyone who respects Shiny Chariot's magic.\Jush khul mih Akcho. response:	Everyone says she's the greatest witch to ever grace Luna Nova since its founding!
context: All the while, it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\It is a form of phonemic orthography.\You are the first person able to read this that I have witnessed as a teacher.\Now please turn to line 102 on page 923 of your textbooks.\You won't be able to find anyone who respects Shiny Chariot's magic.\Jush khul mih Akcho.\Everyone says she's the greatest witch to ever grace Luna Nova since its founding! response:	As you wish, I do not mind referring to you as Akko.
context: And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\It is a form of phonemic orthography.\You are the first person able to read this that I have witnessed as a teacher.\Now please turn to line 102 on page 923 of your textbooks.\You won't be able to find anyone who respects Shiny Chariot's magic.\Jush khul mih Akcho.\Everyone says she's the greatest witch to ever grace Luna Nova since its founding!\As you wish, I do not mind referring to you as Akko. response:	However, you will not find anyone in the magic world who holds Chariot's magic in high regard.
context: It is a form of phonemic orthography.\You are the first person able to read this that I have witnessed as a teacher.\Now please turn to line 102 on page 923 of your textbooks.\You won't be able to find anyone who respects Shiny Chariot's magic.\Jush khul mih Akcho.\Everyone says she's the greatest witch to ever grace Luna Nova since its founding!\As you wish, I do not mind referring to you as Akko.\However, you will not find anyone in the magic world who holds Chariot's magic in high regard. response:	However, you will not anyone in the magic world who holds Chariot's magic in high regard.
context: You are the first person able to read this that I have witnessed as a teacher.\Now please turn to line 102 on page 923 of your textbooks.\You won't be able to find anyone who respects Shiny Chariot's magic.\Jush khul mih Akcho.\Everyone says she's the greatest witch to ever grace Luna Nova since its founding!\As you wish, I do not mind referring to you as Akko.\However, you will not find anyone in the magic world who holds Chariot's magic in high regard.\However, you will not anyone in the magic world who holds Chariot's magic in high regard. response:	However, those gaudy but insubstantial spectacles of hers had no lasting power.
context: Now please turn to line 102 on page 923 of your textbooks.\You won't be able to find anyone who respects Shiny Chariot's magic.\Jush khul mih Akcho.\Everyone says she's the greatest witch to ever grace Luna Nova since its founding!\As you wish, I do not mind referring to you as Akko.\However, you will not find anyone in the magic world who holds Chariot's magic in high regard.\However, you will not anyone in the magic world who holds Chariot's magic in high regard.\However, those gaudy but insubstantial spectacles of hers had no lasting power. response:	But as it were, her all style and no substance performance magic had no lasting power.
context: You won't be able to find anyone who respects Shiny Chariot's magic.\Jush khul mih Akcho.\Everyone says she's the greatest witch to ever grace Luna Nova since its founding!\As you wish, I do not mind referring to you as Akko.\However, you will not find anyone in the magic world who holds Chariot's magic in high regard.\However, you will not anyone in the magic world who holds Chariot's magic in high regard.\However, those gaudy but insubstantial spectacles of hers had no lasting power.\But as it were, her all style and no substance performance magic had no lasting power. response:	Nobody even cares enough to attempt to find out where she is now.
context: Jush khul mih Akcho.\Everyone says she's the greatest witch to ever grace Luna Nova since its founding!\As you wish, I do not mind referring to you as Akko.\However, you will not find anyone in the magic world who holds Chariot's magic in high regard.\However, you will not anyone in the magic world who holds Chariot's magic in high regard.\However, those gaudy but insubstantial spectacles of hers had no lasting power.\But as it were, her all style and no substance performance magic had no lasting power.\Nobody even cares enough to attempt to find out where she is now. response:	Make a miracle like you did yesterday!
context: Everyone says she's the greatest witch to ever grace Luna Nova since its founding!\As you wish, I do not mind referring to you as Akko.\However, you will not find anyone in the magic world who holds Chariot's magic in high regard.\However, you will not anyone in the magic world who holds Chariot's magic in high regard.\However, those gaudy but insubstantial spectacles of hers had no lasting power.\But as it were, her all style and no substance performance magic had no lasting power.\Nobody even cares enough to attempt to find out where she is now.\Make a miracle like you did yesterday! response:	Animate, o statue!
context: As you wish, I do not mind referring to you as Akko.\However, you will not find anyone in the magic world who holds Chariot's magic in high regard.\However, you will not anyone in the magic world who holds Chariot's magic in high regard.\However, those gaudy but insubstantial spectacles of hers had no lasting power.\But as it were, her all style and no substance performance magic had no lasting power.\Nobody even cares enough to attempt to find out where she is now.\Make a miracle like you did yesterday!\Animate, o statue! response:	Magic is developed through the accumulation of lasting traditions and assiduous research.
context: However, you will not find anyone in the magic world who holds Chariot's magic in high regard.\However, you will not anyone in the magic world who holds Chariot's magic in high regard.\However, those gaudy but insubstantial spectacles of hers had no lasting power.\But as it were, her all style and no substance performance magic had no lasting power.\Nobody even cares enough to attempt to find out where she is now.\Make a miracle like you did yesterday!\Animate, o statue!\Magic is developed through the accumulation of lasting traditions and assiduous research. response:	It is not something that those who would be swayed by temporary diversions can learn.
context: However, you will not anyone in the magic world who holds Chariot's magic in high regard.\However, those gaudy but insubstantial spectacles of hers had no lasting power.\But as it were, her all style and no substance performance magic had no lasting power.\Nobody even cares enough to attempt to find out where she is now.\Make a miracle like you did yesterday!\Animate, o statue!\Magic is developed through the accumulation of lasting traditions and assiduous research.\It is not something that those who would be swayed by temporary diversions can learn. response:	Diana is a daughter of the 1500-years-old Cavendish family.
context: However, those gaudy but insubstantial spectacles of hers had no lasting power.\But as it were, her all style and no substance performance magic had no lasting power.\Nobody even cares enough to attempt to find out where she is now.\Make a miracle like you did yesterday!\Animate, o statue!\Magic is developed through the accumulation of lasting traditions and assiduous research.\It is not something that those who would be swayed by temporary diversions can learn.\Diana is a daughter of the 1500-years-old Cavendish family. response:	Diana is a daughter of the fifteen hundred year old Cavendish family.
context: But as it were, her all style and no substance performance magic had no lasting power.\Nobody even cares enough to attempt to find out where she is now.\Make a miracle like you did yesterday!\Animate, o statue!\Magic is developed through the accumulation of lasting traditions and assiduous research.\It is not something that those who would be swayed by temporary diversions can learn.\Diana is a daughter of the 1500-years-old Cavendish family.\Diana is a daughter of the fifteen hundred year old Cavendish family. response:	She's on a completely different level than that showy Chariot witch!
context: Nobody even cares enough to attempt to find out where she is now.\Make a miracle like you did yesterday!\Animate, o statue!\Magic is developed through the accumulation of lasting traditions and assiduous research.\It is not something that those who would be swayed by temporary diversions can learn.\Diana is a daughter of the 1500-years-old Cavendish family.\Diana is a daughter of the fifteen hundred year old Cavendish family.\She's on a completely different level than that showy Chariot witch! response:	She's on a completely different level than that show witch Chariot!
context: Make a miracle like you did yesterday!\Animate, o statue!\Magic is developed through the accumulation of lasting traditions and assiduous research.\It is not something that those who would be swayed by temporary diversions can learn.\Diana is a daughter of the 1500-years-old Cavendish family.\Diana is a daughter of the fifteen hundred year old Cavendish family.\She's on a completely different level than that showy Chariot witch!\She's on a completely different level than that show witch Chariot! response:	A believing heart is your magic.
context: Animate, o statue!\Magic is developed through the accumulation of lasting traditions and assiduous research.\It is not something that those who would be swayed by temporary diversions can learn.\Diana is a daughter of the 1500-years-old Cavendish family.\Diana is a daughter of the fifteen hundred year old Cavendish family.\She's on a completely different level than that showy Chariot witch!\She's on a completely different level than that show witch Chariot!\A believing heart is your magic. response:	Yeah. I remember everyone was big on collecting her cards during the Chariot fad when I was a kid.
context: Magic is developed through the accumulation of lasting traditions and assiduous research.\It is not something that those who would be swayed by temporary diversions can learn.\Diana is a daughter of the 1500-years-old Cavendish family.\Diana is a daughter of the fifteen hundred year old Cavendish family.\She's on a completely different level than that showy Chariot witch!\She's on a completely different level than that show witch Chariot!\A believing heart is your magic.\Yeah. I remember everyone was big on collecting her cards during the Chariot fad when I was a kid. response:	Though I'm having trouble with the spell pronunciations.
context: It is not something that those who would be swayed by temporary diversions can learn.\Diana is a daughter of the 1500-years-old Cavendish family.\Diana is a daughter of the fifteen hundred year old Cavendish family.\She's on a completely different level than that showy Chariot witch!\She's on a completely different level than that show witch Chariot!\A believing heart is your magic.\Yeah. I remember everyone was big on collecting her cards during the Chariot fad when I was a kid.\Though I'm having trouble with the spell pronunciations. response:	The only parts I'm not sure about are the spell pronunciations.
context: Diana is a daughter of the 1500-years-old Cavendish family.\Diana is a daughter of the fifteen hundred year old Cavendish family.\She's on a completely different level than that showy Chariot witch!\She's on a completely different level than that show witch Chariot!\A believing heart is your magic.\Yeah. I remember everyone was big on collecting her cards during the Chariot fad when I was a kid.\Though I'm having trouble with the spell pronunciations.\The only parts I'm not sure about are the spell pronunciations. response:	I know this one. It's the magic butterfly.
context: Diana is a daughter of the fifteen hundred year old Cavendish family.\She's on a completely different level than that showy Chariot witch!\She's on a completely different level than that show witch Chariot!\A believing heart is your magic.\Yeah. I remember everyone was big on collecting her cards during the Chariot fad when I was a kid.\Though I'm having trouble with the spell pronunciations.\The only parts I'm not sure about are the spell pronunciations.\I know this one. It's the magic butterfly. response:	They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who behold them.
context: She's on a completely different level than that showy Chariot witch!\She's on a completely different level than that show witch Chariot!\A believing heart is your magic.\Yeah. I remember everyone was big on collecting her cards during the Chariot fad when I was a kid.\Though I'm having trouble with the spell pronunciations.\The only parts I'm not sure about are the spell pronunciations.\I know this one. It's the magic butterfly.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who behold them. response:	They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who see them.
context: She's on a completely different level than that show witch Chariot!\A believing heart is your magic.\Yeah. I remember everyone was big on collecting her cards during the Chariot fad when I was a kid.\Though I'm having trouble with the spell pronunciations.\The only parts I'm not sure about are the spell pronunciations.\I know this one. It's the magic butterfly.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who behold them.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who see them. response:	They emerge only once every hundred-twenty years,
context: A believing heart is your magic.\Yeah. I remember everyone was big on collecting her cards during the Chariot fad when I was a kid.\Though I'm having trouble with the spell pronunciations.\The only parts I'm not sure about are the spell pronunciations.\I know this one. It's the magic butterfly.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who behold them.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who see them.\They emerge only once every hundred-twenty years, response:	and legend says they bring hope to the hearts of all who see them.
context: Yeah. I remember everyone was big on collecting her cards during the Chariot fad when I was a kid.\Though I'm having trouble with the spell pronunciations.\The only parts I'm not sure about are the spell pronunciations.\I know this one. It's the magic butterfly.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who behold them.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who see them.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who see them. response:	Professor Ursula. Has your research revealed anything about the cause?
context: Though I'm having trouble with the spell pronunciations.\The only parts I'm not sure about are the spell pronunciations.\I know this one. It's the magic butterfly.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who behold them.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who see them.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who see them.\Professor Ursula. Has your research revealed anything about the cause? response:	Once that which caused it leaves...
context: The only parts I'm not sure about are the spell pronunciations.\I know this one. It's the magic butterfly.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who behold them.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who see them.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who see them.\Professor Ursula. Has your research revealed anything about the cause?\Once that which caused it leaves... response:	Once the origin of it has left...
context: I know this one. It's the magic butterfly.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who behold them.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who see them.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who see them.\Professor Ursula. Has your research revealed anything about the cause?\Once that which caused it leaves...\Once the origin of it has left... response:	That which caused it? Have you unearthed some information?
context: They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who behold them.\They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who see them.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who see them.\Professor Ursula. Has your research revealed anything about the cause?\Once that which caused it leaves...\Once the origin of it has left...\That which caused it? Have you unearthed some information? response:	The origin? Have you unearthed some information?
context: They emerge only once every hundred-twenty years, and legend says they bring hope to the hearts of all who see them.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who see them.\Professor Ursula. Has your research revealed anything about the cause?\Once that which caused it leaves...\Once the origin of it has left...\That which caused it? Have you unearthed some information?\The origin? Have you unearthed some information? response:	The Jennifer Memorial Tree has deteriorated so such a state...
context: They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who see them.\Professor Ursula. Has your research revealed anything about the cause?\Once that which caused it leaves...\Once the origin of it has left...\That which caused it? Have you unearthed some information?\The origin? Have you unearthed some information?\The Jennifer Memorial Tree has deteriorated so such a state... response:	It is so, Diana. This Memorial Tree is already rather aged.
context: and legend says they bring hope to the hearts of all who see them.\Professor Ursula. Has your research revealed anything about the cause?\Once that which caused it leaves...\Once the origin of it has left...\That which caused it? Have you unearthed some information?\The origin? Have you unearthed some information?\The Jennifer Memorial Tree has deteriorated so such a state...\It is so, Diana. This Memorial Tree is already rather aged. response:	Perhaps it is now finally reaching the end of its lifespan.
context: Professor Ursula. Has your research revealed anything about the cause?\Once that which caused it leaves...\Once the origin of it has left...\That which caused it? Have you unearthed some information?\The origin? Have you unearthed some information?\The Jennifer Memorial Tree has deteriorated so such a state...\It is so, Diana. This Memorial Tree is already rather aged.\Perhaps it is now finally reaching the end of its lifespan. response:	Perhaps it is finally reaching the limits of its lifespan.
context: Once that which caused it leaves...\Once the origin of it has left...\That which caused it? Have you unearthed some information?\The origin? Have you unearthed some information?\The Jennifer Memorial Tree has deteriorated so such a state...\It is so, Diana. This Memorial Tree is already rather aged.\Perhaps it is now finally reaching the end of its lifespan.\Perhaps it is finally reaching the limits of its lifespan. response:	Large plants should revitalize provided strong enough nourishment.
context: Once the origin of it has left...\That which caused it? Have you unearthed some information?\The origin? Have you unearthed some information?\The Jennifer Memorial Tree has deteriorated so such a state...\It is so, Diana. This Memorial Tree is already rather aged.\Perhaps it is now finally reaching the end of its lifespan.\Perhaps it is finally reaching the limits of its lifespan.\Large plants should revitalize provided strong enough nourishment. response:	Ropelial Ral!
context: That which caused it? Have you unearthed some information?\The origin? Have you unearthed some information?\The Jennifer Memorial Tree has deteriorated so such a state...\It is so, Diana. This Memorial Tree is already rather aged.\Perhaps it is now finally reaching the end of its lifespan.\Perhaps it is finally reaching the limits of its lifespan.\Large plants should revitalize provided strong enough nourishment.\Ropelial Ral! response:	Nourishment should now be circulating throughout it.
context: The origin? Have you unearthed some information?\The Jennifer Memorial Tree has deteriorated so such a state...\It is so, Diana. This Memorial Tree is already rather aged.\Perhaps it is now finally reaching the end of its lifespan.\Perhaps it is finally reaching the limits of its lifespan.\Large plants should revitalize provided strong enough nourishment.\Ropelial Ral!\Nourishment should now be circulating throughout it. response:	There were parasites in the roots.
context: The Jennifer Memorial Tree has deteriorated so such a state...\It is so, Diana. This Memorial Tree is already rather aged.\Perhaps it is now finally reaching the end of its lifespan.\Perhaps it is finally reaching the limits of its lifespan.\Large plants should revitalize provided strong enough nourishment.\Ropelial Ral!\Nourishment should now be circulating throughout it.\There were parasites in the roots. response:	I must eliminate them.
context: It is so, Diana. This Memorial Tree is already rather aged.\Perhaps it is now finally reaching the end of its lifespan.\Perhaps it is finally reaching the limits of its lifespan.\Large plants should revitalize provided strong enough nourishment.\Ropelial Ral!\Nourishment should now be circulating throughout it.\There were parasites in the roots.\I must eliminate them. response:	Magic butterflies that bring hope to the hearts of all who see them!
context: Perhaps it is now finally reaching the end of its lifespan.\Perhaps it is finally reaching the limits of its lifespan.\Large plants should revitalize provided strong enough nourishment.\Ropelial Ral!\Nourishment should now be circulating throughout it.\There were parasites in the roots.\I must eliminate them.\Magic butterflies that bring hope to the hearts of all who see them! response:	Papilliodya that travels the five continents.
context: Perhaps it is finally reaching the limits of its lifespan.\Large plants should revitalize provided strong enough nourishment.\Ropelial Ral!\Nourishment should now be circulating throughout it.\There were parasites in the roots.\I must eliminate them.\Magic butterflies that bring hope to the hearts of all who see them!\Papilliodya that travels the five continents. response:	Papilliodya spend 120 years as a larva in the dark underground before becoming butterflies.
context: Large plants should revitalize provided strong enough nourishment.\Ropelial Ral!\Nourishment should now be circulating throughout it.\There were parasites in the roots.\I must eliminate them.\Magic butterflies that bring hope to the hearts of all who see them!\Papilliodya that travels the five continents.\Papilliodya spend 120 years as a larva in the dark underground before becoming butterflies. response:	The delight of their first flight brings hope to the hearts of those who see.
context: Ropelial Ral!\Nourishment should now be circulating throughout it.\There were parasites in the roots.\I must eliminate them.\Magic butterflies that bring hope to the hearts of all who see them!\Papilliodya that travels the five continents.\Papilliodya spend 120 years as a larva in the dark underground before becoming butterflies.\The delight of their first flight brings hope to the hearts of those who see. response:	Goodness, the memorial Tree!
context: Nourishment should now be circulating throughout it.\There were parasites in the roots.\I must eliminate them.\Magic butterflies that bring hope to the hearts of all who see them!\Papilliodya that travels the five continents.\Papilliodya spend 120 years as a larva in the dark underground before becoming butterflies.\The delight of their first flight brings hope to the hearts of those who see.\Goodness, the memorial Tree! response:	Diana is the pride of Luna Nova.
context: There were parasites in the roots.\I must eliminate them.\Magic butterflies that bring hope to the hearts of all who see them!\Papilliodya that travels the five continents.\Papilliodya spend 120 years as a larva in the dark underground before becoming butterflies.\The delight of their first flight brings hope to the hearts of those who see.\Goodness, the memorial Tree!\Diana is the pride of Luna Nova. response:	If I reach out, it's sure to begin!
context: I must eliminate them.\Magic butterflies that bring hope to the hearts of all who see them!\Papilliodya that travels the five continents.\Papilliodya spend 120 years as a larva in the dark underground before becoming butterflies.\The delight of their first flight brings hope to the hearts of those who see.\Goodness, the memorial Tree!\Diana is the pride of Luna Nova.\If I reach out, it's sure to begin! response:	My very own story!
context: Magic butterflies that bring hope to the hearts of all who see them!\Papilliodya that travels the five continents.\Papilliodya spend 120 years as a larva in the dark underground before becoming butterflies.\The delight of their first flight brings hope to the hearts of those who see.\Goodness, the memorial Tree!\Diana is the pride of Luna Nova.\If I reach out, it's sure to begin!\My very own story! response:	Noctu... Orfei!
context: Papilliodya that travels the five continents.\Papilliodya spend 120 years as a larva in the dark underground before becoming butterflies.\The delight of their first flight brings hope to the hearts of those who see.\Goodness, the memorial Tree!\Diana is the pride of Luna Nova.\If I reach out, it's sure to begin!\My very own story!\Noctu... Orfei! response:	Aude Fraetor!
context: Papilliodya spend 120 years as a larva in the dark underground before becoming butterflies.\The delight of their first flight brings hope to the hearts of those who see.\Goodness, the memorial Tree!\Diana is the pride of Luna Nova.\If I reach out, it's sure to begin!\My very own story!\Noctu... Orfei!\Aude Fraetor! response:	Shiny Arc!
context: The delight of their first flight brings hope to the hearts of those who see.\Goodness, the memorial Tree!\Diana is the pride of Luna Nova.\If I reach out, it's sure to begin!\My very own story!\Noctu... Orfei!\Aude Fraetor!\Shiny Arc! response:	Oh, that's right!
context: Goodness, the memorial Tree!\Diana is the pride of Luna Nova.\If I reach out, it's sure to begin!\My very own story!\Noctu... Orfei!\Aude Fraetor!\Shiny Arc!\Oh, that's right! response:	The Shiny Rod!
context: Diana is the pride of Luna Nova.\If I reach out, it's sure to begin!\My very own story!\Noctu... Orfei!\Aude Fraetor!\Shiny Arc!\Oh, that's right!\The Shiny Rod! response:	It wasn't just a dream!
context: If I reach out, it's sure to begin!\My very own story!\Noctu... Orfei!\Aude Fraetor!\Shiny Arc!\Oh, that's right!\The Shiny Rod!\It wasn't just a dream! response:	I finally made it to the witch academy, Luna Nova!
context: My very own story!\Noctu... Orfei!\Aude Fraetor!\Shiny Arc!\Oh, that's right!\The Shiny Rod!\It wasn't just a dream!\I finally made it to the witch academy, Luna Nova! response:	Oh yeah!
context: Noctu... Orfei!\Aude Fraetor!\Shiny Arc!\Oh, that's right!\The Shiny Rod!\It wasn't just a dream!\I finally made it to the witch academy, Luna Nova!\Oh yeah! response:	Yay!
