context: I wonder what's happening on this world response:	I wonder what's happening on this world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	Ah, now that hits the spot!
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Ah, now that hits the spot! response:	After not eating or drinking anything for two days, this rice porridge is like a dream come true.
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Ah, now that hits the spot!\After not eating or drinking anything for two days, this rice porridge is like a dream come true. response:	And you even made arrangements for me to have a room while I was gone, Mizuki.
context: Hey, God,\I'm your god\I'm your god\I think\I think\Ah, now that hits the spot!\After not eating or drinking anything for two days, this rice porridge is like a dream come true.\And you even made arrangements for me to have a room while I was gone, Mizuki. response:	Gloom
context: I'm your god\I'm your god\I think\I think\Ah, now that hits the spot!\After not eating or drinking anything for two days, this rice porridge is like a dream come true.\And you even made arrangements for me to have a room while I was gone, Mizuki.\Gloom response:	Gloom
context: I'm your god\I think\I think\Ah, now that hits the spot!\After not eating or drinking anything for two days, this rice porridge is like a dream come true.\And you even made arrangements for me to have a room while I was gone, Mizuki.\Gloom\Gloom response:	Gloom
context: I think\I think\Ah, now that hits the spot!\After not eating or drinking anything for two days, this rice porridge is like a dream come true.\And you even made arrangements for me to have a room while I was gone, Mizuki.\Gloom\Gloom\Gloom response:	Gloom
context: I think\Ah, now that hits the spot!\After not eating or drinking anything for two days, this rice porridge is like a dream come true.\And you even made arrangements for me to have a room while I was gone, Mizuki.\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Ah, now that hits the spot!\After not eating or drinking anything for two days, this rice porridge is like a dream come true.\And you even made arrangements for me to have a room while I was gone, Mizuki.\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: After not eating or drinking anything for two days, this rice porridge is like a dream come true.\And you even made arrangements for me to have a room while I was gone, Mizuki.\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: And you even made arrangements for me to have a room while I was gone, Mizuki.\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	Gloom
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom response:	The God Makes Her Second Romantic Confession
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\The God Makes Her Second Romantic Confession response:	It's killing me.
context: Gloom\Gloom\Gloom\Gloom\Gloom\Gloom\The God Makes Her Second Romantic Confession\It's killing me. response:	I was supposed to accompany you, and yet...
context: Gloom\Gloom\Gloom\Gloom\Gloom\The God Makes Her Second Romantic Confession\It's killing me.\I was supposed to accompany you, and yet... response:	I wasn't there for you in your time of need.
context: Gloom\Gloom\Gloom\Gloom\The God Makes Her Second Romantic Confession\It's killing me.\I was supposed to accompany you, and yet...\I wasn't there for you in your time of need. response:	Crush this incompetent fool underfoot all you want!
context: Gloom\Gloom\Gloom\The God Makes Her Second Romantic Confession\It's killing me.\I was supposed to accompany you, and yet...\I wasn't there for you in your time of need.\Crush this incompetent fool underfoot all you want! response:	S-Stop being dramatic. Where's Tomoe?
context: Gloom\Gloom\The God Makes Her Second Romantic Confession\It's killing me.\I was supposed to accompany you, and yet...\I wasn't there for you in your time of need.\Crush this incompetent fool underfoot all you want!\S-Stop being dramatic. Where's Tomoe? response:	He carried me here, so he must still be in Izumo, right?
context: Gloom\The God Makes Her Second Romantic Confession\It's killing me.\I was supposed to accompany you, and yet...\I wasn't there for you in your time of need.\Crush this incompetent fool underfoot all you want!\S-Stop being dramatic. Where's Tomoe?\He carried me here, so he must still be in Izumo, right? response:	Beats me. Maybe out for a walk?
context: The God Makes Her Second Romantic Confession\It's killing me.\I was supposed to accompany you, and yet...\I wasn't there for you in your time of need.\Crush this incompetent fool underfoot all you want!\S-Stop being dramatic. Where's Tomoe?\He carried me here, so he must still be in Izumo, right?\Beats me. Maybe out for a walk? response:	Oh.
context: It's killing me.\I was supposed to accompany you, and yet...\I wasn't there for you in your time of need.\Crush this incompetent fool underfoot all you want!\S-Stop being dramatic. Where's Tomoe?\He carried me here, so he must still be in Izumo, right?\Beats me. Maybe out for a walk?\Oh. response:	It's only been a couple days, but I feel like it's been a month.
context: I was supposed to accompany you, and yet...\I wasn't there for you in your time of need.\Crush this incompetent fool underfoot all you want!\S-Stop being dramatic. Where's Tomoe?\He carried me here, so he must still be in Izumo, right?\Beats me. Maybe out for a walk?\Oh.\It's only been a couple days, but I feel like it's been a month. response:	Hm?
context: I wasn't there for you in your time of need.\Crush this incompetent fool underfoot all you want!\S-Stop being dramatic. Where's Tomoe?\He carried me here, so he must still be in Izumo, right?\Beats me. Maybe out for a walk?\Oh.\It's only been a couple days, but I feel like it's been a month.\Hm? response:	Mizuki! What day of the Divine Assembly is it today?!
context: Crush this incompetent fool underfoot all you want!\S-Stop being dramatic. Where's Tomoe?\He carried me here, so he must still be in Izumo, right?\Beats me. Maybe out for a walk?\Oh.\It's only been a couple days, but I feel like it's been a month.\Hm?\Mizuki! What day of the Divine Assembly is it today?! response:	It's, uh...
context: S-Stop being dramatic. Where's Tomoe?\He carried me here, so he must still be in Izumo, right?\Beats me. Maybe out for a walk?\Oh.\It's only been a couple days, but I feel like it's been a month.\Hm?\Mizuki! What day of the Divine Assembly is it today?!\It's, uh... response:	It's the fourth day, lady!
context: He carried me here, so he must still be in Izumo, right?\Beats me. Maybe out for a walk?\Oh.\It's only been a couple days, but I feel like it's been a month.\Hm?\Mizuki! What day of the Divine Assembly is it today?!\It's, uh...\It's the fourth day, lady! response:	I'd grown tired of waiting, Lady Nanami.
context: Beats me. Maybe out for a walk?\Oh.\It's only been a couple days, but I feel like it's been a month.\Hm?\Mizuki! What day of the Divine Assembly is it today?!\It's, uh...\It's the fourth day, lady!\I'd grown tired of waiting, Lady Nanami. response:	You did well to return to the great Ookuninushi only one day late, my darling.
context: Oh.\It's only been a couple days, but I feel like it's been a month.\Hm?\Mizuki! What day of the Divine Assembly is it today?!\It's, uh...\It's the fourth day, lady!\I'd grown tired of waiting, Lady Nanami.\You did well to return to the great Ookuninushi only one day late, my darling. response:	Just as I expected.
context: It's only been a couple days, but I feel like it's been a month.\Hm?\Mizuki! What day of the Divine Assembly is it today?!\It's, uh...\It's the fourth day, lady!\I'd grown tired of waiting, Lady Nanami.\You did well to return to the great Ookuninushi only one day late, my darling.\Just as I expected. response:	Ookuninushi!
context: Hm?\Mizuki! What day of the Divine Assembly is it today?!\It's, uh...\It's the fourth day, lady!\I'd grown tired of waiting, Lady Nanami.\You did well to return to the great Ookuninushi only one day late, my darling.\Just as I expected.\Ookuninushi! response:	Chair and all?
context: Mizuki! What day of the Divine Assembly is it today?!\It's, uh...\It's the fourth day, lady!\I'd grown tired of waiting, Lady Nanami.\You did well to return to the great Ookuninushi only one day late, my darling.\Just as I expected.\Ookuninushi!\Chair and all? response:	Ow!
context: It's, uh...\It's the fourth day, lady!\I'd grown tired of waiting, Lady Nanami.\You did well to return to the great Ookuninushi only one day late, my darling.\Just as I expected.\Ookuninushi!\Chair and all?\Ow! response:	I have already heard of your deeds in the Netherworld.
context: It's the fourth day, lady!\I'd grown tired of waiting, Lady Nanami.\You did well to return to the great Ookuninushi only one day late, my darling.\Just as I expected.\Ookuninushi!\Chair and all?\Ow!\I have already heard of your deeds in the Netherworld. response:	Thanks to that, the phone at my desk has been ringing off the hook with complaints.
context: I'd grown tired of waiting, Lady Nanami.\You did well to return to the great Ookuninushi only one day late, my darling.\Just as I expected.\Ookuninushi!\Chair and all?\Ow!\I have already heard of your deeds in the Netherworld.\Thanks to that, the phone at my desk has been ringing off the hook with complaints. response:	I-I am so sorry!
context: You did well to return to the great Ookuninushi only one day late, my darling.\Just as I expected.\Ookuninushi!\Chair and all?\Ow!\I have already heard of your deeds in the Netherworld.\Thanks to that, the phone at my desk has been ringing off the hook with complaints.\I-I am so sorry! response:	All is well.
context: Just as I expected.\Ookuninushi!\Chair and all?\Ow!\I have already heard of your deeds in the Netherworld.\Thanks to that, the phone at my desk has been ringing off the hook with complaints.\I-I am so sorry!\All is well. response:	And poof.
context: Ookuninushi!\Chair and all?\Ow!\I have already heard of your deeds in the Netherworld.\Thanks to that, the phone at my desk has been ringing off the hook with complaints.\I-I am so sorry!\All is well.\And poof. response:	After all, my missing Lucky Mallet has returned as well.
context: Chair and all?\Ow!\I have already heard of your deeds in the Netherworld.\Thanks to that, the phone at my desk has been ringing off the hook with complaints.\I-I am so sorry!\All is well.\And poof.\After all, my missing Lucky Mallet has returned as well. response:	I will overlook your tardiness as thanks.
context: Ow!\I have already heard of your deeds in the Netherworld.\Thanks to that, the phone at my desk has been ringing off the hook with complaints.\I-I am so sorry!\All is well.\And poof.\After all, my missing Lucky Mallet has returned as well.\I will overlook your tardiness as thanks. response:	However...
context: I have already heard of your deeds in the Netherworld.\Thanks to that, the phone at my desk has been ringing off the hook with complaints.\I-I am so sorry!\All is well.\And poof.\After all, my missing Lucky Mallet has returned as well.\I will overlook your tardiness as thanks.\However... response:	Tomoe's actions upon using the Lucky Mallet to reduce himself to a spirit were deeply reprehensible.
context: Thanks to that, the phone at my desk has been ringing off the hook with complaints.\I-I am so sorry!\All is well.\And poof.\After all, my missing Lucky Mallet has returned as well.\I will overlook your tardiness as thanks.\However...\Tomoe's actions upon using the Lucky Mallet to reduce himself to a spirit were deeply reprehensible. response:	He'll be kept in the east prison for now.
context: I-I am so sorry!\All is well.\And poof.\After all, my missing Lucky Mallet has returned as well.\I will overlook your tardiness as thanks.\However...\Tomoe's actions upon using the Lucky Mallet to reduce himself to a spirit were deeply reprehensible.\He'll be kept in the east prison for now. response:	What?
context: All is well.\And poof.\After all, my missing Lucky Mallet has returned as well.\I will overlook your tardiness as thanks.\However...\Tomoe's actions upon using the Lucky Mallet to reduce himself to a spirit were deeply reprehensible.\He'll be kept in the east prison for now.\What? response:	Allow me to deal with Tomoe.
context: And poof.\After all, my missing Lucky Mallet has returned as well.\I will overlook your tardiness as thanks.\However...\Tomoe's actions upon using the Lucky Mallet to reduce himself to a spirit were deeply reprehensible.\He'll be kept in the east prison for now.\What?\Allow me to deal with Tomoe. response:	You must now devote yourself to your duties at the Divine Assembly.
context: After all, my missing Lucky Mallet has returned as well.\I will overlook your tardiness as thanks.\However...\Tomoe's actions upon using the Lucky Mallet to reduce himself to a spirit were deeply reprehensible.\He'll be kept in the east prison for now.\What?\Allow me to deal with Tomoe.\You must now devote yourself to your duties at the Divine Assembly. response:	Prison
context: I will overlook your tardiness as thanks.\However...\Tomoe's actions upon using the Lucky Mallet to reduce himself to a spirit were deeply reprehensible.\He'll be kept in the east prison for now.\What?\Allow me to deal with Tomoe.\You must now devote yourself to your duties at the Divine Assembly.\Prison response:	Prison
context: However...\Tomoe's actions upon using the Lucky Mallet to reduce himself to a spirit were deeply reprehensible.\He'll be kept in the east prison for now.\What?\Allow me to deal with Tomoe.\You must now devote yourself to your duties at the Divine Assembly.\Prison\Prison response:	Prison
context: Tomoe's actions upon using the Lucky Mallet to reduce himself to a spirit were deeply reprehensible.\He'll be kept in the east prison for now.\What?\Allow me to deal with Tomoe.\You must now devote yourself to your duties at the Divine Assembly.\Prison\Prison\Prison response:	Prison
context: He'll be kept in the east prison for now.\What?\Allow me to deal with Tomoe.\You must now devote yourself to your duties at the Divine Assembly.\Prison\Prison\Prison\Prison response:	Prison
context: What?\Allow me to deal with Tomoe.\You must now devote yourself to your duties at the Divine Assembly.\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Allow me to deal with Tomoe.\You must now devote yourself to your duties at the Divine Assembly.\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: You must now devote yourself to your duties at the Divine Assembly.\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison response:	Prison?!
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison\Prison?! response:	But why?!
context: Prison\Prison\Prison\Prison\Prison\Prison\Prison?!\But why?! response:	Tomoe is my familiar!
