context: What is that? response:	Isanami?
context: Sir, this darkness... Is this Isanami's doing?\We must act before the darkness consumes everything.\Don't strain yourself.\You're not fit to move yet.\Troubling you would be the greatest dishonor as your servant.\However, I can still see the prophecy of Izumo that was engraved in my lost eye.\I must go.\Rokuro. response:	Let's hurry.
context: We must act before the darkness consumes everything.\Don't strain yourself.\You're not fit to move yet.\Troubling you would be the greatest dishonor as your servant.\However, I can still see the prophecy of Izumo that was engraved in my lost eye.\I must go.\Rokuro.\Let's hurry. response:	Sir.
context: Don't strain yourself.\You're not fit to move yet.\Troubling you would be the greatest dishonor as your servant.\However, I can still see the prophecy of Izumo that was engraved in my lost eye.\I must go.\Rokuro.\Let's hurry.\Sir. response:	I am grateful.
context: You're not fit to move yet.\Troubling you would be the greatest dishonor as your servant.\However, I can still see the prophecy of Izumo that was engraved in my lost eye.\I must go.\Rokuro.\Let's hurry.\Sir.\I am grateful. response:	The Warrior of Light
context: Troubling you would be the greatest dishonor as your servant.\However, I can still see the prophecy of Izumo that was engraved in my lost eye.\I must go.\Rokuro.\Let's hurry.\Sir.\I am grateful.\The Warrior of Light response:	Isanami!
context: However, I can still see the prophecy of Izumo that was engraved in my lost eye.\I must go.\Rokuro.\Let's hurry.\Sir.\I am grateful.\The Warrior of Light\Isanami! response:	This foreboding atmosphere is wonderful.
context: I must go.\Rokuro.\Let's hurry.\Sir.\I am grateful.\The Warrior of Light\Isanami!\This foreboding atmosphere is wonderful. response:	Isanami...
context: Rokuro.\Let's hurry.\Sir.\I am grateful.\The Warrior of Light\Isanami!\This foreboding atmosphere is wonderful.\Isanami... response:	Is she the goddess of death with the dark power to destroy the world?
context: Let's hurry.\Sir.\I am grateful.\The Warrior of Light\Isanami!\This foreboding atmosphere is wonderful.\Isanami...\Is she the goddess of death with the dark power to destroy the world? response:	No...
context: Sir.\I am grateful.\The Warrior of Light\Isanami!\This foreboding atmosphere is wonderful.\Isanami...\Is she the goddess of death with the dark power to destroy the world?\No... response:	I will destroy everything.
context: I am grateful.\The Warrior of Light\Isanami!\This foreboding atmosphere is wonderful.\Isanami...\Is she the goddess of death with the dark power to destroy the world?\No...\I will destroy everything. response:	No.
context: The Warrior of Light\Isanami!\This foreboding atmosphere is wonderful.\Isanami...\Is she the goddess of death with the dark power to destroy the world?\No...\I will destroy everything.\No. response:	My dark self is growing...
context: Isanami!\This foreboding atmosphere is wonderful.\Isanami...\Is she the goddess of death with the dark power to destroy the world?\No...\I will destroy everything.\No.\My dark self is growing... response:	I see.
context: This foreboding atmosphere is wonderful.\Isanami...\Is she the goddess of death with the dark power to destroy the world?\No...\I will destroy everything.\No.\My dark self is growing...\I see. response:	This must be a control device.
context: Isanami...\Is she the goddess of death with the dark power to destroy the world?\No...\I will destroy everything.\No.\My dark self is growing...\I see.\This must be a control device. response:	With the Kushimitama, I should be able to bend her to my will.
context: Is she the goddess of death with the dark power to destroy the world?\No...\I will destroy everything.\No.\My dark self is growing...\I see.\This must be a control device.\With the Kushimitama, I should be able to bend her to my will. response:	Hanzo!
context: No...\I will destroy everything.\No.\My dark self is growing...\I see.\This must be a control device.\With the Kushimitama, I should be able to bend her to my will.\Hanzo! response:	I can tell you're desperate to recover the Kushimitama,
context: I will destroy everything.\No.\My dark self is growing...\I see.\This must be a control device.\With the Kushimitama, I should be able to bend her to my will.\Hanzo!\I can tell you're desperate to recover the Kushimitama, response:	but what are you thinking?
context: No.\My dark self is growing...\I see.\This must be a control device.\With the Kushimitama, I should be able to bend her to my will.\Hanzo!\I can tell you're desperate to recover the Kushimitama,\but what are you thinking? response:	If you're not trying to kill me, you don't stand a chance.
context: My dark self is growing...\I see.\This must be a control device.\With the Kushimitama, I should be able to bend her to my will.\Hanzo!\I can tell you're desperate to recover the Kushimitama,\but what are you thinking?\If you're not trying to kill me, you don't stand a chance. response:	This is where your lukewarm team gets you.
context: I see.\This must be a control device.\With the Kushimitama, I should be able to bend her to my will.\Hanzo!\I can tell you're desperate to recover the Kushimitama,\but what are you thinking?\If you're not trying to kill me, you don't stand a chance.\This is where your lukewarm team gets you. response:	Your desire for nice little friendships makes you weak.
context: This must be a control device.\With the Kushimitama, I should be able to bend her to my will.\Hanzo!\I can tell you're desperate to recover the Kushimitama,\but what are you thinking?\If you're not trying to kill me, you don't stand a chance.\This is where your lukewarm team gets you.\Your desire for nice little friendships makes you weak. response:	A ninja's only ally is himself.
context: With the Kushimitama, I should be able to bend her to my will.\Hanzo!\I can tell you're desperate to recover the Kushimitama,\but what are you thinking?\If you're not trying to kill me, you don't stand a chance.\This is where your lukewarm team gets you.\Your desire for nice little friendships makes you weak.\A ninja's only ally is himself. response:	You can only count on your own ability,
context: Hanzo!\I can tell you're desperate to recover the Kushimitama,\but what are you thinking?\If you're not trying to kill me, you don't stand a chance.\This is where your lukewarm team gets you.\Your desire for nice little friendships makes you weak.\A ninja's only ally is himself.\You can only count on your own ability, response:	your own body, your own senses.
context: I can tell you're desperate to recover the Kushimitama,\but what are you thinking?\If you're not trying to kill me, you don't stand a chance.\This is where your lukewarm team gets you.\Your desire for nice little friendships makes you weak.\A ninja's only ally is himself.\You can only count on your own ability,\your own body, your own senses. response:	You think someone who has forgotten these things can fight me?
context: but what are you thinking?\If you're not trying to kill me, you don't stand a chance.\This is where your lukewarm team gets you.\Your desire for nice little friendships makes you weak.\A ninja's only ally is himself.\You can only count on your own ability,\your own body, your own senses.\You think someone who has forgotten these things can fight me? response:	This isn't even funny.
context: If you're not trying to kill me, you don't stand a chance.\This is where your lukewarm team gets you.\Your desire for nice little friendships makes you weak.\A ninja's only ally is himself.\You can only count on your own ability,\your own body, your own senses.\You think someone who has forgotten these things can fight me?\This isn't even funny. response:	What a sad man.
context: This is where your lukewarm team gets you.\Your desire for nice little friendships makes you weak.\A ninja's only ally is himself.\You can only count on your own ability,\your own body, your own senses.\You think someone who has forgotten these things can fight me?\This isn't even funny.\What a sad man. response:	What can a man who only thinks of himself do with that power?
context: Your desire for nice little friendships makes you weak.\A ninja's only ally is himself.\You can only count on your own ability,\your own body, your own senses.\You think someone who has forgotten these things can fight me?\This isn't even funny.\What a sad man.\What can a man who only thinks of himself do with that power? response:	What do you want to do?
context: A ninja's only ally is himself.\You can only count on your own ability,\your own body, your own senses.\You think someone who has forgotten these things can fight me?\This isn't even funny.\What a sad man.\What can a man who only thinks of himself do with that power?\What do you want to do? response:	I'll do far more than a fool who doesn't even attempt to use such power.
context: You can only count on your own ability,\your own body, your own senses.\You think someone who has forgotten these things can fight me?\This isn't even funny.\What a sad man.\What can a man who only thinks of himself do with that power?\What do you want to do?\I'll do far more than a fool who doesn't even attempt to use such power. response:	Because I think only of myself, my actions are pure.
context: your own body, your own senses.\You think someone who has forgotten these things can fight me?\This isn't even funny.\What a sad man.\What can a man who only thinks of himself do with that power?\What do you want to do?\I'll do far more than a fool who doesn't even attempt to use such power.\Because I think only of myself, my actions are pure. response:	Besides, this power is too great for you.
context: You think someone who has forgotten these things can fight me?\This isn't even funny.\What a sad man.\What can a man who only thinks of himself do with that power?\What do you want to do?\I'll do far more than a fool who doesn't even attempt to use such power.\Because I think only of myself, my actions are pure.\Besides, this power is too great for you. response:	You have none of the exceptional qualities of a great man.
context: This isn't even funny.\What a sad man.\What can a man who only thinks of himself do with that power?\What do you want to do?\I'll do far more than a fool who doesn't even attempt to use such power.\Because I think only of myself, my actions are pure.\Besides, this power is too great for you.\You have none of the exceptional qualities of a great man. response:	Truly irresolute.
context: What a sad man.\What can a man who only thinks of himself do with that power?\What do you want to do?\I'll do far more than a fool who doesn't even attempt to use such power.\Because I think only of myself, my actions are pure.\Besides, this power is too great for you.\You have none of the exceptional qualities of a great man.\Truly irresolute. response:	It is your fatal flaw.
context: What can a man who only thinks of himself do with that power?\What do you want to do?\I'll do far more than a fool who doesn't even attempt to use such power.\Because I think only of myself, my actions are pure.\Besides, this power is too great for you.\You have none of the exceptional qualities of a great man.\Truly irresolute.\It is your fatal flaw. response:	The ease with which the ice infiltrated your defenses speaks to your weakness.
context: What do you want to do?\I'll do far more than a fool who doesn't even attempt to use such power.\Because I think only of myself, my actions are pure.\Besides, this power is too great for you.\You have none of the exceptional qualities of a great man.\Truly irresolute.\It is your fatal flaw.\The ease with which the ice infiltrated your defenses speaks to your weakness. response:	I'm a generous man.
context: I'll do far more than a fool who doesn't even attempt to use such power.\Because I think only of myself, my actions are pure.\Besides, this power is too great for you.\You have none of the exceptional qualities of a great man.\Truly irresolute.\It is your fatal flaw.\The ease with which the ice infiltrated your defenses speaks to your weakness.\I'm a generous man. response:	That woman took my bait hook, line, and sinker,
context: Because I think only of myself, my actions are pure.\Besides, this power is too great for you.\You have none of the exceptional qualities of a great man.\Truly irresolute.\It is your fatal flaw.\The ease with which the ice infiltrated your defenses speaks to your weakness.\I'm a generous man.\That woman took my bait hook, line, and sinker, response:	while spouting idealistic nonsense about the restoration of her homeland.
context: Besides, this power is too great for you.\You have none of the exceptional qualities of a great man.\Truly irresolute.\It is your fatal flaw.\The ease with which the ice infiltrated your defenses speaks to your weakness.\I'm a generous man.\That woman took my bait hook, line, and sinker,\while spouting idealistic nonsense about the restoration of her homeland. response:	She played her part well.
context: You have none of the exceptional qualities of a great man.\Truly irresolute.\It is your fatal flaw.\The ease with which the ice infiltrated your defenses speaks to your weakness.\I'm a generous man.\That woman took my bait hook, line, and sinker,\while spouting idealistic nonsense about the restoration of her homeland.\She played her part well. response:	I suppose she was a useful tool.
context: Truly irresolute.\It is your fatal flaw.\The ease with which the ice infiltrated your defenses speaks to your weakness.\I'm a generous man.\That woman took my bait hook, line, and sinker,\while spouting idealistic nonsense about the restoration of her homeland.\She played her part well.\I suppose she was a useful tool. response:	Shut your damn mouth!
context: It is your fatal flaw.\The ease with which the ice infiltrated your defenses speaks to your weakness.\I'm a generous man.\That woman took my bait hook, line, and sinker,\while spouting idealistic nonsense about the restoration of her homeland.\She played her part well.\I suppose she was a useful tool.\Shut your damn mouth! response:	Ana was never your tool!
context: The ease with which the ice infiltrated your defenses speaks to your weakness.\I'm a generous man.\That woman took my bait hook, line, and sinker,\while spouting idealistic nonsense about the restoration of her homeland.\She played her part well.\I suppose she was a useful tool.\Shut your damn mouth!\Ana was never your tool! response:	She was putting her life on the line for what she believed in!
context: I'm a generous man.\That woman took my bait hook, line, and sinker,\while spouting idealistic nonsense about the restoration of her homeland.\She played her part well.\I suppose she was a useful tool.\Shut your damn mouth!\Ana was never your tool!\She was putting her life on the line for what she believed in! response:	It's something you'd never understand.
context: That woman took my bait hook, line, and sinker,\while spouting idealistic nonsense about the restoration of her homeland.\She played her part well.\I suppose she was a useful tool.\Shut your damn mouth!\Ana was never your tool!\She was putting her life on the line for what she believed in!\It's something you'd never understand. response:	Saizo!
context: while spouting idealistic nonsense about the restoration of her homeland.\She played her part well.\I suppose she was a useful tool.\Shut your damn mouth!\Ana was never your tool!\She was putting her life on the line for what she believed in!\It's something you'd never understand.\Saizo! response:	You might as well be shouting at nothing.
context: She played her part well.\I suppose she was a useful tool.\Shut your damn mouth!\Ana was never your tool!\She was putting her life on the line for what she believed in!\It's something you'd never understand.\Saizo!\You might as well be shouting at nothing. response:	Just watch from down there as the darkness falls under my control.
context: I suppose she was a useful tool.\Shut your damn mouth!\Ana was never your tool!\She was putting her life on the line for what she believed in!\It's something you'd never understand.\Saizo!\You might as well be shouting at nothing.\Just watch from down there as the darkness falls under my control. response:	It won't be that easy.
context: Shut your damn mouth!\Ana was never your tool!\She was putting her life on the line for what she believed in!\It's something you'd never understand.\Saizo!\You might as well be shouting at nothing.\Just watch from down there as the darkness falls under my control.\It won't be that easy. response:	She will do anything I teach her to do.
context: Ana was never your tool!\She was putting her life on the line for what she believed in!\It's something you'd never understand.\Saizo!\You might as well be shouting at nothing.\Just watch from down there as the darkness falls under my control.\It won't be that easy.\She will do anything I teach her to do. response:	Pure destructive power.
context: She was putting her life on the line for what she believed in!\It's something you'd never understand.\Saizo!\You might as well be shouting at nothing.\Just watch from down there as the darkness falls under my control.\It won't be that easy.\She will do anything I teach her to do.\Pure destructive power. response:	Perfect for a man of pure desire.
context: It's something you'd never understand.\Saizo!\You might as well be shouting at nothing.\Just watch from down there as the darkness falls under my control.\It won't be that easy.\She will do anything I teach her to do.\Pure destructive power.\Perfect for a man of pure desire. response:	Come, Isanami!
context: Saizo!\You might as well be shouting at nothing.\Just watch from down there as the darkness falls under my control.\It won't be that easy.\She will do anything I teach her to do.\Pure destructive power.\Perfect for a man of pure desire.\Come, Isanami! response:	Isana...
context: You might as well be shouting at nothing.\Just watch from down there as the darkness falls under my control.\It won't be that easy.\She will do anything I teach her to do.\Pure destructive power.\Perfect for a man of pure desire.\Come, Isanami!\Isana... response:	Why?
context: Just watch from down there as the darkness falls under my control.\It won't be that easy.\She will do anything I teach her to do.\Pure destructive power.\Perfect for a man of pure desire.\Come, Isanami!\Isana...\Why? response:	I have the Kushimitama.
context: It won't be that easy.\She will do anything I teach her to do.\Pure destructive power.\Perfect for a man of pure desire.\Come, Isanami!\Isana...\Why?\I have the Kushimitama. response:	She should obey me.
context: She will do anything I teach her to do.\Pure destructive power.\Perfect for a man of pure desire.\Come, Isanami!\Isana...\Why?\I have the Kushimitama.\She should obey me. response:	The darkness will consume me!
context: Pure destructive power.\Perfect for a man of pure desire.\Come, Isanami!\Isana...\Why?\I have the Kushimitama.\She should obey me.\The darkness will consume me! response:	It rejected Hanzo... and the Kushimitama?
context: Perfect for a man of pure desire.\Come, Isanami!\Isana...\Why?\I have the Kushimitama.\She should obey me.\The darkness will consume me!\It rejected Hanzo... and the Kushimitama? response:	Rokuro?
context: Come, Isanami!\Isana...\Why?\I have the Kushimitama.\She should obey me.\The darkness will consume me!\It rejected Hanzo... and the Kushimitama?\Rokuro? response:	Rokuro-san?
context: Isana...\Why?\I have the Kushimitama.\She should obey me.\The darkness will consume me!\It rejected Hanzo... and the Kushimitama?\Rokuro?\Rokuro-san? response:	The prophecy under Izumo...
context: Why?\I have the Kushimitama.\She should obey me.\The darkness will consume me!\It rejected Hanzo... and the Kushimitama?\Rokuro?\Rokuro-san?\The prophecy under Izumo... response:	When the power of darkness rises again,
context: I have the Kushimitama.\She should obey me.\The darkness will consume me!\It rejected Hanzo... and the Kushimitama?\Rokuro?\Rokuro-san?\The prophecy under Izumo...\When the power of darkness rises again, response:	dispel it with the lives of the nine elements.
context: She should obey me.\The darkness will consume me!\It rejected Hanzo... and the Kushimitama?\Rokuro?\Rokuro-san?\The prophecy under Izumo...\When the power of darkness rises again,\dispel it with the lives of the nine elements. response:	If it's true...
context: The darkness will consume me!\It rejected Hanzo... and the Kushimitama?\Rokuro?\Rokuro-san?\The prophecy under Izumo...\When the power of darkness rises again,\dispel it with the lives of the nine elements.\If it's true... response:	The prophecy of Izumo?
context: It rejected Hanzo... and the Kushimitama?\Rokuro?\Rokuro-san?\The prophecy under Izumo...\When the power of darkness rises again,\dispel it with the lives of the nine elements.\If it's true...\The prophecy of Izumo? response:	You mean the inscription?
context: Rokuro?\Rokuro-san?\The prophecy under Izumo...\When the power of darkness rises again,\dispel it with the lives of the nine elements.\If it's true...\The prophecy of Izumo?\You mean the inscription? response:	I lost my right eye,
context: Rokuro-san?\The prophecy under Izumo...\When the power of darkness rises again,\dispel it with the lives of the nine elements.\If it's true...\The prophecy of Izumo?\You mean the inscription?\I lost my right eye, response:	but I am still one of the warriors of the elements.
context: The prophecy under Izumo...\When the power of darkness rises again,\dispel it with the lives of the nine elements.\If it's true...\The prophecy of Izumo?\You mean the inscription?\I lost my right eye,\but I am still one of the warriors of the elements. response:	If my life will do anything to stop the darkness...
context: When the power of darkness rises again,\dispel it with the lives of the nine elements.\If it's true...\The prophecy of Izumo?\You mean the inscription?\I lost my right eye,\but I am still one of the warriors of the elements.\If my life will do anything to stop the darkness... response:	Rokuro, no!
context: dispel it with the lives of the nine elements.\If it's true...\The prophecy of Izumo?\You mean the inscription?\I lost my right eye,\but I am still one of the warriors of the elements.\If my life will do anything to stop the darkness...\Rokuro, no! response:	Yukimura-sama!
context: If it's true...\The prophecy of Izumo?\You mean the inscription?\I lost my right eye,\but I am still one of the warriors of the elements.\If my life will do anything to stop the darkness...\Rokuro, no!\Yukimura-sama! response:	Please forgive this final act of disobedience.
context: The prophecy of Izumo?\You mean the inscription?\I lost my right eye,\but I am still one of the warriors of the elements.\If my life will do anything to stop the darkness...\Rokuro, no!\Yukimura-sama!\Please forgive this final act of disobedience. response:	Rokuro!
context: You mean the inscription?\I lost my right eye,\but I am still one of the warriors of the elements.\If my life will do anything to stop the darkness...\Rokuro, no!\Yukimura-sama!\Please forgive this final act of disobedience.\Rokuro! response:	Rokuro, Saizo!
context: I lost my right eye,\but I am still one of the warriors of the elements.\If my life will do anything to stop the darkness...\Rokuro, no!\Yukimura-sama!\Please forgive this final act of disobedience.\Rokuro!\Rokuro, Saizo! response:	We're supposed to stop this darkness with our lives, huh?
context: but I am still one of the warriors of the elements.\If my life will do anything to stop the darkness...\Rokuro, no!\Yukimura-sama!\Please forgive this final act of disobedience.\Rokuro!\Rokuro, Saizo!\We're supposed to stop this darkness with our lives, huh? response:	Bring it on.
context: If my life will do anything to stop the darkness...\Rokuro, no!\Yukimura-sama!\Please forgive this final act of disobedience.\Rokuro!\Rokuro, Saizo!\We're supposed to stop this darkness with our lives, huh?\Bring it on. response:	Saizo, you saw what happened to Hanzo.
context: Rokuro, no!\Yukimura-sama!\Please forgive this final act of disobedience.\Rokuro!\Rokuro, Saizo!\We're supposed to stop this darkness with our lives, huh?\Bring it on.\Saizo, you saw what happened to Hanzo. response:	That isn't Isanami any more!
context: Yukimura-sama!\Please forgive this final act of disobedience.\Rokuro!\Rokuro, Saizo!\We're supposed to stop this darkness with our lives, huh?\Bring it on.\Saizo, you saw what happened to Hanzo.\That isn't Isanami any more! response:	Act carelessly, and it will destroy you, too!
context: Please forgive this final act of disobedience.\Rokuro!\Rokuro, Saizo!\We're supposed to stop this darkness with our lives, huh?\Bring it on.\Saizo, you saw what happened to Hanzo.\That isn't Isanami any more!\Act carelessly, and it will destroy you, too! response:	That's Isanami!
context: Rokuro!\Rokuro, Saizo!\We're supposed to stop this darkness with our lives, huh?\Bring it on.\Saizo, you saw what happened to Hanzo.\That isn't Isanami any more!\Act carelessly, and it will destroy you, too!\That's Isanami! response:	Acting without thinking and causing nothing but trouble.
context: Rokuro, Saizo!\We're supposed to stop this darkness with our lives, huh?\Bring it on.\Saizo, you saw what happened to Hanzo.\That isn't Isanami any more!\Act carelessly, and it will destroy you, too!\That's Isanami!\Acting without thinking and causing nothing but trouble. response:	She's grown into a bigger form, but nothing else has changed.
context: We're supposed to stop this darkness with our lives, huh?\Bring it on.\Saizo, you saw what happened to Hanzo.\That isn't Isanami any more!\Act carelessly, and it will destroy you, too!\That's Isanami!\Acting without thinking and causing nothing but trouble.\She's grown into a bigger form, but nothing else has changed. response:	Prophecy?
context: Bring it on.\Saizo, you saw what happened to Hanzo.\That isn't Isanami any more!\Act carelessly, and it will destroy you, too!\That's Isanami!\Acting without thinking and causing nothing but trouble.\She's grown into a bigger form, but nothing else has changed.\Prophecy? response:	I'm not going to let that bullshit rule me!
context: Saizo, you saw what happened to Hanzo.\That isn't Isanami any more!\Act carelessly, and it will destroy you, too!\That's Isanami!\Acting without thinking and causing nothing but trouble.\She's grown into a bigger form, but nothing else has changed.\Prophecy?\I'm not going to let that bullshit rule me! response:	Saizo.
context: That isn't Isanami any more!\Act carelessly, and it will destroy you, too!\That's Isanami!\Acting without thinking and causing nothing but trouble.\She's grown into a bigger form, but nothing else has changed.\Prophecy?\I'm not going to let that bullshit rule me!\Saizo. response:	I'll cut open that darkness and bring her out my way!
context: Act carelessly, and it will destroy you, too!\That's Isanami!\Acting without thinking and causing nothing but trouble.\She's grown into a bigger form, but nothing else has changed.\Prophecy?\I'm not going to let that bullshit rule me!\Saizo.\I'll cut open that darkness and bring her out my way! response:	Isanami!
context: That's Isanami!\Acting without thinking and causing nothing but trouble.\She's grown into a bigger form, but nothing else has changed.\Prophecy?\I'm not going to let that bullshit rule me!\Saizo.\I'll cut open that darkness and bring her out my way!\Isanami! response:	Isanami!
context: Acting without thinking and causing nothing but trouble.\She's grown into a bigger form, but nothing else has changed.\Prophecy?\I'm not going to let that bullshit rule me!\Saizo.\I'll cut open that darkness and bring her out my way!\Isanami!\Isanami! response:	Wake up already!
context: She's grown into a bigger form, but nothing else has changed.\Prophecy?\I'm not going to let that bullshit rule me!\Saizo.\I'll cut open that darkness and bring her out my way!\Isanami!\Isanami!\Wake up already! response:	Everyone's waiting for you!
context: Prophecy?\I'm not going to let that bullshit rule me!\Saizo.\I'll cut open that darkness and bring her out my way!\Isanami!\Isanami!\Wake up already!\Everyone's waiting for you! response:	United by our common identity as braves,
context: I'm not going to let that bullshit rule me!\Saizo.\I'll cut open that darkness and bring her out my way!\Isanami!\Isanami!\Wake up already!\Everyone's waiting for you!\United by our common identity as braves, response:	we could face any opponent.
context: Saizo.\I'll cut open that darkness and bring her out my way!\Isanami!\Isanami!\Wake up already!\Everyone's waiting for you!\United by our common identity as braves,\we could face any opponent. response:	That's our true strength.
context: I'll cut open that darkness and bring her out my way!\Isanami!\Isanami!\Wake up already!\Everyone's waiting for you!\United by our common identity as braves,\we could face any opponent.\That's our true strength. response:	I don't know much about fate, and I don't care either,
context: Isanami!\Isanami!\Wake up already!\Everyone's waiting for you!\United by our common identity as braves,\we could face any opponent.\That's our true strength.\I don't know much about fate, and I don't care either, response:	but because of you...
context: Isanami!\Wake up already!\Everyone's waiting for you!\United by our common identity as braves,\we could face any opponent.\That's our true strength.\I don't know much about fate, and I don't care either,\but because of you... response:	I feel like we rallied around you!
context: Wake up already!\Everyone's waiting for you!\United by our common identity as braves,\we could face any opponent.\That's our true strength.\I don't know much about fate, and I don't care either,\but because of you...\I feel like we rallied around you! response:	Isanami!
context: Everyone's waiting for you!\United by our common identity as braves,\we could face any opponent.\That's our true strength.\I don't know much about fate, and I don't care either,\but because of you...\I feel like we rallied around you!\Isanami! response:	Without you, we'll always be one short!
context: United by our common identity as braves,\we could face any opponent.\That's our true strength.\I don't know much about fate, and I don't care either,\but because of you...\I feel like we rallied around you!\Isanami!\Without you, we'll always be one short! response:	Saizo!
context: we could face any opponent.\That's our true strength.\I don't know much about fate, and I don't care either,\but because of you...\I feel like we rallied around you!\Isanami!\Without you, we'll always be one short!\Saizo! response:	Saizo has...
context: That's our true strength.\I don't know much about fate, and I don't care either,\but because of you...\I feel like we rallied around you!\Isanami!\Without you, we'll always be one short!\Saizo!\Saizo has... response:	Is this...
context: I don't know much about fate, and I don't care either,\but because of you...\I feel like we rallied around you!\Isanami!\Without you, we'll always be one short!\Saizo!\Saizo has...\Is this... response:	Is this what you really want, Isanami?
context: but because of you...\I feel like we rallied around you!\Isanami!\Without you, we'll always be one short!\Saizo!\Saizo has...\Is this...\Is this what you really want, Isanami? response:	Isa...
context: I feel like we rallied around you!\Isanami!\Without you, we'll always be one short!\Saizo!\Saizo has...\Is this...\Is this what you really want, Isanami?\Isa... response:	The gods will save mankind.
context: Isanami!\Without you, we'll always be one short!\Saizo!\Saizo has...\Is this...\Is this what you really want, Isanami?\Isa...\The gods will save mankind. response:	Naturally, those who serve the gods will save men.
context: Without you, we'll always be one short!\Saizo!\Saizo has...\Is this...\Is this what you really want, Isanami?\Isa...\The gods will save mankind.\Naturally, those who serve the gods will save men. response:	Do not be so arrogant, Seikai.
context: Saizo!\Saizo has...\Is this...\Is this what you really want, Isanami?\Isa...\The gods will save mankind.\Naturally, those who serve the gods will save men.\Do not be so arrogant, Seikai. response:	Even the gods cannot do everything.
context: Saizo has...\Is this...\Is this what you really want, Isanami?\Isa...\The gods will save mankind.\Naturally, those who serve the gods will save men.\Do not be so arrogant, Seikai.\Even the gods cannot do everything. response:	Then what are gods?
context: Is this...\Is this what you really want, Isanami?\Isa...\The gods will save mankind.\Naturally, those who serve the gods will save men.\Do not be so arrogant, Seikai.\Even the gods cannot do everything.\Then what are gods? response:	According to the Buddhists, chanting invocations alone will save you.
context: Is this what you really want, Isanami?\Isa...\The gods will save mankind.\Naturally, those who serve the gods will save men.\Do not be so arrogant, Seikai.\Even the gods cannot do everything.\Then what are gods?\According to the Buddhists, chanting invocations alone will save you. response:	No good will come from staying in this narrow-minded shrine!
context: Isa...\The gods will save mankind.\Naturally, those who serve the gods will save men.\Do not be so arrogant, Seikai.\Even the gods cannot do everything.\Then what are gods?\According to the Buddhists, chanting invocations alone will save you.\No good will come from staying in this narrow-minded shrine! response:	I'm leaving!
context: The gods will save mankind.\Naturally, those who serve the gods will save men.\Do not be so arrogant, Seikai.\Even the gods cannot do everything.\Then what are gods?\According to the Buddhists, chanting invocations alone will save you.\No good will come from staying in this narrow-minded shrine!\I'm leaving! response:	I will find the true meaning of the gods!
context: Naturally, those who serve the gods will save men.\Do not be so arrogant, Seikai.\Even the gods cannot do everything.\Then what are gods?\According to the Buddhists, chanting invocations alone will save you.\No good will come from staying in this narrow-minded shrine!\I'm leaving!\I will find the true meaning of the gods! response:	Onii-chan.
context: Do not be so arrogant, Seikai.\Even the gods cannot do everything.\Then what are gods?\According to the Buddhists, chanting invocations alone will save you.\No good will come from staying in this narrow-minded shrine!\I'm leaving!\I will find the true meaning of the gods!\Onii-chan. response:	Where are you going?
