context: No! response:	Dang...
context: What a load of crap.\You went through all this... You killed Jiromaru...\just to get a human body.\For what, huh?\Is it that important to you?\Bro, we can't just stand around. Itachi is up there.\This is the place. No doubt about that. But this...?\Boss, we can get in through here. response:	We're gonna be rich now.
context: You went through all this... You killed Jiromaru...\just to get a human body.\For what, huh?\Is it that important to you?\Bro, we can't just stand around. Itachi is up there.\This is the place. No doubt about that. But this...?\Boss, we can get in through here.\We're gonna be rich now. response:	Gonna have us the time of our lives.
context: just to get a human body.\For what, huh?\Is it that important to you?\Bro, we can't just stand around. Itachi is up there.\This is the place. No doubt about that. But this...?\Boss, we can get in through here.\We're gonna be rich now.\Gonna have us the time of our lives. response:	Hey, stop...
context: For what, huh?\Is it that important to you?\Bro, we can't just stand around. Itachi is up there.\This is the place. No doubt about that. But this...?\Boss, we can get in through here.\We're gonna be rich now.\Gonna have us the time of our lives.\Hey, stop... response:	-What's that? -There's something down there.
context: Is it that important to you?\Bro, we can't just stand around. Itachi is up there.\This is the place. No doubt about that. But this...?\Boss, we can get in through here.\We're gonna be rich now.\Gonna have us the time of our lives.\Hey, stop...\-What's that? -There's something down there. response:	-Probably the treasure. -Yeah.
context: Bro, we can't just stand around. Itachi is up there.\This is the place. No doubt about that. But this...?\Boss, we can get in through here.\We're gonna be rich now.\Gonna have us the time of our lives.\Hey, stop...\-What's that? -There's something down there.\-Probably the treasure. -Yeah. response:	So that's the deal, huh.
context: This is the place. No doubt about that. But this...?\Boss, we can get in through here.\We're gonna be rich now.\Gonna have us the time of our lives.\Hey, stop...\-What's that? -There's something down there.\-Probably the treasure. -Yeah.\So that's the deal, huh. response:	I knew you weren't some good-for-nothing, Hibukuro.
context: Boss, we can get in through here.\We're gonna be rich now.\Gonna have us the time of our lives.\Hey, stop...\-What's that? -There's something down there.\-Probably the treasure. -Yeah.\So that's the deal, huh.\I knew you weren't some good-for-nothing, Hibukuro. response:	B-Boss...
context: We're gonna be rich now.\Gonna have us the time of our lives.\Hey, stop...\-What's that? -There's something down there.\-Probably the treasure. -Yeah.\So that's the deal, huh.\I knew you weren't some good-for-nothing, Hibukuro.\B-Boss... response:	If you ain't got guts, go on home.
context: Gonna have us the time of our lives.\Hey, stop...\-What's that? -There's something down there.\-Probably the treasure. -Yeah.\So that's the deal, huh.\I knew you weren't some good-for-nothing, Hibukuro.\B-Boss...\If you ain't got guts, go on home. response:	Get the treasure or die trying. It's one or the other, got it?
context: Hey, stop...\-What's that? -There's something down there.\-Probably the treasure. -Yeah.\So that's the deal, huh.\I knew you weren't some good-for-nothing, Hibukuro.\B-Boss...\If you ain't got guts, go on home.\Get the treasure or die trying. It's one or the other, got it? response:	What's that?
context: -What's that? -There's something down there.\-Probably the treasure. -Yeah.\So that's the deal, huh.\I knew you weren't some good-for-nothing, Hibukuro.\B-Boss...\If you ain't got guts, go on home.\Get the treasure or die trying. It's one or the other, got it?\What's that? response:	Bro, is that...?
context: -Probably the treasure. -Yeah.\So that's the deal, huh.\I knew you weren't some good-for-nothing, Hibukuro.\B-Boss...\If you ain't got guts, go on home.\Get the treasure or die trying. It's one or the other, got it?\What's that?\Bro, is that...? response:	We found a boat, probably the one Hyakkimaru used.
context: So that's the deal, huh.\I knew you weren't some good-for-nothing, Hibukuro.\B-Boss...\If you ain't got guts, go on home.\Get the treasure or die trying. It's one or the other, got it?\What's that?\Bro, is that...?\We found a boat, probably the one Hyakkimaru used. response:	There are signs of others sneaking onto this cape too.
context: I knew you weren't some good-for-nothing, Hibukuro.\B-Boss...\If you ain't got guts, go on home.\Get the treasure or die trying. It's one or the other, got it?\What's that?\Bro, is that...?\We found a boat, probably the one Hyakkimaru used.\There are signs of others sneaking onto this cape too. response:	I believe it's a band of brigands.
context: B-Boss...\If you ain't got guts, go on home.\Get the treasure or die trying. It's one or the other, got it?\What's that?\Bro, is that...?\We found a boat, probably the one Hyakkimaru used.\There are signs of others sneaking onto this cape too.\I believe it's a band of brigands. response:	No matter.
context: If you ain't got guts, go on home.\Get the treasure or die trying. It's one or the other, got it?\What's that?\Bro, is that...?\We found a boat, probably the one Hyakkimaru used.\There are signs of others sneaking onto this cape too.\I believe it's a band of brigands.\No matter. response:	Kill every human being who is a threat to the peace of our people.
context: Get the treasure or die trying. It's one or the other, got it?\What's that?\Bro, is that...?\We found a boat, probably the one Hyakkimaru used.\There are signs of others sneaking onto this cape too.\I believe it's a band of brigands.\No matter.\Kill every human being who is a threat to the peace of our people. response:	March!
context: What's that?\Bro, is that...?\We found a boat, probably the one Hyakkimaru used.\There are signs of others sneaking onto this cape too.\I believe it's a band of brigands.\No matter.\Kill every human being who is a threat to the peace of our people.\March! response:	They're Daigo's samurai.
context: Bro, is that...?\We found a boat, probably the one Hyakkimaru used.\There are signs of others sneaking onto this cape too.\I believe it's a band of brigands.\No matter.\Kill every human being who is a threat to the peace of our people.\March!\They're Daigo's samurai. response:	Why the heck are they here?
context: We found a boat, probably the one Hyakkimaru used.\There are signs of others sneaking onto this cape too.\I believe it's a band of brigands.\No matter.\Kill every human being who is a threat to the peace of our people.\March!\They're Daigo's samurai.\Why the heck are they here? response:	They're not here to take my treasure, are they?
context: There are signs of others sneaking onto this cape too.\I believe it's a band of brigands.\No matter.\Kill every human being who is a threat to the peace of our people.\March!\They're Daigo's samurai.\Why the heck are they here?\They're not here to take my treasure, are they? response:	Hey, the treasure isn't just yours.
context: I believe it's a band of brigands.\No matter.\Kill every human being who is a threat to the peace of our people.\March!\They're Daigo's samurai.\Why the heck are they here?\They're not here to take my treasure, are they?\Hey, the treasure isn't just yours. response:	Arrows!
context: No matter.\Kill every human being who is a threat to the peace of our people.\March!\They're Daigo's samurai.\Why the heck are they here?\They're not here to take my treasure, are they?\Hey, the treasure isn't just yours.\Arrows! response:	Orders are to not leave a single rat alive. Release!
context: Kill every human being who is a threat to the peace of our people.\March!\They're Daigo's samurai.\Why the heck are they here?\They're not here to take my treasure, are they?\Hey, the treasure isn't just yours.\Arrows!\Orders are to not leave a single rat alive. Release! response:	What the heck is going on?
context: March!\They're Daigo's samurai.\Why the heck are they here?\They're not here to take my treasure, are they?\Hey, the treasure isn't just yours.\Arrows!\Orders are to not leave a single rat alive. Release!\What the heck is going on? response:	The loot was almost in my grasp...
context: They're Daigo's samurai.\Why the heck are they here?\They're not here to take my treasure, are they?\Hey, the treasure isn't just yours.\Arrows!\Orders are to not leave a single rat alive. Release!\What the heck is going on?\The loot was almost in my grasp... response:	They're all over the beach. We need to find a place to hide.
context: Why the heck are they here?\They're not here to take my treasure, are they?\Hey, the treasure isn't just yours.\Arrows!\Orders are to not leave a single rat alive. Release!\What the heck is going on?\The loot was almost in my grasp...\They're all over the beach. We need to find a place to hide. response:	There they are!
context: They're not here to take my treasure, are they?\Hey, the treasure isn't just yours.\Arrows!\Orders are to not leave a single rat alive. Release!\What the heck is going on?\The loot was almost in my grasp...\They're all over the beach. We need to find a place to hide.\There they are! response:	Jiromaru...
context: Hey, the treasure isn't just yours.\Arrows!\Orders are to not leave a single rat alive. Release!\What the heck is going on?\The loot was almost in my grasp...\They're all over the beach. We need to find a place to hide.\There they are!\Jiromaru... response:	Saburomaru...
context: Arrows!\Orders are to not leave a single rat alive. Release!\What the heck is going on?\The loot was almost in my grasp...\They're all over the beach. We need to find a place to hide.\There they are!\Jiromaru...\Saburomaru... response:	We'll be together, forever.
context: Orders are to not leave a single rat alive. Release!\What the heck is going on?\The loot was almost in my grasp...\They're all over the beach. We need to find a place to hide.\There they are!\Jiromaru...\Saburomaru...\We'll be together, forever. response:	Just give me a few minutes.
context: What the heck is going on?\The loot was almost in my grasp...\They're all over the beach. We need to find a place to hide.\There they are!\Jiromaru...\Saburomaru...\We'll be together, forever.\Just give me a few minutes. response:	And I'll head over with a load of gifts for you.
context: The loot was almost in my grasp...\They're all over the beach. We need to find a place to hide.\There they are!\Jiromaru...\Saburomaru...\We'll be together, forever.\Just give me a few minutes.\And I'll head over with a load of gifts for you. response:	-Not over there. -Must be this way.
context: They're all over the beach. We need to find a place to hide.\There they are!\Jiromaru...\Saburomaru...\We'll be together, forever.\Just give me a few minutes.\And I'll head over with a load of gifts for you.\-Not over there. -Must be this way. response:	-Itachi. -Hey, Dororo.
context: There they are!\Jiromaru...\Saburomaru...\We'll be together, forever.\Just give me a few minutes.\And I'll head over with a load of gifts for you.\-Not over there. -Must be this way.\-Itachi. -Hey, Dororo. response:	You've got a lot of luck in that tiny frame.
context: Jiromaru...\Saburomaru...\We'll be together, forever.\Just give me a few minutes.\And I'll head over with a load of gifts for you.\-Not over there. -Must be this way.\-Itachi. -Hey, Dororo.\You've got a lot of luck in that tiny frame. response:	Don't worry. Your papa's treasure is still up in that mountain.
context: Saburomaru...\We'll be together, forever.\Just give me a few minutes.\And I'll head over with a load of gifts for you.\-Not over there. -Must be this way.\-Itachi. -Hey, Dororo.\You've got a lot of luck in that tiny frame.\Don't worry. Your papa's treasure is still up in that mountain. response:	There were traps everywhere. One wrong step, and boom, you're done.
context: We'll be together, forever.\Just give me a few minutes.\And I'll head over with a load of gifts for you.\-Not over there. -Must be this way.\-Itachi. -Hey, Dororo.\You've got a lot of luck in that tiny frame.\Don't worry. Your papa's treasure is still up in that mountain.\There were traps everywhere. One wrong step, and boom, you're done. response:	I could've disarmed them if I had the time.
context: Just give me a few minutes.\And I'll head over with a load of gifts for you.\-Not over there. -Must be this way.\-Itachi. -Hey, Dororo.\You've got a lot of luck in that tiny frame.\Don't worry. Your papa's treasure is still up in that mountain.\There were traps everywhere. One wrong step, and boom, you're done.\I could've disarmed them if I had the time. response:	This isn't the time for that! Forget the loot, we have to run.
context: And I'll head over with a load of gifts for you.\-Not over there. -Must be this way.\-Itachi. -Hey, Dororo.\You've got a lot of luck in that tiny frame.\Don't worry. Your papa's treasure is still up in that mountain.\There were traps everywhere. One wrong step, and boom, you're done.\I could've disarmed them if I had the time.\This isn't the time for that! Forget the loot, we have to run. response:	What if the samurai find it first?
context: -Not over there. -Must be this way.\-Itachi. -Hey, Dororo.\You've got a lot of luck in that tiny frame.\Don't worry. Your papa's treasure is still up in that mountain.\There were traps everywhere. One wrong step, and boom, you're done.\I could've disarmed them if I had the time.\This isn't the time for that! Forget the loot, we have to run.\What if the samurai find it first? response:	I can't have them using my money for some stupid wars.
context: -Itachi. -Hey, Dororo.\You've got a lot of luck in that tiny frame.\Don't worry. Your papa's treasure is still up in that mountain.\There were traps everywhere. One wrong step, and boom, you're done.\I could've disarmed them if I had the time.\This isn't the time for that! Forget the loot, we have to run.\What if the samurai find it first?\I can't have them using my money for some stupid wars. response:	Boom.
context: You've got a lot of luck in that tiny frame.\Don't worry. Your papa's treasure is still up in that mountain.\There were traps everywhere. One wrong step, and boom, you're done.\I could've disarmed them if I had the time.\This isn't the time for that! Forget the loot, we have to run.\What if the samurai find it first?\I can't have them using my money for some stupid wars.\Boom. response:	Us, too. Boom.
context: Don't worry. Your papa's treasure is still up in that mountain.\There were traps everywhere. One wrong step, and boom, you're done.\I could've disarmed them if I had the time.\This isn't the time for that! Forget the loot, we have to run.\What if the samurai find it first?\I can't have them using my money for some stupid wars.\Boom.\Us, too. Boom. response:	What are you talking about?
context: There were traps everywhere. One wrong step, and boom, you're done.\I could've disarmed them if I had the time.\This isn't the time for that! Forget the loot, we have to run.\What if the samurai find it first?\I can't have them using my money for some stupid wars.\Boom.\Us, too. Boom.\What are you talking about? response:	Actually Dororo, it might just work.
context: I could've disarmed them if I had the time.\This isn't the time for that! Forget the loot, we have to run.\What if the samurai find it first?\I can't have them using my money for some stupid wars.\Boom.\Us, too. Boom.\What are you talking about?\Actually Dororo, it might just work. response:	They must be hidden around here. Scour the area.
context: This isn't the time for that! Forget the loot, we have to run.\What if the samurai find it first?\I can't have them using my money for some stupid wars.\Boom.\Us, too. Boom.\What are you talking about?\Actually Dororo, it might just work.\They must be hidden around here. Scour the area. response:	H-Help me...
context: What if the samurai find it first?\I can't have them using my money for some stupid wars.\Boom.\Us, too. Boom.\What are you talking about?\Actually Dororo, it might just work.\They must be hidden around here. Scour the area.\H-Help me... response:	They have explosives...
context: I can't have them using my money for some stupid wars.\Boom.\Us, too. Boom.\What are you talking about?\Actually Dororo, it might just work.\They must be hidden around here. Scour the area.\H-Help me...\They have explosives... response:	Call the other troop back, now!
context: Boom.\Us, too. Boom.\What are you talking about?\Actually Dororo, it might just work.\They must be hidden around here. Scour the area.\H-Help me...\They have explosives...\Call the other troop back, now! response:	We gotta get to the beach before they realize it's a decoy.
context: Us, too. Boom.\What are you talking about?\Actually Dororo, it might just work.\They must be hidden around here. Scour the area.\H-Help me...\They have explosives...\Call the other troop back, now!\We gotta get to the beach before they realize it's a decoy. response:	The demon harming our land of Daigo. Hyakkimaru!
context: What are you talking about?\Actually Dororo, it might just work.\They must be hidden around here. Scour the area.\H-Help me...\They have explosives...\Call the other troop back, now!\We gotta get to the beach before they realize it's a decoy.\The demon harming our land of Daigo. Hyakkimaru! response:	Bro...
context: Actually Dororo, it might just work.\They must be hidden around here. Scour the area.\H-Help me...\They have explosives...\Call the other troop back, now!\We gotta get to the beach before they realize it's a decoy.\The demon harming our land of Daigo. Hyakkimaru!\Bro... response:	Tahomaru...!
context: They must be hidden around here. Scour the area.\H-Help me...\They have explosives...\Call the other troop back, now!\We gotta get to the beach before they realize it's a decoy.\The demon harming our land of Daigo. Hyakkimaru!\Bro...\Tahomaru...! response:	All that side with the demon will die here!
context: H-Help me...\They have explosives...\Call the other troop back, now!\We gotta get to the beach before they realize it's a decoy.\The demon harming our land of Daigo. Hyakkimaru!\Bro...\Tahomaru...!\All that side with the demon will die here! response:	Why?
context: They have explosives...\Call the other troop back, now!\We gotta get to the beach before they realize it's a decoy.\The demon harming our land of Daigo. Hyakkimaru!\Bro...\Tahomaru...!\All that side with the demon will die here!\Why? response:	Bro!
context: Call the other troop back, now!\We gotta get to the beach before they realize it's a decoy.\The demon harming our land of Daigo. Hyakkimaru!\Bro...\Tahomaru...!\All that side with the demon will die here!\Why?\Bro! response:	Now's our chance, let's run!
context: We gotta get to the beach before they realize it's a decoy.\The demon harming our land of Daigo. Hyakkimaru!\Bro...\Tahomaru...!\All that side with the demon will die here!\Why?\Bro!\Now's our chance, let's run! response:	But bro...
context: The demon harming our land of Daigo. Hyakkimaru!\Bro...\Tahomaru...!\All that side with the demon will die here!\Why?\Bro!\Now's our chance, let's run!\But bro... response:	We'll all die if we stay, we gotta run!
context: Bro...\Tahomaru...!\All that side with the demon will die here!\Why?\Bro!\Now's our chance, let's run!\But bro...\We'll all die if we stay, we gotta run! response:	Bro!
context: Tahomaru...!\All that side with the demon will die here!\Why?\Bro!\Now's our chance, let's run!\But bro...\We'll all die if we stay, we gotta run!\Bro! response:	Hyogo!
context: All that side with the demon will die here!\Why?\Bro!\Now's our chance, let's run!\But bro...\We'll all die if we stay, we gotta run!\Bro!\Hyogo! response:	He's not like before. Why?
