context: I have a slight concern. response:	I would like to take a small number from our forces to eliminate it.
context: I thought I was loved! I am loved!\By the witch, the witch, the witch, the witch.\The witch!\It's time that I killed you for real!\Al Clauseria!\I will not let you do that.\Ul Dona!\Burn, fighting spirit! Howl, magic ball! response:	When I get serious, I can pitch over 120 km/h!
context: By the witch, the witch, the witch, the witch.\The witch!\It's time that I killed you for real!\Al Clauseria!\I will not let you do that.\Ul Dona!\Burn, fighting spirit! Howl, magic ball!\When I get serious, I can pitch over 120 km/h! response:	What is this?
context: The witch!\It's time that I killed you for real!\Al Clauseria!\I will not let you do that.\Ul Dona!\Burn, fighting spirit! Howl, magic ball!\When I get serious, I can pitch over 120 km/h!\What is this? response:	You lost because you belittled him as powerless.
context: It's time that I killed you for real!\Al Clauseria!\I will not let you do that.\Ul Dona!\Burn, fighting spirit! Howl, magic ball!\When I get serious, I can pitch over 120 km/h!\What is this?\You lost because you belittled him as powerless. response:	My blade, of all six elements together, will slice your very soul apart.
context: Al Clauseria!\I will not let you do that.\Ul Dona!\Burn, fighting spirit! Howl, magic ball!\When I get serious, I can pitch over 120 km/h!\What is this?\You lost because you belittled him as powerless.\My blade, of all six elements together, will slice your very soul apart. response:	Scatter to the rainbow's end.
context: I will not let you do that.\Ul Dona!\Burn, fighting spirit! Howl, magic ball!\When I get serious, I can pitch over 120 km/h!\What is this?\You lost because you belittled him as powerless.\My blade, of all six elements together, will slice your very soul apart.\Scatter to the rainbow's end. response:	I will not let it end!
context: Ul Dona!\Burn, fighting spirit! Howl, magic ball!\When I get serious, I can pitch over 120 km/h!\What is this?\You lost because you belittled him as powerless.\My blade, of all six elements together, will slice your very soul apart.\Scatter to the rainbow's end.\I will not let it end! response:	I have been nothing but diligent.
context: Burn, fighting spirit! Howl, magic ball!\When I get serious, I can pitch over 120 km/h!\What is this?\You lost because you belittled him as powerless.\My blade, of all six elements together, will slice your very soul apart.\Scatter to the rainbow's end.\I will not let it end!\I have been nothing but diligent. response:	The witch's love bathes my entire body!
context: When I get serious, I can pitch over 120 km/h!\What is this?\You lost because you belittled him as powerless.\My blade, of all six elements together, will slice your very soul apart.\Scatter to the rainbow's end.\I will not let it end!\I have been nothing but diligent.\The witch's love bathes my entire body! response:	Julius, undo Nect!
context: What is this?\You lost because you belittled him as powerless.\My blade, of all six elements together, will slice your very soul apart.\Scatter to the rainbow's end.\I will not let it end!\I have been nothing but diligent.\The witch's love bathes my entire body!\Julius, undo Nect! response:	Very well.
context: You lost because you belittled him as powerless.\My blade, of all six elements together, will slice your very soul apart.\Scatter to the rainbow's end.\I will not let it end!\I have been nothing but diligent.\The witch's love bathes my entire body!\Julius, undo Nect!\Very well. response:	Ah... My brain...
context: My blade, of all six elements together, will slice your very soul apart.\Scatter to the rainbow's end.\I will not let it end!\I have been nothing but diligent.\The witch's love bathes my entire body!\Julius, undo Nect!\Very well.\Ah... My brain... response:	is trembling!
context: Scatter to the rainbow's end.\I will not let it end!\I have been nothing but diligent.\The witch's love bathes my entire body!\Julius, undo Nect!\Very well.\Ah... My brain...\is trembling! response:	Yeah, just tremble while you wait.
context: I will not let it end!\I have been nothing but diligent.\The witch's love bathes my entire body!\Julius, undo Nect!\Very well.\Ah... My brain...\is trembling!\Yeah, just tremble while you wait. response:	I'll play along with you, just this once...
context: I have been nothing but diligent.\The witch's love bathes my entire body!\Julius, undo Nect!\Very well.\Ah... My brain...\is trembling!\Yeah, just tremble while you wait.\I'll play along with you, just this once... response:	What are you saying? Who are you talking to?
context: The witch's love bathes my entire body!\Julius, undo Nect!\Very well.\Ah... My brain...\is trembling!\Yeah, just tremble while you wait.\I'll play along with you, just this once...\What are you saying? Who are you talking to? response:	To the witch that you've been waiting for!
context: Julius, undo Nect!\Very well.\Ah... My brain...\is trembling!\Yeah, just tremble while you wait.\I'll play along with you, just this once...\What are you saying? Who are you talking to?\To the witch that you've been waiting for! response:	I can Return by Death to
context: Very well.\Ah... My brain...\is trembling!\Yeah, just tremble while you wait.\I'll play along with you, just this once...\What are you saying? Who are you talking to?\To the witch that you've been waiting for!\I can Return by Death to response:	At last.
context: Ah... My brain...\is trembling!\Yeah, just tremble while you wait.\I'll play along with you, just this once...\What are you saying? Who are you talking to?\To the witch that you've been waiting for!\I can Return by Death to\At last. response:	I've waited so long.
context: is trembling!\Yeah, just tremble while you wait.\I'll play along with you, just this once...\What are you saying? Who are you talking to?\To the witch that you've been waiting for!\I can Return by Death to\At last.\I've waited so long. response:	For your love, your merciful love, your affectionate love...
context: Yeah, just tremble while you wait.\I'll play along with you, just this once...\What are you saying? Who are you talking to?\To the witch that you've been waiting for!\I can Return by Death to\At last.\I've waited so long.\For your love, your merciful love, your affectionate love... response:	No.
context: I'll play along with you, just this once...\What are you saying? Who are you talking to?\To the witch that you've been waiting for!\I can Return by Death to\At last.\I've waited so long.\For your love, your merciful love, your affectionate love...\No. response:	You are not the one.
context: What are you saying? Who are you talking to?\To the witch that you've been waiting for!\I can Return by Death to\At last.\I've waited so long.\For your love, your merciful love, your affectionate love...\No.\You are not the one. response:	I'm back!
context: To the witch that you've been waiting for!\I can Return by Death to\At last.\I've waited so long.\For your love, your merciful love, your affectionate love...\No.\You are not the one.\I'm back! response:	This... cannot... be...
context: I can Return by Death to\At last.\I've waited so long.\For your love, your merciful love, your affectionate love...\No.\You are not the one.\I'm back!\This... cannot... be... response:	I was prepared to keep trying until you left me,
context: At last.\I've waited so long.\For your love, your merciful love, your affectionate love...\No.\You are not the one.\I'm back!\This... cannot... be...\I was prepared to keep trying until you left me, response:	but you gave up after one go? How cowardly can you be?
context: I've waited so long.\For your love, your merciful love, your affectionate love...\No.\You are not the one.\I'm back!\This... cannot... be...\I was prepared to keep trying until you left me,\but you gave up after one go? How cowardly can you be? response:	This time, I will end you.
context: For your love, your merciful love, your affectionate love...\No.\You are not the one.\I'm back!\This... cannot... be...\I was prepared to keep trying until you left me,\but you gave up after one go? How cowardly can you be?\This time, I will end you. response:	Why...
context: No.\You are not the one.\I'm back!\This... cannot... be...\I was prepared to keep trying until you left me,\but you gave up after one go? How cowardly can you be?\This time, I will end you.\Why... response:	Why, why, why?
context: You are not the one.\I'm back!\This... cannot... be...\I was prepared to keep trying until you left me,\but you gave up after one go? How cowardly can you be?\This time, I will end you.\Why...\Why, why, why? response:	After everything I've done for you!
context: I'm back!\This... cannot... be...\I was prepared to keep trying until you left me,\but you gave up after one go? How cowardly can you be?\This time, I will end you.\Why...\Why, why, why?\After everything I've done for you! response:	Witch! Witch!
context: This... cannot... be...\I was prepared to keep trying until you left me,\but you gave up after one go? How cowardly can you be?\This time, I will end you.\Why...\Why, why, why?\After everything I've done for you!\Witch! Witch! response:	Give me your love...
context: I was prepared to keep trying until you left me,\but you gave up after one go? How cowardly can you be?\This time, I will end you.\Why...\Why, why, why?\After everything I've done for you!\Witch! Witch!\Give me your love... response:	Betelgeuse Romanee-Conti...
context: but you gave up after one go? How cowardly can you be?\This time, I will end you.\Why...\Why, why, why?\After everything I've done for you!\Witch! Witch!\Give me your love...\Betelgeuse Romanee-Conti... response:	You were Sloth, all right.
context: This time, I will end you.\Why...\Why, why, why?\After everything I've done for you!\Witch! Witch!\Give me your love...\Betelgeuse Romanee-Conti...\You were Sloth, all right. response:	Subaru, let us hurry back to the village.
context: Why...\Why, why, why?\After everything I've done for you!\Witch! Witch!\Give me your love...\Betelgeuse Romanee-Conti...\You were Sloth, all right.\Subaru, let us hurry back to the village. response:	Felis just contacted me.
context: Why, why, why?\After everything I've done for you!\Witch! Witch!\Give me your love...\Betelgeuse Romanee-Conti...\You were Sloth, all right.\Subaru, let us hurry back to the village.\Felis just contacted me. response:	It seems there is a problem.
context: After everything I've done for you!\Witch! Witch!\Give me your love...\Betelgeuse Romanee-Conti...\You were Sloth, all right.\Subaru, let us hurry back to the village.\Felis just contacted me.\It seems there is a problem. response:	The magic stones of fire that were in the merchants' inventory are gone.
context: Witch! Witch!\Give me your love...\Betelgeuse Romanee-Conti...\You were Sloth, all right.\Subaru, let us hurry back to the village.\Felis just contacted me.\It seems there is a problem.\The magic stones of fire that were in the merchants' inventory are gone. response:	We unloaded all our cargo so we could transport the villagers.
context: Give me your love...\Betelgeuse Romanee-Conti...\You were Sloth, all right.\Subaru, let us hurry back to the village.\Felis just contacted me.\It seems there is a problem.\The magic stones of fire that were in the merchants' inventory are gone.\We unloaded all our cargo so we could transport the villagers. response:	But the magic stones of fire are missing.
context: Betelgeuse Romanee-Conti...\You were Sloth, all right.\Subaru, let us hurry back to the village.\Felis just contacted me.\It seems there is a problem.\The magic stones of fire that were in the merchants' inventory are gone.\We unloaded all our cargo so we could transport the villagers.\But the magic stones of fire are missing. response:	What does that mean?
context: You were Sloth, all right.\Subaru, let us hurry back to the village.\Felis just contacted me.\It seems there is a problem.\The magic stones of fire that were in the merchants' inventory are gone.\We unloaded all our cargo so we could transport the villagers.\But the magic stones of fire are missing.\What does that mean? response:	Someone left the stones on board when they loaded the villagers.
context: Subaru, let us hurry back to the village.\Felis just contacted me.\It seems there is a problem.\The magic stones of fire that were in the merchants' inventory are gone.\We unloaded all our cargo so we could transport the villagers.\But the magic stones of fire are missing.\What does that mean?\Someone left the stones on board when they loaded the villagers. response:	It was Ketty-san's carriage.
context: Felis just contacted me.\It seems there is a problem.\The magic stones of fire that were in the merchants' inventory are gone.\We unloaded all our cargo so we could transport the villagers.\But the magic stones of fire are missing.\What does that mean?\Someone left the stones on board when they loaded the villagers.\It was Ketty-san's carriage. response:	There are enough magic stones to easily blow away a small village.
context: It seems there is a problem.\The magic stones of fire that were in the merchants' inventory are gone.\We unloaded all our cargo so we could transport the villagers.\But the magic stones of fire are missing.\What does that mean?\Someone left the stones on board when they loaded the villagers.\It was Ketty-san's carriage.\There are enough magic stones to easily blow away a small village. response:	Ketty's carriage is taking Emilia-sama and the children to the capital.
context: The magic stones of fire that were in the merchants' inventory are gone.\We unloaded all our cargo so we could transport the villagers.\But the magic stones of fire are missing.\What does that mean?\Someone left the stones on board when they loaded the villagers.\It was Ketty-san's carriage.\There are enough magic stones to easily blow away a small village.\Ketty's carriage is taking Emilia-sama and the children to the capital. response:	Emilia-sama...
context: We unloaded all our cargo so we could transport the villagers.\But the magic stones of fire are missing.\What does that mean?\Someone left the stones on board when they loaded the villagers.\It was Ketty-san's carriage.\There are enough magic stones to easily blow away a small village.\Ketty's carriage is taking Emilia-sama and the children to the capital.\Emilia-sama... response:	It's time.
context: But the magic stones of fire are missing.\What does that mean?\Someone left the stones on board when they loaded the villagers.\It was Ketty-san's carriage.\There are enough magic stones to easily blow away a small village.\Ketty's carriage is taking Emilia-sama and the children to the capital.\Emilia-sama...\It's time. response:	What's wrong?
context: What does that mean?\Someone left the stones on board when they loaded the villagers.\It was Ketty-san's carriage.\There are enough magic stones to easily blow away a small village.\Ketty's carriage is taking Emilia-sama and the children to the capital.\Emilia-sama...\It's time.\What's wrong? response:	Are you okay?
context: Someone left the stones on board when they loaded the villagers.\It was Ketty-san's carriage.\There are enough magic stones to easily blow away a small village.\Ketty's carriage is taking Emilia-sama and the children to the capital.\Emilia-sama...\It's time.\What's wrong?\Are you okay? response:	I'm sorry. It's nothing.
context: It was Ketty-san's carriage.\There are enough magic stones to easily blow away a small village.\Ketty's carriage is taking Emilia-sama and the children to the capital.\Emilia-sama...\It's time.\What's wrong?\Are you okay?\I'm sorry. It's nothing. response:	Come on, let's hurry!
context: There are enough magic stones to easily blow away a small village.\Ketty's carriage is taking Emilia-sama and the children to the capital.\Emilia-sama...\It's time.\What's wrong?\Are you okay?\I'm sorry. It's nothing.\Come on, let's hurry! response:	Damn it!
context: Ketty's carriage is taking Emilia-sama and the children to the capital.\Emilia-sama...\It's time.\What's wrong?\Are you okay?\I'm sorry. It's nothing.\Come on, let's hurry!\Damn it! response:	My poor man's tendency to use anything at hand backfired!
context: Emilia-sama...\It's time.\What's wrong?\Are you okay?\I'm sorry. It's nothing.\Come on, let's hurry!\Damn it!\My poor man's tendency to use anything at hand backfired! response:	We have verified that no spell was used to set a trap,
context: It's time.\What's wrong?\Are you okay?\I'm sorry. It's nothing.\Come on, let's hurry!\Damn it!\My poor man's tendency to use anything at hand backfired!\We have verified that no spell was used to set a trap, response:	but if something were physically rigged in the carriage...
context: What's wrong?\Are you okay?\I'm sorry. It's nothing.\Come on, let's hurry!\Damn it!\My poor man's tendency to use anything at hand backfired!\We have verified that no spell was used to set a trap,\but if something were physically rigged in the carriage... response:	Felis, could a ground dragon catch up to them?
context: Are you okay?\I'm sorry. It's nothing.\Come on, let's hurry!\Damn it!\My poor man's tendency to use anything at hand backfired!\We have verified that no spell was used to set a trap,\but if something were physically rigged in the carriage...\Felis, could a ground dragon catch up to them? response:	Once they leave the Mathers domain and get on the Lifaus Highway,
context: I'm sorry. It's nothing.\Come on, let's hurry!\Damn it!\My poor man's tendency to use anything at hand backfired!\We have verified that no spell was used to set a trap,\but if something were physically rigged in the carriage...\Felis, could a ground dragon catch up to them?\Once they leave the Mathers domain and get on the Lifaus Highway, response:	it'll be hard to catch them.
context: Come on, let's hurry!\Damn it!\My poor man's tendency to use anything at hand backfired!\We have verified that no spell was used to set a trap,\but if something were physically rigged in the carriage...\Felis, could a ground dragon catch up to them?\Once they leave the Mathers domain and get on the Lifaus Highway,\it'll be hard to catch them. response:	That still wasn't enough?
context: Damn it!\My poor man's tendency to use anything at hand backfired!\We have verified that no spell was used to set a trap,\but if something were physically rigged in the carriage...\Felis, could a ground dragon catch up to them?\Once they leave the Mathers domain and get on the Lifaus Highway,\it'll be hard to catch them.\That still wasn't enough? response:	Even after all that, I still can't...
context: My poor man's tendency to use anything at hand backfired!\We have verified that no spell was used to set a trap,\but if something were physically rigged in the carriage...\Felis, could a ground dragon catch up to them?\Once they leave the Mathers domain and get on the Lifaus Highway,\it'll be hard to catch them.\That still wasn't enough?\Even after all that, I still can't... response:	May I say something?
context: We have verified that no spell was used to set a trap,\but if something were physically rigged in the carriage...\Felis, could a ground dragon catch up to them?\Once they leave the Mathers domain and get on the Lifaus Highway,\it'll be hard to catch them.\That still wasn't enough?\Even after all that, I still can't...\May I say something? response:	Right now, I'm actually in a desperate position.
context: but if something were physically rigged in the carriage...\Felis, could a ground dragon catch up to them?\Once they leave the Mathers domain and get on the Lifaus Highway,\it'll be hard to catch them.\That still wasn't enough?\Even after all that, I still can't...\May I say something?\Right now, I'm actually in a desperate position. response:	If you would accept a trade,
context: Felis, could a ground dragon catch up to them?\Once they leave the Mathers domain and get on the Lifaus Highway,\it'll be hard to catch them.\That still wasn't enough?\Even after all that, I still can't...\May I say something?\Right now, I'm actually in a desperate position.\If you would accept a trade, response:	I promise to catch up to the carriage that lef
context: Once they leave the Mathers domain and get on the Lifaus Highway,\it'll be hard to catch them.\That still wasn't enough?\Even after all that, I still can't...\May I say something?\Right now, I'm actually in a desperate position.\If you would accept a trade,\I promise to catch up to the carriage that lef response:	If there's anything I can do, I'll do it!
context: it'll be hard to catch them.\That still wasn't enough?\Even after all that, I still can't...\May I say something?\Right now, I'm actually in a desperate position.\If you would accept a trade,\I promise to catch up to the carriage that lef\If there's anything I can do, I'll do it! response:	I like a man who can decide quickly, Natsuki-san!
context: That still wasn't enough?\Even after all that, I still can't...\May I say something?\Right now, I'm actually in a desperate position.\If you would accept a trade,\I promise to catch up to the carriage that lef\If there's anything I can do, I'll do it!\I like a man who can decide quickly, Natsuki-san! response:	I'll send Ia with you.
context: Even after all that, I still can't...\May I say something?\Right now, I'm actually in a desperate position.\If you would accept a trade,\I promise to catch up to the carriage that lef\If there's anything I can do, I'll do it!\I like a man who can decide quickly, Natsuki-san!\I'll send Ia with you. response:	I wish I could accompany you myself, but...
context: May I say something?\Right now, I'm actually in a desperate position.\If you would accept a trade,\I promise to catch up to the carriage that lef\If there's anything I can do, I'll do it!\I like a man who can decide quickly, Natsuki-san!\I'll send Ia with you.\I wish I could accompany you myself, but... response:	You can't, Julius.
context: Right now, I'm actually in a desperate position.\If you would accept a trade,\I promise to catch up to the carriage that lef\If there's anything I can do, I'll do it!\I like a man who can decide quickly, Natsuki-san!\I'll send Ia with you.\I wish I could accompany you myself, but...\You can't, Julius. response:	With all those injuries, how could you help them?
context: If you would accept a trade,\I promise to catch up to the carriage that lef\If there's anything I can do, I'll do it!\I like a man who can decide quickly, Natsuki-san!\I'll send Ia with you.\I wish I could accompany you myself, but...\You can't, Julius.\With all those injuries, how could you help them? response:	And your mana's nyot restored yet, either.
context: I promise to catch up to the carriage that lef\If there's anything I can do, I'll do it!\I like a man who can decide quickly, Natsuki-san!\I'll send Ia with you.\I wish I could accompany you myself, but...\You can't, Julius.\With all those injuries, how could you help them?\And your mana's nyot restored yet, either. response:	You just get some rest.
context: If there's anything I can do, I'll do it!\I like a man who can decide quickly, Natsuki-san!\I'll send Ia with you.\I wish I could accompany you myself, but...\You can't, Julius.\With all those injuries, how could you help them?\And your mana's nyot restored yet, either.\You just get some rest. response:	Once this is over, we'll celebrate!
context: I like a man who can decide quickly, Natsuki-san!\I'll send Ia with you.\I wish I could accompany you myself, but...\You can't, Julius.\With all those injuries, how could you help them?\And your mana's nyot restored yet, either.\You just get some rest.\Once this is over, we'll celebrate! response:	I'll make sure to invite you, so don't die.
context: I'll send Ia with you.\I wish I could accompany you myself, but...\You can't, Julius.\With all those injuries, how could you help them?\And your mana's nyot restored yet, either.\You just get some rest.\Once this is over, we'll celebrate!\I'll make sure to invite you, so don't die. response:	Don't you die, either!
context: I wish I could accompany you myself, but...\You can't, Julius.\With all those injuries, how could you help them?\And your mana's nyot restored yet, either.\You just get some rest.\Once this is over, we'll celebrate!\I'll make sure to invite you, so don't die.\Don't you die, either! response:	Good luck.
context: You can't, Julius.\With all those injuries, how could you help them?\And your mana's nyot restored yet, either.\You just get some rest.\Once this is over, we'll celebrate!\I'll make sure to invite you, so don't die.\Don't you die, either!\Good luck. response:	Rather than take this road,
context: With all those injuries, how could you help them?\And your mana's nyot restored yet, either.\You just get some rest.\Once this is over, we'll celebrate!\I'll make sure to invite you, so don't die.\Don't you die, either!\Good luck.\Rather than take this road, response:	it's faster to go through the glade to the left.
context: And your mana's nyot restored yet, either.\You just get some rest.\Once this is over, we'll celebrate!\I'll make sure to invite you, so don't die.\Don't you die, either!\Good luck.\Rather than take this road,\it's faster to go through the glade to the left. response:	It's the shortest way!
context: You just get some rest.\Once this is over, we'll celebrate!\I'll make sure to invite you, so don't die.\Don't you die, either!\Good luck.\Rather than take this road,\it's faster to go through the glade to the left.\It's the shortest way! response:	Man, your soul of language divine protection is amazing.
context: Once this is over, we'll celebrate!\I'll make sure to invite you, so don't die.\Don't you die, either!\Good luck.\Rather than take this road,\it's faster to go through the glade to the left.\It's the shortest way!\Man, your soul of language divine protection is amazing. response:	I had a hard time learning to control it.
context: I'll make sure to invite you, so don't die.\Don't you die, either!\Good luck.\Rather than take this road,\it's faster to go through the glade to the left.\It's the shortest way!\Man, your soul of language divine protection is amazing.\I had a hard time learning to control it. response:	Since I can hear all creatures' voices, from ground dragons to insects.
context: Don't you die, either!\Good luck.\Rather than take this road,\it's faster to go through the glade to the left.\It's the shortest way!\Man, your soul of language divine protection is amazing.\I had a hard time learning to control it.\Since I can hear all creatures' voices, from ground dragons to insects. response:	But if we choose our path based on what they say,
context: Good luck.\Rather than take this road,\it's faster to go through the glade to the left.\It's the shortest way!\Man, your soul of language divine protection is amazing.\I had a hard time learning to control it.\Since I can hear all creatures' voices, from ground dragons to insects.\But if we choose our path based on what they say, response:	this shortcut will work, and catching up to Emilia and the kids will be easy!
context: Rather than take this road,\it's faster to go through the glade to the left.\It's the shortest way!\Man, your soul of language divine protection is amazing.\I had a hard time learning to control it.\Since I can hear all creatures' voices, from ground dragons to insects.\But if we choose our path based on what they say,\this shortcut will work, and catching up to Emilia and the kids will be easy! response:	What are you talking about?
context: it's faster to go through the glade to the left.\It's the shortest way!\Man, your soul of language divine protection is amazing.\I had a hard time learning to control it.\Since I can hear all creatures' voices, from ground dragons to insects.\But if we choose our path based on what they say,\this shortcut will work, and catching up to Emilia and the kids will be easy!\What are you talking about? response:	It won't be easy at all!
context: It's the shortest way!\Man, your soul of language divine protection is amazing.\I had a hard time learning to control it.\Since I can hear all creatures' voices, from ground dragons to insects.\But if we choose our path based on what they say,\this shortcut will work, and catching up to Emilia and the kids will be easy!\What are you talking about?\It won't be easy at all! response:	We're gonna die!
context: Man, your soul of language divine protection is amazing.\I had a hard time learning to control it.\Since I can hear all creatures' voices, from ground dragons to insects.\But if we choose our path based on what they say,\this shortcut will work, and catching up to Emilia and the kids will be easy!\What are you talking about?\It won't be easy at all!\We're gonna die! response:	At this rate, we're seriously gonna die.
context: I had a hard time learning to control it.\Since I can hear all creatures' voices, from ground dragons to insects.\But if we choose our path based on what they say,\this shortcut will work, and catching up to Emilia and the kids will be easy!\What are you talking about?\It won't be easy at all!\We're gonna die!\At this rate, we're seriously gonna die. response:	What next?!
context: Since I can hear all creatures' voices, from ground dragons to insects.\But if we choose our path based on what they say,\this shortcut will work, and catching up to Emilia and the kids will be easy!\What are you talking about?\It won't be easy at all!\We're gonna die!\At this rate, we're seriously gonna die.\What next?! response:	What is this? I feel a wind hitting me.
context: But if we choose our path based on what they say,\this shortcut will work, and catching up to Emilia and the kids will be easy!\What are you talking about?\It won't be easy at all!\We're gonna die!\At this rate, we're seriously gonna die.\What next?!\What is this? I feel a wind hitting me. response:	Honestly, even I had no idea I was capable of this
context: this shortcut will work, and catching up to Emilia and the kids will be easy!\What are you talking about?\It won't be easy at all!\We're gonna die!\At this rate, we're seriously gonna die.\What next?!\What is this? I feel a wind hitting me.\Honestly, even I had no idea I was capable of this response:	What is it? What's wrong?
context: What are you talking about?\It won't be easy at all!\We're gonna die!\At this rate, we're seriously gonna die.\What next?!\What is this? I feel a wind hitting me.\Honestly, even I had no idea I was capable of this\What is it? What's wrong? response:	The trees are so loud.
