context: Hey, what do you think of Akira? response:	She's the most levelheaded of the Three Great Water Fairies.
context: You're really not making any sense. What do you mean by nothing?\You're really not making any sense.\I guess so. It's not something you two would understand.\Huh? Huh?\Dear Ai, it's been so warm here in Neo-Venezia lately that I find myself breaking into a sweat.\And also!\Today, we changed uniforms!\That's right! We switched into our summer clothes! response:	Oh yeah, Akari.
context: You're really not making any sense.\I guess so. It's not something you two would understand.\Huh? Huh?\Dear Ai, it's been so warm here in Neo-Venezia lately that I find myself breaking into a sweat.\And also!\Today, we changed uniforms!\That's right! We switched into our summer clothes!\Oh yeah, Akari. response:	I heard you worked on a traghetto recently?
context: I guess so. It's not something you two would understand.\Huh? Huh?\Dear Ai, it's been so warm here in Neo-Venezia lately that I find myself breaking into a sweat.\And also!\Today, we changed uniforms!\That's right! We switched into our summer clothes!\Oh yeah, Akari.\I heard you worked on a traghetto recently? response:	Yes, it was really fun.
context: Huh? Huh?\Dear Ai, it's been so warm here in Neo-Venezia lately that I find myself breaking into a sweat.\And also!\Today, we changed uniforms!\That's right! We switched into our summer clothes!\Oh yeah, Akari.\I heard you worked on a traghetto recently?\Yes, it was really fun. response:	After it was over, it motivated me to work even harder.
context: Dear Ai, it's been so warm here in Neo-Venezia lately that I find myself breaking into a sweat.\And also!\Today, we changed uniforms!\That's right! We switched into our summer clothes!\Oh yeah, Akari.\I heard you worked on a traghetto recently?\Yes, it was really fun.\After it was over, it motivated me to work even harder. response:	I can't afford to lose to you!
context: And also!\Today, we changed uniforms!\That's right! We switched into our summer clothes!\Oh yeah, Akari.\I heard you worked on a traghetto recently?\Yes, it was really fun.\After it was over, it motivated me to work even harder.\I can't afford to lose to you! response:	You're both really motivated.
context: Today, we changed uniforms!\That's right! We switched into our summer clothes!\Oh yeah, Akari.\I heard you worked on a traghetto recently?\Yes, it was really fun.\After it was over, it motivated me to work even harder.\I can't afford to lose to you!\You're both really motivated. response:	Now that we've changed into our summer uniforms, let's give it all we've got during practice!
context: That's right! We switched into our summer clothes!\Oh yeah, Akari.\I heard you worked on a traghetto recently?\Yes, it was really fun.\After it was over, it motivated me to work even harder.\I can't afford to lose to you!\You're both really motivated.\Now that we've changed into our summer uniforms, let's give it all we've got during practice! response:	Okay!
context: Oh yeah, Akari.\I heard you worked on a traghetto recently?\Yes, it was really fun.\After it was over, it motivated me to work even harder.\I can't afford to lose to you!\You're both really motivated.\Now that we've changed into our summer uniforms, let's give it all we've got during practice!\Okay! response:	Roger.
context: I heard you worked on a traghetto recently?\Yes, it was really fun.\After it was over, it motivated me to work even harder.\I can't afford to lose to you!\You're both really motivated.\Now that we've changed into our summer uniforms, let's give it all we've got during practice!\Okay!\Roger. response:	I wish I could see you and the others in your summer uniforms again.
context: Yes, it was really fun.\After it was over, it motivated me to work even harder.\I can't afford to lose to you!\You're both really motivated.\Now that we've changed into our summer uniforms, let's give it all we've got during practice!\Okay!\Roger.\I wish I could see you and the others in your summer uniforms again. response:	I'm sure they'll be a breath of fresh air as Neo-Venezia changes seasons.
context: After it was over, it motivated me to work even harder.\I can't afford to lose to you!\You're both really motivated.\Now that we've changed into our summer uniforms, let's give it all we've got during practice!\Okay!\Roger.\I wish I could see you and the others in your summer uniforms again.\I'm sure they'll be a breath of fresh air as Neo-Venezia changes seasons. response:	Oh my, Akari. Is that your summer uniform?
context: I can't afford to lose to you!\You're both really motivated.\Now that we've changed into our summer uniforms, let's give it all we've got during practice!\Okay!\Roger.\I wish I could see you and the others in your summer uniforms again.\I'm sure they'll be a breath of fresh air as Neo-Venezia changes seasons.\Oh my, Akari. Is that your summer uniform? response:	Yes! We switched our uniforms today!
context: You're both really motivated.\Now that we've changed into our summer uniforms, let's give it all we've got during practice!\Okay!\Roger.\I wish I could see you and the others in your summer uniforms again.\I'm sure they'll be a breath of fresh air as Neo-Venezia changes seasons.\Oh my, Akari. Is that your summer uniform?\Yes! We switched our uniforms today! response:	Do you remember that day Oboeteimasuka ano hi o
context: Now that we've changed into our summer uniforms, let's give it all we've got during practice!\Okay!\Roger.\I wish I could see you and the others in your summer uniforms again.\I'm sure they'll be a breath of fresh air as Neo-Venezia changes seasons.\Oh my, Akari. Is that your summer uniform?\Yes! We switched our uniforms today!\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: Okay!\Roger.\I wish I could see you and the others in your summer uniforms again.\I'm sure they'll be a breath of fresh air as Neo-Venezia changes seasons.\Oh my, Akari. Is that your summer uniform?\Yes! We switched our uniforms today!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: Roger.\I wish I could see you and the others in your summer uniforms again.\I'm sure they'll be a breath of fresh air as Neo-Venezia changes seasons.\Oh my, Akari. Is that your summer uniform?\Yes! We switched our uniforms today!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: I wish I could see you and the others in your summer uniforms again.\I'm sure they'll be a breath of fresh air as Neo-Venezia changes seasons.\Oh my, Akari. Is that your summer uniform?\Yes! We switched our uniforms today!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: I'm sure they'll be a breath of fresh air as Neo-Venezia changes seasons.\Oh my, Akari. Is that your summer uniform?\Yes! We switched our uniforms today!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: Oh my, Akari. Is that your summer uniform?\Yes! We switched our uniforms today!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi
context: Yes! We switched our uniforms today!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru response:	When you climb the next hill, Tsugi no saka o nobottara
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara response:	Let's meet again Mata aimashou
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou response:	That Keepsake Clover...
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Keepsake Clover... response:	I heard a really good bakery opened around here somewhere...
context: I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Keepsake Clover...\I heard a really good bakery opened around here somewhere... response:	Oh?
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Keepsake Clover...\I heard a really good bakery opened around here somewhere...\Oh? response:	Oh? Oh?
context: An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Keepsake Clover...\I heard a really good bakery opened around here somewhere...\Oh?\Oh? Oh? response:	I'll go ask that shopkeeper over there.
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Keepsake Clover...\I heard a really good bakery opened around here somewhere...\Oh?\Oh? Oh?\I'll go ask that shopkeeper over there. response:	Excuse me!
context: When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Keepsake Clover...\I heard a really good bakery opened around here somewhere...\Oh?\Oh? Oh?\I'll go ask that shopkeeper over there.\Excuse me! response:	Ah, no. That's not...
context: Let's meet again Mata aimashou\That Keepsake Clover...\I heard a really good bakery opened around here somewhere...\Oh?\Oh? Oh?\I'll go ask that shopkeeper over there.\Excuse me!\Ah, no. That's not... response:	That voice!
context: That Keepsake Clover...\I heard a really good bakery opened around here somewhere...\Oh?\Oh? Oh?\I'll go ask that shopkeeper over there.\Excuse me!\Ah, no. That's not...\That voice! response:	Her voice is wonderful, no matter how many times you hear it.
context: I heard a really good bakery opened around here somewhere...\Oh?\Oh? Oh?\I'll go ask that shopkeeper over there.\Excuse me!\Ah, no. That's not...\That voice!\Her voice is wonderful, no matter how many times you hear it. response:	It sure is. Her voice is wonderful, no matter how many times you hear it.
context: Oh?\Oh? Oh?\I'll go ask that shopkeeper over there.\Excuse me!\Ah, no. That's not...\That voice!\Her voice is wonderful, no matter how many times you hear it.\It sure is. Her voice is wonderful, no matter how many times you hear it. response:	It sure is.
context: Oh? Oh?\I'll go ask that shopkeeper over there.\Excuse me!\Ah, no. That's not...\That voice!\Her voice is wonderful, no matter how many times you hear it.\It sure is. Her voice is wonderful, no matter how many times you hear it.\It sure is. response:	Now, back to work, back to work!
context: I'll go ask that shopkeeper over there.\Excuse me!\Ah, no. That's not...\That voice!\Her voice is wonderful, no matter how many times you hear it.\It sure is. Her voice is wonderful, no matter how many times you hear it.\It sure is.\Now, back to work, back to work! response:	Her voice truly is heavenly, isn't it?
context: Excuse me!\Ah, no. That's not...\That voice!\Her voice is wonderful, no matter how many times you hear it.\It sure is. Her voice is wonderful, no matter how many times you hear it.\It sure is.\Now, back to work, back to work!\Her voice truly is heavenly, isn't it? response:	Th-That's right. Athena's singing voice is the one thing about her that's really amazing.
context: Ah, no. That's not...\That voice!\Her voice is wonderful, no matter how many times you hear it.\It sure is. Her voice is wonderful, no matter how many times you hear it.\It sure is.\Now, back to work, back to work!\Her voice truly is heavenly, isn't it?\Th-That's right. Athena's singing voice is the one thing about her that's really amazing. response:	Wait!
context: That voice!\Her voice is wonderful, no matter how many times you hear it.\It sure is. Her voice is wonderful, no matter how many times you hear it.\It sure is.\Now, back to work, back to work!\Her voice truly is heavenly, isn't it?\Th-That's right. Athena's singing voice is the one thing about her that's really amazing.\Wait! response:	That's...
context: Her voice is wonderful, no matter how many times you hear it.\It sure is. Her voice is wonderful, no matter how many times you hear it.\It sure is.\Now, back to work, back to work!\Her voice truly is heavenly, isn't it?\Th-That's right. Athena's singing voice is the one thing about her that's really amazing.\Wait!\That's... response:	Alicia!
context: It sure is. Her voice is wonderful, no matter how many times you hear it.\It sure is.\Now, back to work, back to work!\Her voice truly is heavenly, isn't it?\Th-That's right. Athena's singing voice is the one thing about her that's really amazing.\Wait!\That's...\Alicia! response:	Such graceful...
context: It sure is.\Now, back to work, back to work!\Her voice truly is heavenly, isn't it?\Th-That's right. Athena's singing voice is the one thing about her that's really amazing.\Wait!\That's...\Alicia!\Such graceful... response:	Oar control...
context: Now, back to work, back to work!\Her voice truly is heavenly, isn't it?\Th-That's right. Athena's singing voice is the one thing about her that's really amazing.\Wait!\That's...\Alicia!\Such graceful...\Oar control... response:	Wow, amazing!
context: Her voice truly is heavenly, isn't it?\Th-That's right. Athena's singing voice is the one thing about her that's really amazing.\Wait!\That's...\Alicia!\Such graceful...\Oar control...\Wow, amazing! response:	Bravo!
context: Th-That's right. Athena's singing voice is the one thing about her that's really amazing.\Wait!\That's...\Alicia!\Such graceful...\Oar control...\Wow, amazing!\Bravo! response:	Here you go.
context: Wait!\That's...\Alicia!\Such graceful...\Oar control...\Wow, amazing!\Bravo!\Here you go. response:	Thank you, Miss.
context: That's...\Alicia!\Such graceful...\Oar control...\Wow, amazing!\Bravo!\Here you go.\Thank you, Miss. response:	Alicia is so wonderful! Alicia is so wonderful!
context: Alicia!\Such graceful...\Oar control...\Wow, amazing!\Bravo!\Here you go.\Thank you, Miss.\Alicia is so wonderful! Alicia is so wonderful! response:	Back to work, back to work...
context: Such graceful...\Oar control...\Wow, amazing!\Bravo!\Here you go.\Thank you, Miss.\Alicia is so wonderful! Alicia is so wonderful!\Back to work, back to work... response:	You know, no matter how many times I see her sculling...
context: Oar control...\Wow, amazing!\Bravo!\Here you go.\Thank you, Miss.\Alicia is so wonderful! Alicia is so wonderful!\Back to work, back to work...\You know, no matter how many times I see her sculling... response:	She always has such wonderful, graceful, masterly oar control, doesn't she?
context: Wow, amazing!\Bravo!\Here you go.\Thank you, Miss.\Alicia is so wonderful! Alicia is so wonderful!\Back to work, back to work...\You know, no matter how many times I see her sculling...\She always has such wonderful, graceful, masterly oar control, doesn't she? response:	She sure does.
context: Bravo!\Here you go.\Thank you, Miss.\Alicia is so wonderful! Alicia is so wonderful!\Back to work, back to work...\You know, no matter how many times I see her sculling...\She always has such wonderful, graceful, masterly oar control, doesn't she?\She sure does. response:	Thank you very much.
context: Here you go.\Thank you, Miss.\Alicia is so wonderful! Alicia is so wonderful!\Back to work, back to work...\You know, no matter how many times I see her sculling...\She always has such wonderful, graceful, masterly oar control, doesn't she?\She sure does.\Thank you very much. response:	Athena and Alicia were both amazing just now, weren't they?
context: Thank you, Miss.\Alicia is so wonderful! Alicia is so wonderful!\Back to work, back to work...\You know, no matter how many times I see her sculling...\She always has such wonderful, graceful, masterly oar control, doesn't she?\She sure does.\Thank you very much.\Athena and Alicia were both amazing just now, weren't they? response:	I really agree.
context: Alicia is so wonderful! Alicia is so wonderful!\Back to work, back to work...\You know, no matter how many times I see her sculling...\She always has such wonderful, graceful, masterly oar control, doesn't she?\She sure does.\Thank you very much.\Athena and Alicia were both amazing just now, weren't they?\I really agree. response:	You're right. If only we had their incredible talents,
context: Back to work, back to work...\You know, no matter how many times I see her sculling...\She always has such wonderful, graceful, masterly oar control, doesn't she?\She sure does.\Thank you very much.\Athena and Alicia were both amazing just now, weren't they?\I really agree.\You're right. If only we had their incredible talents, response:	we'd be promoted to Primas in no time.
context: You know, no matter how many times I see her sculling...\She always has such wonderful, graceful, masterly oar control, doesn't she?\She sure does.\Thank you very much.\Athena and Alicia were both amazing just now, weren't they?\I really agree.\You're right. If only we had their incredible talents,\we'd be promoted to Primas in no time. response:	Yeah.
context: She always has such wonderful, graceful, masterly oar control, doesn't she?\She sure does.\Thank you very much.\Athena and Alicia were both amazing just now, weren't they?\I really agree.\You're right. If only we had their incredible talents,\we'd be promoted to Primas in no time.\Yeah. response:	But I don't think Alicia's graceful demeanor and Athena's singing voice...
context: She sure does.\Thank you very much.\Athena and Alicia were both amazing just now, weren't they?\I really agree.\You're right. If only we had their incredible talents,\we'd be promoted to Primas in no time.\Yeah.\But I don't think Alicia's graceful demeanor and Athena's singing voice... response:	Those two were bestowed with natural talent. They're actually geniuses, don't you think?
context: Thank you very much.\Athena and Alicia were both amazing just now, weren't they?\I really agree.\You're right. If only we had their incredible talents,\we'd be promoted to Primas in no time.\Yeah.\But I don't think Alicia's graceful demeanor and Athena's singing voice...\Those two were bestowed with natural talent. They're actually geniuses, don't you think? response:	True, Athena's voice is one in a hundred...
context: Athena and Alicia were both amazing just now, weren't they?\I really agree.\You're right. If only we had their incredible talents,\we'd be promoted to Primas in no time.\Yeah.\But I don't think Alicia's graceful demeanor and Athena's singing voice...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\True, Athena's voice is one in a hundred... response:	No, one in a thousand.
context: I really agree.\You're right. If only we had their incredible talents,\we'd be promoted to Primas in no time.\Yeah.\But I don't think Alicia's graceful demeanor and Athena's singing voice...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\True, Athena's voice is one in a hundred...\No, one in a thousand. response:	Well, you could say her clumsiness is one in a thousand, too.
context: You're right. If only we had their incredible talents,\we'd be promoted to Primas in no time.\Yeah.\But I don't think Alicia's graceful demeanor and Athena's singing voice...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\True, Athena's voice is one in a hundred...\No, one in a thousand.\Well, you could say her clumsiness is one in a thousand, too. response:	Is something wrong, Aika?
context: we'd be promoted to Primas in no time.\Yeah.\But I don't think Alicia's graceful demeanor and Athena's singing voice...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\True, Athena's voice is one in a hundred...\No, one in a thousand.\Well, you could say her clumsiness is one in a thousand, too.\Is something wrong, Aika? response:	Being so close to two such extraordinary Undines the whole time...
context: Yeah.\But I don't think Alicia's graceful demeanor and Athena's singing voice...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\True, Athena's voice is one in a hundred...\No, one in a thousand.\Well, you could say her clumsiness is one in a thousand, too.\Is something wrong, Aika?\Being so close to two such extraordinary Undines the whole time... response:	I wonder how Akira felt?
context: But I don't think Alicia's graceful demeanor and Athena's singing voice...\Those two were bestowed with natural talent. They're actually geniuses, don't you think?\True, Athena's voice is one in a hundred...\No, one in a thousand.\Well, you could say her clumsiness is one in a thousand, too.\Is something wrong, Aika?\Being so close to two such extraordinary Undines the whole time...\I wonder how Akira felt? response:	But Akira's really, really amazing, too.
context: Those two were bestowed with natural talent. They're actually geniuses, don't you think?\True, Athena's voice is one in a hundred...\No, one in a thousand.\Well, you could say her clumsiness is one in a thousand, too.\Is something wrong, Aika?\Being so close to two such extraordinary Undines the whole time...\I wonder how Akira felt?\But Akira's really, really amazing, too. response:	That's right. She's the most levelheaded and hardworking of the three, don't you think?
context: True, Athena's voice is one in a hundred...\No, one in a thousand.\Well, you could say her clumsiness is one in a thousand, too.\Is something wrong, Aika?\Being so close to two such extraordinary Undines the whole time...\I wonder how Akira felt?\But Akira's really, really amazing, too.\That's right. She's the most levelheaded and hardworking of the three, don't you think? response:	Yeah, I guess you're right.
context: No, one in a thousand.\Well, you could say her clumsiness is one in a thousand, too.\Is something wrong, Aika?\Being so close to two such extraordinary Undines the whole time...\I wonder how Akira felt?\But Akira's really, really amazing, too.\That's right. She's the most levelheaded and hardworking of the three, don't you think?\Yeah, I guess you're right. response:	We're going right back to practice once we're done eating, okay?
context: Well, you could say her clumsiness is one in a thousand, too.\Is something wrong, Aika?\Being so close to two such extraordinary Undines the whole time...\I wonder how Akira felt?\But Akira's really, really amazing, too.\That's right. She's the most levelheaded and hardworking of the three, don't you think?\Yeah, I guess you're right.\We're going right back to practice once we're done eating, okay? response:	Right!
context: Is something wrong, Aika?\Being so close to two such extraordinary Undines the whole time...\I wonder how Akira felt?\But Akira's really, really amazing, too.\That's right. She's the most levelheaded and hardworking of the three, don't you think?\Yeah, I guess you're right.\We're going right back to practice once we're done eating, okay?\Right! response:	Right! Right!
context: Being so close to two such extraordinary Undines the whole time...\I wonder how Akira felt?\But Akira's really, really amazing, too.\That's right. She's the most levelheaded and hardworking of the three, don't you think?\Yeah, I guess you're right.\We're going right back to practice once we're done eating, okay?\Right!\Right! Right! response:	You're amazing, Alice!
context: I wonder how Akira felt?\But Akira's really, really amazing, too.\That's right. She's the most levelheaded and hardworking of the three, don't you think?\Yeah, I guess you're right.\We're going right back to practice once we're done eating, okay?\Right!\Right! Right!\You're amazing, Alice! response:	Akari, you look lovely in your summer uniform.
context: But Akira's really, really amazing, too.\That's right. She's the most levelheaded and hardworking of the three, don't you think?\Yeah, I guess you're right.\We're going right back to practice once we're done eating, okay?\Right!\Right! Right!\You're amazing, Alice!\Akari, you look lovely in your summer uniform. response:	Thank you very much!
context: That's right. She's the most levelheaded and hardworking of the three, don't you think?\Yeah, I guess you're right.\We're going right back to practice once we're done eating, okay?\Right!\Right! Right!\You're amazing, Alice!\Akari, you look lovely in your summer uniform.\Thank you very much! response:	Ah, Akari, you look nice and cool in that uniform!
context: Yeah, I guess you're right.\We're going right back to practice once we're done eating, okay?\Right!\Right! Right!\You're amazing, Alice!\Akari, you look lovely in your summer uniform.\Thank you very much!\Ah, Akari, you look nice and cool in that uniform! response:	Yes, it's very cool and comfortable.
context: We're going right back to practice once we're done eating, okay?\Right!\Right! Right!\You're amazing, Alice!\Akari, you look lovely in your summer uniform.\Thank you very much!\Ah, Akari, you look nice and cool in that uniform!\Yes, it's very cool and comfortable. response:	Oh, you already switched to your summer uniform?
context: Right!\Right! Right!\You're amazing, Alice!\Akari, you look lovely in your summer uniform.\Thank you very much!\Ah, Akari, you look nice and cool in that uniform!\Yes, it's very cool and comfortable.\Oh, you already switched to your summer uniform? response:	Yes!
context: Right! Right!\You're amazing, Alice!\Akari, you look lovely in your summer uniform.\Thank you very much!\Ah, Akari, you look nice and cool in that uniform!\Yes, it's very cool and comfortable.\Oh, you already switched to your summer uniform?\Yes! response:	As always, she's a genius at making friends. It looks nice on you, Akari!
context: You're amazing, Alice!\Akari, you look lovely in your summer uniform.\Thank you very much!\Ah, Akari, you look nice and cool in that uniform!\Yes, it's very cool and comfortable.\Oh, you already switched to your summer uniform?\Yes!\As always, she's a genius at making friends. It looks nice on you, Akari! response:	As always, she's a genius at making friends. Yes, thank you very much!
context: Akari, you look lovely in your summer uniform.\Thank you very much!\Ah, Akari, you look nice and cool in that uniform!\Yes, it's very cool and comfortable.\Oh, you already switched to your summer uniform?\Yes!\As always, she's a genius at making friends. It looks nice on you, Akari!\As always, she's a genius at making friends. Yes, thank you very much! response:	She really looks happier than usual, too.
context: Thank you very much!\Ah, Akari, you look nice and cool in that uniform!\Yes, it's very cool and comfortable.\Oh, you already switched to your summer uniform?\Yes!\As always, she's a genius at making friends. It looks nice on you, Akari!\As always, she's a genius at making friends. Yes, thank you very much!\She really looks happier than usual, too. response:	I am, because everyone could feel the coming of summer by seeing my uniform.
context: Ah, Akari, you look nice and cool in that uniform!\Yes, it's very cool and comfortable.\Oh, you already switched to your summer uniform?\Yes!\As always, she's a genius at making friends. It looks nice on you, Akari!\As always, she's a genius at making friends. Yes, thank you very much!\She really looks happier than usual, too.\I am, because everyone could feel the coming of summer by seeing my uniform. response:	It feels as though I've become a part of Neo-Venezia's wonderful summer.
context: Yes, it's very cool and comfortable.\Oh, you already switched to your summer uniform?\Yes!\As always, she's a genius at making friends. It looks nice on you, Akari!\As always, she's a genius at making friends. Yes, thank you very much!\She really looks happier than usual, too.\I am, because everyone could feel the coming of summer by seeing my uniform.\It feels as though I've become a part of Neo-Venezia's wonderful summer. response:	Enough! No sappy lines al... It feels as though I've become a part of Neo-Venezia's wonderful summer.
