context: Anyway, she's a shy girl. response:	She makes you want to cheer her on.
context: Become like him!\The popular kid, huh?\Kazehaya is, yeah.\Unpopular Sawako, on the other hand...\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um... response:	It's fine.
context: The popular kid, huh?\Kazehaya is, yeah.\Unpopular Sawako, on the other hand...\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine. response:	It's not dirty.
context: Kazehaya is, yeah.\Unpopular Sawako, on the other hand...\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine.\It's not dirty. response:	Nothing will happen if you sit there.
context: Unpopular Sawako, on the other hand...\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there. response:	I don't have any psychic aura or anything either.
context: Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have any psychic aura or anything either. response:	I said it...
context: Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it.\Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have any psychic aura or anything either.\I said it... response:	I said it!
context: Go for it.\Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have any psychic aura or anything either.\I said it...\I said it! response:	Seating change, huh?
context: Um...\It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have any psychic aura or anything either.\I said it...\I said it!\Seating change, huh? response:	I hope I can become good friends with the person next to me this time.
context: It's fine.\It's not dirty.\Nothing will happen if you sit there.\I don't have any psychic aura or anything either.\I said it...\I said it!\Seating change, huh?\I hope I can become good friends with the person next to me this time. response:	There's Kazehaya-kun.
context: It's not dirty.\Nothing will happen if you sit there.\I don't have any psychic aura or anything either.\I said it...\I said it!\Seating change, huh?\I hope I can become good friends with the person next to me this time.\There's Kazehaya-kun. response:	It sort of sucks that I have no one to share my joy and sadness with at times like this.
context: Nothing will happen if you sit there.\I don't have any psychic aura or anything either.\I said it...\I said it!\Seating change, huh?\I hope I can become good friends with the person next to me this time.\There's Kazehaya-kun.\It sort of sucks that I have no one to share my joy and sadness with at times like this. response:	Number 19, switch with me, please?
context: I don't have any psychic aura or anything either.\I said it...\I said it!\Seating change, huh?\I hope I can become good friends with the person next to me this time.\There's Kazehaya-kun.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Number 19, switch with me, please? response:	Yay, I'm next to you.
context: I said it...\I said it!\Seating change, huh?\I hope I can become good friends with the person next to me this time.\There's Kazehaya-kun.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Number 19, switch with me, please?\Yay, I'm next to you. response:	You can have this back.
context: I said it!\Seating change, huh?\I hope I can become good friends with the person next to me this time.\There's Kazehaya-kun.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back. response:	Yoshida, your draw
context: Seating change, huh?\I hope I can become good friends with the person next to me this time.\There's Kazehaya-kun.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw response:	No thanks, don't need one.
context: I hope I can become good friends with the person next to me this time.\There's Kazehaya-kun.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one. response:	Ryuu, move!
context: There's Kazehaya-kun.\It sort of sucks that I have no one to share my joy and sadness with at times like this.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one.\Ryuu, move! response:	Make me.
context: It sort of sucks that I have no one to share my joy and sadness with at times like this.\Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one.\Ryuu, move!\Make me. response:	I'm...
context: Number 19, switch with me, please?\Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one.\Ryuu, move!\Make me.\I'm... response:	I'm so happy, from the bottom of my heart!
context: Yay, I'm next to you.\You can have this back.\Yoshida, your draw\No thanks, don't need one.\Ryuu, move!\Make me.\I'm...\I'm so happy, from the bottom of my heart! response:	I'm filled with feelings that I never even knew of, until then.
context: You can have this back.\Yoshida, your draw\No thanks, don't need one.\Ryuu, move!\Make me.\I'm...\I'm so happy, from the bottom of my heart!\I'm filled with feelings that I never even knew of, until then. response:	I want to hold on to them,
context: Yoshida, your draw\No thanks, don't need one.\Ryuu, move!\Make me.\I'm...\I'm so happy, from the bottom of my heart!\I'm filled with feelings that I never even knew of, until then.\I want to hold on to them, response:	like the first gifts of my life.
context: No thanks, don't need one.\Ryuu, move!\Make me.\I'm...\I'm so happy, from the bottom of my heart!\I'm filled with feelings that I never even knew of, until then.\I want to hold on to them,\like the first gifts of my life. response:	That's really
context: Ryuu, move!\Make me.\I'm...\I'm so happy, from the bottom of my heart!\I'm filled with feelings that I never even knew of, until then.\I want to hold on to them,\like the first gifts of my life.\That's really response:	good for her.
context: Make me.\I'm...\I'm so happy, from the bottom of my heart!\I'm filled with feelings that I never even knew of, until then.\I want to hold on to them,\like the first gifts of my life.\That's really\good for her. response:	Good evening.
context: I'm...\I'm so happy, from the bottom of my heart!\I'm filled with feelings that I never even knew of, until then.\I want to hold on to them,\like the first gifts of my life.\That's really\good for her.\Good evening. response:	You haven't changed.
context: I'm so happy, from the bottom of my heart!\I'm filled with feelings that I never even knew of, until then.\I want to hold on to them,\like the first gifts of my life.\That's really\good for her.\Good evening.\You haven't changed. response:	I should learn from Sawako-chan.
context: I'm filled with feelings that I never even knew of, until then.\I want to hold on to them,\like the first gifts of my life.\That's really\good for her.\Good evening.\You haven't changed.\I should learn from Sawako-chan. response:	She finally fits in with her class, huh?
context: I want to hold on to them,\like the first gifts of my life.\That's really\good for her.\Good evening.\You haven't changed.\I should learn from Sawako-chan.\She finally fits in with her class, huh? response:	Yeah, but it didn't last.
context: like the first gifts of my life.\That's really\good for her.\Good evening.\You haven't changed.\I should learn from Sawako-chan.\She finally fits in with her class, huh?\Yeah, but it didn't last. response:	I'm asking you who told you that.
context: That's really\good for her.\Good evening.\You haven't changed.\I should learn from Sawako-chan.\She finally fits in with her class, huh?\Yeah, but it didn't last.\I'm asking you who told you that. response:	Sadako.
context: good for her.\Good evening.\You haven't changed.\I should learn from Sawako-chan.\She finally fits in with her class, huh?\Yeah, but it didn't last.\I'm asking you who told you that.\Sadako. response:	Everyone's saying so,
context: Good evening.\You haven't changed.\I should learn from Sawako-chan.\She finally fits in with her class, huh?\Yeah, but it didn't last.\I'm asking you who told you that.\Sadako.\Everyone's saying so, response:	that she's using Kazehaya and you two to up her status.
context: You haven't changed.\I should learn from Sawako-chan.\She finally fits in with her class, huh?\Yeah, but it didn't last.\I'm asking you who told you that.\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status. response:	But I'm glad you made some friends.
context: I should learn from Sawako-chan.\She finally fits in with her class, huh?\Yeah, but it didn't last.\I'm asking you who told you that.\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\But I'm glad you made some friends. response:	Yano-san and Yoshida-san, was it?
context: She finally fits in with her class, huh?\Yeah, but it didn't last.\I'm asking you who told you that.\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\But I'm glad you made some friends.\Yano-san and Yoshida-san, was it? response:	They aren't friends.
context: Yeah, but it didn't last.\I'm asking you who told you that.\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\But I'm glad you made some friends.\Yano-san and Yoshida-san, was it?\They aren't friends. response:	Those black rumors about Yano and Yoshida are really something though.
context: I'm asking you who told you that.\Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\But I'm glad you made some friends.\Yano-san and Yoshida-san, was it?\They aren't friends.\Those black rumors about Yano and Yoshida are really something though. response:	Black rumors?
context: Sadako.\Everyone's saying so,\that she's using Kazehaya and you two to up her status.\But I'm glad you made some friends.\Yano-san and Yoshida-san, was it?\They aren't friends.\Those black rumors about Yano and Yoshida are really something though.\Black rumors? response:	Backing me up?
context: Everyone's saying so,\that she's using Kazehaya and you two to up her status.\But I'm glad you made some friends.\Yano-san and Yoshida-san, was it?\They aren't friends.\Those black rumors about Yano and Yoshida are really something though.\Black rumors?\Backing me up? response:	That's why they were down.
context: that she's using Kazehaya and you two to up her status.\But I'm glad you made some friends.\Yano-san and Yoshida-san, was it?\They aren't friends.\Those black rumors about Yano and Yoshida are really something though.\Black rumors?\Backing me up?\That's why they were down. response:	They were hurt.
context: But I'm glad you made some friends.\Yano-san and Yoshida-san, was it?\They aren't friends.\Those black rumors about Yano and Yoshida are really something though.\Black rumors?\Backing me up?\That's why they were down.\They were hurt. response:	It's Sadako's fault.
context: Yano-san and Yoshida-san, was it?\They aren't friends.\Those black rumors about Yano and Yoshida are really something though.\Black rumors?\Backing me up?\That's why they were down.\They were hurt.\It's Sadako's fault. response:	Yup.
context: They aren't friends.\Those black rumors about Yano and Yoshida are really something though.\Black rumors?\Backing me up?\That's why they were down.\They were hurt.\It's Sadako's fault.\Yup. response:	It's because she's wandering around.
context: Those black rumors about Yano and Yoshida are really something though.\Black rumors?\Backing me up?\That's why they were down.\They were hurt.\It's Sadako's fault.\Yup.\It's because she's wandering around. response:	Kazehaya's going to become seriously worthless too, if he keeps getting followed around by Sadako.
context: Black rumors?\Backing me up?\That's why they were down.\They were hurt.\It's Sadako's fault.\Yup.\It's because she's wandering around.\Kazehaya's going to become seriously worthless too, if he keeps getting followed around by Sadako. response:	My fault?
context: Backing me up?\That's why they were down.\They were hurt.\It's Sadako's fault.\Yup.\It's because she's wandering around.\Kazehaya's going to become seriously worthless too, if he keeps getting followed around by Sadako.\My fault? response:	I'm going to hurt them again if I stay near them.
context: That's why they were down.\They were hurt.\It's Sadako's fault.\Yup.\It's because she's wandering around.\Kazehaya's going to become seriously worthless too, if he keeps getting followed around by Sadako.\My fault?\I'm going to hurt them again if I stay near them. response:	And they're such nice people.
context: They were hurt.\It's Sadako's fault.\Yup.\It's because she's wandering around.\Kazehaya's going to become seriously worthless too, if he keeps getting followed around by Sadako.\My fault?\I'm going to hurt them again if I stay near them.\And they're such nice people. response:	I may be able to stop the rumors, but I don't know how to make them feel better.
context: It's Sadako's fault.\Yup.\It's because she's wandering around.\Kazehaya's going to become seriously worthless too, if he keeps getting followed around by Sadako.\My fault?\I'm going to hurt them again if I stay near them.\And they're such nice people.\I may be able to stop the rumors, but I don't know how to make them feel better. response:	So I'm going to go back to what it was like, before I got used to being around them.
context: Yup.\It's because she's wandering around.\Kazehaya's going to become seriously worthless too, if he keeps getting followed around by Sadako.\My fault?\I'm going to hurt them again if I stay near them.\And they're such nice people.\I may be able to stop the rumors, but I don't know how to make them feel better.\So I'm going to go back to what it was like, before I got used to being around them. response:	That has to be the best thing to do.
context: It's because she's wandering around.\Kazehaya's going to become seriously worthless too, if he keeps getting followed around by Sadako.\My fault?\I'm going to hurt them again if I stay near them.\And they're such nice people.\I may be able to stop the rumors, but I don't know how to make them feel better.\So I'm going to go back to what it was like, before I got used to being around them.\That has to be the best thing to do. response:	You'd be surprised how positive-thinking she is.
context: Kazehaya's going to become seriously worthless too, if he keeps getting followed around by Sadako.\My fault?\I'm going to hurt them again if I stay near them.\And they're such nice people.\I may be able to stop the rumors, but I don't know how to make them feel better.\So I'm going to go back to what it was like, before I got used to being around them.\That has to be the best thing to do.\You'd be surprised how positive-thinking she is. response:	Rumors and misunderstandings, huh?
context: My fault?\I'm going to hurt them again if I stay near them.\And they're such nice people.\I may be able to stop the rumors, but I don't know how to make them feel better.\So I'm going to go back to what it was like, before I got used to being around them.\That has to be the best thing to do.\You'd be surprised how positive-thinking she is.\Rumors and misunderstandings, huh? response:	That's frustrating.
context: I'm going to hurt them again if I stay near them.\And they're such nice people.\I may be able to stop the rumors, but I don't know how to make them feel better.\So I'm going to go back to what it was like, before I got used to being around them.\That has to be the best thing to do.\You'd be surprised how positive-thinking she is.\Rumors and misunderstandings, huh?\That's frustrating. response:	Now who do you think is the most frustrated?
context: And they're such nice people.\I may be able to stop the rumors, but I don't know how to make them feel better.\So I'm going to go back to what it was like, before I got used to being around them.\That has to be the best thing to do.\You'd be surprised how positive-thinking she is.\Rumors and misunderstandings, huh?\That's frustrating.\Now who do you think is the most frustrated? response:	If you don't hate me, why are you avoiding me?
context: I may be able to stop the rumors, but I don't know how to make them feel better.\So I'm going to go back to what it was like, before I got used to being around them.\That has to be the best thing to do.\You'd be surprised how positive-thinking she is.\Rumors and misunderstandings, huh?\That's frustrating.\Now who do you think is the most frustrated?\If you don't hate me, why are you avoiding me? response:	Don't talk to me.
context: So I'm going to go back to what it was like, before I got used to being around them.\That has to be the best thing to do.\You'd be surprised how positive-thinking she is.\Rumors and misunderstandings, huh?\That's frustrating.\Now who do you think is the most frustrated?\If you don't hate me, why are you avoiding me?\Don't talk to me. response:	I can't say it.
context: That has to be the best thing to do.\You'd be surprised how positive-thinking she is.\Rumors and misunderstandings, huh?\That's frustrating.\Now who do you think is the most frustrated?\If you don't hate me, why are you avoiding me?\Don't talk to me.\I can't say it. response:	So you were being awkward because of the rumors about Yano and Yoshida.
context: You'd be surprised how positive-thinking she is.\Rumors and misunderstandings, huh?\That's frustrating.\Now who do you think is the most frustrated?\If you don't hate me, why are you avoiding me?\Don't talk to me.\I can't say it.\So you were being awkward because of the rumors about Yano and Yoshida. response:	What if it were the other way around?
context: Rumors and misunderstandings, huh?\That's frustrating.\Now who do you think is the most frustrated?\If you don't hate me, why are you avoiding me?\Don't talk to me.\I can't say it.\So you were being awkward because of the rumors about Yano and Yoshida.\What if it were the other way around? response:	If Yano or I avoided you, thinking we'd ruin your reputation.
context: That's frustrating.\Now who do you think is the most frustrated?\If you don't hate me, why are you avoiding me?\Don't talk to me.\I can't say it.\So you were being awkward because of the rumors about Yano and Yoshida.\What if it were the other way around?\If Yano or I avoided you, thinking we'd ruin your reputation. response:	No way.
context: Now who do you think is the most frustrated?\If you don't hate me, why are you avoiding me?\Don't talk to me.\I can't say it.\So you were being awkward because of the rumors about Yano and Yoshida.\What if it were the other way around?\If Yano or I avoided you, thinking we'd ruin your reputation.\No way. response:	I'd want to stay together.
context: If you don't hate me, why are you avoiding me?\Don't talk to me.\I can't say it.\So you were being awkward because of the rumors about Yano and Yoshida.\What if it were the other way around?\If Yano or I avoided you, thinking we'd ruin your reputation.\No way.\I'd want to stay together. response:	That might be how they're feeling.
context: Don't talk to me.\I can't say it.\So you were being awkward because of the rumors about Yano and Yoshida.\What if it were the other way around?\If Yano or I avoided you, thinking we'd ruin your reputation.\No way.\I'd want to stay together.\That might be how they're feeling. response:	So it's all about how the other person feels.
context: I can't say it.\So you were being awkward because of the rumors about Yano and Yoshida.\What if it were the other way around?\If Yano or I avoided you, thinking we'd ruin your reputation.\No way.\I'd want to stay together.\That might be how they're feeling.\So it's all about how the other person feels. response:	His simple words, his smiles... they always nudge me forward.
context: So you were being awkward because of the rumors about Yano and Yoshida.\What if it were the other way around?\If Yano or I avoided you, thinking we'd ruin your reputation.\No way.\I'd want to stay together.\That might be how they're feeling.\So it's all about how the other person feels.\His simple words, his smiles... they always nudge me forward. response:	Go for it, Kuronuma.
context: What if it were the other way around?\If Yano or I avoided you, thinking we'd ruin your reputation.\No way.\I'd want to stay together.\That might be how they're feeling.\So it's all about how the other person feels.\His simple words, his smiles... they always nudge me forward.\Go for it, Kuronuma. response:	Go for it.
context: If Yano or I avoided you, thinking we'd ruin your reputation.\No way.\I'd want to stay together.\That might be how they're feeling.\So it's all about how the other person feels.\His simple words, his smiles... they always nudge me forward.\Go for it, Kuronuma.\Go for it. response:	Good man. He's awesome.
context: No way.\I'd want to stay together.\That might be how they're feeling.\So it's all about how the other person feels.\His simple words, his smiles... they always nudge me forward.\Go for it, Kuronuma.\Go for it.\Good man. He's awesome. response:	Hey, come on, don't ruin the story.
context: I'd want to stay together.\That might be how they're feeling.\So it's all about how the other person feels.\His simple words, his smiles... they always nudge me forward.\Go for it, Kuronuma.\Go for it.\Good man. He's awesome.\Hey, come on, don't ruin the story. response:	Oh dear, I'm sorry.
context: That might be how they're feeling.\So it's all about how the other person feels.\His simple words, his smiles... they always nudge me forward.\Go for it, Kuronuma.\Go for it.\Good man. He's awesome.\Hey, come on, don't ruin the story.\Oh dear, I'm sorry. response:	After the love story though, what happens next?
context: So it's all about how the other person feels.\His simple words, his smiles... they always nudge me forward.\Go for it, Kuronuma.\Go for it.\Good man. He's awesome.\Hey, come on, don't ruin the story.\Oh dear, I'm sorry.\After the love story though, what happens next? response:	Grow up.
context: His simple words, his smiles... they always nudge me forward.\Go for it, Kuronuma.\Go for it.\Good man. He's awesome.\Hey, come on, don't ruin the story.\Oh dear, I'm sorry.\After the love story though, what happens next?\Grow up. response:	Your son's going to be sad if he saw.
context: Go for it, Kuronuma.\Go for it.\Good man. He's awesome.\Hey, come on, don't ruin the story.\Oh dear, I'm sorry.\After the love story though, what happens next?\Grow up.\Your son's going to be sad if he saw. response:	Clean up, clean up!
context: Go for it.\Good man. He's awesome.\Hey, come on, don't ruin the story.\Oh dear, I'm sorry.\After the love story though, what happens next?\Grow up.\Your son's going to be sad if he saw.\Clean up, clean up! response:	Kazehaya was watching her back.
context: Good man. He's awesome.\Hey, come on, don't ruin the story.\Oh dear, I'm sorry.\After the love story though, what happens next?\Grow up.\Your son's going to be sad if he saw.\Clean up, clean up!\Kazehaya was watching her back. response:	He gave her confidence.
context: Hey, come on, don't ruin the story.\Oh dear, I'm sorry.\After the love story though, what happens next?\Grow up.\Your son's going to be sad if he saw.\Clean up, clean up!\Kazehaya was watching her back.\He gave her confidence. response:	She has to make use of it.
context: Oh dear, I'm sorry.\After the love story though, what happens next?\Grow up.\Your son's going to be sad if he saw.\Clean up, clean up!\Kazehaya was watching her back.\He gave her confidence.\She has to make use of it. response:	No.
context: After the love story though, what happens next?\Grow up.\Your son's going to be sad if he saw.\Clean up, clean up!\Kazehaya was watching her back.\He gave her confidence.\She has to make use of it.\No. response:	You don't need to get off my back.
context: Grow up.\Your son's going to be sad if he saw.\Clean up, clean up!\Kazehaya was watching her back.\He gave her confidence.\She has to make use of it.\No.\You don't need to get off my back. response:	Just take it back.
context: Your son's going to be sad if he saw.\Clean up, clean up!\Kazehaya was watching her back.\He gave her confidence.\She has to make use of it.\No.\You don't need to get off my back.\Just take it back. response:	Huh? What the hell
context: Clean up, clean up!\Kazehaya was watching her back.\He gave her confidence.\She has to make use of it.\No.\You don't need to get off my back.\Just take it back.\Huh? What the hell response:	It's all wrong.
context: Kazehaya was watching her back.\He gave her confidence.\She has to make use of it.\No.\You don't need to get off my back.\Just take it back.\Huh? What the hell\It's all wrong. response:	You people don't get it.
context: He gave her confidence.\She has to make use of it.\No.\You don't need to get off my back.\Just take it back.\Huh? What the hell\It's all wrong.\You people don't get it. response:	You don't know anything.
context: She has to make use of it.\No.\You don't need to get off my back.\Just take it back.\Huh? What the hell\It's all wrong.\You people don't get it.\You don't know anything. response:	You don't know how kind they were to me.
context: No.\You don't need to get off my back.\Just take it back.\Huh? What the hell\It's all wrong.\You people don't get it.\You don't know anything.\You don't know how kind they were to me. response:	How I more than just like them... I love them.
context: You don't need to get off my back.\Just take it back.\Huh? What the hell\It's all wrong.\You people don't get it.\You don't know anything.\You don't know how kind they were to me.\How I more than just like them... I love them. response:	So...
context: Just take it back.\Huh? What the hell\It's all wrong.\You people don't get it.\You don't know anything.\You don't know how kind they were to me.\How I more than just like them... I love them.\So... response:	Y-Yoshida.
context: Huh? What the hell\It's all wrong.\You people don't get it.\You don't know anything.\You don't know how kind they were to me.\How I more than just like them... I love them.\So...\Y-Yoshida. response:	You're still sticking up for her,
context: It's all wrong.\You people don't get it.\You don't know anything.\You don't know how kind they were to me.\How I more than just like them... I love them.\So...\Y-Yoshida.\You're still sticking up for her, response:	after all those rumors she spread?
context: You people don't get it.\You don't know anything.\You don't know how kind they were to me.\How I more than just like them... I love them.\So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread? response:	It wasn't Sadako.
context: You don't know anything.\You don't know how kind they were to me.\How I more than just like them... I love them.\So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako. response:	She wouldn't do that.
context: You don't know how kind they were to me.\How I more than just like them... I love them.\So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that. response:	It's our problem, so piss off.
context: How I more than just like them... I love them.\So...\Y-Yoshida.\You're still sticking up for her,\after all those rumors she spread?\It wasn't Sadako.\She wouldn't do that.\It's our problem, so piss off. response:	Get lost already.
