context: Maki-chan? response:	How do you write that?
context: The day's almost here!\glare\Yep!\My Chocolate\Red, pink, and brown...\You should watch where you're going.\I wonder what kind of chocolate Yamato-san will give you.\You think she'll give me chocolate? response:	Why wouldn't she?
context: glare\Yep!\My Chocolate\Red, pink, and brown...\You should watch where you're going.\I wonder what kind of chocolate Yamato-san will give you.\You think she'll give me chocolate?\Why wouldn't she? response:	I can't wait!
context: Yep!\My Chocolate\Red, pink, and brown...\You should watch where you're going.\I wonder what kind of chocolate Yamato-san will give you.\You think she'll give me chocolate?\Why wouldn't she?\I can't wait! response:	What's this, a banzai pose?
context: My Chocolate\Red, pink, and brown...\You should watch where you're going.\I wonder what kind of chocolate Yamato-san will give you.\You think she'll give me chocolate?\Why wouldn't she?\I can't wait!\What's this, a banzai pose? response:	I've never gotten real chocolates from a girl.
context: Red, pink, and brown...\You should watch where you're going.\I wonder what kind of chocolate Yamato-san will give you.\You think she'll give me chocolate?\Why wouldn't she?\I can't wait!\What's this, a banzai pose?\I've never gotten real chocolates from a girl. response:	I've gotten obligation chocolates, but...
context: You should watch where you're going.\I wonder what kind of chocolate Yamato-san will give you.\You think she'll give me chocolate?\Why wouldn't she?\I can't wait!\What's this, a banzai pose?\I've never gotten real chocolates from a girl.\I've gotten obligation chocolates, but... response:	Here, have some chocolate.
context: I wonder what kind of chocolate Yamato-san will give you.\You think she'll give me chocolate?\Why wouldn't she?\I can't wait!\What's this, a banzai pose?\I've never gotten real chocolates from a girl.\I've gotten obligation chocolates, but...\Here, have some chocolate. response:	Neighbor: Izumi-san
context: You think she'll give me chocolate?\Why wouldn't she?\I can't wait!\What's this, a banzai pose?\I've never gotten real chocolates from a girl.\I've gotten obligation chocolates, but...\Here, have some chocolate.\Neighbor: Izumi-san response:	Back in my younger days, plenty of kids were like you.
context: Why wouldn't she?\I can't wait!\What's this, a banzai pose?\I've never gotten real chocolates from a girl.\I've gotten obligation chocolates, but...\Here, have some chocolate.\Neighbor: Izumi-san\Back in my younger days, plenty of kids were like you. response:	You're so generous every year. Thank you.
context: I can't wait!\What's this, a banzai pose?\I've never gotten real chocolates from a girl.\I've gotten obligation chocolates, but...\Here, have some chocolate.\Neighbor: Izumi-san\Back in my younger days, plenty of kids were like you.\You're so generous every year. Thank you. response:	Kindergarten
context: What's this, a banzai pose?\I've never gotten real chocolates from a girl.\I've gotten obligation chocolates, but...\Here, have some chocolate.\Neighbor: Izumi-san\Back in my younger days, plenty of kids were like you.\You're so generous every year. Thank you.\Kindergarten response:	Suna gets chocolate every year.
context: I've never gotten real chocolates from a girl.\I've gotten obligation chocolates, but...\Here, have some chocolate.\Neighbor: Izumi-san\Back in my younger days, plenty of kids were like you.\You're so generous every year. Thank you.\Kindergarten\Suna gets chocolate every year. response:	Every year, I think I won't get any,
context: I've gotten obligation chocolates, but...\Here, have some chocolate.\Neighbor: Izumi-san\Back in my younger days, plenty of kids were like you.\You're so generous every year. Thank you.\Kindergarten\Suna gets chocolate every year.\Every year, I think I won't get any, response:	but I still wonder if I might.
context: Here, have some chocolate.\Neighbor: Izumi-san\Back in my younger days, plenty of kids were like you.\You're so generous every year. Thank you.\Kindergarten\Suna gets chocolate every year.\Every year, I think I won't get any,\but I still wonder if I might. response:	Junior High
context: Neighbor: Izumi-san\Back in my younger days, plenty of kids were like you.\You're so generous every year. Thank you.\Kindergarten\Suna gets chocolate every year.\Every year, I think I won't get any,\but I still wonder if I might.\Junior High response:	And then, I'm always let down.
context: Back in my younger days, plenty of kids were like you.\You're so generous every year. Thank you.\Kindergarten\Suna gets chocolate every year.\Every year, I think I won't get any,\but I still wonder if I might.\Junior High\And then, I'm always let down. response:	Gouda
context: You're so generous every year. Thank you.\Kindergarten\Suna gets chocolate every year.\Every year, I think I won't get any,\but I still wonder if I might.\Junior High\And then, I'm always let down.\Gouda response:	So far, that's how Valentine's Day has gone for me.
context: Kindergarten\Suna gets chocolate every year.\Every year, I think I won't get any,\but I still wonder if I might.\Junior High\And then, I'm always let down.\Gouda\So far, that's how Valentine's Day has gone for me. response:	But this year...
context: Suna gets chocolate every year.\Every year, I think I won't get any,\but I still wonder if I might.\Junior High\And then, I'm always let down.\Gouda\So far, that's how Valentine's Day has gone for me.\But this year... response:	I think Yamato-san will give you something really amazing.
context: Every year, I think I won't get any,\but I still wonder if I might.\Junior High\And then, I'm always let down.\Gouda\So far, that's how Valentine's Day has gone for me.\But this year...\I think Yamato-san will give you something really amazing. response:	You think so?
context: but I still wonder if I might.\Junior High\And then, I'm always let down.\Gouda\So far, that's how Valentine's Day has gone for me.\But this year...\I think Yamato-san will give you something really amazing.\You think so? response:	Why wouldn't she?
context: Junior High\And then, I'm always let down.\Gouda\So far, that's how Valentine's Day has gone for me.\But this year...\I think Yamato-san will give you something really amazing.\You think so?\Why wouldn't she? response:	Would she?
context: And then, I'm always let down.\Gouda\So far, that's how Valentine's Day has gone for me.\But this year...\I think Yamato-san will give you something really amazing.\You think so?\Why wouldn't she?\Would she? response:	Why are you so happy?
context: Gouda\So far, that's how Valentine's Day has gone for me.\But this year...\I think Yamato-san will give you something really amazing.\You think so?\Why wouldn't she?\Would she?\Why are you so happy? response:	Well, I've never gotten chocolate from a girl who liked me before.
context: So far, that's how Valentine's Day has gone for me.\But this year...\I think Yamato-san will give you something really amazing.\You think so?\Why wouldn't she?\Would she?\Why are you so happy?\Well, I've never gotten chocolate from a girl who liked me before. response:	You mean a girl who really likes you.
context: But this year...\I think Yamato-san will give you something really amazing.\You think so?\Why wouldn't she?\Would she?\Why are you so happy?\Well, I've never gotten chocolate from a girl who liked me before.\You mean a girl who really likes you. response:	Really
context: I think Yamato-san will give you something really amazing.\You think so?\Why wouldn't she?\Would she?\Why are you so happy?\Well, I've never gotten chocolate from a girl who liked me before.\You mean a girl who really likes you.\Really response:	A girl who really likes me!
context: You think so?\Why wouldn't she?\Would she?\Why are you so happy?\Well, I've never gotten chocolate from a girl who liked me before.\You mean a girl who really likes you.\Really\A girl who really likes me! response:	Likes
context: Why wouldn't she?\Would she?\Why are you so happy?\Well, I've never gotten chocolate from a girl who liked me before.\You mean a girl who really likes you.\Really\A girl who really likes me!\Likes response:	Me
context: Would she?\Why are you so happy?\Well, I've never gotten chocolate from a girl who liked me before.\You mean a girl who really likes you.\Really\A girl who really likes me!\Likes\Me response:	Oops, if I set my expectations too high,
context: Why are you so happy?\Well, I've never gotten chocolate from a girl who liked me before.\You mean a girl who really likes you.\Really\A girl who really likes me!\Likes\Me\Oops, if I set my expectations too high, response:	Yamato might feel pressured.
context: Well, I've never gotten chocolate from a girl who liked me before.\You mean a girl who really likes you.\Really\A girl who really likes me!\Likes\Me\Oops, if I set my expectations too high,\Yamato might feel pressured. response:	I'll just act like it isn't a big deal.
context: You mean a girl who really likes you.\Really\A girl who really likes me!\Likes\Me\Oops, if I set my expectations too high,\Yamato might feel pressured.\I'll just act like it isn't a big deal. response:	Good call.
context: Really\A girl who really likes me!\Likes\Me\Oops, if I set my expectations too high,\Yamato might feel pressured.\I'll just act like it isn't a big deal.\Good call. response:	Though, you're doing a banzai pose.
context: A girl who really likes me!\Likes\Me\Oops, if I set my expectations too high,\Yamato might feel pressured.\I'll just act like it isn't a big deal.\Good call.\Though, you're doing a banzai pose. response:	So, this year, I'll actually get chocolate from a girl who likes me?
context: Likes\Me\Oops, if I set my expectations too high,\Yamato might feel pressured.\I'll just act like it isn't a big deal.\Good call.\Though, you're doing a banzai pose.\So, this year, I'll actually get chocolate from a girl who likes me? response:	I can't wait.
context: Me\Oops, if I set my expectations too high,\Yamato might feel pressured.\I'll just act like it isn't a big deal.\Good call.\Though, you're doing a banzai pose.\So, this year, I'll actually get chocolate from a girl who likes me?\I can't wait. response:	Wait, I was thinking of having our second kiss on Valentine's.
context: Oops, if I set my expectations too high,\Yamato might feel pressured.\I'll just act like it isn't a big deal.\Good call.\Though, you're doing a banzai pose.\So, this year, I'll actually get chocolate from a girl who likes me?\I can't wait.\Wait, I was thinking of having our second kiss on Valentine's. response:	Get my chocolate, say thank you, then...
context: Yamato might feel pressured.\I'll just act like it isn't a big deal.\Good call.\Though, you're doing a banzai pose.\So, this year, I'll actually get chocolate from a girl who likes me?\I can't wait.\Wait, I was thinking of having our second kiss on Valentine's.\Get my chocolate, say thank you, then... response:	The second kiss...
context: I'll just act like it isn't a big deal.\Good call.\Though, you're doing a banzai pose.\So, this year, I'll actually get chocolate from a girl who likes me?\I can't wait.\Wait, I was thinking of having our second kiss on Valentine's.\Get my chocolate, say thank you, then...\The second kiss... response:	Koizumi Girls' Academy
context: Good call.\Though, you're doing a banzai pose.\So, this year, I'll actually get chocolate from a girl who likes me?\I can't wait.\Wait, I was thinking of having our second kiss on Valentine's.\Get my chocolate, say thank you, then...\The second kiss...\Koizumi Girls' Academy response:	Rinko...
context: Though, you're doing a banzai pose.\So, this year, I'll actually get chocolate from a girl who likes me?\I can't wait.\Wait, I was thinking of having our second kiss on Valentine's.\Get my chocolate, say thank you, then...\The second kiss...\Koizumi Girls' Academy\Rinko... response:	Please! I'm begging you!
context: So, this year, I'll actually get chocolate from a girl who likes me?\I can't wait.\Wait, I was thinking of having our second kiss on Valentine's.\Get my chocolate, say thank you, then...\The second kiss...\Koizumi Girls' Academy\Rinko...\Please! I'm begging you! response:	Please teach me how to make chocolate.
context: I can't wait.\Wait, I was thinking of having our second kiss on Valentine's.\Get my chocolate, say thank you, then...\The second kiss...\Koizumi Girls' Academy\Rinko...\Please! I'm begging you!\Please teach me how to make chocolate. response:	It's for Valentine's Day, right?
context: Wait, I was thinking of having our second kiss on Valentine's.\Get my chocolate, say thank you, then...\The second kiss...\Koizumi Girls' Academy\Rinko...\Please! I'm begging you!\Please teach me how to make chocolate.\It's for Valentine's Day, right? response:	Yeah!
context: Get my chocolate, say thank you, then...\The second kiss...\Koizumi Girls' Academy\Rinko...\Please! I'm begging you!\Please teach me how to make chocolate.\It's for Valentine's Day, right?\Yeah! response:	I've never made anything sweet in my life,
context: The second kiss...\Koizumi Girls' Academy\Rinko...\Please! I'm begging you!\Please teach me how to make chocolate.\It's for Valentine's Day, right?\Yeah!\I've never made anything sweet in my life, response:	and I don't even have the equipment.
context: Koizumi Girls' Academy\Rinko...\Please! I'm begging you!\Please teach me how to make chocolate.\It's for Valentine's Day, right?\Yeah!\I've never made anything sweet in my life,\and I don't even have the equipment. response:	Why not make it together, at my place?
context: Rinko...\Please! I'm begging you!\Please teach me how to make chocolate.\It's for Valentine's Day, right?\Yeah!\I've never made anything sweet in my life,\and I don't even have the equipment.\Why not make it together, at my place? response:	I'm making something for Takeo-kun, anyway.
context: Please! I'm begging you!\Please teach me how to make chocolate.\It's for Valentine's Day, right?\Yeah!\I've never made anything sweet in my life,\and I don't even have the equipment.\Why not make it together, at my place?\I'm making something for Takeo-kun, anyway. response:	You're a lifesaver! Thanks!
context: Please teach me how to make chocolate.\It's for Valentine's Day, right?\Yeah!\I've never made anything sweet in my life,\and I don't even have the equipment.\Why not make it together, at my place?\I'm making something for Takeo-kun, anyway.\You're a lifesaver! Thanks! response:	Having a boyfriend must be nice.
context: It's for Valentine's Day, right?\Yeah!\I've never made anything sweet in my life,\and I don't even have the equipment.\Why not make it together, at my place?\I'm making something for Takeo-kun, anyway.\You're a lifesaver! Thanks!\Having a boyfriend must be nice. response:	They look like they're having fun.
context: Yeah!\I've never made anything sweet in my life,\and I don't even have the equipment.\Why not make it together, at my place?\I'm making something for Takeo-kun, anyway.\You're a lifesaver! Thanks!\Having a boyfriend must be nice.\They look like they're having fun. response:	We don't have anything planned.
context: I've never made anything sweet in my life,\and I don't even have the equipment.\Why not make it together, at my place?\I'm making something for Takeo-kun, anyway.\You're a lifesaver! Thanks!\Having a boyfriend must be nice.\They look like they're having fun.\We don't have anything planned. response:	We want to make some for ourselves, too.
context: and I don't even have the equipment.\Why not make it together, at my place?\I'm making something for Takeo-kun, anyway.\You're a lifesaver! Thanks!\Having a boyfriend must be nice.\They look like they're having fun.\We don't have anything planned.\We want to make some for ourselves, too. response:	Okay, let's all make chocolate at my place, on the 13th.
context: Why not make it together, at my place?\I'm making something for Takeo-kun, anyway.\You're a lifesaver! Thanks!\Having a boyfriend must be nice.\They look like they're having fun.\We don't have anything planned.\We want to make some for ourselves, too.\Okay, let's all make chocolate at my place, on the 13th. response:	Really? Let's do that!
context: I'm making something for Takeo-kun, anyway.\You're a lifesaver! Thanks!\Having a boyfriend must be nice.\They look like they're having fun.\We don't have anything planned.\We want to make some for ourselves, too.\Okay, let's all make chocolate at my place, on the 13th.\Really? Let's do that! response:	Then we'll buy the ingredients.
context: You're a lifesaver! Thanks!\Having a boyfriend must be nice.\They look like they're having fun.\We don't have anything planned.\We want to make some for ourselves, too.\Okay, let's all make chocolate at my place, on the 13th.\Really? Let's do that!\Then we'll buy the ingredients. response:	Takeo-kun...
context: Having a boyfriend must be nice.\They look like they're having fun.\We don't have anything planned.\We want to make some for ourselves, too.\Okay, let's all make chocolate at my place, on the 13th.\Really? Let's do that!\Then we'll buy the ingredients.\Takeo-kun... response:	Hey!
context: They look like they're having fun.\We don't have anything planned.\We want to make some for ourselves, too.\Okay, let's all make chocolate at my place, on the 13th.\Really? Let's do that!\Then we'll buy the ingredients.\Takeo-kun...\Hey! response:	The wind's strong today.
context: We don't have anything planned.\We want to make some for ourselves, too.\Okay, let's all make chocolate at my place, on the 13th.\Really? Let's do that!\Then we'll buy the ingredients.\Takeo-kun...\Hey!\The wind's strong today. response:	Is it?
context: We want to make some for ourselves, too.\Okay, let's all make chocolate at my place, on the 13th.\Really? Let's do that!\Then we'll buy the ingredients.\Takeo-kun...\Hey!\The wind's strong today.\Is it? response:	Huh?
context: Okay, let's all make chocolate at my place, on the 13th.\Really? Let's do that!\Then we'll buy the ingredients.\Takeo-kun...\Hey!\The wind's strong today.\Is it?\Huh? response:	Just now, you were my shield.
context: Really? Let's do that!\Then we'll buy the ingredients.\Takeo-kun...\Hey!\The wind's strong today.\Is it?\Huh?\Just now, you were my shield. response:	I love her.
context: Then we'll buy the ingredients.\Takeo-kun...\Hey!\The wind's strong today.\Is it?\Huh?\Just now, you were my shield.\I love her. response:	I don't really have much cash on me today.
context: Takeo-kun...\Hey!\The wind's strong today.\Is it?\Huh?\Just now, you were my shield.\I love her.\I don't really have much cash on me today. response:	Let's just buy something to drink at the food court, and chat.
context: Hey!\The wind's strong today.\Is it?\Huh?\Just now, you were my shield.\I love her.\I don't really have much cash on me today.\Let's just buy something to drink at the food court, and chat. response:	Sure.
context: The wind's strong today.\Is it?\Huh?\Just now, you were my shield.\I love her.\I don't really have much cash on me today.\Let's just buy something to drink at the food court, and chat.\Sure. response:	Is she low on cash because of Valentine's Day?
context: Is it?\Huh?\Just now, you were my shield.\I love her.\I don't really have much cash on me today.\Let's just buy something to drink at the food court, and chat.\Sure.\Is she low on cash because of Valentine's Day? response:	Yamato, you don't have to try so hard.
context: Huh?\Just now, you were my shield.\I love her.\I don't really have much cash on me today.\Let's just buy something to drink at the food court, and chat.\Sure.\Is she low on cash because of Valentine's Day?\Yamato, you don't have to try so hard. response:	I'm fine, as long as I get something.
context: Just now, you were my shield.\I love her.\I don't really have much cash on me today.\Let's just buy something to drink at the food court, and chat.\Sure.\Is she low on cash because of Valentine's Day?\Yamato, you don't have to try so hard.\I'm fine, as long as I get something. response:	Takeo-kun,
context: I love her.\I don't really have much cash on me today.\Let's just buy something to drink at the food court, and chat.\Sure.\Is she low on cash because of Valentine's Day?\Yamato, you don't have to try so hard.\I'm fine, as long as I get something.\Takeo-kun, response:	on February 14th, are you
context: I don't really have much cash on me today.\Let's just buy something to drink at the food court, and chat.\Sure.\Is she low on cash because of Valentine's Day?\Yamato, you don't have to try so hard.\I'm fine, as long as I get something.\Takeo-kun,\on February 14th, are you response:	I'm free.
context: Let's just buy something to drink at the food court, and chat.\Sure.\Is she low on cash because of Valentine's Day?\Yamato, you don't have to try so hard.\I'm fine, as long as I get something.\Takeo-kun,\on February 14th, are you\I'm free. response:	Crap.
context: Sure.\Is she low on cash because of Valentine's Day?\Yamato, you don't have to try so hard.\I'm fine, as long as I get something.\Takeo-kun,\on February 14th, are you\I'm free.\Crap. response:	She actually, didn't say anything specific.
context: Is she low on cash because of Valentine's Day?\Yamato, you don't have to try so hard.\I'm fine, as long as I get something.\Takeo-kun,\on February 14th, are you\I'm free.\Crap.\She actually, didn't say anything specific. response:	Oh, I was just about to ask if you were free.
context: Yamato, you don't have to try so hard.\I'm fine, as long as I get something.\Takeo-kun,\on February 14th, are you\I'm free.\Crap.\She actually, didn't say anything specific.\Oh, I was just about to ask if you were free. response:	I love her!
context: I'm fine, as long as I get something.\Takeo-kun,\on February 14th, are you\I'm free.\Crap.\She actually, didn't say anything specific.\Oh, I was just about to ask if you were free.\I love her! response:	I'll go throw these away.
context: Takeo-kun,\on February 14th, are you\I'm free.\Crap.\She actually, didn't say anything specific.\Oh, I was just about to ask if you were free.\I love her!\I'll go throw these away. response:	That was close.
context: on February 14th, are you\I'm free.\Crap.\She actually, didn't say anything specific.\Oh, I was just about to ask if you were free.\I love her!\I'll go throw these away.\That was close. response:	I have to be careful not to pressure her.
context: I'm free.\Crap.\She actually, didn't say anything specific.\Oh, I was just about to ask if you were free.\I love her!\I'll go throw these away.\That was close.\I have to be careful not to pressure her. response:	You totally did.
context: Crap.\She actually, didn't say anything specific.\Oh, I was just about to ask if you were free.\I love her!\I'll go throw these away.\That was close.\I have to be careful not to pressure her.\You totally did. response:	It's almost Valentine's,
context: She actually, didn't say anything specific.\Oh, I was just about to ask if you were free.\I love her!\I'll go throw these away.\That was close.\I have to be careful not to pressure her.\You totally did.\It's almost Valentine's, response:	so there are lots of limited-edition chocolates on sale!
context: Oh, I was just about to ask if you were free.\I love her!\I'll go throw these away.\That was close.\I have to be careful not to pressure her.\You totally did.\It's almost Valentine's,\so there are lots of limited-edition chocolates on sale! response:	Oh, right, Valentine's is coming up.
context: I love her!\I'll go throw these away.\That was close.\I have to be careful not to pressure her.\You totally did.\It's almost Valentine's,\so there are lots of limited-edition chocolates on sale!\Oh, right, Valentine's is coming up. response:	You have no shame...
context: I'll go throw these away.\That was close.\I have to be careful not to pressure her.\You totally did.\It's almost Valentine's,\so there are lots of limited-edition chocolates on sale!\Oh, right, Valentine's is coming up.\You have no shame... response:	The limited-edition chocolates are really something.
context: That was close.\I have to be careful not to pressure her.\You totally did.\It's almost Valentine's,\so there are lots of limited-edition chocolates on sale!\Oh, right, Valentine's is coming up.\You have no shame...\The limited-edition chocolates are really something. response:	They come in beautiful colors and shapes.
context: I have to be careful not to pressure her.\You totally did.\It's almost Valentine's,\so there are lots of limited-edition chocolates on sale!\Oh, right, Valentine's is coming up.\You have no shame...\The limited-edition chocolates are really something.\They come in beautiful colors and shapes. response:	The packaging is cute, too.
context: You totally did.\It's almost Valentine's,\so there are lots of limited-edition chocolates on sale!\Oh, right, Valentine's is coming up.\You have no shame...\The limited-edition chocolates are really something.\They come in beautiful colors and shapes.\The packaging is cute, too. response:	Two-thousand yen?!
context: It's almost Valentine's,\so there are lots of limited-edition chocolates on sale!\Oh, right, Valentine's is coming up.\You have no shame...\The limited-edition chocolates are really something.\They come in beautiful colors and shapes.\The packaging is cute, too.\Two-thousand yen?! response:	It costs that much for this little?
context: so there are lots of limited-edition chocolates on sale!\Oh, right, Valentine's is coming up.\You have no shame...\The limited-edition chocolates are really something.\They come in beautiful colors and shapes.\The packaging is cute, too.\Two-thousand yen?!\It costs that much for this little? response:	I bet they use really good cacao beans or something.
context: Oh, right, Valentine's is coming up.\You have no shame...\The limited-edition chocolates are really something.\They come in beautiful colors and shapes.\The packaging is cute, too.\Two-thousand yen?!\It costs that much for this little?\I bet they use really good cacao beans or something. response:	They're just so beautiful.
context: You have no shame...\The limited-edition chocolates are really something.\They come in beautiful colors and shapes.\The packaging is cute, too.\Two-thousand yen?!\It costs that much for this little?\I bet they use really good cacao beans or something.\They're just so beautiful. response:	I want them for myself.
context: The limited-edition chocolates are really something.\They come in beautiful colors and shapes.\The packaging is cute, too.\Two-thousand yen?!\It costs that much for this little?\I bet they use really good cacao beans or something.\They're just so beautiful.\I want them for myself. response:	I see...
context: They come in beautiful colors and shapes.\The packaging is cute, too.\Two-thousand yen?!\It costs that much for this little?\I bet they use really good cacao beans or something.\They're just so beautiful.\I want them for myself.\I see... response:	This year, I've seen pistachios a lot.
context: The packaging is cute, too.\Two-thousand yen?!\It costs that much for this little?\I bet they use really good cacao beans or something.\They're just so beautiful.\I want them for myself.\I see...\This year, I've seen pistachios a lot. response:	I don't need anything expensive.
context: Two-thousand yen?!\It costs that much for this little?\I bet they use really good cacao beans or something.\They're just so beautiful.\I want them for myself.\I see...\This year, I've seen pistachios a lot.\I don't need anything expensive. response:	I wonder if that's trendy right now.
context: It costs that much for this little?\I bet they use really good cacao beans or something.\They're just so beautiful.\I want them for myself.\I see...\This year, I've seen pistachios a lot.\I don't need anything expensive.\I wonder if that's trendy right now. response:	You can even give me chocolate that didn't turn out okay.
context: I bet they use really good cacao beans or something.\They're just so beautiful.\I want them for myself.\I see...\This year, I've seen pistachios a lot.\I don't need anything expensive.\I wonder if that's trendy right now.\You can even give me chocolate that didn't turn out okay. response:	I'll be waiting, Yamato.
context: They're just so beautiful.\I want them for myself.\I see...\This year, I've seen pistachios a lot.\I don't need anything expensive.\I wonder if that's trendy right now.\You can even give me chocolate that didn't turn out okay.\I'll be waiting, Yamato. response:	Please! I'm begging you, Takeo!
