context: There are those who absolutely refused to stop pushing forward. response:	On occasion, they become one with their personal convictions, transforming into karma itself.
context: If an answer can be found now, we don't mind losing it all\The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse response:	The pulse is the real thing
context: The echo is still reverberating\So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing response:	Never again will the yearning stop
context: So that we do not part with that voice\The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop response:	The very best of the cave raiders: the White Whistles.
context: The compass is always\Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\The very best of the cave raiders: the White Whistles. response:	Armed with Relics of the netherworld they've personally excavated,
context: Pointed to the darkness\Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\The very best of the cave raiders: the White Whistles.\Armed with Relics of the netherworld they've personally excavated, response:	they are each known by titles that uniquely personify them.
context: Where there is no escape\In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\The very best of the cave raiders: the White Whistles.\Armed with Relics of the netherworld they've personally excavated,\they are each known by titles that uniquely personify them. response:	the Unmovable Sovereign, Ozen the Immovable.
context: In that direction\Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\The very best of the cave raiders: the White Whistles.\Armed with Relics of the netherworld they've personally excavated,\they are each known by titles that uniquely personify them.\the Unmovable Sovereign, Ozen the Immovable. response:	So then, are the stories about how she pulled up a gondola with 30 people inside,
context: Even if that is a curse\The pulse is the real thing\Never again will the yearning stop\The very best of the cave raiders: the White Whistles.\Armed with Relics of the netherworld they've personally excavated,\they are each known by titles that uniquely personify them.\the Unmovable Sovereign, Ozen the Immovable.\So then, are the stories about how she pulled up a gondola with 30 people inside, response:	or how she supported a boulder that was 10 meters across, all really true?
context: The pulse is the real thing\Never again will the yearning stop\The very best of the cave raiders: the White Whistles.\Armed with Relics of the netherworld they've personally excavated,\they are each known by titles that uniquely personify them.\the Unmovable Sovereign, Ozen the Immovable.\So then, are the stories about how she pulled up a gondola with 30 people inside,\or how she supported a boulder that was 10 meters across, all really true? response:	Those are rumors, purely rumors.
context: Never again will the yearning stop\The very best of the cave raiders: the White Whistles.\Armed with Relics of the netherworld they've personally excavated,\they are each known by titles that uniquely personify them.\the Unmovable Sovereign, Ozen the Immovable.\So then, are the stories about how she pulled up a gondola with 30 people inside,\or how she supported a boulder that was 10 meters across, all really true?\Those are rumors, purely rumors. response:	However, one thing is certain: such rumors have been whispered about her for a full 50 years.
context: The very best of the cave raiders: the White Whistles.\Armed with Relics of the netherworld they've personally excavated,\they are each known by titles that uniquely personify them.\the Unmovable Sovereign, Ozen the Immovable.\So then, are the stories about how she pulled up a gondola with 30 people inside,\or how she supported a boulder that was 10 meters across, all really true?\Those are rumors, purely rumors.\However, one thing is certain: such rumors have been whispered about her for a full 50 years. response:	50 years?!
context: Armed with Relics of the netherworld they've personally excavated,\they are each known by titles that uniquely personify them.\the Unmovable Sovereign, Ozen the Immovable.\So then, are the stories about how she pulled up a gondola with 30 people inside,\or how she supported a boulder that was 10 meters across, all really true?\Those are rumors, purely rumors.\However, one thing is certain: such rumors have been whispered about her for a full 50 years.\50 years?! response:	So that means...
context: they are each known by titles that uniquely personify them.\the Unmovable Sovereign, Ozen the Immovable.\So then, are the stories about how she pulled up a gondola with 30 people inside,\or how she supported a boulder that was 10 meters across, all really true?\Those are rumors, purely rumors.\However, one thing is certain: such rumors have been whispered about her for a full 50 years.\50 years?!\So that means... response:	50 years ago she was already a White Whistle?!
context: the Unmovable Sovereign, Ozen the Immovable.\So then, are the stories about how she pulled up a gondola with 30 people inside,\or how she supported a boulder that was 10 meters across, all really true?\Those are rumors, purely rumors.\However, one thing is certain: such rumors have been whispered about her for a full 50 years.\50 years?!\So that means...\50 years ago she was already a White Whistle?! response:	She truly is the Unmovable Sovereign. What an amazing person.
context: So then, are the stories about how she pulled up a gondola with 30 people inside,\or how she supported a boulder that was 10 meters across, all really true?\Those are rumors, purely rumors.\However, one thing is certain: such rumors have been whispered about her for a full 50 years.\50 years?!\So that means...\50 years ago she was already a White Whistle?!\She truly is the Unmovable Sovereign. What an amazing person. response:	However...
context: or how she supported a boulder that was 10 meters across, all really true?\Those are rumors, purely rumors.\However, one thing is certain: such rumors have been whispered about her for a full 50 years.\50 years?!\So that means...\50 years ago she was already a White Whistle?!\She truly is the Unmovable Sovereign. What an amazing person.\However... response:	Hey, Habo, just what Relic is it that Ozen's armed with?
context: Those are rumors, purely rumors.\However, one thing is certain: such rumors have been whispered about her for a full 50 years.\50 years?!\So that means...\50 years ago she was already a White Whistle?!\She truly is the Unmovable Sovereign. What an amazing person.\However...\Hey, Habo, just what Relic is it that Ozen's armed with? response:	I can't tell you that.
context: However, one thing is certain: such rumors have been whispered about her for a full 50 years.\50 years?!\So that means...\50 years ago she was already a White Whistle?!\She truly is the Unmovable Sovereign. What an amazing person.\However...\Hey, Habo, just what Relic is it that Ozen's armed with?\I can't tell you that. response:	Don't give me that face.
context: 50 years?!\So that means...\50 years ago she was already a White Whistle?!\She truly is the Unmovable Sovereign. What an amazing person.\However...\Hey, Habo, just what Relic is it that Ozen's armed with?\I can't tell you that.\Don't give me that face. response:	White Whistles are the trump cards of this here city of the pit.
context: So that means...\50 years ago she was already a White Whistle?!\She truly is the Unmovable Sovereign. What an amazing person.\However...\Hey, Habo, just what Relic is it that Ozen's armed with?\I can't tell you that.\Don't give me that face.\White Whistles are the trump cards of this here city of the pit. response:	Until their whistles return home, that information won't be made public.
context: 50 years ago she was already a White Whistle?!\She truly is the Unmovable Sovereign. What an amazing person.\However...\Hey, Habo, just what Relic is it that Ozen's armed with?\I can't tell you that.\Don't give me that face.\White Whistles are the trump cards of this here city of the pit.\Until their whistles return home, that information won't be made public. response:	Dang.
context: She truly is the Unmovable Sovereign. What an amazing person.\However...\Hey, Habo, just what Relic is it that Ozen's armed with?\I can't tell you that.\Don't give me that face.\White Whistles are the trump cards of this here city of the pit.\Until their whistles return home, that information won't be made public.\Dang. response:	Ozen...
context: However...\Hey, Habo, just what Relic is it that Ozen's armed with?\I can't tell you that.\Don't give me that face.\White Whistles are the trump cards of this here city of the pit.\Until their whistles return home, that information won't be made public.\Dang.\Ozen... response:	I don't think there's any way she'd tell them about the Vessel...
context: Hey, Habo, just what Relic is it that Ozen's armed with?\I can't tell you that.\Don't give me that face.\White Whistles are the trump cards of this here city of the pit.\Until their whistles return home, that information won't be made public.\Dang.\Ozen...\I don't think there's any way she'd tell them about the Vessel... response:	but I'm still nervous.
context: I can't tell you that.\Don't give me that face.\White Whistles are the trump cards of this here city of the pit.\Until their whistles return home, that information won't be made public.\Dang.\Ozen...\I don't think there's any way she'd tell them about the Vessel...\but I'm still nervous. response:	Perhaps I should've gone with them despite their objections after all.
context: Don't give me that face.\White Whistles are the trump cards of this here city of the pit.\Until their whistles return home, that information won't be made public.\Dang.\Ozen...\I don't think there's any way she'd tell them about the Vessel...\but I'm still nervous.\Perhaps I should've gone with them despite their objections after all. response:	I'm counting on you, Reg.
context: White Whistles are the trump cards of this here city of the pit.\Until their whistles return home, that information won't be made public.\Dang.\Ozen...\I don't think there's any way she'd tell them about the Vessel...\but I'm still nervous.\Perhaps I should've gone with them despite their objections after all.\I'm counting on you, Reg. response:	If it comes down to it, you're the only one who can protect her.
context: Until their whistles return home, that information won't be made public.\Dang.\Ozen...\I don't think there's any way she'd tell them about the Vessel...\but I'm still nervous.\Perhaps I should've gone with them despite their objections after all.\I'm counting on you, Reg.\If it comes down to it, you're the only one who can protect her. response:	What's this cube here?
context: Dang.\Ozen...\I don't think there's any way she'd tell them about the Vessel...\but I'm still nervous.\Perhaps I should've gone with them despite their objections after all.\I'm counting on you, Reg.\If it comes down to it, you're the only one who can protect her.\What's this cube here? response:	This pattern is incredibly complex...
context: Ozen...\I don't think there's any way she'd tell them about the Vessel...\but I'm still nervous.\Perhaps I should've gone with them despite their objections after all.\I'm counting on you, Reg.\If it comes down to it, you're the only one who can protect her.\What's this cube here?\This pattern is incredibly complex... response:	Seems to be at least a grade-2 Relic.
context: I don't think there's any way she'd tell them about the Vessel...\but I'm still nervous.\Perhaps I should've gone with them despite their objections after all.\I'm counting on you, Reg.\If it comes down to it, you're the only one who can protect her.\What's this cube here?\This pattern is incredibly complex...\Seems to be at least a grade-2 Relic. response:	But, in the guide to recorded Relics...
context: but I'm still nervous.\Perhaps I should've gone with them despite their objections after all.\I'm counting on you, Reg.\If it comes down to it, you're the only one who can protect her.\What's this cube here?\This pattern is incredibly complex...\Seems to be at least a grade-2 Relic.\But, in the guide to recorded Relics... response:	Right, it's not listed.
context: Perhaps I should've gone with them despite their objections after all.\I'm counting on you, Reg.\If it comes down to it, you're the only one who can protect her.\What's this cube here?\This pattern is incredibly complex...\Seems to be at least a grade-2 Relic.\But, in the guide to recorded Relics...\Right, it's not listed. response:	It's something that Lyza personally bought before it could be auctioned off.
context: I'm counting on you, Reg.\If it comes down to it, you're the only one who can protect her.\What's this cube here?\This pattern is incredibly complex...\Seems to be at least a grade-2 Relic.\But, in the guide to recorded Relics...\Right, it's not listed.\It's something that Lyza personally bought before it could be auctioned off. response:	I'm the one who carried it here, though.
context: If it comes down to it, you're the only one who can protect her.\What's this cube here?\This pattern is incredibly complex...\Seems to be at least a grade-2 Relic.\But, in the guide to recorded Relics...\Right, it's not listed.\It's something that Lyza personally bought before it could be auctioned off.\I'm the one who carried it here, though. response:	Could this be... the Curse-Repelling Vessel?
context: What's this cube here?\This pattern is incredibly complex...\Seems to be at least a grade-2 Relic.\But, in the guide to recorded Relics...\Right, it's not listed.\It's something that Lyza personally bought before it could be auctioned off.\I'm the one who carried it here, though.\Could this be... the Curse-Repelling Vessel? response:	You're half right.
context: This pattern is incredibly complex...\Seems to be at least a grade-2 Relic.\But, in the guide to recorded Relics...\Right, it's not listed.\It's something that Lyza personally bought before it could be auctioned off.\I'm the one who carried it here, though.\Could this be... the Curse-Repelling Vessel?\You're half right. response:	The Curse-Repelling Vessel.
context: Seems to be at least a grade-2 Relic.\But, in the guide to recorded Relics...\Right, it's not listed.\It's something that Lyza personally bought before it could be auctioned off.\I'm the one who carried it here, though.\Could this be... the Curse-Repelling Vessel?\You're half right.\The Curse-Repelling Vessel. response:	From the depths up toward the surface...
context: But, in the guide to recorded Relics...\Right, it's not listed.\It's something that Lyza personally bought before it could be auctioned off.\I'm the one who carried it here, though.\Could this be... the Curse-Repelling Vessel?\You're half right.\The Curse-Repelling Vessel.\From the depths up toward the surface... response:	When living creatures that couldn't make that trip were placed inside it and carried up,
context: Right, it's not listed.\It's something that Lyza personally bought before it could be auctioned off.\I'm the one who carried it here, though.\Could this be... the Curse-Repelling Vessel?\You're half right.\The Curse-Repelling Vessel.\From the depths up toward the surface...\When living creatures that couldn't make that trip were placed inside it and carried up, response:	they weren't affected by the strain of ascending and didn't die, which is why it got the name it did.
context: It's something that Lyza personally bought before it could be auctioned off.\I'm the one who carried it here, though.\Could this be... the Curse-Repelling Vessel?\You're half right.\The Curse-Repelling Vessel.\From the depths up toward the surface...\When living creatures that couldn't make that trip were placed inside it and carried up,\they weren't affected by the strain of ascending and didn't die, which is why it got the name it did. response:	But, that's not actually right.
context: I'm the one who carried it here, though.\Could this be... the Curse-Repelling Vessel?\You're half right.\The Curse-Repelling Vessel.\From the depths up toward the surface...\When living creatures that couldn't make that trip were placed inside it and carried up,\they weren't affected by the strain of ascending and didn't die, which is why it got the name it did.\But, that's not actually right. response:	In fact, whatever's placed inside still gets affected by the Curse and dies.
context: Could this be... the Curse-Repelling Vessel?\You're half right.\The Curse-Repelling Vessel.\From the depths up toward the surface...\When living creatures that couldn't make that trip were placed inside it and carried up,\they weren't affected by the strain of ascending and didn't die, which is why it got the name it did.\But, that's not actually right.\In fact, whatever's placed inside still gets affected by the Curse and dies. response:	However, it starts moving around.
context: You're half right.\The Curse-Repelling Vessel.\From the depths up toward the surface...\When living creatures that couldn't make that trip were placed inside it and carried up,\they weren't affected by the strain of ascending and didn't die, which is why it got the name it did.\But, that's not actually right.\In fact, whatever's placed inside still gets affected by the Curse and dies.\However, it starts moving around. response:	It was thanks to you that I came to understand that.
context: The Curse-Repelling Vessel.\From the depths up toward the surface...\When living creatures that couldn't make that trip were placed inside it and carried up,\they weren't affected by the strain of ascending and didn't die, which is why it got the name it did.\But, that's not actually right.\In fact, whatever's placed inside still gets affected by the Curse and dies.\However, it starts moving around.\It was thanks to you that I came to understand that. response:	Huh?
context: From the depths up toward the surface...\When living creatures that couldn't make that trip were placed inside it and carried up,\they weren't affected by the strain of ascending and didn't die, which is why it got the name it did.\But, that's not actually right.\In fact, whatever's placed inside still gets affected by the Curse and dies.\However, it starts moving around.\It was thanks to you that I came to understand that.\Huh? response:	You were stillborn, you know.
context: When living creatures that couldn't make that trip were placed inside it and carried up,\they weren't affected by the strain of ascending and didn't die, which is why it got the name it did.\But, that's not actually right.\In fact, whatever's placed inside still gets affected by the Curse and dies.\However, it starts moving around.\It was thanks to you that I came to understand that.\Huh?\You were stillborn, you know. response:	When Lyza delivered you, you were already dead.
context: they weren't affected by the strain of ascending and didn't die, which is why it got the name it did.\But, that's not actually right.\In fact, whatever's placed inside still gets affected by the Curse and dies.\However, it starts moving around.\It was thanks to you that I came to understand that.\Huh?\You were stillborn, you know.\When Lyza delivered you, you were already dead. response:	Basically, you were a real annoyance, so I shoved you inside this thing, but you somehow started to move.
context: But, that's not actually right.\In fact, whatever's placed inside still gets affected by the Curse and dies.\However, it starts moving around.\It was thanks to you that I came to understand that.\Huh?\You were stillborn, you know.\When Lyza delivered you, you were already dead.\Basically, you were a real annoyance, so I shoved you inside this thing, but you somehow started to move. response:	Yesterday, I got nostalgic, and I tried putting some of the meat I cook dinner with in there...
context: In fact, whatever's placed inside still gets affected by the Curse and dies.\However, it starts moving around.\It was thanks to you that I came to understand that.\Huh?\You were stillborn, you know.\When Lyza delivered you, you were already dead.\Basically, you were a real annoyance, so I shoved you inside this thing, but you somehow started to move.\Yesterday, I got nostalgic, and I tried putting some of the meat I cook dinner with in there... response:	The thing got loose and ran around.
context: However, it starts moving around.\It was thanks to you that I came to understand that.\Huh?\You were stillborn, you know.\When Lyza delivered you, you were already dead.\Basically, you were a real annoyance, so I shoved you inside this thing, but you somehow started to move.\Yesterday, I got nostalgic, and I tried putting some of the meat I cook dinner with in there...\The thing got loose and ran around. response:	After a while, it stopped moving.
context: It was thanks to you that I came to understand that.\Huh?\You were stillborn, you know.\When Lyza delivered you, you were already dead.\Basically, you were a real annoyance, so I shoved you inside this thing, but you somehow started to move.\Yesterday, I got nostalgic, and I tried putting some of the meat I cook dinner with in there...\The thing got loose and ran around.\After a while, it stopped moving. response:	But actually, one half of it continued to move, you see.
context: Huh?\You were stillborn, you know.\When Lyza delivered you, you were already dead.\Basically, you were a real annoyance, so I shoved you inside this thing, but you somehow started to move.\Yesterday, I got nostalgic, and I tried putting some of the meat I cook dinner with in there...\The thing got loose and ran around.\After a while, it stopped moving.\But actually, one half of it continued to move, you see. response:	Hey...
context: You were stillborn, you know.\When Lyza delivered you, you were already dead.\Basically, you were a real annoyance, so I shoved you inside this thing, but you somehow started to move.\Yesterday, I got nostalgic, and I tried putting some of the meat I cook dinner with in there...\The thing got loose and ran around.\After a while, it stopped moving.\But actually, one half of it continued to move, you see.\Hey... response:	I wonder how long you'll last...
context: When Lyza delivered you, you were already dead.\Basically, you were a real annoyance, so I shoved you inside this thing, but you somehow started to move.\Yesterday, I got nostalgic, and I tried putting some of the meat I cook dinner with in there...\The thing got loose and ran around.\After a while, it stopped moving.\But actually, one half of it continued to move, you see.\Hey...\I wonder how long you'll last... response:	Besides that, both you - after you started to move back then - and the meat I put in there yesterday...
context: Basically, you were a real annoyance, so I shoved you inside this thing, but you somehow started to move.\Yesterday, I got nostalgic, and I tried putting some of the meat I cook dinner with in there...\The thing got loose and ran around.\After a while, it stopped moving.\But actually, one half of it continued to move, you see.\Hey...\I wonder how long you'll last...\Besides that, both you - after you started to move back then - and the meat I put in there yesterday... response:	attempted to head for the center of the Abyss for some reason.
context: Yesterday, I got nostalgic, and I tried putting some of the meat I cook dinner with in there...\The thing got loose and ran around.\After a while, it stopped moving.\But actually, one half of it continued to move, you see.\Hey...\I wonder how long you'll last...\Besides that, both you - after you started to move back then - and the meat I put in there yesterday...\attempted to head for the center of the Abyss for some reason. response:	Hey, why's that?
context: The thing got loose and ran around.\After a while, it stopped moving.\But actually, one half of it continued to move, you see.\Hey...\I wonder how long you'll last...\Besides that, both you - after you started to move back then - and the meat I put in there yesterday...\attempted to head for the center of the Abyss for some reason.\Hey, why's that? response:	You of all people might have an idea...
context: After a while, it stopped moving.\But actually, one half of it continued to move, you see.\Hey...\I wonder how long you'll last...\Besides that, both you - after you started to move back then - and the meat I put in there yesterday...\attempted to head for the center of the Abyss for some reason.\Hey, why's that?\You of all people might have an idea... response:	Aren't you essentially the same as that meat?
context: But actually, one half of it continued to move, you see.\Hey...\I wonder how long you'll last...\Besides that, both you - after you started to move back then - and the meat I put in there yesterday...\attempted to head for the center of the Abyss for some reason.\Hey, why's that?\You of all people might have an idea...\Aren't you essentially the same as that meat? response:	Master... stop this.
context: Hey...\I wonder how long you'll last...\Besides that, both you - after you started to move back then - and the meat I put in there yesterday...\attempted to head for the center of the Abyss for some reason.\Hey, why's that?\You of all people might have an idea...\Aren't you essentially the same as that meat?\Master... stop this. response:	Why...?
context: I wonder how long you'll last...\Besides that, both you - after you started to move back then - and the meat I put in there yesterday...\attempted to head for the center of the Abyss for some reason.\Hey, why's that?\You of all people might have an idea...\Aren't you essentially the same as that meat?\Master... stop this.\Why...? response:	The things you're saying...
context: Besides that, both you - after you started to move back then - and the meat I put in there yesterday...\attempted to head for the center of the Abyss for some reason.\Hey, why's that?\You of all people might have an idea...\Aren't you essentially the same as that meat?\Master... stop this.\Why...?\The things you're saying... response:	It's about time you get the picture.
context: attempted to head for the center of the Abyss for some reason.\Hey, why's that?\You of all people might have an idea...\Aren't you essentially the same as that meat?\Master... stop this.\Why...?\The things you're saying...\It's about time you get the picture. response:	I despise you.
context: Hey, why's that?\You of all people might have an idea...\Aren't you essentially the same as that meat?\Master... stop this.\Why...?\The things you're saying...\It's about time you get the picture.\I despise you. response:	What is it, you Aubade child?
context: You of all people might have an idea...\Aren't you essentially the same as that meat?\Master... stop this.\Why...?\The things you're saying...\It's about time you get the picture.\I despise you.\What is it, you Aubade child? response:	Your story is quite interesting...
context: Aren't you essentially the same as that meat?\Master... stop this.\Why...?\The things you're saying...\It's about time you get the picture.\I despise you.\What is it, you Aubade child?\Your story is quite interesting... response:	but don't hurt Riko any more than you already have.
context: Master... stop this.\Why...?\The things you're saying...\It's about time you get the picture.\I despise you.\What is it, you Aubade child?\Your story is quite interesting...\but don't hurt Riko any more than you already have. response:	Any way you look at it, you're really immature, Ozen!
context: Why...?\The things you're saying...\It's about time you get the picture.\I despise you.\What is it, you Aubade child?\Your story is quite interesting...\but don't hurt Riko any more than you already have.\Any way you look at it, you're really immature, Ozen! response:	I used to hear that a lot.
context: The things you're saying...\It's about time you get the picture.\I despise you.\What is it, you Aubade child?\Your story is quite interesting...\but don't hurt Riko any more than you already have.\Any way you look at it, you're really immature, Ozen!\I used to hear that a lot. response:	Hey, boy, do you have a conception of God?
context: It's about time you get the picture.\I despise you.\What is it, you Aubade child?\Your story is quite interesting...\but don't hurt Riko any more than you already have.\Any way you look at it, you're really immature, Ozen!\I used to hear that a lot.\Hey, boy, do you have a conception of God? response:	What are you saying all of a sudden?!
context: I despise you.\What is it, you Aubade child?\Your story is quite interesting...\but don't hurt Riko any more than you already have.\Any way you look at it, you're really immature, Ozen!\I used to hear that a lot.\Hey, boy, do you have a conception of God?\What are you saying all of a sudden?! response:	The people around here, you see, don't really believe in God.
context: What is it, you Aubade child?\Your story is quite interesting...\but don't hurt Riko any more than you already have.\Any way you look at it, you're really immature, Ozen!\I used to hear that a lot.\Hey, boy, do you have a conception of God?\What are you saying all of a sudden?!\The people around here, you see, don't really believe in God. response:	Instead, do you know what it is they believe in?
context: Your story is quite interesting...\but don't hurt Riko any more than you already have.\Any way you look at it, you're really immature, Ozen!\I used to hear that a lot.\Hey, boy, do you have a conception of God?\What are you saying all of a sudden?!\The people around here, you see, don't really believe in God.\Instead, do you know what it is they believe in? response:	The answer is this place - the Abyss itself.
context: but don't hurt Riko any more than you already have.\Any way you look at it, you're really immature, Ozen!\I used to hear that a lot.\Hey, boy, do you have a conception of God?\What are you saying all of a sudden?!\The people around here, you see, don't really believe in God.\Instead, do you know what it is they believe in?\The answer is this place - the Abyss itself. response:	Precisely because the bottom of the netherworld is unknown, and because it is feared,
context: Any way you look at it, you're really immature, Ozen!\I used to hear that a lot.\Hey, boy, do you have a conception of God?\What are you saying all of a sudden?!\The people around here, you see, don't really believe in God.\Instead, do you know what it is they believe in?\The answer is this place - the Abyss itself.\Precisely because the bottom of the netherworld is unknown, and because it is feared, response:	it has the power to become their God.
context: I used to hear that a lot.\Hey, boy, do you have a conception of God?\What are you saying all of a sudden?!\The people around here, you see, don't really believe in God.\Instead, do you know what it is they believe in?\The answer is this place - the Abyss itself.\Precisely because the bottom of the netherworld is unknown, and because it is feared,\it has the power to become their God. response:	If it was easy to head down and return back home,
context: Hey, boy, do you have a conception of God?\What are you saying all of a sudden?!\The people around here, you see, don't really believe in God.\Instead, do you know what it is they believe in?\The answer is this place - the Abyss itself.\Precisely because the bottom of the netherworld is unknown, and because it is feared,\it has the power to become their God.\If it was easy to head down and return back home, response:	the value of Relics and faith in the Abyss would quite possibly be shaken to the core.
context: What are you saying all of a sudden?!\The people around here, you see, don't really believe in God.\Instead, do you know what it is they believe in?\The answer is this place - the Abyss itself.\Precisely because the bottom of the netherworld is unknown, and because it is feared,\it has the power to become their God.\If it was easy to head down and return back home,\the value of Relics and faith in the Abyss would quite possibly be shaken to the core. response:	The reason Aubades aren't listed in the guide...
context: The people around here, you see, don't really believe in God.\Instead, do you know what it is they believe in?\The answer is this place - the Abyss itself.\Precisely because the bottom of the netherworld is unknown, and because it is feared,\it has the power to become their God.\If it was easy to head down and return back home,\the value of Relics and faith in the Abyss would quite possibly be shaken to the core.\The reason Aubades aren't listed in the guide... response:	isn't because they haven't been discovered.
context: Instead, do you know what it is they believe in?\The answer is this place - the Abyss itself.\Precisely because the bottom of the netherworld is unknown, and because it is feared,\it has the power to become their God.\If it was easy to head down and return back home,\the value of Relics and faith in the Abyss would quite possibly be shaken to the core.\The reason Aubades aren't listed in the guide...\isn't because they haven't been discovered. response:	It's because they simply must not exist, you see.
context: The answer is this place - the Abyss itself.\Precisely because the bottom of the netherworld is unknown, and because it is feared,\it has the power to become their God.\If it was easy to head down and return back home,\the value of Relics and faith in the Abyss would quite possibly be shaken to the core.\The reason Aubades aren't listed in the guide...\isn't because they haven't been discovered.\It's because they simply must not exist, you see. response:	What's with this strength of hers?
context: Precisely because the bottom of the netherworld is unknown, and because it is feared,\it has the power to become their God.\If it was easy to head down and return back home,\the value of Relics and faith in the Abyss would quite possibly be shaken to the core.\The reason Aubades aren't listed in the guide...\isn't because they haven't been discovered.\It's because they simply must not exist, you see.\What's with this strength of hers? response:	My arm was creaking!
context: it has the power to become their God.\If it was easy to head down and return back home,\the value of Relics and faith in the Abyss would quite possibly be shaken to the core.\The reason Aubades aren't listed in the guide...\isn't because they haven't been discovered.\It's because they simply must not exist, you see.\What's with this strength of hers?\My arm was creaking! response:	Hey, did I hear that you lost your memory?
