context: Ladies and gentlemen, good evening. response:	Those who forge their own destiny. Those who balk at their own destiny.
context: I'll make a profit off of any situation, even bad ones.\All I need is this stake money, and I'll be good as gold.\With five trillion francs at my disposal, I can win any speculation war.\Now, then, which stock should I start with?\Damn it, I can't stand how inefficient this is without Michelle!\Good afternoon to you, Monsieur Danglars.\Monte Cristo!\I-I was under the impression that I had bought out all the seats on this special flight. response:	I have come from Paris. I was forced to chase you.
context: All I need is this stake money, and I'll be good as gold.\With five trillion francs at my disposal, I can win any speculation war.\Now, then, which stock should I start with?\Damn it, I can't stand how inefficient this is without Michelle!\Good afternoon to you, Monsieur Danglars.\Monte Cristo!\I-I was under the impression that I had bought out all the seats on this special flight.\I have come from Paris. I was forced to chase you. response:	Oh, that wasn't necessary.
context: With five trillion francs at my disposal, I can win any speculation war.\Now, then, which stock should I start with?\Damn it, I can't stand how inefficient this is without Michelle!\Good afternoon to you, Monsieur Danglars.\Monte Cristo!\I-I was under the impression that I had bought out all the seats on this special flight.\I have come from Paris. I was forced to chase you.\Oh, that wasn't necessary. response:	I had hoped to have you accommodate me with funds.
context: Now, then, which stock should I start with?\Damn it, I can't stand how inefficient this is without Michelle!\Good afternoon to you, Monsieur Danglars.\Monte Cristo!\I-I was under the impression that I had bought out all the seats on this special flight.\I have come from Paris. I was forced to chase you.\Oh, that wasn't necessary.\I had hoped to have you accommodate me with funds. response:	Five trillion francs. In cash, right now.
context: Damn it, I can't stand how inefficient this is without Michelle!\Good afternoon to you, Monsieur Danglars.\Monte Cristo!\I-I was under the impression that I had bought out all the seats on this special flight.\I have come from Paris. I was forced to chase you.\Oh, that wasn't necessary.\I had hoped to have you accommodate me with funds.\Five trillion francs. In cash, right now. response:	F-Five trillion?!
context: Good afternoon to you, Monsieur Danglars.\Monte Cristo!\I-I was under the impression that I had bought out all the seats on this special flight.\I have come from Paris. I was forced to chase you.\Oh, that wasn't necessary.\I had hoped to have you accommodate me with funds.\Five trillion francs. In cash, right now.\F-Five trillion?! response:	According to my contract with you, there is no upper limit to my line of credit.
context: Monte Cristo!\I-I was under the impression that I had bought out all the seats on this special flight.\I have come from Paris. I was forced to chase you.\Oh, that wasn't necessary.\I had hoped to have you accommodate me with funds.\Five trillion francs. In cash, right now.\F-Five trillion?!\According to my contract with you, there is no upper limit to my line of credit. response:	Surely you haven't forgotten.
context: I-I was under the impression that I had bought out all the seats on this special flight.\I have come from Paris. I was forced to chase you.\Oh, that wasn't necessary.\I had hoped to have you accommodate me with funds.\Five trillion francs. In cash, right now.\F-Five trillion?!\According to my contract with you, there is no upper limit to my line of credit.\Surely you haven't forgotten. response:	I haven't. Believe me, I haven't forgotten.
context: I have come from Paris. I was forced to chase you.\Oh, that wasn't necessary.\I had hoped to have you accommodate me with funds.\Five trillion francs. In cash, right now.\F-Five trillion?!\According to my contract with you, there is no upper limit to my line of credit.\Surely you haven't forgotten.\I haven't. Believe me, I haven't forgotten. response:	But you've caught me at a bad time. I'm traveling, so I'm not carrying any...
context: Oh, that wasn't necessary.\I had hoped to have you accommodate me with funds.\Five trillion francs. In cash, right now.\F-Five trillion?!\According to my contract with you, there is no upper limit to my line of credit.\Surely you haven't forgotten.\I haven't. Believe me, I haven't forgotten.\But you've caught me at a bad time. I'm traveling, so I'm not carrying any... response:	But surely you are carrying cash in that case, are you not?
context: I had hoped to have you accommodate me with funds.\Five trillion francs. In cash, right now.\F-Five trillion?!\According to my contract with you, there is no upper limit to my line of credit.\Surely you haven't forgotten.\I haven't. Believe me, I haven't forgotten.\But you've caught me at a bad time. I'm traveling, so I'm not carrying any...\But surely you are carrying cash in that case, are you not? response:	This is...
context: Five trillion francs. In cash, right now.\F-Five trillion?!\According to my contract with you, there is no upper limit to my line of credit.\Surely you haven't forgotten.\I haven't. Believe me, I haven't forgotten.\But you've caught me at a bad time. I'm traveling, so I'm not carrying any...\But surely you are carrying cash in that case, are you not?\This is... response:	Come, now. Give it to me.
context: F-Five trillion?!\According to my contract with you, there is no upper limit to my line of credit.\Surely you haven't forgotten.\I haven't. Believe me, I haven't forgotten.\But you've caught me at a bad time. I'm traveling, so I'm not carrying any...\But surely you are carrying cash in that case, are you not?\This is...\Come, now. Give it to me. response:	I couldn't possibly! This is...
context: According to my contract with you, there is no upper limit to my line of credit.\Surely you haven't forgotten.\I haven't. Believe me, I haven't forgotten.\But you've caught me at a bad time. I'm traveling, so I'm not carrying any...\But surely you are carrying cash in that case, are you not?\This is...\Come, now. Give it to me.\I couldn't possibly! This is... response:	Now...
context: Surely you haven't forgotten.\I haven't. Believe me, I haven't forgotten.\But you've caught me at a bad time. I'm traveling, so I'm not carrying any...\But surely you are carrying cash in that case, are you not?\This is...\Come, now. Give it to me.\I couldn't possibly! This is...\Now... response:	Now.
context: I haven't. Believe me, I haven't forgotten.\But you've caught me at a bad time. I'm traveling, so I'm not carrying any...\But surely you are carrying cash in that case, are you not?\This is...\Come, now. Give it to me.\I couldn't possibly! This is...\Now...\Now. response:	Now!
context: But you've caught me at a bad time. I'm traveling, so I'm not carrying any...\But surely you are carrying cash in that case, are you not?\This is...\Come, now. Give it to me.\I couldn't possibly! This is...\Now...\Now.\Now! response:	If you'd turned around and gone home quietly, you wouldn't have had to die.
context: But surely you are carrying cash in that case, are you not?\This is...\Come, now. Give it to me.\I couldn't possibly! This is...\Now...\Now.\Now!\If you'd turned around and gone home quietly, you wouldn't have had to die. response:	You fool.
context: This is...\Come, now. Give it to me.\I couldn't possibly! This is...\Now...\Now.\Now!\If you'd turned around and gone home quietly, you wouldn't have had to die.\You fool. response:	I'm gonna have to do something about the body...
context: Come, now. Give it to me.\I couldn't possibly! This is...\Now...\Now.\Now!\If you'd turned around and gone home quietly, you wouldn't have had to die.\You fool.\I'm gonna have to do something about the body... response:	B-But you're...
context: I couldn't possibly! This is...\Now...\Now.\Now!\If you'd turned around and gone home quietly, you wouldn't have had to die.\You fool.\I'm gonna have to do something about the body...\B-But you're... response:	You are as full of avarice as you ever were.
context: Now...\Now.\Now!\If you'd turned around and gone home quietly, you wouldn't have had to die.\You fool.\I'm gonna have to do something about the body...\B-But you're...\You are as full of avarice as you ever were. response:	You haven't changed one iota from the old days.
context: Now.\Now!\If you'd turned around and gone home quietly, you wouldn't have had to die.\You fool.\I'm gonna have to do something about the body...\B-But you're...\You are as full of avarice as you ever were.\You haven't changed one iota from the old days. response:	Why aren't you...?
context: Now!\If you'd turned around and gone home quietly, you wouldn't have had to die.\You fool.\I'm gonna have to do something about the body...\B-But you're...\You are as full of avarice as you ever were.\You haven't changed one iota from the old days.\Why aren't you...? response:	Look closely at my face.
context: If you'd turned around and gone home quietly, you wouldn't have had to die.\You fool.\I'm gonna have to do something about the body...\B-But you're...\You are as full of avarice as you ever were.\You haven't changed one iota from the old days.\Why aren't you...?\Look closely at my face. response:	Think back.
context: You fool.\I'm gonna have to do something about the body...\B-But you're...\You are as full of avarice as you ever were.\You haven't changed one iota from the old days.\Why aren't you...?\Look closely at my face.\Think back. response:	Think back and remember the face of the man that you consigned to oblivion 25 years ago.
context: I'm gonna have to do something about the body...\B-But you're...\You are as full of avarice as you ever were.\You haven't changed one iota from the old days.\Why aren't you...?\Look closely at my face.\Think back.\Think back and remember the face of the man that you consigned to oblivion 25 years ago. response:	Remember the face of your friend,
context: B-But you're...\You are as full of avarice as you ever were.\You haven't changed one iota from the old days.\Why aren't you...?\Look closely at my face.\Think back.\Think back and remember the face of the man that you consigned to oblivion 25 years ago.\Remember the face of your friend, response:	E-Edmond Dantes?!
context: You are as full of avarice as you ever were.\You haven't changed one iota from the old days.\Why aren't you...?\Look closely at my face.\Think back.\Think back and remember the face of the man that you consigned to oblivion 25 years ago.\Remember the face of your friend,\E-Edmond Dantes?! response:	Edmond... Take good care of this.
context: You haven't changed one iota from the old days.\Why aren't you...?\Look closely at my face.\Think back.\Think back and remember the face of the man that you consigned to oblivion 25 years ago.\Remember the face of your friend,\E-Edmond Dantes?!\Edmond... Take good care of this. response:	You will be the next captain of the ship.
context: Why aren't you...?\Look closely at my face.\Think back.\Think back and remember the face of the man that you consigned to oblivion 25 years ago.\Remember the face of your friend,\E-Edmond Dantes?!\Edmond... Take good care of this.\You will be the next captain of the ship. response:	Yes, sir.
context: Look closely at my face.\Think back.\Think back and remember the face of the man that you consigned to oblivion 25 years ago.\Remember the face of your friend,\E-Edmond Dantes?!\Edmond... Take good care of this.\You will be the next captain of the ship.\Yes, sir. response:	You wanted to see me, Acting Captain?
context: Think back.\Think back and remember the face of the man that you consigned to oblivion 25 years ago.\Remember the face of your friend,\E-Edmond Dantes?!\Edmond... Take good care of this.\You will be the next captain of the ship.\Yes, sir.\You wanted to see me, Acting Captain? response:	Danglars, these figures in the trade ledgers just don't add up.
context: Think back and remember the face of the man that you consigned to oblivion 25 years ago.\Remember the face of your friend,\E-Edmond Dantes?!\Edmond... Take good care of this.\You will be the next captain of the ship.\Yes, sir.\You wanted to see me, Acting Captain?\Danglars, these figures in the trade ledgers just don't add up. response:	Oh, um... When we were docked at Alpha Centauri last month, they...
context: Remember the face of your friend,\E-Edmond Dantes?!\Edmond... Take good care of this.\You will be the next captain of the ship.\Yes, sir.\You wanted to see me, Acting Captain?\Danglars, these figures in the trade ledgers just don't add up.\Oh, um... When we were docked at Alpha Centauri last month, they... response:	Listen! This is embezzlement!
context: E-Edmond Dantes?!\Edmond... Take good care of this.\You will be the next captain of the ship.\Yes, sir.\You wanted to see me, Acting Captain?\Danglars, these figures in the trade ledgers just don't add up.\Oh, um... When we were docked at Alpha Centauri last month, they...\Listen! This is embezzlement! response:	I'll overlook it this one time. But if I ever see it happen again, I'll...
context: Edmond... Take good care of this.\You will be the next captain of the ship.\Yes, sir.\You wanted to see me, Acting Captain?\Danglars, these figures in the trade ledgers just don't add up.\Oh, um... When we were docked at Alpha Centauri last month, they...\Listen! This is embezzlement!\I'll overlook it this one time. But if I ever see it happen again, I'll... response:	You think you're Captain already, huh?
context: You will be the next captain of the ship.\Yes, sir.\You wanted to see me, Acting Captain?\Danglars, these figures in the trade ledgers just don't add up.\Oh, um... When we were docked at Alpha Centauri last month, they...\Listen! This is embezzlement!\I'll overlook it this one time. But if I ever see it happen again, I'll...\You think you're Captain already, huh? response:	Three cheers for Edmond!
context: Yes, sir.\You wanted to see me, Acting Captain?\Danglars, these figures in the trade ledgers just don't add up.\Oh, um... When we were docked at Alpha Centauri last month, they...\Listen! This is embezzlement!\I'll overlook it this one time. But if I ever see it happen again, I'll...\You think you're Captain already, huh?\Three cheers for Edmond! response:	Mercedes is head over heels for that boy, too!
context: You wanted to see me, Acting Captain?\Danglars, these figures in the trade ledgers just don't add up.\Oh, um... When we were docked at Alpha Centauri last month, they...\Listen! This is embezzlement!\I'll overlook it this one time. But if I ever see it happen again, I'll...\You think you're Captain already, huh?\Three cheers for Edmond!\Mercedes is head over heels for that boy, too! response:	Compared to him, all the other guys who hit on her are no better than garbage! Garbage!
context: Danglars, these figures in the trade ledgers just don't add up.\Oh, um... When we were docked at Alpha Centauri last month, they...\Listen! This is embezzlement!\I'll overlook it this one time. But if I ever see it happen again, I'll...\You think you're Captain already, huh?\Three cheers for Edmond!\Mercedes is head over heels for that boy, too!\Compared to him, all the other guys who hit on her are no better than garbage! Garbage! response:	So, Edmond and Mercedes are finally having their engagement party next week, huh?
context: Oh, um... When we were docked at Alpha Centauri last month, they...\Listen! This is embezzlement!\I'll overlook it this one time. But if I ever see it happen again, I'll...\You think you're Captain already, huh?\Three cheers for Edmond!\Mercedes is head over heels for that boy, too!\Compared to him, all the other guys who hit on her are no better than garbage! Garbage!\So, Edmond and Mercedes are finally having their engagement party next week, huh? response:	Congratulations!
context: Listen! This is embezzlement!\I'll overlook it this one time. But if I ever see it happen again, I'll...\You think you're Captain already, huh?\Three cheers for Edmond!\Mercedes is head over heels for that boy, too!\Compared to him, all the other guys who hit on her are no better than garbage! Garbage!\So, Edmond and Mercedes are finally having their engagement party next week, huh?\Congratulations! response:	I'll be praying for those two to live happily ever after!
context: I'll overlook it this one time. But if I ever see it happen again, I'll...\You think you're Captain already, huh?\Three cheers for Edmond!\Mercedes is head over heels for that boy, too!\Compared to him, all the other guys who hit on her are no better than garbage! Garbage!\So, Edmond and Mercedes are finally having their engagement party next week, huh?\Congratulations!\I'll be praying for those two to live happily ever after! response:	I'll be...
context: You think you're Captain already, huh?\Three cheers for Edmond!\Mercedes is head over heels for that boy, too!\Compared to him, all the other guys who hit on her are no better than garbage! Garbage!\So, Edmond and Mercedes are finally having their engagement party next week, huh?\Congratulations!\I'll be praying for those two to live happily ever after!\I'll be... response:	Congratulations...
context: Three cheers for Edmond!\Mercedes is head over heels for that boy, too!\Compared to him, all the other guys who hit on her are no better than garbage! Garbage!\So, Edmond and Mercedes are finally having their engagement party next week, huh?\Congratulations!\I'll be praying for those two to live happily ever after!\I'll be...\Congratulations... response:	There's no such thing as a perfect man.
context: Mercedes is head over heels for that boy, too!\Compared to him, all the other guys who hit on her are no better than garbage! Garbage!\So, Edmond and Mercedes are finally having their engagement party next week, huh?\Congratulations!\I'll be praying for those two to live happily ever after!\I'll be...\Congratulations...\There's no such thing as a perfect man. response:	Know what I mean, Fernand?
context: Compared to him, all the other guys who hit on her are no better than garbage! Garbage!\So, Edmond and Mercedes are finally having their engagement party next week, huh?\Congratulations!\I'll be praying for those two to live happily ever after!\I'll be...\Congratulations...\There's no such thing as a perfect man.\Know what I mean, Fernand? response:	Every man ought to have a flaw or two. Right?
context: So, Edmond and Mercedes are finally having their engagement party next week, huh?\Congratulations!\I'll be praying for those two to live happily ever after!\I'll be...\Congratulations...\There's no such thing as a perfect man.\Know what I mean, Fernand?\Every man ought to have a flaw or two. Right? response:	What're you getting at?
context: Congratulations!\I'll be praying for those two to live happily ever after!\I'll be...\Congratulations...\There's no such thing as a perfect man.\Know what I mean, Fernand?\Every man ought to have a flaw or two. Right?\What're you getting at? response:	When Captain Leclere died, he entrusted Edmond with a letter.
context: I'll be praying for those two to live happily ever after!\I'll be...\Congratulations...\There's no such thing as a perfect man.\Know what I mean, Fernand?\Every man ought to have a flaw or two. Right?\What're you getting at?\When Captain Leclere died, he entrusted Edmond with a letter. response:	What do you suppose was in it?
context: I'll be...\Congratulations...\There's no such thing as a perfect man.\Know what I mean, Fernand?\Every man ought to have a flaw or two. Right?\What're you getting at?\When Captain Leclere died, he entrusted Edmond with a letter.\What do you suppose was in it? response:	Word has it that it was a secret document addressed to the dissident faction in Paris.
context: Congratulations...\There's no such thing as a perfect man.\Know what I mean, Fernand?\Every man ought to have a flaw or two. Right?\What're you getting at?\When Captain Leclere died, he entrusted Edmond with a letter.\What do you suppose was in it?\Word has it that it was a secret document addressed to the dissident faction in Paris. response:	Well? Pretty interesting, isn't it?
context: There's no such thing as a perfect man.\Know what I mean, Fernand?\Every man ought to have a flaw or two. Right?\What're you getting at?\When Captain Leclere died, he entrusted Edmond with a letter.\What do you suppose was in it?\Word has it that it was a secret document addressed to the dissident faction in Paris.\Well? Pretty interesting, isn't it? response:	Now, if we were to humbly bring it to the government's attention,
context: Know what I mean, Fernand?\Every man ought to have a flaw or two. Right?\What're you getting at?\When Captain Leclere died, he entrusted Edmond with a letter.\What do you suppose was in it?\Word has it that it was a secret document addressed to the dissident faction in Paris.\Well? Pretty interesting, isn't it?\Now, if we were to humbly bring it to the government's attention, response:	Edmond!
context: Every man ought to have a flaw or two. Right?\What're you getting at?\When Captain Leclere died, he entrusted Edmond with a letter.\What do you suppose was in it?\Word has it that it was a secret document addressed to the dissident faction in Paris.\Well? Pretty interesting, isn't it?\Now, if we were to humbly bring it to the government's attention,\Edmond! response:	Edmond!
context: What're you getting at?\When Captain Leclere died, he entrusted Edmond with a letter.\What do you suppose was in it?\Word has it that it was a secret document addressed to the dissident faction in Paris.\Well? Pretty interesting, isn't it?\Now, if we were to humbly bring it to the government's attention,\Edmond!\Edmond! response:	Mercedes! This is all some kind of mistake!
context: When Captain Leclere died, he entrusted Edmond with a letter.\What do you suppose was in it?\Word has it that it was a secret document addressed to the dissident faction in Paris.\Well? Pretty interesting, isn't it?\Now, if we were to humbly bring it to the government's attention,\Edmond!\Edmond!\Mercedes! This is all some kind of mistake! response:	Don't worry about me!
context: What do you suppose was in it?\Word has it that it was a secret document addressed to the dissident faction in Paris.\Well? Pretty interesting, isn't it?\Now, if we were to humbly bring it to the government's attention,\Edmond!\Edmond!\Mercedes! This is all some kind of mistake!\Don't worry about me! response:	Y-You're still alive?
context: Word has it that it was a secret document addressed to the dissident faction in Paris.\Well? Pretty interesting, isn't it?\Now, if we were to humbly bring it to the government's attention,\Edmond!\Edmond!\Mercedes! This is all some kind of mistake!\Don't worry about me!\Y-You're still alive? response:	This sure brings back memories...
context: Well? Pretty interesting, isn't it?\Now, if we were to humbly bring it to the government's attention,\Edmond!\Edmond!\Mercedes! This is all some kind of mistake!\Don't worry about me!\Y-You're still alive?\This sure brings back memories... response:	Of those days aboard the Pharaon, when we all sailed the sea of stars together...
context: Now, if we were to humbly bring it to the government's attention,\Edmond!\Edmond!\Mercedes! This is all some kind of mistake!\Don't worry about me!\Y-You're still alive?\This sure brings back memories...\Of those days aboard the Pharaon, when we all sailed the sea of stars together... response:	And then...
context: Edmond!\Edmond!\Mercedes! This is all some kind of mistake!\Don't worry about me!\Y-You're still alive?\This sure brings back memories...\Of those days aboard the Pharaon, when we all sailed the sea of stars together...\And then... response:	What are you going to do to me?!
context: Edmond!\Mercedes! This is all some kind of mistake!\Don't worry about me!\Y-You're still alive?\This sure brings back memories...\Of those days aboard the Pharaon, when we all sailed the sea of stars together...\And then...\What are you going to do to me?! response:	If you think that I was the one who set you up, you've got it all wrong!
context: Mercedes! This is all some kind of mistake!\Don't worry about me!\Y-You're still alive?\This sure brings back memories...\Of those days aboard the Pharaon, when we all sailed the sea of stars together...\And then...\What are you going to do to me?!\If you think that I was the one who set you up, you've got it all wrong! response:	I-It was Fernand! He did it to get your woman!
context: Don't worry about me!\Y-You're still alive?\This sure brings back memories...\Of those days aboard the Pharaon, when we all sailed the sea of stars together...\And then...\What are you going to do to me?!\If you think that I was the one who set you up, you've got it all wrong!\I-It was Fernand! He did it to get your woman! response:	I only told him about the letter because he was so depressed.
context: Y-You're still alive?\This sure brings back memories...\Of those days aboard the Pharaon, when we all sailed the sea of stars together...\And then...\What are you going to do to me?!\If you think that I was the one who set you up, you've got it all wrong!\I-It was Fernand! He did it to get your woman!\I only told him about the letter because he was so depressed. response:	That it would be funny if we reported the letter...
context: This sure brings back memories...\Of those days aboard the Pharaon, when we all sailed the sea of stars together...\And then...\What are you going to do to me?!\If you think that I was the one who set you up, you've got it all wrong!\I-It was Fernand! He did it to get your woman!\I only told him about the letter because he was so depressed.\That it would be funny if we reported the letter... response:	I only meant it as a joke!
context: Of those days aboard the Pharaon, when we all sailed the sea of stars together...\And then...\What are you going to do to me?!\If you think that I was the one who set you up, you've got it all wrong!\I-It was Fernand! He did it to get your woman!\I only told him about the letter because he was so depressed.\That it would be funny if we reported the letter...\I only meant it as a joke! response:	Out of jealousy and unjustified resentment, you sent an innocent young man to prison.
context: And then...\What are you going to do to me?!\If you think that I was the one who set you up, you've got it all wrong!\I-It was Fernand! He did it to get your woman!\I only told him about the letter because he was so depressed.\That it would be funny if we reported the letter...\I only meant it as a joke!\Out of jealousy and unjustified resentment, you sent an innocent young man to prison. response:	Is that not the case?
context: What are you going to do to me?!\If you think that I was the one who set you up, you've got it all wrong!\I-It was Fernand! He did it to get your woman!\I only told him about the letter because he was so depressed.\That it would be funny if we reported the letter...\I only meant it as a joke!\Out of jealousy and unjustified resentment, you sent an innocent young man to prison.\Is that not the case? response:	You're wrong! It wasn't like that!
context: If you think that I was the one who set you up, you've got it all wrong!\I-It was Fernand! He did it to get your woman!\I only told him about the letter because he was so depressed.\That it would be funny if we reported the letter...\I only meant it as a joke!\Out of jealousy and unjustified resentment, you sent an innocent young man to prison.\Is that not the case?\You're wrong! It wasn't like that! response:	You were nothing but an irritation to me!
context: I-It was Fernand! He did it to get your woman!\I only told him about the letter because he was so depressed.\That it would be funny if we reported the letter...\I only meant it as a joke!\Out of jealousy and unjustified resentment, you sent an innocent young man to prison.\Is that not the case?\You're wrong! It wasn't like that!\You were nothing but an irritation to me! response:	It made me sick to look at you!
context: I only told him about the letter because he was so depressed.\That it would be funny if we reported the letter...\I only meant it as a joke!\Out of jealousy and unjustified resentment, you sent an innocent young man to prison.\Is that not the case?\You're wrong! It wasn't like that!\You were nothing but an irritation to me!\It made me sick to look at you! response:	I didn't have any reason! I just wanted to get Edmond Dantes out of my sight!
context: That it would be funny if we reported the letter...\I only meant it as a joke!\Out of jealousy and unjustified resentment, you sent an innocent young man to prison.\Is that not the case?\You're wrong! It wasn't like that!\You were nothing but an irritation to me!\It made me sick to look at you!\I didn't have any reason! I just wanted to get Edmond Dantes out of my sight! response:	Those are...!
context: I only meant it as a joke!\Out of jealousy and unjustified resentment, you sent an innocent young man to prison.\Is that not the case?\You're wrong! It wasn't like that!\You were nothing but an irritation to me!\It made me sick to look at you!\I didn't have any reason! I just wanted to get Edmond Dantes out of my sight!\Those are...! response:	Amazing! This is amazing!
context: Out of jealousy and unjustified resentment, you sent an innocent young man to prison.\Is that not the case?\You're wrong! It wasn't like that!\You were nothing but an irritation to me!\It made me sick to look at you!\I didn't have any reason! I just wanted to get Edmond Dantes out of my sight!\Those are...!\Amazing! This is amazing! response:	I appreciate your candor.
context: Is that not the case?\You're wrong! It wasn't like that!\You were nothing but an irritation to me!\It made me sick to look at you!\I didn't have any reason! I just wanted to get Edmond Dantes out of my sight!\Those are...!\Amazing! This is amazing!\I appreciate your candor. response:	Now, accept my humble way of repaying you for your bullets.
context: You're wrong! It wasn't like that!\You were nothing but an irritation to me!\It made me sick to look at you!\I didn't have any reason! I just wanted to get Edmond Dantes out of my sight!\Those are...!\Amazing! This is amazing!\I appreciate your candor.\Now, accept my humble way of repaying you for your bullets. response:	P-Please, wait!
context: You were nothing but an irritation to me!\It made me sick to look at you!\I didn't have any reason! I just wanted to get Edmond Dantes out of my sight!\Those are...!\Amazing! This is amazing!\I appreciate your candor.\Now, accept my humble way of repaying you for your bullets.\P-Please, wait! response:	Wait, Edmond!
context: It made me sick to look at you!\I didn't have any reason! I just wanted to get Edmond Dantes out of my sight!\Those are...!\Amazing! This is amazing!\I appreciate your candor.\Now, accept my humble way of repaying you for your bullets.\P-Please, wait!\Wait, Edmond! response:	Rejoice. Everything that you touch turns to gold.
context: I didn't have any reason! I just wanted to get Edmond Dantes out of my sight!\Those are...!\Amazing! This is amazing!\I appreciate your candor.\Now, accept my humble way of repaying you for your bullets.\P-Please, wait!\Wait, Edmond!\Rejoice. Everything that you touch turns to gold. response:	Hey, wait a minute!
