context: Once, when I was little, I saw God. response:	It was then, for the first time, that I learned the reason for which I drew...
context: If I were ever to stop drawing\at that moment I will return my life to you.\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo response:	tsurai naa iya iya
context: at that moment I will return my life to you.\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya response:	kanashikutte naite bakkari itara me ga tokete nakunatta
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta response:	aki ni nari mata fuyu ni nari hitotsu toshi wo totta
context: sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta response:	tooku made nigete iru tsumori demo owaranai kimi no story
context: sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story response:	niya niya waratte iru
context: katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru response:	fugainaiya iya
context: hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya response:	sugari nagara oikakete mitemo ashige ni saretemo
context: dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo response:	aita ana wo fusagou
context: tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou response:	chigai nai ya iya
context: kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya response:	fugainai ya iya
context: aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya response:	tsurai naa iya iya
context: tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya response:	My hometown lay buried in snow the morning I was born.
context: niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born. response:	I looked up at the blue sky with my tiny hands.
context: fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands. response:	The face of the girl next door that I've known so well...
context: sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well... response:	It's as familiar as the graduation canon.
context: aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon. response:	Thriving in solitude has been mistaken as my life story.
context: chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story. response:	I want to blame it on someone.
context: fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone. response:	It's so difficult. No, I hate it.
context: tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it. response:	Tears and sorrow caused me to miss my chance.
context: My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance. response:	Autumn passed, winter came again, and I became a year older.
context: I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older. response:	You think you've run far away, but your story never ends.
context: The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends. response:	And yet, you're smirking.
context: It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking. response:	It's so cowardly. I hate it.
context: Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it. response:	Even if I have to cling to you, chase after you, and get kicked down...
context: I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down... response:	It's so cowardly. No...
context: It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No... response:	It's so difficult. I hate it. I hate it.
context: Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it. response:	I didn't know anything.
context: Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\I didn't know anything. response:	I didn't even notice what was about to happen.
context: You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\I didn't know anything.\I didn't even notice what was about to happen. response:	I mean, she was right there...
context: And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\I didn't know anything.\I didn't even notice what was about to happen.\I mean, she was right there... response:	By my side, as always...
context: It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\I didn't know anything.\I didn't even notice what was about to happen.\I mean, she was right there...\By my side, as always... response:	I finished just in time!
context: Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\I didn't know anything.\I didn't even notice what was about to happen.\I mean, she was right there...\By my side, as always...\I finished just in time! response:	I finished it just a minute ago.
context: It's so cowardly. No...\It's so difficult. I hate it. I hate it.\I didn't know anything.\I didn't even notice what was about to happen.\I mean, she was right there...\By my side, as always...\I finished just in time!\I finished it just a minute ago. response:	It's amazing.
context: It's so difficult. I hate it. I hate it.\I didn't know anything.\I didn't even notice what was about to happen.\I mean, she was right there...\By my side, as always...\I finished just in time!\I finished it just a minute ago.\It's amazing. response:	It looks simple from afar...
context: I didn't know anything.\I didn't even notice what was about to happen.\I mean, she was right there...\By my side, as always...\I finished just in time!\I finished it just a minute ago.\It's amazing.\It looks simple from afar... response:	It's complicated yet serene.
context: I didn't even notice what was about to happen.\I mean, she was right there...\By my side, as always...\I finished just in time!\I finished it just a minute ago.\It's amazing.\It looks simple from afar...\It's complicated yet serene. response:	It's very beautiful.
context: I mean, she was right there...\By my side, as always...\I finished just in time!\I finished it just a minute ago.\It's amazing.\It looks simple from afar...\It's complicated yet serene.\It's very beautiful. response:	What's the matter, Takemoto-kun?
context: By my side, as always...\I finished just in time!\I finished it just a minute ago.\It's amazing.\It looks simple from afar...\It's complicated yet serene.\It's very beautiful.\What's the matter, Takemoto-kun? response:	Well, I just feel so happy...
context: I finished just in time!\I finished it just a minute ago.\It's amazing.\It looks simple from afar...\It's complicated yet serene.\It's very beautiful.\What's the matter, Takemoto-kun?\Well, I just feel so happy... response:	I mean... I don't get praised very often.
context: I finished it just a minute ago.\It's amazing.\It looks simple from afar...\It's complicated yet serene.\It's very beautiful.\What's the matter, Takemoto-kun?\Well, I just feel so happy...\I mean... I don't get praised very often. response:	Hagu-chan, I think I'm going to become a restoration worker.
context: It's amazing.\It looks simple from afar...\It's complicated yet serene.\It's very beautiful.\What's the matter, Takemoto-kun?\Well, I just feel so happy...\I mean... I don't get praised very often.\Hagu-chan, I think I'm going to become a restoration worker. response:	Restoration worker?
context: It looks simple from afar...\It's complicated yet serene.\It's very beautiful.\What's the matter, Takemoto-kun?\Well, I just feel so happy...\I mean... I don't get praised very often.\Hagu-chan, I think I'm going to become a restoration worker.\Restoration worker? response:	I'm going to travel around the country, restoring temples and shrines.
context: It's complicated yet serene.\It's very beautiful.\What's the matter, Takemoto-kun?\Well, I just feel so happy...\I mean... I don't get praised very often.\Hagu-chan, I think I'm going to become a restoration worker.\Restoration worker?\I'm going to travel around the country, restoring temples and shrines. response:	Most older architectures don't have any blueprints left...
context: It's very beautiful.\What's the matter, Takemoto-kun?\Well, I just feel so happy...\I mean... I don't get praised very often.\Hagu-chan, I think I'm going to become a restoration worker.\Restoration worker?\I'm going to travel around the country, restoring temples and shrines.\Most older architectures don't have any blueprints left... response:	It looks like I have a soft spot for that.
context: What's the matter, Takemoto-kun?\Well, I just feel so happy...\I mean... I don't get praised very often.\Hagu-chan, I think I'm going to become a restoration worker.\Restoration worker?\I'm going to travel around the country, restoring temples and shrines.\Most older architectures don't have any blueprints left...\It looks like I have a soft spot for that. response:	I get absorbed in it... or rather, I get obsessed with it.
context: Well, I just feel so happy...\I mean... I don't get praised very often.\Hagu-chan, I think I'm going to become a restoration worker.\Restoration worker?\I'm going to travel around the country, restoring temples and shrines.\Most older architectures don't have any blueprints left...\It looks like I have a soft spot for that.\I get absorbed in it... or rather, I get obsessed with it. response:	I don't know how else to explain it.
context: I mean... I don't get praised very often.\Hagu-chan, I think I'm going to become a restoration worker.\Restoration worker?\I'm going to travel around the country, restoring temples and shrines.\Most older architectures don't have any blueprints left...\It looks like I have a soft spot for that.\I get absorbed in it... or rather, I get obsessed with it.\I don't know how else to explain it. response:	Once this Hamabi Festival is over, I bet graduation will come in no time.
context: Hagu-chan, I think I'm going to become a restoration worker.\Restoration worker?\I'm going to travel around the country, restoring temples and shrines.\Most older architectures don't have any blueprints left...\It looks like I have a soft spot for that.\I get absorbed in it... or rather, I get obsessed with it.\I don't know how else to explain it.\Once this Hamabi Festival is over, I bet graduation will come in no time. response:	Isn't that hard to imagine?
context: Restoration worker?\I'm going to travel around the country, restoring temples and shrines.\Most older architectures don't have any blueprints left...\It looks like I have a soft spot for that.\I get absorbed in it... or rather, I get obsessed with it.\I don't know how else to explain it.\Once this Hamabi Festival is over, I bet graduation will come in no time.\Isn't that hard to imagine? response:	Takemoto-kun will be somewhere in Japan...
context: I'm going to travel around the country, restoring temples and shrines.\Most older architectures don't have any blueprints left...\It looks like I have a soft spot for that.\I get absorbed in it... or rather, I get obsessed with it.\I don't know how else to explain it.\Once this Hamabi Festival is over, I bet graduation will come in no time.\Isn't that hard to imagine?\Takemoto-kun will be somewhere in Japan... response:	We won't be able to see each other so easily anymore.
context: Most older architectures don't have any blueprints left...\It looks like I have a soft spot for that.\I get absorbed in it... or rather, I get obsessed with it.\I don't know how else to explain it.\Once this Hamabi Festival is over, I bet graduation will come in no time.\Isn't that hard to imagine?\Takemoto-kun will be somewhere in Japan...\We won't be able to see each other so easily anymore. response:	We won't be able to ask, What do you want for lunch?
context: It looks like I have a soft spot for that.\I get absorbed in it... or rather, I get obsessed with it.\I don't know how else to explain it.\Once this Hamabi Festival is over, I bet graduation will come in no time.\Isn't that hard to imagine?\Takemoto-kun will be somewhere in Japan...\We won't be able to see each other so easily anymore.\We won't be able to ask, What do you want for lunch? response:	Or to go to the Maruei Bakery together to buy snacks...
context: I get absorbed in it... or rather, I get obsessed with it.\I don't know how else to explain it.\Once this Hamabi Festival is over, I bet graduation will come in no time.\Isn't that hard to imagine?\Takemoto-kun will be somewhere in Japan...\We won't be able to see each other so easily anymore.\We won't be able to ask, What do you want for lunch?\Or to go to the Maruei Bakery together to buy snacks... response:	Everything we did together...
context: I don't know how else to explain it.\Once this Hamabi Festival is over, I bet graduation will come in no time.\Isn't that hard to imagine?\Takemoto-kun will be somewhere in Japan...\We won't be able to see each other so easily anymore.\We won't be able to ask, What do you want for lunch?\Or to go to the Maruei Bakery together to buy snacks...\Everything we did together... response:	We can't casually spend our days together anymore.
context: Once this Hamabi Festival is over, I bet graduation will come in no time.\Isn't that hard to imagine?\Takemoto-kun will be somewhere in Japan...\We won't be able to see each other so easily anymore.\We won't be able to ask, What do you want for lunch?\Or to go to the Maruei Bakery together to buy snacks...\Everything we did together...\We can't casually spend our days together anymore. response:	Hagu-chan...
context: Isn't that hard to imagine?\Takemoto-kun will be somewhere in Japan...\We won't be able to see each other so easily anymore.\We won't be able to ask, What do you want for lunch?\Or to go to the Maruei Bakery together to buy snacks...\Everything we did together...\We can't casually spend our days together anymore.\Hagu-chan... response:	Are you really returning to Nagano?
context: Takemoto-kun will be somewhere in Japan...\We won't be able to see each other so easily anymore.\We won't be able to ask, What do you want for lunch?\Or to go to the Maruei Bakery together to buy snacks...\Everything we did together...\We can't casually spend our days together anymore.\Hagu-chan...\Are you really returning to Nagano? response:	Are you really okay with that?
context: We won't be able to see each other so easily anymore.\We won't be able to ask, What do you want for lunch?\Or to go to the Maruei Bakery together to buy snacks...\Everything we did together...\We can't casually spend our days together anymore.\Hagu-chan...\Are you really returning to Nagano?\Are you really okay with that? response:	Hagu-chan, why won't you tell Sensei your true feelings?
context: We won't be able to ask, What do you want for lunch?\Or to go to the Maruei Bakery together to buy snacks...\Everything we did together...\We can't casually spend our days together anymore.\Hagu-chan...\Are you really returning to Nagano?\Are you really okay with that?\Hagu-chan, why won't you tell Sensei your true feelings? response:	I'm afraid.
context: Or to go to the Maruei Bakery together to buy snacks...\Everything we did together...\We can't casually spend our days together anymore.\Hagu-chan...\Are you really returning to Nagano?\Are you really okay with that?\Hagu-chan, why won't you tell Sensei your true feelings?\I'm afraid. response:	Hagu-chan?
context: Everything we did together...\We can't casually spend our days together anymore.\Hagu-chan...\Are you really returning to Nagano?\Are you really okay with that?\Hagu-chan, why won't you tell Sensei your true feelings?\I'm afraid.\Hagu-chan? response:	Takemoto-kun, what's the significance of the path that I have to choose at the expense of someone else's life?
context: We can't casually spend our days together anymore.\Hagu-chan...\Are you really returning to Nagano?\Are you really okay with that?\Hagu-chan, why won't you tell Sensei your true feelings?\I'm afraid.\Hagu-chan?\Takemoto-kun, what's the significance of the path that I have to choose at the expense of someone else's life? response:	What can I give Shuu-chan in return?
context: Hagu-chan...\Are you really returning to Nagano?\Are you really okay with that?\Hagu-chan, why won't you tell Sensei your true feelings?\I'm afraid.\Hagu-chan?\Takemoto-kun, what's the significance of the path that I have to choose at the expense of someone else's life?\What can I give Shuu-chan in return? response:	I'm afraid.
context: Are you really returning to Nagano?\Are you really okay with that?\Hagu-chan, why won't you tell Sensei your true feelings?\I'm afraid.\Hagu-chan?\Takemoto-kun, what's the significance of the path that I have to choose at the expense of someone else's life?\What can I give Shuu-chan in return?\I'm afraid. response:	I mean, Shuu-chan will probably tell me that he'll sacrifice everything for me.
context: Are you really okay with that?\Hagu-chan, why won't you tell Sensei your true feelings?\I'm afraid.\Hagu-chan?\Takemoto-kun, what's the significance of the path that I have to choose at the expense of someone else's life?\What can I give Shuu-chan in return?\I'm afraid.\I mean, Shuu-chan will probably tell me that he'll sacrifice everything for me. response:	Everything...
context: Hagu-chan, why won't you tell Sensei your true feelings?\I'm afraid.\Hagu-chan?\Takemoto-kun, what's the significance of the path that I have to choose at the expense of someone else's life?\What can I give Shuu-chan in return?\I'm afraid.\I mean, Shuu-chan will probably tell me that he'll sacrifice everything for me.\Everything... response:	Huh? What's the matter, Sensei?
context: I'm afraid.\Hagu-chan?\Takemoto-kun, what's the significance of the path that I have to choose at the expense of someone else's life?\What can I give Shuu-chan in return?\I'm afraid.\I mean, Shuu-chan will probably tell me that he'll sacrifice everything for me.\Everything...\Huh? What's the matter, Sensei? response:	Were you up all night preparing, too?
context: Hagu-chan?\Takemoto-kun, what's the significance of the path that I have to choose at the expense of someone else's life?\What can I give Shuu-chan in return?\I'm afraid.\I mean, Shuu-chan will probably tell me that he'll sacrifice everything for me.\Everything...\Huh? What's the matter, Sensei?\Were you up all night preparing, too? response:	No, I just woke up early, that's all.
context: Takemoto-kun, what's the significance of the path that I have to choose at the expense of someone else's life?\What can I give Shuu-chan in return?\I'm afraid.\I mean, Shuu-chan will probably tell me that he'll sacrifice everything for me.\Everything...\Huh? What's the matter, Sensei?\Were you up all night preparing, too?\No, I just woke up early, that's all. response:	I had nothing else to do, so I came here.
context: What can I give Shuu-chan in return?\I'm afraid.\I mean, Shuu-chan will probably tell me that he'll sacrifice everything for me.\Everything...\Huh? What's the matter, Sensei?\Were you up all night preparing, too?\No, I just woke up early, that's all.\I had nothing else to do, so I came here. response:	It's the first day of the Hamabi Festival, after all.
context: I'm afraid.\I mean, Shuu-chan will probably tell me that he'll sacrifice everything for me.\Everything...\Huh? What's the matter, Sensei?\Were you up all night preparing, too?\No, I just woke up early, that's all.\I had nothing else to do, so I came here.\It's the first day of the Hamabi Festival, after all. response:	Sensei, could it be that you are feeling down?
context: I mean, Shuu-chan will probably tell me that he'll sacrifice everything for me.\Everything...\Huh? What's the matter, Sensei?\Were you up all night preparing, too?\No, I just woke up early, that's all.\I had nothing else to do, so I came here.\It's the first day of the Hamabi Festival, after all.\Sensei, could it be that you are feeling down? response:	No, I was just thinking that the festivities are coming to an end...
context: Everything...\Huh? What's the matter, Sensei?\Were you up all night preparing, too?\No, I just woke up early, that's all.\I had nothing else to do, so I came here.\It's the first day of the Hamabi Festival, after all.\Sensei, could it be that you are feeling down?\No, I was just thinking that the festivities are coming to an end... response:	What are you talking about?
context: Huh? What's the matter, Sensei?\Were you up all night preparing, too?\No, I just woke up early, that's all.\I had nothing else to do, so I came here.\It's the first day of the Hamabi Festival, after all.\Sensei, could it be that you are feeling down?\No, I was just thinking that the festivities are coming to an end...\What are you talking about? response:	We still have three more days!
context: Were you up all night preparing, too?\No, I just woke up early, that's all.\I had nothing else to do, so I came here.\It's the first day of the Hamabi Festival, after all.\Sensei, could it be that you are feeling down?\No, I was just thinking that the festivities are coming to an end...\What are you talking about?\We still have three more days! response:	That's true.
context: No, I just woke up early, that's all.\I had nothing else to do, so I came here.\It's the first day of the Hamabi Festival, after all.\Sensei, could it be that you are feeling down?\No, I was just thinking that the festivities are coming to an end...\What are you talking about?\We still have three more days!\That's true. response:	There is one hour left until opening.
context: I had nothing else to do, so I came here.\It's the first day of the Hamabi Festival, after all.\Sensei, could it be that you are feeling down?\No, I was just thinking that the festivities are coming to an end...\What are you talking about?\We still have three more days!\That's true.\There is one hour left until opening. response:	Students whose works are not in position yet, please have them ready by 9:30.
context: It's the first day of the Hamabi Festival, after all.\Sensei, could it be that you are feeling down?\No, I was just thinking that the festivities are coming to an end...\What are you talking about?\We still have three more days!\That's true.\There is one hour left until opening.\Students whose works are not in position yet, please have them ready by 9:30. response:	Are you really returning to Nagano?
context: Sensei, could it be that you are feeling down?\No, I was just thinking that the festivities are coming to an end...\What are you talking about?\We still have three more days!\That's true.\There is one hour left until opening.\Students whose works are not in position yet, please have them ready by 9:30.\Are you really returning to Nagano? response:	Are you really okay with that?
context: No, I was just thinking that the festivities are coming to an end...\What are you talking about?\We still have three more days!\That's true.\There is one hour left until opening.\Students whose works are not in position yet, please have them ready by 9:30.\Are you really returning to Nagano?\Are you really okay with that? response:	Excuse me, cart coming through!
context: What are you talking about?\We still have three more days!\That's true.\There is one hour left until opening.\Students whose works are not in position yet, please have them ready by 9:30.\Are you really returning to Nagano?\Are you really okay with that?\Excuse me, cart coming through! response:	Whoa, what a strong wind!
context: We still have three more days!\That's true.\There is one hour left until opening.\Students whose works are not in position yet, please have them ready by 9:30.\Are you really returning to Nagano?\Are you really okay with that?\Excuse me, cart coming through!\Whoa, what a strong wind! response:	I'm getting pushed by it!
context: That's true.\There is one hour left until opening.\Students whose works are not in position yet, please have them ready by 9:30.\Are you really returning to Nagano?\Are you really okay with that?\Excuse me, cart coming through!\Whoa, what a strong wind!\I'm getting pushed by it! response:	Don't move your hand!
context: There is one hour left until opening.\Students whose works are not in position yet, please have them ready by 9:30.\Are you really returning to Nagano?\Are you really okay with that?\Excuse me, cart coming through!\Whoa, what a strong wind!\I'm getting pushed by it!\Don't move your hand! response:	It's so windy...
context: Students whose works are not in position yet, please have them ready by 9:30.\Are you really returning to Nagano?\Are you really okay with that?\Excuse me, cart coming through!\Whoa, what a strong wind!\I'm getting pushed by it!\Don't move your hand!\It's so windy... response:	I wonder if the displays outside will be okay?
context: Are you really returning to Nagano?\Are you really okay with that?\Excuse me, cart coming through!\Whoa, what a strong wind!\I'm getting pushed by it!\Don't move your hand!\It's so windy...\I wonder if the displays outside will be okay? response:	Look, Sensei.
context: Are you really okay with that?\Excuse me, cart coming through!\Whoa, what a strong wind!\I'm getting pushed by it!\Don't move your hand!\It's so windy...\I wonder if the displays outside will be okay?\Look, Sensei. response:	I wonder if a storm is coming?
context: Excuse me, cart coming through!\Whoa, what a strong wind!\I'm getting pushed by it!\Don't move your hand!\It's so windy...\I wonder if the displays outside will be okay?\Look, Sensei.\I wonder if a storm is coming? response:	kaban no naka wo misete kure yo Please show me what's inside your bag.
context: Whoa, what a strong wind!\I'm getting pushed by it!\Don't move your hand!\It's so windy...\I wonder if the displays outside will be okay?\Look, Sensei.\I wonder if a storm is coming?\kaban no naka wo misete kure yo Please show me what's inside your bag. response:	boku dake ni sotto misete kure yo Please show it to only me.
