context: All four of you are going to hell. response:	Nii-san's the only one that stands a chance anymore!
context: So that katana was a fake after all.\It totally felt plastic.\So what kind of trick did you use to cut the floor earlier?\Hey, what's going on?\He's acting like he usually does.\Then... I'll just chop off your head next!\Ow!\Listen... response:	Real adults don't have time
context: It totally felt plastic.\So what kind of trick did you use to cut the floor earlier?\Hey, what's going on?\He's acting like he usually does.\Then... I'll just chop off your head next!\Ow!\Listen...\Real adults don't have time response:	to play with toy swords!
context: So what kind of trick did you use to cut the floor earlier?\Hey, what's going on?\He's acting like he usually does.\Then... I'll just chop off your head next!\Ow!\Listen...\Real adults don't have time\to play with toy swords! response:	That's Kageyama-kun's master for you, I guess.
context: Hey, what's going on?\He's acting like he usually does.\Then... I'll just chop off your head next!\Ow!\Listen...\Real adults don't have time\to play with toy swords!\That's Kageyama-kun's master for you, I guess. response:	Sakurai, move!
context: He's acting like he usually does.\Then... I'll just chop off your head next!\Ow!\Listen...\Real adults don't have time\to play with toy swords!\That's Kageyama-kun's master for you, I guess.\Sakurai, move! response:	Candy-chan!
context: Then... I'll just chop off your head next!\Ow!\Listen...\Real adults don't have time\to play with toy swords!\That's Kageyama-kun's master for you, I guess.\Sakurai, move!\Candy-chan! response:	Whoa! An evil spirit?
context: Ow!\Listen...\Real adults don't have time\to play with toy swords!\That's Kageyama-kun's master for you, I guess.\Sakurai, move!\Candy-chan!\Whoa! An evil spirit? response:	Hey, Mob! Do something.
context: Listen...\Real adults don't have time\to play with toy swords!\That's Kageyama-kun's master for you, I guess.\Sakurai, move!\Candy-chan!\Whoa! An evil spirit?\Hey, Mob! Do something. response:	Huh? That was surprisingly light.
context: Real adults don't have time\to play with toy swords!\That's Kageyama-kun's master for you, I guess.\Sakurai, move!\Candy-chan!\Whoa! An evil spirit?\Hey, Mob! Do something.\Huh? That was surprisingly light. response:	A plushie?
context: to play with toy swords!\That's Kageyama-kun's master for you, I guess.\Sakurai, move!\Candy-chan!\Whoa! An evil spirit?\Hey, Mob! Do something.\Huh? That was surprisingly light.\A plushie? response:	Huh?
context: That's Kageyama-kun's master for you, I guess.\Sakurai, move!\Candy-chan!\Whoa! An evil spirit?\Hey, Mob! Do something.\Huh? That was surprisingly light.\A plushie?\Huh? response:	What are you, some mascot?!
context: Sakurai, move!\Candy-chan!\Whoa! An evil spirit?\Hey, Mob! Do something.\Huh? That was surprisingly light.\A plushie?\Huh?\What are you, some mascot?! response:	Oh, sorry! I didn't mean to rip your costume!
context: Candy-chan!\Whoa! An evil spirit?\Hey, Mob! Do something.\Huh? That was surprisingly light.\A plushie?\Huh?\What are you, some mascot?!\Oh, sorry! I didn't mean to rip your costume! response:	What?
context: Whoa! An evil spirit?\Hey, Mob! Do something.\Huh? That was surprisingly light.\A plushie?\Huh?\What are you, some mascot?!\Oh, sorry! I didn't mean to rip your costume!\What? response:	Is Reigen-san actually the real deal?
context: Hey, Mob! Do something.\Huh? That was surprisingly light.\A plushie?\Huh?\What are you, some mascot?!\Oh, sorry! I didn't mean to rip your costume!\What?\Is Reigen-san actually the real deal? response:	Don't get cocky.
context: Huh? That was surprisingly light.\A plushie?\Huh?\What are you, some mascot?!\Oh, sorry! I didn't mean to rip your costume!\What?\Is Reigen-san actually the real deal?\Don't get cocky. response:	Crap! He's surrounded!
context: A plushie?\Huh?\What are you, some mascot?!\Oh, sorry! I didn't mean to rip your costume!\What?\Is Reigen-san actually the real deal?\Don't get cocky.\Crap! He's surrounded! response:	Huh? What is this?
context: Huh?\What are you, some mascot?!\Oh, sorry! I didn't mean to rip your costume!\What?\Is Reigen-san actually the real deal?\Don't get cocky.\Crap! He's surrounded!\Huh? What is this? response:	Is this like the newest form of 3D imagery or something?
context: What are you, some mascot?!\Oh, sorry! I didn't mean to rip your costume!\What?\Is Reigen-san actually the real deal?\Don't get cocky.\Crap! He's surrounded!\Huh? What is this?\Is this like the newest form of 3D imagery or something? response:	What were you even trying to do?
context: Oh, sorry! I didn't mean to rip your costume!\What?\Is Reigen-san actually the real deal?\Don't get cocky.\Crap! He's surrounded!\Huh? What is this?\Is this like the newest form of 3D imagery or something?\What were you even trying to do? response:	He nullified all of them?
context: What?\Is Reigen-san actually the real deal?\Don't get cocky.\Crap! He's surrounded!\Huh? What is this?\Is this like the newest form of 3D imagery or something?\What were you even trying to do?\He nullified all of them? response:	Is this man some kind of monster?
context: Is Reigen-san actually the real deal?\Don't get cocky.\Crap! He's surrounded!\Huh? What is this?\Is this like the newest form of 3D imagery or something?\What were you even trying to do?\He nullified all of them?\Is this man some kind of monster? response:	How can this be?
context: Don't get cocky.\Crap! He's surrounded!\Huh? What is this?\Is this like the newest form of 3D imagery or something?\What were you even trying to do?\He nullified all of them?\Is this man some kind of monster?\How can this be? response:	Are you telling me someone this skilled still exists in this world?
context: Crap! He's surrounded!\Huh? What is this?\Is this like the newest form of 3D imagery or something?\What were you even trying to do?\He nullified all of them?\Is this man some kind of monster?\How can this be?\Are you telling me someone this skilled still exists in this world? response:	He must be eliminated.
context: Huh? What is this?\Is this like the newest form of 3D imagery or something?\What were you even trying to do?\He nullified all of them?\Is this man some kind of monster?\How can this be?\Are you telling me someone this skilled still exists in this world?\He must be eliminated. response:	We can't have him getting in the way of our world domination.
context: Is this like the newest form of 3D imagery or something?\What were you even trying to do?\He nullified all of them?\Is this man some kind of monster?\How can this be?\Are you telling me someone this skilled still exists in this world?\He must be eliminated.\We can't have him getting in the way of our world domination. response:	Huh?
context: What were you even trying to do?\He nullified all of them?\Is this man some kind of monster?\How can this be?\Are you telling me someone this skilled still exists in this world?\He must be eliminated.\We can't have him getting in the way of our world domination.\Huh? response:	I see. You were using some kind of magic trick, too, huh?
context: He nullified all of them?\Is this man some kind of monster?\How can this be?\Are you telling me someone this skilled still exists in this world?\He must be eliminated.\We can't have him getting in the way of our world domination.\Huh?\I see. You were using some kind of magic trick, too, huh? response:	You bunch of frauds.
context: Is this man some kind of monster?\How can this be?\Are you telling me someone this skilled still exists in this world?\He must be eliminated.\We can't have him getting in the way of our world domination.\Huh?\I see. You were using some kind of magic trick, too, huh?\You bunch of frauds. response:	Just try that thing with the black orbs again.
context: How can this be?\Are you telling me someone this skilled still exists in this world?\He must be eliminated.\We can't have him getting in the way of our world domination.\Huh?\I see. You were using some kind of magic trick, too, huh?\You bunch of frauds.\Just try that thing with the black orbs again. response:	That many?
context: Are you telling me someone this skilled still exists in this world?\He must be eliminated.\We can't have him getting in the way of our world domination.\Huh?\I see. You were using some kind of magic trick, too, huh?\You bunch of frauds.\Just try that thing with the black orbs again.\That many? response:	Is he going to be okay?
context: He must be eliminated.\We can't have him getting in the way of our world domination.\Huh?\I see. You were using some kind of magic trick, too, huh?\You bunch of frauds.\Just try that thing with the black orbs again.\That many?\Is he going to be okay? response:	Leave this to the adult here.
context: We can't have him getting in the way of our world domination.\Huh?\I see. You were using some kind of magic trick, too, huh?\You bunch of frauds.\Just try that thing with the black orbs again.\That many?\Is he going to be okay?\Leave this to the adult here. response:	My body seems to be in great shape today.
context: Huh?\I see. You were using some kind of magic trick, too, huh?\You bunch of frauds.\Just try that thing with the black orbs again.\That many?\Is he going to be okay?\Leave this to the adult here.\My body seems to be in great shape today. response:	Master really is amazing.
context: I see. You were using some kind of magic trick, too, huh?\You bunch of frauds.\Just try that thing with the black orbs again.\That many?\Is he going to be okay?\Leave this to the adult here.\My body seems to be in great shape today.\Master really is amazing. response:	It's okay to run away.
context: You bunch of frauds.\Just try that thing with the black orbs again.\That many?\Is he going to be okay?\Leave this to the adult here.\My body seems to be in great shape today.\Master really is amazing.\It's okay to run away. response:	As soon as he heard those words,
context: Just try that thing with the black orbs again.\That many?\Is he going to be okay?\Leave this to the adult here.\My body seems to be in great shape today.\Master really is amazing.\It's okay to run away.\As soon as he heard those words, response:	the explosive amount of energy building up within Mob
context: That many?\Is he going to be okay?\Leave this to the adult here.\My body seems to be in great shape today.\Master really is amazing.\It's okay to run away.\As soon as he heard those words,\the explosive amount of energy building up within Mob response:	changed its direction.
context: Is he going to be okay?\Leave this to the adult here.\My body seems to be in great shape today.\Master really is amazing.\It's okay to run away.\As soon as he heard those words,\the explosive amount of energy building up within Mob\changed its direction. response:	There are times when the power of one's words is unfathomable.
context: Leave this to the adult here.\My body seems to be in great shape today.\Master really is amazing.\It's okay to run away.\As soon as he heard those words,\the explosive amount of energy building up within Mob\changed its direction.\There are times when the power of one's words is unfathomable. response:	Those with power must fight.
context: My body seems to be in great shape today.\Master really is amazing.\It's okay to run away.\As soon as he heard those words,\the explosive amount of energy building up within Mob\changed its direction.\There are times when the power of one's words is unfathomable.\Those with power must fight. response:	That responsibility had made Mob's bridge collapse.
context: Master really is amazing.\It's okay to run away.\As soon as he heard those words,\the explosive amount of energy building up within Mob\changed its direction.\There are times when the power of one's words is unfathomable.\Those with power must fight.\That responsibility had made Mob's bridge collapse. response:	Sometimes, however...
context: It's okay to run away.\As soon as he heard those words,\the explosive amount of energy building up within Mob\changed its direction.\There are times when the power of one's words is unfathomable.\Those with power must fight.\That responsibility had made Mob's bridge collapse.\Sometimes, however... response:	One's heart can find a resolution just by being offered a helping hand.
context: As soon as he heard those words,\the explosive amount of energy building up within Mob\changed its direction.\There are times when the power of one's words is unfathomable.\Those with power must fight.\That responsibility had made Mob's bridge collapse.\Sometimes, however...\One's heart can find a resolution just by being offered a helping hand. response:	As a result, all of Mob's energy was temporarily tossed over to Reigen.
context: the explosive amount of energy building up within Mob\changed its direction.\There are times when the power of one's words is unfathomable.\Those with power must fight.\That responsibility had made Mob's bridge collapse.\Sometimes, however...\One's heart can find a resolution just by being offered a helping hand.\As a result, all of Mob's energy was temporarily tossed over to Reigen. response:	In essence, he had successfully run away
context: changed its direction.\There are times when the power of one's words is unfathomable.\Those with power must fight.\That responsibility had made Mob's bridge collapse.\Sometimes, however...\One's heart can find a resolution just by being offered a helping hand.\As a result, all of Mob's energy was temporarily tossed over to Reigen.\In essence, he had successfully run away response:	and was feeling rather refreshed now.
context: There are times when the power of one's words is unfathomable.\Those with power must fight.\That responsibility had made Mob's bridge collapse.\Sometimes, however...\One's heart can find a resolution just by being offered a helping hand.\As a result, all of Mob's energy was temporarily tossed over to Reigen.\In essence, he had successfully run away\and was feeling rather refreshed now. response:	All that was left in his heart
context: Those with power must fight.\That responsibility had made Mob's bridge collapse.\Sometimes, however...\One's heart can find a resolution just by being offered a helping hand.\As a result, all of Mob's energy was temporarily tossed over to Reigen.\In essence, he had successfully run away\and was feeling rather refreshed now.\All that was left in his heart response:	was gratitude toward his master.
context: That responsibility had made Mob's bridge collapse.\Sometimes, however...\One's heart can find a resolution just by being offered a helping hand.\As a result, all of Mob's energy was temporarily tossed over to Reigen.\In essence, he had successfully run away\and was feeling rather refreshed now.\All that was left in his heart\was gratitude toward his master. response:	Reigen
context: Sometimes, however...\One's heart can find a resolution just by being offered a helping hand.\As a result, all of Mob's energy was temporarily tossed over to Reigen.\In essence, he had successfully run away\and was feeling rather refreshed now.\All that was left in his heart\was gratitude toward his master.\Reigen response:	Arataka
context: One's heart can find a resolution just by being offered a helping hand.\As a result, all of Mob's energy was temporarily tossed over to Reigen.\In essence, he had successfully run away\and was feeling rather refreshed now.\All that was left in his heart\was gratitude toward his master.\Reigen\Arataka response:	Reigen Arataka
context: As a result, all of Mob's energy was temporarily tossed over to Reigen.\In essence, he had successfully run away\and was feeling rather refreshed now.\All that was left in his heart\was gratitude toward his master.\Reigen\Arataka\Reigen Arataka response:	Mob
context: In essence, he had successfully run away\and was feeling rather refreshed now.\All that was left in his heart\was gratitude toward his master.\Reigen\Arataka\Reigen Arataka\Mob response:	Are these soap bubbles?
context: and was feeling rather refreshed now.\All that was left in his heart\was gratitude toward his master.\Reigen\Arataka\Reigen Arataka\Mob\Are these soap bubbles? response:	My Black Orbs swallow up and destroy anything they touch...
context: All that was left in his heart\was gratitude toward his master.\Reigen\Arataka\Reigen Arataka\Mob\Are these soap bubbles?\My Black Orbs swallow up and destroy anything they touch... response:	And this man is touching them with his bare hands...
context: was gratitude toward his master.\Reigen\Arataka\Reigen Arataka\Mob\Are these soap bubbles?\My Black Orbs swallow up and destroy anything they touch...\And this man is touching them with his bare hands... response:	Why? What happened to the man that was trying to run away just a moment ago?
context: Reigen\Arataka\Reigen Arataka\Mob\Are these soap bubbles?\My Black Orbs swallow up and destroy anything they touch...\And this man is touching them with his bare hands...\Why? What happened to the man that was trying to run away just a moment ago? response:	Looks like I'll have to put my body on the line, too.
context: Arataka\Reigen Arataka\Mob\Are these soap bubbles?\My Black Orbs swallow up and destroy anything they touch...\And this man is touching them with his bare hands...\Why? What happened to the man that was trying to run away just a moment ago?\Looks like I'll have to put my body on the line, too. response:	Five Hundred Kilogram Tackle!
context: Reigen Arataka\Mob\Are these soap bubbles?\My Black Orbs swallow up and destroy anything they touch...\And this man is touching them with his bare hands...\Why? What happened to the man that was trying to run away just a moment ago?\Looks like I'll have to put my body on the line, too.\Five Hundred Kilogram Tackle! response:	One Ton Punch!
context: Mob\Are these soap bubbles?\My Black Orbs swallow up and destroy anything they touch...\And this man is touching them with his bare hands...\Why? What happened to the man that was trying to run away just a moment ago?\Looks like I'll have to put my body on the line, too.\Five Hundred Kilogram Tackle!\One Ton Punch! response:	Two Ton Guillotine!
context: Are these soap bubbles?\My Black Orbs swallow up and destroy anything they touch...\And this man is touching them with his bare hands...\Why? What happened to the man that was trying to run away just a moment ago?\Looks like I'll have to put my body on the line, too.\Five Hundred Kilogram Tackle!\One Ton Punch!\Two Ton Guillotine! response:	Hey, you still conscious?
context: My Black Orbs swallow up and destroy anything they touch...\And this man is touching them with his bare hands...\Why? What happened to the man that was trying to run away just a moment ago?\Looks like I'll have to put my body on the line, too.\Five Hundred Kilogram Tackle!\One Ton Punch!\Two Ton Guillotine!\Hey, you still conscious? response:	No matter how powerful an esper you are,
context: And this man is touching them with his bare hands...\Why? What happened to the man that was trying to run away just a moment ago?\Looks like I'll have to put my body on the line, too.\Five Hundred Kilogram Tackle!\One Ton Punch!\Two Ton Guillotine!\Hey, you still conscious?\No matter how powerful an esper you are, response:	I can't call you an excellent esper.
context: Why? What happened to the man that was trying to run away just a moment ago?\Looks like I'll have to put my body on the line, too.\Five Hundred Kilogram Tackle!\One Ton Punch!\Two Ton Guillotine!\Hey, you still conscious?\No matter how powerful an esper you are,\I can't call you an excellent esper. response:	Because you have no desire for domination.
context: Looks like I'll have to put my body on the line, too.\Five Hundred Kilogram Tackle!\One Ton Punch!\Two Ton Guillotine!\Hey, you still conscious?\No matter how powerful an esper you are,\I can't call you an excellent esper.\Because you have no desire for domination. response:	The reason you're so powerful and yet so unknown
context: Five Hundred Kilogram Tackle!\One Ton Punch!\Two Ton Guillotine!\Hey, you still conscious?\No matter how powerful an esper you are,\I can't call you an excellent esper.\Because you have no desire for domination.\The reason you're so powerful and yet so unknown response:	is because you're living while hiding your powers, right?
context: One Ton Punch!\Two Ton Guillotine!\Hey, you still conscious?\No matter how powerful an esper you are,\I can't call you an excellent esper.\Because you have no desire for domination.\The reason you're so powerful and yet so unknown\is because you're living while hiding your powers, right? response:	But I am different!
context: Two Ton Guillotine!\Hey, you still conscious?\No matter how powerful an esper you are,\I can't call you an excellent esper.\Because you have no desire for domination.\The reason you're so powerful and yet so unknown\is because you're living while hiding your powers, right?\But I am different! response:	I am filled with ambition, and I want to go higher and higher,
context: Hey, you still conscious?\No matter how powerful an esper you are,\I can't call you an excellent esper.\Because you have no desire for domination.\The reason you're so powerful and yet so unknown\is because you're living while hiding your powers, right?\But I am different!\I am filled with ambition, and I want to go higher and higher, response:	and hold this world in
context: No matter how powerful an esper you are,\I can't call you an excellent esper.\Because you have no desire for domination.\The reason you're so powerful and yet so unknown\is because you're living while hiding your powers, right?\But I am different!\I am filled with ambition, and I want to go higher and higher,\and hold this world in response:	Get off me. Stop talking while you're still on top of me.
context: I can't call you an excellent esper.\Because you have no desire for domination.\The reason you're so powerful and yet so unknown\is because you're living while hiding your powers, right?\But I am different!\I am filled with ambition, and I want to go higher and higher,\and hold this world in\Get off me. Stop talking while you're still on top of me. response:	What a dense energy barrier!
context: Because you have no desire for domination.\The reason you're so powerful and yet so unknown\is because you're living while hiding your powers, right?\But I am different!\I am filled with ambition, and I want to go higher and higher,\and hold this world in\Get off me. Stop talking while you're still on top of me.\What a dense energy barrier! response:	I see. The reason my Black Orbs burst earlier was because
context: The reason you're so powerful and yet so unknown\is because you're living while hiding your powers, right?\But I am different!\I am filled with ambition, and I want to go higher and higher,\and hold this world in\Get off me. Stop talking while you're still on top of me.\What a dense energy barrier!\I see. The reason my Black Orbs burst earlier was because response:	the energy they were trying to take in was way over their limit!
context: is because you're living while hiding your powers, right?\But I am different!\I am filled with ambition, and I want to go higher and higher,\and hold this world in\Get off me. Stop talking while you're still on top of me.\What a dense energy barrier!\I see. The reason my Black Orbs burst earlier was because\the energy they were trying to take in was way over their limit! response:	Inconceivable...
context: But I am different!\I am filled with ambition, and I want to go higher and higher,\and hold this world in\Get off me. Stop talking while you're still on top of me.\What a dense energy barrier!\I see. The reason my Black Orbs burst earlier was because\the energy they were trying to take in was way over their limit!\Inconceivable... response:	Who are yo
context: I am filled with ambition, and I want to go higher and higher,\and hold this world in\Get off me. Stop talking while you're still on top of me.\What a dense energy barrier!\I see. The reason my Black Orbs burst earlier was because\the energy they were trying to take in was way over their limit!\Inconceivable...\Who are yo response:	Also, when you're speaking to someone,
context: and hold this world in\Get off me. Stop talking while you're still on top of me.\What a dense energy barrier!\I see. The reason my Black Orbs burst earlier was because\the energy they were trying to take in was way over their limit!\Inconceivable...\Who are yo\Also, when you're speaking to someone, response:	take off your mask!
context: Get off me. Stop talking while you're still on top of me.\What a dense energy barrier!\I see. The reason my Black Orbs burst earlier was because\the energy they were trying to take in was way over their limit!\Inconceivable...\Who are yo\Also, when you're speaking to someone,\take off your mask! response:	Hup!
context: What a dense energy barrier!\I see. The reason my Black Orbs burst earlier was because\the energy they were trying to take in was way over their limit!\Inconceivable...\Who are yo\Also, when you're speaking to someone,\take off your mask!\Hup! response:	Oh, it came off.
context: I see. The reason my Black Orbs burst earlier was because\the energy they were trying to take in was way over their limit!\Inconceivable...\Who are yo\Also, when you're speaking to someone,\take off your mask!\Hup!\Oh, it came off. response:	Actually, what's with this strength?
context: the energy they were trying to take in was way over their limit!\Inconceivable...\Who are yo\Also, when you're speaking to someone,\take off your mask!\Hup!\Oh, it came off.\Actually, what's with this strength? response:	Could it be him...?
context: Inconceivable...\Who are yo\Also, when you're speaking to someone,\take off your mask!\Hup!\Oh, it came off.\Actually, what's with this strength?\Could it be him...? response:	That's the only plausible explanation.
context: Who are yo\Also, when you're speaking to someone,\take off your mask!\Hup!\Oh, it came off.\Actually, what's with this strength?\Could it be him...?\That's the only plausible explanation. response:	Seriously, someone your age needs to quit messing around.
context: Also, when you're speaking to someone,\take off your mask!\Hup!\Oh, it came off.\Actually, what's with this strength?\Could it be him...?\That's the only plausible explanation.\Seriously, someone your age needs to quit messing around. response:	Wh...
context: take off your mask!\Hup!\Oh, it came off.\Actually, what's with this strength?\Could it be him...?\That's the only plausible explanation.\Seriously, someone your age needs to quit messing around.\Wh... response:	What could you possibly know?!
context: Hup!\Oh, it came off.\Actually, what's with this strength?\Could it be him...?\That's the only plausible explanation.\Seriously, someone your age needs to quit messing around.\Wh...\What could you possibly know?! response:	To hell with society!
context: Oh, it came off.\Actually, what's with this strength?\Could it be him...?\That's the only plausible explanation.\Seriously, someone your age needs to quit messing around.\Wh...\What could you possibly know?!\To hell with society! response:	Don't try and lecture me when you've only seen its good side!
context: Actually, what's with this strength?\Could it be him...?\That's the only plausible explanation.\Seriously, someone your age needs to quit messing around.\Wh...\What could you possibly know?!\To hell with society!\Don't try and lecture me when you've only seen its good side! response:	As soon as I was born, I was abandoned by my parents.
context: Could it be him...?\That's the only plausible explanation.\Seriously, someone your age needs to quit messing around.\Wh...\What could you possibly know?!\To hell with society!\Don't try and lecture me when you've only seen its good side!\As soon as I was born, I was abandoned by my parents. response:	I was all alone.
