context: Yukimori response:	They've made the new Division 5 personnel assignments.
context: At first, they didn't have any plans to add anyone to F Squad.\But then out of nowhere, he started claiming you can't control your devils.\It just didn't sit right with me.\I don't trust him. Him or the new leader he was so eager replace you with.\A new leader, huh?\If he's in charge, I'll have to introduce him to Anzai and Jill.\But you won't introduce me to anyone else?\Based on the state of the scene and witness testimony, response:	there's a strong possibility that the missing Ryunosuke Katagiri was shot and injured.
context: But then out of nowhere, he started claiming you can't control your devils.\It just didn't sit right with me.\I don't trust him. Him or the new leader he was so eager replace you with.\A new leader, huh?\If he's in charge, I'll have to introduce him to Anzai and Jill.\But you won't introduce me to anyone else?\Based on the state of the scene and witness testimony,\there's a strong possibility that the missing Ryunosuke Katagiri was shot and injured. response:	And yet, there is no indication that you, a former investigator of Division 1,
context: It just didn't sit right with me.\I don't trust him. Him or the new leader he was so eager replace you with.\A new leader, huh?\If he's in charge, I'll have to introduce him to Anzai and Jill.\But you won't introduce me to anyone else?\Based on the state of the scene and witness testimony,\there's a strong possibility that the missing Ryunosuke Katagiri was shot and injured.\And yet, there is no indication that you, a former investigator of Division 1, response:	have gone to any hospitals to look for him.
context: I don't trust him. Him or the new leader he was so eager replace you with.\A new leader, huh?\If he's in charge, I'll have to introduce him to Anzai and Jill.\But you won't introduce me to anyone else?\Based on the state of the scene and witness testimony,\there's a strong possibility that the missing Ryunosuke Katagiri was shot and injured.\And yet, there is no indication that you, a former investigator of Division 1,\have gone to any hospitals to look for him. response:	In other words, you already know where he is.
context: A new leader, huh?\If he's in charge, I'll have to introduce him to Anzai and Jill.\But you won't introduce me to anyone else?\Based on the state of the scene and witness testimony,\there's a strong possibility that the missing Ryunosuke Katagiri was shot and injured.\And yet, there is no indication that you, a former investigator of Division 1,\have gone to any hospitals to look for him.\In other words, you already know where he is. response:	Officer Anzai took custody of a hostage.
context: If he's in charge, I'll have to introduce him to Anzai and Jill.\But you won't introduce me to anyone else?\Based on the state of the scene and witness testimony,\there's a strong possibility that the missing Ryunosuke Katagiri was shot and injured.\And yet, there is no indication that you, a former investigator of Division 1,\have gone to any hospitals to look for him.\In other words, you already know where he is.\Officer Anzai took custody of a hostage. response:	And he was acting in concert with an unidentified foreign man.
context: But you won't introduce me to anyone else?\Based on the state of the scene and witness testimony,\there's a strong possibility that the missing Ryunosuke Katagiri was shot and injured.\And yet, there is no indication that you, a former investigator of Division 1,\have gone to any hospitals to look for him.\In other words, you already know where he is.\Officer Anzai took custody of a hostage.\And he was acting in concert with an unidentified foreign man. response:	I want you to introduce me to everyone who is involved.
context: Based on the state of the scene and witness testimony,\there's a strong possibility that the missing Ryunosuke Katagiri was shot and injured.\And yet, there is no indication that you, a former investigator of Division 1,\have gone to any hospitals to look for him.\In other words, you already know where he is.\Officer Anzai took custody of a hostage.\And he was acting in concert with an unidentified foreign man.\I want you to introduce me to everyone who is involved. response:	That's an order from your superior officer.
context: there's a strong possibility that the missing Ryunosuke Katagiri was shot and injured.\And yet, there is no indication that you, a former investigator of Division 1,\have gone to any hospitals to look for him.\In other words, you already know where he is.\Officer Anzai took custody of a hostage.\And he was acting in concert with an unidentified foreign man.\I want you to introduce me to everyone who is involved.\That's an order from your superior officer. response:	It was a silent night
context: And yet, there is no indication that you, a former investigator of Division 1,\have gone to any hospitals to look for him.\In other words, you already know where he is.\Officer Anzai took custody of a hostage.\And he was acting in concert with an unidentified foreign man.\I want you to introduce me to everyone who is involved.\That's an order from your superior officer.\It was a silent night response:	Eclipse was beginnin'
context: have gone to any hospitals to look for him.\In other words, you already know where he is.\Officer Anzai took custody of a hostage.\And he was acting in concert with an unidentified foreign man.\I want you to introduce me to everyone who is involved.\That's an order from your superior officer.\It was a silent night\Eclipse was beginnin' response:	The overlapping moments
context: In other words, you already know where he is.\Officer Anzai took custody of a hostage.\And he was acting in concert with an unidentified foreign man.\I want you to introduce me to everyone who is involved.\That's an order from your superior officer.\It was a silent night\Eclipse was beginnin'\The overlapping moments response:	We might believe them to be eternity
context: Officer Anzai took custody of a hostage.\And he was acting in concert with an unidentified foreign man.\I want you to introduce me to everyone who is involved.\That's an order from your superior officer.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity response:	In darkness...
context: And he was acting in concert with an unidentified foreign man.\I want you to introduce me to everyone who is involved.\That's an order from your superior officer.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness... response:	It's darker than black
context: I want you to introduce me to everyone who is involved.\That's an order from your superior officer.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black response:	The labyrinthine sky
context: That's an order from your superior officer.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky response:	Begs for light
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light response:	If I bite your soul
context: Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul response:	The impulse eats away at me
context: The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me response:	Can I... Can I... Can I... Who am I...?
context: We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...? response:	Libido erases my reason
context: In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason response:	(Where is my heart?)
context: It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?) response:	Into darkness
context: The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness response:	(Where is my heart?)
context: Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?) response:	I have fallen
context: If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen response:	(Where is my heart?)
context: The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?) response:	Taking a hideous form
context: Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form response:	If my human tears have dried
context: Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried response:	What will you think of me?
context: (Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me? response:	Give me an answer
context: Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer response:	Our crimson blood
context: (Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood response:	(Bloody bonds) Our crimson blood
context: I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood response:	Wets our bond
context: (Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond response:	We share our weakness
context: Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness response:	(Bloody bonds) We share our weakness
context: If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness response:	Will we two live on?
context: What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on? response:	Licking each other's wounds
context: Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds response:	Defining each other's life
context: Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life response:	Thirsting for love
context: (Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love response:	Command
context: Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Command response:	Oh! Anzai!
context: We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Command\Oh! Anzai! response:	Want some coffee?
context: (Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Command\Oh! Anzai!\Want some coffee? response:	Uh, yes, please.
context: Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Command\Oh! Anzai!\Want some coffee?\Uh, yes, please. response:	I get to see his face like this every day.
context: Licking each other's wounds\Defining each other's life\Thirsting for love\Command\Oh! Anzai!\Want some coffee?\Uh, yes, please.\I get to see his face like this every day. response:	It's like we're living together.
context: Defining each other's life\Thirsting for love\Command\Oh! Anzai!\Want some coffee?\Uh, yes, please.\I get to see his face like this every day.\It's like we're living together. response:	We're talking about having another base of operations.
context: Thirsting for love\Command\Oh! Anzai!\Want some coffee?\Uh, yes, please.\I get to see his face like this every day.\It's like we're living together.\We're talking about having another base of operations. response:	Yeah. I heard.
context: Command\Oh! Anzai!\Want some coffee?\Uh, yes, please.\I get to see his face like this every day.\It's like we're living together.\We're talking about having another base of operations.\Yeah. I heard. response:	Sakaki said he'll let you use his warehouse.
context: Oh! Anzai!\Want some coffee?\Uh, yes, please.\I get to see his face like this every day.\It's like we're living together.\We're talking about having another base of operations.\Yeah. I heard.\Sakaki said he'll let you use his warehouse. response:	Here. Be careful, it's hot.
context: Want some coffee?\Uh, yes, please.\I get to see his face like this every day.\It's like we're living together.\We're talking about having another base of operations.\Yeah. I heard.\Sakaki said he'll let you use his warehouse.\Here. Be careful, it's hot. response:	Yeah. Thanks.
context: Uh, yes, please.\I get to see his face like this every day.\It's like we're living together.\We're talking about having another base of operations.\Yeah. I heard.\Sakaki said he'll let you use his warehouse.\Here. Be careful, it's hot.\Yeah. Thanks. response:	Come on, what are you doing?
context: I get to see his face like this every day.\It's like we're living together.\We're talking about having another base of operations.\Yeah. I heard.\Sakaki said he'll let you use his warehouse.\Here. Be careful, it's hot.\Yeah. Thanks.\Come on, what are you doing? response:	Sorry.
context: It's like we're living together.\We're talking about having another base of operations.\Yeah. I heard.\Sakaki said he'll let you use his warehouse.\Here. Be careful, it's hot.\Yeah. Thanks.\Come on, what are you doing?\Sorry. response:	So, uh, sorry to interrupt, but...
context: We're talking about having another base of operations.\Yeah. I heard.\Sakaki said he'll let you use his warehouse.\Here. Be careful, it's hot.\Yeah. Thanks.\Come on, what are you doing?\Sorry.\So, uh, sorry to interrupt, but... response:	Sawazaki wants you downstairs. Our new boss is here.
context: Yeah. I heard.\Sakaki said he'll let you use his warehouse.\Here. Be careful, it's hot.\Yeah. Thanks.\Come on, what are you doing?\Sorry.\So, uh, sorry to interrupt, but...\Sawazaki wants you downstairs. Our new boss is here. response:	New boss? What are you talking about?
context: Sakaki said he'll let you use his warehouse.\Here. Be careful, it's hot.\Yeah. Thanks.\Come on, what are you doing?\Sorry.\So, uh, sorry to interrupt, but...\Sawazaki wants you downstairs. Our new boss is here.\New boss? What are you talking about? response:	I don't know!
context: Here. Be careful, it's hot.\Yeah. Thanks.\Come on, what are you doing?\Sorry.\So, uh, sorry to interrupt, but...\Sawazaki wants you downstairs. Our new boss is here.\New boss? What are you talking about?\I don't know! response:	But he wants everybody there.
context: Yeah. Thanks.\Come on, what are you doing?\Sorry.\So, uh, sorry to interrupt, but...\Sawazaki wants you downstairs. Our new boss is here.\New boss? What are you talking about?\I don't know!\But he wants everybody there. response:	Normally he'd just want the squad.
context: Come on, what are you doing?\Sorry.\So, uh, sorry to interrupt, but...\Sawazaki wants you downstairs. Our new boss is here.\New boss? What are you talking about?\I don't know!\But he wants everybody there.\Normally he'd just want the squad. response:	This is my fault. They found out I ignored the standby order.
context: Sorry.\So, uh, sorry to interrupt, but...\Sawazaki wants you downstairs. Our new boss is here.\New boss? What are you talking about?\I don't know!\But he wants everybody there.\Normally he'd just want the squad.\This is my fault. They found out I ignored the standby order. response:	Why are you blaming yourself?
context: So, uh, sorry to interrupt, but...\Sawazaki wants you downstairs. Our new boss is here.\New boss? What are you talking about?\I don't know!\But he wants everybody there.\Normally he'd just want the squad.\This is my fault. They found out I ignored the standby order.\Why are you blaming yourself? response:	Don't worry.
context: Sawazaki wants you downstairs. Our new boss is here.\New boss? What are you talking about?\I don't know!\But he wants everybody there.\Normally he'd just want the squad.\This is my fault. They found out I ignored the standby order.\Why are you blaming yourself?\Don't worry. response:	This is Lieutenant Ishimaru, formerly of A Squad.
context: New boss? What are you talking about?\I don't know!\But he wants everybody there.\Normally he'd just want the squad.\This is my fault. They found out I ignored the standby order.\Why are you blaming yourself?\Don't worry.\This is Lieutenant Ishimaru, formerly of A Squad. response:	As of today, he is F Squad's new leader.
context: I don't know!\But he wants everybody there.\Normally he'd just want the squad.\This is my fault. They found out I ignored the standby order.\Why are you blaming yourself?\Don't worry.\This is Lieutenant Ishimaru, formerly of A Squad.\As of today, he is F Squad's new leader. response:	I'm now a regular member,
context: But he wants everybody there.\Normally he'd just want the squad.\This is my fault. They found out I ignored the standby order.\Why are you blaming yourself?\Don't worry.\This is Lieutenant Ishimaru, formerly of A Squad.\As of today, he is F Squad's new leader.\I'm now a regular member, response:	and Asami from Divison 1 will be on our team temporarily.
context: Normally he'd just want the squad.\This is my fault. They found out I ignored the standby order.\Why are you blaming yourself?\Don't worry.\This is Lieutenant Ishimaru, formerly of A Squad.\As of today, he is F Squad's new leader.\I'm now a regular member,\and Asami from Divison 1 will be on our team temporarily. response:	I get tired of formalities, so don't worry about being extra polite.
context: This is my fault. They found out I ignored the standby order.\Why are you blaming yourself?\Don't worry.\This is Lieutenant Ishimaru, formerly of A Squad.\As of today, he is F Squad's new leader.\I'm now a regular member,\and Asami from Divison 1 will be on our team temporarily.\I get tired of formalities, so don't worry about being extra polite. response:	You must be Anzai, Miss Hostage, Yanagi, Mr. Foreigner, and Miss Lloyd.
context: Why are you blaming yourself?\Don't worry.\This is Lieutenant Ishimaru, formerly of A Squad.\As of today, he is F Squad's new leader.\I'm now a regular member,\and Asami from Divison 1 will be on our team temporarily.\I get tired of formalities, so don't worry about being extra polite.\You must be Anzai, Miss Hostage, Yanagi, Mr. Foreigner, and Miss Lloyd. response:	I don't see Katagiri.
context: Don't worry.\This is Lieutenant Ishimaru, formerly of A Squad.\As of today, he is F Squad's new leader.\I'm now a regular member,\and Asami from Divison 1 will be on our team temporarily.\I get tired of formalities, so don't worry about being extra polite.\You must be Anzai, Miss Hostage, Yanagi, Mr. Foreigner, and Miss Lloyd.\I don't see Katagiri. response:	He's still at the hospital.
context: This is Lieutenant Ishimaru, formerly of A Squad.\As of today, he is F Squad's new leader.\I'm now a regular member,\and Asami from Divison 1 will be on our team temporarily.\I get tired of formalities, so don't worry about being extra polite.\You must be Anzai, Miss Hostage, Yanagi, Mr. Foreigner, and Miss Lloyd.\I don't see Katagiri.\He's still at the hospital. response:	And I have more bad news.
context: As of today, he is F Squad's new leader.\I'm now a regular member,\and Asami from Divison 1 will be on our team temporarily.\I get tired of formalities, so don't worry about being extra polite.\You must be Anzai, Miss Hostage, Yanagi, Mr. Foreigner, and Miss Lloyd.\I don't see Katagiri.\He's still at the hospital.\And I have more bad news. response:	For the next two months,
context: I'm now a regular member,\and Asami from Divison 1 will be on our team temporarily.\I get tired of formalities, so don't worry about being extra polite.\You must be Anzai, Miss Hostage, Yanagi, Mr. Foreigner, and Miss Lloyd.\I don't see Katagiri.\He's still at the hospital.\And I have more bad news.\For the next two months, response:	Anzai and Jill are forbidden from going outside without a human chaperon.
context: and Asami from Divison 1 will be on our team temporarily.\I get tired of formalities, so don't worry about being extra polite.\You must be Anzai, Miss Hostage, Yanagi, Mr. Foreigner, and Miss Lloyd.\I don't see Katagiri.\He's still at the hospital.\And I have more bad news.\For the next two months,\Anzai and Jill are forbidden from going outside without a human chaperon. response:	It used to only apply to work, but now you're prohibited from going out for personal reasons.
context: I get tired of formalities, so don't worry about being extra polite.\You must be Anzai, Miss Hostage, Yanagi, Mr. Foreigner, and Miss Lloyd.\I don't see Katagiri.\He's still at the hospital.\And I have more bad news.\For the next two months,\Anzai and Jill are forbidden from going outside without a human chaperon.\It used to only apply to work, but now you're prohibited from going out for personal reasons. response:	You're joking, right?
context: You must be Anzai, Miss Hostage, Yanagi, Mr. Foreigner, and Miss Lloyd.\I don't see Katagiri.\He's still at the hospital.\And I have more bad news.\For the next two months,\Anzai and Jill are forbidden from going outside without a human chaperon.\It used to only apply to work, but now you're prohibited from going out for personal reasons.\You're joking, right? response:	Why should we have to put up with that kind of crap?
context: I don't see Katagiri.\He's still at the hospital.\And I have more bad news.\For the next two months,\Anzai and Jill are forbidden from going outside without a human chaperon.\It used to only apply to work, but now you're prohibited from going out for personal reasons.\You're joking, right?\Why should we have to put up with that kind of crap? response:	And we don't need a new boss. I like Sawazaki.
context: He's still at the hospital.\And I have more bad news.\For the next two months,\Anzai and Jill are forbidden from going outside without a human chaperon.\It used to only apply to work, but now you're prohibited from going out for personal reasons.\You're joking, right?\Why should we have to put up with that kind of crap?\And we don't need a new boss. I like Sawazaki. response:	You can't do your job by playing best buds, Miss Lloyd.
context: And I have more bad news.\For the next two months,\Anzai and Jill are forbidden from going outside without a human chaperon.\It used to only apply to work, but now you're prohibited from going out for personal reasons.\You're joking, right?\Why should we have to put up with that kind of crap?\And we don't need a new boss. I like Sawazaki.\You can't do your job by playing best buds, Miss Lloyd. response:	Not that I don't understand how you feel.
context: For the next two months,\Anzai and Jill are forbidden from going outside without a human chaperon.\It used to only apply to work, but now you're prohibited from going out for personal reasons.\You're joking, right?\Why should we have to put up with that kind of crap?\And we don't need a new boss. I like Sawazaki.\You can't do your job by playing best buds, Miss Lloyd.\Not that I don't understand how you feel. response:	But right now we have to focus on solving this case.
context: Anzai and Jill are forbidden from going outside without a human chaperon.\It used to only apply to work, but now you're prohibited from going out for personal reasons.\You're joking, right?\Why should we have to put up with that kind of crap?\And we don't need a new boss. I like Sawazaki.\You can't do your job by playing best buds, Miss Lloyd.\Not that I don't understand how you feel.\But right now we have to focus on solving this case. response:	So I'd like to hear about what happened at the hotel.
context: It used to only apply to work, but now you're prohibited from going out for personal reasons.\You're joking, right?\Why should we have to put up with that kind of crap?\And we don't need a new boss. I like Sawazaki.\You can't do your job by playing best buds, Miss Lloyd.\Not that I don't understand how you feel.\But right now we have to focus on solving this case.\So I'd like to hear about what happened at the hotel. response:	That reminds me. What do I do about...
context: You're joking, right?\Why should we have to put up with that kind of crap?\And we don't need a new boss. I like Sawazaki.\You can't do your job by playing best buds, Miss Lloyd.\Not that I don't understand how you feel.\But right now we have to focus on solving this case.\So I'd like to hear about what happened at the hotel.\That reminds me. What do I do about... response:	Should we tell him?
context: Why should we have to put up with that kind of crap?\And we don't need a new boss. I like Sawazaki.\You can't do your job by playing best buds, Miss Lloyd.\Not that I don't understand how you feel.\But right now we have to focus on solving this case.\So I'd like to hear about what happened at the hotel.\That reminds me. What do I do about...\Should we tell him? response:	What if he's a spy, like Ushio?
context: And we don't need a new boss. I like Sawazaki.\You can't do your job by playing best buds, Miss Lloyd.\Not that I don't understand how you feel.\But right now we have to focus on solving this case.\So I'd like to hear about what happened at the hotel.\That reminds me. What do I do about...\Should we tell him?\What if he's a spy, like Ushio? response:	It is a dilemma, isn't it?
context: You can't do your job by playing best buds, Miss Lloyd.\Not that I don't understand how you feel.\But right now we have to focus on solving this case.\So I'd like to hear about what happened at the hotel.\That reminds me. What do I do about...\Should we tell him?\What if he's a spy, like Ushio?\It is a dilemma, isn't it? response:	Should you tell him? Can you trust him?
context: Not that I don't understand how you feel.\But right now we have to focus on solving this case.\So I'd like to hear about what happened at the hotel.\That reminds me. What do I do about...\Should we tell him?\What if he's a spy, like Ushio?\It is a dilemma, isn't it?\Should you tell him? Can you trust him? response:	Personally, I wouldn't trust him.
context: But right now we have to focus on solving this case.\So I'd like to hear about what happened at the hotel.\That reminds me. What do I do about...\Should we tell him?\What if he's a spy, like Ushio?\It is a dilemma, isn't it?\Should you tell him? Can you trust him?\Personally, I wouldn't trust him. response:	Alright, Asami, then I want you to do a background check on me.
context: So I'd like to hear about what happened at the hotel.\That reminds me. What do I do about...\Should we tell him?\What if he's a spy, like Ushio?\It is a dilemma, isn't it?\Should you tell him? Can you trust him?\Personally, I wouldn't trust him.\Alright, Asami, then I want you to do a background check on me. response:	What?
context: That reminds me. What do I do about...\Should we tell him?\What if he's a spy, like Ushio?\It is a dilemma, isn't it?\Should you tell him? Can you trust him?\Personally, I wouldn't trust him.\Alright, Asami, then I want you to do a background check on me.\What? response:	If you need to prove you can trust me before you can work on this case, then you should do it.
context: Should we tell him?\What if he's a spy, like Ushio?\It is a dilemma, isn't it?\Should you tell him? Can you trust him?\Personally, I wouldn't trust him.\Alright, Asami, then I want you to do a background check on me.\What?\If you need to prove you can trust me before you can work on this case, then you should do it. response:	And investigate Inspector Kikuhara while you're at it.
context: What if he's a spy, like Ushio?\It is a dilemma, isn't it?\Should you tell him? Can you trust him?\Personally, I wouldn't trust him.\Alright, Asami, then I want you to do a background check on me.\What?\If you need to prove you can trust me before you can work on this case, then you should do it.\And investigate Inspector Kikuhara while you're at it. response:	Kikuhara?
context: It is a dilemma, isn't it?\Should you tell him? Can you trust him?\Personally, I wouldn't trust him.\Alright, Asami, then I want you to do a background check on me.\What?\If you need to prove you can trust me before you can work on this case, then you should do it.\And investigate Inspector Kikuhara while you're at it.\Kikuhara? response:	Because it was Kikuhara's idea to demote Sawazaki and appoint me as squad leader.
context: Should you tell him? Can you trust him?\Personally, I wouldn't trust him.\Alright, Asami, then I want you to do a background check on me.\What?\If you need to prove you can trust me before you can work on this case, then you should do it.\And investigate Inspector Kikuhara while you're at it.\Kikuhara?\Because it was Kikuhara's idea to demote Sawazaki and appoint me as squad leader. response:	Now go on and do your background checks.
context: Personally, I wouldn't trust him.\Alright, Asami, then I want you to do a background check on me.\What?\If you need to prove you can trust me before you can work on this case, then you should do it.\And investigate Inspector Kikuhara while you're at it.\Kikuhara?\Because it was Kikuhara's idea to demote Sawazaki and appoint me as squad leader.\Now go on and do your background checks. response:	All I have to do is sit down and shut up, right?
context: Alright, Asami, then I want you to do a background check on me.\What?\If you need to prove you can trust me before you can work on this case, then you should do it.\And investigate Inspector Kikuhara while you're at it.\Kikuhara?\Because it was Kikuhara's idea to demote Sawazaki and appoint me as squad leader.\Now go on and do your background checks.\All I have to do is sit down and shut up, right? response:	Um, Anzai?
context: What?\If you need to prove you can trust me before you can work on this case, then you should do it.\And investigate Inspector Kikuhara while you're at it.\Kikuhara?\Because it was Kikuhara's idea to demote Sawazaki and appoint me as squad leader.\Now go on and do your background checks.\All I have to do is sit down and shut up, right?\Um, Anzai? response:	Can I have a minute?
