context: The enemy's strategy is simple in the extreme. response:	Use the shockwave from the Landing Castle impact to clear out the area,
context: Stupid primitives.\Bow down before the might of the gods.\Swear allegiance or be annihilated.\You have but two choices.\Pathetic...\How can this be happening?!\Those are Martian Kataphrakts!\We can't possibly beat these guys... We're insects to them. response:	We're no more than insects...
context: Bow down before the might of the gods.\Swear allegiance or be annihilated.\You have but two choices.\Pathetic...\How can this be happening?!\Those are Martian Kataphrakts!\We can't possibly beat these guys... We're insects to them.\We're no more than insects... response:	Child's play.
context: Swear allegiance or be annihilated.\You have but two choices.\Pathetic...\How can this be happening?!\Those are Martian Kataphrakts!\We can't possibly beat these guys... We're insects to them.\We're no more than insects...\Child's play. response:	Count Cruhteo.
context: You have but two choices.\Pathetic...\How can this be happening?!\Those are Martian Kataphrakts!\We can't possibly beat these guys... We're insects to them.\We're no more than insects...\Child's play.\Count Cruhteo. response:	We should begin our advance on Shinawara right away.
context: Pathetic...\How can this be happening?!\Those are Martian Kataphrakts!\We can't possibly beat these guys... We're insects to them.\We're no more than insects...\Child's play.\Count Cruhteo.\We should begin our advance on Shinawara right away. response:	If we plant our flag at the scene of Her Highness' tragic death,
context: How can this be happening?!\Those are Martian Kataphrakts!\We can't possibly beat these guys... We're insects to them.\We're no more than insects...\Child's play.\Count Cruhteo.\We should begin our advance on Shinawara right away.\If we plant our flag at the scene of Her Highness' tragic death, response:	it will solidify the righteousness of Vers' cause.
context: Those are Martian Kataphrakts!\We can't possibly beat these guys... We're insects to them.\We're no more than insects...\Child's play.\Count Cruhteo.\We should begin our advance on Shinawara right away.\If we plant our flag at the scene of Her Highness' tragic death,\it will solidify the righteousness of Vers' cause. response:	Indeed. I had intended to do so all along.
context: We can't possibly beat these guys... We're insects to them.\We're no more than insects...\Child's play.\Count Cruhteo.\We should begin our advance on Shinawara right away.\If we plant our flag at the scene of Her Highness' tragic death,\it will solidify the righteousness of Vers' cause.\Indeed. I had intended to do so all along. response:	However, the more pressing matter at hand is securing the drop site.
context: We're no more than insects...\Child's play.\Count Cruhteo.\We should begin our advance on Shinawara right away.\If we plant our flag at the scene of Her Highness' tragic death,\it will solidify the righteousness of Vers' cause.\Indeed. I had intended to do so all along.\However, the more pressing matter at hand is securing the drop site. response:	In that case, Count Cruhteo, please allow me that honor.
context: Child's play.\Count Cruhteo.\We should begin our advance on Shinawara right away.\If we plant our flag at the scene of Her Highness' tragic death,\it will solidify the righteousness of Vers' cause.\Indeed. I had intended to do so all along.\However, the more pressing matter at hand is securing the drop site.\In that case, Count Cruhteo, please allow me that honor. response:	This is the perfect opportunity to repay you for allowing me to impose on your hospitality these many years.
context: Count Cruhteo.\We should begin our advance on Shinawara right away.\If we plant our flag at the scene of Her Highness' tragic death,\it will solidify the righteousness of Vers' cause.\Indeed. I had intended to do so all along.\However, the more pressing matter at hand is securing the drop site.\In that case, Count Cruhteo, please allow me that honor.\This is the perfect opportunity to repay you for allowing me to impose on your hospitality these many years. response:	Then I shall delegate the task to you, Trillram.
context: We should begin our advance on Shinawara right away.\If we plant our flag at the scene of Her Highness' tragic death,\it will solidify the righteousness of Vers' cause.\Indeed. I had intended to do so all along.\However, the more pressing matter at hand is securing the drop site.\In that case, Count Cruhteo, please allow me that honor.\This is the perfect opportunity to repay you for allowing me to impose on your hospitality these many years.\Then I shall delegate the task to you, Trillram. response:	Apprehend this area's leaders and learn the details surrounding Her Highness' death.
context: If we plant our flag at the scene of Her Highness' tragic death,\it will solidify the righteousness of Vers' cause.\Indeed. I had intended to do so all along.\However, the more pressing matter at hand is securing the drop site.\In that case, Count Cruhteo, please allow me that honor.\This is the perfect opportunity to repay you for allowing me to impose on your hospitality these many years.\Then I shall delegate the task to you, Trillram.\Apprehend this area's leaders and learn the details surrounding Her Highness' death. response:	Yes, Milord!
context: it will solidify the righteousness of Vers' cause.\Indeed. I had intended to do so all along.\However, the more pressing matter at hand is securing the drop site.\In that case, Count Cruhteo, please allow me that honor.\This is the perfect opportunity to repay you for allowing me to impose on your hospitality these many years.\Then I shall delegate the task to you, Trillram.\Apprehend this area's leaders and learn the details surrounding Her Highness' death.\Yes, Milord! response:	This is a special report.
context: Indeed. I had intended to do so all along.\However, the more pressing matter at hand is securing the drop site.\In that case, Count Cruhteo, please allow me that honor.\This is the perfect opportunity to repay you for allowing me to impose on your hospitality these many years.\Then I shall delegate the task to you, Trillram.\Apprehend this area's leaders and learn the details surrounding Her Highness' death.\Yes, Milord!\This is a special report. response:	Moments ago, major cities around the world came under attack by Mars' Vers Imperial Forces.
context: However, the more pressing matter at hand is securing the drop site.\In that case, Count Cruhteo, please allow me that honor.\This is the perfect opportunity to repay you for allowing me to impose on your hospitality these many years.\Then I shall delegate the task to you, Trillram.\Apprehend this area's leaders and learn the details surrounding Her Highness' death.\Yes, Milord!\This is a special report.\Moments ago, major cities around the world came under attack by Mars' Vers Imperial Forces. response:	Due to a communication network disturbance of unknown origin
context: In that case, Count Cruhteo, please allow me that honor.\This is the perfect opportunity to repay you for allowing me to impose on your hospitality these many years.\Then I shall delegate the task to you, Trillram.\Apprehend this area's leaders and learn the details surrounding Her Highness' death.\Yes, Milord!\This is a special report.\Moments ago, major cities around the world came under attack by Mars' Vers Imperial Forces.\Due to a communication network disturbance of unknown origin response:	the extent of the damage to these cities is unclear at this time...
context: This is the perfect opportunity to repay you for allowing me to impose on your hospitality these many years.\Then I shall delegate the task to you, Trillram.\Apprehend this area's leaders and learn the details surrounding Her Highness' death.\Yes, Milord!\This is a special report.\Moments ago, major cities around the world came under attack by Mars' Vers Imperial Forces.\Due to a communication network disturbance of unknown origin\the extent of the damage to these cities is unclear at this time... response:	We have more than enough seats. Move in an orderly fashion.
context: Then I shall delegate the task to you, Trillram.\Apprehend this area's leaders and learn the details surrounding Her Highness' death.\Yes, Milord!\This is a special report.\Moments ago, major cities around the world came under attack by Mars' Vers Imperial Forces.\Due to a communication network disturbance of unknown origin\the extent of the damage to these cities is unclear at this time...\We have more than enough seats. Move in an orderly fashion. response:	Citizens of Shinawara City, an evacuation advisory is in effect.
context: Apprehend this area's leaders and learn the details surrounding Her Highness' death.\Yes, Milord!\This is a special report.\Moments ago, major cities around the world came under attack by Mars' Vers Imperial Forces.\Due to a communication network disturbance of unknown origin\the extent of the damage to these cities is unclear at this time...\We have more than enough seats. Move in an orderly fashion.\Citizens of Shinawara City, an evacuation advisory is in effect. response:	Is there anyone here who has not left yet?
context: Yes, Milord!\This is a special report.\Moments ago, major cities around the world came under attack by Mars' Vers Imperial Forces.\Due to a communication network disturbance of unknown origin\the extent of the damage to these cities is unclear at this time...\We have more than enough seats. Move in an orderly fashion.\Citizens of Shinawara City, an evacuation advisory is in effect.\Is there anyone here who has not left yet? response:	Tell me...
context: This is a special report.\Moments ago, major cities around the world came under attack by Mars' Vers Imperial Forces.\Due to a communication network disturbance of unknown origin\the extent of the damage to these cities is unclear at this time...\We have more than enough seats. Move in an orderly fashion.\Citizens of Shinawara City, an evacuation advisory is in effect.\Is there anyone here who has not left yet?\Tell me... response:	We will be happy to take the infirm or elderly to the ferry pier.
context: Moments ago, major cities around the world came under attack by Mars' Vers Imperial Forces.\Due to a communication network disturbance of unknown origin\the extent of the damage to these cities is unclear at this time...\We have more than enough seats. Move in an orderly fashion.\Citizens of Shinawara City, an evacuation advisory is in effect.\Is there anyone here who has not left yet?\Tell me...\We will be happy to take the infirm or elderly to the ferry pier. response:	Why were we roped into doing this?
context: Due to a communication network disturbance of unknown origin\the extent of the damage to these cities is unclear at this time...\We have more than enough seats. Move in an orderly fashion.\Citizens of Shinawara City, an evacuation advisory is in effect.\Is there anyone here who has not left yet?\Tell me...\We will be happy to take the infirm or elderly to the ferry pier.\Why were we roped into doing this? response:	We had to, they're shorthanded.
context: the extent of the damage to these cities is unclear at this time...\We have more than enough seats. Move in an orderly fashion.\Citizens of Shinawara City, an evacuation advisory is in effect.\Is there anyone here who has not left yet?\Tell me...\We will be happy to take the infirm or elderly to the ferry pier.\Why were we roped into doing this?\We had to, they're shorthanded. response:	And I can't say no to Inko.
context: We have more than enough seats. Move in an orderly fashion.\Citizens of Shinawara City, an evacuation advisory is in effect.\Is there anyone here who has not left yet?\Tell me...\We will be happy to take the infirm or elderly to the ferry pier.\Why were we roped into doing this?\We had to, they're shorthanded.\And I can't say no to Inko. response:	I'll take helping out the student council any day.
context: Citizens of Shinawara City, an evacuation advisory is in effect.\Is there anyone here who has not left yet?\Tell me...\We will be happy to take the infirm or elderly to the ferry pier.\Why were we roped into doing this?\We had to, they're shorthanded.\And I can't say no to Inko.\I'll take helping out the student council any day. response:	The fighting's ramping up. Are we gonna get drafted someday?
context: Is there anyone here who has not left yet?\Tell me...\We will be happy to take the infirm or elderly to the ferry pier.\Why were we roped into doing this?\We had to, they're shorthanded.\And I can't say no to Inko.\I'll take helping out the student council any day.\The fighting's ramping up. Are we gonna get drafted someday? response:	No way. You're not put in the Reserves until after you graduate high school, right?
context: Tell me...\We will be happy to take the infirm or elderly to the ferry pier.\Why were we roped into doing this?\We had to, they're shorthanded.\And I can't say no to Inko.\I'll take helping out the student council any day.\The fighting's ramping up. Are we gonna get drafted someday?\No way. You're not put in the Reserves until after you graduate high school, right? response:	Well, maybe if the fighting drags on and there's a shortage of troops...
context: We will be happy to take the infirm or elderly to the ferry pier.\Why were we roped into doing this?\We had to, they're shorthanded.\And I can't say no to Inko.\I'll take helping out the student council any day.\The fighting's ramping up. Are we gonna get drafted someday?\No way. You're not put in the Reserves until after you graduate high school, right?\Well, maybe if the fighting drags on and there's a shortage of troops... response:	Inko. Family spotted at 10 o'clock.
context: Why were we roped into doing this?\We had to, they're shorthanded.\And I can't say no to Inko.\I'll take helping out the student council any day.\The fighting's ramping up. Are we gonna get drafted someday?\No way. You're not put in the Reserves until after you graduate high school, right?\Well, maybe if the fighting drags on and there's a shortage of troops...\Inko. Family spotted at 10 o'clock. response:	Dude, seriously? Fucking Martians...
context: We had to, they're shorthanded.\And I can't say no to Inko.\I'll take helping out the student council any day.\The fighting's ramping up. Are we gonna get drafted someday?\No way. You're not put in the Reserves until after you graduate high school, right?\Well, maybe if the fighting drags on and there's a shortage of troops...\Inko. Family spotted at 10 o'clock.\Dude, seriously? Fucking Martians... response:	Like I said, we got put on standby, so I can't leave.
context: And I can't say no to Inko.\I'll take helping out the student council any day.\The fighting's ramping up. Are we gonna get drafted someday?\No way. You're not put in the Reserves until after you graduate high school, right?\Well, maybe if the fighting drags on and there's a shortage of troops...\Inko. Family spotted at 10 o'clock.\Dude, seriously? Fucking Martians...\Like I said, we got put on standby, so I can't leave. response:	I thought the plan was to leave town in your car, Yuki.
context: I'll take helping out the student council any day.\The fighting's ramping up. Are we gonna get drafted someday?\No way. You're not put in the Reserves until after you graduate high school, right?\Well, maybe if the fighting drags on and there's a shortage of troops...\Inko. Family spotted at 10 o'clock.\Dude, seriously? Fucking Martians...\Like I said, we got put on standby, so I can't leave.\I thought the plan was to leave town in your car, Yuki. response:	Wait, don't tell me you're still at our house, Nao!
context: The fighting's ramping up. Are we gonna get drafted someday?\No way. You're not put in the Reserves until after you graduate high school, right?\Well, maybe if the fighting drags on and there's a shortage of troops...\Inko. Family spotted at 10 o'clock.\Dude, seriously? Fucking Martians...\Like I said, we got put on standby, so I can't leave.\I thought the plan was to leave town in your car, Yuki.\Wait, don't tell me you're still at our house, Nao! response:	Why didn't you evacuate with everyone else?
context: No way. You're not put in the Reserves until after you graduate high school, right?\Well, maybe if the fighting drags on and there's a shortage of troops...\Inko. Family spotted at 10 o'clock.\Dude, seriously? Fucking Martians...\Like I said, we got put on standby, so I can't leave.\I thought the plan was to leave town in your car, Yuki.\Wait, don't tell me you're still at our house, Nao!\Why didn't you evacuate with everyone else? response:	Oh, right, I could have done that...
context: Well, maybe if the fighting drags on and there's a shortage of troops...\Inko. Family spotted at 10 o'clock.\Dude, seriously? Fucking Martians...\Like I said, we got put on standby, so I can't leave.\I thought the plan was to leave town in your car, Yuki.\Wait, don't tell me you're still at our house, Nao!\Why didn't you evacuate with everyone else?\Oh, right, I could have done that... response:	Make decisions as circumstances dictate! If you have to, trust your gut and make the call!
context: Inko. Family spotted at 10 o'clock.\Dude, seriously? Fucking Martians...\Like I said, we got put on standby, so I can't leave.\I thought the plan was to leave town in your car, Yuki.\Wait, don't tell me you're still at our house, Nao!\Why didn't you evacuate with everyone else?\Oh, right, I could have done that...\Make decisions as circumstances dictate! If you have to, trust your gut and make the call! response:	Isn't that always my advice to you?
context: Dude, seriously? Fucking Martians...\Like I said, we got put on standby, so I can't leave.\I thought the plan was to leave town in your car, Yuki.\Wait, don't tell me you're still at our house, Nao!\Why didn't you evacuate with everyone else?\Oh, right, I could have done that...\Make decisions as circumstances dictate! If you have to, trust your gut and make the call!\Isn't that always my advice to you? response:	Penivia...
context: Like I said, we got put on standby, so I can't leave.\I thought the plan was to leave town in your car, Yuki.\Wait, don't tell me you're still at our house, Nao!\Why didn't you evacuate with everyone else?\Oh, right, I could have done that...\Make decisions as circumstances dictate! If you have to, trust your gut and make the call!\Isn't that always my advice to you?\Penivia... response:	What?
context: I thought the plan was to leave town in your car, Yuki.\Wait, don't tell me you're still at our house, Nao!\Why didn't you evacuate with everyone else?\Oh, right, I could have done that...\Make decisions as circumstances dictate! If you have to, trust your gut and make the call!\Isn't that always my advice to you?\Penivia...\What? response:	Never mind. I'll get a lift from one of the transports that are patrolling the area.
context: Wait, don't tell me you're still at our house, Nao!\Why didn't you evacuate with everyone else?\Oh, right, I could have done that...\Make decisions as circumstances dictate! If you have to, trust your gut and make the call!\Isn't that always my advice to you?\Penivia...\What?\Never mind. I'll get a lift from one of the transports that are patrolling the area. response:	Be careful.
context: Why didn't you evacuate with everyone else?\Oh, right, I could have done that...\Make decisions as circumstances dictate! If you have to, trust your gut and make the call!\Isn't that always my advice to you?\Penivia...\What?\Never mind. I'll get a lift from one of the transports that are patrolling the area.\Be careful. response:	You, too.
context: Oh, right, I could have done that...\Make decisions as circumstances dictate! If you have to, trust your gut and make the call!\Isn't that always my advice to you?\Penivia...\What?\Never mind. I'll get a lift from one of the transports that are patrolling the area.\Be careful.\You, too. response:	Excuse me.
context: Make decisions as circumstances dictate! If you have to, trust your gut and make the call!\Isn't that always my advice to you?\Penivia...\What?\Never mind. I'll get a lift from one of the transports that are patrolling the area.\Be careful.\You, too.\Excuse me. response:	You really should flee the area.
context: Isn't that always my advice to you?\Penivia...\What?\Never mind. I'll get a lift from one of the transports that are patrolling the area.\Be careful.\You, too.\Excuse me.\You really should flee the area. response:	An evacuation advisory is in effect for the entire Shinawara area.
context: Penivia...\What?\Never mind. I'll get a lift from one of the transports that are patrolling the area.\Be careful.\You, too.\Excuse me.\You really should flee the area.\An evacuation advisory is in effect for the entire Shinawara area. response:	Are you tourists?
context: What?\Never mind. I'll get a lift from one of the transports that are patrolling the area.\Be careful.\You, too.\Excuse me.\You really should flee the area.\An evacuation advisory is in effect for the entire Shinawara area.\Are you tourists? response:	Do you speak
context: Never mind. I'll get a lift from one of the transports that are patrolling the area.\Be careful.\You, too.\Excuse me.\You really should flee the area.\An evacuation advisory is in effect for the entire Shinawara area.\Are you tourists?\Do you speak response:	My apologies.
context: Be careful.\You, too.\Excuse me.\You really should flee the area.\An evacuation advisory is in effect for the entire Shinawara area.\Are you tourists?\Do you speak\My apologies. response:	Ah, you do understand me.
context: You, too.\Excuse me.\You really should flee the area.\An evacuation advisory is in effect for the entire Shinawara area.\Are you tourists?\Do you speak\My apologies.\Ah, you do understand me. response:	Yes, thank you for your kindness.
context: Excuse me.\You really should flee the area.\An evacuation advisory is in effect for the entire Shinawara area.\Are you tourists?\Do you speak\My apologies.\Ah, you do understand me.\Yes, thank you for your kindness. response:	Meaning no disrespect, of course, but might I ask you a few questions while I have you like this?
context: You really should flee the area.\An evacuation advisory is in effect for the entire Shinawara area.\Are you tourists?\Do you speak\My apologies.\Ah, you do understand me.\Yes, thank you for your kindness.\Meaning no disrespect, of course, but might I ask you a few questions while I have you like this? response:	Be my guest.
context: An evacuation advisory is in effect for the entire Shinawara area.\Are you tourists?\Do you speak\My apologies.\Ah, you do understand me.\Yes, thank you for your kindness.\Meaning no disrespect, of course, but might I ask you a few questions while I have you like this?\Be my guest. response:	What is this evacuation advisory?
context: Are you tourists?\Do you speak\My apologies.\Ah, you do understand me.\Yes, thank you for your kindness.\Meaning no disrespect, of course, but might I ask you a few questions while I have you like this?\Be my guest.\What is this evacuation advisory? response:	They say that Tokyo has fallen because of the Martian attack.
context: Do you speak\My apologies.\Ah, you do understand me.\Yes, thank you for your kindness.\Meaning no disrespect, of course, but might I ask you a few questions while I have you like this?\Be my guest.\What is this evacuation advisory?\They say that Tokyo has fallen because of the Martian attack. response:	This area is in danger, too.
context: My apologies.\Ah, you do understand me.\Yes, thank you for your kindness.\Meaning no disrespect, of course, but might I ask you a few questions while I have you like this?\Be my guest.\What is this evacuation advisory?\They say that Tokyo has fallen because of the Martian attack.\This area is in danger, too. response:	We wish to go to the proper authorities and inform our people that we are safe.
context: Ah, you do understand me.\Yes, thank you for your kindness.\Meaning no disrespect, of course, but might I ask you a few questions while I have you like this?\Be my guest.\What is this evacuation advisory?\They say that Tokyo has fallen because of the Martian attack.\This area is in danger, too.\We wish to go to the proper authorities and inform our people that we are safe. response:	Your embassy, you mean?
context: Yes, thank you for your kindness.\Meaning no disrespect, of course, but might I ask you a few questions while I have you like this?\Be my guest.\What is this evacuation advisory?\They say that Tokyo has fallen because of the Martian attack.\This area is in danger, too.\We wish to go to the proper authorities and inform our people that we are safe.\Your embassy, you mean? response:	Given the situation, I don't think they're open.
context: Meaning no disrespect, of course, but might I ask you a few questions while I have you like this?\Be my guest.\What is this evacuation advisory?\They say that Tokyo has fallen because of the Martian attack.\This area is in danger, too.\We wish to go to the proper authorities and inform our people that we are safe.\Your embassy, you mean?\Given the situation, I don't think they're open. response:	Ever since the assassination of the Vers crown princess yesterday, the U.E. has
context: Be my guest.\What is this evacuation advisory?\They say that Tokyo has fallen because of the Martian attack.\This area is in danger, too.\We wish to go to the proper authorities and inform our people that we are safe.\Your embassy, you mean?\Given the situation, I don't think they're open.\Ever since the assassination of the Vers crown princess yesterday, the U.E. has response:	Princess Asseylum is
context: What is this evacuation advisory?\They say that Tokyo has fallen because of the Martian attack.\This area is in danger, too.\We wish to go to the proper authorities and inform our people that we are safe.\Your embassy, you mean?\Given the situation, I don't think they're open.\Ever since the assassination of the Vers crown princess yesterday, the U.E. has\Princess Asseylum is response:	She is alive. She did not take part in the parade.
context: They say that Tokyo has fallen because of the Martian attack.\This area is in danger, too.\We wish to go to the proper authorities and inform our people that we are safe.\Your embassy, you mean?\Given the situation, I don't think they're open.\Ever since the assassination of the Vers crown princess yesterday, the U.E. has\Princess Asseylum is\She is alive. She did not take part in the parade. response:	The unaccustomed gravity of Earth made her feel ill,
context: This area is in danger, too.\We wish to go to the proper authorities and inform our people that we are safe.\Your embassy, you mean?\Given the situation, I don't think they're open.\Ever since the assassination of the Vers crown princess yesterday, the U.E. has\Princess Asseylum is\She is alive. She did not take part in the parade.\The unaccustomed gravity of Earth made her feel ill, response:	and so a double took her place...
context: We wish to go to the proper authorities and inform our people that we are safe.\Your embassy, you mean?\Given the situation, I don't think they're open.\Ever since the assassination of the Vers crown princess yesterday, the U.E. has\Princess Asseylum is\She is alive. She did not take part in the parade.\The unaccustomed gravity of Earth made her feel ill,\and so a double took her place... response:	I know how she feels...
context: Your embassy, you mean?\Given the situation, I don't think they're open.\Ever since the assassination of the Vers crown princess yesterday, the U.E. has\Princess Asseylum is\She is alive. She did not take part in the parade.\The unaccustomed gravity of Earth made her feel ill,\and so a double took her place...\I know how she feels... response:	That's a novel hypothesis.
