context: Budogaoka Bank response:	Great Year-End Lottery
context: This is the promissory note for five million yen.\Morioh Station Branch\As it states on the paperwork, you'll be able to cash it in three days.\Promissory Note\Budogaoka Bank Morioh Station Branch\Total\Please pay the amount stated above in exchange for this promissory note.\One, ten, hundred, thousand... response:	Th-There are six zeros...
context: Morioh Station Branch\As it states on the paperwork, you'll be able to cash it in three days.\Promissory Note\Budogaoka Bank Morioh Station Branch\Total\Please pay the amount stated above in exchange for this promissory note.\One, ten, hundred, thousand...\Th-There are six zeros... response:	JoJo's Bizarre Adventure
context: As it states on the paperwork, you'll be able to cash it in three days.\Promissory Note\Budogaoka Bank Morioh Station Branch\Total\Please pay the amount stated above in exchange for this promissory note.\One, ten, hundred, thousand...\Th-There are six zeros...\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: Promissory Note\Budogaoka Bank Morioh Station Branch\Total\Please pay the amount stated above in exchange for this promissory note.\One, ten, hundred, thousand...\Th-There are six zeros...\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Jojo's Bizarre Adventure
context: Budogaoka Bank Morioh Station Branch\Total\Please pay the amount stated above in exchange for this promissory note.\One, ten, hundred, thousand...\Th-There are six zeros...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Total\Please pay the amount stated above in exchange for this promissory note.\One, ten, hundred, thousand...\Th-There are six zeros...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 19 Shigechi's Harvest, Part 2
context: Please pay the amount stated above in exchange for this promissory note.\One, ten, hundred, thousand...\Th-There are six zeros...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 19 Shigechi's Harvest, Part 2 response:	Now, I do have one question...
context: One, ten, hundred, thousand...\Th-There are six zeros...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 19 Shigechi's Harvest, Part 2\Now, I do have one question... response:	Reception Office
context: Th-There are six zeros...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 19 Shigechi's Harvest, Part 2\Now, I do have one question...\Reception Office response:	From which vendor did you gentlemen purchase this ticket?
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 19 Shigechi's Harvest, Part 2\Now, I do have one question...\Reception Office\From which vendor did you gentlemen purchase this ticket? response:	Sniff, sniff.
context: Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 19 Shigechi's Harvest, Part 2\Now, I do have one question...\Reception Office\From which vendor did you gentlemen purchase this ticket?\Sniff, sniff. response:	Wh-Which?
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 19 Shigechi's Harvest, Part 2\Now, I do have one question...\Reception Office\From which vendor did you gentlemen purchase this ticket?\Sniff, sniff.\Wh-Which? response:	Wh-Why do you want to know that?
context: Diamond is Unbreakable\Episode 19 Shigechi's Harvest, Part 2\Now, I do have one question...\Reception Office\From which vendor did you gentlemen purchase this ticket?\Sniff, sniff.\Wh-Which?\Wh-Why do you want to know that? response:	Oh, it's just a formality.
context: Episode 19 Shigechi's Harvest, Part 2\Now, I do have one question...\Reception Office\From which vendor did you gentlemen purchase this ticket?\Sniff, sniff.\Wh-Which?\Wh-Why do you want to know that?\Oh, it's just a formality. response:	You stupid little brats.
context: Now, I do have one question...\Reception Office\From which vendor did you gentlemen purchase this ticket?\Sniff, sniff.\Wh-Which?\Wh-Why do you want to know that?\Oh, it's just a formality.\You stupid little brats. response:	You won five million yen? That's too fishy.
context: Reception Office\From which vendor did you gentlemen purchase this ticket?\Sniff, sniff.\Wh-Which?\Wh-Why do you want to know that?\Oh, it's just a formality.\You stupid little brats.\You won five million yen? That's too fishy. response:	I'm a very capable bank associate, and I smell something rotten here.
context: From which vendor did you gentlemen purchase this ticket?\Sniff, sniff.\Wh-Which?\Wh-Why do you want to know that?\Oh, it's just a formality.\You stupid little brats.\You won five million yen? That's too fishy.\I'm a very capable bank associate, and I smell something rotten here. response:	Or perhaps
context: Sniff, sniff.\Wh-Which?\Wh-Why do you want to know that?\Oh, it's just a formality.\You stupid little brats.\You won five million yen? That's too fishy.\I'm a very capable bank associate, and I smell something rotten here.\Or perhaps response:	there's a reason you'd rather not answer that question?
context: Wh-Which?\Wh-Why do you want to know that?\Oh, it's just a formality.\You stupid little brats.\You won five million yen? That's too fishy.\I'm a very capable bank associate, and I smell something rotten here.\Or perhaps\there's a reason you'd rather not answer that question? response:	W-Well, of course we bought it in Morioh.
context: Wh-Why do you want to know that?\Oh, it's just a formality.\You stupid little brats.\You won five million yen? That's too fishy.\I'm a very capable bank associate, and I smell something rotten here.\Or perhaps\there's a reason you'd rather not answer that question?\W-Well, of course we bought it in Morioh. response:	Oh? Well, that's bizarre...
context: Oh, it's just a formality.\You stupid little brats.\You won five million yen? That's too fishy.\I'm a very capable bank associate, and I smell something rotten here.\Or perhaps\there's a reason you'd rather not answer that question?\W-Well, of course we bought it in Morioh.\Oh? Well, that's bizarre... response:	There isn't a single lottery vendor in Morioh.
context: You stupid little brats.\You won five million yen? That's too fishy.\I'm a very capable bank associate, and I smell something rotten here.\Or perhaps\there's a reason you'd rather not answer that question?\W-Well, of course we bought it in Morioh.\Oh? Well, that's bizarre...\There isn't a single lottery vendor in Morioh. response:	O-Oh, right...
context: You won five million yen? That's too fishy.\I'm a very capable bank associate, and I smell something rotten here.\Or perhaps\there's a reason you'd rather not answer that question?\W-Well, of course we bought it in Morioh.\Oh? Well, that's bizarre...\There isn't a single lottery vendor in Morioh.\O-Oh, right... response:	It must have been when we went to S City.
context: I'm a very capable bank associate, and I smell something rotten here.\Or perhaps\there's a reason you'd rather not answer that question?\W-Well, of course we bought it in Morioh.\Oh? Well, that's bizarre...\There isn't a single lottery vendor in Morioh.\O-Oh, right...\It must have been when we went to S City. response:	We bought all kinds of things, so I don't remember that well...
context: Or perhaps\there's a reason you'd rather not answer that question?\W-Well, of course we bought it in Morioh.\Oh? Well, that's bizarre...\There isn't a single lottery vendor in Morioh.\O-Oh, right...\It must have been when we went to S City.\We bought all kinds of things, so I don't remember that well... response:	I-I-I-I-I-It was a while back, too...
context: there's a reason you'd rather not answer that question?\W-Well, of course we bought it in Morioh.\Oh? Well, that's bizarre...\There isn't a single lottery vendor in Morioh.\O-Oh, right...\It must have been when we went to S City.\We bought all kinds of things, so I don't remember that well...\I-I-I-I-I-It was a while back, too... response:	I just realized something bizarre...
context: W-Well, of course we bought it in Morioh.\Oh? Well, that's bizarre...\There isn't a single lottery vendor in Morioh.\O-Oh, right...\It must have been when we went to S City.\We bought all kinds of things, so I don't remember that well...\I-I-I-I-I-It was a while back, too...\I just realized something bizarre... response:	On the other side of the lottery ticket,
context: Oh? Well, that's bizarre...\There isn't a single lottery vendor in Morioh.\O-Oh, right...\It must have been when we went to S City.\We bought all kinds of things, so I don't remember that well...\I-I-I-I-I-It was a while back, too...\I just realized something bizarre...\On the other side of the lottery ticket, response:	there's a place to write your name and telephone number, and...
context: There isn't a single lottery vendor in Morioh.\O-Oh, right...\It must have been when we went to S City.\We bought all kinds of things, so I don't remember that well...\I-I-I-I-I-It was a while back, too...\I just realized something bizarre...\On the other side of the lottery ticket,\there's a place to write your name and telephone number, and... response:	Ichiro Morishita
context: O-Oh, right...\It must have been when we went to S City.\We bought all kinds of things, so I don't remember that well...\I-I-I-I-I-It was a while back, too...\I just realized something bizarre...\On the other side of the lottery ticket,\there's a place to write your name and telephone number, and...\Ichiro Morishita response:	Ichiro Morishita...
context: It must have been when we went to S City.\We bought all kinds of things, so I don't remember that well...\I-I-I-I-I-It was a while back, too...\I just realized something bizarre...\On the other side of the lottery ticket,\there's a place to write your name and telephone number, and...\Ichiro Morishita\Ichiro Morishita... response:	The name written here doesn't match any of your names.
context: We bought all kinds of things, so I don't remember that well...\I-I-I-I-I-It was a while back, too...\I just realized something bizarre...\On the other side of the lottery ticket,\there's a place to write your name and telephone number, and...\Ichiro Morishita\Ichiro Morishita...\The name written here doesn't match any of your names. response:	N-Name?!
context: I-I-I-I-I-It was a while back, too...\I just realized something bizarre...\On the other side of the lottery ticket,\there's a place to write your name and telephone number, and...\Ichiro Morishita\Ichiro Morishita...\The name written here doesn't match any of your names.\N-Name?! response:	Phone number?!
context: I just realized something bizarre...\On the other side of the lottery ticket,\there's a place to write your name and telephone number, and...\Ichiro Morishita\Ichiro Morishita...\The name written here doesn't match any of your names.\N-Name?!\Phone number?! response:	That was written on the back?!
context: On the other side of the lottery ticket,\there's a place to write your name and telephone number, and...\Ichiro Morishita\Ichiro Morishita...\The name written here doesn't match any of your names.\N-Name?!\Phone number?!\That was written on the back?! response:	E-Er...
context: there's a place to write your name and telephone number, and...\Ichiro Morishita\Ichiro Morishita...\The name written here doesn't match any of your names.\N-Name?!\Phone number?!\That was written on the back?!\E-Er... response:	Well, well, well, well, this is truly bizarre.
context: Ichiro Morishita\Ichiro Morishita...\The name written here doesn't match any of your names.\N-Name?!\Phone number?!\That was written on the back?!\E-Er...\Well, well, well, well, this is truly bizarre. response:	This is your lottery ticket, isn't it?
context: Ichiro Morishita...\The name written here doesn't match any of your names.\N-Name?!\Phone number?!\That was written on the back?!\E-Er...\Well, well, well, well, this is truly bizarre.\This is your lottery ticket, isn't it? response:	Oh, yeah! Now I remember!
context: The name written here doesn't match any of your names.\N-Name?!\Phone number?!\That was written on the back?!\E-Er...\Well, well, well, well, this is truly bizarre.\This is your lottery ticket, isn't it?\Oh, yeah! Now I remember! response:	I wrote down my friend's number on that instead of a memo pad!
context: N-Name?!\Phone number?!\That was written on the back?!\E-Er...\Well, well, well, well, this is truly bizarre.\This is your lottery ticket, isn't it?\Oh, yeah! Now I remember!\I wrote down my friend's number on that instead of a memo pad! response:	Oh! Is that so?
context: Phone number?!\That was written on the back?!\E-Er...\Well, well, well, well, this is truly bizarre.\This is your lottery ticket, isn't it?\Oh, yeah! Now I remember!\I wrote down my friend's number on that instead of a memo pad!\Oh! Is that so? response:	Then how about we give Mr. Ichiro Morishita a call?
context: That was written on the back?!\E-Er...\Well, well, well, well, this is truly bizarre.\This is your lottery ticket, isn't it?\Oh, yeah! Now I remember!\I wrote down my friend's number on that instead of a memo pad!\Oh! Is that so?\Then how about we give Mr. Ichiro Morishita a call? response:	We can also tell where
context: E-Er...\Well, well, well, well, this is truly bizarre.\This is your lottery ticket, isn't it?\Oh, yeah! Now I remember!\I wrote down my friend's number on that instead of a memo pad!\Oh! Is that so?\Then how about we give Mr. Ichiro Morishita a call?\We can also tell where response:	lottery tickets are purchased with the serial number here.
context: Well, well, well, well, this is truly bizarre.\This is your lottery ticket, isn't it?\Oh, yeah! Now I remember!\I wrote down my friend's number on that instead of a memo pad!\Oh! Is that so?\Then how about we give Mr. Ichiro Morishita a call?\We can also tell where\lottery tickets are purchased with the serial number here. response:	If Mr. Ichiro Morishita was the one who purchased this ticket
context: This is your lottery ticket, isn't it?\Oh, yeah! Now I remember!\I wrote down my friend's number on that instead of a memo pad!\Oh! Is that so?\Then how about we give Mr. Ichiro Morishita a call?\We can also tell where\lottery tickets are purchased with the serial number here.\If Mr. Ichiro Morishita was the one who purchased this ticket response:	and remembers exactly where he bought it,
context: Oh, yeah! Now I remember!\I wrote down my friend's number on that instead of a memo pad!\Oh! Is that so?\Then how about we give Mr. Ichiro Morishita a call?\We can also tell where\lottery tickets are purchased with the serial number here.\If Mr. Ichiro Morishita was the one who purchased this ticket\and remembers exactly where he bought it, response:	we'll then have to check this signature, too...
context: I wrote down my friend's number on that instead of a memo pad!\Oh! Is that so?\Then how about we give Mr. Ichiro Morishita a call?\We can also tell where\lottery tickets are purchased with the serial number here.\If Mr. Ichiro Morishita was the one who purchased this ticket\and remembers exactly where he bought it,\we'll then have to check this signature, too... response:	To see who this ticket belongs to.
context: Oh! Is that so?\Then how about we give Mr. Ichiro Morishita a call?\We can also tell where\lottery tickets are purchased with the serial number here.\If Mr. Ichiro Morishita was the one who purchased this ticket\and remembers exactly where he bought it,\we'll then have to check this signature, too...\To see who this ticket belongs to. response:	Depending on the situation, we may have to turn it over to the police.
context: Then how about we give Mr. Ichiro Morishita a call?\We can also tell where\lottery tickets are purchased with the serial number here.\If Mr. Ichiro Morishita was the one who purchased this ticket\and remembers exactly where he bought it,\we'll then have to check this signature, too...\To see who this ticket belongs to.\Depending on the situation, we may have to turn it over to the police. response:	The police?!
context: We can also tell where\lottery tickets are purchased with the serial number here.\If Mr. Ichiro Morishita was the one who purchased this ticket\and remembers exactly where he bought it,\we'll then have to check this signature, too...\To see who this ticket belongs to.\Depending on the situation, we may have to turn it over to the police.\The police?! response:	Hello? This is Morishita.
context: lottery tickets are purchased with the serial number here.\If Mr. Ichiro Morishita was the one who purchased this ticket\and remembers exactly where he bought it,\we'll then have to check this signature, too...\To see who this ticket belongs to.\Depending on the situation, we may have to turn it over to the police.\The police?!\Hello? This is Morishita. response:	Hello, I'm calling on behalf of Budogaoka Bank.
context: If Mr. Ichiro Morishita was the one who purchased this ticket\and remembers exactly where he bought it,\we'll then have to check this signature, too...\To see who this ticket belongs to.\Depending on the situation, we may have to turn it over to the police.\The police?!\Hello? This is Morishita.\Hello, I'm calling on behalf of Budogaoka Bank. response:	I wanted to inquire if Mr. Ichiro Morishita
context: and remembers exactly where he bought it,\we'll then have to check this signature, too...\To see who this ticket belongs to.\Depending on the situation, we may have to turn it over to the police.\The police?!\Hello? This is Morishita.\Hello, I'm calling on behalf of Budogaoka Bank.\I wanted to inquire if Mr. Ichiro Morishita response:	had purchased the Great Year-End Lottery ticket.
context: we'll then have to check this signature, too...\To see who this ticket belongs to.\Depending on the situation, we may have to turn it over to the police.\The police?!\Hello? This is Morishita.\Hello, I'm calling on behalf of Budogaoka Bank.\I wanted to inquire if Mr. Ichiro Morishita\had purchased the Great Year-End Lottery ticket. response:	Oh, I'm Ichiro Morishita, and yes, I bought one.
context: To see who this ticket belongs to.\Depending on the situation, we may have to turn it over to the police.\The police?!\Hello? This is Morishita.\Hello, I'm calling on behalf of Budogaoka Bank.\I wanted to inquire if Mr. Ichiro Morishita\had purchased the Great Year-End Lottery ticket.\Oh, I'm Ichiro Morishita, and yes, I bought one. response:	Yeah, I'm sure I bought one.
context: Depending on the situation, we may have to turn it over to the police.\The police?!\Hello? This is Morishita.\Hello, I'm calling on behalf of Budogaoka Bank.\I wanted to inquire if Mr. Ichiro Morishita\had purchased the Great Year-End Lottery ticket.\Oh, I'm Ichiro Morishita, and yes, I bought one.\Yeah, I'm sure I bought one. response:	Yes! You stupid little brats!
context: The police?!\Hello? This is Morishita.\Hello, I'm calling on behalf of Budogaoka Bank.\I wanted to inquire if Mr. Ichiro Morishita\had purchased the Great Year-End Lottery ticket.\Oh, I'm Ichiro Morishita, and yes, I bought one.\Yeah, I'm sure I bought one.\Yes! You stupid little brats! response:	My sense of smell was correct!
context: Hello? This is Morishita.\Hello, I'm calling on behalf of Budogaoka Bank.\I wanted to inquire if Mr. Ichiro Morishita\had purchased the Great Year-End Lottery ticket.\Oh, I'm Ichiro Morishita, and yes, I bought one.\Yeah, I'm sure I bought one.\Yes! You stupid little brats!\My sense of smell was correct! response:	There's no way God would grant brats like you the winning ticket!
context: Hello, I'm calling on behalf of Budogaoka Bank.\I wanted to inquire if Mr. Ichiro Morishita\had purchased the Great Year-End Lottery ticket.\Oh, I'm Ichiro Morishita, and yes, I bought one.\Yeah, I'm sure I bought one.\Yes! You stupid little brats!\My sense of smell was correct!\There's no way God would grant brats like you the winning ticket! response:	Morishita
context: I wanted to inquire if Mr. Ichiro Morishita\had purchased the Great Year-End Lottery ticket.\Oh, I'm Ichiro Morishita, and yes, I bought one.\Yeah, I'm sure I bought one.\Yes! You stupid little brats!\My sense of smell was correct!\There's no way God would grant brats like you the winning ticket!\Morishita response:	So you did! You bought a lottery ticket.
context: had purchased the Great Year-End Lottery ticket.\Oh, I'm Ichiro Morishita, and yes, I bought one.\Yeah, I'm sure I bought one.\Yes! You stupid little brats!\My sense of smell was correct!\There's no way God would grant brats like you the winning ticket!\Morishita\So you did! You bought a lottery ticket. response:	Yeah, I did.
context: Oh, I'm Ichiro Morishita, and yes, I bought one.\Yeah, I'm sure I bought one.\Yes! You stupid little brats!\My sense of smell was correct!\There's no way God would grant brats like you the winning ticket!\Morishita\So you did! You bought a lottery ticket.\Yeah, I did. response:	Morishita Ichiro
context: Yeah, I'm sure I bought one.\Yes! You stupid little brats!\My sense of smell was correct!\There's no way God would grant brats like you the winning ticket!\Morishita\So you did! You bought a lottery ticket.\Yeah, I did.\Morishita Ichiro response:	But I bought like, ten, and none of them were winners.
context: Yes! You stupid little brats!\My sense of smell was correct!\There's no way God would grant brats like you the winning ticket!\Morishita\So you did! You bought a lottery ticket.\Yeah, I did.\Morishita Ichiro\But I bought like, ten, and none of them were winners. response:	I'm going to change just part of the signature...
context: My sense of smell was correct!\There's no way God would grant brats like you the winning ticket!\Morishita\So you did! You bought a lottery ticket.\Yeah, I did.\Morishita Ichiro\But I bought like, ten, and none of them were winners.\I'm going to change just part of the signature... response:	Kinoshita Ichiro
context: There's no way God would grant brats like you the winning ticket!\Morishita\So you did! You bought a lottery ticket.\Yeah, I did.\Morishita Ichiro\But I bought like, ten, and none of them were winners.\I'm going to change just part of the signature...\Kinoshita Ichiro response:	You see, Mr. Kinoshita, your lottery ticket...
context: Morishita\So you did! You bought a lottery ticket.\Yeah, I did.\Morishita Ichiro\But I bought like, ten, and none of them were winners.\I'm going to change just part of the signature...\Kinoshita Ichiro\You see, Mr. Kinoshita, your lottery ticket... response:	Kinoshita? My name's Morishita.
context: So you did! You bought a lottery ticket.\Yeah, I did.\Morishita Ichiro\But I bought like, ten, and none of them were winners.\I'm going to change just part of the signature...\Kinoshita Ichiro\You see, Mr. Kinoshita, your lottery ticket...\Kinoshita? My name's Morishita. response:	Huh? But it said Mori! What? How strange...
context: Yeah, I did.\Morishita Ichiro\But I bought like, ten, and none of them were winners.\I'm going to change just part of the signature...\Kinoshita Ichiro\You see, Mr. Kinoshita, your lottery ticket...\Kinoshita? My name's Morishita.\Huh? But it said Mori! What? How strange... response:	Your phone number is 1771-1281, correct, Mr. Kinoshita?
context: Morishita Ichiro\But I bought like, ten, and none of them were winners.\I'm going to change just part of the signature...\Kinoshita Ichiro\You see, Mr. Kinoshita, your lottery ticket...\Kinoshita? My name's Morishita.\Huh? But it said Mori! What? How strange...\Your phone number is 1771-1281, correct, Mr. Kinoshita? response:	I told you my name's not Kinoshita, you dumbass!
context: But I bought like, ten, and none of them were winners.\I'm going to change just part of the signature...\Kinoshita Ichiro\You see, Mr. Kinoshita, your lottery ticket...\Kinoshita? My name's Morishita.\Huh? But it said Mori! What? How strange...\Your phone number is 1771-1281, correct, Mr. Kinoshita?\I told you my name's not Kinoshita, you dumbass! response:	It's Morishita!
context: I'm going to change just part of the signature...\Kinoshita Ichiro\You see, Mr. Kinoshita, your lottery ticket...\Kinoshita? My name's Morishita.\Huh? But it said Mori! What? How strange...\Your phone number is 1771-1281, correct, Mr. Kinoshita?\I told you my name's not Kinoshita, you dumbass!\It's Morishita! response:	Why are you wasting my time with this?
context: Kinoshita Ichiro\You see, Mr. Kinoshita, your lottery ticket...\Kinoshita? My name's Morishita.\Huh? But it said Mori! What? How strange...\Your phone number is 1771-1281, correct, Mr. Kinoshita?\I told you my name's not Kinoshita, you dumbass!\It's Morishita!\Why are you wasting my time with this? response:	I threw them all away.
context: You see, Mr. Kinoshita, your lottery ticket...\Kinoshita? My name's Morishita.\Huh? But it said Mori! What? How strange...\Your phone number is 1771-1281, correct, Mr. Kinoshita?\I told you my name's not Kinoshita, you dumbass!\It's Morishita!\Why are you wasting my time with this?\I threw them all away. response:	Why don't you sell some winning tickets sometime?
context: Kinoshita? My name's Morishita.\Huh? But it said Mori! What? How strange...\Your phone number is 1771-1281, correct, Mr. Kinoshita?\I told you my name's not Kinoshita, you dumbass!\It's Morishita!\Why are you wasting my time with this?\I threw them all away.\Why don't you sell some winning tickets sometime? response:	P-Pardon me...
context: Huh? But it said Mori! What? How strange...\Your phone number is 1771-1281, correct, Mr. Kinoshita?\I told you my name's not Kinoshita, you dumbass!\It's Morishita!\Why are you wasting my time with this?\I threw them all away.\Why don't you sell some winning tickets sometime?\P-Pardon me... response:	J-Just wait, you!
context: Your phone number is 1771-1281, correct, Mr. Kinoshita?\I told you my name's not Kinoshita, you dumbass!\It's Morishita!\Why are you wasting my time with this?\I threw them all away.\Why don't you sell some winning tickets sometime?\P-Pardon me...\J-Just wait, you! response:	The number you are trying to reach is currently not in use.
context: I told you my name's not Kinoshita, you dumbass!\It's Morishita!\Why are you wasting my time with this?\I threw them all away.\Why don't you sell some winning tickets sometime?\P-Pardon me...\J-Just wait, you!\The number you are trying to reach is currently not in use. response:	Please confirm the number and try again...
context: It's Morishita!\Why are you wasting my time with this?\I threw them all away.\Why don't you sell some winning tickets sometime?\P-Pardon me...\J-Just wait, you!\The number you are trying to reach is currently not in use.\Please confirm the number and try again... response:	A-Are you satisfied?
context: Why are you wasting my time with this?\I threw them all away.\Why don't you sell some winning tickets sometime?\P-Pardon me...\J-Just wait, you!\The number you are trying to reach is currently not in use.\Please confirm the number and try again...\A-Are you satisfied? response:	I-I-I'm terribly sorry for my rudeness.
context: I threw them all away.\Why don't you sell some winning tickets sometime?\P-Pardon me...\J-Just wait, you!\The number you are trying to reach is currently not in use.\Please confirm the number and try again...\A-Are you satisfied?\I-I-I'm terribly sorry for my rudeness. response:	Yay! It's my money!
context: Why don't you sell some winning tickets sometime?\P-Pardon me...\J-Just wait, you!\The number you are trying to reach is currently not in use.\Please confirm the number and try again...\A-Are you satisfied?\I-I-I'm terribly sorry for my rudeness.\Yay! It's my money! response:	I won this five million yen!
context: P-Pardon me...\J-Just wait, you!\The number you are trying to reach is currently not in use.\Please confirm the number and try again...\A-Are you satisfied?\I-I-I'm terribly sorry for my rudeness.\Yay! It's my money!\I won this five million yen! response:	Hey, you promised that half of it would be ours, Shigechi!
context: J-Just wait, you!\The number you are trying to reach is currently not in use.\Please confirm the number and try again...\A-Are you satisfied?\I-I-I'm terribly sorry for my rudeness.\Yay! It's my money!\I won this five million yen!\Hey, you promised that half of it would be ours, Shigechi! response:	Did I say that?
context: The number you are trying to reach is currently not in use.\Please confirm the number and try again...\A-Are you satisfied?\I-I-I'm terribly sorry for my rudeness.\Yay! It's my money!\I won this five million yen!\Hey, you promised that half of it would be ours, Shigechi!\Did I say that? response:	You're doing that again?!
context: Please confirm the number and try again...\A-Are you satisfied?\I-I-I'm terribly sorry for my rudeness.\Yay! It's my money!\I won this five million yen!\Hey, you promised that half of it would be ours, Shigechi!\Did I say that?\You're doing that again?! response:	Hey, Josuke! Why are you stopping me?!
context: A-Are you satisfied?\I-I-I'm terribly sorry for my rudeness.\Yay! It's my money!\I won this five million yen!\Hey, you promised that half of it would be ours, Shigechi!\Did I say that?\You're doing that again?!\Hey, Josuke! Why are you stopping me?! response:	You're not gonna let him get away with it again, are you?
context: I-I-I'm terribly sorry for my rudeness.\Yay! It's my money!\I won this five million yen!\Hey, you promised that half of it would be ours, Shigechi!\Did I say that?\You're doing that again?!\Hey, Josuke! Why are you stopping me?!\You're not gonna let him get away with it again, are you? response:	No... This time, I'm not backing down, either!
context: Yay! It's my money!\I won this five million yen!\Hey, you promised that half of it would be ours, Shigechi!\Did I say that?\You're doing that again?!\Hey, Josuke! Why are you stopping me?!\You're not gonna let him get away with it again, are you?\No... This time, I'm not backing down, either! response:	There's no way you're getting away with this!
context: I won this five million yen!\Hey, you promised that half of it would be ours, Shigechi!\Did I say that?\You're doing that again?!\Hey, Josuke! Why are you stopping me?!\You're not gonna let him get away with it again, are you?\No... This time, I'm not backing down, either!\There's no way you're getting away with this! response:	Well said, Josuke!
context: Hey, you promised that half of it would be ours, Shigechi!\Did I say that?\You're doing that again?!\Hey, Josuke! Why are you stopping me?!\You're not gonna let him get away with it again, are you?\No... This time, I'm not backing down, either!\There's no way you're getting away with this!\Well said, Josuke! response:	Of course you wouldn't back down!
context: Did I say that?\You're doing that again?!\Hey, Josuke! Why are you stopping me?!\You're not gonna let him get away with it again, are you?\No... This time, I'm not backing down, either!\There's no way you're getting away with this!\Well said, Josuke!\Of course you wouldn't back down! response:	It's only logical!
context: You're doing that again?!\Hey, Josuke! Why are you stopping me?!\You're not gonna let him get away with it again, are you?\No... This time, I'm not backing down, either!\There's no way you're getting away with this!\Well said, Josuke!\Of course you wouldn't back down!\It's only logical! response:	So now you don't want to split the money, Shigechi?
context: Hey, Josuke! Why are you stopping me?!\You're not gonna let him get away with it again, are you?\No... This time, I'm not backing down, either!\There's no way you're getting away with this!\Well said, Josuke!\Of course you wouldn't back down!\It's only logical!\So now you don't want to split the money, Shigechi? response:	You realize this amount is way too much for that to fly, don't you?
context: You're not gonna let him get away with it again, are you?\No... This time, I'm not backing down, either!\There's no way you're getting away with this!\Well said, Josuke!\Of course you wouldn't back down!\It's only logical!\So now you don't want to split the money, Shigechi?\You realize this amount is way too much for that to fly, don't you? response:	Here.
