context: Are you nervous? response:	No, it's just a track meet.
context: Come in.\Thank you.\No problem.\What's wrong?\Nothing. Come in.\Okay.\Huh...\I think it's Mom. response:	I'll go say hi.
context: Thank you.\No problem.\What's wrong?\Nothing. Come in.\Okay.\Huh...\I think it's Mom.\I'll go say hi. response:	There's no hurry.
context: No problem.\What's wrong?\Nothing. Come in.\Okay.\Huh...\I think it's Mom.\I'll go say hi.\There's no hurry. response:	Hm?
context: What's wrong?\Nothing. Come in.\Okay.\Huh...\I think it's Mom.\I'll go say hi.\There's no hurry.\Hm? response:	Yuki hurt his leg during the summer of first year.
context: Nothing. Come in.\Okay.\Huh...\I think it's Mom.\I'll go say hi.\There's no hurry.\Hm?\Yuki hurt his leg during the summer of first year. response:	He's rehabilitating.
context: Okay.\Huh...\I think it's Mom.\I'll go say hi.\There's no hurry.\Hm?\Yuki hurt his leg during the summer of first year.\He's rehabilitating. response:	There was a joint middle-school and high-school track meet today,
context: Huh...\I think it's Mom.\I'll go say hi.\There's no hurry.\Hm?\Yuki hurt his leg during the summer of first year.\He's rehabilitating.\There was a joint middle-school and high-school track meet today, response:	but it didn't go too well.
context: I think it's Mom.\I'll go say hi.\There's no hurry.\Hm?\Yuki hurt his leg during the summer of first year.\He's rehabilitating.\There was a joint middle-school and high-school track meet today,\but it didn't go too well. response:	Hiro-kun has
context: I'll go say hi.\There's no hurry.\Hm?\Yuki hurt his leg during the summer of first year.\He's rehabilitating.\There was a joint middle-school and high-school track meet today,\but it didn't go too well.\Hiro-kun has response:	a date today.
context: There's no hurry.\Hm?\Yuki hurt his leg during the summer of first year.\He's rehabilitating.\There was a joint middle-school and high-school track meet today,\but it didn't go too well.\Hiro-kun has\a date today. response:	I thought it'd be with you.
context: Hm?\Yuki hurt his leg during the summer of first year.\He's rehabilitating.\There was a joint middle-school and high-school track meet today,\but it didn't go too well.\Hiro-kun has\a date today.\I thought it'd be with you. response:	But I was already supposed to come over today.
context: Yuki hurt his leg during the summer of first year.\He's rehabilitating.\There was a joint middle-school and high-school track meet today,\but it didn't go too well.\Hiro-kun has\a date today.\I thought it'd be with you.\But I was already supposed to come over today. response:	Sacchan, are you going out with Hiro-kun?
context: He's rehabilitating.\There was a joint middle-school and high-school track meet today,\but it didn't go too well.\Hiro-kun has\a date today.\I thought it'd be with you.\But I was already supposed to come over today.\Sacchan, are you going out with Hiro-kun? response:	He was here until earlier.
context: There was a joint middle-school and high-school track meet today,\but it didn't go too well.\Hiro-kun has\a date today.\I thought it'd be with you.\But I was already supposed to come over today.\Sacchan, are you going out with Hiro-kun?\He was here until earlier. response:	So many surprises today.
context: but it didn't go too well.\Hiro-kun has\a date today.\I thought it'd be with you.\But I was already supposed to come over today.\Sacchan, are you going out with Hiro-kun?\He was here until earlier.\So many surprises today. response:	I didn't think you'd be going out.
context: Hiro-kun has\a date today.\I thought it'd be with you.\But I was already supposed to come over today.\Sacchan, are you going out with Hiro-kun?\He was here until earlier.\So many surprises today.\I didn't think you'd be going out. response:	I didn't know.
context: a date today.\I thought it'd be with you.\But I was already supposed to come over today.\Sacchan, are you going out with Hiro-kun?\He was here until earlier.\So many surprises today.\I didn't think you'd be going out.\I didn't know. response:	Touko-chan, you've got it wrong.
context: I thought it'd be with you.\But I was already supposed to come over today.\Sacchan, are you going out with Hiro-kun?\He was here until earlier.\So many surprises today.\I didn't think you'd be going out.\I didn't know.\Touko-chan, you've got it wrong. response:	I never said I'm going out with him.
context: But I was already supposed to come over today.\Sacchan, are you going out with Hiro-kun?\He was here until earlier.\So many surprises today.\I didn't think you'd be going out.\I didn't know.\Touko-chan, you've got it wrong.\I never said I'm going out with him. response:	We were just reading together.
context: Sacchan, are you going out with Hiro-kun?\He was here until earlier.\So many surprises today.\I didn't think you'd be going out.\I didn't know.\Touko-chan, you've got it wrong.\I never said I'm going out with him.\We were just reading together. response:	Oh, right. Of course.
context: He was here until earlier.\So many surprises today.\I didn't think you'd be going out.\I didn't know.\Touko-chan, you've got it wrong.\I never said I'm going out with him.\We were just reading together.\Oh, right. Of course. response:	I guess it wouldn't be anything more.
context: So many surprises today.\I didn't think you'd be going out.\I didn't know.\Touko-chan, you've got it wrong.\I never said I'm going out with him.\We were just reading together.\Oh, right. Of course.\I guess it wouldn't be anything more. response:	And you? Have you met with that guy since then?
context: I didn't think you'd be going out.\I didn't know.\Touko-chan, you've got it wrong.\I never said I'm going out with him.\We were just reading together.\Oh, right. Of course.\I guess it wouldn't be anything more.\And you? Have you met with that guy since then? response:	Yeah, about that.
context: I didn't know.\Touko-chan, you've got it wrong.\I never said I'm going out with him.\We were just reading together.\Oh, right. Of course.\I guess it wouldn't be anything more.\And you? Have you met with that guy since then?\Yeah, about that. response:	Okikura-kun seems stern,
context: Touko-chan, you've got it wrong.\I never said I'm going out with him.\We were just reading together.\Oh, right. Of course.\I guess it wouldn't be anything more.\And you? Have you met with that guy since then?\Yeah, about that.\Okikura-kun seems stern, response:	but I thought maybe he has a nice side.
context: I never said I'm going out with him.\We were just reading together.\Oh, right. Of course.\I guess it wouldn't be anything more.\And you? Have you met with that guy since then?\Yeah, about that.\Okikura-kun seems stern,\but I thought maybe he has a nice side. response:	Ah.
context: We were just reading together.\Oh, right. Of course.\I guess it wouldn't be anything more.\And you? Have you met with that guy since then?\Yeah, about that.\Okikura-kun seems stern,\but I thought maybe he has a nice side.\Ah. response:	And he's cute.
context: Oh, right. Of course.\I guess it wouldn't be anything more.\And you? Have you met with that guy since then?\Yeah, about that.\Okikura-kun seems stern,\but I thought maybe he has a nice side.\Ah.\And he's cute. response:	Oh. No, no, no. It's not like that.
context: I guess it wouldn't be anything more.\And you? Have you met with that guy since then?\Yeah, about that.\Okikura-kun seems stern,\but I thought maybe he has a nice side.\Ah.\And he's cute.\Oh. No, no, no. It's not like that. response:	Nothing like that.
context: And you? Have you met with that guy since then?\Yeah, about that.\Okikura-kun seems stern,\but I thought maybe he has a nice side.\Ah.\And he's cute.\Oh. No, no, no. It's not like that.\Nothing like that. response:	I'm going to be in the hospital for a while soon.
context: Yeah, about that.\Okikura-kun seems stern,\but I thought maybe he has a nice side.\Ah.\And he's cute.\Oh. No, no, no. It's not like that.\Nothing like that.\I'm going to be in the hospital for a while soon. response:	It's just for tests, so it's nothing to worry about.
context: Okikura-kun seems stern,\but I thought maybe he has a nice side.\Ah.\And he's cute.\Oh. No, no, no. It's not like that.\Nothing like that.\I'm going to be in the hospital for a while soon.\It's just for tests, so it's nothing to worry about. response:	Oh really?
context: but I thought maybe he has a nice side.\Ah.\And he's cute.\Oh. No, no, no. It's not like that.\Nothing like that.\I'm going to be in the hospital for a while soon.\It's just for tests, so it's nothing to worry about.\Oh really? response:	There's somewhere I want to go with you when I'm discharged.
context: Ah.\And he's cute.\Oh. No, no, no. It's not like that.\Nothing like that.\I'm going to be in the hospital for a while soon.\It's just for tests, so it's nothing to worry about.\Oh really?\There's somewhere I want to go with you when I'm discharged. response:	Where?
context: And he's cute.\Oh. No, no, no. It's not like that.\Nothing like that.\I'm going to be in the hospital for a while soon.\It's just for tests, so it's nothing to worry about.\Oh really?\There's somewhere I want to go with you when I'm discharged.\Where? response:	I can't tell you yet.
context: Oh. No, no, no. It's not like that.\Nothing like that.\I'm going to be in the hospital for a while soon.\It's just for tests, so it's nothing to worry about.\Oh really?\There's somewhere I want to go with you when I'm discharged.\Where?\I can't tell you yet. response:	I wish I could see the future.
context: Nothing like that.\I'm going to be in the hospital for a while soon.\It's just for tests, so it's nothing to worry about.\Oh really?\There's somewhere I want to go with you when I'm discharged.\Where?\I can't tell you yet.\I wish I could see the future. response:	I think Yuki's really worried.
context: I'm going to be in the hospital for a while soon.\It's just for tests, so it's nothing to worry about.\Oh really?\There's somewhere I want to go with you when I'm discharged.\Where?\I can't tell you yet.\I wish I could see the future.\I think Yuki's really worried. response:	Everyone wants to know the future, right?
context: It's just for tests, so it's nothing to worry about.\Oh really?\There's somewhere I want to go with you when I'm discharged.\Where?\I can't tell you yet.\I wish I could see the future.\I think Yuki's really worried.\Everyone wants to know the future, right? response:	Are you seriously not going to say anything?
context: Oh really?\There's somewhere I want to go with you when I'm discharged.\Where?\I can't tell you yet.\I wish I could see the future.\I think Yuki's really worried.\Everyone wants to know the future, right?\Are you seriously not going to say anything? response:	Nah,
context: There's somewhere I want to go with you when I'm discharged.\Where?\I can't tell you yet.\I wish I could see the future.\I think Yuki's really worried.\Everyone wants to know the future, right?\Are you seriously not going to say anything?\Nah, response:	I won't see it.
context: Where?\I can't tell you yet.\I wish I could see the future.\I think Yuki's really worried.\Everyone wants to know the future, right?\Are you seriously not going to say anything?\Nah,\I won't see it. response:	Okikura residence.
context: I can't tell you yet.\I wish I could see the future.\I think Yuki's really worried.\Everyone wants to know the future, right?\Are you seriously not going to say anything?\Nah,\I won't see it.\Okikura residence. response:	Okikura-kun? It's Fukami.
context: I wish I could see the future.\I think Yuki's really worried.\Everyone wants to know the future, right?\Are you seriously not going to say anything?\Nah,\I won't see it.\Okikura residence.\Okikura-kun? It's Fukami. response:	Can we meet up for a bit?
context: I think Yuki's really worried.\Everyone wants to know the future, right?\Are you seriously not going to say anything?\Nah,\I won't see it.\Okikura residence.\Okikura-kun? It's Fukami.\Can we meet up for a bit? response:	I know. What you said to me the other night...
context: Everyone wants to know the future, right?\Are you seriously not going to say anything?\Nah,\I won't see it.\Okikura residence.\Okikura-kun? It's Fukami.\Can we meet up for a bit?\I know. What you said to me the other night... response:	I thought about it.
context: Are you seriously not going to say anything?\Nah,\I won't see it.\Okikura residence.\Okikura-kun? It's Fukami.\Can we meet up for a bit?\I know. What you said to me the other night...\I thought about it. response:	Kakeru is out right now.
context: Nah,\I won't see it.\Okikura residence.\Okikura-kun? It's Fukami.\Can we meet up for a bit?\I know. What you said to me the other night...\I thought about it.\Kakeru is out right now. response:	Excuse my late introduction. I'm Kakeru's dad.
context: I won't see it.\Okikura residence.\Okikura-kun? It's Fukami.\Can we meet up for a bit?\I know. What you said to me the other night...\I thought about it.\Kakeru is out right now.\Excuse my late introduction. I'm Kakeru's dad. response:	I'll let him know you called when he gets home.
context: Okikura residence.\Okikura-kun? It's Fukami.\Can we meet up for a bit?\I know. What you said to me the other night...\I thought about it.\Kakeru is out right now.\Excuse my late introduction. I'm Kakeru's dad.\I'll let him know you called when he gets home. response:	I'm sorry. Good-bye.
context: Okikura-kun? It's Fukami.\Can we meet up for a bit?\I know. What you said to me the other night...\I thought about it.\Kakeru is out right now.\Excuse my late introduction. I'm Kakeru's dad.\I'll let him know you called when he gets home.\I'm sorry. Good-bye. response:	I'm home.
context: Can we meet up for a bit?\I know. What you said to me the other night...\I thought about it.\Kakeru is out right now.\Excuse my late introduction. I'm Kakeru's dad.\I'll let him know you called when he gets home.\I'm sorry. Good-bye.\I'm home. response:	You would do that!
context: I know. What you said to me the other night...\I thought about it.\Kakeru is out right now.\Excuse my late introduction. I'm Kakeru's dad.\I'll let him know you called when he gets home.\I'm sorry. Good-bye.\I'm home.\You would do that! response:	What is this?
context: I thought about it.\Kakeru is out right now.\Excuse my late introduction. I'm Kakeru's dad.\I'll let him know you called when he gets home.\I'm sorry. Good-bye.\I'm home.\You would do that!\What is this? response:	Nothing, nothing!
context: Kakeru is out right now.\Excuse my late introduction. I'm Kakeru's dad.\I'll let him know you called when he gets home.\I'm sorry. Good-bye.\I'm home.\You would do that!\What is this?\Nothing, nothing! response:	I just thought maybe I'd read for once.
context: Excuse my late introduction. I'm Kakeru's dad.\I'll let him know you called when he gets home.\I'm sorry. Good-bye.\I'm home.\You would do that!\What is this?\Nothing, nothing!\I just thought maybe I'd read for once. response:	So you bought it?
context: I'll let him know you called when he gets home.\I'm sorry. Good-bye.\I'm home.\You would do that!\What is this?\Nothing, nothing!\I just thought maybe I'd read for once.\So you bought it? response:	Y-Y-Yes!
context: I'm sorry. Good-bye.\I'm home.\You would do that!\What is this?\Nothing, nothing!\I just thought maybe I'd read for once.\So you bought it?\Y-Y-Yes! response:	No, you didn't.
context: I'm home.\You would do that!\What is this?\Nothing, nothing!\I just thought maybe I'd read for once.\So you bought it?\Y-Y-Yes!\No, you didn't. response:	There's no chance you'd read Camus.
context: You would do that!\What is this?\Nothing, nothing!\I just thought maybe I'd read for once.\So you bought it?\Y-Y-Yes!\No, you didn't.\There's no chance you'd read Camus. response:	Camus. Camus! The Myth of Sisyphus!
context: What is this?\Nothing, nothing!\I just thought maybe I'd read for once.\So you bought it?\Y-Y-Yes!\No, you didn't.\There's no chance you'd read Camus.\Camus. Camus! The Myth of Sisyphus! response:	It makes no sense!
context: Nothing, nothing!\I just thought maybe I'd read for once.\So you bought it?\Y-Y-Yes!\No, you didn't.\There's no chance you'd read Camus.\Camus. Camus! The Myth of Sisyphus!\It makes no sense! response:	It's that tragic glasses girl.
context: I just thought maybe I'd read for once.\So you bought it?\Y-Y-Yes!\No, you didn't.\There's no chance you'd read Camus.\Camus. Camus! The Myth of Sisyphus!\It makes no sense!\It's that tragic glasses girl. response:	Hello, Fukami here.
context: So you bought it?\Y-Y-Yes!\No, you didn't.\There's no chance you'd read Camus.\Camus. Camus! The Myth of Sisyphus!\It makes no sense!\It's that tragic glasses girl.\Hello, Fukami here. response:	Hey. Sorry, I was out earlier.
context: Y-Y-Yes!\No, you didn't.\There's no chance you'd read Camus.\Camus. Camus! The Myth of Sisyphus!\It makes no sense!\It's that tragic glasses girl.\Hello, Fukami here.\Hey. Sorry, I was out earlier. response:	It's fine. I
context: No, you didn't.\There's no chance you'd read Camus.\Camus. Camus! The Myth of Sisyphus!\It makes no sense!\It's that tragic glasses girl.\Hello, Fukami here.\Hey. Sorry, I was out earlier.\It's fine. I response:	My dad said he's sorry for troubling a young girl.
context: There's no chance you'd read Camus.\Camus. Camus! The Myth of Sisyphus!\It makes no sense!\It's that tragic glasses girl.\Hello, Fukami here.\Hey. Sorry, I was out earlier.\It's fine. I\My dad said he's sorry for troubling a young girl. response:	I'm sorry, too.
context: Camus. Camus! The Myth of Sisyphus!\It makes no sense!\It's that tragic glasses girl.\Hello, Fukami here.\Hey. Sorry, I was out earlier.\It's fine. I\My dad said he's sorry for troubling a young girl.\I'm sorry, too. response:	It was my mistake.
context: It makes no sense!\It's that tragic glasses girl.\Hello, Fukami here.\Hey. Sorry, I was out earlier.\It's fine. I\My dad said he's sorry for troubling a young girl.\I'm sorry, too.\It was my mistake. response:	Do you want to come over now?
context: It's that tragic glasses girl.\Hello, Fukami here.\Hey. Sorry, I was out earlier.\It's fine. I\My dad said he's sorry for troubling a young girl.\I'm sorry, too.\It was my mistake.\Do you want to come over now? response:	If you have time,
