context: What's happened so far! response:	Our sister, the masked model student Miyazawa Yukino...
context: Hey, did you hear?\About Arima and Miyazawa?\Their grades really slid at finals.\Yeah, yeah.\Aren't they going out?\They got called into the\Student Guidance Room and got lectured.\Whoa! response:	What's more...I hear they rebelled
context: About Arima and Miyazawa?\Their grades really slid at finals.\Yeah, yeah.\Aren't they going out?\They got called into the\Student Guidance Room and got lectured.\Whoa!\What's more...I hear they rebelled response:	against the teachers...and their parents got called in to school!
context: Their grades really slid at finals.\Yeah, yeah.\Aren't they going out?\They got called into the\Student Guidance Room and got lectured.\Whoa!\What's more...I hear they rebelled\against the teachers...and their parents got called in to school! response:	No way, for real?!
context: Yeah, yeah.\Aren't they going out?\They got called into the\Student Guidance Room and got lectured.\Whoa!\What's more...I hear they rebelled\against the teachers...and their parents got called in to school!\No way, for real?! response:	I wonder what happened to them?
context: Aren't they going out?\They got called into the\Student Guidance Room and got lectured.\Whoa!\What's more...I hear they rebelled\against the teachers...and their parents got called in to school!\No way, for real?!\I wonder what happened to them? response:	Yeah.
context: They got called into the\Student Guidance Room and got lectured.\Whoa!\What's more...I hear they rebelled\against the teachers...and their parents got called in to school!\No way, for real?!\I wonder what happened to them?\Yeah. response:	I'm so sleepy.
context: Student Guidance Room and got lectured.\Whoa!\What's more...I hear they rebelled\against the teachers...and their parents got called in to school!\No way, for real?!\I wonder what happened to them?\Yeah.\I'm so sleepy. response:	I'm still feeling last night's all-nighter.
context: Whoa!\What's more...I hear they rebelled\against the teachers...and their parents got called in to school!\No way, for real?!\I wonder what happened to them?\Yeah.\I'm so sleepy.\I'm still feeling last night's all-nighter. response:	There was this one math problem I just couldn't solve.
context: What's more...I hear they rebelled\against the teachers...and their parents got called in to school!\No way, for real?!\I wonder what happened to them?\Yeah.\I'm so sleepy.\I'm still feeling last night's all-nighter.\There was this one math problem I just couldn't solve. response:	I wonder what I'm doing wrong?
context: against the teachers...and their parents got called in to school!\No way, for real?!\I wonder what happened to them?\Yeah.\I'm so sleepy.\I'm still feeling last night's all-nighter.\There was this one math problem I just couldn't solve.\I wonder what I'm doing wrong? response:	I've been thinking about it ever since...
context: No way, for real?!\I wonder what happened to them?\Yeah.\I'm so sleepy.\I'm still feeling last night's all-nighter.\There was this one math problem I just couldn't solve.\I wonder what I'm doing wrong?\I've been thinking about it ever since... response:	Miyazawa!
context: I wonder what happened to them?\Yeah.\I'm so sleepy.\I'm still feeling last night's all-nighter.\There was this one math problem I just couldn't solve.\I wonder what I'm doing wrong?\I've been thinking about it ever since...\Miyazawa! response:	Is Home Ec. this afternoon in sewing room 1 in the old building?
context: Yeah.\I'm so sleepy.\I'm still feeling last night's all-nighter.\There was this one math problem I just couldn't solve.\I wonder what I'm doing wrong?\I've been thinking about it ever since...\Miyazawa!\Is Home Ec. this afternoon in sewing room 1 in the old building? response:	Yeah.
context: I'm so sleepy.\I'm still feeling last night's all-nighter.\There was this one math problem I just couldn't solve.\I wonder what I'm doing wrong?\I've been thinking about it ever since...\Miyazawa!\Is Home Ec. this afternoon in sewing room 1 in the old building?\Yeah. response:	Whatcha looking at?
context: I'm still feeling last night's all-nighter.\There was this one math problem I just couldn't solve.\I wonder what I'm doing wrong?\I've been thinking about it ever since...\Miyazawa!\Is Home Ec. this afternoon in sewing room 1 in the old building?\Yeah.\Whatcha looking at? response:	Oh, Math?
context: There was this one math problem I just couldn't solve.\I wonder what I'm doing wrong?\I've been thinking about it ever since...\Miyazawa!\Is Home Ec. this afternoon in sewing room 1 in the old building?\Yeah.\Whatcha looking at?\Oh, Math? response:	Yeah... there's this one problem I just can't figure out.
context: I wonder what I'm doing wrong?\I've been thinking about it ever since...\Miyazawa!\Is Home Ec. this afternoon in sewing room 1 in the old building?\Yeah.\Whatcha looking at?\Oh, Math?\Yeah... there's this one problem I just can't figure out. response:	Wow, that even happens to you, Miyazawa?
context: I've been thinking about it ever since...\Miyazawa!\Is Home Ec. this afternoon in sewing room 1 in the old building?\Yeah.\Whatcha looking at?\Oh, Math?\Yeah... there's this one problem I just can't figure out.\Wow, that even happens to you, Miyazawa? response:	Oh, there's something I didn't understand, either.
context: Miyazawa!\Is Home Ec. this afternoon in sewing room 1 in the old building?\Yeah.\Whatcha looking at?\Oh, Math?\Yeah... there's this one problem I just can't figure out.\Wow, that even happens to you, Miyazawa?\Oh, there's something I didn't understand, either. response:	Can I ask you about it?
context: Is Home Ec. this afternoon in sewing room 1 in the old building?\Yeah.\Whatcha looking at?\Oh, Math?\Yeah... there's this one problem I just can't figure out.\Wow, that even happens to you, Miyazawa?\Oh, there's something I didn't understand, either.\Can I ask you about it? response:	Sure, if I know how to solve it.
context: Yeah.\Whatcha looking at?\Oh, Math?\Yeah... there's this one problem I just can't figure out.\Wow, that even happens to you, Miyazawa?\Oh, there's something I didn't understand, either.\Can I ask you about it?\Sure, if I know how to solve it. response:	I'm just not
context: Whatcha looking at?\Oh, Math?\Yeah... there's this one problem I just can't figure out.\Wow, that even happens to you, Miyazawa?\Oh, there's something I didn't understand, either.\Can I ask you about it?\Sure, if I know how to solve it.\I'm just not response:	one of the girls, am I?
context: Oh, Math?\Yeah... there's this one problem I just can't figure out.\Wow, that even happens to you, Miyazawa?\Oh, there's something I didn't understand, either.\Can I ask you about it?\Sure, if I know how to solve it.\I'm just not\one of the girls, am I? response:	I talk with everybody,
context: Yeah... there's this one problem I just can't figure out.\Wow, that even happens to you, Miyazawa?\Oh, there's something I didn't understand, either.\Can I ask you about it?\Sure, if I know how to solve it.\I'm just not\one of the girls, am I?\I talk with everybody, response:	but there's none of them whom I'm really close to.
context: Wow, that even happens to you, Miyazawa?\Oh, there's something I didn't understand, either.\Can I ask you about it?\Sure, if I know how to solve it.\I'm just not\one of the girls, am I?\I talk with everybody,\but there's none of them whom I'm really close to. response:	It's been a long time since I stopped playing the model student...
context: Oh, there's something I didn't understand, either.\Can I ask you about it?\Sure, if I know how to solve it.\I'm just not\one of the girls, am I?\I talk with everybody,\but there's none of them whom I'm really close to.\It's been a long time since I stopped playing the model student... response:	Well, it can't be helped.
context: Can I ask you about it?\Sure, if I know how to solve it.\I'm just not\one of the girls, am I?\I talk with everybody,\but there's none of them whom I'm really close to.\It's been a long time since I stopped playing the model student...\Well, it can't be helped. response:	That's how I was until now.
context: Sure, if I know how to solve it.\I'm just not\one of the girls, am I?\I talk with everybody,\but there's none of them whom I'm really close to.\It's been a long time since I stopped playing the model student...\Well, it can't be helped.\That's how I was until now. response:	Others can't adjust
context: I'm just not\one of the girls, am I?\I talk with everybody,\but there's none of them whom I'm really close to.\It's been a long time since I stopped playing the model student...\Well, it can't be helped.\That's how I was until now.\Others can't adjust response:	if you suddenly become normal.
context: one of the girls, am I?\I talk with everybody,\but there's none of them whom I'm really close to.\It's been a long time since I stopped playing the model student...\Well, it can't be helped.\That's how I was until now.\Others can't adjust\if you suddenly become normal. response:	Arima!
context: I talk with everybody,\but there's none of them whom I'm really close to.\It's been a long time since I stopped playing the model student...\Well, it can't be helped.\That's how I was until now.\Others can't adjust\if you suddenly become normal.\Arima! response:	Math?
context: but there's none of them whom I'm really close to.\It's been a long time since I stopped playing the model student...\Well, it can't be helped.\That's how I was until now.\Others can't adjust\if you suddenly become normal.\Arima!\Math? response:	Which problem?
context: It's been a long time since I stopped playing the model student...\Well, it can't be helped.\That's how I was until now.\Others can't adjust\if you suddenly become normal.\Arima!\Math?\Which problem? response:	This one.
context: Well, it can't be helped.\That's how I was until now.\Others can't adjust\if you suddenly become normal.\Arima!\Math?\Which problem?\This one. response:	Hey! Asama-kun!
context: That's how I was until now.\Others can't adjust\if you suddenly become normal.\Arima!\Math?\Which problem?\This one.\Hey! Asama-kun! response:	What're you doing? Let's go have lunch.
context: Others can't adjust\if you suddenly become normal.\Arima!\Math?\Which problem?\This one.\Hey! Asama-kun!\What're you doing? Let's go have lunch. response:	What the hell?!
context: if you suddenly become normal.\Arima!\Math?\Which problem?\This one.\Hey! Asama-kun!\What're you doing? Let's go have lunch.\What the hell?! response:	I was wondering why you weren't coming and here you are playing with the babes?!
context: Arima!\Math?\Which problem?\This one.\Hey! Asama-kun!\What're you doing? Let's go have lunch.\What the hell?!\I was wondering why you weren't coming and here you are playing with the babes?! response:	I'm not like you.
context: Math?\Which problem?\This one.\Hey! Asama-kun!\What're you doing? Let's go have lunch.\What the hell?!\I was wondering why you weren't coming and here you are playing with the babes?!\I'm not like you. response:	Disgusting! You sex fiend!
context: Which problem?\This one.\Hey! Asama-kun!\What're you doing? Let's go have lunch.\What the hell?!\I was wondering why you weren't coming and here you are playing with the babes?!\I'm not like you.\Disgusting! You sex fiend! response:	I said I'm not like you.
context: This one.\Hey! Asama-kun!\What're you doing? Let's go have lunch.\What the hell?!\I was wondering why you weren't coming and here you are playing with the babes?!\I'm not like you.\Disgusting! You sex fiend!\I said I'm not like you. response:	You made me wait out in the blazing sun at the entryway all this time!
context: Hey! Asama-kun!\What're you doing? Let's go have lunch.\What the hell?!\I was wondering why you weren't coming and here you are playing with the babes?!\I'm not like you.\Disgusting! You sex fiend!\I said I'm not like you.\You made me wait out in the blazing sun at the entryway all this time! response:	So why didn't you just wait in the hall?
context: What're you doing? Let's go have lunch.\What the hell?!\I was wondering why you weren't coming and here you are playing with the babes?!\I'm not like you.\Disgusting! You sex fiend!\I said I'm not like you.\You made me wait out in the blazing sun at the entryway all this time!\So why didn't you just wait in the hall? response:	You meanie! You're always so mean to me!
context: What the hell?!\I was wondering why you weren't coming and here you are playing with the babes?!\I'm not like you.\Disgusting! You sex fiend!\I said I'm not like you.\You made me wait out in the blazing sun at the entryway all this time!\So why didn't you just wait in the hall?\You meanie! You're always so mean to me! response:	Sorry to stop in the middle...
context: I was wondering why you weren't coming and here you are playing with the babes?!\I'm not like you.\Disgusting! You sex fiend!\I said I'm not like you.\You made me wait out in the blazing sun at the entryway all this time!\So why didn't you just wait in the hall?\You meanie! You're always so mean to me!\Sorry to stop in the middle... response:	I'll take my time to explain later, okay?
context: I'm not like you.\Disgusting! You sex fiend!\I said I'm not like you.\You made me wait out in the blazing sun at the entryway all this time!\So why didn't you just wait in the hall?\You meanie! You're always so mean to me!\Sorry to stop in the middle...\I'll take my time to explain later, okay? response:	Oh...
context: Disgusting! You sex fiend!\I said I'm not like you.\You made me wait out in the blazing sun at the entryway all this time!\So why didn't you just wait in the hall?\You meanie! You're always so mean to me!\Sorry to stop in the middle...\I'll take my time to explain later, okay?\Oh... response:	Um...
context: I said I'm not like you.\You made me wait out in the blazing sun at the entryway all this time!\So why didn't you just wait in the hall?\You meanie! You're always so mean to me!\Sorry to stop in the middle...\I'll take my time to explain later, okay?\Oh...\Um... response:	Sure...Th...those three really get along well.
context: You made me wait out in the blazing sun at the entryway all this time!\So why didn't you just wait in the hall?\You meanie! You're always so mean to me!\Sorry to stop in the middle...\I'll take my time to explain later, okay?\Oh...\Um...\Sure...Th...those three really get along well. response:	Yeah, they're always with each other.
context: So why didn't you just wait in the hall?\You meanie! You're always so mean to me!\Sorry to stop in the middle...\I'll take my time to explain later, okay?\Oh...\Um...\Sure...Th...those three really get along well.\Yeah, they're always with each other. response:	It sure is different once you start going out.
context: You meanie! You're always so mean to me!\Sorry to stop in the middle...\I'll take my time to explain later, okay?\Oh...\Um...\Sure...Th...those three really get along well.\Yeah, they're always with each other.\It sure is different once you start going out. response:	Arima's always been nice,
context: Sorry to stop in the middle...\I'll take my time to explain later, okay?\Oh...\Um...\Sure...Th...those three really get along well.\Yeah, they're always with each other.\It sure is different once you start going out.\Arima's always been nice, response:	but he was never especially friendly with the girls...
context: I'll take my time to explain later, okay?\Oh...\Um...\Sure...Th...those three really get along well.\Yeah, they're always with each other.\It sure is different once you start going out.\Arima's always been nice,\but he was never especially friendly with the girls... response:	Oh, let's go have lunch, too.
context: Oh...\Um...\Sure...Th...those three really get along well.\Yeah, they're always with each other.\It sure is different once you start going out.\Arima's always been nice,\but he was never especially friendly with the girls...\Oh, let's go have lunch, too. response:	Ok, want to go to the mini-mart afterwards?
context: Um...\Sure...Th...those three really get along well.\Yeah, they're always with each other.\It sure is different once you start going out.\Arima's always been nice,\but he was never especially friendly with the girls...\Oh, let's go have lunch, too.\Ok, want to go to the mini-mart afterwards? response:	Sounds great!
context: Sure...Th...those three really get along well.\Yeah, they're always with each other.\It sure is different once you start going out.\Arima's always been nice,\but he was never especially friendly with the girls...\Oh, let's go have lunch, too.\Ok, want to go to the mini-mart afterwards?\Sounds great! response:	Hey, have you heard about
context: Yeah, they're always with each other.\It sure is different once you start going out.\Arima's always been nice,\but he was never especially friendly with the girls...\Oh, let's go have lunch, too.\Ok, want to go to the mini-mart afterwards?\Sounds great!\Hey, have you heard about response:	the legend of the kendo club?
context: It sure is different once you start going out.\Arima's always been nice,\but he was never especially friendly with the girls...\Oh, let's go have lunch, too.\Ok, want to go to the mini-mart afterwards?\Sounds great!\Hey, have you heard about\the legend of the kendo club? response:	Huh, what's that? Never heard of it.
context: Arima's always been nice,\but he was never especially friendly with the girls...\Oh, let's go have lunch, too.\Ok, want to go to the mini-mart afterwards?\Sounds great!\Hey, have you heard about\the legend of the kendo club?\Huh, what's that? Never heard of it. response:	Our kendo club's really strong...
context: but he was never especially friendly with the girls...\Oh, let's go have lunch, too.\Ok, want to go to the mini-mart afterwards?\Sounds great!\Hey, have you heard about\the legend of the kendo club?\Huh, what's that? Never heard of it.\Our kendo club's really strong... response:	So all schools would cheer
context: Oh, let's go have lunch, too.\Ok, want to go to the mini-mart afterwards?\Sounds great!\Hey, have you heard about\the legend of the kendo club?\Huh, what's that? Never heard of it.\Our kendo club's really strong...\So all schools would cheer response:	for their own teams, right?
context: Ok, want to go to the mini-mart afterwards?\Sounds great!\Hey, have you heard about\the legend of the kendo club?\Huh, what's that? Never heard of it.\Our kendo club's really strong...\So all schools would cheer\for their own teams, right? response:	But whenever it was Arima's turn
context: Sounds great!\Hey, have you heard about\the legend of the kendo club?\Huh, what's that? Never heard of it.\Our kendo club's really strong...\So all schools would cheer\for their own teams, right?\But whenever it was Arima's turn response:	they start cheering for our school! *Go Hokuei! Go Hokuei!*
context: Hey, have you heard about\the legend of the kendo club?\Huh, what's that? Never heard of it.\Our kendo club's really strong...\So all schools would cheer\for their own teams, right?\But whenever it was Arima's turn\they start cheering for our school! *Go Hokuei! Go Hokuei!* response:	That's awesome!
context: the legend of the kendo club?\Huh, what's that? Never heard of it.\Our kendo club's really strong...\So all schools would cheer\for their own teams, right?\But whenever it was Arima's turn\they start cheering for our school! *Go Hokuei! Go Hokuei!*\That's awesome! response:	But I can totally see why!
context: Huh, what's that? Never heard of it.\Our kendo club's really strong...\So all schools would cheer\for their own teams, right?\But whenever it was Arima's turn\they start cheering for our school! *Go Hokuei! Go Hokuei!*\That's awesome!\But I can totally see why! response:	A hot guy comes before school spirit!
context: Our kendo club's really strong...\So all schools would cheer\for their own teams, right?\But whenever it was Arima's turn\they start cheering for our school! *Go Hokuei! Go Hokuei!*\That's awesome!\But I can totally see why!\A hot guy comes before school spirit! response:	I hear all the girls in 1-F went with Asaba to Disneyland!
context: So all schools would cheer\for their own teams, right?\But whenever it was Arima's turn\they start cheering for our school! *Go Hokuei! Go Hokuei!*\That's awesome!\But I can totally see why!\A hot guy comes before school spirit!\I hear all the girls in 1-F went with Asaba to Disneyland! response:	WHAT?
context: for their own teams, right?\But whenever it was Arima's turn\they start cheering for our school! *Go Hokuei! Go Hokuei!*\That's awesome!\But I can totally see why!\A hot guy comes before school spirit!\I hear all the girls in 1-F went with Asaba to Disneyland!\WHAT? response:	How lucky! No fair!
context: But whenever it was Arima's turn\they start cheering for our school! *Go Hokuei! Go Hokuei!*\That's awesome!\But I can totally see why!\A hot guy comes before school spirit!\I hear all the girls in 1-F went with Asaba to Disneyland!\WHAT?\How lucky! No fair! response:	Arima and Asaba sure get along well.
context: they start cheering for our school! *Go Hokuei! Go Hokuei!*\That's awesome!\But I can totally see why!\A hot guy comes before school spirit!\I hear all the girls in 1-F went with Asaba to Disneyland!\WHAT?\How lucky! No fair!\Arima and Asaba sure get along well. response:	They're so picturesque when they stand next to each other.
context: That's awesome!\But I can totally see why!\A hot guy comes before school spirit!\I hear all the girls in 1-F went with Asaba to Disneyland!\WHAT?\How lucky! No fair!\Arima and Asaba sure get along well.\They're so picturesque when they stand next to each other. response:	They're like the valiant hunk
context: But I can totally see why!\A hot guy comes before school spirit!\I hear all the girls in 1-F went with Asaba to Disneyland!\WHAT?\How lucky! No fair!\Arima and Asaba sure get along well.\They're so picturesque when they stand next to each other.\They're like the valiant hunk response:	and the delinquent hunk.
context: A hot guy comes before school spirit!\I hear all the girls in 1-F went with Asaba to Disneyland!\WHAT?\How lucky! No fair!\Arima and Asaba sure get along well.\They're so picturesque when they stand next to each other.\They're like the valiant hunk\and the delinquent hunk. response:	Miyazawa's really lucky,
context: I hear all the girls in 1-F went with Asaba to Disneyland!\WHAT?\How lucky! No fair!\Arima and Asaba sure get along well.\They're so picturesque when they stand next to each other.\They're like the valiant hunk\and the delinquent hunk.\Miyazawa's really lucky, response:	being friends with those two.
context: WHAT?\How lucky! No fair!\Arima and Asaba sure get along well.\They're so picturesque when they stand next to each other.\They're like the valiant hunk\and the delinquent hunk.\Miyazawa's really lucky,\being friends with those two. response:	Naturally, when she's so perfect.
context: How lucky! No fair!\Arima and Asaba sure get along well.\They're so picturesque when they stand next to each other.\They're like the valiant hunk\and the delinquent hunk.\Miyazawa's really lucky,\being friends with those two.\Naturally, when she's so perfect. response:	I bet I could make friends with those two.
context: Arima and Asaba sure get along well.\They're so picturesque when they stand next to each other.\They're like the valiant hunk\and the delinquent hunk.\Miyazawa's really lucky,\being friends with those two.\Naturally, when she's so perfect.\I bet I could make friends with those two. response:	She's pretty and kind, and not arrogant about being smart...
context: They're so picturesque when they stand next to each other.\They're like the valiant hunk\and the delinquent hunk.\Miyazawa's really lucky,\being friends with those two.\Naturally, when she's so perfect.\I bet I could make friends with those two.\She's pretty and kind, and not arrogant about being smart... response:	And always helps us with everything so nicely.
context: They're like the valiant hunk\and the delinquent hunk.\Miyazawa's really lucky,\being friends with those two.\Naturally, when she's so perfect.\I bet I could make friends with those two.\She's pretty and kind, and not arrogant about being smart...\And always helps us with everything so nicely. response:	I guess perfect people really exist.
context: and the delinquent hunk.\Miyazawa's really lucky,\being friends with those two.\Naturally, when she's so perfect.\I bet I could make friends with those two.\She's pretty and kind, and not arrogant about being smart...\And always helps us with everything so nicely.\I guess perfect people really exist. response:	I don't know.
context: Miyazawa's really lucky,\being friends with those two.\Naturally, when she's so perfect.\I bet I could make friends with those two.\She's pretty and kind, and not arrogant about being smart...\And always helps us with everything so nicely.\I guess perfect people really exist.\I don't know. response:	Maho...
context: being friends with those two.\Naturally, when she's so perfect.\I bet I could make friends with those two.\She's pretty and kind, and not arrogant about being smart...\And always helps us with everything so nicely.\I guess perfect people really exist.\I don't know.\Maho... response:	Is Miyazawa really as nice a person as you all say she is?
context: Naturally, when she's so perfect.\I bet I could make friends with those two.\She's pretty and kind, and not arrogant about being smart...\And always helps us with everything so nicely.\I guess perfect people really exist.\I don't know.\Maho...\Is Miyazawa really as nice a person as you all say she is? response:	Couldn't it be that you're all just being deceived?
context: I bet I could make friends with those two.\She's pretty and kind, and not arrogant about being smart...\And always helps us with everything so nicely.\I guess perfect people really exist.\I don't know.\Maho...\Is Miyazawa really as nice a person as you all say she is?\Couldn't it be that you're all just being deceived? response:	What?
context: She's pretty and kind, and not arrogant about being smart...\And always helps us with everything so nicely.\I guess perfect people really exist.\I don't know.\Maho...\Is Miyazawa really as nice a person as you all say she is?\Couldn't it be that you're all just being deceived?\What? response:	What're you talking about, Maho?!
context: And always helps us with everything so nicely.\I guess perfect people really exist.\I don't know.\Maho...\Is Miyazawa really as nice a person as you all say she is?\Couldn't it be that you're all just being deceived?\What?\What're you talking about, Maho?! response:	I always thought that girl was fishy.
context: I guess perfect people really exist.\I don't know.\Maho...\Is Miyazawa really as nice a person as you all say she is?\Couldn't it be that you're all just being deceived?\What?\What're you talking about, Maho?!\I always thought that girl was fishy. response:	So perfect at anything she does.
