context: Karaoke response:	Signs
context: so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear response:	The NOISE is kicking around the preestablished harmony.
context: Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony. response:	Flaring up and glaring at the present.
context: Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present. response:	I sneak in.
context: If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in. response:	That time at the GARAGE I saw a dream about unchangeable HEART.
context: Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART. response:	So this day and the same tomorrow gets mixed.
context: It doesn't matter why we met, but the pain we suffered\Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed. response:	I'm roaring noisily around in sensibility.
context: Of when we were entranced\and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility. response:	My singing heart plays the BEAT.
context: and touched each other can now become clear\The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT. response:	There's definite evidence.
context: The NOISE is kicking around the preestablished harmony.\Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence. response:	Hold it in your hands.
context: Flaring up and glaring at the present.\I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands. response:	Lose it
context: I sneak in.\That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it response:	Hold it in your hands.
context: That time at the GARAGE I saw a dream about unchangeable HEART.\So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands. response:	Lose it
context: So this day and the same tomorrow gets mixed.\I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands.\Lose it response:	In the fading moments.
context: I'm roaring noisily around in sensibility.\My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands.\Lose it\In the fading moments. response:	Tears have been secretly shed.
context: My singing heart plays the BEAT.\There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed. response:	Everything
context: There's definite evidence.\Hold it in your hands.\Lose it\Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed.\Everything response:	Gets revealed here.
context: Hold it in your hands.\Lose it\Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here. response:	Everything
context: Lose it\Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here.\Everything response:	Gets adjusted to the ordinary time.
context: Hold it in your hands.\Lose it\In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time. response:	I think that's the way it should be
context: Lose it\In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be response:	Following the unclear yellow light.
context: In the fading moments.\Tears have been secretly shed.\Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light. response:	Go through the darkest nights.
context: Tears have been secretly shed.\Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights. response:	At that time I was too afraid.
context: Everything\Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid. response:	But now I'm sending off my life.
context: Gets revealed here.\Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life. response:	You always reflect.
context: Everything\Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect. response:	In my proud heart.
context: Gets adjusted to the ordinary time.\I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart. response:	We should only protect our beliefs.
context: I think that's the way it should be\Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs. response:	Embrace them.
context: Following the unclear yellow light.\Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them. response:	It starts all over everyday.
context: Go through the darkest nights.\At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday. response:	I'm drowning in the raging waves.
context: At that time I was too afraid.\But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves. response:	Still haven't awaken from my dream.
context: But now I'm sending off my life.\You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream. response:	We're all here.
context: You always reflect.\In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here. response:	I always hear.
context: In my proud heart.\We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear. response:	The voices of my fellows.
context: We should only protect our beliefs.\Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows. response:	I'm looking for a way to shake off the solitude.
context: Embrace them.\It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude. response:	In the winds of waiting.
context: It starts all over everyday.\I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting. response:	I have no other way but to move forward.
context: I'm drowning in the raging waves.\Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward. response:	I believe in the way of life.
context: Still haven't awaken from my dream.\We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life. response:	Yeah.
context: We're all here.\I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah. response:	Medusa' s Revival!
context: I always hear.\The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah.\Medusa' s Revival! response:	Spider and Snake, Fate' s Reunion?
context: The voices of my fellows.\I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah.\Medusa' s Revival!\Spider and Snake, Fate' s Reunion? response:	The heated runaway express!
context: I'm looking for a way to shake off the solitude.\In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah.\Medusa' s Revival!\Spider and Snake, Fate' s Reunion?\The heated runaway express! response:	Left Behind by the Great Warlock?
context: In the winds of waiting.\I have no other way but to move forward.\I believe in the way of life.\Yeah.\Medusa' s Revival!\Spider and Snake, Fate' s Reunion?\The heated runaway express!\Left Behind by the Great Warlock? response:	The Demon Tool
context: I have no other way but to move forward.\I believe in the way of life.\Yeah.\Medusa' s Revival!\Spider and Snake, Fate' s Reunion?\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool response:	There's a drawing of a snake in the sky!
context: I believe in the way of life.\Yeah.\Medusa' s Revival!\Spider and Snake, Fate' s Reunion?\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\There's a drawing of a snake in the sky! response:	What are you doing? Daddy's hungry and waiting.
context: Yeah.\Medusa' s Revival!\Spider and Snake, Fate' s Reunion?\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\There's a drawing of a snake in the sky!\What are you doing? Daddy's hungry and waiting. response:	Did you see the snake drawn in the sky, too, Mama?
context: Medusa' s Revival!\Spider and Snake, Fate' s Reunion?\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\There's a drawing of a snake in the sky!\What are you doing? Daddy's hungry and waiting.\Did you see the snake drawn in the sky, too, Mama? response:	It's just a cloud, though, isn't it?
context: Spider and Snake, Fate' s Reunion?\The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\There's a drawing of a snake in the sky!\What are you doing? Daddy's hungry and waiting.\Did you see the snake drawn in the sky, too, Mama?\It's just a cloud, though, isn't it? response:	However, Mama's not good with those kinds of clouds...
context: The heated runaway express!\Left Behind by the Great Warlock?\The Demon Tool\There's a drawing of a snake in the sky!\What are you doing? Daddy's hungry and waiting.\Did you see the snake drawn in the sky, too, Mama?\It's just a cloud, though, isn't it?\However, Mama's not good with those kinds of clouds... response:	Those kinds of clouds?
context: Left Behind by the Great Warlock?\The Demon Tool\There's a drawing of a snake in the sky!\What are you doing? Daddy's hungry and waiting.\Did you see the snake drawn in the sky, too, Mama?\It's just a cloud, though, isn't it?\However, Mama's not good with those kinds of clouds...\Those kinds of clouds? response:	It's a dog!
context: The Demon Tool\There's a drawing of a snake in the sky!\What are you doing? Daddy's hungry and waiting.\Did you see the snake drawn in the sky, too, Mama?\It's just a cloud, though, isn't it?\However, Mama's not good with those kinds of clouds...\Those kinds of clouds?\It's a dog! response:	Oh no, you don't! It's dirty, so don't pet it!
context: There's a drawing of a snake in the sky!\What are you doing? Daddy's hungry and waiting.\Did you see the snake drawn in the sky, too, Mama?\It's just a cloud, though, isn't it?\However, Mama's not good with those kinds of clouds...\Those kinds of clouds?\It's a dog!\Oh no, you don't! It's dirty, so don't pet it! response:	Come here, doggie!
context: What are you doing? Daddy's hungry and waiting.\Did you see the snake drawn in the sky, too, Mama?\It's just a cloud, though, isn't it?\However, Mama's not good with those kinds of clouds...\Those kinds of clouds?\It's a dog!\Oh no, you don't! It's dirty, so don't pet it!\Come here, doggie! response:	What's wrong?
context: Did you see the snake drawn in the sky, too, Mama?\It's just a cloud, though, isn't it?\However, Mama's not good with those kinds of clouds...\Those kinds of clouds?\It's a dog!\Oh no, you don't! It's dirty, so don't pet it!\Come here, doggie!\What's wrong? response:	Are you lonely?
context: It's just a cloud, though, isn't it?\However, Mama's not good with those kinds of clouds...\Those kinds of clouds?\It's a dog!\Oh no, you don't! It's dirty, so don't pet it!\Come here, doggie!\What's wrong?\Are you lonely? response:	Rachel?
context: However, Mama's not good with those kinds of clouds...\Those kinds of clouds?\It's a dog!\Oh no, you don't! It's dirty, so don't pet it!\Come here, doggie!\What's wrong?\Are you lonely?\Rachel? response:	Petting a stray dog...
context: Those kinds of clouds?\It's a dog!\Oh no, you don't! It's dirty, so don't pet it!\Come here, doggie!\What's wrong?\Are you lonely?\Rachel?\Petting a stray dog... response:	You didn't listen to Mama, so don't blame me when something happens to you.
context: It's a dog!\Oh no, you don't! It's dirty, so don't pet it!\Come here, doggie!\What's wrong?\Are you lonely?\Rachel?\Petting a stray dog...\You didn't listen to Mama, so don't blame me when something happens to you. response:	Rachel?
context: Oh no, you don't! It's dirty, so don't pet it!\Come here, doggie!\What's wrong?\Are you lonely?\Rachel?\Petting a stray dog...\You didn't listen to Mama, so don't blame me when something happens to you.\Rachel? response:	Yes, I'm sorry, Mama.
context: Come here, doggie!\What's wrong?\Are you lonely?\Rachel?\Petting a stray dog...\You didn't listen to Mama, so don't blame me when something happens to you.\Rachel?\Yes, I'm sorry, Mama. response:	This is the blueprint we brought back from Arachne's research facility for the Demon Tool,
context: What's wrong?\Are you lonely?\Rachel?\Petting a stray dog...\You didn't listen to Mama, so don't blame me when something happens to you.\Rachel?\Yes, I'm sorry, Mama.\This is the blueprint we brought back from Arachne's research facility for the Demon Tool, response:	but after some research, we've come to understand this as a part of the Book of Eibon.
context: Are you lonely?\Rachel?\Petting a stray dog...\You didn't listen to Mama, so don't blame me when something happens to you.\Rachel?\Yes, I'm sorry, Mama.\This is the blueprint we brought back from Arachne's research facility for the Demon Tool,\but after some research, we've come to understand this as a part of the Book of Eibon. response:	Should we destroy it immediately?
context: Rachel?\Petting a stray dog...\You didn't listen to Mama, so don't blame me when something happens to you.\Rachel?\Yes, I'm sorry, Mama.\This is the blueprint we brought back from Arachne's research facility for the Demon Tool,\but after some research, we've come to understand this as a part of the Book of Eibon.\Should we destroy it immediately? response:	No, please seal it in the secret vault.
context: Petting a stray dog...\You didn't listen to Mama, so don't blame me when something happens to you.\Rachel?\Yes, I'm sorry, Mama.\This is the blueprint we brought back from Arachne's research facility for the Demon Tool,\but after some research, we've come to understand this as a part of the Book of Eibon.\Should we destroy it immediately?\No, please seal it in the secret vault. response:	But, such a dangerous thing...
context: You didn't listen to Mama, so don't blame me when something happens to you.\Rachel?\Yes, I'm sorry, Mama.\This is the blueprint we brought back from Arachne's research facility for the Demon Tool,\but after some research, we've come to understand this as a part of the Book of Eibon.\Should we destroy it immediately?\No, please seal it in the secret vault.\But, such a dangerous thing... response:	Nygus!
context: Rachel?\Yes, I'm sorry, Mama.\This is the blueprint we brought back from Arachne's research facility for the Demon Tool,\but after some research, we've come to understand this as a part of the Book of Eibon.\Should we destroy it immediately?\No, please seal it in the secret vault.\But, such a dangerous thing...\Nygus! response:	Understood.
context: Yes, I'm sorry, Mama.\This is the blueprint we brought back from Arachne's research facility for the Demon Tool,\but after some research, we've come to understand this as a part of the Book of Eibon.\Should we destroy it immediately?\No, please seal it in the secret vault.\But, such a dangerous thing...\Nygus!\Understood. response:	Sid and Nygus.
context: This is the blueprint we brought back from Arachne's research facility for the Demon Tool,\but after some research, we've come to understand this as a part of the Book of Eibon.\Should we destroy it immediately?\No, please seal it in the secret vault.\But, such a dangerous thing...\Nygus!\Understood.\Sid and Nygus. response:	I assume you're well aware of this,
context: but after some research, we've come to understand this as a part of the Book of Eibon.\Should we destroy it immediately?\No, please seal it in the secret vault.\But, such a dangerous thing...\Nygus!\Understood.\Sid and Nygus.\I assume you're well aware of this, response:	but this subject is to be handled with the utmost secrecy, okay?
context: Should we destroy it immediately?\No, please seal it in the secret vault.\But, such a dangerous thing...\Nygus!\Understood.\Sid and Nygus.\I assume you're well aware of this,\but this subject is to be handled with the utmost secrecy, okay? response:	Rachel,
context: No, please seal it in the secret vault.\But, such a dangerous thing...\Nygus!\Understood.\Sid and Nygus.\I assume you're well aware of this,\but this subject is to be handled with the utmost secrecy, okay?\Rachel, response:	aren't you watching too much TV? It's been on forever.
context: But, such a dangerous thing...\Nygus!\Understood.\Sid and Nygus.\I assume you're well aware of this,\but this subject is to be handled with the utmost secrecy, okay?\Rachel,\aren't you watching too much TV? It's been on forever. response:	Do as Mama says.
context: Nygus!\Understood.\Sid and Nygus.\I assume you're well aware of this,\but this subject is to be handled with the utmost secrecy, okay?\Rachel,\aren't you watching too much TV? It's been on forever.\Do as Mama says. response:	You'll be scolded if you aren't a good girl.
context: Understood.\Sid and Nygus.\I assume you're well aware of this,\but this subject is to be handled with the utmost secrecy, okay?\Rachel,\aren't you watching too much TV? It's been on forever.\Do as Mama says.\You'll be scolded if you aren't a good girl. response:	Good night, Mama.
context: Sid and Nygus.\I assume you're well aware of this,\but this subject is to be handled with the utmost secrecy, okay?\Rachel,\aren't you watching too much TV? It's been on forever.\Do as Mama says.\You'll be scolded if you aren't a good girl.\Good night, Mama. response:	Good night.
context: I assume you're well aware of this,\but this subject is to be handled with the utmost secrecy, okay?\Rachel,\aren't you watching too much TV? It's been on forever.\Do as Mama says.\You'll be scolded if you aren't a good girl.\Good night, Mama.\Good night. response:	Hey, don't you think Rach's behavior was a bit weird?
context: but this subject is to be handled with the utmost secrecy, okay?\Rachel,\aren't you watching too much TV? It's been on forever.\Do as Mama says.\You'll be scolded if you aren't a good girl.\Good night, Mama.\Good night.\Hey, don't you think Rach's behavior was a bit weird? response:	You think so?
context: Rachel,\aren't you watching too much TV? It's been on forever.\Do as Mama says.\You'll be scolded if you aren't a good girl.\Good night, Mama.\Good night.\Hey, don't you think Rach's behavior was a bit weird?\You think so? response:	She was a bit of an airhead all day...
context: aren't you watching too much TV? It's been on forever.\Do as Mama says.\You'll be scolded if you aren't a good girl.\Good night, Mama.\Good night.\Hey, don't you think Rach's behavior was a bit weird?\You think so?\She was a bit of an airhead all day... response:	Kids grow up without their parents noticing.
context: Do as Mama says.\You'll be scolded if you aren't a good girl.\Good night, Mama.\Good night.\Hey, don't you think Rach's behavior was a bit weird?\You think so?\She was a bit of an airhead all day...\Kids grow up without their parents noticing. response:	Changing a bit is not something to be surprised about...
context: You'll be scolded if you aren't a good girl.\Good night, Mama.\Good night.\Hey, don't you think Rach's behavior was a bit weird?\You think so?\She was a bit of an airhead all day...\Kids grow up without their parents noticing.\Changing a bit is not something to be surprised about... response:	But...
context: Good night, Mama.\Good night.\Hey, don't you think Rach's behavior was a bit weird?\You think so?\She was a bit of an airhead all day...\Kids grow up without their parents noticing.\Changing a bit is not something to be surprised about...\But... response:	I guess you're right...
context: Good night.\Hey, don't you think Rach's behavior was a bit weird?\You think so?\She was a bit of an airhead all day...\Kids grow up without their parents noticing.\Changing a bit is not something to be surprised about...\But...\I guess you're right... response:	What? What is it?
context: Hey, don't you think Rach's behavior was a bit weird?\You think so?\She was a bit of an airhead all day...\Kids grow up without their parents noticing.\Changing a bit is not something to be surprised about...\But...\I guess you're right...\What? What is it? response:	Mama, Papa, a scary snake appeared.
context: You think so?\She was a bit of an airhead all day...\Kids grow up without their parents noticing.\Changing a bit is not something to be surprised about...\But...\I guess you're right...\What? What is it?\Mama, Papa, a scary snake appeared. response:	She has a big mouth and she's going to eat my head.
context: She was a bit of an airhead all day...\Kids grow up without their parents noticing.\Changing a bit is not something to be surprised about...\But...\I guess you're right...\What? What is it?\Mama, Papa, a scary snake appeared.\She has a big mouth and she's going to eat my head. response:	A snake?
context: Kids grow up without their parents noticing.\Changing a bit is not something to be surprised about...\But...\I guess you're right...\What? What is it?\Mama, Papa, a scary snake appeared.\She has a big mouth and she's going to eat my head.\A snake? response:	Is that so? You had a scary dream, right?
context: Changing a bit is not something to be surprised about...\But...\I guess you're right...\What? What is it?\Mama, Papa, a scary snake appeared.\She has a big mouth and she's going to eat my head.\A snake?\Is that so? You had a scary dream, right? response:	There, today you get the special place.
context: But...\I guess you're right...\What? What is it?\Mama, Papa, a scary snake appeared.\She has a big mouth and she's going to eat my head.\A snake?\Is that so? You had a scary dream, right?\There, today you get the special place. response:	Papa will scare that snake away.
context: I guess you're right...\What? What is it?\Mama, Papa, a scary snake appeared.\She has a big mouth and she's going to eat my head.\A snake?\Is that so? You had a scary dream, right?\There, today you get the special place.\Papa will scare that snake away. response:	Right, Mama?
context: What? What is it?\Mama, Papa, a scary snake appeared.\She has a big mouth and she's going to eat my head.\A snake?\Is that so? You had a scary dream, right?\There, today you get the special place.\Papa will scare that snake away.\Right, Mama? response:	Yeah...
context: Mama, Papa, a scary snake appeared.\She has a big mouth and she's going to eat my head.\A snake?\Is that so? You had a scary dream, right?\There, today you get the special place.\Papa will scare that snake away.\Right, Mama?\Yeah... response:	Medusa's Revival!
context: She has a big mouth and she's going to eat my head.\A snake?\Is that so? You had a scary dream, right?\There, today you get the special place.\Papa will scare that snake away.\Right, Mama?\Yeah...\Medusa's Revival! response:	Spider and Snake, Fate's Reunion?
context: A snake?\Is that so? You had a scary dream, right?\There, today you get the special place.\Papa will scare that snake away.\Right, Mama?\Yeah...\Medusa's Revival!\Spider and Snake, Fate's Reunion? response:	Let's start the lesson...
context: Is that so? You had a scary dream, right?\There, today you get the special place.\Papa will scare that snake away.\Right, Mama?\Yeah...\Medusa's Revival!\Spider and Snake, Fate's Reunion?\Let's start the lesson... response:	Now, take your seats already.
context: There, today you get the special place.\Papa will scare that snake away.\Right, Mama?\Yeah...\Medusa's Revival!\Spider and Snake, Fate's Reunion?\Let's start the lesson...\Now, take your seats already. response:	I was worried for a while there. It's great the magic wore off.
context: Papa will scare that snake away.\Right, Mama?\Yeah...\Medusa's Revival!\Spider and Snake, Fate's Reunion?\Let's start the lesson...\Now, take your seats already.\I was worried for a while there. It's great the magic wore off. response:	Yes.
context: Right, Mama?\Yeah...\Medusa's Revival!\Spider and Snake, Fate's Reunion?\Let's start the lesson...\Now, take your seats already.\I was worried for a while there. It's great the magic wore off.\Yes. response:	I'm completely refreshed!
context: Yeah...\Medusa's Revival!\Spider and Snake, Fate's Reunion?\Let's start the lesson...\Now, take your seats already.\I was worried for a while there. It's great the magic wore off.\Yes.\I'm completely refreshed! response:	Enough to go wild!
context: Medusa's Revival!\Spider and Snake, Fate's Reunion?\Let's start the lesson...\Now, take your seats already.\I was worried for a while there. It's great the magic wore off.\Yes.\I'm completely refreshed!\Enough to go wild! response:	Then shall we do that to begin with?
context: Spider and Snake, Fate's Reunion?\Let's start the lesson...\Now, take your seats already.\I was worried for a while there. It's great the magic wore off.\Yes.\I'm completely refreshed!\Enough to go wild!\Then shall we do that to begin with? response:	Could you not stand up?
context: Let's start the lesson...\Now, take your seats already.\I was worried for a while there. It's great the magic wore off.\Yes.\I'm completely refreshed!\Enough to go wild!\Then shall we do that to begin with?\Could you not stand up? response:	Let's have a party after school.
context: Now, take your seats already.\I was worried for a while there. It's great the magic wore off.\Yes.\I'm completely refreshed!\Enough to go wild!\Then shall we do that to begin with?\Could you not stand up?\Let's have a party after school. response:	Surely, if Maka comes, Crona will tag along too, right?
context: I was worried for a while there. It's great the magic wore off.\Yes.\I'm completely refreshed!\Enough to go wild!\Then shall we do that to begin with?\Could you not stand up?\Let's have a party after school.\Surely, if Maka comes, Crona will tag along too, right? response:	The whole gang!
context: Yes.\I'm completely refreshed!\Enough to go wild!\Then shall we do that to begin with?\Could you not stand up?\Let's have a party after school.\Surely, if Maka comes, Crona will tag along too, right?\The whole gang! response:	The troublesome person is late, though...
context: I'm completely refreshed!\Enough to go wild!\Then shall we do that to begin with?\Could you not stand up?\Let's have a party after school.\Surely, if Maka comes, Crona will tag along too, right?\The whole gang!\The troublesome person is late, though... response:	That Black Star... He's probably fighting again, right, Tsubaki?
context: Enough to go wild!\Then shall we do that to begin with?\Could you not stand up?\Let's have a party after school.\Surely, if Maka comes, Crona will tag along too, right?\The whole gang!\The troublesome person is late, though...\That Black Star... He's probably fighting again, right, Tsubaki? response:	Yes.
context: Then shall we do that to begin with?\Could you not stand up?\Let's have a party after school.\Surely, if Maka comes, Crona will tag along too, right?\The whole gang!\The troublesome person is late, though...\That Black Star... He's probably fighting again, right, Tsubaki?\Yes. response:	Whimsy, isn't he? He completely ignores you and goes off on his own...
context: Could you not stand up?\Let's have a party after school.\Surely, if Maka comes, Crona will tag along too, right?\The whole gang!\The troublesome person is late, though...\That Black Star... He's probably fighting again, right, Tsubaki?\Yes.\Whimsy, isn't he? He completely ignores you and goes off on his own... response:	It sort of comes with the package, so I can't do much about it...
