context: There's an emergency message from the Detention Corps! response:	The new Oracion Seis's aim isn't the destruction of churches!
context: Not definitely an impostor,\but it's highly probable.\After all, we've got the real one right here.\Understood! I'll pass it on to Master and Lucy.\We'll take this girl to a nearby hospital.\What the hell's going on?!\What does this mean?\Anyway, we've got to contact Natsu and the others! response:	Do they have long-distance communication cards?
context: but it's highly probable.\After all, we've got the real one right here.\Understood! I'll pass it on to Master and Lucy.\We'll take this girl to a nearby hospital.\What the hell's going on?!\What does this mean?\Anyway, we've got to contact Natsu and the others!\Do they have long-distance communication cards? response:	Each team has one.
context: After all, we've got the real one right here.\Understood! I'll pass it on to Master and Lucy.\We'll take this girl to a nearby hospital.\What the hell's going on?!\What does this mean?\Anyway, we've got to contact Natsu and the others!\Do they have long-distance communication cards?\Each team has one. response:	Even Elfman's got one.
context: Understood! I'll pass it on to Master and Lucy.\We'll take this girl to a nearby hospital.\What the hell's going on?!\What does this mean?\Anyway, we've got to contact Natsu and the others!\Do they have long-distance communication cards?\Each team has one.\Even Elfman's got one. response:	It's terrible! We got word that the Six Generals are attacking Kardia Cathedral!
context: We'll take this girl to a nearby hospital.\What the hell's going on?!\What does this mean?\Anyway, we've got to contact Natsu and the others!\Do they have long-distance communication cards?\Each team has one.\Even Elfman's got one.\It's terrible! We got word that the Six Generals are attacking Kardia Cathedral! response:	What?!
context: What the hell's going on?!\What does this mean?\Anyway, we've got to contact Natsu and the others!\Do they have long-distance communication cards?\Each team has one.\Even Elfman's got one.\It's terrible! We got word that the Six Generals are attacking Kardia Cathedral!\What?! response:	This is bad. None of us are over there!
context: What does this mean?\Anyway, we've got to contact Natsu and the others!\Do they have long-distance communication cards?\Each team has one.\Even Elfman's got one.\It's terrible! We got word that the Six Generals are attacking Kardia Cathedral!\What?!\This is bad. None of us are over there! response:	We'll go. Bisca...
context: Anyway, we've got to contact Natsu and the others!\Do they have long-distance communication cards?\Each team has one.\Even Elfman's got one.\It's terrible! We got word that the Six Generals are attacking Kardia Cathedral!\What?!\This is bad. None of us are over there!\We'll go. Bisca... response:	Right.
context: Do they have long-distance communication cards?\Each team has one.\Even Elfman's got one.\It's terrible! We got word that the Six Generals are attacking Kardia Cathedral!\What?!\This is bad. None of us are over there!\We'll go. Bisca...\Right. response:	Please watch Asuka for us.
context: Each team has one.\Even Elfman's got one.\It's terrible! We got word that the Six Generals are attacking Kardia Cathedral!\What?!\This is bad. None of us are over there!\We'll go. Bisca...\Right.\Please watch Asuka for us. response:	Natsu! Lucy! Elfman!
context: Even Elfman's got one.\It's terrible! We got word that the Six Generals are attacking Kardia Cathedral!\What?!\This is bad. None of us are over there!\We'll go. Bisca...\Right.\Please watch Asuka for us.\Natsu! Lucy! Elfman! response:	Michelle is an impostor! Be careful!
context: It's terrible! We got word that the Six Generals are attacking Kardia Cathedral!\What?!\This is bad. None of us are over there!\We'll go. Bisca...\Right.\Please watch Asuka for us.\Natsu! Lucy! Elfman!\Michelle is an impostor! Be careful! response:	Hey! Can you hear me?! Somebody answer!
context: What?!\This is bad. None of us are over there!\We'll go. Bisca...\Right.\Please watch Asuka for us.\Natsu! Lucy! Elfman!\Michelle is an impostor! Be careful!\Hey! Can you hear me?! Somebody answer! response:	Super! Hot! Punch!
context: This is bad. None of us are over there!\We'll go. Bisca...\Right.\Please watch Asuka for us.\Natsu! Lucy! Elfman!\Michelle is an impostor! Be careful!\Hey! Can you hear me?! Somebody answer!\Super! Hot! Punch! response:	I hit the jackpot!
context: We'll go. Bisca...\Right.\Please watch Asuka for us.\Natsu! Lucy! Elfman!\Michelle is an impostor! Be careful!\Hey! Can you hear me?! Somebody answer!\Super! Hot! Punch!\I hit the jackpot! response:	If they go down together, it's convenient for me.
context: Right.\Please watch Asuka for us.\Natsu! Lucy! Elfman!\Michelle is an impostor! Be careful!\Hey! Can you hear me?! Somebody answer!\Super! Hot! Punch!\I hit the jackpot!\If they go down together, it's convenient for me. response:	Still, something about it doesn't sit right.
context: Please watch Asuka for us.\Natsu! Lucy! Elfman!\Michelle is an impostor! Be careful!\Hey! Can you hear me?! Somebody answer!\Super! Hot! Punch!\I hit the jackpot!\If they go down together, it's convenient for me.\Still, something about it doesn't sit right. response:	Why, after all this time?
context: Natsu! Lucy! Elfman!\Michelle is an impostor! Be careful!\Hey! Can you hear me?! Somebody answer!\Super! Hot! Punch!\I hit the jackpot!\If they go down together, it's convenient for me.\Still, something about it doesn't sit right.\Why, after all this time? response:	For what purpose...?
context: Michelle is an impostor! Be careful!\Hey! Can you hear me?! Somebody answer!\Super! Hot! Punch!\I hit the jackpot!\If they go down together, it's convenient for me.\Still, something about it doesn't sit right.\Why, after all this time?\For what purpose...? response:	Get back, Michelle! I promise I'll protect you!
context: Hey! Can you hear me?! Somebody answer!\Super! Hot! Punch!\I hit the jackpot!\If they go down together, it's convenient for me.\Still, something about it doesn't sit right.\Why, after all this time?\For what purpose...?\Get back, Michelle! I promise I'll protect you! response:	I've been having so much fun playing with you all
context: Super! Hot! Punch!\I hit the jackpot!\If they go down together, it's convenient for me.\Still, something about it doesn't sit right.\Why, after all this time?\For what purpose...?\Get back, Michelle! I promise I'll protect you!\I've been having so much fun playing with you all response:	that I forgot the important work I have to do!
context: I hit the jackpot!\If they go down together, it's convenient for me.\Still, something about it doesn't sit right.\Why, after all this time?\For what purpose...?\Get back, Michelle! I promise I'll protect you!\I've been having so much fun playing with you all\that I forgot the important work I have to do! response:	Please excuse me for now...
context: If they go down together, it's convenient for me.\Still, something about it doesn't sit right.\Why, after all this time?\For what purpose...?\Get back, Michelle! I promise I'll protect you!\I've been having so much fun playing with you all\that I forgot the important work I have to do!\Please excuse me for now... response:	It's Oracion Seis!
context: Still, something about it doesn't sit right.\Why, after all this time?\For what purpose...?\Get back, Michelle! I promise I'll protect you!\I've been having so much fun playing with you all\that I forgot the important work I have to do!\Please excuse me for now...\It's Oracion Seis! response:	Alright, let's do this all at once! Come on!
context: Why, after all this time?\For what purpose...?\Get back, Michelle! I promise I'll protect you!\I've been having so much fun playing with you all\that I forgot the important work I have to do!\Please excuse me for now...\It's Oracion Seis!\Alright, let's do this all at once! Come on! response:	There it is!
context: For what purpose...?\Get back, Michelle! I promise I'll protect you!\I've been having so much fun playing with you all\that I forgot the important work I have to do!\Please excuse me for now...\It's Oracion Seis!\Alright, let's do this all at once! Come on!\There it is! response:	Bombdrop Bonus! Boom-boom-boom!
context: Get back, Michelle! I promise I'll protect you!\I've been having so much fun playing with you all\that I forgot the important work I have to do!\Please excuse me for now...\It's Oracion Seis!\Alright, let's do this all at once! Come on!\There it is!\Bombdrop Bonus! Boom-boom-boom! response:	Dammit!
context: I've been having so much fun playing with you all\that I forgot the important work I have to do!\Please excuse me for now...\It's Oracion Seis!\Alright, let's do this all at once! Come on!\There it is!\Bombdrop Bonus! Boom-boom-boom!\Dammit! response:	Why destroy the church?!
context: that I forgot the important work I have to do!\Please excuse me for now...\It's Oracion Seis!\Alright, let's do this all at once! Come on!\There it is!\Bombdrop Bonus! Boom-boom-boom!\Dammit!\Why destroy the church?! response:	W-What did you do?!
context: Please excuse me for now...\It's Oracion Seis!\Alright, let's do this all at once! Come on!\There it is!\Bombdrop Bonus! Boom-boom-boom!\Dammit!\Why destroy the church?!\W-What did you do?! response:	Bastard!
context: It's Oracion Seis!\Alright, let's do this all at once! Come on!\There it is!\Bombdrop Bonus! Boom-boom-boom!\Dammit!\Why destroy the church?!\W-What did you do?!\Bastard! response:	Unleashed Despair!
context: Alright, let's do this all at once! Come on!\There it is!\Bombdrop Bonus! Boom-boom-boom!\Dammit!\Why destroy the church?!\W-What did you do?!\Bastard!\Unleashed Despair! response:	Sand Slash!
context: There it is!\Bombdrop Bonus! Boom-boom-boom!\Dammit!\Why destroy the church?!\W-What did you do?!\Bastard!\Unleashed Despair!\Sand Slash! response:	It's useless. I can hear you.
context: Bombdrop Bonus! Boom-boom-boom!\Dammit!\Why destroy the church?!\W-What did you do?!\Bastard!\Unleashed Despair!\Sand Slash!\It's useless. I can hear you. response:	Well, I can...
context: Dammit!\Why destroy the church?!\W-What did you do?!\Bastard!\Unleashed Despair!\Sand Slash!\It's useless. I can hear you.\Well, I can... response:	I'm telling you...
context: Why destroy the church?!\W-What did you do?!\Bastard!\Unleashed Despair!\Sand Slash!\It's useless. I can hear you.\Well, I can...\I'm telling you... response:	Gotcha.
context: W-What did you do?!\Bastard!\Unleashed Despair!\Sand Slash!\It's useless. I can hear you.\Well, I can...\I'm telling you...\Gotcha. response:	Sand Trap!
context: Bastard!\Unleashed Despair!\Sand Slash!\It's useless. I can hear you.\Well, I can...\I'm telling you...\Gotcha.\Sand Trap! response:	I got the idea from Sugar Boy's mucus!
context: Unleashed Despair!\Sand Slash!\It's useless. I can hear you.\Well, I can...\I'm telling you...\Gotcha.\Sand Trap!\I got the idea from Sugar Boy's mucus! response:	Erza! Go!
context: Sand Slash!\It's useless. I can hear you.\Well, I can...\I'm telling you...\Gotcha.\Sand Trap!\I got the idea from Sugar Boy's mucus!\Erza! Go! response:	I told you. I can hear you!
context: It's useless. I can hear you.\Well, I can...\I'm telling you...\Gotcha.\Sand Trap!\I got the idea from Sugar Boy's mucus!\Erza! Go!\I told you. I can hear you! response:	Shatter!
context: Well, I can...\I'm telling you...\Gotcha.\Sand Trap!\I got the idea from Sugar Boy's mucus!\Erza! Go!\I told you. I can hear you!\Shatter! response:	Max!
context: I'm telling you...\Gotcha.\Sand Trap!\I got the idea from Sugar Boy's mucus!\Erza! Go!\I told you. I can hear you!\Shatter!\Max! response:	You make me sick.
context: Gotcha.\Sand Trap!\I got the idea from Sugar Boy's mucus!\Erza! Go!\I told you. I can hear you!\Shatter!\Max!\You make me sick. response:	Making like you have a beautiful friendship...
context: Sand Trap!\I got the idea from Sugar Boy's mucus!\Erza! Go!\I told you. I can hear you!\Shatter!\Max!\You make me sick.\Making like you have a beautiful friendship... response:	Bastard...
context: I got the idea from Sugar Boy's mucus!\Erza! Go!\I told you. I can hear you!\Shatter!\Max!\You make me sick.\Making like you have a beautiful friendship...\Bastard... response:	Cubelious is gone.
context: Erza! Go!\I told you. I can hear you!\Shatter!\Max!\You make me sick.\Making like you have a beautiful friendship...\Bastard...\Cubelious is gone. response:	I no longer have any friends.
context: I told you. I can hear you!\Shatter!\Max!\You make me sick.\Making like you have a beautiful friendship...\Bastard...\Cubelious is gone.\I no longer have any friends. response:	I heard that... Your sadness...
context: Shatter!\Max!\You make me sick.\Making like you have a beautiful friendship...\Bastard...\Cubelious is gone.\I no longer have any friends.\I heard that... Your sadness... response:	But people can get stronger by overcoming their sadness.
context: Max!\You make me sick.\Making like you have a beautiful friendship...\Bastard...\Cubelious is gone.\I no longer have any friends.\I heard that... Your sadness...\But people can get stronger by overcoming their sadness. response:	As if you know anything...
context: You make me sick.\Making like you have a beautiful friendship...\Bastard...\Cubelious is gone.\I no longer have any friends.\I heard that... Your sadness...\But people can get stronger by overcoming their sadness.\As if you know anything... response:	There's no way you can comprehend the pain that's in my heart.
context: Making like you have a beautiful friendship...\Bastard...\Cubelious is gone.\I no longer have any friends.\I heard that... Your sadness...\But people can get stronger by overcoming their sadness.\As if you know anything...\There's no way you can comprehend the pain that's in my heart. response:	Don't be so sure!
context: Bastard...\Cubelious is gone.\I no longer have any friends.\I heard that... Your sadness...\But people can get stronger by overcoming their sadness.\As if you know anything...\There's no way you can comprehend the pain that's in my heart.\Don't be so sure! response:	Everyone bears pain in their heart.
context: Cubelious is gone.\I no longer have any friends.\I heard that... Your sadness...\But people can get stronger by overcoming their sadness.\As if you know anything...\There's no way you can comprehend the pain that's in my heart.\Don't be so sure!\Everyone bears pain in their heart. response:	Yes. Everyone...
context: I no longer have any friends.\I heard that... Your sadness...\But people can get stronger by overcoming their sadness.\As if you know anything...\There's no way you can comprehend the pain that's in my heart.\Don't be so sure!\Everyone bears pain in their heart.\Yes. Everyone... response:	This way!
context: I heard that... Your sadness...\But people can get stronger by overcoming their sadness.\As if you know anything...\There's no way you can comprehend the pain that's in my heart.\Don't be so sure!\Everyone bears pain in their heart.\Yes. Everyone...\This way! response:	We found the Celestial Spirit Wizard and have her in protective custody!
context: But people can get stronger by overcoming their sadness.\As if you know anything...\There's no way you can comprehend the pain that's in my heart.\Don't be so sure!\Everyone bears pain in their heart.\Yes. Everyone...\This way!\We found the Celestial Spirit Wizard and have her in protective custody! response:	Alright! Take her to headquarters, quickly!
context: As if you know anything...\There's no way you can comprehend the pain that's in my heart.\Don't be so sure!\Everyone bears pain in their heart.\Yes. Everyone...\This way!\We found the Celestial Spirit Wizard and have her in protective custody!\Alright! Take her to headquarters, quickly! response:	I've been so busy here, I forgot my purpose...
context: There's no way you can comprehend the pain that's in my heart.\Don't be so sure!\Everyone bears pain in their heart.\Yes. Everyone...\This way!\We found the Celestial Spirit Wizard and have her in protective custody!\Alright! Take her to headquarters, quickly!\I've been so busy here, I forgot my purpose... response:	Titania. One of these days, we'll settle this for good.
context: Don't be so sure!\Everyone bears pain in their heart.\Yes. Everyone...\This way!\We found the Celestial Spirit Wizard and have her in protective custody!\Alright! Take her to headquarters, quickly!\I've been so busy here, I forgot my purpose...\Titania. One of these days, we'll settle this for good. response:	Good job.
context: Everyone bears pain in their heart.\Yes. Everyone...\This way!\We found the Celestial Spirit Wizard and have her in protective custody!\Alright! Take her to headquarters, quickly!\I've been so busy here, I forgot my purpose...\Titania. One of these days, we'll settle this for good.\Good job. response:	I found him. I captured the Celestial Spirit Wizard.
context: Yes. Everyone...\This way!\We found the Celestial Spirit Wizard and have her in protective custody!\Alright! Take her to headquarters, quickly!\I've been so busy here, I forgot my purpose...\Titania. One of these days, we'll settle this for good.\Good job.\I found him. I captured the Celestial Spirit Wizard. response:	The Anti-Link amplitude limiter.
context: This way!\We found the Celestial Spirit Wizard and have her in protective custody!\Alright! Take her to headquarters, quickly!\I've been so busy here, I forgot my purpose...\Titania. One of these days, we'll settle this for good.\Good job.\I found him. I captured the Celestial Spirit Wizard.\The Anti-Link amplitude limiter. response:	I'm going to activate it.
context: We found the Celestial Spirit Wizard and have her in protective custody!\Alright! Take her to headquarters, quickly!\I've been so busy here, I forgot my purpose...\Titania. One of these days, we'll settle this for good.\Good job.\I found him. I captured the Celestial Spirit Wizard.\The Anti-Link amplitude limiter.\I'm going to activate it. response:	You...!
context: Alright! Take her to headquarters, quickly!\I've been so busy here, I forgot my purpose...\Titania. One of these days, we'll settle this for good.\Good job.\I found him. I captured the Celestial Spirit Wizard.\The Anti-Link amplitude limiter.\I'm going to activate it.\You...! response:	Beautiful...
context: I've been so busy here, I forgot my purpose...\Titania. One of these days, we'll settle this for good.\Good job.\I found him. I captured the Celestial Spirit Wizard.\The Anti-Link amplitude limiter.\I'm going to activate it.\You...!\Beautiful... response:	Even if you sever my biological link, there are more of us...
context: Titania. One of these days, we'll settle this for good.\Good job.\I found him. I captured the Celestial Spirit Wizard.\The Anti-Link amplitude limiter.\I'm going to activate it.\You...!\Beautiful...\Even if you sever my biological link, there are more of us... response:	According to the information he got out of Father Fabrizio...
context: Good job.\I found him. I captured the Celestial Spirit Wizard.\The Anti-Link amplitude limiter.\I'm going to activate it.\You...!\Beautiful...\Even if you sever my biological link, there are more of us...\According to the information he got out of Father Fabrizio... response:	Yay! What fun!
context: I found him. I captured the Celestial Spirit Wizard.\The Anti-Link amplitude limiter.\I'm going to activate it.\You...!\Beautiful...\Even if you sever my biological link, there are more of us...\According to the information he got out of Father Fabrizio...\Yay! What fun! response:	At last, our prayers will be answered.
context: The Anti-Link amplitude limiter.\I'm going to activate it.\You...!\Beautiful...\Even if you sever my biological link, there are more of us...\According to the information he got out of Father Fabrizio...\Yay! What fun!\At last, our prayers will be answered. response:	Your doctrine is being misused?!
context: I'm going to activate it.\You...!\Beautiful...\Even if you sever my biological link, there are more of us...\According to the information he got out of Father Fabrizio...\Yay! What fun!\At last, our prayers will be answered.\Your doctrine is being misused?! response:	What does that mean?
context: You...!\Beautiful...\Even if you sever my biological link, there are more of us...\According to the information he got out of Father Fabrizio...\Yay! What fun!\At last, our prayers will be answered.\Your doctrine is being misused?!\What does that mean? response:	Before I explain that...
context: Beautiful...\Even if you sever my biological link, there are more of us...\According to the information he got out of Father Fabrizio...\Yay! What fun!\At last, our prayers will be answered.\Your doctrine is being misused?!\What does that mean?\Before I explain that... response:	Fine. I'll go along with it.
context: Even if you sever my biological link, there are more of us...\According to the information he got out of Father Fabrizio...\Yay! What fun!\At last, our prayers will be answered.\Your doctrine is being misused?!\What does that mean?\Before I explain that...\Fine. I'll go along with it. response:	Why?
context: According to the information he got out of Father Fabrizio...\Yay! What fun!\At last, our prayers will be answered.\Your doctrine is being misused?!\What does that mean?\Before I explain that...\Fine. I'll go along with it.\Why? response:	There's some kind of doubt, right?
context: Yay! What fun!\At last, our prayers will be answered.\Your doctrine is being misused?!\What does that mean?\Before I explain that...\Fine. I'll go along with it.\Why?\There's some kind of doubt, right? response:	I don't really understand how males think.
context: At last, our prayers will be answered.\Your doctrine is being misused?!\What does that mean?\Before I explain that...\Fine. I'll go along with it.\Why?\There's some kind of doubt, right?\I don't really understand how males think. response:	What are you talking about, the misuse of your doctrine?!
context: Your doctrine is being misused?!\What does that mean?\Before I explain that...\Fine. I'll go along with it.\Why?\There's some kind of doubt, right?\I don't really understand how males think.\What are you talking about, the misuse of your doctrine?! response:	What is Zentopia plotting?!
context: What does that mean?\Before I explain that...\Fine. I'll go along with it.\Why?\There's some kind of doubt, right?\I don't really understand how males think.\What are you talking about, the misuse of your doctrine?!\What is Zentopia plotting?! response:	Before we departed,
context: Before I explain that...\Fine. I'll go along with it.\Why?\There's some kind of doubt, right?\I don't really understand how males think.\What are you talking about, the misuse of your doctrine?!\What is Zentopia plotting?!\Before we departed, response:	Cardinal Rapowant gave us individual missions!
context: Fine. I'll go along with it.\Why?\There's some kind of doubt, right?\I don't really understand how males think.\What are you talking about, the misuse of your doctrine?!\What is Zentopia plotting?!\Before we departed,\Cardinal Rapowant gave us individual missions! response:	Rapowant?
context: Why?\There's some kind of doubt, right?\I don't really understand how males think.\What are you talking about, the misuse of your doctrine?!\What is Zentopia plotting?!\Before we departed,\Cardinal Rapowant gave us individual missions!\Rapowant? response:	Cardinal... That's one of the church's head honchos, right?
context: There's some kind of doubt, right?\I don't really understand how males think.\What are you talking about, the misuse of your doctrine?!\What is Zentopia plotting?!\Before we departed,\Cardinal Rapowant gave us individual missions!\Rapowant?\Cardinal... That's one of the church's head honchos, right? response:	Dan and Mary were to interfere with you...
context: I don't really understand how males think.\What are you talking about, the misuse of your doctrine?!\What is Zentopia plotting?!\Before we departed,\Cardinal Rapowant gave us individual missions!\Rapowant?\Cardinal... That's one of the church's head honchos, right?\Dan and Mary were to interfere with you... response:	Sugar Boy was to stand by, prepared in case of an emergency...
context: What are you talking about, the misuse of your doctrine?!\What is Zentopia plotting?!\Before we departed,\Cardinal Rapowant gave us individual missions!\Rapowant?\Cardinal... That's one of the church's head honchos, right?\Dan and Mary were to interfere with you...\Sugar Boy was to stand by, prepared in case of an emergency... response:	And Gatman...
context: What is Zentopia plotting?!\Before we departed,\Cardinal Rapowant gave us individual missions!\Rapowant?\Cardinal... That's one of the church's head honchos, right?\Dan and Mary were to interfere with you...\Sugar Boy was to stand by, prepared in case of an emergency...\And Gatman... response:	Who's that?!
context: Before we departed,\Cardinal Rapowant gave us individual missions!\Rapowant?\Cardinal... That's one of the church's head honchos, right?\Dan and Mary were to interfere with you...\Sugar Boy was to stand by, prepared in case of an emergency...\And Gatman...\Who's that?! response:	He's like the newcomer. In Coco's place.
context: Cardinal Rapowant gave us individual missions!\Rapowant?\Cardinal... That's one of the church's head honchos, right?\Dan and Mary were to interfere with you...\Sugar Boy was to stand by, prepared in case of an emergency...\And Gatman...\Who's that?!\He's like the newcomer. In Coco's place. response:	What?! Did something happen to Coco?!
context: Rapowant?\Cardinal... That's one of the church's head honchos, right?\Dan and Mary were to interfere with you...\Sugar Boy was to stand by, prepared in case of an emergency...\And Gatman...\Who's that?!\He's like the newcomer. In Coco's place.\What?! Did something happen to Coco?! response:	She was imprisoned as a traitor to Legion!
context: Cardinal... That's one of the church's head honchos, right?\Dan and Mary were to interfere with you...\Sugar Boy was to stand by, prepared in case of an emergency...\And Gatman...\Who's that?!\He's like the newcomer. In Coco's place.\What?! Did something happen to Coco?!\She was imprisoned as a traitor to Legion! response:	What?!
context: Dan and Mary were to interfere with you...\Sugar Boy was to stand by, prepared in case of an emergency...\And Gatman...\Who's that?!\He's like the newcomer. In Coco's place.\What?! Did something happen to Coco?!\She was imprisoned as a traitor to Legion!\What?! response:	She backed you people up or something.
context: Sugar Boy was to stand by, prepared in case of an emergency...\And Gatman...\Who's that?!\He's like the newcomer. In Coco's place.\What?! Did something happen to Coco?!\She was imprisoned as a traitor to Legion!\What?!\She backed you people up or something. response:	Anyway, I don't know about the mission that Gatman was given.
context: And Gatman...\Who's that?!\He's like the newcomer. In Coco's place.\What?! Did something happen to Coco?!\She was imprisoned as a traitor to Legion!\What?!\She backed you people up or something.\Anyway, I don't know about the mission that Gatman was given. response:	But I have a really bad feeling about it.
context: Who's that?!\He's like the newcomer. In Coco's place.\What?! Did something happen to Coco?!\She was imprisoned as a traitor to Legion!\What?!\She backed you people up or something.\Anyway, I don't know about the mission that Gatman was given.\But I have a really bad feeling about it. response:	According to my calculations,
context: He's like the newcomer. In Coco's place.\What?! Did something happen to Coco?!\She was imprisoned as a traitor to Legion!\What?!\She backed you people up or something.\Anyway, I don't know about the mission that Gatman was given.\But I have a really bad feeling about it.\According to my calculations, response:	when that Cleaner came out, it meant there's a disturbing movement within Zentopia.
context: What?! Did something happen to Coco?!\She was imprisoned as a traitor to Legion!\What?!\She backed you people up or something.\Anyway, I don't know about the mission that Gatman was given.\But I have a really bad feeling about it.\According to my calculations,\when that Cleaner came out, it meant there's a disturbing movement within Zentopia. response:	Coco...
context: She was imprisoned as a traitor to Legion!\What?!\She backed you people up or something.\Anyway, I don't know about the mission that Gatman was given.\But I have a really bad feeling about it.\According to my calculations,\when that Cleaner came out, it meant there's a disturbing movement within Zentopia.\Coco... response:	She told him she hates cats.
context: What?!\She backed you people up or something.\Anyway, I don't know about the mission that Gatman was given.\But I have a really bad feeling about it.\According to my calculations,\when that Cleaner came out, it meant there's a disturbing movement within Zentopia.\Coco...\She told him she hates cats. response:	So he was rejected? Lily wears his broken heart on his sleeve...
context: She backed you people up or something.\Anyway, I don't know about the mission that Gatman was given.\But I have a really bad feeling about it.\According to my calculations,\when that Cleaner came out, it meant there's a disturbing movement within Zentopia.\Coco...\She told him she hates cats.\So he was rejected? Lily wears his broken heart on his sleeve... response:	Don't interrupt the conversation with a cooked-up drama!
context: Anyway, I don't know about the mission that Gatman was given.\But I have a really bad feeling about it.\According to my calculations,\when that Cleaner came out, it meant there's a disturbing movement within Zentopia.\Coco...\She told him she hates cats.\So he was rejected? Lily wears his broken heart on his sleeve...\Don't interrupt the conversation with a cooked-up drama! response:	Okay. I'm sorry.
context: But I have a really bad feeling about it.\According to my calculations,\when that Cleaner came out, it meant there's a disturbing movement within Zentopia.\Coco...\She told him she hates cats.\So he was rejected? Lily wears his broken heart on his sleeve...\Don't interrupt the conversation with a cooked-up drama!\Okay. I'm sorry. response:	There's one more thing!
context: According to my calculations,\when that Cleaner came out, it meant there's a disturbing movement within Zentopia.\Coco...\She told him she hates cats.\So he was rejected? Lily wears his broken heart on his sleeve...\Don't interrupt the conversation with a cooked-up drama!\Okay. I'm sorry.\There's one more thing! response:	The strange mission Byro-sama and I were given!
context: when that Cleaner came out, it meant there's a disturbing movement within Zentopia.\Coco...\She told him she hates cats.\So he was rejected? Lily wears his broken heart on his sleeve...\Don't interrupt the conversation with a cooked-up drama!\Okay. I'm sorry.\There's one more thing!\The strange mission Byro-sama and I were given! response:	Strange?!
context: Coco...\She told him she hates cats.\So he was rejected? Lily wears his broken heart on his sleeve...\Don't interrupt the conversation with a cooked-up drama!\Okay. I'm sorry.\There's one more thing!\The strange mission Byro-sama and I were given!\Strange?! response:	The order itself, but most especially, we weren't told to get the Infinity Clock back!
context: She told him she hates cats.\So he was rejected? Lily wears his broken heart on his sleeve...\Don't interrupt the conversation with a cooked-up drama!\Okay. I'm sorry.\There's one more thing!\The strange mission Byro-sama and I were given!\Strange?!\The order itself, but most especially, we weren't told to get the Infinity Clock back! response:	Even though stopping them is the most important thing right now!
context: So he was rejected? Lily wears his broken heart on his sleeve...\Don't interrupt the conversation with a cooked-up drama!\Okay. I'm sorry.\There's one more thing!\The strange mission Byro-sama and I were given!\Strange?!\The order itself, but most especially, we weren't told to get the Infinity Clock back!\Even though stopping them is the most important thing right now! response:	I see. That is strange.
