context: Hey, all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity response:	We can't just throw away our daily life together, right?
context: which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right? response:	Tell me! S. O. W.
context: This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W. response:	Living itself will be our training!
context: It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training! response:	So, we can make it!
context: Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it! response:	Let's search for even more who-knows-what!
context: What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what! response:	We can't be satisfied with just the normal answers
context: Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers response:	This magical wonder life
context: The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life response:	Our future is wondering!!!
context: We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!! response:	We'll do our best living our life
context: Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life response:	the way we want to!
context: Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to! response:	Let's wondering!!!
context: So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!! response:	Finally, the time has come!
context: Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Finally, the time has come! response:	What the heck was that voice just now?
context: We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Finally, the time has come!\What the heck was that voice just now? response:	Or wait, was that even a voice?
context: This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Finally, the time has come!\What the heck was that voice just now?\Or wait, was that even a voice? response:	Maybe it was your stomach growling, Lucy.
context: Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Finally, the time has come!\What the heck was that voice just now?\Or wait, was that even a voice?\Maybe it was your stomach growling, Lucy. response:	Even when I know you're joking, it still ticks me off.
context: We'll do our best living our life\the way we want to!\Let's wondering!!!\Finally, the time has come!\What the heck was that voice just now?\Or wait, was that even a voice?\Maybe it was your stomach growling, Lucy.\Even when I know you're joking, it still ticks me off. response:	Maybe it was this Deliora we're dealing with?
context: the way we want to!\Let's wondering!!!\Finally, the time has come!\What the heck was that voice just now?\Or wait, was that even a voice?\Maybe it was your stomach growling, Lucy.\Even when I know you're joking, it still ticks me off.\Maybe it was this Deliora we're dealing with? response:	Wait, you don't mean...
context: Let's wondering!!!\Finally, the time has come!\What the heck was that voice just now?\Or wait, was that even a voice?\Maybe it was your stomach growling, Lucy.\Even when I know you're joking, it still ticks me off.\Maybe it was this Deliora we're dealing with?\Wait, you don't mean... response:	That light! It's the Moon Drip!
context: Finally, the time has come!\What the heck was that voice just now?\Or wait, was that even a voice?\Maybe it was your stomach growling, Lucy.\Even when I know you're joking, it still ticks me off.\Maybe it was this Deliora we're dealing with?\Wait, you don't mean...\That light! It's the Moon Drip! response:	There it is again.
context: What the heck was that voice just now?\Or wait, was that even a voice?\Maybe it was your stomach growling, Lucy.\Even when I know you're joking, it still ticks me off.\Maybe it was this Deliora we're dealing with?\Wait, you don't mean...\That light! It's the Moon Drip!\There it is again. response:	Lucy, you really should eat something.
context: Or wait, was that even a voice?\Maybe it was your stomach growling, Lucy.\Even when I know you're joking, it still ticks me off.\Maybe it was this Deliora we're dealing with?\Wait, you don't mean...\That light! It's the Moon Drip!\There it is again.\Lucy, you really should eat something. response:	How about I feed you to a rat?
context: Maybe it was your stomach growling, Lucy.\Even when I know you're joking, it still ticks me off.\Maybe it was this Deliora we're dealing with?\Wait, you don't mean...\That light! It's the Moon Drip!\There it is again.\Lucy, you really should eat something.\How about I feed you to a rat? response:	Deliora may be able to roar, but the Moon Drip ceremony continues.
context: Even when I know you're joking, it still ticks me off.\Maybe it was this Deliora we're dealing with?\Wait, you don't mean...\That light! It's the Moon Drip!\There it is again.\Lucy, you really should eat something.\How about I feed you to a rat?\Deliora may be able to roar, but the Moon Drip ceremony continues. response:	Which means its resurrection isn't yet complete.
context: Maybe it was this Deliora we're dealing with?\Wait, you don't mean...\That light! It's the Moon Drip!\There it is again.\Lucy, you really should eat something.\How about I feed you to a rat?\Deliora may be able to roar, but the Moon Drip ceremony continues.\Which means its resurrection isn't yet complete. response:	Come with me!
context: Wait, you don't mean...\That light! It's the Moon Drip!\There it is again.\Lucy, you really should eat something.\How about I feed you to a rat?\Deliora may be able to roar, but the Moon Drip ceremony continues.\Which means its resurrection isn't yet complete.\Come with me! response:	But Deliora's below us.
context: That light! It's the Moon Drip!\There it is again.\Lucy, you really should eat something.\How about I feed you to a rat?\Deliora may be able to roar, but the Moon Drip ceremony continues.\Which means its resurrection isn't yet complete.\Come with me!\But Deliora's below us. response:	If we can break up the ceremony we can still halt the progress!
context: There it is again.\Lucy, you really should eat something.\How about I feed you to a rat?\Deliora may be able to roar, but the Moon Drip ceremony continues.\Which means its resurrection isn't yet complete.\Come with me!\But Deliora's below us.\If we can break up the ceremony we can still halt the progress! response:	Hurry!
context: Lucy, you really should eat something.\How about I feed you to a rat?\Deliora may be able to roar, but the Moon Drip ceremony continues.\Which means its resurrection isn't yet complete.\Come with me!\But Deliora's below us.\If we can break up the ceremony we can still halt the progress!\Hurry! response:	Burst!
context: How about I feed you to a rat?\Deliora may be able to roar, but the Moon Drip ceremony continues.\Which means its resurrection isn't yet complete.\Come with me!\But Deliora's below us.\If we can break up the ceremony we can still halt the progress!\Hurry!\Burst! response:	Damn it!
context: Deliora may be able to roar, but the Moon Drip ceremony continues.\Which means its resurrection isn't yet complete.\Come with me!\But Deliora's below us.\If we can break up the ceremony we can still halt the progress!\Hurry!\Burst!\Damn it! response:	I ain't got time to waste...
context: Which means its resurrection isn't yet complete.\Come with me!\But Deliora's below us.\If we can break up the ceremony we can still halt the progress!\Hurry!\Burst!\Damn it!\I ain't got time to waste... response:	I'll finish you off quick!
context: Come with me!\But Deliora's below us.\If we can break up the ceremony we can still halt the progress!\Hurry!\Burst!\Damn it!\I ain't got time to waste...\I'll finish you off quick! response:	I can manipulate this as well, my little Salamander...
context: But Deliora's below us.\If we can break up the ceremony we can still halt the progress!\Hurry!\Burst!\Damn it!\I ain't got time to waste...\I'll finish you off quick!\I can manipulate this as well, my little Salamander... response:	Just try me!
context: If we can break up the ceremony we can still halt the progress!\Hurry!\Burst!\Damn it!\I ain't got time to waste...\I'll finish you off quick!\I can manipulate this as well, my little Salamander...\Just try me! response:	It fixed itself again!
context: Hurry!\Burst!\Damn it!\I ain't got time to waste...\I'll finish you off quick!\I can manipulate this as well, my little Salamander...\Just try me!\It fixed itself again! response:	I can control the time of objects.
context: Burst!\Damn it!\I ain't got time to waste...\I'll finish you off quick!\I can manipulate this as well, my little Salamander...\Just try me!\It fixed itself again!\I can control the time of objects. response:	In other words, I can return the crystal to a time before it was broken.
context: Damn it!\I ain't got time to waste...\I'll finish you off quick!\I can manipulate this as well, my little Salamander...\Just try me!\It fixed itself again!\I can control the time of objects.\In other words, I can return the crystal to a time before it was broken. response:	Time? I can't believe that.
context: I ain't got time to waste...\I'll finish you off quick!\I can manipulate this as well, my little Salamander...\Just try me!\It fixed itself again!\I can control the time of objects.\In other words, I can return the crystal to a time before it was broken.\Time? I can't believe that. response:	Time Ark is a magic that has been erased from history.
context: I'll finish you off quick!\I can manipulate this as well, my little Salamander...\Just try me!\It fixed itself again!\I can control the time of objects.\In other words, I can return the crystal to a time before it was broken.\Time? I can't believe that.\Time Ark is a magic that has been erased from history. response:	In other words, it's one of the Lost Magics.
context: I can manipulate this as well, my little Salamander...\Just try me!\It fixed itself again!\I can control the time of objects.\In other words, I can return the crystal to a time before it was broken.\Time? I can't believe that.\Time Ark is a magic that has been erased from history.\In other words, it's one of the Lost Magics. response:	Next, shall I progress the crystal's time into the future?
context: Just try me!\It fixed itself again!\I can control the time of objects.\In other words, I can return the crystal to a time before it was broken.\Time? I can't believe that.\Time Ark is a magic that has been erased from history.\In other words, it's one of the Lost Magics.\Next, shall I progress the crystal's time into the future? response:	It won't work.
context: It fixed itself again!\I can control the time of objects.\In other words, I can return the crystal to a time before it was broken.\Time? I can't believe that.\Time Ark is a magic that has been erased from history.\In other words, it's one of the Lost Magics.\Next, shall I progress the crystal's time into the future?\It won't work. response:	It stopped!
context: I can control the time of objects.\In other words, I can return the crystal to a time before it was broken.\Time? I can't believe that.\Time Ark is a magic that has been erased from history.\In other words, it's one of the Lost Magics.\Next, shall I progress the crystal's time into the future?\It won't work.\It stopped! response:	I can also stop its time, see.
context: In other words, I can return the crystal to a time before it was broken.\Time? I can't believe that.\Time Ark is a magic that has been erased from history.\In other words, it's one of the Lost Magics.\Next, shall I progress the crystal's time into the future?\It won't work.\It stopped!\I can also stop its time, see. response:	But it looks like it won't work on humans.
context: Time? I can't believe that.\Time Ark is a magic that has been erased from history.\In other words, it's one of the Lost Magics.\Next, shall I progress the crystal's time into the future?\It won't work.\It stopped!\I can also stop its time, see.\But it looks like it won't work on humans. response:	Well, don't you have the sharp eyes?
context: Time Ark is a magic that has been erased from history.\In other words, it's one of the Lost Magics.\Next, shall I progress the crystal's time into the future?\It won't work.\It stopped!\I can also stop its time, see.\But it looks like it won't work on humans.\Well, don't you have the sharp eyes? response:	It is accurate to say that it will not work on living creatures.
context: In other words, it's one of the Lost Magics.\Next, shall I progress the crystal's time into the future?\It won't work.\It stopped!\I can also stop its time, see.\But it looks like it won't work on humans.\Well, don't you have the sharp eyes?\It is accurate to say that it will not work on living creatures. response:	That is exactly why I cannot simply reverse time on the ice that is Ul.
context: Next, shall I progress the crystal's time into the future?\It won't work.\It stopped!\I can also stop its time, see.\But it looks like it won't work on humans.\Well, don't you have the sharp eyes?\It is accurate to say that it will not work on living creatures.\That is exactly why I cannot simply reverse time on the ice that is Ul. response:	Honestly, I don't get you.
context: It won't work.\It stopped!\I can also stop its time, see.\But it looks like it won't work on humans.\Well, don't you have the sharp eyes?\It is accurate to say that it will not work on living creatures.\That is exactly why I cannot simply reverse time on the ice that is Ul.\Honestly, I don't get you. response:	So you're going to resurrect this thing only to let Lyon defeat it.
context: It stopped!\I can also stop its time, see.\But it looks like it won't work on humans.\Well, don't you have the sharp eyes?\It is accurate to say that it will not work on living creatures.\That is exactly why I cannot simply reverse time on the ice that is Ul.\Honestly, I don't get you.\So you're going to resurrect this thing only to let Lyon defeat it. response:	Lyon might be happy with that, but what's in it for his friends?
context: I can also stop its time, see.\But it looks like it won't work on humans.\Well, don't you have the sharp eyes?\It is accurate to say that it will not work on living creatures.\That is exactly why I cannot simply reverse time on the ice that is Ul.\Honestly, I don't get you.\So you're going to resurrect this thing only to let Lyon defeat it.\Lyon might be happy with that, but what's in it for his friends? response:	Who knows?
context: But it looks like it won't work on humans.\Well, don't you have the sharp eyes?\It is accurate to say that it will not work on living creatures.\That is exactly why I cannot simply reverse time on the ice that is Ul.\Honestly, I don't get you.\So you're going to resurrect this thing only to let Lyon defeat it.\Lyon might be happy with that, but what's in it for his friends?\Who knows? response:	I only joined them all quite recently.
context: Well, don't you have the sharp eyes?\It is accurate to say that it will not work on living creatures.\That is exactly why I cannot simply reverse time on the ice that is Ul.\Honestly, I don't get you.\So you're going to resurrect this thing only to let Lyon defeat it.\Lyon might be happy with that, but what's in it for his friends?\Who knows?\I only joined them all quite recently. response:	Then what about you?
context: It is accurate to say that it will not work on living creatures.\That is exactly why I cannot simply reverse time on the ice that is Ul.\Honestly, I don't get you.\So you're going to resurrect this thing only to let Lyon defeat it.\Lyon might be happy with that, but what's in it for his friends?\Who knows?\I only joined them all quite recently.\Then what about you? response:	What are you really after?
context: That is exactly why I cannot simply reverse time on the ice that is Ul.\Honestly, I don't get you.\So you're going to resurrect this thing only to let Lyon defeat it.\Lyon might be happy with that, but what's in it for his friends?\Who knows?\I only joined them all quite recently.\Then what about you?\What are you really after? response:	Oh my... I can't slip anything by you, can I?
context: Honestly, I don't get you.\So you're going to resurrect this thing only to let Lyon defeat it.\Lyon might be happy with that, but what's in it for his friends?\Who knows?\I only joined them all quite recently.\Then what about you?\What are you really after?\Oh my... I can't slip anything by you, can I? response:	Reitei-sama... Or rather that spoiled brat could never defeat Deliora in the first place!
context: So you're going to resurrect this thing only to let Lyon defeat it.\Lyon might be happy with that, but what's in it for his friends?\Who knows?\I only joined them all quite recently.\Then what about you?\What are you really after?\Oh my... I can't slip anything by you, can I?\Reitei-sama... Or rather that spoiled brat could never defeat Deliora in the first place! response:	Wait, that's really dangerous!
context: Lyon might be happy with that, but what's in it for his friends?\Who knows?\I only joined them all quite recently.\Then what about you?\What are you really after?\Oh my... I can't slip anything by you, can I?\Reitei-sama... Or rather that spoiled brat could never defeat Deliora in the first place!\Wait, that's really dangerous! response:	So you'd defeat it yourself?
context: Who knows?\I only joined them all quite recently.\Then what about you?\What are you really after?\Oh my... I can't slip anything by you, can I?\Reitei-sama... Or rather that spoiled brat could never defeat Deliora in the first place!\Wait, that's really dangerous!\So you'd defeat it yourself? response:	Of course not.
context: I only joined them all quite recently.\Then what about you?\What are you really after?\Oh my... I can't slip anything by you, can I?\Reitei-sama... Or rather that spoiled brat could never defeat Deliora in the first place!\Wait, that's really dangerous!\So you'd defeat it yourself?\Of course not. response:	I want to make it mine.
context: Then what about you?\What are you really after?\Oh my... I can't slip anything by you, can I?\Reitei-sama... Or rather that spoiled brat could never defeat Deliora in the first place!\Wait, that's really dangerous!\So you'd defeat it yourself?\Of course not.\I want to make it mine. response:	There exist techniques to control even immortal beasts.
context: What are you really after?\Oh my... I can't slip anything by you, can I?\Reitei-sama... Or rather that spoiled brat could never defeat Deliora in the first place!\Wait, that's really dangerous!\So you'd defeat it yourself?\Of course not.\I want to make it mine.\There exist techniques to control even immortal beasts. response:	It would be incredible for me to control such awesome power, do you not think?
context: Oh my... I can't slip anything by you, can I?\Reitei-sama... Or rather that spoiled brat could never defeat Deliora in the first place!\Wait, that's really dangerous!\So you'd defeat it yourself?\Of course not.\I want to make it mine.\There exist techniques to control even immortal beasts.\It would be incredible for me to control such awesome power, do you not think? response:	How stupid. Sorry I asked.
context: Reitei-sama... Or rather that spoiled brat could never defeat Deliora in the first place!\Wait, that's really dangerous!\So you'd defeat it yourself?\Of course not.\I want to make it mine.\There exist techniques to control even immortal beasts.\It would be incredible for me to control such awesome power, do you not think?\How stupid. Sorry I asked. response:	I wanted it to be a plan that's gonna get me really fired up to stop!
context: Wait, that's really dangerous!\So you'd defeat it yourself?\Of course not.\I want to make it mine.\There exist techniques to control even immortal beasts.\It would be incredible for me to control such awesome power, do you not think?\How stupid. Sorry I asked.\I wanted it to be a plan that's gonna get me really fired up to stop! response:	You still do not understand.
context: So you'd defeat it yourself?\Of course not.\I want to make it mine.\There exist techniques to control even immortal beasts.\It would be incredible for me to control such awesome power, do you not think?\How stupid. Sorry I asked.\I wanted it to be a plan that's gonna get me really fired up to stop!\You still do not understand. response:	There will always come a time when one needs power.
context: Of course not.\I want to make it mine.\There exist techniques to control even immortal beasts.\It would be incredible for me to control such awesome power, do you not think?\How stupid. Sorry I asked.\I wanted it to be a plan that's gonna get me really fired up to stop!\You still do not understand.\There will always come a time when one needs power. response:	And when that time comes, I'll believe in my own power, and the power of my friends...
context: I want to make it mine.\There exist techniques to control even immortal beasts.\It would be incredible for me to control such awesome power, do you not think?\How stupid. Sorry I asked.\I wanted it to be a plan that's gonna get me really fired up to stop!\You still do not understand.\There will always come a time when one needs power.\And when that time comes, I'll believe in my own power, and the power of my friends... response:	The wizards of Fairy Tail!
context: There exist techniques to control even immortal beasts.\It would be incredible for me to control such awesome power, do you not think?\How stupid. Sorry I asked.\I wanted it to be a plan that's gonna get me really fired up to stop!\You still do not understand.\There will always come a time when one needs power.\And when that time comes, I'll believe in my own power, and the power of my friends...\The wizards of Fairy Tail! response:	That ego will lead to your destruction...
context: It would be incredible for me to control such awesome power, do you not think?\How stupid. Sorry I asked.\I wanted it to be a plan that's gonna get me really fired up to stop!\You still do not understand.\There will always come a time when one needs power.\And when that time comes, I'll believe in my own power, and the power of my friends...\The wizards of Fairy Tail!\That ego will lead to your destruction... response:	Ceiling, speed your time and crumble!
context: How stupid. Sorry I asked.\I wanted it to be a plan that's gonna get me really fired up to stop!\You still do not understand.\There will always come a time when one needs power.\And when that time comes, I'll believe in my own power, and the power of my friends...\The wizards of Fairy Tail!\That ego will lead to your destruction...\Ceiling, speed your time and crumble! response:	Each and every one of you are screwin' up this island for your own stupid reasons!
context: I wanted it to be a plan that's gonna get me really fired up to stop!\You still do not understand.\There will always come a time when one needs power.\And when that time comes, I'll believe in my own power, and the power of my friends...\The wizards of Fairy Tail!\That ego will lead to your destruction...\Ceiling, speed your time and crumble!\Each and every one of you are screwin' up this island for your own stupid reasons! response:	And I'm not gonna take it anymore!
context: You still do not understand.\There will always come a time when one needs power.\And when that time comes, I'll believe in my own power, and the power of my friends...\The wizards of Fairy Tail!\That ego will lead to your destruction...\Ceiling, speed your time and crumble!\Each and every one of you are screwin' up this island for your own stupid reasons!\And I'm not gonna take it anymore! response:	Can those wild flames capture my Time Ark?
context: There will always come a time when one needs power.\And when that time comes, I'll believe in my own power, and the power of my friends...\The wizards of Fairy Tail!\That ego will lead to your destruction...\Ceiling, speed your time and crumble!\Each and every one of you are screwin' up this island for your own stupid reasons!\And I'm not gonna take it anymore!\Can those wild flames capture my Time Ark? response:	Time Ark, Time Pork, whatever!
context: And when that time comes, I'll believe in my own power, and the power of my friends...\The wizards of Fairy Tail!\That ego will lead to your destruction...\Ceiling, speed your time and crumble!\Each and every one of you are screwin' up this island for your own stupid reasons!\And I'm not gonna take it anymore!\Can those wild flames capture my Time Ark?\Time Ark, Time Pork, whatever! response:	Get the hell off this island!
context: The wizards of Fairy Tail!\That ego will lead to your destruction...\Ceiling, speed your time and crumble!\Each and every one of you are screwin' up this island for your own stupid reasons!\And I'm not gonna take it anymore!\Can those wild flames capture my Time Ark?\Time Ark, Time Pork, whatever!\Get the hell off this island! response:	Oh yeah, I can manipulate time, too.
context: That ego will lead to your destruction...\Ceiling, speed your time and crumble!\Each and every one of you are screwin' up this island for your own stupid reasons!\And I'm not gonna take it anymore!\Can those wild flames capture my Time Ark?\Time Ark, Time Pork, whatever!\Get the hell off this island!\Oh yeah, I can manipulate time, too. response:	The future!
context: Ceiling, speed your time and crumble!\Each and every one of you are screwin' up this island for your own stupid reasons!\And I'm not gonna take it anymore!\Can those wild flames capture my Time Ark?\Time Ark, Time Pork, whatever!\Get the hell off this island!\Oh yeah, I can manipulate time, too.\The future! response:	One second from now I'm gonna blow you away!
context: Each and every one of you are screwin' up this island for your own stupid reasons!\And I'm not gonna take it anymore!\Can those wild flames capture my Time Ark?\Time Ark, Time Pork, whatever!\Get the hell off this island!\Oh yeah, I can manipulate time, too.\The future!\One second from now I'm gonna blow you away! response:	All right, now the Moon Drip will stop!
context: And I'm not gonna take it anymore!\Can those wild flames capture my Time Ark?\Time Ark, Time Pork, whatever!\Get the hell off this island!\Oh yeah, I can manipulate time, too.\The future!\One second from now I'm gonna blow you away!\All right, now the Moon Drip will stop! response:	Wow, he was doing it himself.
context: Can those wild flames capture my Time Ark?\Time Ark, Time Pork, whatever!\Get the hell off this island!\Oh yeah, I can manipulate time, too.\The future!\One second from now I'm gonna blow you away!\All right, now the Moon Drip will stop!\Wow, he was doing it himself. response:	Too late! The ceremony's already over!
context: Time Ark, Time Pork, whatever!\Get the hell off this island!\Oh yeah, I can manipulate time, too.\The future!\One second from now I'm gonna blow you away!\All right, now the Moon Drip will stop!\Wow, he was doing it himself.\Too late! The ceremony's already over! response:	Oh, no...
context: Get the hell off this island!\Oh yeah, I can manipulate time, too.\The future!\One second from now I'm gonna blow you away!\All right, now the Moon Drip will stop!\Wow, he was doing it himself.\Too late! The ceremony's already over!\Oh, no... response:	Oh, my... Something truly fearsome has begun...
context: Oh yeah, I can manipulate time, too.\The future!\One second from now I'm gonna blow you away!\All right, now the Moon Drip will stop!\Wow, he was doing it himself.\Too late! The ceremony's already over!\Oh, no...\Oh, my... Something truly fearsome has begun... response:	Chief, let's escape...
context: The future!\One second from now I'm gonna blow you away!\All right, now the Moon Drip will stop!\Wow, he was doing it himself.\Too late! The ceremony's already over!\Oh, no...\Oh, my... Something truly fearsome has begun...\Chief, let's escape... response:	No! No matter what happens, I will not leave this island!
context: One second from now I'm gonna blow you away!\All right, now the Moon Drip will stop!\Wow, he was doing it himself.\Too late! The ceremony's already over!\Oh, no...\Oh, my... Something truly fearsome has begun...\Chief, let's escape...\No! No matter what happens, I will not leave this island! response:	Gray!
context: All right, now the Moon Drip will stop!\Wow, he was doing it himself.\Too late! The ceremony's already over!\Oh, no...\Oh, my... Something truly fearsome has begun...\Chief, let's escape...\No! No matter what happens, I will not leave this island!\Gray! response:	You're here?
context: Wow, he was doing it himself.\Too late! The ceremony's already over!\Oh, no...\Oh, my... Something truly fearsome has begun...\Chief, let's escape...\No! No matter what happens, I will not leave this island!\Gray!\You're here? response:	Natsu!
context: Too late! The ceremony's already over!\Oh, no...\Oh, my... Something truly fearsome has begun...\Chief, let's escape...\No! No matter what happens, I will not leave this island!\Gray!\You're here?\Natsu! response:	We've got no choice now.
context: Oh, no...\Oh, my... Something truly fearsome has begun...\Chief, let's escape...\No! No matter what happens, I will not leave this island!\Gray!\You're here?\Natsu!\We've got no choice now. response:	Let's destroy that thing!
context: Oh, my... Something truly fearsome has begun...\Chief, let's escape...\No! No matter what happens, I will not leave this island!\Gray!\You're here?\Natsu!\We've got no choice now.\Let's destroy that thing! response:	It's impossible for you!
context: Chief, let's escape...\No! No matter what happens, I will not leave this island!\Gray!\You're here?\Natsu!\We've got no choice now.\Let's destroy that thing!\It's impossible for you! response:	I will... defeat it...
context: No! No matter what happens, I will not leave this island!\Gray!\You're here?\Natsu!\We've got no choice now.\Let's destroy that thing!\It's impossible for you!\I will... defeat it... response:	Lyon...
