context: Conny? response:	- Come on, wait for me! - Good morning!
context: Yeah, Mom probably found it. But she doesn't know who left it there.\Mom was smiling. She doesn't show it on her face at all.\And that's what we have to do, too.\If our faces show it, Mom will notice.\We can't lose. Let's smile.\The delicious feed, the white clothes where dirt can easily stand out, the well-regulated life...\This is all to maintain our quality as merchandise.\The only thing we can do is to wait as we are shipped out indiscriminately. response:	It's not indiscriminately. Remember what the demon said?
context: Mom was smiling. She doesn't show it on her face at all.\And that's what we have to do, too.\If our faces show it, Mom will notice.\We can't lose. Let's smile.\The delicious feed, the white clothes where dirt can easily stand out, the well-regulated life...\This is all to maintain our quality as merchandise.\The only thing we can do is to wait as we are shipped out indiscriminately.\It's not indiscriminately. Remember what the demon said? response:	Another six-year-old. We've been shipping out normal quality ones.
context: And that's what we have to do, too.\If our faces show it, Mom will notice.\We can't lose. Let's smile.\The delicious feed, the white clothes where dirt can easily stand out, the well-regulated life...\This is all to maintain our quality as merchandise.\The only thing we can do is to wait as we are shipped out indiscriminately.\It's not indiscriminately. Remember what the demon said?\Another six-year-old. We've been shipping out normal quality ones. response:	What does that mean?
context: If our faces show it, Mom will notice.\We can't lose. Let's smile.\The delicious feed, the white clothes where dirt can easily stand out, the well-regulated life...\This is all to maintain our quality as merchandise.\The only thing we can do is to wait as we are shipped out indiscriminately.\It's not indiscriminately. Remember what the demon said?\Another six-year-old. We've been shipping out normal quality ones.\What does that mean? response:	Judging from those words, age probably equals the grade of meat.
context: We can't lose. Let's smile.\The delicious feed, the white clothes where dirt can easily stand out, the well-regulated life...\This is all to maintain our quality as merchandise.\The only thing we can do is to wait as we are shipped out indiscriminately.\It's not indiscriminately. Remember what the demon said?\Another six-year-old. We've been shipping out normal quality ones.\What does that mean?\Judging from those words, age probably equals the grade of meat. response:	If I remember correctly,
context: The delicious feed, the white clothes where dirt can easily stand out, the well-regulated life...\This is all to maintain our quality as merchandise.\The only thing we can do is to wait as we are shipped out indiscriminately.\It's not indiscriminately. Remember what the demon said?\Another six-year-old. We've been shipping out normal quality ones.\What does that mean?\Judging from those words, age probably equals the grade of meat.\If I remember correctly, response:	the siblings who were shipped out were between six and twelve years old.
context: This is all to maintain our quality as merchandise.\The only thing we can do is to wait as we are shipped out indiscriminately.\It's not indiscriminately. Remember what the demon said?\Another six-year-old. We've been shipping out normal quality ones.\What does that mean?\Judging from those words, age probably equals the grade of meat.\If I remember correctly,\the siblings who were shipped out were between six and twelve years old. response:	If being six years old is ranked as normal, then the highest quality is...
context: The only thing we can do is to wait as we are shipped out indiscriminately.\It's not indiscriminately. Remember what the demon said?\Another six-year-old. We've been shipping out normal quality ones.\What does that mean?\Judging from those words, age probably equals the grade of meat.\If I remember correctly,\the siblings who were shipped out were between six and twelve years old.\If being six years old is ranked as normal, then the highest quality is... response:	Twelve years old.
context: It's not indiscriminately. Remember what the demon said?\Another six-year-old. We've been shipping out normal quality ones.\What does that mean?\Judging from those words, age probably equals the grade of meat.\If I remember correctly,\the siblings who were shipped out were between six and twelve years old.\If being six years old is ranked as normal, then the highest quality is...\Twelve years old. response:	But what about our scores?
context: Another six-year-old. We've been shipping out normal quality ones.\What does that mean?\Judging from those words, age probably equals the grade of meat.\If I remember correctly,\the siblings who were shipped out were between six and twelve years old.\If being six years old is ranked as normal, then the highest quality is...\Twelve years old.\But what about our scores? response:	Meat won't taste better even if we get good scores on tests, right?
context: What does that mean?\Judging from those words, age probably equals the grade of meat.\If I remember correctly,\the siblings who were shipped out were between six and twelve years old.\If being six years old is ranked as normal, then the highest quality is...\Twelve years old.\But what about our scores?\Meat won't taste better even if we get good scores on tests, right? response:	Yeah. It was never announced unless we got full scores, but maybe...
context: Judging from those words, age probably equals the grade of meat.\If I remember correctly,\the siblings who were shipped out were between six and twelve years old.\If being six years old is ranked as normal, then the highest quality is...\Twelve years old.\But what about our scores?\Meat won't taste better even if we get good scores on tests, right?\Yeah. It was never announced unless we got full scores, but maybe... response:	The order of getting shipped out?
context: If I remember correctly,\the siblings who were shipped out were between six and twelve years old.\If being six years old is ranked as normal, then the highest quality is...\Twelve years old.\But what about our scores?\Meat won't taste better even if we get good scores on tests, right?\Yeah. It was never announced unless we got full scores, but maybe...\The order of getting shipped out? response:	After we turn six, we get harvested starting from the lower test scores.
context: the siblings who were shipped out were between six and twelve years old.\If being six years old is ranked as normal, then the highest quality is...\Twelve years old.\But what about our scores?\Meat won't taste better even if we get good scores on tests, right?\Yeah. It was never announced unless we got full scores, but maybe...\The order of getting shipped out?\After we turn six, we get harvested starting from the lower test scores. response:	And when we turn 12, we get shipped out no matter what.
context: If being six years old is ranked as normal, then the highest quality is...\Twelve years old.\But what about our scores?\Meat won't taste better even if we get good scores on tests, right?\Yeah. It was never announced unless we got full scores, but maybe...\The order of getting shipped out?\After we turn six, we get harvested starting from the lower test scores.\And when we turn 12, we get shipped out no matter what. response:	So we were never shipped out because we have full scores?
context: Twelve years old.\But what about our scores?\Meat won't taste better even if we get good scores on tests, right?\Yeah. It was never announced unless we got full scores, but maybe...\The order of getting shipped out?\After we turn six, we get harvested starting from the lower test scores.\And when we turn 12, we get shipped out no matter what.\So we were never shipped out because we have full scores? response:	But I don't understand why it depends on our scores.
context: But what about our scores?\Meat won't taste better even if we get good scores on tests, right?\Yeah. It was never announced unless we got full scores, but maybe...\The order of getting shipped out?\After we turn six, we get harvested starting from the lower test scores.\And when we turn 12, we get shipped out no matter what.\So we were never shipped out because we have full scores?\But I don't understand why it depends on our scores. response:	Is there meaning for being between the age of six and twelve?
context: Meat won't taste better even if we get good scores on tests, right?\Yeah. It was never announced unless we got full scores, but maybe...\The order of getting shipped out?\After we turn six, we get harvested starting from the lower test scores.\And when we turn 12, we get shipped out no matter what.\So we were never shipped out because we have full scores?\But I don't understand why it depends on our scores.\Is there meaning for being between the age of six and twelve? response:	The size of our bodies?
context: Yeah. It was never announced unless we got full scores, but maybe...\The order of getting shipped out?\After we turn six, we get harvested starting from the lower test scores.\And when we turn 12, we get shipped out no matter what.\So we were never shipped out because we have full scores?\But I don't understand why it depends on our scores.\Is there meaning for being between the age of six and twelve?\The size of our bodies? response:	No. Then it would depend on our weight.
context: The order of getting shipped out?\After we turn six, we get harvested starting from the lower test scores.\And when we turn 12, we get shipped out no matter what.\So we were never shipped out because we have full scores?\But I don't understand why it depends on our scores.\Is there meaning for being between the age of six and twelve?\The size of our bodies?\No. Then it would depend on our weight. response:	The size of our brains.
context: After we turn six, we get harvested starting from the lower test scores.\And when we turn 12, we get shipped out no matter what.\So we were never shipped out because we have full scores?\But I don't understand why it depends on our scores.\Is there meaning for being between the age of six and twelve?\The size of our bodies?\No. Then it would depend on our weight.\The size of our brains. response:	That means...
context: And when we turn 12, we get shipped out no matter what.\So we were never shipped out because we have full scores?\But I don't understand why it depends on our scores.\Is there meaning for being between the age of six and twelve?\The size of our bodies?\No. Then it would depend on our weight.\The size of our brains.\That means... response:	The brain probably tastes the best.
context: So we were never shipped out because we have full scores?\But I don't understand why it depends on our scores.\Is there meaning for being between the age of six and twelve?\The size of our bodies?\No. Then it would depend on our weight.\The size of our brains.\That means...\The brain probably tastes the best. response:	And the more developed brain, the better.
context: But I don't understand why it depends on our scores.\Is there meaning for being between the age of six and twelve?\The size of our bodies?\No. Then it would depend on our weight.\The size of our brains.\That means...\The brain probably tastes the best.\And the more developed brain, the better. response:	Eating... the brain?
context: Is there meaning for being between the age of six and twelve?\The size of our bodies?\No. Then it would depend on our weight.\The size of our brains.\That means...\The brain probably tastes the best.\And the more developed brain, the better.\Eating... the brain? response:	And they don't care how much they risk or spend.
context: The size of our bodies?\No. Then it would depend on our weight.\The size of our brains.\That means...\The brain probably tastes the best.\And the more developed brain, the better.\Eating... the brain?\And they don't care how much they risk or spend. response:	That's why we're high-quality merchandise.
context: No. Then it would depend on our weight.\The size of our brains.\That means...\The brain probably tastes the best.\And the more developed brain, the better.\Eating... the brain?\And they don't care how much they risk or spend.\That's why we're high-quality merchandise. response:	Try to remember, Emma.
context: The size of our brains.\That means...\The brain probably tastes the best.\And the more developed brain, the better.\Eating... the brain?\And they don't care how much they risk or spend.\That's why we're high-quality merchandise.\Try to remember, Emma. response:	Conny was shipped out. Before her was Hao.
context: That means...\The brain probably tastes the best.\And the more developed brain, the better.\Eating... the brain?\And they don't care how much they risk or spend.\That's why we're high-quality merchandise.\Try to remember, Emma.\Conny was shipped out. Before her was Hao. response:	Before him was Sadie.
context: The brain probably tastes the best.\And the more developed brain, the better.\Eating... the brain?\And they don't care how much they risk or spend.\That's why we're high-quality merchandise.\Try to remember, Emma.\Conny was shipped out. Before her was Hao.\Before him was Sadie. response:	Based on the cycle so far, the next shipment should be two months from now at the earliest.
context: And the more developed brain, the better.\Eating... the brain?\And they don't care how much they risk or spend.\That's why we're high-quality merchandise.\Try to remember, Emma.\Conny was shipped out. Before her was Hao.\Before him was Sadie.\Based on the cycle so far, the next shipment should be two months from now at the earliest. response:	We need to think of a way for all of us to escape before then.
context: Eating... the brain?\And they don't care how much they risk or spend.\That's why we're high-quality merchandise.\Try to remember, Emma.\Conny was shipped out. Before her was Hao.\Before him was Sadie.\Based on the cycle so far, the next shipment should be two months from now at the earliest.\We need to think of a way for all of us to escape before then. response:	If we draw a simple map of this site, the House is in the middle and then the gate.
context: And they don't care how much they risk or spend.\That's why we're high-quality merchandise.\Try to remember, Emma.\Conny was shipped out. Before her was Hao.\Before him was Sadie.\Based on the cycle so far, the next shipment should be two months from now at the earliest.\We need to think of a way for all of us to escape before then.\If we draw a simple map of this site, the House is in the middle and then the gate. response:	And the forest that surrounds us.
context: That's why we're high-quality merchandise.\Try to remember, Emma.\Conny was shipped out. Before her was Hao.\Before him was Sadie.\Based on the cycle so far, the next shipment should be two months from now at the earliest.\We need to think of a way for all of us to escape before then.\If we draw a simple map of this site, the House is in the middle and then the gate.\And the forest that surrounds us. response:	First, which one should we escape from? The gate or the forest?
context: Try to remember, Emma.\Conny was shipped out. Before her was Hao.\Before him was Sadie.\Based on the cycle so far, the next shipment should be two months from now at the earliest.\We need to think of a way for all of us to escape before then.\If we draw a simple map of this site, the House is in the middle and then the gate.\And the forest that surrounds us.\First, which one should we escape from? The gate or the forest? response:	Maybe the forest?
context: Conny was shipped out. Before her was Hao.\Before him was Sadie.\Based on the cycle so far, the next shipment should be two months from now at the earliest.\We need to think of a way for all of us to escape before then.\If we draw a simple map of this site, the House is in the middle and then the gate.\And the forest that surrounds us.\First, which one should we escape from? The gate or the forest?\Maybe the forest? response:	The gate is always closed except during shipping, and when it's open...
context: Before him was Sadie.\Based on the cycle so far, the next shipment should be two months from now at the earliest.\We need to think of a way for all of us to escape before then.\If we draw a simple map of this site, the House is in the middle and then the gate.\And the forest that surrounds us.\First, which one should we escape from? The gate or the forest?\Maybe the forest?\The gate is always closed except during shipping, and when it's open... response:	The demons are there.
context: Based on the cycle so far, the next shipment should be two months from now at the earliest.\We need to think of a way for all of us to escape before then.\If we draw a simple map of this site, the House is in the middle and then the gate.\And the forest that surrounds us.\First, which one should we escape from? The gate or the forest?\Maybe the forest?\The gate is always closed except during shipping, and when it's open...\The demons are there. response:	When do we escape through the forest?
context: We need to think of a way for all of us to escape before then.\If we draw a simple map of this site, the House is in the middle and then the gate.\And the forest that surrounds us.\First, which one should we escape from? The gate or the forest?\Maybe the forest?\The gate is always closed except during shipping, and when it's open...\The demons are there.\When do we escape through the forest? response:	At playtime, during the day, when we can get out of the House freely?
context: If we draw a simple map of this site, the House is in the middle and then the gate.\And the forest that surrounds us.\First, which one should we escape from? The gate or the forest?\Maybe the forest?\The gate is always closed except during shipping, and when it's open...\The demons are there.\When do we escape through the forest?\At playtime, during the day, when we can get out of the House freely? response:	Or at night during shipping when Mom is not
context: And the forest that surrounds us.\First, which one should we escape from? The gate or the forest?\Maybe the forest?\The gate is always closed except during shipping, and when it's open...\The demons are there.\When do we escape through the forest?\At playtime, during the day, when we can get out of the House freely?\Or at night during shipping when Mom is not response:	Not during shipping! Someone will definitely get sacrificed.
context: First, which one should we escape from? The gate or the forest?\Maybe the forest?\The gate is always closed except during shipping, and when it's open...\The demons are there.\When do we escape through the forest?\At playtime, during the day, when we can get out of the House freely?\Or at night during shipping when Mom is not\Not during shipping! Someone will definitely get sacrificed. response:	Right.
context: Maybe the forest?\The gate is always closed except during shipping, and when it's open...\The demons are there.\When do we escape through the forest?\At playtime, during the day, when we can get out of the House freely?\Or at night during shipping when Mom is not\Not during shipping! Someone will definitely get sacrificed.\Right. response:	And I'm worried if the younger ones can stay awake at night.
context: The gate is always closed except during shipping, and when it's open...\The demons are there.\When do we escape through the forest?\At playtime, during the day, when we can get out of the House freely?\Or at night during shipping when Mom is not\Not during shipping! Someone will definitely get sacrificed.\Right.\And I'm worried if the younger ones can stay awake at night. response:	Then it's decided.
context: The demons are there.\When do we escape through the forest?\At playtime, during the day, when we can get out of the House freely?\Or at night during shipping when Mom is not\Not during shipping! Someone will definitely get sacrificed.\Right.\And I'm worried if the younger ones can stay awake at night.\Then it's decided. response:	We'll escape during the day through the forest. Whether that's possible...
context: When do we escape through the forest?\At playtime, during the day, when we can get out of the House freely?\Or at night during shipping when Mom is not\Not during shipping! Someone will definitely get sacrificed.\Right.\And I'm worried if the younger ones can stay awake at night.\Then it's decided.\We'll escape during the day through the forest. Whether that's possible... response:	Depends on what it's like beyond the forest.
context: At playtime, during the day, when we can get out of the House freely?\Or at night during shipping when Mom is not\Not during shipping! Someone will definitely get sacrificed.\Right.\And I'm worried if the younger ones can stay awake at night.\Then it's decided.\We'll escape during the day through the forest. Whether that's possible...\Depends on what it's like beyond the forest. response:	Norman!
context: Or at night during shipping when Mom is not\Not during shipping! Someone will definitely get sacrificed.\Right.\And I'm worried if the younger ones can stay awake at night.\Then it's decided.\We'll escape during the day through the forest. Whether that's possible...\Depends on what it's like beyond the forest.\Norman! response:	Norman! Are you okay?
context: Not during shipping! Someone will definitely get sacrificed.\Right.\And I'm worried if the younger ones can stay awake at night.\Then it's decided.\We'll escape during the day through the forest. Whether that's possible...\Depends on what it's like beyond the forest.\Norman!\Norman! Are you okay? response:	I guess I'm tired from thinking too much.
context: Right.\And I'm worried if the younger ones can stay awake at night.\Then it's decided.\We'll escape during the day through the forest. Whether that's possible...\Depends on what it's like beyond the forest.\Norman!\Norman! Are you okay?\I guess I'm tired from thinking too much. response:	Sheesh, I guess it can't be helped.
context: And I'm worried if the younger ones can stay awake at night.\Then it's decided.\We'll escape during the day through the forest. Whether that's possible...\Depends on what it's like beyond the forest.\Norman!\Norman! Are you okay?\I guess I'm tired from thinking too much.\Sheesh, I guess it can't be helped. response:	So? Is something there?
context: Then it's decided.\We'll escape during the day through the forest. Whether that's possible...\Depends on what it's like beyond the forest.\Norman!\Norman! Are you okay?\I guess I'm tired from thinking too much.\Sheesh, I guess it can't be helped.\So? Is something there? response:	Nothing.
context: We'll escape during the day through the forest. Whether that's possible...\Depends on what it's like beyond the forest.\Norman!\Norman! Are you okay?\I guess I'm tired from thinking too much.\Sheesh, I guess it can't be helped.\So? Is something there?\Nothing. response:	But this wall is about two to three meters thick.
context: Depends on what it's like beyond the forest.\Norman!\Norman! Are you okay?\I guess I'm tired from thinking too much.\Sheesh, I guess it can't be helped.\So? Is something there?\Nothing.\But this wall is about two to three meters thick. response:	And it's pretty tall.
context: Norman!\Norman! Are you okay?\I guess I'm tired from thinking too much.\Sheesh, I guess it can't be helped.\So? Is something there?\Nothing.\But this wall is about two to three meters thick.\And it's pretty tall. response:	But there are no guards.
context: Norman! Are you okay?\I guess I'm tired from thinking too much.\Sheesh, I guess it can't be helped.\So? Is something there?\Nothing.\But this wall is about two to three meters thick.\And it's pretty tall.\But there are no guards. response:	It's quiet.
context: I guess I'm tired from thinking too much.\Sheesh, I guess it can't be helped.\So? Is something there?\Nothing.\But this wall is about two to three meters thick.\And it's pretty tall.\But there are no guards.\It's quiet. response:	What do you think?
context: Sheesh, I guess it can't be helped.\So? Is something there?\Nothing.\But this wall is about two to three meters thick.\And it's pretty tall.\But there are no guards.\It's quiet.\What do you think? response:	It's hard and sturdy.
context: So? Is something there?\Nothing.\But this wall is about two to three meters thick.\And it's pretty tall.\But there are no guards.\It's quiet.\What do you think?\It's hard and sturdy. response:	There are no edges, let alone any seams.
context: Nothing.\But this wall is about two to three meters thick.\And it's pretty tall.\But there are no guards.\It's quiet.\What do you think?\It's hard and sturdy.\There are no edges, let alone any seams. response:	And the surface is smooth.
context: But this wall is about two to three meters thick.\And it's pretty tall.\But there are no guards.\It's quiet.\What do you think?\It's hard and sturdy.\There are no edges, let alone any seams.\And the surface is smooth. response:	There's no way anyone could climb this.
context: And it's pretty tall.\But there are no guards.\It's quiet.\What do you think?\It's hard and sturdy.\There are no edges, let alone any seams.\And the surface is smooth.\There's no way anyone could climb this. response:	Then should we give up?
context: But there are no guards.\It's quiet.\What do you think?\It's hard and sturdy.\There are no edges, let alone any seams.\And the surface is smooth.\There's no way anyone could climb this.\Then should we give up? response:	But that's what this wall would have us think.
context: It's quiet.\What do you think?\It's hard and sturdy.\There are no edges, let alone any seams.\And the surface is smooth.\There's no way anyone could climb this.\Then should we give up?\But that's what this wall would have us think. response:	If it was you or me, we could climb it as long as we had a rope.
context: What do you think?\It's hard and sturdy.\There are no edges, let alone any seams.\And the surface is smooth.\There's no way anyone could climb this.\Then should we give up?\But that's what this wall would have us think.\If it was you or me, we could climb it as long as we had a rope. response:	I don't sense any demons around.
context: It's hard and sturdy.\There are no edges, let alone any seams.\And the surface is smooth.\There's no way anyone could climb this.\Then should we give up?\But that's what this wall would have us think.\If it was you or me, we could climb it as long as we had a rope.\I don't sense any demons around. response:	The only one watching us is Mom.
context: There are no edges, let alone any seams.\And the surface is smooth.\There's no way anyone could climb this.\Then should we give up?\But that's what this wall would have us think.\If it was you or me, we could climb it as long as we had a rope.\I don't sense any demons around.\The only one watching us is Mom. response:	Don't worry. It's not scary.
context: And the surface is smooth.\There's no way anyone could climb this.\Then should we give up?\But that's what this wall would have us think.\If it was you or me, we could climb it as long as we had a rope.\I don't sense any demons around.\The only one watching us is Mom.\Don't worry. It's not scary. response:	Huh? Two kids are missing.
context: There's no way anyone could climb this.\Then should we give up?\But that's what this wall would have us think.\If it was you or me, we could climb it as long as we had a rope.\I don't sense any demons around.\The only one watching us is Mom.\Don't worry. It's not scary.\Huh? Two kids are missing. response:	Mom!
context: Then should we give up?\But that's what this wall would have us think.\If it was you or me, we could climb it as long as we had a rope.\I don't sense any demons around.\The only one watching us is Mom.\Don't worry. It's not scary.\Huh? Two kids are missing.\Mom! response:	Mark!
context: But that's what this wall would have us think.\If it was you or me, we could climb it as long as we had a rope.\I don't sense any demons around.\The only one watching us is Mom.\Don't worry. It's not scary.\Huh? Two kids are missing.\Mom!\Mark! response:	Did something happen?
context: If it was you or me, we could climb it as long as we had a rope.\I don't sense any demons around.\The only one watching us is Mom.\Don't worry. It's not scary.\Huh? Two kids are missing.\Mom!\Mark!\Did something happen? response:	What should I do? I got separated from Naila in the forest!
context: I don't sense any demons around.\The only one watching us is Mom.\Don't worry. It's not scary.\Huh? Two kids are missing.\Mom!\Mark!\Did something happen?\What should I do? I got separated from Naila in the forest! response:	I tried looking, but I couldn't find her!
context: The only one watching us is Mom.\Don't worry. It's not scary.\Huh? Two kids are missing.\Mom!\Mark!\Did something happen?\What should I do? I got separated from Naila in the forest!\I tried looking, but I couldn't find her! response:	It'll be okay.
context: Don't worry. It's not scary.\Huh? Two kids are missing.\Mom!\Mark!\Did something happen?\What should I do? I got separated from Naila in the forest!\I tried looking, but I couldn't find her!\It'll be okay. response:	Everyone, stay here.
context: Huh? Two kids are missing.\Mom!\Mark!\Did something happen?\What should I do? I got separated from Naila in the forest!\I tried looking, but I couldn't find her!\It'll be okay.\Everyone, stay here. response:	Understood?
context: Mom!\Mark!\Did something happen?\What should I do? I got separated from Naila in the forest!\I tried looking, but I couldn't find her!\It'll be okay.\Everyone, stay here.\Understood? response:	Mom.
context: Mark!\Did something happen?\What should I do? I got separated from Naila in the forest!\I tried looking, but I couldn't find her!\It'll be okay.\Everyone, stay here.\Understood?\Mom. response:	Mom!
context: Did something happen?\What should I do? I got separated from Naila in the forest!\I tried looking, but I couldn't find her!\It'll be okay.\Everyone, stay here.\Understood?\Mom.\Mom! response:	Naila!
context: What should I do? I got separated from Naila in the forest!\I tried looking, but I couldn't find her!\It'll be okay.\Everyone, stay here.\Understood?\Mom.\Mom!\Naila! response:	She got tired and fell asleep.
context: I tried looking, but I couldn't find her!\It'll be okay.\Everyone, stay here.\Understood?\Mom.\Mom!\Naila!\She got tired and fell asleep. response:	Look, not a scratch on her.
context: It'll be okay.\Everyone, stay here.\Understood?\Mom.\Mom!\Naila!\She got tired and fell asleep.\Look, not a scratch on her. response:	Thank goodness!
context: Everyone, stay here.\Understood?\Mom.\Mom!\Naila!\She got tired and fell asleep.\Look, not a scratch on her.\Thank goodness! response:	I'm so sorry, Naila. I'm sorry!
context: Understood?\Mom.\Mom!\Naila!\She got tired and fell asleep.\Look, not a scratch on her.\Thank goodness!\I'm so sorry, Naila. I'm sorry! response:	It was like Mom knew exactly where Naila was.
context: Mom.\Mom!\Naila!\She got tired and fell asleep.\Look, not a scratch on her.\Thank goodness!\I'm so sorry, Naila. I'm sorry!\It was like Mom knew exactly where Naila was. response:	Come to think of it, Mom has always been good at finding us.
context: Mom!\Naila!\She got tired and fell asleep.\Look, not a scratch on her.\Thank goodness!\I'm so sorry, Naila. I'm sorry!\It was like Mom knew exactly where Naila was.\Come to think of it, Mom has always been good at finding us. response:	No matter where we hid, she found us quickly.
context: Naila!\She got tired and fell asleep.\Look, not a scratch on her.\Thank goodness!\I'm so sorry, Naila. I'm sorry!\It was like Mom knew exactly where Naila was.\Come to think of it, Mom has always been good at finding us.\No matter where we hid, she found us quickly. response:	That's not a pocket watch.
context: She got tired and fell asleep.\Look, not a scratch on her.\Thank goodness!\I'm so sorry, Naila. I'm sorry!\It was like Mom knew exactly where Naila was.\Come to think of it, Mom has always been good at finding us.\No matter where we hid, she found us quickly.\That's not a pocket watch. response:	Tracking devices.
context: Look, not a scratch on her.\Thank goodness!\I'm so sorry, Naila. I'm sorry!\It was like Mom knew exactly where Naila was.\Come to think of it, Mom has always been good at finding us.\No matter where we hid, she found us quickly.\That's not a pocket watch.\Tracking devices. response:	They could be implanted somewhere in our bodies.
context: Thank goodness!\I'm so sorry, Naila. I'm sorry!\It was like Mom knew exactly where Naila was.\Come to think of it, Mom has always been good at finding us.\No matter where we hid, she found us quickly.\That's not a pocket watch.\Tracking devices.\They could be implanted somewhere in our bodies. response:	And Mom used the compact and purposely showed us so we would figure it out.
context: I'm so sorry, Naila. I'm sorry!\It was like Mom knew exactly where Naila was.\Come to think of it, Mom has always been good at finding us.\No matter where we hid, she found us quickly.\That's not a pocket watch.\Tracking devices.\They could be implanted somewhere in our bodies.\And Mom used the compact and purposely showed us so we would figure it out. response:	No matter who it is, I won't let you escape.
context: It was like Mom knew exactly where Naila was.\Come to think of it, Mom has always been good at finding us.\No matter where we hid, she found us quickly.\That's not a pocket watch.\Tracking devices.\They could be implanted somewhere in our bodies.\And Mom used the compact and purposely showed us so we would figure it out.\No matter who it is, I won't let you escape. response:	That's probably what Mom wants to say.
