context: Let's find some shade. response:	You're a cute couple.
context: Thank you, Yanagi-chan.\We're just going to the rooftop.\We'll be back in about twenty minutes.\Oh!\I heard from Hiro. You're in for tests?\Yes.\I brought steamed sake buns for you today.\Be good to Hiro for me. response:	Sure.
context: We're just going to the rooftop.\We'll be back in about twenty minutes.\Oh!\I heard from Hiro. You're in for tests?\Yes.\I brought steamed sake buns for you today.\Be good to Hiro for me.\Sure. response:	You've been with Hiro a lot lately, haven't you?
context: We'll be back in about twenty minutes.\Oh!\I heard from Hiro. You're in for tests?\Yes.\I brought steamed sake buns for you today.\Be good to Hiro for me.\Sure.\You've been with Hiro a lot lately, haven't you? response:	Yeah.
context: Oh!\I heard from Hiro. You're in for tests?\Yes.\I brought steamed sake buns for you today.\Be good to Hiro for me.\Sure.\You've been with Hiro a lot lately, haven't you?\Yeah. response:	Hiro made it so obvious.
context: I heard from Hiro. You're in for tests?\Yes.\I brought steamed sake buns for you today.\Be good to Hiro for me.\Sure.\You've been with Hiro a lot lately, haven't you?\Yeah.\Hiro made it so obvious. response:	Did something happen with Hiro?
context: Yes.\I brought steamed sake buns for you today.\Be good to Hiro for me.\Sure.\You've been with Hiro a lot lately, haven't you?\Yeah.\Hiro made it so obvious.\Did something happen with Hiro? response:	Yeah.
context: I brought steamed sake buns for you today.\Be good to Hiro for me.\Sure.\You've been with Hiro a lot lately, haven't you?\Yeah.\Hiro made it so obvious.\Did something happen with Hiro?\Yeah. response:	I won't ask, then.
context: Be good to Hiro for me.\Sure.\You've been with Hiro a lot lately, haven't you?\Yeah.\Hiro made it so obvious.\Did something happen with Hiro?\Yeah.\I won't ask, then. response:	The beach trip got canceled last-minute,
context: Sure.\You've been with Hiro a lot lately, haven't you?\Yeah.\Hiro made it so obvious.\Did something happen with Hiro?\Yeah.\I won't ask, then.\The beach trip got canceled last-minute, response:	but it's kinda for the best since your hospital stay was extended.
context: You've been with Hiro a lot lately, haven't you?\Yeah.\Hiro made it so obvious.\Did something happen with Hiro?\Yeah.\I won't ask, then.\The beach trip got canceled last-minute,\but it's kinda for the best since your hospital stay was extended. response:	But I was looking forward to it,
context: Yeah.\Hiro made it so obvious.\Did something happen with Hiro?\Yeah.\I won't ask, then.\The beach trip got canceled last-minute,\but it's kinda for the best since your hospital stay was extended.\But I was looking forward to it, response:	and I had my bathing suit ready and everything, so I went.
context: Hiro made it so obvious.\Did something happen with Hiro?\Yeah.\I won't ask, then.\The beach trip got canceled last-minute,\but it's kinda for the best since your hospital stay was extended.\But I was looking forward to it,\and I had my bathing suit ready and everything, so I went. response:	Oh. With Yukinari-kun, then?
context: Did something happen with Hiro?\Yeah.\I won't ask, then.\The beach trip got canceled last-minute,\but it's kinda for the best since your hospital stay was extended.\But I was looking forward to it,\and I had my bathing suit ready and everything, so I went.\Oh. With Yukinari-kun, then? response:	About that,
context: Yeah.\I won't ask, then.\The beach trip got canceled last-minute,\but it's kinda for the best since your hospital stay was extended.\But I was looking forward to it,\and I had my bathing suit ready and everything, so I went.\Oh. With Yukinari-kun, then?\About that, response:	Yuki went off to a summer camp for track club.
context: I won't ask, then.\The beach trip got canceled last-minute,\but it's kinda for the best since your hospital stay was extended.\But I was looking forward to it,\and I had my bathing suit ready and everything, so I went.\Oh. With Yukinari-kun, then?\About that,\Yuki went off to a summer camp for track club. response:	Way late.
context: The beach trip got canceled last-minute,\but it's kinda for the best since your hospital stay was extended.\But I was looking forward to it,\and I had my bathing suit ready and everything, so I went.\Oh. With Yukinari-kun, then?\About that,\Yuki went off to a summer camp for track club.\Way late. response:	Oh, yeah?
context: but it's kinda for the best since your hospital stay was extended.\But I was looking forward to it,\and I had my bathing suit ready and everything, so I went.\Oh. With Yukinari-kun, then?\About that,\Yuki went off to a summer camp for track club.\Way late.\Oh, yeah? response:	Yeah, and he didn't even tell me.
context: But I was looking forward to it,\and I had my bathing suit ready and everything, so I went.\Oh. With Yukinari-kun, then?\About that,\Yuki went off to a summer camp for track club.\Way late.\Oh, yeah?\Yeah, and he didn't even tell me. response:	I think I won't ask.
context: and I had my bathing suit ready and everything, so I went.\Oh. With Yukinari-kun, then?\About that,\Yuki went off to a summer camp for track club.\Way late.\Oh, yeah?\Yeah, and he didn't even tell me.\I think I won't ask. response:	I came to the hospital because
context: Oh. With Yukinari-kun, then?\About that,\Yuki went off to a summer camp for track club.\Way late.\Oh, yeah?\Yeah, and he didn't even tell me.\I think I won't ask.\I came to the hospital because response:	there was something I wanted to ask you.
context: About that,\Yuki went off to a summer camp for track club.\Way late.\Oh, yeah?\Yeah, and he didn't even tell me.\I think I won't ask.\I came to the hospital because\there was something I wanted to ask you. response:	Since I was visiting anyway.
context: Yuki went off to a summer camp for track club.\Way late.\Oh, yeah?\Yeah, and he didn't even tell me.\I think I won't ask.\I came to the hospital because\there was something I wanted to ask you.\Since I was visiting anyway. response:	Yeah.
context: Way late.\Oh, yeah?\Yeah, and he didn't even tell me.\I think I won't ask.\I came to the hospital because\there was something I wanted to ask you.\Since I was visiting anyway.\Yeah. response:	Touko and David are kind of strange.
context: Oh, yeah?\Yeah, and he didn't even tell me.\I think I won't ask.\I came to the hospital because\there was something I wanted to ask you.\Since I was visiting anyway.\Yeah.\Touko and David are kind of strange. response:	Touko and David seem to have feelings for each other.
context: Yeah, and he didn't even tell me.\I think I won't ask.\I came to the hospital because\there was something I wanted to ask you.\Since I was visiting anyway.\Yeah.\Touko and David are kind of strange.\Touko and David seem to have feelings for each other. response:	Did you know?
context: I think I won't ask.\I came to the hospital because\there was something I wanted to ask you.\Since I was visiting anyway.\Yeah.\Touko and David are kind of strange.\Touko and David seem to have feelings for each other.\Did you know? response:	I did.
context: I came to the hospital because\there was something I wanted to ask you.\Since I was visiting anyway.\Yeah.\Touko and David are kind of strange.\Touko and David seem to have feelings for each other.\Did you know?\I did. response:	Seems like they have a secret.
context: there was something I wanted to ask you.\Since I was visiting anyway.\Yeah.\Touko and David are kind of strange.\Touko and David seem to have feelings for each other.\Did you know?\I did.\Seems like they have a secret. response:	I thought you might know.
context: Since I was visiting anyway.\Yeah.\Touko and David are kind of strange.\Touko and David seem to have feelings for each other.\Did you know?\I did.\Seems like they have a secret.\I thought you might know. response:	Would you tell me?
context: Yeah.\Touko and David are kind of strange.\Touko and David seem to have feelings for each other.\Did you know?\I did.\Seems like they have a secret.\I thought you might know.\Would you tell me? response:	Or did you promise Touko not to?
context: Touko and David are kind of strange.\Touko and David seem to have feelings for each other.\Did you know?\I did.\Seems like they have a secret.\I thought you might know.\Would you tell me?\Or did you promise Touko not to? response:	I didn't promise Touko anything,
context: Touko and David seem to have feelings for each other.\Did you know?\I did.\Seems like they have a secret.\I thought you might know.\Would you tell me?\Or did you promise Touko not to?\I didn't promise Touko anything, response:	but I don't really know much.
context: Did you know?\I did.\Seems like they have a secret.\I thought you might know.\Would you tell me?\Or did you promise Touko not to?\I didn't promise Touko anything,\but I don't really know much. response:	Mr. Boyfriend isn't coming today.
context: I did.\Seems like they have a secret.\I thought you might know.\Would you tell me?\Or did you promise Touko not to?\I didn't promise Touko anything,\but I don't really know much.\Mr. Boyfriend isn't coming today. response:	Yeah.
context: Seems like they have a secret.\I thought you might know.\Would you tell me?\Or did you promise Touko not to?\I didn't promise Touko anything,\but I don't really know much.\Mr. Boyfriend isn't coming today.\Yeah. response:	I want cookies.
context: I thought you might know.\Would you tell me?\Or did you promise Touko not to?\I didn't promise Touko anything,\but I don't really know much.\Mr. Boyfriend isn't coming today.\Yeah.\I want cookies. response:	I'll make some tea.
context: Would you tell me?\Or did you promise Touko not to?\I didn't promise Touko anything,\but I don't really know much.\Mr. Boyfriend isn't coming today.\Yeah.\I want cookies.\I'll make some tea. response:	I think I'll join you, too.
context: Or did you promise Touko not to?\I didn't promise Touko anything,\but I don't really know much.\Mr. Boyfriend isn't coming today.\Yeah.\I want cookies.\I'll make some tea.\I think I'll join you, too. response:	Sure.
context: I didn't promise Touko anything,\but I don't really know much.\Mr. Boyfriend isn't coming today.\Yeah.\I want cookies.\I'll make some tea.\I think I'll join you, too.\Sure. response:	Touko, are you awake?
context: but I don't really know much.\Mr. Boyfriend isn't coming today.\Yeah.\I want cookies.\I'll make some tea.\I think I'll join you, too.\Sure.\Touko, are you awake? response:	I'm awake.
context: Mr. Boyfriend isn't coming today.\Yeah.\I want cookies.\I'll make some tea.\I think I'll join you, too.\Sure.\Touko, are you awake?\I'm awake. response:	Mom said to bring this.
context: Yeah.\I want cookies.\I'll make some tea.\I think I'll join you, too.\Sure.\Touko, are you awake?\I'm awake.\Mom said to bring this. response:	Thanks.
context: I want cookies.\I'll make some tea.\I think I'll join you, too.\Sure.\Touko, are you awake?\I'm awake.\Mom said to bring this.\Thanks. response:	Can I stay for a bit?
context: I'll make some tea.\I think I'll join you, too.\Sure.\Touko, are you awake?\I'm awake.\Mom said to bring this.\Thanks.\Can I stay for a bit? response:	Sure.
context: I think I'll join you, too.\Sure.\Touko, are you awake?\I'm awake.\Mom said to bring this.\Thanks.\Can I stay for a bit?\Sure. response:	Fine, fine.
context: Sure.\Touko, are you awake?\I'm awake.\Mom said to bring this.\Thanks.\Can I stay for a bit?\Sure.\Fine, fine. response:	How was it?
context: Touko, are you awake?\I'm awake.\Mom said to bring this.\Thanks.\Can I stay for a bit?\Sure.\Fine, fine.\How was it? response:	Are you okay?
context: I'm awake.\Mom said to bring this.\Thanks.\Can I stay for a bit?\Sure.\Fine, fine.\How was it?\Are you okay? response:	Yeah.
context: Mom said to bring this.\Thanks.\Can I stay for a bit?\Sure.\Fine, fine.\How was it?\Are you okay?\Yeah. response:	What was that?
context: Thanks.\Can I stay for a bit?\Sure.\Fine, fine.\How was it?\Are you okay?\Yeah.\What was that? response:	Sorry, I don't really know either.
context: Can I stay for a bit?\Sure.\Fine, fine.\How was it?\Are you okay?\Yeah.\What was that?\Sorry, I don't really know either. response:	Let's meet up.
context: Sure.\Fine, fine.\How was it?\Are you okay?\Yeah.\What was that?\Sorry, I don't really know either.\Let's meet up. response:	Are you afraid you might see something like that again?
context: Fine, fine.\How was it?\Are you okay?\Yeah.\What was that?\Sorry, I don't really know either.\Let's meet up.\Are you afraid you might see something like that again? response:	Where should we meet?
context: How was it?\Are you okay?\Yeah.\What was that?\Sorry, I don't really know either.\Let's meet up.\Are you afraid you might see something like that again?\Where should we meet? response:	Let's see...
context: Are you okay?\Yeah.\What was that?\Sorry, I don't really know either.\Let's meet up.\Are you afraid you might see something like that again?\Where should we meet?\Let's see... response:	I think I want to see Jonathan.
context: Yeah.\What was that?\Sorry, I don't really know either.\Let's meet up.\Are you afraid you might see something like that again?\Where should we meet?\Let's see...\I think I want to see Jonathan. response:	All right, good idea.
context: What was that?\Sorry, I don't really know either.\Let's meet up.\Are you afraid you might see something like that again?\Where should we meet?\Let's see...\I think I want to see Jonathan.\All right, good idea. response:	See you in an hour.
context: Sorry, I don't really know either.\Let's meet up.\Are you afraid you might see something like that again?\Where should we meet?\Let's see...\I think I want to see Jonathan.\All right, good idea.\See you in an hour. response:	Yeah.
context: Let's meet up.\Are you afraid you might see something like that again?\Where should we meet?\Let's see...\I think I want to see Jonathan.\All right, good idea.\See you in an hour.\Yeah. response:	Touko said you'd be fine when
context: Are you afraid you might see something like that again?\Where should we meet?\Let's see...\I think I want to see Jonathan.\All right, good idea.\See you in an hour.\Yeah.\Touko said you'd be fine when response:	you were being hospitalized.
context: Where should we meet?\Let's see...\I think I want to see Jonathan.\All right, good idea.\See you in an hour.\Yeah.\Touko said you'd be fine when\you were being hospitalized. response:	Like she knew about the future.
context: Let's see...\I think I want to see Jonathan.\All right, good idea.\See you in an hour.\Yeah.\Touko said you'd be fine when\you were being hospitalized.\Like she knew about the future. response:	Yeah?
context: I think I want to see Jonathan.\All right, good idea.\See you in an hour.\Yeah.\Touko said you'd be fine when\you were being hospitalized.\Like she knew about the future.\Yeah? response:	Oh yeah, and when David first came to Kazemichi,
context: All right, good idea.\See you in an hour.\Yeah.\Touko said you'd be fine when\you were being hospitalized.\Like she knew about the future.\Yeah?\Oh yeah, and when David first came to Kazemichi, response:	he said something about seeing the same thing as you.
context: See you in an hour.\Yeah.\Touko said you'd be fine when\you were being hospitalized.\Like she knew about the future.\Yeah?\Oh yeah, and when David first came to Kazemichi,\he said something about seeing the same thing as you. response:	I saw what you saw, was it?
context: Yeah.\Touko said you'd be fine when\you were being hospitalized.\Like she knew about the future.\Yeah?\Oh yeah, and when David first came to Kazemichi,\he said something about seeing the same thing as you.\I saw what you saw, was it? response:	You know something, don't you?
context: Touko said you'd be fine when\you were being hospitalized.\Like she knew about the future.\Yeah?\Oh yeah, and when David first came to Kazemichi,\he said something about seeing the same thing as you.\I saw what you saw, was it?\You know something, don't you? response:	Like I said, I don't know too much.
context: you were being hospitalized.\Like she knew about the future.\Yeah?\Oh yeah, and when David first came to Kazemichi,\he said something about seeing the same thing as you.\I saw what you saw, was it?\You know something, don't you?\Like I said, I don't know too much. response:	I should tell you
context: Like she knew about the future.\Yeah?\Oh yeah, and when David first came to Kazemichi,\he said something about seeing the same thing as you.\I saw what you saw, was it?\You know something, don't you?\Like I said, I don't know too much.\I should tell you response:	everything I know, shouldn't I?
context: Yeah?\Oh yeah, and when David first came to Kazemichi,\he said something about seeing the same thing as you.\I saw what you saw, was it?\You know something, don't you?\Like I said, I don't know too much.\I should tell you\everything I know, shouldn't I? response:	I think Touko-chan and David have a special relationship.
context: Oh yeah, and when David first came to Kazemichi,\he said something about seeing the same thing as you.\I saw what you saw, was it?\You know something, don't you?\Like I said, I don't know too much.\I should tell you\everything I know, shouldn't I?\I think Touko-chan and David have a special relationship. response:	Sachi,
context: he said something about seeing the same thing as you.\I saw what you saw, was it?\You know something, don't you?\Like I said, I don't know too much.\I should tell you\everything I know, shouldn't I?\I think Touko-chan and David have a special relationship.\Sachi, response:	about Touko, do you
context: I saw what you saw, was it?\You know something, don't you?\Like I said, I don't know too much.\I should tell you\everything I know, shouldn't I?\I think Touko-chan and David have a special relationship.\Sachi,\about Touko, do you response:	Not bad.
context: You know something, don't you?\Like I said, I don't know too much.\I should tell you\everything I know, shouldn't I?\I think Touko-chan and David have a special relationship.\Sachi,\about Touko, do you\Not bad. response:	Thanks.
context: Like I said, I don't know too much.\I should tell you\everything I know, shouldn't I?\I think Touko-chan and David have a special relationship.\Sachi,\about Touko, do you\Not bad.\Thanks. response:	The other day...
context: I should tell you\everything I know, shouldn't I?\I think Touko-chan and David have a special relationship.\Sachi,\about Touko, do you\Not bad.\Thanks.\The other day... response:	Huh?
context: everything I know, shouldn't I?\I think Touko-chan and David have a special relationship.\Sachi,\about Touko, do you\Not bad.\Thanks.\The other day...\Huh? response:	Sorry, I said something stupid at the track meet.
context: I think Touko-chan and David have a special relationship.\Sachi,\about Touko, do you\Not bad.\Thanks.\The other day...\Huh?\Sorry, I said something stupid at the track meet. response:	We're even, aren't we?
context: Sachi,\about Touko, do you\Not bad.\Thanks.\The other day...\Huh?\Sorry, I said something stupid at the track meet.\We're even, aren't we? response:	Imi!
context: about Touko, do you\Not bad.\Thanks.\The other day...\Huh?\Sorry, I said something stupid at the track meet.\We're even, aren't we?\Imi! response:	Yes?
context: Not bad.\Thanks.\The other day...\Huh?\Sorry, I said something stupid at the track meet.\We're even, aren't we?\Imi!\Yes? response:	I saw Yana-chan at the hospital.
context: Thanks.\The other day...\Huh?\Sorry, I said something stupid at the track meet.\We're even, aren't we?\Imi!\Yes?\I saw Yana-chan at the hospital. response:	Yeah?
context: The other day...\Huh?\Sorry, I said something stupid at the track meet.\We're even, aren't we?\Imi!\Yes?\I saw Yana-chan at the hospital.\Yeah? response:	Huh, aren't you going today?
context: Huh?\Sorry, I said something stupid at the track meet.\We're even, aren't we?\Imi!\Yes?\I saw Yana-chan at the hospital.\Yeah?\Huh, aren't you going today? response:	Nope.
context: Sorry, I said something stupid at the track meet.\We're even, aren't we?\Imi!\Yes?\I saw Yana-chan at the hospital.\Yeah?\Huh, aren't you going today?\Nope. response:	But I told the girl with the glasses to be good to you.
context: We're even, aren't we?\Imi!\Yes?\I saw Yana-chan at the hospital.\Yeah?\Huh, aren't you going today?\Nope.\But I told the girl with the glasses to be good to you. response:	You have to do your part.
context: Imi!\Yes?\I saw Yana-chan at the hospital.\Yeah?\Huh, aren't you going today?\Nope.\But I told the girl with the glasses to be good to you.\You have to do your part. response:	Sure.
context: Yes?\I saw Yana-chan at the hospital.\Yeah?\Huh, aren't you going today?\Nope.\But I told the girl with the glasses to be good to you.\You have to do your part.\Sure. response:	So something did happen.
context: I saw Yana-chan at the hospital.\Yeah?\Huh, aren't you going today?\Nope.\But I told the girl with the glasses to be good to you.\You have to do your part.\Sure.\So something did happen. response:	Kakeru, are you having fun, living here?
context: Yeah?\Huh, aren't you going today?\Nope.\But I told the girl with the glasses to be good to you.\You have to do your part.\Sure.\So something did happen.\Kakeru, are you having fun, living here? response:	Sure, I think.
context: Huh, aren't you going today?\Nope.\But I told the girl with the glasses to be good to you.\You have to do your part.\Sure.\So something did happen.\Kakeru, are you having fun, living here?\Sure, I think. response:	Okay.
context: Nope.\But I told the girl with the glasses to be good to you.\You have to do your part.\Sure.\So something did happen.\Kakeru, are you having fun, living here?\Sure, I think.\Okay. response:	I'm going to school.
context: But I told the girl with the glasses to be good to you.\You have to do your part.\Sure.\So something did happen.\Kakeru, are you having fun, living here?\Sure, I think.\Okay.\I'm going to school. response:	Hey, Onee-chan.
context: You have to do your part.\Sure.\So something did happen.\Kakeru, are you having fun, living here?\Sure, I think.\Okay.\I'm going to school.\Hey, Onee-chan. response:	Yeah?
context: Sure.\So something did happen.\Kakeru, are you having fun, living here?\Sure, I think.\Okay.\I'm going to school.\Hey, Onee-chan.\Yeah? response:	Sorry about earlier.
context: So something did happen.\Kakeru, are you having fun, living here?\Sure, I think.\Okay.\I'm going to school.\Hey, Onee-chan.\Yeah?\Sorry about earlier. response:	No,
context: Kakeru, are you having fun, living here?\Sure, I think.\Okay.\I'm going to school.\Hey, Onee-chan.\Yeah?\Sorry about earlier.\No, response:	about Yukinari-san.
context: Sure, I think.\Okay.\I'm going to school.\Hey, Onee-chan.\Yeah?\Sorry about earlier.\No,\about Yukinari-san. response:	I mean, I wasn't
context: Okay.\I'm going to school.\Hey, Onee-chan.\Yeah?\Sorry about earlier.\No,\about Yukinari-san.\I mean, I wasn't response:	like this before.
context: I'm going to school.\Hey, Onee-chan.\Yeah?\Sorry about earlier.\No,\about Yukinari-san.\I mean, I wasn't\like this before. response:	So I did something unlike me, and I got worked up
context: Hey, Onee-chan.\Yeah?\Sorry about earlier.\No,\about Yukinari-san.\I mean, I wasn't\like this before.\So I did something unlike me, and I got worked up response:	and chased him on my bike, and I told him to stay attractive.
context: Yeah?\Sorry about earlier.\No,\about Yukinari-san.\I mean, I wasn't\like this before.\So I did something unlike me, and I got worked up\and chased him on my bike, and I told him to stay attractive. response:	You talked to him?
context: Sorry about earlier.\No,\about Yukinari-san.\I mean, I wasn't\like this before.\So I did something unlike me, and I got worked up\and chased him on my bike, and I told him to stay attractive.\You talked to him? response:	Yeah, I guess.
context: No,\about Yukinari-san.\I mean, I wasn't\like this before.\So I did something unlike me, and I got worked up\and chased him on my bike, and I told him to stay attractive.\You talked to him?\Yeah, I guess. response:	But...
context: about Yukinari-san.\I mean, I wasn't\like this before.\So I did something unlike me, and I got worked up\and chased him on my bike, and I told him to stay attractive.\You talked to him?\Yeah, I guess.\But... response:	But what?
context: I mean, I wasn't\like this before.\So I did something unlike me, and I got worked up\and chased him on my bike, and I told him to stay attractive.\You talked to him?\Yeah, I guess.\But...\But what? response:	He wasn't running yesterday.
context: like this before.\So I did something unlike me, and I got worked up\and chased him on my bike, and I told him to stay attractive.\You talked to him?\Yeah, I guess.\But...\But what?\He wasn't running yesterday. response:	Everyone was making a fuss, because they look forward to seeing him every day.
context: So I did something unlike me, and I got worked up\and chased him on my bike, and I told him to stay attractive.\You talked to him?\Yeah, I guess.\But...\But what?\He wasn't running yesterday.\Everyone was making a fuss, because they look forward to seeing him every day. response:	Really?
context: and chased him on my bike, and I told him to stay attractive.\You talked to him?\Yeah, I guess.\But...\But what?\He wasn't running yesterday.\Everyone was making a fuss, because they look forward to seeing him every day.\Really? response:	I have practice soon, too, so I'll go check.
