context: The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!! response:	Sit tight, Gohan! Your Ma is comin' to save you right now!
context: Yajirobe!\I've brung a message from Karin-sama.'Parently Piccolo got to Namek all right.\Piccolo!?\If he hangs around with the likes of him, Gohan-chan will become a delinquent!\I can't dawdle around any longer!\Let go of me! Let me go!\The repairs to the spaceship aren't likely finished yet!\- That kinda thing takes a lotta time! - That's right! response:	Ah, here, everyone's all together!
context: I've brung a message from Karin-sama.'Parently Piccolo got to Namek all right.\Piccolo!?\If he hangs around with the likes of him, Gohan-chan will become a delinquent!\I can't dawdle around any longer!\Let go of me! Let me go!\The repairs to the spaceship aren't likely finished yet!\- That kinda thing takes a lotta time! - That's right!\Ah, here, everyone's all together! response:	The third time around, I could handle it without even looking at the blueprints.
context: Piccolo!?\If he hangs around with the likes of him, Gohan-chan will become a delinquent!\I can't dawdle around any longer!\Let go of me! Let me go!\The repairs to the spaceship aren't likely finished yet!\- That kinda thing takes a lotta time! - That's right!\Ah, here, everyone's all together!\The third time around, I could handle it without even looking at the blueprints. response:	Well, Chichi-san, the repairs on the spaceship are finished. I can have you take off any time.
context: If he hangs around with the likes of him, Gohan-chan will become a delinquent!\I can't dawdle around any longer!\Let go of me! Let me go!\The repairs to the spaceship aren't likely finished yet!\- That kinda thing takes a lotta time! - That's right!\Ah, here, everyone's all together!\The third time around, I could handle it without even looking at the blueprints.\Well, Chichi-san, the repairs on the spaceship are finished. I can have you take off any time. response:	l- Is there something...?
context: I can't dawdle around any longer!\Let go of me! Let me go!\The repairs to the spaceship aren't likely finished yet!\- That kinda thing takes a lotta time! - That's right!\Ah, here, everyone's all together!\The third time around, I could handle it without even looking at the blueprints.\Well, Chichi-san, the repairs on the spaceship are finished. I can have you take off any time.\l- Is there something...? response:	There's no other way, is there? We can't very well let Chichi-san go alone.
context: Let go of me! Let me go!\The repairs to the spaceship aren't likely finished yet!\- That kinda thing takes a lotta time! - That's right!\Ah, here, everyone's all together!\The third time around, I could handle it without even looking at the blueprints.\Well, Chichi-san, the repairs on the spaceship are finished. I can have you take off any time.\l- Is there something...?\There's no other way, is there? We can't very well let Chichi-san go alone. response:	At this point, we all go together...
context: The repairs to the spaceship aren't likely finished yet!\- That kinda thing takes a lotta time! - That's right!\Ah, here, everyone's all together!\The third time around, I could handle it without even looking at the blueprints.\Well, Chichi-san, the repairs on the spaceship are finished. I can have you take off any time.\l- Is there something...?\There's no other way, is there? We can't very well let Chichi-san go alone.\At this point, we all go together... response:	Listen here! If we all put our efforts together, we just may be of help to Goku and the others!
context: - That kinda thing takes a lotta time! - That's right!\Ah, here, everyone's all together!\The third time around, I could handle it without even looking at the blueprints.\Well, Chichi-san, the repairs on the spaceship are finished. I can have you take off any time.\l- Is there something...?\There's no other way, is there? We can't very well let Chichi-san go alone.\At this point, we all go together...\Listen here! If we all put our efforts together, we just may be of help to Goku and the others! response:	Why d'ya need me too!?
context: Ah, here, everyone's all together!\The third time around, I could handle it without even looking at the blueprints.\Well, Chichi-san, the repairs on the spaceship are finished. I can have you take off any time.\l- Is there something...?\There's no other way, is there? We can't very well let Chichi-san go alone.\At this point, we all go together...\Listen here! If we all put our efforts together, we just may be of help to Goku and the others!\Why d'ya need me too!? response:	You seem to be much stronger than I thought. I'm a little surprised.
context: The third time around, I could handle it without even looking at the blueprints.\Well, Chichi-san, the repairs on the spaceship are finished. I can have you take off any time.\l- Is there something...?\There's no other way, is there? We can't very well let Chichi-san go alone.\At this point, we all go together...\Listen here! If we all put our efforts together, we just may be of help to Goku and the others!\Why d'ya need me too!?\You seem to be much stronger than I thought. I'm a little surprised. response:	To think that there was someone in the world who could reach even higher than Commander Ginyu...
context: Well, Chichi-san, the repairs on the spaceship are finished. I can have you take off any time.\l- Is there something...?\There's no other way, is there? We can't very well let Chichi-san go alone.\At this point, we all go together...\Listen here! If we all put our efforts together, we just may be of help to Goku and the others!\Why d'ya need me too!?\You seem to be much stronger than I thought. I'm a little surprised.\To think that there was someone in the world who could reach even higher than Commander Ginyu... response:	- But you are still no match for me. - Maybe not. But we just don't know!
context: l- Is there something...?\There's no other way, is there? We can't very well let Chichi-san go alone.\At this point, we all go together...\Listen here! If we all put our efforts together, we just may be of help to Goku and the others!\Why d'ya need me too!?\You seem to be much stronger than I thought. I'm a little surprised.\To think that there was someone in the world who could reach even higher than Commander Ginyu...\- But you are still no match for me. - Maybe not. But we just don't know! response:	I know!
context: There's no other way, is there? We can't very well let Chichi-san go alone.\At this point, we all go together...\Listen here! If we all put our efforts together, we just may be of help to Goku and the others!\Why d'ya need me too!?\You seem to be much stronger than I thought. I'm a little surprised.\To think that there was someone in the world who could reach even higher than Commander Ginyu...\- But you are still no match for me. - Maybe not. But we just don't know!\I know! response:	Right back at you!
context: At this point, we all go together...\Listen here! If we all put our efforts together, we just may be of help to Goku and the others!\Why d'ya need me too!?\You seem to be much stronger than I thought. I'm a little surprised.\To think that there was someone in the world who could reach even higher than Commander Ginyu...\- But you are still no match for me. - Maybe not. But we just don't know!\I know!\Right back at you! response:	He's escaped from my Kiai-Ho!
context: Listen here! If we all put our efforts together, we just may be of help to Goku and the others!\Why d'ya need me too!?\You seem to be much stronger than I thought. I'm a little surprised.\To think that there was someone in the world who could reach even higher than Commander Ginyu...\- But you are still no match for me. - Maybe not. But we just don't know!\I know!\Right back at you!\He's escaped from my Kiai-Ho! response:	Damn!
context: Why d'ya need me too!?\You seem to be much stronger than I thought. I'm a little surprised.\To think that there was someone in the world who could reach even higher than Commander Ginyu...\- But you are still no match for me. - Maybe not. But we just don't know!\I know!\Right back at you!\He's escaped from my Kiai-Ho!\Damn! response:	Hurry and come back up! It'll take more than that to beat you.
context: You seem to be much stronger than I thought. I'm a little surprised.\To think that there was someone in the world who could reach even higher than Commander Ginyu...\- But you are still no match for me. - Maybe not. But we just don't know!\I know!\Right back at you!\He's escaped from my Kiai-Ho!\Damn!\Hurry and come back up! It'll take more than that to beat you. response:	That rat has incredible speed as well. So, now what do I do?
context: To think that there was someone in the world who could reach even higher than Commander Ginyu...\- But you are still no match for me. - Maybe not. But we just don't know!\I know!\Right back at you!\He's escaped from my Kiai-Ho!\Damn!\Hurry and come back up! It'll take more than that to beat you.\That rat has incredible speed as well. So, now what do I do? response:	He can't find his opponent by just feeling out their Ki, the way we can.
context: - But you are still no match for me. - Maybe not. But we just don't know!\I know!\Right back at you!\He's escaped from my Kiai-Ho!\Damn!\Hurry and come back up! It'll take more than that to beat you.\That rat has incredible speed as well. So, now what do I do?\He can't find his opponent by just feeling out their Ki, the way we can. response:	He's always used his eyes to locate me.
context: I know!\Right back at you!\He's escaped from my Kiai-Ho!\Damn!\Hurry and come back up! It'll take more than that to beat you.\That rat has incredible speed as well. So, now what do I do?\He can't find his opponent by just feeling out their Ki, the way we can.\He's always used his eyes to locate me. response:	All right, let's make use of that!
context: Right back at you!\He's escaped from my Kiai-Ho!\Damn!\Hurry and come back up! It'll take more than that to beat you.\That rat has incredible speed as well. So, now what do I do?\He can't find his opponent by just feeling out their Ki, the way we can.\He's always used his eyes to locate me.\All right, let's make use of that! response:	W- What's wrong? Goku still hasn't come up!
context: He's escaped from my Kiai-Ho!\Damn!\Hurry and come back up! It'll take more than that to beat you.\That rat has incredible speed as well. So, now what do I do?\He can't find his opponent by just feeling out their Ki, the way we can.\He's always used his eyes to locate me.\All right, let's make use of that!\W- What's wrong? Goku still hasn't come up! response:	It's okay! Father's Ki hasn't diminished one bit!
context: Damn!\Hurry and come back up! It'll take more than that to beat you.\That rat has incredible speed as well. So, now what do I do?\He can't find his opponent by just feeling out their Ki, the way we can.\He's always used his eyes to locate me.\All right, let's make use of that!\W- What's wrong? Goku still hasn't come up!\It's okay! Father's Ki hasn't diminished one bit! response:	You know, it's been a while since I've done this. I wonder if Old Man Turtle Hermit is doing okay.
context: Hurry and come back up! It'll take more than that to beat you.\That rat has incredible speed as well. So, now what do I do?\He can't find his opponent by just feeling out their Ki, the way we can.\He's always used his eyes to locate me.\All right, let's make use of that!\W- What's wrong? Goku still hasn't come up!\It's okay! Father's Ki hasn't diminished one bit!\You know, it's been a while since I've done this. I wonder if Old Man Turtle Hermit is doing okay. response:	Ka... me... ha... me...
context: That rat has incredible speed as well. So, now what do I do?\He can't find his opponent by just feeling out their Ki, the way we can.\He's always used his eyes to locate me.\All right, let's make use of that!\W- What's wrong? Goku still hasn't come up!\It's okay! Father's Ki hasn't diminished one bit!\You know, it's been a while since I've done this. I wonder if Old Man Turtle Hermit is doing okay.\Ka... me... ha... me... response:	Okay, just like that, just like that!
context: He can't find his opponent by just feeling out their Ki, the way we can.\He's always used his eyes to locate me.\All right, let's make use of that!\W- What's wrong? Goku still hasn't come up!\It's okay! Father's Ki hasn't diminished one bit!\You know, it's been a while since I've done this. I wonder if Old Man Turtle Hermit is doing okay.\Ka... me... ha... me...\Okay, just like that, just like that! response:	What's the matter? Not ready yet? And here I was about to deliver a final blow...
context: He's always used his eyes to locate me.\All right, let's make use of that!\W- What's wrong? Goku still hasn't come up!\It's okay! Father's Ki hasn't diminished one bit!\You know, it's been a while since I've done this. I wonder if Old Man Turtle Hermit is doing okay.\Ka... me... ha... me...\Okay, just like that, just like that!\What's the matter? Not ready yet? And here I was about to deliver a final blow... response:	I guess we're just about ready.
context: All right, let's make use of that!\W- What's wrong? Goku still hasn't come up!\It's okay! Father's Ki hasn't diminished one bit!\You know, it's been a while since I've done this. I wonder if Old Man Turtle Hermit is doing okay.\Ka... me... ha... me...\Okay, just like that, just like that!\What's the matter? Not ready yet? And here I was about to deliver a final blow...\I guess we're just about ready. response:	All right, here goes!
context: W- What's wrong? Goku still hasn't come up!\It's okay! Father's Ki hasn't diminished one bit!\You know, it's been a while since I've done this. I wonder if Old Man Turtle Hermit is doing okay.\Ka... me... ha... me...\Okay, just like that, just like that!\What's the matter? Not ready yet? And here I was about to deliver a final blow...\I guess we're just about ready.\All right, here goes! response:	Off you go!
context: It's okay! Father's Ki hasn't diminished one bit!\You know, it's been a while since I've done this. I wonder if Old Man Turtle Hermit is doing okay.\Ka... me... ha... me...\Okay, just like that, just like that!\What's the matter? Not ready yet? And here I was about to deliver a final blow...\I guess we're just about ready.\All right, here goes!\Off you go! response:	Here he comes!
context: You know, it's been a while since I've done this. I wonder if Old Man Turtle Hermit is doing okay.\Ka... me... ha... me...\Okay, just like that, just like that!\What's the matter? Not ready yet? And here I was about to deliver a final blow...\I guess we're just about ready.\All right, here goes!\Off you go!\Here he comes! response:	That's not him!
context: Ka... me... ha... me...\Okay, just like that, just like that!\What's the matter? Not ready yet? And here I was about to deliver a final blow...\I guess we're just about ready.\All right, here goes!\Off you go!\Here he comes!\That's not him! response:	And the other!
context: Okay, just like that, just like that!\What's the matter? Not ready yet? And here I was about to deliver a final blow...\I guess we're just about ready.\All right, here goes!\Off you go!\Here he comes!\That's not him!\And the other! response:	This way?
context: What's the matter? Not ready yet? And here I was about to deliver a final blow...\I guess we're just about ready.\All right, here goes!\Off you go!\Here he comes!\That's not him!\And the other!\This way? response:	No!
context: I guess we're just about ready.\All right, here goes!\Off you go!\Here he comes!\That's not him!\And the other!\This way?\No! response:	Father!
context: All right, here goes!\Off you go!\Here he comes!\That's not him!\And the other!\This way?\No!\Father! response:	A great success!
context: Off you go!\Here he comes!\That's not him!\And the other!\This way?\No!\Father!\A great success! response:	Huh? He ain't the least bit affected?
context: Here he comes!\That's not him!\And the other!\This way?\No!\Father!\A great success!\Huh? He ain't the least bit affected? response:	To think that you could do this much. You're the first one aside from my father who I've had to dust off after.
context: That's not him!\And the other!\This way?\No!\Father!\A great success!\Huh? He ain't the least bit affected?\To think that you could do this much. You're the first one aside from my father who I've had to dust off after. response:	This might be the first time I've ever been this excited. How shall I dish this out?
context: And the other!\This way?\No!\Father!\A great success!\Huh? He ain't the least bit affected?\To think that you could do this much. You're the first one aside from my father who I've had to dust off after.\This might be the first time I've ever been this excited. How shall I dish this out? response:	You got me! I thought that would have at least had some effect on you.
context: This way?\No!\Father!\A great success!\Huh? He ain't the least bit affected?\To think that you could do this much. You're the first one aside from my father who I've had to dust off after.\This might be the first time I've ever been this excited. How shall I dish this out?\You got me! I thought that would have at least had some effect on you. response:	I think I'll torment him a little...
context: No!\Father!\A great success!\Huh? He ain't the least bit affected?\To think that you could do this much. You're the first one aside from my father who I've had to dust off after.\This might be the first time I've ever been this excited. How shall I dish this out?\You got me! I thought that would have at least had some effect on you.\I think I'll torment him a little... response:	That bastard! This is telekinesis!
context: Father!\A great success!\Huh? He ain't the least bit affected?\To think that you could do this much. You're the first one aside from my father who I've had to dust off after.\This might be the first time I've ever been this excited. How shall I dish this out?\You got me! I thought that would have at least had some effect on you.\I think I'll torment him a little...\That bastard! This is telekinesis! response:	Dammit!
context: A great success!\Huh? He ain't the least bit affected?\To think that you could do this much. You're the first one aside from my father who I've had to dust off after.\This might be the first time I've ever been this excited. How shall I dish this out?\You got me! I thought that would have at least had some effect on you.\I think I'll torment him a little...\That bastard! This is telekinesis!\Dammit! response:	Okay, if that's how it is...
context: Huh? He ain't the least bit affected?\To think that you could do this much. You're the first one aside from my father who I've had to dust off after.\This might be the first time I've ever been this excited. How shall I dish this out?\You got me! I thought that would have at least had some effect on you.\I think I'll torment him a little...\That bastard! This is telekinesis!\Dammit!\Okay, if that's how it is... response:	You are impudent!
context: To think that you could do this much. You're the first one aside from my father who I've had to dust off after.\This might be the first time I've ever been this excited. How shall I dish this out?\You got me! I thought that would have at least had some effect on you.\I think I'll torment him a little...\That bastard! This is telekinesis!\Dammit!\Okay, if that's how it is...\You are impudent! response:	- What is this!? - It's like a whole island! An island is floating there!
context: This might be the first time I've ever been this excited. How shall I dish this out?\You got me! I thought that would have at least had some effect on you.\I think I'll torment him a little...\That bastard! This is telekinesis!\Dammit!\Okay, if that's how it is...\You are impudent!\- What is this!? - It's like a whole island! An island is floating there! response:	Goku!
context: You got me! I thought that would have at least had some effect on you.\I think I'll torment him a little...\That bastard! This is telekinesis!\Dammit!\Okay, if that's how it is...\You are impudent!\- What is this!? - It's like a whole island! An island is floating there!\Goku! response:	This is the end for sure.
context: I think I'll torment him a little...\That bastard! This is telekinesis!\Dammit!\Okay, if that's how it is...\You are impudent!\- What is this!? - It's like a whole island! An island is floating there!\Goku!\This is the end for sure. response:	- You've fallen for it! - Oh, hell!
context: That bastard! This is telekinesis!\Dammit!\Okay, if that's how it is...\You are impudent!\- What is this!? - It's like a whole island! An island is floating there!\Goku!\This is the end for sure.\- You've fallen for it! - Oh, hell! response:	This serves you right!
context: Dammit!\Okay, if that's how it is...\You are impudent!\- What is this!? - It's like a whole island! An island is floating there!\Goku!\This is the end for sure.\- You've fallen for it! - Oh, hell!\This serves you right! response:	When I miss, you're finished!
context: Okay, if that's how it is...\You are impudent!\- What is this!? - It's like a whole island! An island is floating there!\Goku!\This is the end for sure.\- You've fallen for it! - Oh, hell!\This serves you right!\When I miss, you're finished! response:	If I don't somehow find my way out of this...!
context: You are impudent!\- What is this!? - It's like a whole island! An island is floating there!\Goku!\This is the end for sure.\- You've fallen for it! - Oh, hell!\This serves you right!\When I miss, you're finished!\If I don't somehow find my way out of this...! response:	We're just about at Game Set! Are you getting tired of this?
context: - What is this!? - It's like a whole island! An island is floating there!\Goku!\This is the end for sure.\- You've fallen for it! - Oh, hell!\This serves you right!\When I miss, you're finished!\If I don't somehow find my way out of this...!\We're just about at Game Set! Are you getting tired of this? response:	- What!? - You might die this time, huh?
context: Goku!\This is the end for sure.\- You've fallen for it! - Oh, hell!\This serves you right!\When I miss, you're finished!\If I don't somehow find my way out of this...!\We're just about at Game Set! Are you getting tired of this?\- What!? - You might die this time, huh? response:	Gohan!
context: This is the end for sure.\- You've fallen for it! - Oh, hell!\This serves you right!\When I miss, you're finished!\If I don't somehow find my way out of this...!\We're just about at Game Set! Are you getting tired of this?\- What!? - You might die this time, huh?\Gohan! response:	Ah, Piccolo-san!
context: - You've fallen for it! - Oh, hell!\This serves you right!\When I miss, you're finished!\If I don't somehow find my way out of this...!\We're just about at Game Set! Are you getting tired of this?\- What!? - You might die this time, huh?\Gohan!\Ah, Piccolo-san! response:	- Goku... - Father...
context: This serves you right!\When I miss, you're finished!\If I don't somehow find my way out of this...!\We're just about at Game Set! Are you getting tired of this?\- What!? - You might die this time, huh?\Gohan!\Ah, Piccolo-san!\- Goku... - Father... response:	What kind of guys are these!? Freeza's just playing around!
context: When I miss, you're finished!\If I don't somehow find my way out of this...!\We're just about at Game Set! Are you getting tired of this?\- What!? - You might die this time, huh?\Gohan!\Ah, Piccolo-san!\- Goku... - Father...\What kind of guys are these!? Freeza's just playing around! response:	If he felt like it, he's got the power to destroy this whole planet.
context: If I don't somehow find my way out of this...!\We're just about at Game Set! Are you getting tired of this?\- What!? - You might die this time, huh?\Gohan!\Ah, Piccolo-san!\- Goku... - Father...\What kind of guys are these!? Freeza's just playing around!\If he felt like it, he's got the power to destroy this whole planet. response:	And yet, seeing as how we're all still alive here...
context: We're just about at Game Set! Are you getting tired of this?\- What!? - You might die this time, huh?\Gohan!\Ah, Piccolo-san!\- Goku... - Father...\What kind of guys are these!? Freeza's just playing around!\If he felt like it, he's got the power to destroy this whole planet.\And yet, seeing as how we're all still alive here... response:	- It means he really is just playing around? - What a punk he is!
context: - What!? - You might die this time, huh?\Gohan!\Ah, Piccolo-san!\- Goku... - Father...\What kind of guys are these!? Freeza's just playing around!\If he felt like it, he's got the power to destroy this whole planet.\And yet, seeing as how we're all still alive here...\- It means he really is just playing around? - What a punk he is! response:	Piccolo-san, what about Father...?
context: Gohan!\Ah, Piccolo-san!\- Goku... - Father...\What kind of guys are these!? Freeza's just playing around!\If he felt like it, he's got the power to destroy this whole planet.\And yet, seeing as how we're all still alive here...\- It means he really is just playing around? - What a punk he is!\Piccolo-san, what about Father...? response:	There's no use worrying! That jerk hasn't gotten serious yet either!
context: Ah, Piccolo-san!\- Goku... - Father...\What kind of guys are these!? Freeza's just playing around!\If he felt like it, he's got the power to destroy this whole planet.\And yet, seeing as how we're all still alive here...\- It means he really is just playing around? - What a punk he is!\Piccolo-san, what about Father...?\There's no use worrying! That jerk hasn't gotten serious yet either! response:	Look over there!
context: - Goku... - Father...\What kind of guys are these!? Freeza's just playing around!\If he felt like it, he's got the power to destroy this whole planet.\And yet, seeing as how we're all still alive here...\- It means he really is just playing around? - What a punk he is!\Piccolo-san, what about Father...?\There's no use worrying! That jerk hasn't gotten serious yet either!\Look over there! response:	Father!
context: What kind of guys are these!? Freeza's just playing around!\If he felt like it, he's got the power to destroy this whole planet.\And yet, seeing as how we're all still alive here...\- It means he really is just playing around? - What a punk he is!\Piccolo-san, what about Father...?\There's no use worrying! That jerk hasn't gotten serious yet either!\Look over there!\Father! response:	That was a little too close. I'll have to be on guard against that attack.
context: If he felt like it, he's got the power to destroy this whole planet.\And yet, seeing as how we're all still alive here...\- It means he really is just playing around? - What a punk he is!\Piccolo-san, what about Father...?\There's no use worrying! That jerk hasn't gotten serious yet either!\Look over there!\Father!\That was a little too close. I'll have to be on guard against that attack. response:	Didn't I tell you earlier? Don't bust other people's planets up so much!
context: And yet, seeing as how we're all still alive here...\- It means he really is just playing around? - What a punk he is!\Piccolo-san, what about Father...?\There's no use worrying! That jerk hasn't gotten serious yet either!\Look over there!\Father!\That was a little too close. I'll have to be on guard against that attack.\Didn't I tell you earlier? Don't bust other people's planets up so much! response:	Goku... But how?
context: - It means he really is just playing around? - What a punk he is!\Piccolo-san, what about Father...?\There's no use worrying! That jerk hasn't gotten serious yet either!\Look over there!\Father!\That was a little too close. I'll have to be on guard against that attack.\Didn't I tell you earlier? Don't bust other people's planets up so much!\Goku... But how? response:	At the moment of the explosion, he escaped from being bound up in there at super-speed.
context: Piccolo-san, what about Father...?\There's no use worrying! That jerk hasn't gotten serious yet either!\Look over there!\Father!\That was a little too close. I'll have to be on guard against that attack.\Didn't I tell you earlier? Don't bust other people's planets up so much!\Goku... But how?\At the moment of the explosion, he escaped from being bound up in there at super-speed. response:	He did something that incredible? In that instant?
context: There's no use worrying! That jerk hasn't gotten serious yet either!\Look over there!\Father!\That was a little too close. I'll have to be on guard against that attack.\Didn't I tell you earlier? Don't bust other people's planets up so much!\Goku... But how?\At the moment of the explosion, he escaped from being bound up in there at super-speed.\He did something that incredible? In that instant? response:	They're freaks! Both of them, dammit!
context: Look over there!\Father!\That was a little too close. I'll have to be on guard against that attack.\Didn't I tell you earlier? Don't bust other people's planets up so much!\Goku... But how?\At the moment of the explosion, he escaped from being bound up in there at super-speed.\He did something that incredible? In that instant?\They're freaks! Both of them, dammit! response:	- You're a persistent one! Even I am starting to get annoyed. - So am I.
context: Father!\That was a little too close. I'll have to be on guard against that attack.\Didn't I tell you earlier? Don't bust other people's planets up so much!\Goku... But how?\At the moment of the explosion, he escaped from being bound up in there at super-speed.\He did something that incredible? In that instant?\They're freaks! Both of them, dammit!\- You're a persistent one! Even I am starting to get annoyed. - So am I. response:	I think I'll put an end to all this warming up, and finally get serious about this.
context: That was a little too close. I'll have to be on guard against that attack.\Didn't I tell you earlier? Don't bust other people's planets up so much!\Goku... But how?\At the moment of the explosion, he escaped from being bound up in there at super-speed.\He did something that incredible? In that instant?\They're freaks! Both of them, dammit!\- You're a persistent one! Even I am starting to get annoyed. - So am I.\I think I'll put an end to all this warming up, and finally get serious about this. response:	Me too.
context: Didn't I tell you earlier? Don't bust other people's planets up so much!\Goku... But how?\At the moment of the explosion, he escaped from being bound up in there at super-speed.\He did something that incredible? In that instant?\They're freaks! Both of them, dammit!\- You're a persistent one! Even I am starting to get annoyed. - So am I.\I think I'll put an end to all this warming up, and finally get serious about this.\Me too. response:	A clash of technique against technique! Explosive power versus power!
context: Goku... But how?\At the moment of the explosion, he escaped from being bound up in there at super-speed.\He did something that incredible? In that instant?\They're freaks! Both of them, dammit!\- You're a persistent one! Even I am starting to get annoyed. - So am I.\I think I'll put an end to all this warming up, and finally get serious about this.\Me too.\A clash of technique against technique! Explosive power versus power! response:	However, to Goku and Freeza, is this no more than simple warming up?
