context: I am grateful for the Institute's understanding and cooperation. response:	When receiving an order from the Palace,
context: concentrating on those of the nobility...\Fouquet the Sculptor?\In our Institute, there is the sacred treasure\that we have borrowed from the Palace,\the Staff of Destruction.\The Staff of Destruction...\What a troubling name.\I don't know how splendid a mage this Fouquet is, response:	but the treasure vault here is a special one,
context: Fouquet the Sculptor?\In our Institute, there is the sacred treasure\that we have borrowed from the Palace,\the Staff of Destruction.\The Staff of Destruction...\What a troubling name.\I don't know how splendid a mage this Fouquet is,\but the treasure vault here is a special one, response:	layered with many spells by Square-class mages.
context: In our Institute, there is the sacred treasure\that we have borrowed from the Palace,\the Staff of Destruction.\The Staff of Destruction...\What a troubling name.\I don't know how splendid a mage this Fouquet is,\but the treasure vault here is a special one,\layered with many spells by Square-class mages. response:	They're being overly anxious about it.
context: that we have borrowed from the Palace,\the Staff of Destruction.\The Staff of Destruction...\What a troubling name.\I don't know how splendid a mage this Fouquet is,\but the treasure vault here is a special one,\layered with many spells by Square-class mages.\They're being overly anxious about it. response:	Wait...
context: the Staff of Destruction.\The Staff of Destruction...\What a troubling name.\I don't know how splendid a mage this Fouquet is,\but the treasure vault here is a special one,\layered with many spells by Square-class mages.\They're being overly anxious about it.\Wait... response:	A history of the couple's romance that starts from the first kiss
context: The Staff of Destruction...\What a troubling name.\I don't know how splendid a mage this Fouquet is,\but the treasure vault here is a special one,\layered with many spells by Square-class mages.\They're being overly anxious about it.\Wait...\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: What a troubling name.\I don't know how splendid a mage this Fouquet is,\but the treasure vault here is a special one,\layered with many spells by Square-class mages.\They're being overly anxious about it.\Wait...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	The sky where two moons never fade away
context: I don't know how splendid a mage this Fouquet is,\but the treasure vault here is a special one,\layered with many spells by Square-class mages.\They're being overly anxious about it.\Wait...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away response:	That's an impossibility, right?
context: but the treasure vault here is a special one,\layered with many spells by Square-class mages.\They're being overly anxious about it.\Wait...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right? response:	This is the first time I've felt anything like this
context: layered with many spells by Square-class mages.\They're being overly anxious about it.\Wait...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this response:	I'm feeling more and more at ease with this place
context: They're being overly anxious about it.\Wait...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place response:	Even if you trip and become depressed
context: Wait...\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed response:	I will always hold you tight with a squeeze
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze response:	The story where we met that day stays hot with a sweet kiss
context: You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss response:	See, you can cast magic, and the wishes will surely come true
context: The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true response:	A history of the couple's romance that starts from the first kiss
context: That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	A Maid's Crisis
context: I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Maid's Crisis response:	So cold...
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Maid's Crisis\So cold... response:	Why am I doing this so late?
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Maid's Crisis\So cold...\Why am I doing this so late? response:	This is silk, you know?
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Maid's Crisis\So cold...\Why am I doing this so late?\This is silk, you know? response:	You have to be more gentle and careful in washing it!
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Maid's Crisis\So cold...\Why am I doing this so late?\This is silk, you know?\You have to be more gentle and careful in washing it! response:	Start over!
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\A Maid's Crisis\So cold...\Why am I doing this so late?\This is silk, you know?\You have to be more gentle and careful in washing it!\Start over! response:	Dammit! What's with being gentle and careful?
context: You, the one who cast magic on this destiny, suddenly appeared\A Maid's Crisis\So cold...\Why am I doing this so late?\This is silk, you know?\You have to be more gentle and careful in washing it!\Start over!\Dammit! What's with being gentle and careful? response:	I'm sorry. Did I startle you?
context: A Maid's Crisis\So cold...\Why am I doing this so late?\This is silk, you know?\You have to be more gentle and careful in washing it!\Start over!\Dammit! What's with being gentle and careful?\I'm sorry. Did I startle you? response:	Oh, it's just you, Siesta.
context: So cold...\Why am I doing this so late?\This is silk, you know?\You have to be more gentle and careful in washing it!\Start over!\Dammit! What's with being gentle and careful?\I'm sorry. Did I startle you?\Oh, it's just you, Siesta. response:	Yes.
context: Why am I doing this so late?\This is silk, you know?\You have to be more gentle and careful in washing it!\Start over!\Dammit! What's with being gentle and careful?\I'm sorry. Did I startle you?\Oh, it's just you, Siesta.\Yes. response:	You have to make sure to dry silk in the shade.
context: This is silk, you know?\You have to be more gentle and careful in washing it!\Start over!\Dammit! What's with being gentle and careful?\I'm sorry. Did I startle you?\Oh, it's just you, Siesta.\Yes.\You have to make sure to dry silk in the shade. response:	Here.
context: You have to be more gentle and careful in washing it!\Start over!\Dammit! What's with being gentle and careful?\I'm sorry. Did I startle you?\Oh, it's just you, Siesta.\Yes.\You have to make sure to dry silk in the shade.\Here. response:	You're a lifesaver.
context: Start over!\Dammit! What's with being gentle and careful?\I'm sorry. Did I startle you?\Oh, it's just you, Siesta.\Yes.\You have to make sure to dry silk in the shade.\Here.\You're a lifesaver. response:	I've never washed anything by hand before I came here.
context: Dammit! What's with being gentle and careful?\I'm sorry. Did I startle you?\Oh, it's just you, Siesta.\Yes.\You have to make sure to dry silk in the shade.\Here.\You're a lifesaver.\I've never washed anything by hand before I came here. response:	Come to think of it, Mr. Saito, where are you from?
context: I'm sorry. Did I startle you?\Oh, it's just you, Siesta.\Yes.\You have to make sure to dry silk in the shade.\Here.\You're a lifesaver.\I've never washed anything by hand before I came here.\Come to think of it, Mr. Saito, where are you from? response:	Well... How do I put it...
context: Oh, it's just you, Siesta.\Yes.\You have to make sure to dry silk in the shade.\Here.\You're a lifesaver.\I've never washed anything by hand before I came here.\Come to think of it, Mr. Saito, where are you from?\Well... How do I put it... response:	Anyway, somewhere very far away.
context: Yes.\You have to make sure to dry silk in the shade.\Here.\You're a lifesaver.\I've never washed anything by hand before I came here.\Come to think of it, Mr. Saito, where are you from?\Well... How do I put it...\Anyway, somewhere very far away. response:	Very.
context: You have to make sure to dry silk in the shade.\Here.\You're a lifesaver.\I've never washed anything by hand before I came here.\Come to think of it, Mr. Saito, where are you from?\Well... How do I put it...\Anyway, somewhere very far away.\Very. response:	Um, Mr. Saito?
context: Here.\You're a lifesaver.\I've never washed anything by hand before I came here.\Come to think of it, Mr. Saito, where are you from?\Well... How do I put it...\Anyway, somewhere very far away.\Very.\Um, Mr. Saito? response:	Thank you so much.
context: You're a lifesaver.\I've never washed anything by hand before I came here.\Come to think of it, Mr. Saito, where are you from?\Well... How do I put it...\Anyway, somewhere very far away.\Very.\Um, Mr. Saito?\Thank you so much. response:	What's this, out of the blue?
context: I've never washed anything by hand before I came here.\Come to think of it, Mr. Saito, where are you from?\Well... How do I put it...\Anyway, somewhere very far away.\Very.\Um, Mr. Saito?\Thank you so much.\What's this, out of the blue? response:	You never give up no matter what happens,
context: Come to think of it, Mr. Saito, where are you from?\Well... How do I put it...\Anyway, somewhere very far away.\Very.\Um, Mr. Saito?\Thank you so much.\What's this, out of the blue?\You never give up no matter what happens, response:	and you stand up against nobility even though you're a peasant.
context: Well... How do I put it...\Anyway, somewhere very far away.\Very.\Um, Mr. Saito?\Thank you so much.\What's this, out of the blue?\You never give up no matter what happens,\and you stand up against nobility even though you're a peasant. response:	Seeing you like that, Mr. Saito, has given me lots of courage.
context: Anyway, somewhere very far away.\Very.\Um, Mr. Saito?\Thank you so much.\What's this, out of the blue?\You never give up no matter what happens,\and you stand up against nobility even though you're a peasant.\Seeing you like that, Mr. Saito, has given me lots of courage. response:	I can continue to do my best all because of you, Mr. Saito.
context: Very.\Um, Mr. Saito?\Thank you so much.\What's this, out of the blue?\You never give up no matter what happens,\and you stand up against nobility even though you're a peasant.\Seeing you like that, Mr. Saito, has given me lots of courage.\I can continue to do my best all because of you, Mr. Saito. response:	Well, thanks...
context: Um, Mr. Saito?\Thank you so much.\What's this, out of the blue?\You never give up no matter what happens,\and you stand up against nobility even though you're a peasant.\Seeing you like that, Mr. Saito, has given me lots of courage.\I can continue to do my best all because of you, Mr. Saito.\Well, thanks... response:	Good night.
context: Thank you so much.\What's this, out of the blue?\You never give up no matter what happens,\and you stand up against nobility even though you're a peasant.\Seeing you like that, Mr. Saito, has given me lots of courage.\I can continue to do my best all because of you, Mr. Saito.\Well, thanks...\Good night. response:	Yeah. Good night.
context: What's this, out of the blue?\You never give up no matter what happens,\and you stand up against nobility even though you're a peasant.\Seeing you like that, Mr. Saito, has given me lots of courage.\I can continue to do my best all because of you, Mr. Saito.\Well, thanks...\Good night.\Yeah. Good night. response:	Somehow, she seemed to be acting funny.
context: You never give up no matter what happens,\and you stand up against nobility even though you're a peasant.\Seeing you like that, Mr. Saito, has given me lots of courage.\I can continue to do my best all because of you, Mr. Saito.\Well, thanks...\Good night.\Yeah. Good night.\Somehow, she seemed to be acting funny. response:	Oh?
context: and you stand up against nobility even though you're a peasant.\Seeing you like that, Mr. Saito, has given me lots of courage.\I can continue to do my best all because of you, Mr. Saito.\Well, thanks...\Good night.\Yeah. Good night.\Somehow, she seemed to be acting funny.\Oh? response:	Hey, I have to get up early tomorrow, so I'll see you later.
context: Seeing you like that, Mr. Saito, has given me lots of courage.\I can continue to do my best all because of you, Mr. Saito.\Well, thanks...\Good night.\Yeah. Good night.\Somehow, she seemed to be acting funny.\Oh?\Hey, I have to get up early tomorrow, so I'll see you later. response:	You know that sword I bought the other day?
context: I can continue to do my best all because of you, Mr. Saito.\Well, thanks...\Good night.\Yeah. Good night.\Somehow, she seemed to be acting funny.\Oh?\Hey, I have to get up early tomorrow, so I'll see you later.\You know that sword I bought the other day? response:	That huge, shiny one?
context: Well, thanks...\Good night.\Yeah. Good night.\Somehow, she seemed to be acting funny.\Oh?\Hey, I have to get up early tomorrow, so I'll see you later.\You know that sword I bought the other day?\That huge, shiny one? response:	I don't need it,
context: Good night.\Yeah. Good night.\Somehow, she seemed to be acting funny.\Oh?\Hey, I have to get up early tomorrow, so I'll see you later.\You know that sword I bought the other day?\That huge, shiny one?\I don't need it, response:	and since I bought it, I might as well give it to you.
context: Yeah. Good night.\Somehow, she seemed to be acting funny.\Oh?\Hey, I have to get up early tomorrow, so I'll see you later.\You know that sword I bought the other day?\That huge, shiny one?\I don't need it,\and since I bought it, I might as well give it to you. response:	Seriously? For free?
context: Somehow, she seemed to be acting funny.\Oh?\Hey, I have to get up early tomorrow, so I'll see you later.\You know that sword I bought the other day?\That huge, shiny one?\I don't need it,\and since I bought it, I might as well give it to you.\Seriously? For free? response:	Of course.
context: Oh?\Hey, I have to get up early tomorrow, so I'll see you later.\You know that sword I bought the other day?\That huge, shiny one?\I don't need it,\and since I bought it, I might as well give it to you.\Seriously? For free?\Of course. response:	For starters, let's talk inside.
context: Hey, I have to get up early tomorrow, so I'll see you later.\You know that sword I bought the other day?\That huge, shiny one?\I don't need it,\and since I bought it, I might as well give it to you.\Seriously? For free?\Of course.\For starters, let's talk inside. response:	Well, if it's just talk...
context: You know that sword I bought the other day?\That huge, shiny one?\I don't need it,\and since I bought it, I might as well give it to you.\Seriously? For free?\Of course.\For starters, let's talk inside.\Well, if it's just talk... response:	This is great after all!
context: That huge, shiny one?\I don't need it,\and since I bought it, I might as well give it to you.\Seriously? For free?\Of course.\For starters, let's talk inside.\Well, if it's just talk...\This is great after all! response:	It makes you feel like a hero
context: I don't need it,\and since I bought it, I might as well give it to you.\Seriously? For free?\Of course.\For starters, let's talk inside.\Well, if it's just talk...\This is great after all!\It makes you feel like a hero response:	when you have something like this on your back.
context: and since I bought it, I might as well give it to you.\Seriously? For free?\Of course.\For starters, let's talk inside.\Well, if it's just talk...\This is great after all!\It makes you feel like a hero\when you have something like this on your back. response:	You don't have to be so reserved.
context: Seriously? For free?\Of course.\For starters, let's talk inside.\Well, if it's just talk...\This is great after all!\It makes you feel like a hero\when you have something like this on your back.\You don't have to be so reserved. response:	But Louise...
context: Of course.\For starters, let's talk inside.\Well, if it's just talk...\This is great after all!\It makes you feel like a hero\when you have something like this on your back.\You don't have to be so reserved.\But Louise... response:	Don't worry about Valliere. This is a sign of my love.
context: For starters, let's talk inside.\Well, if it's just talk...\This is great after all!\It makes you feel like a hero\when you have something like this on your back.\You don't have to be so reserved.\But Louise...\Don't worry about Valliere. This is a sign of my love. response:	Hey, can I ask you something?
context: Well, if it's just talk...\This is great after all!\It makes you feel like a hero\when you have something like this on your back.\You don't have to be so reserved.\But Louise...\Don't worry about Valliere. This is a sign of my love.\Hey, can I ask you something? response:	What is it?
context: This is great after all!\It makes you feel like a hero\when you have something like this on your back.\You don't have to be so reserved.\But Louise...\Don't worry about Valliere. This is a sign of my love.\Hey, can I ask you something?\What is it? response:	Why me?
context: It makes you feel like a hero\when you have something like this on your back.\You don't have to be so reserved.\But Louise...\Don't worry about Valliere. This is a sign of my love.\Hey, can I ask you something?\What is it?\Why me? response:	You have hordes of men after you all the time.
context: when you have something like this on your back.\You don't have to be so reserved.\But Louise...\Don't worry about Valliere. This is a sign of my love.\Hey, can I ask you something?\What is it?\Why me?\You have hordes of men after you all the time. response:	You have lots of things that none of them have.
context: You don't have to be so reserved.\But Louise...\Don't worry about Valliere. This is a sign of my love.\Hey, can I ask you something?\What is it?\Why me?\You have hordes of men after you all the time.\You have lots of things that none of them have. response:	There's just no comparison.
context: But Louise...\Don't worry about Valliere. This is a sign of my love.\Hey, can I ask you something?\What is it?\Why me?\You have hordes of men after you all the time.\You have lots of things that none of them have.\There's just no comparison. response:	Do I really? For instance?
context: Don't worry about Valliere. This is a sign of my love.\Hey, can I ask you something?\What is it?\Why me?\You have hordes of men after you all the time.\You have lots of things that none of them have.\There's just no comparison.\Do I really? For instance? response:	Well...
context: Hey, can I ask you something?\What is it?\Why me?\You have hordes of men after you all the time.\You have lots of things that none of them have.\There's just no comparison.\Do I really? For instance?\Well... response:	Speech and mannerisms that seem to indicate an ill-bred childhood,
context: What is it?\Why me?\You have hordes of men after you all the time.\You have lots of things that none of them have.\There's just no comparison.\Do I really? For instance?\Well...\Speech and mannerisms that seem to indicate an ill-bred childhood, response:	your shabby appearance, the slight feeling of uncleanliness...
context: Why me?\You have hordes of men after you all the time.\You have lots of things that none of them have.\There's just no comparison.\Do I really? For instance?\Well...\Speech and mannerisms that seem to indicate an ill-bred childhood,\your shabby appearance, the slight feeling of uncleanliness... response:	I'm gonna go home.
context: You have hordes of men after you all the time.\You have lots of things that none of them have.\There's just no comparison.\Do I really? For instance?\Well...\Speech and mannerisms that seem to indicate an ill-bred childhood,\your shabby appearance, the slight feeling of uncleanliness...\I'm gonna go home. response:	Oh, wait... Did I say something that upset you?
context: You have lots of things that none of them have.\There's just no comparison.\Do I really? For instance?\Well...\Speech and mannerisms that seem to indicate an ill-bred childhood,\your shabby appearance, the slight feeling of uncleanliness...\I'm gonna go home.\Oh, wait... Did I say something that upset you? response:	All of it!
context: There's just no comparison.\Do I really? For instance?\Well...\Speech and mannerisms that seem to indicate an ill-bred childhood,\your shabby appearance, the slight feeling of uncleanliness...\I'm gonna go home.\Oh, wait... Did I say something that upset you?\All of it! response:	Wait a minute.
context: Do I really? For instance?\Well...\Speech and mannerisms that seem to indicate an ill-bred childhood,\your shabby appearance, the slight feeling of uncleanliness...\I'm gonna go home.\Oh, wait... Did I say something that upset you?\All of it!\Wait a minute. response:	Well, then...
context: Well...\Speech and mannerisms that seem to indicate an ill-bred childhood,\your shabby appearance, the slight feeling of uncleanliness...\I'm gonna go home.\Oh, wait... Did I say something that upset you?\All of it!\Wait a minute.\Well, then... response:	How about this?
context: Speech and mannerisms that seem to indicate an ill-bred childhood,\your shabby appearance, the slight feeling of uncleanliness...\I'm gonna go home.\Oh, wait... Did I say something that upset you?\All of it!\Wait a minute.\Well, then...\How about this? response:	What is it?
context: your shabby appearance, the slight feeling of uncleanliness...\I'm gonna go home.\Oh, wait... Did I say something that upset you?\All of it!\Wait a minute.\Well, then...\How about this?\What is it? response:	It's a talisman ring. What is it?
context: I'm gonna go home.\Oh, wait... Did I say something that upset you?\All of it!\Wait a minute.\Well, then...\How about this?\What is it?\It's a talisman ring. What is it? response:	It's a talisman ring.
context: Oh, wait... Did I say something that upset you?\All of it!\Wait a minute.\Well, then...\How about this?\What is it?\It's a talisman ring. What is it?\It's a talisman ring. response:	It's very valuable.
context: All of it!\Wait a minute.\Well, then...\How about this?\What is it?\It's a talisman ring. What is it?\It's a talisman ring.\It's very valuable. response:	Don't want it.
context: Wait a minute.\Well, then...\How about this?\What is it?\It's a talisman ring. What is it?\It's a talisman ring.\It's very valuable.\Don't want it. response:	Then, how about this?
context: Well, then...\How about this?\What is it?\It's a talisman ring. What is it?\It's a talisman ring.\It's very valuable.\Don't want it.\Then, how about this? response:	An earring of a fire-eater bird's blood.
context: How about this?\What is it?\It's a talisman ring. What is it?\It's a talisman ring.\It's very valuable.\Don't want it.\Then, how about this?\An earring of a fire-eater bird's blood. response:	Don't want it.
context: What is it?\It's a talisman ring. What is it?\It's a talisman ring.\It's very valuable.\Don't want it.\Then, how about this?\An earring of a fire-eater bird's blood.\Don't want it. response:	Then, what about this?
context: It's a talisman ring. What is it?\It's a talisman ring.\It's very valuable.\Don't want it.\Then, how about this?\An earring of a fire-eater bird's blood.\Don't want it.\Then, what about this? response:	This book is our family heirloom.
context: It's a talisman ring.\It's very valuable.\Don't want it.\Then, how about this?\An earring of a fire-eater bird's blood.\Don't want it.\Then, what about this?\This book is our family heirloom. response:	You know, accepting anything would be a problem.
context: It's very valuable.\Don't want it.\Then, how about this?\An earring of a fire-eater bird's blood.\Don't want it.\Then, what about this?\This book is our family heirloom.\You know, accepting anything would be a problem. response:	You don't seem to get it...
context: Don't want it.\Then, how about this?\An earring of a fire-eater bird's blood.\Don't want it.\Then, what about this?\This book is our family heirloom.\You know, accepting anything would be a problem.\You don't seem to get it... response:	I won't let you get away.
context: Then, how about this?\An earring of a fire-eater bird's blood.\Don't want it.\Then, what about this?\This book is our family heirloom.\You know, accepting anything would be a problem.\You don't seem to get it...\I won't let you get away. response:	Hey...
context: An earring of a fire-eater bird's blood.\Don't want it.\Then, what about this?\This book is our family heirloom.\You know, accepting anything would be a problem.\You don't seem to get it...\I won't let you get away.\Hey... response:	The von Zerbst's blood,
context: Don't want it.\Then, what about this?\This book is our family heirloom.\You know, accepting anything would be a problem.\You don't seem to get it...\I won't let you get away.\Hey...\The von Zerbst's blood, response:	that of the hunter of love, is getting excited.
context: Then, what about this?\This book is our family heirloom.\You know, accepting anything would be a problem.\You don't seem to get it...\I won't let you get away.\Hey...\The von Zerbst's blood,\that of the hunter of love, is getting excited. response:	Hunter?
context: This book is our family heirloom.\You know, accepting anything would be a problem.\You don't seem to get it...\I won't let you get away.\Hey...\The von Zerbst's blood,\that of the hunter of love, is getting excited.\Hunter? response:	Targets that are hardest to obtain turn me on the most.
context: You know, accepting anything would be a problem.\You don't seem to get it...\I won't let you get away.\Hey...\The von Zerbst's blood,\that of the hunter of love, is getting excited.\Hunter?\Targets that are hardest to obtain turn me on the most. response:	Louise!
context: You don't seem to get it...\I won't let you get away.\Hey...\The von Zerbst's blood,\that of the hunter of love, is getting excited.\Hunter?\Targets that are hardest to obtain turn me on the most.\Louise! response:	You always show up that way.
context: I won't let you get away.\Hey...\The von Zerbst's blood,\that of the hunter of love, is getting excited.\Hunter?\Targets that are hardest to obtain turn me on the most.\Louise!\You always show up that way. response:	We're going home, Dog.
context: Hey...\The von Zerbst's blood,\that of the hunter of love, is getting excited.\Hunter?\Targets that are hardest to obtain turn me on the most.\Louise!\You always show up that way.\We're going home, Dog. response:	Yes!
context: The von Zerbst's blood,\that of the hunter of love, is getting excited.\Hunter?\Targets that are hardest to obtain turn me on the most.\Louise!\You always show up that way.\We're going home, Dog.\Yes! response:	I've told you often enough.
context: that of the hunter of love, is getting excited.\Hunter?\Targets that are hardest to obtain turn me on the most.\Louise!\You always show up that way.\We're going home, Dog.\Yes!\I've told you often enough. response:	You're stupid, to accept another one of her offers so readily!
context: Hunter?\Targets that are hardest to obtain turn me on the most.\Louise!\You always show up that way.\We're going home, Dog.\Yes!\I've told you often enough.\You're stupid, to accept another one of her offers so readily! response:	Well...
context: Targets that are hardest to obtain turn me on the most.\Louise!\You always show up that way.\We're going home, Dog.\Yes!\I've told you often enough.\You're stupid, to accept another one of her offers so readily!\Well... response:	Since Kirche said that she would give me that shiny gold sword...
context: Louise!\You always show up that way.\We're going home, Dog.\Yes!\I've told you often enough.\You're stupid, to accept another one of her offers so readily!\Well...\Since Kirche said that she would give me that shiny gold sword... response:	I couldn't help it.
context: You always show up that way.\We're going home, Dog.\Yes!\I've told you often enough.\You're stupid, to accept another one of her offers so readily!\Well...\Since Kirche said that she would give me that shiny gold sword...\I couldn't help it. response:	You were the one that said you were fine with that one.
