context: No... response:	Please...
context: Oh, so that's what happened.\You found me unconscious, dressed like this?\Yeah. If I had arrived on the scene a little later,\you would've been arrested by the cops for indecent exposure.\Do you have a death wish?\Snippy, aren't you?\Of course I am. I...\I lost Senketsu. response:	To Nui Harime?
context: You found me unconscious, dressed like this?\Yeah. If I had arrived on the scene a little later,\you would've been arrested by the cops for indecent exposure.\Do you have a death wish?\Snippy, aren't you?\Of course I am. I...\I lost Senketsu.\To Nui Harime? response:	That's right. He was chopped to pieces by her.
context: Yeah. If I had arrived on the scene a little later,\you would've been arrested by the cops for indecent exposure.\Do you have a death wish?\Snippy, aren't you?\Of course I am. I...\I lost Senketsu.\To Nui Harime?\That's right. He was chopped to pieces by her. response:	I was weak and couldn't summon up any
context: you would've been arrested by the cops for indecent exposure.\Do you have a death wish?\Snippy, aren't you?\Of course I am. I...\I lost Senketsu.\To Nui Harime?\That's right. He was chopped to pieces by her.\I was weak and couldn't summon up any response:	of his power, either, and he got shredded...
context: Do you have a death wish?\Snippy, aren't you?\Of course I am. I...\I lost Senketsu.\To Nui Harime?\That's right. He was chopped to pieces by her.\I was weak and couldn't summon up any\of his power, either, and he got shredded... response:	I haven't been lost!
context: Snippy, aren't you?\Of course I am. I...\I lost Senketsu.\To Nui Harime?\That's right. He was chopped to pieces by her.\I was weak and couldn't summon up any\of his power, either, and he got shredded...\I haven't been lost! response:	If you try any lame impersonations, I mean it, I'm going to kill you.
context: Of course I am. I...\I lost Senketsu.\To Nui Harime?\That's right. He was chopped to pieces by her.\I was weak and couldn't summon up any\of his power, either, and he got shredded...\I haven't been lost!\If you try any lame impersonations, I mean it, I'm going to kill you. response:	Hey, cut me some slack. I'm not doing anything.
context: I lost Senketsu.\To Nui Harime?\That's right. He was chopped to pieces by her.\I was weak and couldn't summon up any\of his power, either, and he got shredded...\I haven't been lost!\If you try any lame impersonations, I mean it, I'm going to kill you.\Hey, cut me some slack. I'm not doing anything. response:	Ryuko, calm yourself.
context: To Nui Harime?\That's right. He was chopped to pieces by her.\I was weak and couldn't summon up any\of his power, either, and he got shredded...\I haven't been lost!\If you try any lame impersonations, I mean it, I'm going to kill you.\Hey, cut me some slack. I'm not doing anything.\Ryuko, calm yourself. response:	See, you're doing it again!
context: That's right. He was chopped to pieces by her.\I was weak and couldn't summon up any\of his power, either, and he got shredded...\I haven't been lost!\If you try any lame impersonations, I mean it, I'm going to kill you.\Hey, cut me some slack. I'm not doing anything.\Ryuko, calm yourself.\See, you're doing it again! response:	I have him right here.
context: I was weak and couldn't summon up any\of his power, either, and he got shredded...\I haven't been lost!\If you try any lame impersonations, I mean it, I'm going to kill you.\Hey, cut me some slack. I'm not doing anything.\Ryuko, calm yourself.\See, you're doing it again!\I have him right here. response:	Senketsu, you're alive?! What a relief!
context: of his power, either, and he got shredded...\I haven't been lost!\If you try any lame impersonations, I mean it, I'm going to kill you.\Hey, cut me some slack. I'm not doing anything.\Ryuko, calm yourself.\See, you're doing it again!\I have him right here.\Senketsu, you're alive?! What a relief! response:	Only because you held on to me so tightly.
context: I haven't been lost!\If you try any lame impersonations, I mean it, I'm going to kill you.\Hey, cut me some slack. I'm not doing anything.\Ryuko, calm yourself.\See, you're doing it again!\I have him right here.\Senketsu, you're alive?! What a relief!\Only because you held on to me so tightly. response:	And the rest? Where's the rest of you?
context: If you try any lame impersonations, I mean it, I'm going to kill you.\Hey, cut me some slack. I'm not doing anything.\Ryuko, calm yourself.\See, you're doing it again!\I have him right here.\Senketsu, you're alive?! What a relief!\Only because you held on to me so tightly.\And the rest? Where's the rest of you? response:	The sleeves? The shoulders? The skirt?
context: Hey, cut me some slack. I'm not doing anything.\Ryuko, calm yourself.\See, you're doing it again!\I have him right here.\Senketsu, you're alive?! What a relief!\Only because you held on to me so tightly.\And the rest? Where's the rest of you?\The sleeves? The shoulders? The skirt? response:	Huh?
context: Ryuko, calm yourself.\See, you're doing it again!\I have him right here.\Senketsu, you're alive?! What a relief!\Only because you held on to me so tightly.\And the rest? Where's the rest of you?\The sleeves? The shoulders? The skirt?\Huh? response:	I didn't see anything else when I got there.
context: See, you're doing it again!\I have him right here.\Senketsu, you're alive?! What a relief!\Only because you held on to me so tightly.\And the rest? Where's the rest of you?\The sleeves? The shoulders? The skirt?\Huh?\I didn't see anything else when I got there. response:	Just you, lying there unconscious, clutching that
context: I have him right here.\Senketsu, you're alive?! What a relief!\Only because you held on to me so tightly.\And the rest? Where's the rest of you?\The sleeves? The shoulders? The skirt?\Huh?\I didn't see anything else when I got there.\Just you, lying there unconscious, clutching that response:	scarf like your life depended on it.
context: Senketsu, you're alive?! What a relief!\Only because you held on to me so tightly.\And the rest? Where's the rest of you?\The sleeves? The shoulders? The skirt?\Huh?\I didn't see anything else when I got there.\Just you, lying there unconscious, clutching that\scarf like your life depended on it. response:	Ryuko, my shredded body has been divvied up
context: Only because you held on to me so tightly.\And the rest? Where's the rest of you?\The sleeves? The shoulders? The skirt?\Huh?\I didn't see anything else when I got there.\Just you, lying there unconscious, clutching that\scarf like your life depended on it.\Ryuko, my shredded body has been divvied up response:	amongst the School Raid Trip students.
context: And the rest? Where's the rest of you?\The sleeves? The shoulders? The skirt?\Huh?\I didn't see anything else when I got there.\Just you, lying there unconscious, clutching that\scarf like your life depended on it.\Ryuko, my shredded body has been divvied up\amongst the School Raid Trip students. response:	So the rest of you is in Kansai, huh?
context: The sleeves? The shoulders? The skirt?\Huh?\I didn't see anything else when I got there.\Just you, lying there unconscious, clutching that\scarf like your life depended on it.\Ryuko, my shredded body has been divvied up\amongst the School Raid Trip students.\So the rest of you is in Kansai, huh? response:	Exactly. It was Satsuki Kiryuin's doing.
context: Huh?\I didn't see anything else when I got there.\Just you, lying there unconscious, clutching that\scarf like your life depended on it.\Ryuko, my shredded body has been divvied up\amongst the School Raid Trip students.\So the rest of you is in Kansai, huh?\Exactly. It was Satsuki Kiryuin's doing. response:	Damn that Satsuki, always screwing with me...
context: I didn't see anything else when I got there.\Just you, lying there unconscious, clutching that\scarf like your life depended on it.\Ryuko, my shredded body has been divvied up\amongst the School Raid Trip students.\So the rest of you is in Kansai, huh?\Exactly. It was Satsuki Kiryuin's doing.\Damn that Satsuki, always screwing with me... response:	Huh? What're you doing here, Mr. Mikisugi?
context: Just you, lying there unconscious, clutching that\scarf like your life depended on it.\Ryuko, my shredded body has been divvied up\amongst the School Raid Trip students.\So the rest of you is in Kansai, huh?\Exactly. It was Satsuki Kiryuin's doing.\Damn that Satsuki, always screwing with me...\Huh? What're you doing here, Mr. Mikisugi? response:	Unfortunately, I'm no longer a teacher.
context: scarf like your life depended on it.\Ryuko, my shredded body has been divvied up\amongst the School Raid Trip students.\So the rest of you is in Kansai, huh?\Exactly. It was Satsuki Kiryuin's doing.\Damn that Satsuki, always screwing with me...\Huh? What're you doing here, Mr. Mikisugi?\Unfortunately, I'm no longer a teacher. response:	The time has now come.
context: Ryuko, my shredded body has been divvied up\amongst the School Raid Trip students.\So the rest of you is in Kansai, huh?\Exactly. It was Satsuki Kiryuin's doing.\Damn that Satsuki, always screwing with me...\Huh? What're you doing here, Mr. Mikisugi?\Unfortunately, I'm no longer a teacher.\The time has now come. response:	Today, I bid farewell to my cover identity as the
context: amongst the School Raid Trip students.\So the rest of you is in Kansai, huh?\Exactly. It was Satsuki Kiryuin's doing.\Damn that Satsuki, always screwing with me...\Huh? What're you doing here, Mr. Mikisugi?\Unfortunately, I'm no longer a teacher.\The time has now come.\Today, I bid farewell to my cover identity as the response:	homeroom teacher for Honnouji Academy's Second Year, Class K.
context: So the rest of you is in Kansai, huh?\Exactly. It was Satsuki Kiryuin's doing.\Damn that Satsuki, always screwing with me...\Huh? What're you doing here, Mr. Mikisugi?\Unfortunately, I'm no longer a teacher.\The time has now come.\Today, I bid farewell to my cover identity as the\homeroom teacher for Honnouji Academy's Second Year, Class K. response:	Today, I return to being my unadorned self!
context: Exactly. It was Satsuki Kiryuin's doing.\Damn that Satsuki, always screwing with me...\Huh? What're you doing here, Mr. Mikisugi?\Unfortunately, I'm no longer a teacher.\The time has now come.\Today, I bid farewell to my cover identity as the\homeroom teacher for Honnouji Academy's Second Year, Class K.\Today, I return to being my unadorned self! response:	A Splendid Naked Officer, the nude warriors of Nudist Beach
context: Damn that Satsuki, always screwing with me...\Huh? What're you doing here, Mr. Mikisugi?\Unfortunately, I'm no longer a teacher.\The time has now come.\Today, I bid farewell to my cover identity as the\homeroom teacher for Honnouji Academy's Second Year, Class K.\Today, I return to being my unadorned self!\A Splendid Naked Officer, the nude warriors of Nudist Beach response:	who do battle against the threat of Life Fibers!
context: Huh? What're you doing here, Mr. Mikisugi?\Unfortunately, I'm no longer a teacher.\The time has now come.\Today, I bid farewell to my cover identity as the\homeroom teacher for Honnouji Academy's Second Year, Class K.\Today, I return to being my unadorned self!\A Splendid Naked Officer, the nude warriors of Nudist Beach\who do battle against the threat of Life Fibers! response:	Aikuro Mikisugi! Let's begin!
context: Unfortunately, I'm no longer a teacher.\The time has now come.\Today, I bid farewell to my cover identity as the\homeroom teacher for Honnouji Academy's Second Year, Class K.\Today, I return to being my unadorned self!\A Splendid Naked Officer, the nude warriors of Nudist Beach\who do battle against the threat of Life Fibers!\Aikuro Mikisugi! Let's begin! response:	NUDIST BEACH SPLENDID NAKED OFFICER AIKURO MIKISUGI
context: The time has now come.\Today, I bid farewell to my cover identity as the\homeroom teacher for Honnouji Academy's Second Year, Class K.\Today, I return to being my unadorned self!\A Splendid Naked Officer, the nude warriors of Nudist Beach\who do battle against the threat of Life Fibers!\Aikuro Mikisugi! Let's begin!\NUDIST BEACH SPLENDID NAKED OFFICER AIKURO MIKISUGI response:	Come on, Nude Shooting Star!
context: Today, I bid farewell to my cover identity as the\homeroom teacher for Honnouji Academy's Second Year, Class K.\Today, I return to being my unadorned self!\A Splendid Naked Officer, the nude warriors of Nudist Beach\who do battle against the threat of Life Fibers!\Aikuro Mikisugi! Let's begin!\NUDIST BEACH SPLENDID NAKED OFFICER AIKURO MIKISUGI\Come on, Nude Shooting Star! response:	Farewell, students of Honnouji Academy!
context: homeroom teacher for Honnouji Academy's Second Year, Class K.\Today, I return to being my unadorned self!\A Splendid Naked Officer, the nude warriors of Nudist Beach\who do battle against the threat of Life Fibers!\Aikuro Mikisugi! Let's begin!\NUDIST BEACH SPLENDID NAKED OFFICER AIKURO MIKISUGI\Come on, Nude Shooting Star!\Farewell, students of Honnouji Academy! response:	What the hell was all that about?
context: Today, I return to being my unadorned self!\A Splendid Naked Officer, the nude warriors of Nudist Beach\who do battle against the threat of Life Fibers!\Aikuro Mikisugi! Let's begin!\NUDIST BEACH SPLENDID NAKED OFFICER AIKURO MIKISUGI\Come on, Nude Shooting Star!\Farewell, students of Honnouji Academy!\What the hell was all that about? response:	EPISODE 14 RIDE LIKE THE WIND
context: A Splendid Naked Officer, the nude warriors of Nudist Beach\who do battle against the threat of Life Fibers!\Aikuro Mikisugi! Let's begin!\NUDIST BEACH SPLENDID NAKED OFFICER AIKURO MIKISUGI\Come on, Nude Shooting Star!\Farewell, students of Honnouji Academy!\What the hell was all that about?\EPISODE 14 RIDE LIKE THE WIND response:	I have selected students with high Life Fiber tolerance,
context: who do battle against the threat of Life Fibers!\Aikuro Mikisugi! Let's begin!\NUDIST BEACH SPLENDID NAKED OFFICER AIKURO MIKISUGI\Come on, Nude Shooting Star!\Farewell, students of Honnouji Academy!\What the hell was all that about?\EPISODE 14 RIDE LIKE THE WIND\I have selected students with high Life Fiber tolerance, response:	and am dividing up the various parts of Kamui Senketsu among them.
context: Aikuro Mikisugi! Let's begin!\NUDIST BEACH SPLENDID NAKED OFFICER AIKURO MIKISUGI\Come on, Nude Shooting Star!\Farewell, students of Honnouji Academy!\What the hell was all that about?\EPISODE 14 RIDE LIKE THE WIND\I have selected students with high Life Fiber tolerance,\and am dividing up the various parts of Kamui Senketsu among them. response:	They will be affixed to their School Raid-spec Goku Uniforms,
context: NUDIST BEACH SPLENDID NAKED OFFICER AIKURO MIKISUGI\Come on, Nude Shooting Star!\Farewell, students of Honnouji Academy!\What the hell was all that about?\EPISODE 14 RIDE LIKE THE WIND\I have selected students with high Life Fiber tolerance,\and am dividing up the various parts of Kamui Senketsu among them.\They will be affixed to their School Raid-spec Goku Uniforms, response:	and I will ascertain whether they can be employed
context: Come on, Nude Shooting Star!\Farewell, students of Honnouji Academy!\What the hell was all that about?\EPISODE 14 RIDE LIKE THE WIND\I have selected students with high Life Fiber tolerance,\and am dividing up the various parts of Kamui Senketsu among them.\They will be affixed to their School Raid-spec Goku Uniforms,\and I will ascertain whether they can be employed response:	as a power-up item that will boost their abilities.
context: Farewell, students of Honnouji Academy!\What the hell was all that about?\EPISODE 14 RIDE LIKE THE WIND\I have selected students with high Life Fiber tolerance,\and am dividing up the various parts of Kamui Senketsu among them.\They will be affixed to their School Raid-spec Goku Uniforms,\and I will ascertain whether they can be employed\as a power-up item that will boost their abilities. response:	Good.
context: What the hell was all that about?\EPISODE 14 RIDE LIKE THE WIND\I have selected students with high Life Fiber tolerance,\and am dividing up the various parts of Kamui Senketsu among them.\They will be affixed to their School Raid-spec Goku Uniforms,\and I will ascertain whether they can be employed\as a power-up item that will boost their abilities.\Good. response:	KYOTO
context: EPISODE 14 RIDE LIKE THE WIND\I have selected students with high Life Fiber tolerance,\and am dividing up the various parts of Kamui Senketsu among them.\They will be affixed to their School Raid-spec Goku Uniforms,\and I will ascertain whether they can be employed\as a power-up item that will boost their abilities.\Good.\KYOTO response:	The Kyoto Raid Trip Brigade under Nonon Jakuzure,
context: I have selected students with high Life Fiber tolerance,\and am dividing up the various parts of Kamui Senketsu among them.\They will be affixed to their School Raid-spec Goku Uniforms,\and I will ascertain whether they can be employed\as a power-up item that will boost their abilities.\Good.\KYOTO\The Kyoto Raid Trip Brigade under Nonon Jakuzure, response:	KOBE
context: and am dividing up the various parts of Kamui Senketsu among them.\They will be affixed to their School Raid-spec Goku Uniforms,\and I will ascertain whether they can be employed\as a power-up item that will boost their abilities.\Good.\KYOTO\The Kyoto Raid Trip Brigade under Nonon Jakuzure,\KOBE response:	the Kobe Raid Trip Brigade under Ira Gamagoori
context: They will be affixed to their School Raid-spec Goku Uniforms,\and I will ascertain whether they can be employed\as a power-up item that will boost their abilities.\Good.\KYOTO\The Kyoto Raid Trip Brigade under Nonon Jakuzure,\KOBE\the Kobe Raid Trip Brigade under Ira Gamagoori response:	and the Osaka Raid Trip Brigade under Uzu Sanageyama,
context: and I will ascertain whether they can be employed\as a power-up item that will boost their abilities.\Good.\KYOTO\The Kyoto Raid Trip Brigade under Nonon Jakuzure,\KOBE\the Kobe Raid Trip Brigade under Ira Gamagoori\and the Osaka Raid Trip Brigade under Uzu Sanageyama, response:	OSAKA
context: as a power-up item that will boost their abilities.\Good.\KYOTO\The Kyoto Raid Trip Brigade under Nonon Jakuzure,\KOBE\the Kobe Raid Trip Brigade under Ira Gamagoori\and the Osaka Raid Trip Brigade under Uzu Sanageyama,\OSAKA response:	have each arrived at their respective destinations.
context: Good.\KYOTO\The Kyoto Raid Trip Brigade under Nonon Jakuzure,\KOBE\the Kobe Raid Trip Brigade under Ira Gamagoori\and the Osaka Raid Trip Brigade under Uzu Sanageyama,\OSAKA\have each arrived at their respective destinations. response:	TRI-CITY SPECIAL INTELLIGENCE UNIT HOUKA INUMUTA
context: KYOTO\The Kyoto Raid Trip Brigade under Nonon Jakuzure,\KOBE\the Kobe Raid Trip Brigade under Ira Gamagoori\and the Osaka Raid Trip Brigade under Uzu Sanageyama,\OSAKA\have each arrived at their respective destinations.\TRI-CITY SPECIAL INTELLIGENCE UNIT HOUKA INUMUTA response:	The Tri-City Special Intelligence Unit also stands ready.
context: The Kyoto Raid Trip Brigade under Nonon Jakuzure,\KOBE\the Kobe Raid Trip Brigade under Ira Gamagoori\and the Osaka Raid Trip Brigade under Uzu Sanageyama,\OSAKA\have each arrived at their respective destinations.\TRI-CITY SPECIAL INTELLIGENCE UNIT HOUKA INUMUTA\The Tri-City Special Intelligence Unit also stands ready. response:	The info-nets of each city's academies have already been seized.
context: KOBE\the Kobe Raid Trip Brigade under Ira Gamagoori\and the Osaka Raid Trip Brigade under Uzu Sanageyama,\OSAKA\have each arrived at their respective destinations.\TRI-CITY SPECIAL INTELLIGENCE UNIT HOUKA INUMUTA\The Tri-City Special Intelligence Unit also stands ready.\The info-nets of each city's academies have already been seized. response:	The information networks of each academy have been isolated,
context: the Kobe Raid Trip Brigade under Ira Gamagoori\and the Osaka Raid Trip Brigade under Uzu Sanageyama,\OSAKA\have each arrived at their respective destinations.\TRI-CITY SPECIAL INTELLIGENCE UNIT HOUKA INUMUTA\The Tri-City Special Intelligence Unit also stands ready.\The info-nets of each city's academies have already been seized.\The information networks of each academy have been isolated, response:	and all phone and net connections are under our management.
context: and the Osaka Raid Trip Brigade under Uzu Sanageyama,\OSAKA\have each arrived at their respective destinations.\TRI-CITY SPECIAL INTELLIGENCE UNIT HOUKA INUMUTA\The Tri-City Special Intelligence Unit also stands ready.\The info-nets of each city's academies have already been seized.\The information networks of each academy have been isolated,\and all phone and net connections are under our management. response:	Good.
context: OSAKA\have each arrived at their respective destinations.\TRI-CITY SPECIAL INTELLIGENCE UNIT HOUKA INUMUTA\The Tri-City Special Intelligence Unit also stands ready.\The info-nets of each city's academies have already been seized.\The information networks of each academy have been isolated,\and all phone and net connections are under our management.\Good. response:	This operation's success will place all of Kansai's high schools
context: have each arrived at their respective destinations.\TRI-CITY SPECIAL INTELLIGENCE UNIT HOUKA INUMUTA\The Tri-City Special Intelligence Unit also stands ready.\The info-nets of each city's academies have already been seized.\The information networks of each academy have been isolated,\and all phone and net connections are under our management.\Good.\This operation's success will place all of Kansai's high schools response:	under our umbrella in one fell swoop.
context: TRI-CITY SPECIAL INTELLIGENCE UNIT HOUKA INUMUTA\The Tri-City Special Intelligence Unit also stands ready.\The info-nets of each city's academies have already been seized.\The information networks of each academy have been isolated,\and all phone and net connections are under our management.\Good.\This operation's success will place all of Kansai's high schools\under our umbrella in one fell swoop. response:	TRI-CITY SCHOOLS RAID TRIP
context: The Tri-City Special Intelligence Unit also stands ready.\The info-nets of each city's academies have already been seized.\The information networks of each academy have been isolated,\and all phone and net connections are under our management.\Good.\This operation's success will place all of Kansai's high schools\under our umbrella in one fell swoop.\TRI-CITY SCHOOLS RAID TRIP response:	Tri-City Schools Raid Trip... commence operation!
context: The info-nets of each city's academies have already been seized.\The information networks of each academy have been isolated,\and all phone and net connections are under our management.\Good.\This operation's success will place all of Kansai's high schools\under our umbrella in one fell swoop.\TRI-CITY SCHOOLS RAID TRIP\Tri-City Schools Raid Trip... commence operation! response:	Kami-Kobe High School Armed Faction Alliance Representative Kyuji Obayashi!
context: The information networks of each academy have been isolated,\and all phone and net connections are under our management.\Good.\This operation's success will place all of Kansai's high schools\under our umbrella in one fell swoop.\TRI-CITY SCHOOLS RAID TRIP\Tri-City Schools Raid Trip... commence operation!\Kami-Kobe High School Armed Faction Alliance Representative Kyuji Obayashi! response:	KAMI-KOBE HIGH SCHOOL ARMED FACTION ALLIANCE REPRESENTATIVE KYUJI OBAYASHI
context: and all phone and net connections are under our management.\Good.\This operation's success will place all of Kansai's high schools\under our umbrella in one fell swoop.\TRI-CITY SCHOOLS RAID TRIP\Tri-City Schools Raid Trip... commence operation!\Kami-Kobe High School Armed Faction Alliance Representative Kyuji Obayashi!\KAMI-KOBE HIGH SCHOOL ARMED FACTION ALLIANCE REPRESENTATIVE KYUJI OBAYASHI response:	Deputy Armed Faction Alliance Representative Kenta Sakuramiya!
context: Good.\This operation's success will place all of Kansai's high schools\under our umbrella in one fell swoop.\TRI-CITY SCHOOLS RAID TRIP\Tri-City Schools Raid Trip... commence operation!\Kami-Kobe High School Armed Faction Alliance Representative Kyuji Obayashi!\KAMI-KOBE HIGH SCHOOL ARMED FACTION ALLIANCE REPRESENTATIVE KYUJI OBAYASHI\Deputy Armed Faction Alliance Representative Kenta Sakuramiya! response:	DEPUTY ARMED FACTION ALLIANCE REPRESENTATIVE KENTA SAKURAMIYA
context: This operation's success will place all of Kansai's high schools\under our umbrella in one fell swoop.\TRI-CITY SCHOOLS RAID TRIP\Tri-City Schools Raid Trip... commence operation!\Kami-Kobe High School Armed Faction Alliance Representative Kyuji Obayashi!\KAMI-KOBE HIGH SCHOOL ARMED FACTION ALLIANCE REPRESENTATIVE KYUJI OBAYASHI\Deputy Armed Faction Alliance Representative Kenta Sakuramiya!\DEPUTY ARMED FACTION ALLIANCE REPRESENTATIVE KENTA SAKURAMIYA response:	We won't let them take a single step past here!
context: under our umbrella in one fell swoop.\TRI-CITY SCHOOLS RAID TRIP\Tri-City Schools Raid Trip... commence operation!\Kami-Kobe High School Armed Faction Alliance Representative Kyuji Obayashi!\KAMI-KOBE HIGH SCHOOL ARMED FACTION ALLIANCE REPRESENTATIVE KYUJI OBAYASHI\Deputy Armed Faction Alliance Representative Kenta Sakuramiya!\DEPUTY ARMED FACTION ALLIANCE REPRESENTATIVE KENTA SAKURAMIYA\We won't let them take a single step past here! response:	Molotov cocktails! Cut loose!
context: TRI-CITY SCHOOLS RAID TRIP\Tri-City Schools Raid Trip... commence operation!\Kami-Kobe High School Armed Faction Alliance Representative Kyuji Obayashi!\KAMI-KOBE HIGH SCHOOL ARMED FACTION ALLIANCE REPRESENTATIVE KYUJI OBAYASHI\Deputy Armed Faction Alliance Representative Kenta Sakuramiya!\DEPUTY ARMED FACTION ALLIANCE REPRESENTATIVE KENTA SAKURAMIYA\We won't let them take a single step past here!\Molotov cocktails! Cut loose! response:	We got help from the American School, too!
context: Tri-City Schools Raid Trip... commence operation!\Kami-Kobe High School Armed Faction Alliance Representative Kyuji Obayashi!\KAMI-KOBE HIGH SCHOOL ARMED FACTION ALLIANCE REPRESENTATIVE KYUJI OBAYASHI\Deputy Armed Faction Alliance Representative Kenta Sakuramiya!\DEPUTY ARMED FACTION ALLIANCE REPRESENTATIVE KENTA SAKURAMIYA\We won't let them take a single step past here!\Molotov cocktails! Cut loose!\We got help from the American School, too! response:	We'll drive'em out with the power of their Armed American Football Corps!
context: Kami-Kobe High School Armed Faction Alliance Representative Kyuji Obayashi!\KAMI-KOBE HIGH SCHOOL ARMED FACTION ALLIANCE REPRESENTATIVE KYUJI OBAYASHI\Deputy Armed Faction Alliance Representative Kenta Sakuramiya!\DEPUTY ARMED FACTION ALLIANCE REPRESENTATIVE KENTA SAKURAMIYA\We won't let them take a single step past here!\Molotov cocktails! Cut loose!\We got help from the American School, too!\We'll drive'em out with the power of their Armed American Football Corps! response:	I am Ira Gamagoori, Honnouji Academy Tri-City School
context: KAMI-KOBE HIGH SCHOOL ARMED FACTION ALLIANCE REPRESENTATIVE KYUJI OBAYASHI\Deputy Armed Faction Alliance Representative Kenta Sakuramiya!\DEPUTY ARMED FACTION ALLIANCE REPRESENTATIVE KENTA SAKURAMIYA\We won't let them take a single step past here!\Molotov cocktails! Cut loose!\We got help from the American School, too!\We'll drive'em out with the power of their Armed American Football Corps!\I am Ira Gamagoori, Honnouji Academy Tri-City School response:	KOBE REGION SCHOOL RAID TRIP BRIGADE LEADER IRA GAMAGOORI
context: Deputy Armed Faction Alliance Representative Kenta Sakuramiya!\DEPUTY ARMED FACTION ALLIANCE REPRESENTATIVE KENTA SAKURAMIYA\We won't let them take a single step past here!\Molotov cocktails! Cut loose!\We got help from the American School, too!\We'll drive'em out with the power of their Armed American Football Corps!\I am Ira Gamagoori, Honnouji Academy Tri-City School\KOBE REGION SCHOOL RAID TRIP BRIGADE LEADER IRA GAMAGOORI response:	Raid Trip Kobe Region School Raid Trip brigade leader!
context: DEPUTY ARMED FACTION ALLIANCE REPRESENTATIVE KENTA SAKURAMIYA\We won't let them take a single step past here!\Molotov cocktails! Cut loose!\We got help from the American School, too!\We'll drive'em out with the power of their Armed American Football Corps!\I am Ira Gamagoori, Honnouji Academy Tri-City School\KOBE REGION SCHOOL RAID TRIP BRIGADE LEADER IRA GAMAGOORI\Raid Trip Kobe Region School Raid Trip brigade leader! response:	If you engage in armed resistance, we are prepared to retaliate in kind!
