context: Rikka Park Meeting Center - Hotel Elnath response:	Le Wolfe Black Academy Student Council President: Dirk Eberweine
context: Seidoukan Academy Student Council President: Claudia Enfield\Good afternoon, everyone.\I'm happy to see you all looking so well.\All right, since we're all here, why don't we get started?\Oh, but...\Oh, she's in the middle of her European tour.\How fitting for a world-famous diva!\Seems like there's a lot on her plate. response:	Not that it makes any difference whether she's around or not, a little brat like that!
context: Good afternoon, everyone.\I'm happy to see you all looking so well.\All right, since we're all here, why don't we get started?\Oh, but...\Oh, she's in the middle of her European tour.\How fitting for a world-famous diva!\Seems like there's a lot on her plate.\Not that it makes any difference whether she's around or not, a little brat like that! response:	I'd appreciate it if you could refrain from insulting reps from other schools,
context: I'm happy to see you all looking so well.\All right, since we're all here, why don't we get started?\Oh, but...\Oh, she's in the middle of her European tour.\How fitting for a world-famous diva!\Seems like there's a lot on her plate.\Not that it makes any difference whether she's around or not, a little brat like that!\I'd appreciate it if you could refrain from insulting reps from other schools, response:	Overlord of the Double Swords.
context: All right, since we're all here, why don't we get started?\Oh, but...\Oh, she's in the middle of her European tour.\How fitting for a world-famous diva!\Seems like there's a lot on her plate.\Not that it makes any difference whether she's around or not, a little brat like that!\I'd appreciate it if you could refrain from insulting reps from other schools,\Overlord of the Double Swords. response:	How many times has that bitch from Queenvale been absent now?
context: Oh, but...\Oh, she's in the middle of her European tour.\How fitting for a world-famous diva!\Seems like there's a lot on her plate.\Not that it makes any difference whether she's around or not, a little brat like that!\I'd appreciate it if you could refrain from insulting reps from other schools,\Overlord of the Double Swords.\How many times has that bitch from Queenvale been absent now? response:	I just told you not to talk like that.
context: Oh, she's in the middle of her European tour.\How fitting for a world-famous diva!\Seems like there's a lot on her plate.\Not that it makes any difference whether she's around or not, a little brat like that!\I'd appreciate it if you could refrain from insulting reps from other schools,\Overlord of the Double Swords.\How many times has that bitch from Queenvale been absent now?\I just told you not to talk like that. response:	Interesting.
context: How fitting for a world-famous diva!\Seems like there's a lot on her plate.\Not that it makes any difference whether she's around or not, a little brat like that!\I'd appreciate it if you could refrain from insulting reps from other schools,\Overlord of the Double Swords.\How many times has that bitch from Queenvale been absent now?\I just told you not to talk like that.\Interesting. response:	Want to take me on, Lord Holy Knight?
context: Seems like there's a lot on her plate.\Not that it makes any difference whether she's around or not, a little brat like that!\I'd appreciate it if you could refrain from insulting reps from other schools,\Overlord of the Double Swords.\How many times has that bitch from Queenvale been absent now?\I just told you not to talk like that.\Interesting.\Want to take me on, Lord Holy Knight? response:	Look at your little kiddie toy.
context: Not that it makes any difference whether she's around or not, a little brat like that!\I'd appreciate it if you could refrain from insulting reps from other schools,\Overlord of the Double Swords.\How many times has that bitch from Queenvale been absent now?\I just told you not to talk like that.\Interesting.\Want to take me on, Lord Holy Knight?\Look at your little kiddie toy. response:	I see you're as tight as ever, little punks.
context: I'd appreciate it if you could refrain from insulting reps from other schools,\Overlord of the Double Swords.\How many times has that bitch from Queenvale been absent now?\I just told you not to talk like that.\Interesting.\Want to take me on, Lord Holy Knight?\Look at your little kiddie toy.\I see you're as tight as ever, little punks. response:	But you'd better stop that childish horseplay now.
context: Overlord of the Double Swords.\How many times has that bitch from Queenvale been absent now?\I just told you not to talk like that.\Interesting.\Want to take me on, Lord Holy Knight?\Look at your little kiddie toy.\I see you're as tight as ever, little punks.\But you'd better stop that childish horseplay now. response:	Otherwise, I'll start itching to join the fray myself.
context: How many times has that bitch from Queenvale been absent now?\I just told you not to talk like that.\Interesting.\Want to take me on, Lord Holy Knight?\Look at your little kiddie toy.\I see you're as tight as ever, little punks.\But you'd better stop that childish horseplay now.\Otherwise, I'll start itching to join the fray myself. response:	I suppose there's no defying the princess's mediation efforts.
context: I just told you not to talk like that.\Interesting.\Want to take me on, Lord Holy Knight?\Look at your little kiddie toy.\I see you're as tight as ever, little punks.\But you'd better stop that childish horseplay now.\Otherwise, I'll start itching to join the fray myself.\I suppose there's no defying the princess's mediation efforts. response:	By the way, Claudia...
context: Interesting.\Want to take me on, Lord Holy Knight?\Look at your little kiddie toy.\I see you're as tight as ever, little punks.\But you'd better stop that childish horseplay now.\Otherwise, I'll start itching to join the fray myself.\I suppose there's no defying the princess's mediation efforts.\By the way, Claudia... response:	What is it?
context: Want to take me on, Lord Holy Knight?\Look at your little kiddie toy.\I see you're as tight as ever, little punks.\But you'd better stop that childish horseplay now.\Otherwise, I'll start itching to join the fray myself.\I suppose there's no defying the princess's mediation efforts.\By the way, Claudia...\What is it? response:	I'm hearing rumors that Seidoukan and Allekant agreed to co-develop a new type of Lux.
context: Look at your little kiddie toy.\I see you're as tight as ever, little punks.\But you'd better stop that childish horseplay now.\Otherwise, I'll start itching to join the fray myself.\I suppose there's no defying the princess's mediation efforts.\By the way, Claudia...\What is it?\I'm hearing rumors that Seidoukan and Allekant agreed to co-develop a new type of Lux. response:	So what's up with that?
context: I see you're as tight as ever, little punks.\But you'd better stop that childish horseplay now.\Otherwise, I'll start itching to join the fray myself.\I suppose there's no defying the princess's mediation efforts.\By the way, Claudia...\What is it?\I'm hearing rumors that Seidoukan and Allekant agreed to co-develop a new type of Lux.\So what's up with that? response:	Oh, my, news does travel fast.
context: But you'd better stop that childish horseplay now.\Otherwise, I'll start itching to join the fray myself.\I suppose there's no defying the princess's mediation efforts.\By the way, Claudia...\What is it?\I'm hearing rumors that Seidoukan and Allekant agreed to co-develop a new type of Lux.\So what's up with that?\Oh, my, news does travel fast. response:	It's true that we'll be sending our engineers to Allekant.
context: Otherwise, I'll start itching to join the fray myself.\I suppose there's no defying the princess's mediation efforts.\By the way, Claudia...\What is it?\I'm hearing rumors that Seidoukan and Allekant agreed to co-develop a new type of Lux.\So what's up with that?\Oh, my, news does travel fast.\It's true that we'll be sending our engineers to Allekant. response:	You vixen!
context: I suppose there's no defying the princess's mediation efforts.\By the way, Claudia...\What is it?\I'm hearing rumors that Seidoukan and Allekant agreed to co-develop a new type of Lux.\So what's up with that?\Oh, my, news does travel fast.\It's true that we'll be sending our engineers to Allekant.\You vixen! response:	Secret deals between schools are prohibited under the Stella Charter.
context: By the way, Claudia...\What is it?\I'm hearing rumors that Seidoukan and Allekant agreed to co-develop a new type of Lux.\So what's up with that?\Oh, my, news does travel fast.\It's true that we'll be sending our engineers to Allekant.\You vixen!\Secret deals between schools are prohibited under the Stella Charter. response:	In the first place, the technological difference between Seidoukan and Allekant is like night and day.
context: What is it?\I'm hearing rumors that Seidoukan and Allekant agreed to co-develop a new type of Lux.\So what's up with that?\Oh, my, news does travel fast.\It's true that we'll be sending our engineers to Allekant.\You vixen!\Secret deals between schools are prohibited under the Stella Charter.\In the first place, the technological difference between Seidoukan and Allekant is like night and day. response:	Yes, it's like saying, Please help yourselves to as much of our technology as you like.
context: I'm hearing rumors that Seidoukan and Allekant agreed to co-develop a new type of Lux.\So what's up with that?\Oh, my, news does travel fast.\It's true that we'll be sending our engineers to Allekant.\You vixen!\Secret deals between schools are prohibited under the Stella Charter.\In the first place, the technological difference between Seidoukan and Allekant is like night and day.\Yes, it's like saying, Please help yourselves to as much of our technology as you like. response:	Are you sure you're okay with that, Allekant?
context: So what's up with that?\Oh, my, news does travel fast.\It's true that we'll be sending our engineers to Allekant.\You vixen!\Secret deals between schools are prohibited under the Stella Charter.\In the first place, the technological difference between Seidoukan and Allekant is like night and day.\Yes, it's like saying, Please help yourselves to as much of our technology as you like.\Are you sure you're okay with that, Allekant? response:	Uh, actually, all I did was give the go-ahead.
context: Oh, my, news does travel fast.\It's true that we'll be sending our engineers to Allekant.\You vixen!\Secret deals between schools are prohibited under the Stella Charter.\In the first place, the technological difference between Seidoukan and Allekant is like night and day.\Yes, it's like saying, Please help yourselves to as much of our technology as you like.\Are you sure you're okay with that, Allekant?\Uh, actually, all I did was give the go-ahead. response:	So I don't know any of the details.
context: It's true that we'll be sending our engineers to Allekant.\You vixen!\Secret deals between schools are prohibited under the Stella Charter.\In the first place, the technological difference between Seidoukan and Allekant is like night and day.\Yes, it's like saying, Please help yourselves to as much of our technology as you like.\Are you sure you're okay with that, Allekant?\Uh, actually, all I did was give the go-ahead.\So I don't know any of the details. response:	There seems to be some kind of misunderstanding.
context: You vixen!\Secret deals between schools are prohibited under the Stella Charter.\In the first place, the technological difference between Seidoukan and Allekant is like night and day.\Yes, it's like saying, Please help yourselves to as much of our technology as you like.\Are you sure you're okay with that, Allekant?\Uh, actually, all I did was give the go-ahead.\So I don't know any of the details.\There seems to be some kind of misunderstanding. response:	This isn't a secret deal,
context: Secret deals between schools are prohibited under the Stella Charter.\In the first place, the technological difference between Seidoukan and Allekant is like night and day.\Yes, it's like saying, Please help yourselves to as much of our technology as you like.\Are you sure you're okay with that, Allekant?\Uh, actually, all I did was give the go-ahead.\So I don't know any of the details.\There seems to be some kind of misunderstanding.\This isn't a secret deal, response:	but rather an official collaboration between Seidoukan Academy and Allekant Academy.
context: In the first place, the technological difference between Seidoukan and Allekant is like night and day.\Yes, it's like saying, Please help yourselves to as much of our technology as you like.\Are you sure you're okay with that, Allekant?\Uh, actually, all I did was give the go-ahead.\So I don't know any of the details.\There seems to be some kind of misunderstanding.\This isn't a secret deal,\but rather an official collaboration between Seidoukan Academy and Allekant Academy. response:	The details will be made public eventually.
context: Yes, it's like saying, Please help yourselves to as much of our technology as you like.\Are you sure you're okay with that, Allekant?\Uh, actually, all I did was give the go-ahead.\So I don't know any of the details.\There seems to be some kind of misunderstanding.\This isn't a secret deal,\but rather an official collaboration between Seidoukan Academy and Allekant Academy.\The details will be made public eventually. response:	So you're saying this deal was made on equal terms?
context: Are you sure you're okay with that, Allekant?\Uh, actually, all I did was give the go-ahead.\So I don't know any of the details.\There seems to be some kind of misunderstanding.\This isn't a secret deal,\but rather an official collaboration between Seidoukan Academy and Allekant Academy.\The details will be made public eventually.\So you're saying this deal was made on equal terms? response:	Of course.
context: Uh, actually, all I did was give the go-ahead.\So I don't know any of the details.\There seems to be some kind of misunderstanding.\This isn't a secret deal,\but rather an official collaboration between Seidoukan Academy and Allekant Academy.\The details will be made public eventually.\So you're saying this deal was made on equal terms?\Of course. response:	In return for the use of Allekant's facilities,
context: So I don't know any of the details.\There seems to be some kind of misunderstanding.\This isn't a secret deal,\but rather an official collaboration between Seidoukan Academy and Allekant Academy.\The details will be made public eventually.\So you're saying this deal was made on equal terms?\Of course.\In return for the use of Allekant's facilities, response:	we will be assuming 70 of the RD fees, after all.
context: There seems to be some kind of misunderstanding.\This isn't a secret deal,\but rather an official collaboration between Seidoukan Academy and Allekant Academy.\The details will be made public eventually.\So you're saying this deal was made on equal terms?\Of course.\In return for the use of Allekant's facilities,\we will be assuming 70 of the RD fees, after all. response:	Right, speaking of Seidoukan,
context: This isn't a secret deal,\but rather an official collaboration between Seidoukan Academy and Allekant Academy.\The details will be made public eventually.\So you're saying this deal was made on equal terms?\Of course.\In return for the use of Allekant's facilities,\we will be assuming 70 of the RD fees, after all.\Right, speaking of Seidoukan, response:	they had some internal strife the other day, and had to mobilize the Shadow Stars.
context: but rather an official collaboration between Seidoukan Academy and Allekant Academy.\The details will be made public eventually.\So you're saying this deal was made on equal terms?\Of course.\In return for the use of Allekant's facilities,\we will be assuming 70 of the RD fees, after all.\Right, speaking of Seidoukan,\they had some internal strife the other day, and had to mobilize the Shadow Stars. response:	Now, could that have anything to do with...
context: The details will be made public eventually.\So you're saying this deal was made on equal terms?\Of course.\In return for the use of Allekant's facilities,\we will be assuming 70 of the RD fees, after all.\Right, speaking of Seidoukan,\they had some internal strife the other day, and had to mobilize the Shadow Stars.\Now, could that have anything to do with... response:	Whatever are you talking about?
context: So you're saying this deal was made on equal terms?\Of course.\In return for the use of Allekant's facilities,\we will be assuming 70 of the RD fees, after all.\Right, speaking of Seidoukan,\they had some internal strife the other day, and had to mobilize the Shadow Stars.\Now, could that have anything to do with...\Whatever are you talking about? response:	You scheming bitch!
context: Of course.\In return for the use of Allekant's facilities,\we will be assuming 70 of the RD fees, after all.\Right, speaking of Seidoukan,\they had some internal strife the other day, and had to mobilize the Shadow Stars.\Now, could that have anything to do with...\Whatever are you talking about?\You scheming bitch! response:	All right, I think that's enough of this topic.
context: In return for the use of Allekant's facilities,\we will be assuming 70 of the RD fees, after all.\Right, speaking of Seidoukan,\they had some internal strife the other day, and had to mobilize the Shadow Stars.\Now, could that have anything to do with...\Whatever are you talking about?\You scheming bitch!\All right, I think that's enough of this topic. response:	Then let's wait for the official announcement.
context: we will be assuming 70 of the RD fees, after all.\Right, speaking of Seidoukan,\they had some internal strife the other day, and had to mobilize the Shadow Stars.\Now, could that have anything to do with...\Whatever are you talking about?\You scheming bitch!\All right, I think that's enough of this topic.\Then let's wait for the official announcement. response:	All right, once again, about today's agenda...
context: Right, speaking of Seidoukan,\they had some internal strife the other day, and had to mobilize the Shadow Stars.\Now, could that have anything to do with...\Whatever are you talking about?\You scheming bitch!\All right, I think that's enough of this topic.\Then let's wait for the official announcement.\All right, once again, about today's agenda... response:	Uh, excuse me...
context: they had some internal strife the other day, and had to mobilize the Shadow Stars.\Now, could that have anything to do with...\Whatever are you talking about?\You scheming bitch!\All right, I think that's enough of this topic.\Then let's wait for the official announcement.\All right, once again, about today's agenda...\Uh, excuse me... response:	Actually, uh...
context: Now, could that have anything to do with...\Whatever are you talking about?\You scheming bitch!\All right, I think that's enough of this topic.\Then let's wait for the official announcement.\All right, once again, about today's agenda...\Uh, excuse me...\Actually, uh... response:	I know this is sudden,
context: Whatever are you talking about?\You scheming bitch!\All right, I think that's enough of this topic.\Then let's wait for the official announcement.\All right, once again, about today's agenda...\Uh, excuse me...\Actually, uh...\I know this is sudden, response:	but there's something I'd like to add to today's discussion.
context: You scheming bitch!\All right, I think that's enough of this topic.\Then let's wait for the official announcement.\All right, once again, about today's agenda...\Uh, excuse me...\Actually, uh...\I know this is sudden,\but there's something I'd like to add to today's discussion. response:	What? Now you're joining the fray?
context: All right, I think that's enough of this topic.\Then let's wait for the official announcement.\All right, once again, about today's agenda...\Uh, excuse me...\Actually, uh...\I know this is sudden,\but there's something I'd like to add to today's discussion.\What? Now you're joining the fray? response:	Aha, what could that be?
context: Then let's wait for the official announcement.\All right, once again, about today's agenda...\Uh, excuse me...\Actually, uh...\I know this is sudden,\but there's something I'd like to add to today's discussion.\What? Now you're joining the fray?\Aha, what could that be? response:	Uh, what I'd like to propose to you all
context: All right, once again, about today's agenda...\Uh, excuse me...\Actually, uh...\I know this is sudden,\but there's something I'd like to add to today's discussion.\What? Now you're joining the fray?\Aha, what could that be?\Uh, what I'd like to propose to you all response:	is the handling of artificial intelligence in Asterisk, as well as during the Festas.
context: Uh, excuse me...\Actually, uh...\I know this is sudden,\but there's something I'd like to add to today's discussion.\What? Now you're joining the fray?\Aha, what could that be?\Uh, what I'd like to propose to you all\is the handling of artificial intelligence in Asterisk, as well as during the Festas. response:	Lightning Blade Speed
context: Actually, uh...\I know this is sudden,\but there's something I'd like to add to today's discussion.\What? Now you're joining the fray?\Aha, what could that be?\Uh, what I'd like to propose to you all\is the handling of artificial intelligence in Asterisk, as well as during the Festas.\Lightning Blade Speed response:	If I don't hurry, Julis is going to kill me!
context: I know this is sudden,\but there's something I'd like to add to today's discussion.\What? Now you're joining the fray?\Aha, what could that be?\Uh, what I'd like to propose to you all\is the handling of artificial intelligence in Asterisk, as well as during the Festas.\Lightning Blade Speed\If I don't hurry, Julis is going to kill me! response:	Are you all right?
context: but there's something I'd like to add to today's discussion.\What? Now you're joining the fray?\Aha, what could that be?\Uh, what I'd like to propose to you all\is the handling of artificial intelligence in Asterisk, as well as during the Festas.\Lightning Blade Speed\If I don't hurry, Julis is going to kill me!\Are you all right? response:	Yes... I'm fine.
context: What? Now you're joining the fray?\Aha, what could that be?\Uh, what I'd like to propose to you all\is the handling of artificial intelligence in Asterisk, as well as during the Festas.\Lightning Blade Speed\If I don't hurry, Julis is going to kill me!\Are you all right?\Yes... I'm fine. response:	Uh... Sorry about that. I wasn't paying attention.
context: Aha, what could that be?\Uh, what I'd like to propose to you all\is the handling of artificial intelligence in Asterisk, as well as during the Festas.\Lightning Blade Speed\If I don't hurry, Julis is going to kill me!\Are you all right?\Yes... I'm fine.\Uh... Sorry about that. I wasn't paying attention. response:	N-No, I'm the one who should be apologizing.
context: Uh, what I'd like to propose to you all\is the handling of artificial intelligence in Asterisk, as well as during the Festas.\Lightning Blade Speed\If I don't hurry, Julis is going to kill me!\Are you all right?\Yes... I'm fine.\Uh... Sorry about that. I wasn't paying attention.\N-No, I'm the one who should be apologizing. response:	I think there's something stuck in your hair.
context: is the handling of artificial intelligence in Asterisk, as well as during the Festas.\Lightning Blade Speed\If I don't hurry, Julis is going to kill me!\Are you all right?\Yes... I'm fine.\Uh... Sorry about that. I wasn't paying attention.\N-No, I'm the one who should be apologizing.\I think there's something stuck in your hair. response:	Where? Where?
context: Lightning Blade Speed\If I don't hurry, Julis is going to kill me!\Are you all right?\Yes... I'm fine.\Uh... Sorry about that. I wasn't paying attention.\N-No, I'm the one who should be apologizing.\I think there's something stuck in your hair.\Where? Where? response:	Okay, hold still.
context: If I don't hurry, Julis is going to kill me!\Are you all right?\Yes... I'm fine.\Uh... Sorry about that. I wasn't paying attention.\N-No, I'm the one who should be apologizing.\I think there's something stuck in your hair.\Where? Where?\Okay, hold still. response:	Um... Thank you very much.
context: Are you all right?\Yes... I'm fine.\Uh... Sorry about that. I wasn't paying attention.\N-No, I'm the one who should be apologizing.\I think there's something stuck in your hair.\Where? Where?\Okay, hold still.\Um... Thank you very much. response:	Uh...
context: Yes... I'm fine.\Uh... Sorry about that. I wasn't paying attention.\N-No, I'm the one who should be apologizing.\I think there's something stuck in your hair.\Where? Where?\Okay, hold still.\Um... Thank you very much.\Uh... response:	Kirin!
context: Uh... Sorry about that. I wasn't paying attention.\N-No, I'm the one who should be apologizing.\I think there's something stuck in your hair.\Where? Where?\Okay, hold still.\Um... Thank you very much.\Uh...\Kirin! response:	What are you up to over there?!
context: N-No, I'm the one who should be apologizing.\I think there's something stuck in your hair.\Where? Where?\Okay, hold still.\Um... Thank you very much.\Uh...\Kirin!\What are you up to over there?! response:	Y-Yes, sir! I'm sorry!
context: I think there's something stuck in your hair.\Where? Where?\Okay, hold still.\Um... Thank you very much.\Uh...\Kirin!\What are you up to over there?!\Y-Yes, sir! I'm sorry! response:	S-See you later!
context: Where? Where?\Okay, hold still.\Um... Thank you very much.\Uh...\Kirin!\What are you up to over there?!\Y-Yes, sir! I'm sorry!\S-See you later! response:	Uh... right.
context: Okay, hold still.\Um... Thank you very much.\Uh...\Kirin!\What are you up to over there?!\Y-Yes, sir! I'm sorry!\S-See you later!\Uh... right. response:	Julis?
context: Um... Thank you very much.\Uh...\Kirin!\What are you up to over there?!\Y-Yes, sir! I'm sorry!\S-See you later!\Uh... right.\Julis? response:	Burst into bloom...
context: Uh...\Kirin!\What are you up to over there?!\Y-Yes, sir! I'm sorry!\S-See you later!\Uh... right.\Julis?\Burst into bloom... response:	LIVINGSTON DAISY
context: Kirin!\What are you up to over there?!\Y-Yes, sir! I'm sorry!\S-See you later!\Uh... right.\Julis?\Burst into bloom...\LIVINGSTON DAISY response:	Livingston Daisy!
context: What are you up to over there?!\Y-Yes, sir! I'm sorry!\S-See you later!\Uh... right.\Julis?\Burst into bloom...\LIVINGSTON DAISY\Livingston Daisy! response:	Go!
context: Y-Yes, sir! I'm sorry!\S-See you later!\Uh... right.\Julis?\Burst into bloom...\LIVINGSTON DAISY\Livingston Daisy!\Go! response:	Now that was a nonchalantly ridiculous stunt.
context: S-See you later!\Uh... right.\Julis?\Burst into bloom...\LIVINGSTON DAISY\Livingston Daisy!\Go!\Now that was a nonchalantly ridiculous stunt. response:	But how do you plan to evade my next attack?
context: Uh... right.\Julis?\Burst into bloom...\LIVINGSTON DAISY\Livingston Daisy!\Go!\Now that was a nonchalantly ridiculous stunt.\But how do you plan to evade my next attack? response:	Then how about something like this?
context: Julis?\Burst into bloom...\LIVINGSTON DAISY\Livingston Daisy!\Go!\Now that was a nonchalantly ridiculous stunt.\But how do you plan to evade my next attack?\Then how about something like this? response:	Come out... Gloriosa!
context: Burst into bloom...\LIVINGSTON DAISY\Livingston Daisy!\Go!\Now that was a nonchalantly ridiculous stunt.\But how do you plan to evade my next attack?\Then how about something like this?\Come out... Gloriosa! response:	GLORIOSA
context: LIVINGSTON DAISY\Livingston Daisy!\Go!\Now that was a nonchalantly ridiculous stunt.\But how do you plan to evade my next attack?\Then how about something like this?\Come out... Gloriosa!\GLORIOSA response:	Amagiri Shinmei Style, Second Sword!
context: Livingston Daisy!\Go!\Now that was a nonchalantly ridiculous stunt.\But how do you plan to evade my next attack?\Then how about something like this?\Come out... Gloriosa!\GLORIOSA\Amagiri Shinmei Style, Second Sword! response:	Ten Linked Thistles!
context: Go!\Now that was a nonchalantly ridiculous stunt.\But how do you plan to evade my next attack?\Then how about something like this?\Come out... Gloriosa!\GLORIOSA\Amagiri Shinmei Style, Second Sword!\Ten Linked Thistles! response:	TEN LINKED THISTLES
context: Now that was a nonchalantly ridiculous stunt.\But how do you plan to evade my next attack?\Then how about something like this?\Come out... Gloriosa!\GLORIOSA\Amagiri Shinmei Style, Second Sword!\Ten Linked Thistles!\TEN LINKED THISTLES response:	I thought I had you today for sure.
context: But how do you plan to evade my next attack?\Then how about something like this?\Come out... Gloriosa!\GLORIOSA\Amagiri Shinmei Style, Second Sword!\Ten Linked Thistles!\TEN LINKED THISTLES\I thought I had you today for sure. response:	No, to tell you the truth, that last one was a close call.
context: Then how about something like this?\Come out... Gloriosa!\GLORIOSA\Amagiri Shinmei Style, Second Sword!\Ten Linked Thistles!\TEN LINKED THISTLES\I thought I had you today for sure.\No, to tell you the truth, that last one was a close call. response:	You've got a whole arsenal of moves, huh?
context: Come out... Gloriosa!\GLORIOSA\Amagiri Shinmei Style, Second Sword!\Ten Linked Thistles!\TEN LINKED THISTLES\I thought I had you today for sure.\No, to tell you the truth, that last one was a close call.\You've got a whole arsenal of moves, huh? response:	M-Mmm. I suppose so.
context: GLORIOSA\Amagiri Shinmei Style, Second Sword!\Ten Linked Thistles!\TEN LINKED THISTLES\I thought I had you today for sure.\No, to tell you the truth, that last one was a close call.\You've got a whole arsenal of moves, huh?\M-Mmm. I suppose so. response:	So how are you feeling physically?
context: Amagiri Shinmei Style, Second Sword!\Ten Linked Thistles!\TEN LINKED THISTLES\I thought I had you today for sure.\No, to tell you the truth, that last one was a close call.\You've got a whole arsenal of moves, huh?\M-Mmm. I suppose so.\So how are you feeling physically? response:	Yeah, well, I think I'm good for up to 3 minutes.
context: Ten Linked Thistles!\TEN LINKED THISTLES\I thought I had you today for sure.\No, to tell you the truth, that last one was a close call.\You've got a whole arsenal of moves, huh?\M-Mmm. I suppose so.\So how are you feeling physically?\Yeah, well, I think I'm good for up to 3 minutes. response:	I see.
context: TEN LINKED THISTLES\I thought I had you today for sure.\No, to tell you the truth, that last one was a close call.\You've got a whole arsenal of moves, huh?\M-Mmm. I suppose so.\So how are you feeling physically?\Yeah, well, I think I'm good for up to 3 minutes.\I see. response:	Assuming you can go full blast for that long,
context: I thought I had you today for sure.\No, to tell you the truth, that last one was a close call.\You've got a whole arsenal of moves, huh?\M-Mmm. I suppose so.\So how are you feeling physically?\Yeah, well, I think I'm good for up to 3 minutes.\I see.\Assuming you can go full blast for that long, response:	I'm sure we can find a way to handle anyone at my level.
context: No, to tell you the truth, that last one was a close call.\You've got a whole arsenal of moves, huh?\M-Mmm. I suppose so.\So how are you feeling physically?\Yeah, well, I think I'm good for up to 3 minutes.\I see.\Assuming you can go full blast for that long,\I'm sure we can find a way to handle anyone at my level. response:	But there can't be that many students more powerful than you.
context: You've got a whole arsenal of moves, huh?\M-Mmm. I suppose so.\So how are you feeling physically?\Yeah, well, I think I'm good for up to 3 minutes.\I see.\Assuming you can go full blast for that long,\I'm sure we can find a way to handle anyone at my level.\But there can't be that many students more powerful than you. response:	I'm happy for that vote of confidence from you,
