context: Lady Pandora. response:	The Age of Order is nearly upon us.
context: Understood. I will notify the guards.\You're using something rather vicious, aren't you?\Before you can defeat the Imperial Army, Eramu could be wiped out first.\Pandora's principles are absolute.\In order to uphold it, we must do whatever it takes.\So I have to conquer that city?\Yes.\If we get close to the castle walls, we'll be exposed to those catapults. response:	We can't avoid casualties, huh?
context: You're using something rather vicious, aren't you?\Before you can defeat the Imperial Army, Eramu could be wiped out first.\Pandora's principles are absolute.\In order to uphold it, we must do whatever it takes.\So I have to conquer that city?\Yes.\If we get close to the castle walls, we'll be exposed to those catapults.\We can't avoid casualties, huh? response:	The Haman forces will take the vanguard. And I'd like Sir Alexis to take command.
context: Before you can defeat the Imperial Army, Eramu could be wiped out first.\Pandora's principles are absolute.\In order to uphold it, we must do whatever it takes.\So I have to conquer that city?\Yes.\If we get close to the castle walls, we'll be exposed to those catapults.\We can't avoid casualties, huh?\The Haman forces will take the vanguard. And I'd like Sir Alexis to take command. response:	Understood.
context: Pandora's principles are absolute.\In order to uphold it, we must do whatever it takes.\So I have to conquer that city?\Yes.\If we get close to the castle walls, we'll be exposed to those catapults.\We can't avoid casualties, huh?\The Haman forces will take the vanguard. And I'd like Sir Alexis to take command.\Understood. response:	Very well.
context: In order to uphold it, we must do whatever it takes.\So I have to conquer that city?\Yes.\If we get close to the castle walls, we'll be exposed to those catapults.\We can't avoid casualties, huh?\The Haman forces will take the vanguard. And I'd like Sir Alexis to take command.\Understood.\Very well. response:	What about us?
context: So I have to conquer that city?\Yes.\If we get close to the castle walls, we'll be exposed to those catapults.\We can't avoid casualties, huh?\The Haman forces will take the vanguard. And I'd like Sir Alexis to take command.\Understood.\Very well.\What about us? response:	This time, the Sievis army will be the ace in my sleeve.
context: Yes.\If we get close to the castle walls, we'll be exposed to those catapults.\We can't avoid casualties, huh?\The Haman forces will take the vanguard. And I'd like Sir Alexis to take command.\Understood.\Very well.\What about us?\This time, the Sievis army will be the ace in my sleeve. response:	When the time comes, I'll be counting on you.
context: If we get close to the castle walls, we'll be exposed to those catapults.\We can't avoid casualties, huh?\The Haman forces will take the vanguard. And I'd like Sir Alexis to take command.\Understood.\Very well.\What about us?\This time, the Sievis army will be the ace in my sleeve.\When the time comes, I'll be counting on you. response:	Leave it to me.
context: We can't avoid casualties, huh?\The Haman forces will take the vanguard. And I'd like Sir Alexis to take command.\Understood.\Very well.\What about us?\This time, the Sievis army will be the ace in my sleeve.\When the time comes, I'll be counting on you.\Leave it to me. response:	Begin the advance!
context: The Haman forces will take the vanguard. And I'd like Sir Alexis to take command.\Understood.\Very well.\What about us?\This time, the Sievis army will be the ace in my sleeve.\When the time comes, I'll be counting on you.\Leave it to me.\Begin the advance! response:	We're going to conquer Eramu!
context: Understood.\Very well.\What about us?\This time, the Sievis army will be the ace in my sleeve.\When the time comes, I'll be counting on you.\Leave it to me.\Begin the advance!\We're going to conquer Eramu! response:	All right.
context: Very well.\What about us?\This time, the Sievis army will be the ace in my sleeve.\When the time comes, I'll be counting on you.\Leave it to me.\Begin the advance!\We're going to conquer Eramu!\All right. response:	Time to see how Sir Alexis plans to attack.
context: What about us?\This time, the Sievis army will be the ace in my sleeve.\When the time comes, I'll be counting on you.\Leave it to me.\Begin the advance!\We're going to conquer Eramu!\All right.\Time to see how Sir Alexis plans to attack. response:	What?
context: This time, the Sievis army will be the ace in my sleeve.\When the time comes, I'll be counting on you.\Leave it to me.\Begin the advance!\We're going to conquer Eramu!\All right.\Time to see how Sir Alexis plans to attack.\What? response:	That's...
context: When the time comes, I'll be counting on you.\Leave it to me.\Begin the advance!\We're going to conquer Eramu!\All right.\Time to see how Sir Alexis plans to attack.\What?\That's... response:	the one-eyed giant, Cyclops.
context: Leave it to me.\Begin the advance!\We're going to conquer Eramu!\All right.\Time to see how Sir Alexis plans to attack.\What?\That's...\the one-eyed giant, Cyclops. response:	What did you say?
context: Begin the advance!\We're going to conquer Eramu!\All right.\Time to see how Sir Alexis plans to attack.\What?\That's...\the one-eyed giant, Cyclops.\What did you say? response:	It's a legendary monster that once led a tribe of giants in an assault on Eramu.
context: We're going to conquer Eramu!\All right.\Time to see how Sir Alexis plans to attack.\What?\That's...\the one-eyed giant, Cyclops.\What did you say?\It's a legendary monster that once led a tribe of giants in an assault on Eramu. response:	I heard the Mages made significant sacrifices to neutralize it,
context: All right.\Time to see how Sir Alexis plans to attack.\What?\That's...\the one-eyed giant, Cyclops.\What did you say?\It's a legendary monster that once led a tribe of giants in an assault on Eramu.\I heard the Mages made significant sacrifices to neutralize it, response:	and had it sealed away far below the earth for research purposes.
context: Time to see how Sir Alexis plans to attack.\What?\That's...\the one-eyed giant, Cyclops.\What did you say?\It's a legendary monster that once led a tribe of giants in an assault on Eramu.\I heard the Mages made significant sacrifices to neutralize it,\and had it sealed away far below the earth for research purposes. response:	What are they...
context: What?\That's...\the one-eyed giant, Cyclops.\What did you say?\It's a legendary monster that once led a tribe of giants in an assault on Eramu.\I heard the Mages made significant sacrifices to neutralize it,\and had it sealed away far below the earth for research purposes.\What are they... response:	Are they undoing the Cyclop's seal?
context: That's...\the one-eyed giant, Cyclops.\What did you say?\It's a legendary monster that once led a tribe of giants in an assault on Eramu.\I heard the Mages made significant sacrifices to neutralize it,\and had it sealed away far below the earth for research purposes.\What are they...\Are they undoing the Cyclop's seal? response:	So? How will we defeat that?
context: the one-eyed giant, Cyclops.\What did you say?\It's a legendary monster that once led a tribe of giants in an assault on Eramu.\I heard the Mages made significant sacrifices to neutralize it,\and had it sealed away far below the earth for research purposes.\What are they...\Are they undoing the Cyclop's seal?\So? How will we defeat that? response:	You're planning to fight it?
context: What did you say?\It's a legendary monster that once led a tribe of giants in an assault on Eramu.\I heard the Mages made significant sacrifices to neutralize it,\and had it sealed away far below the earth for research purposes.\What are they...\Are they undoing the Cyclop's seal?\So? How will we defeat that?\You're planning to fight it? response:	We wouldn't stand a chance!
context: It's a legendary monster that once led a tribe of giants in an assault on Eramu.\I heard the Mages made significant sacrifices to neutralize it,\and had it sealed away far below the earth for research purposes.\What are they...\Are they undoing the Cyclop's seal?\So? How will we defeat that?\You're planning to fight it?\We wouldn't stand a chance! response:	It would be suicidal.
context: I heard the Mages made significant sacrifices to neutralize it,\and had it sealed away far below the earth for research purposes.\What are they...\Are they undoing the Cyclop's seal?\So? How will we defeat that?\You're planning to fight it?\We wouldn't stand a chance!\It would be suicidal. response:	But a Mage is all about finding ways to deal with such things, right?
context: and had it sealed away far below the earth for research purposes.\What are they...\Are they undoing the Cyclop's seal?\So? How will we defeat that?\You're planning to fight it?\We wouldn't stand a chance!\It would be suicidal.\But a Mage is all about finding ways to deal with such things, right? response:	We're going to do it no matter what I say, aren't we?
context: What are they...\Are they undoing the Cyclop's seal?\So? How will we defeat that?\You're planning to fight it?\We wouldn't stand a chance!\It would be suicidal.\But a Mage is all about finding ways to deal with such things, right?\We're going to do it no matter what I say, aren't we? response:	Aren't there any records of how Eramu managed to defeat that giant?
context: Are they undoing the Cyclop's seal?\So? How will we defeat that?\You're planning to fight it?\We wouldn't stand a chance!\It would be suicidal.\But a Mage is all about finding ways to deal with such things, right?\We're going to do it no matter what I say, aren't we?\Aren't there any records of how Eramu managed to defeat that giant? response:	There are.
context: So? How will we defeat that?\You're planning to fight it?\We wouldn't stand a chance!\It would be suicidal.\But a Mage is all about finding ways to deal with such things, right?\We're going to do it no matter what I say, aren't we?\Aren't there any records of how Eramu managed to defeat that giant?\There are. response:	They burned its eye with a ray mirror.
context: You're planning to fight it?\We wouldn't stand a chance!\It would be suicidal.\But a Mage is all about finding ways to deal with such things, right?\We're going to do it no matter what I say, aren't we?\Aren't there any records of how Eramu managed to defeat that giant?\There are.\They burned its eye with a ray mirror. response:	What if we shot arrows at the eye?
context: We wouldn't stand a chance!\It would be suicidal.\But a Mage is all about finding ways to deal with such things, right?\We're going to do it no matter what I say, aren't we?\Aren't there any records of how Eramu managed to defeat that giant?\There are.\They burned its eye with a ray mirror.\What if we shot arrows at the eye? response:	That eye is harder than it looks, and records show that it deflected all kinds of arrows.
context: It would be suicidal.\But a Mage is all about finding ways to deal with such things, right?\We're going to do it no matter what I say, aren't we?\Aren't there any records of how Eramu managed to defeat that giant?\There are.\They burned its eye with a ray mirror.\What if we shot arrows at the eye?\That eye is harder than it looks, and records show that it deflected all kinds of arrows. response:	The ray mirror was used not for the surface,
context: But a Mage is all about finding ways to deal with such things, right?\We're going to do it no matter what I say, aren't we?\Aren't there any records of how Eramu managed to defeat that giant?\There are.\They burned its eye with a ray mirror.\What if we shot arrows at the eye?\That eye is harder than it looks, and records show that it deflected all kinds of arrows.\The ray mirror was used not for the surface, response:	but burned the area behind it, and succeeded in blinding it.
context: We're going to do it no matter what I say, aren't we?\Aren't there any records of how Eramu managed to defeat that giant?\There are.\They burned its eye with a ray mirror.\What if we shot arrows at the eye?\That eye is harder than it looks, and records show that it deflected all kinds of arrows.\The ray mirror was used not for the surface,\but burned the area behind it, and succeeded in blinding it. response:	Then, looks like we can't do anything, huh?
context: Aren't there any records of how Eramu managed to defeat that giant?\There are.\They burned its eye with a ray mirror.\What if we shot arrows at the eye?\That eye is harder than it looks, and records show that it deflected all kinds of arrows.\The ray mirror was used not for the surface,\but burned the area behind it, and succeeded in blinding it.\Then, looks like we can't do anything, huh? response:	But luckily, my contracted Mage is skilled at light-based magic.
context: There are.\They burned its eye with a ray mirror.\What if we shot arrows at the eye?\That eye is harder than it looks, and records show that it deflected all kinds of arrows.\The ray mirror was used not for the surface,\but burned the area behind it, and succeeded in blinding it.\Then, looks like we can't do anything, huh?\But luckily, my contracted Mage is skilled at light-based magic. response:	Right. Understood.
context: They burned its eye with a ray mirror.\What if we shot arrows at the eye?\That eye is harder than it looks, and records show that it deflected all kinds of arrows.\The ray mirror was used not for the surface,\but burned the area behind it, and succeeded in blinding it.\Then, looks like we can't do anything, huh?\But luckily, my contracted Mage is skilled at light-based magic.\Right. Understood. response:	I don't want to lose to Siluca, either.
context: What if we shot arrows at the eye?\That eye is harder than it looks, and records show that it deflected all kinds of arrows.\The ray mirror was used not for the surface,\but burned the area behind it, and succeeded in blinding it.\Then, looks like we can't do anything, huh?\But luckily, my contracted Mage is skilled at light-based magic.\Right. Understood.\I don't want to lose to Siluca, either. response:	Let's bring down that giant all by ourselves.
context: That eye is harder than it looks, and records show that it deflected all kinds of arrows.\The ray mirror was used not for the surface,\but burned the area behind it, and succeeded in blinding it.\Then, looks like we can't do anything, huh?\But luckily, my contracted Mage is skilled at light-based magic.\Right. Understood.\I don't want to lose to Siluca, either.\Let's bring down that giant all by ourselves. response:	That's what I like to hear.
context: The ray mirror was used not for the surface,\but burned the area behind it, and succeeded in blinding it.\Then, looks like we can't do anything, huh?\But luckily, my contracted Mage is skilled at light-based magic.\Right. Understood.\I don't want to lose to Siluca, either.\Let's bring down that giant all by ourselves.\That's what I like to hear. response:	Sir Lassic will what?
context: but burned the area behind it, and succeeded in blinding it.\Then, looks like we can't do anything, huh?\But luckily, my contracted Mage is skilled at light-based magic.\Right. Understood.\I don't want to lose to Siluca, either.\Let's bring down that giant all by ourselves.\That's what I like to hear.\Sir Lassic will what? response:	Doing so would be beyond reckless!
context: Then, looks like we can't do anything, huh?\But luckily, my contracted Mage is skilled at light-based magic.\Right. Understood.\I don't want to lose to Siluca, either.\Let's bring down that giant all by ourselves.\That's what I like to hear.\Sir Lassic will what?\Doing so would be beyond reckless! response:	Let's have him refrain.
context: But luckily, my contracted Mage is skilled at light-based magic.\Right. Understood.\I don't want to lose to Siluca, either.\Let's bring down that giant all by ourselves.\That's what I like to hear.\Sir Lassic will what?\Doing so would be beyond reckless!\Let's have him refrain. response:	Even if I stop him, Lassic will do it anyway.
context: Right. Understood.\I don't want to lose to Siluca, either.\Let's bring down that giant all by ourselves.\That's what I like to hear.\Sir Lassic will what?\Doing so would be beyond reckless!\Let's have him refrain.\Even if I stop him, Lassic will do it anyway. response:	If we sent in a huge force, we could probably defeat that giant.
context: I don't want to lose to Siluca, either.\Let's bring down that giant all by ourselves.\That's what I like to hear.\Sir Lassic will what?\Doing so would be beyond reckless!\Let's have him refrain.\Even if I stop him, Lassic will do it anyway.\If we sent in a huge force, we could probably defeat that giant. response:	But then we'd take considerable damage.
context: Let's bring down that giant all by ourselves.\That's what I like to hear.\Sir Lassic will what?\Doing so would be beyond reckless!\Let's have him refrain.\Even if I stop him, Lassic will do it anyway.\If we sent in a huge force, we could probably defeat that giant.\But then we'd take considerable damage. response:	And that would hurt us going into tonight's battle.
context: That's what I like to hear.\Sir Lassic will what?\Doing so would be beyond reckless!\Let's have him refrain.\Even if I stop him, Lassic will do it anyway.\If we sent in a huge force, we could probably defeat that giant.\But then we'd take considerable damage.\And that would hurt us going into tonight's battle. response:	That's why Lassic is determined to defeat it by himself.
context: Sir Lassic will what?\Doing so would be beyond reckless!\Let's have him refrain.\Even if I stop him, Lassic will do it anyway.\If we sent in a huge force, we could probably defeat that giant.\But then we'd take considerable damage.\And that would hurt us going into tonight's battle.\That's why Lassic is determined to defeat it by himself. response:	I do appreciate how Sir Lassic feels.
context: Doing so would be beyond reckless!\Let's have him refrain.\Even if I stop him, Lassic will do it anyway.\If we sent in a huge force, we could probably defeat that giant.\But then we'd take considerable damage.\And that would hurt us going into tonight's battle.\That's why Lassic is determined to defeat it by himself.\I do appreciate how Sir Lassic feels. response:	However, he is someone very important to you, Sir Theo.
context: Let's have him refrain.\Even if I stop him, Lassic will do it anyway.\If we sent in a huge force, we could probably defeat that giant.\But then we'd take considerable damage.\And that would hurt us going into tonight's battle.\That's why Lassic is determined to defeat it by himself.\I do appreciate how Sir Lassic feels.\However, he is someone very important to you, Sir Theo. response:	And he will be indispensable to us going forward.
context: Even if I stop him, Lassic will do it anyway.\If we sent in a huge force, we could probably defeat that giant.\But then we'd take considerable damage.\And that would hurt us going into tonight's battle.\That's why Lassic is determined to defeat it by himself.\I do appreciate how Sir Lassic feels.\However, he is someone very important to you, Sir Theo.\And he will be indispensable to us going forward. response:	That's exactly why I can't stop him.
context: If we sent in a huge force, we could probably defeat that giant.\But then we'd take considerable damage.\And that would hurt us going into tonight's battle.\That's why Lassic is determined to defeat it by himself.\I do appreciate how Sir Lassic feels.\However, he is someone very important to you, Sir Theo.\And he will be indispensable to us going forward.\That's exactly why I can't stop him. response:	If I did, it would mean that I didn't believe in him.
context: But then we'd take considerable damage.\And that would hurt us going into tonight's battle.\That's why Lassic is determined to defeat it by himself.\I do appreciate how Sir Lassic feels.\However, he is someone very important to you, Sir Theo.\And he will be indispensable to us going forward.\That's exactly why I can't stop him.\If I did, it would mean that I didn't believe in him. response:	I am honored to bear witness to your deeds, Count of Sievis!
context: And that would hurt us going into tonight's battle.\That's why Lassic is determined to defeat it by himself.\I do appreciate how Sir Lassic feels.\However, he is someone very important to you, Sir Theo.\And he will be indispensable to us going forward.\That's exactly why I can't stop him.\If I did, it would mean that I didn't believe in him.\I am honored to bear witness to your deeds, Count of Sievis! response:	I'll divert its attention.
context: That's why Lassic is determined to defeat it by himself.\I do appreciate how Sir Lassic feels.\However, he is someone very important to you, Sir Theo.\And he will be indispensable to us going forward.\That's exactly why I can't stop him.\If I did, it would mean that I didn't believe in him.\I am honored to bear witness to your deeds, Count of Sievis!\I'll divert its attention. response:	Why should you put yourself in danger, Sir Lassic?
context: I do appreciate how Sir Lassic feels.\However, he is someone very important to you, Sir Theo.\And he will be indispensable to us going forward.\That's exactly why I can't stop him.\If I did, it would mean that I didn't believe in him.\I am honored to bear witness to your deeds, Count of Sievis!\I'll divert its attention.\Why should you put yourself in danger, Sir Lassic? response:	- It's a matter of pride. - Huh?
context: However, he is someone very important to you, Sir Theo.\And he will be indispensable to us going forward.\That's exactly why I can't stop him.\If I did, it would mean that I didn't believe in him.\I am honored to bear witness to your deeds, Count of Sievis!\I'll divert its attention.\Why should you put yourself in danger, Sir Lassic?\- It's a matter of pride. - Huh? response:	Theo's made one miracle after another, and now he's emperor.
context: And he will be indispensable to us going forward.\That's exactly why I can't stop him.\If I did, it would mean that I didn't believe in him.\I am honored to bear witness to your deeds, Count of Sievis!\I'll divert its attention.\Why should you put yourself in danger, Sir Lassic?\- It's a matter of pride. - Huh?\Theo's made one miracle after another, and now he's emperor. response:	I want my own deeds of arms,
context: That's exactly why I can't stop him.\If I did, it would mean that I didn't believe in him.\I am honored to bear witness to your deeds, Count of Sievis!\I'll divert its attention.\Why should you put yourself in danger, Sir Lassic?\- It's a matter of pride. - Huh?\Theo's made one miracle after another, and now he's emperor.\I want my own deeds of arms, response:	so that future generations will mention me in the same breath as the First Emperor, Theo!
context: If I did, it would mean that I didn't believe in him.\I am honored to bear witness to your deeds, Count of Sievis!\I'll divert its attention.\Why should you put yourself in danger, Sir Lassic?\- It's a matter of pride. - Huh?\Theo's made one miracle after another, and now he's emperor.\I want my own deeds of arms,\so that future generations will mention me in the same breath as the First Emperor, Theo! response:	All your accomplished deeds until now should suffice.
context: I am honored to bear witness to your deeds, Count of Sievis!\I'll divert its attention.\Why should you put yourself in danger, Sir Lassic?\- It's a matter of pride. - Huh?\Theo's made one miracle after another, and now he's emperor.\I want my own deeds of arms,\so that future generations will mention me in the same breath as the First Emperor, Theo!\All your accomplished deeds until now should suffice. response:	Looks like he noticed us.
context: I'll divert its attention.\Why should you put yourself in danger, Sir Lassic?\- It's a matter of pride. - Huh?\Theo's made one miracle after another, and now he's emperor.\I want my own deeds of arms,\so that future generations will mention me in the same breath as the First Emperor, Theo!\All your accomplished deeds until now should suffice.\Looks like he noticed us. response:	Look after my horse!
context: Why should you put yourself in danger, Sir Lassic?\- It's a matter of pride. - Huh?\Theo's made one miracle after another, and now he's emperor.\I want my own deeds of arms,\so that future generations will mention me in the same breath as the First Emperor, Theo!\All your accomplished deeds until now should suffice.\Looks like he noticed us.\Look after my horse! response:	O' Crest!
context: - It's a matter of pride. - Huh?\Theo's made one miracle after another, and now he's emperor.\I want my own deeds of arms,\so that future generations will mention me in the same breath as the First Emperor, Theo!\All your accomplished deeds until now should suffice.\Looks like he noticed us.\Look after my horse!\O' Crest! response:	Disperse!
context: Theo's made one miracle after another, and now he's emperor.\I want my own deeds of arms,\so that future generations will mention me in the same breath as the First Emperor, Theo!\All your accomplished deeds until now should suffice.\Looks like he noticed us.\Look after my horse!\O' Crest!\Disperse! response:	Stick to the plan!
context: I want my own deeds of arms,\so that future generations will mention me in the same breath as the First Emperor, Theo!\All your accomplished deeds until now should suffice.\Looks like he noticed us.\Look after my horse!\O' Crest!\Disperse!\Stick to the plan! response:	We're counting on you.
context: so that future generations will mention me in the same breath as the First Emperor, Theo!\All your accomplished deeds until now should suffice.\Looks like he noticed us.\Look after my horse!\O' Crest!\Disperse!\Stick to the plan!\We're counting on you. response:	The heavens are transparent.
context: All your accomplished deeds until now should suffice.\Looks like he noticed us.\Look after my horse!\O' Crest!\Disperse!\Stick to the plan!\We're counting on you.\The heavens are transparent. response:	But at times, they can bend, distort, and warp the path of light.
context: Looks like he noticed us.\Look after my horse!\O' Crest!\Disperse!\Stick to the plan!\We're counting on you.\The heavens are transparent.\But at times, they can bend, distort, and warp the path of light. response:	Gracq!
context: Look after my horse!\O' Crest!\Disperse!\Stick to the plan!\We're counting on you.\The heavens are transparent.\But at times, they can bend, distort, and warp the path of light.\Gracq! response:	The hell you will!
context: O' Crest!\Disperse!\Stick to the plan!\We're counting on you.\The heavens are transparent.\But at times, they can bend, distort, and warp the path of light.\Gracq!\The hell you will! response:	Sir Lassic!
context: Disperse!\Stick to the plan!\We're counting on you.\The heavens are transparent.\But at times, they can bend, distort, and warp the path of light.\Gracq!\The hell you will!\Sir Lassic! response:	Sorry to keep you waiting!
context: Stick to the plan!\We're counting on you.\The heavens are transparent.\But at times, they can bend, distort, and warp the path of light.\Gracq!\The hell you will!\Sir Lassic!\Sorry to keep you waiting! response:	Moreno!
context: We're counting on you.\The heavens are transparent.\But at times, they can bend, distort, and warp the path of light.\Gracq!\The hell you will!\Sir Lassic!\Sorry to keep you waiting!\Moreno! response:	Shine!
context: The heavens are transparent.\But at times, they can bend, distort, and warp the path of light.\Gracq!\The hell you will!\Sir Lassic!\Sorry to keep you waiting!\Moreno!\Shine! response:	My spear!
context: But at times, they can bend, distort, and warp the path of light.\Gracq!\The hell you will!\Sir Lassic!\Sorry to keep you waiting!\Moreno!\Shine!\My spear! response:	Take this!
context: Gracq!\The hell you will!\Sir Lassic!\Sorry to keep you waiting!\Moreno!\Shine!\My spear!\Take this! response:	Come on!
context: The hell you will!\Sir Lassic!\Sorry to keep you waiting!\Moreno!\Shine!\My spear!\Take this!\Come on! response:	Sir Lassic!
context: Sir Lassic!\Sorry to keep you waiting!\Moreno!\Shine!\My spear!\Take this!\Come on!\Sir Lassic! response:	Thank goodness.
context: Sorry to keep you waiting!\Moreno!\Shine!\My spear!\Take this!\Come on!\Sir Lassic!\Thank goodness. response:	We'll talk later!
context: Moreno!\Shine!\My spear!\Take this!\Come on!\Sir Lassic!\Thank goodness.\We'll talk later! response:	Where's Gracq?
context: Shine!\My spear!\Take this!\Come on!\Sir Lassic!\Thank goodness.\We'll talk later!\Where's Gracq? response:	His heart has stopped.
context: My spear!\Take this!\Come on!\Sir Lassic!\Thank goodness.\We'll talk later!\Where's Gracq?\His heart has stopped. response:	I see.
context: Take this!\Come on!\Sir Lassic!\Thank goodness.\We'll talk later!\Where's Gracq?\His heart has stopped.\I see. response:	This isn't the giant's belly.
context: Come on!\Sir Lassic!\Thank goodness.\We'll talk later!\Where's Gracq?\His heart has stopped.\I see.\This isn't the giant's belly. response:	Gracq! You...
context: Sir Lassic!\Thank goodness.\We'll talk later!\Where's Gracq?\His heart has stopped.\I see.\This isn't the giant's belly.\Gracq! You... response:	Captain!
context: Thank goodness.\We'll talk later!\Where's Gracq?\His heart has stopped.\I see.\This isn't the giant's belly.\Gracq! You...\Captain! response:	You're alive?
context: We'll talk later!\Where's Gracq?\His heart has stopped.\I see.\This isn't the giant's belly.\Gracq! You...\Captain!\You're alive? response:	Yeah. When my body turns into steel, my brain and lungs stop moving, too.
context: Where's Gracq?\His heart has stopped.\I see.\This isn't the giant's belly.\Gracq! You...\Captain!\You're alive?\Yeah. When my body turns into steel, my brain and lungs stop moving, too. response:	Although they start moving again once I turn back into flesh.
context: His heart has stopped.\I see.\This isn't the giant's belly.\Gracq! You...\Captain!\You're alive?\Yeah. When my body turns into steel, my brain and lungs stop moving, too.\Although they start moving again once I turn back into flesh. response:	But, where's the giant?
context: I see.\This isn't the giant's belly.\Gracq! You...\Captain!\You're alive?\Yeah. When my body turns into steel, my brain and lungs stop moving, too.\Although they start moving again once I turn back into flesh.\But, where's the giant? response:	Sir Lassic defeated it!
context: This isn't the giant's belly.\Gracq! You...\Captain!\You're alive?\Yeah. When my body turns into steel, my brain and lungs stop moving, too.\Although they start moving again once I turn back into flesh.\But, where's the giant?\Sir Lassic defeated it! response:	Three cheers for Sir Lassic!
context: Gracq! You...\Captain!\You're alive?\Yeah. When my body turns into steel, my brain and lungs stop moving, too.\Although they start moving again once I turn back into flesh.\But, where's the giant?\Sir Lassic defeated it!\Three cheers for Sir Lassic! response:	Sir Lassic, the Giant Slayer!
