context: What is it?! A fire? response:	Slaying of demons.
context: Huh? Where's Miroku?\He went after some strange woman.\W-what?! While we were working?\She was awfully pretty.\He probably went and asked her to have his baby.\Huh?! A b-baby?!\I see... so you are the princess of a very prominent clan.\But my clan was ruined by war. response:	And I am the last survivor of my House.
context: He went after some strange woman.\W-what?! While we were working?\She was awfully pretty.\He probably went and asked her to have his baby.\Huh?! A b-baby?!\I see... so you are the princess of a very prominent clan.\But my clan was ruined by war.\And I am the last survivor of my House. response:	In order to restore my family...
context: W-what?! While we were working?\She was awfully pretty.\He probably went and asked her to have his baby.\Huh?! A b-baby?!\I see... so you are the princess of a very prominent clan.\But my clan was ruined by war.\And I am the last survivor of my House.\In order to restore my family... response:	I wish to bear the child of a strong lord.
context: She was awfully pretty.\He probably went and asked her to have his baby.\Huh?! A b-baby?!\I see... so you are the princess of a very prominent clan.\But my clan was ruined by war.\And I am the last survivor of my House.\In order to restore my family...\I wish to bear the child of a strong lord. response:	And you sought me out?
context: He probably went and asked her to have his baby.\Huh?! A b-baby?!\I see... so you are the princess of a very prominent clan.\But my clan was ruined by war.\And I am the last survivor of my House.\In order to restore my family...\I wish to bear the child of a strong lord.\And you sought me out? response:	Such fine taste.
context: Huh?! A b-baby?!\I see... so you are the princess of a very prominent clan.\But my clan was ruined by war.\And I am the last survivor of my House.\In order to restore my family...\I wish to bear the child of a strong lord.\And you sought me out?\Such fine taste. response:	Will you heed my request?
context: I see... so you are the princess of a very prominent clan.\But my clan was ruined by war.\And I am the last survivor of my House.\In order to restore my family...\I wish to bear the child of a strong lord.\And you sought me out?\Such fine taste.\Will you heed my request? response:	I thought it was too good to be true.
context: But my clan was ruined by war.\And I am the last survivor of my House.\In order to restore my family...\I wish to bear the child of a strong lord.\And you sought me out?\Such fine taste.\Will you heed my request?\I thought it was too good to be true. response:	Giant mantis...
context: And I am the last survivor of my House.\In order to restore my family...\I wish to bear the child of a strong lord.\And you sought me out?\Such fine taste.\Will you heed my request?\I thought it was too good to be true.\Giant mantis... response:	disguised as a woman!
context: In order to restore my family...\I wish to bear the child of a strong lord.\And you sought me out?\Such fine taste.\Will you heed my request?\I thought it was too good to be true.\Giant mantis...\disguised as a woman! response:	I devoured the insides of the real one!
context: I wish to bear the child of a strong lord.\And you sought me out?\Such fine taste.\Will you heed my request?\I thought it was too good to be true.\Giant mantis...\disguised as a woman!\I devoured the insides of the real one! response:	You picked the wrong victim!
context: And you sought me out?\Such fine taste.\Will you heed my request?\I thought it was too good to be true.\Giant mantis...\disguised as a woman!\I devoured the insides of the real one!\You picked the wrong victim! response:	Wind Tunnel!
context: Such fine taste.\Will you heed my request?\I thought it was too good to be true.\Giant mantis...\disguised as a woman!\I devoured the insides of the real one!\You picked the wrong victim!\Wind Tunnel! response:	Damn! My Wind Tunnel got nicked!
context: Will you heed my request?\I thought it was too good to be true.\Giant mantis...\disguised as a woman!\I devoured the insides of the real one!\You picked the wrong victim!\Wind Tunnel!\Damn! My Wind Tunnel got nicked! response:	I don't know if I'm imagining it...
context: I thought it was too good to be true.\Giant mantis...\disguised as a woman!\I devoured the insides of the real one!\You picked the wrong victim!\Wind Tunnel!\Damn! My Wind Tunnel got nicked!\I don't know if I'm imagining it... response:	but the girls have been looking at me quite coldly.
context: Giant mantis...\disguised as a woman!\I devoured the insides of the real one!\You picked the wrong victim!\Wind Tunnel!\Damn! My Wind Tunnel got nicked!\I don't know if I'm imagining it...\but the girls have been looking at me quite coldly. response:	Didn't you just go to pick up a woman?
context: disguised as a woman!\I devoured the insides of the real one!\You picked the wrong victim!\Wind Tunnel!\Damn! My Wind Tunnel got nicked!\I don't know if I'm imagining it...\but the girls have been looking at me quite coldly.\Didn't you just go to pick up a woman? response:	That's why they think you're a lecher.
context: I devoured the insides of the real one!\You picked the wrong victim!\Wind Tunnel!\Damn! My Wind Tunnel got nicked!\I don't know if I'm imagining it...\but the girls have been looking at me quite coldly.\Didn't you just go to pick up a woman?\That's why they think you're a lecher. response:	I'm so misunderstood.
context: You picked the wrong victim!\Wind Tunnel!\Damn! My Wind Tunnel got nicked!\I don't know if I'm imagining it...\but the girls have been looking at me quite coldly.\Didn't you just go to pick up a woman?\That's why they think you're a lecher.\I'm so misunderstood. response:	You may not believe me...
context: Wind Tunnel!\Damn! My Wind Tunnel got nicked!\I don't know if I'm imagining it...\but the girls have been looking at me quite coldly.\Didn't you just go to pick up a woman?\That's why they think you're a lecher.\I'm so misunderstood.\You may not believe me... response:	- We don't. - You're lying.
context: Damn! My Wind Tunnel got nicked!\I don't know if I'm imagining it...\but the girls have been looking at me quite coldly.\Didn't you just go to pick up a woman?\That's why they think you're a lecher.\I'm so misunderstood.\You may not believe me...\- We don't. - You're lying. response:	I wish you'd hear me out at least.
context: I don't know if I'm imagining it...\but the girls have been looking at me quite coldly.\Didn't you just go to pick up a woman?\That's why they think you're a lecher.\I'm so misunderstood.\You may not believe me...\- We don't. - You're lying.\I wish you'd hear me out at least. response:	Shucks... It still hurts.
context: but the girls have been looking at me quite coldly.\Didn't you just go to pick up a woman?\That's why they think you're a lecher.\I'm so misunderstood.\You may not believe me...\- We don't. - You're lying.\I wish you'd hear me out at least.\Shucks... It still hurts. response:	That praying mantis made my Wind Tunnel bigger.
context: Didn't you just go to pick up a woman?\That's why they think you're a lecher.\I'm so misunderstood.\You may not believe me...\- We don't. - You're lying.\I wish you'd hear me out at least.\Shucks... It still hurts.\That praying mantis made my Wind Tunnel bigger. response:	Father!
context: That's why they think you're a lecher.\I'm so misunderstood.\You may not believe me...\- We don't. - You're lying.\I wish you'd hear me out at least.\Shucks... It still hurts.\That praying mantis made my Wind Tunnel bigger.\Father! response:	Do not go! Miroku!
context: I'm so misunderstood.\You may not believe me...\- We don't. - You're lying.\I wish you'd hear me out at least.\Shucks... It still hurts.\That praying mantis made my Wind Tunnel bigger.\Father!\Do not go! Miroku! response:	Father! Father!
context: You may not believe me...\- We don't. - You're lying.\I wish you'd hear me out at least.\Shucks... It still hurts.\That praying mantis made my Wind Tunnel bigger.\Father!\Do not go! Miroku!\Father! Father! response:	Let me go, Master Priest!
context: - We don't. - You're lying.\I wish you'd hear me out at least.\Shucks... It still hurts.\That praying mantis made my Wind Tunnel bigger.\Father!\Do not go! Miroku!\Father! Father!\Let me go, Master Priest! response:	You will be sucked into your father's Wind Tunnel, too!
context: I wish you'd hear me out at least.\Shucks... It still hurts.\That praying mantis made my Wind Tunnel bigger.\Father!\Do not go! Miroku!\Father! Father!\Let me go, Master Priest!\You will be sucked into your father's Wind Tunnel, too! response:	Father!
context: Shucks... It still hurts.\That praying mantis made my Wind Tunnel bigger.\Father!\Do not go! Miroku!\Father! Father!\Let me go, Master Priest!\You will be sucked into your father's Wind Tunnel, too!\Father! response:	He went out before dawn?!
context: That praying mantis made my Wind Tunnel bigger.\Father!\Do not go! Miroku!\Father! Father!\Let me go, Master Priest!\You will be sucked into your father's Wind Tunnel, too!\Father!\He went out before dawn?! response:	Yes, the monk said that he was going on a journey...
context: Father!\Do not go! Miroku!\Father! Father!\Let me go, Master Priest!\You will be sucked into your father's Wind Tunnel, too!\Father!\He went out before dawn?!\Yes, the monk said that he was going on a journey... response:	and to wish you well.
context: Do not go! Miroku!\Father! Father!\Let me go, Master Priest!\You will be sucked into your father's Wind Tunnel, too!\Father!\He went out before dawn?!\Yes, the monk said that he was going on a journey...\and to wish you well. response:	That Miroku! Always acting on his own!
context: Father! Father!\Let me go, Master Priest!\You will be sucked into your father's Wind Tunnel, too!\Father!\He went out before dawn?!\Yes, the monk said that he was going on a journey...\and to wish you well.\That Miroku! Always acting on his own! response:	My father got sucked into his own Wind Tunnel...
context: Let me go, Master Priest!\You will be sucked into your father's Wind Tunnel, too!\Father!\He went out before dawn?!\Yes, the monk said that he was going on a journey...\and to wish you well.\That Miroku! Always acting on his own!\My father got sucked into his own Wind Tunnel... response:	and disappeared without leaving a trace.
context: You will be sucked into your father's Wind Tunnel, too!\Father!\He went out before dawn?!\Yes, the monk said that he was going on a journey...\and to wish you well.\That Miroku! Always acting on his own!\My father got sucked into his own Wind Tunnel...\and disappeared without leaving a trace. response:	In time, I probably will end up dying like that.
context: Father!\He went out before dawn?!\Yes, the monk said that he was going on a journey...\and to wish you well.\That Miroku! Always acting on his own!\My father got sucked into his own Wind Tunnel...\and disappeared without leaving a trace.\In time, I probably will end up dying like that. response:	Miroku, I can see it!
context: He went out before dawn?!\Yes, the monk said that he was going on a journey...\and to wish you well.\That Miroku! Always acting on his own!\My father got sucked into his own Wind Tunnel...\and disappeared without leaving a trace.\In time, I probably will end up dying like that.\Miroku, I can see it! response:	W-what's this giant hole?
context: Yes, the monk said that he was going on a journey...\and to wish you well.\That Miroku! Always acting on his own!\My father got sucked into his own Wind Tunnel...\and disappeared without leaving a trace.\In time, I probably will end up dying like that.\Miroku, I can see it!\W-what's this giant hole? response:	This?
context: and to wish you well.\That Miroku! Always acting on his own!\My father got sucked into his own Wind Tunnel...\and disappeared without leaving a trace.\In time, I probably will end up dying like that.\Miroku, I can see it!\W-what's this giant hole?\This? response:	This is my father's grave.
context: That Miroku! Always acting on his own!\My father got sucked into his own Wind Tunnel...\and disappeared without leaving a trace.\In time, I probably will end up dying like that.\Miroku, I can see it!\W-what's this giant hole?\This?\This is my father's grave. response:	Master Mushin, are you there? It's Miroku!
context: My father got sucked into his own Wind Tunnel...\and disappeared without leaving a trace.\In time, I probably will end up dying like that.\Miroku, I can see it!\W-what's this giant hole?\This?\This is my father's grave.\Master Mushin, are you there? It's Miroku! response:	Cripes... drunk as usual.
context: and disappeared without leaving a trace.\In time, I probably will end up dying like that.\Miroku, I can see it!\W-what's this giant hole?\This?\This is my father's grave.\Master Mushin, are you there? It's Miroku!\Cripes... drunk as usual. response:	Wake up!
context: In time, I probably will end up dying like that.\Miroku, I can see it!\W-what's this giant hole?\This?\This is my father's grave.\Master Mushin, are you there? It's Miroku!\Cripes... drunk as usual.\Wake up! response:	You drunken monk!
context: Miroku, I can see it!\W-what's this giant hole?\This?\This is my father's grave.\Master Mushin, are you there? It's Miroku!\Cripes... drunk as usual.\Wake up!\You drunken monk! response:	Oh, it's you, Miroku. So you're still alive?
context: W-what's this giant hole?\This?\This is my father's grave.\Master Mushin, are you there? It's Miroku!\Cripes... drunk as usual.\Wake up!\You drunken monk!\Oh, it's you, Miroku. So you're still alive? response:	Master Mushin, if you keep drinking to excess...
context: This?\This is my father's grave.\Master Mushin, are you there? It's Miroku!\Cripes... drunk as usual.\Wake up!\You drunken monk!\Oh, it's you, Miroku. So you're still alive?\Master Mushin, if you keep drinking to excess... response:	you won't live long.
context: This is my father's grave.\Master Mushin, are you there? It's Miroku!\Cripes... drunk as usual.\Wake up!\You drunken monk!\Oh, it's you, Miroku. So you're still alive?\Master Mushin, if you keep drinking to excess...\you won't live long. response:	Did you come here to lecture me?!
context: Master Mushin, are you there? It's Miroku!\Cripes... drunk as usual.\Wake up!\You drunken monk!\Oh, it's you, Miroku. So you're still alive?\Master Mushin, if you keep drinking to excess...\you won't live long.\Did you come here to lecture me?! response:	Well... A demon nicked my Wind Tunnel.
context: Cripes... drunk as usual.\Wake up!\You drunken monk!\Oh, it's you, Miroku. So you're still alive?\Master Mushin, if you keep drinking to excess...\you won't live long.\Did you come here to lecture me?!\Well... A demon nicked my Wind Tunnel. response:	Will you repair it?
context: Wake up!\You drunken monk!\Oh, it's you, Miroku. So you're still alive?\Master Mushin, if you keep drinking to excess...\you won't live long.\Did you come here to lecture me?!\Well... A demon nicked my Wind Tunnel.\Will you repair it? response:	Let me see...
context: You drunken monk!\Oh, it's you, Miroku. So you're still alive?\Master Mushin, if you keep drinking to excess...\you won't live long.\Did you come here to lecture me?!\Well... A demon nicked my Wind Tunnel.\Will you repair it?\Let me see... response:	Huh?!
context: Oh, it's you, Miroku. So you're still alive?\Master Mushin, if you keep drinking to excess...\you won't live long.\Did you come here to lecture me?!\Well... A demon nicked my Wind Tunnel.\Will you repair it?\Let me see...\Huh?! response:	You will die tonight!
context: Master Mushin, if you keep drinking to excess...\you won't live long.\Did you come here to lecture me?!\Well... A demon nicked my Wind Tunnel.\Will you repair it?\Let me see...\Huh?!\You will die tonight! response:	Not! Just joking!
context: you won't live long.\Did you come here to lecture me?!\Well... A demon nicked my Wind Tunnel.\Will you repair it?\Let me see...\Huh?!\You will die tonight!\Not! Just joking! response:	Do you want to be sucked in?!
context: Did you come here to lecture me?!\Well... A demon nicked my Wind Tunnel.\Will you repair it?\Let me see...\Huh?!\You will die tonight!\Not! Just joking!\Do you want to be sucked in?! response:	Now, now... Calm down.
context: Well... A demon nicked my Wind Tunnel.\Will you repair it?\Let me see...\Huh?!\You will die tonight!\Not! Just joking!\Do you want to be sucked in?!\Now, now... Calm down. response:	I'll stitch it up, but I must warn you.
context: Will you repair it?\Let me see...\Huh?!\You will die tonight!\Not! Just joking!\Do you want to be sucked in?!\Now, now... Calm down.\I'll stitch it up, but I must warn you. response:	Until the wound is completely healed...
context: Let me see...\Huh?!\You will die tonight!\Not! Just joking!\Do you want to be sucked in?!\Now, now... Calm down.\I'll stitch it up, but I must warn you.\Until the wound is completely healed... response:	you cannot expose your Wind Tunnel.
context: Huh?!\You will die tonight!\Not! Just joking!\Do you want to be sucked in?!\Now, now... Calm down.\I'll stitch it up, but I must warn you.\Until the wound is completely healed...\you cannot expose your Wind Tunnel. response:	And if I do?
context: You will die tonight!\Not! Just joking!\Do you want to be sucked in?!\Now, now... Calm down.\I'll stitch it up, but I must warn you.\Until the wound is completely healed...\you cannot expose your Wind Tunnel.\And if I do? response:	The Wind Tunnel will spread from the nicks...
context: Not! Just joking!\Do you want to be sucked in?!\Now, now... Calm down.\I'll stitch it up, but I must warn you.\Until the wound is completely healed...\you cannot expose your Wind Tunnel.\And if I do?\The Wind Tunnel will spread from the nicks... response:	and hasten your death.
context: Do you want to be sucked in?!\Now, now... Calm down.\I'll stitch it up, but I must warn you.\Until the wound is completely healed...\you cannot expose your Wind Tunnel.\And if I do?\The Wind Tunnel will spread from the nicks...\and hasten your death. response:	I will no longer be able to help you.
context: Now, now... Calm down.\I'll stitch it up, but I must warn you.\Until the wound is completely healed...\you cannot expose your Wind Tunnel.\And if I do?\The Wind Tunnel will spread from the nicks...\and hasten your death.\I will no longer be able to help you. response:	Now then...
context: I'll stitch it up, but I must warn you.\Until the wound is completely healed...\you cannot expose your Wind Tunnel.\And if I do?\The Wind Tunnel will spread from the nicks...\and hasten your death.\I will no longer be able to help you.\Now then... response:	I will get my medicinal herbs.
context: Until the wound is completely healed...\you cannot expose your Wind Tunnel.\And if I do?\The Wind Tunnel will spread from the nicks...\and hasten your death.\I will no longer be able to help you.\Now then...\I will get my medicinal herbs. response:	Go and thoroughly purify your dirty self.
context: you cannot expose your Wind Tunnel.\And if I do?\The Wind Tunnel will spread from the nicks...\and hasten your death.\I will no longer be able to help you.\Now then...\I will get my medicinal herbs.\Go and thoroughly purify your dirty self. response:	Hmm... So that Master Mushin is the one who raised you?
context: And if I do?\The Wind Tunnel will spread from the nicks...\and hasten your death.\I will no longer be able to help you.\Now then...\I will get my medicinal herbs.\Go and thoroughly purify your dirty self.\Hmm... So that Master Mushin is the one who raised you? response:	Yeah... Everything bad, I learned from him.
context: The Wind Tunnel will spread from the nicks...\and hasten your death.\I will no longer be able to help you.\Now then...\I will get my medicinal herbs.\Go and thoroughly purify your dirty self.\Hmm... So that Master Mushin is the one who raised you?\Yeah... Everything bad, I learned from him. response:	He acts gruff, but he seems very kind.
context: and hasten your death.\I will no longer be able to help you.\Now then...\I will get my medicinal herbs.\Go and thoroughly purify your dirty self.\Hmm... So that Master Mushin is the one who raised you?\Yeah... Everything bad, I learned from him.\He acts gruff, but he seems very kind. response:	I guess.
context: I will no longer be able to help you.\Now then...\I will get my medicinal herbs.\Go and thoroughly purify your dirty self.\Hmm... So that Master Mushin is the one who raised you?\Yeah... Everything bad, I learned from him.\He acts gruff, but he seems very kind.\I guess. response:	That Miroku... Going timid over little nicks like that.
context: Now then...\I will get my medicinal herbs.\Go and thoroughly purify your dirty self.\Hmm... So that Master Mushin is the one who raised you?\Yeah... Everything bad, I learned from him.\He acts gruff, but he seems very kind.\I guess.\That Miroku... Going timid over little nicks like that. response:	Well, I can't blame him.
context: I will get my medicinal herbs.\Go and thoroughly purify your dirty self.\Hmm... So that Master Mushin is the one who raised you?\Yeah... Everything bad, I learned from him.\He acts gruff, but he seems very kind.\I guess.\That Miroku... Going timid over little nicks like that.\Well, I can't blame him. response:	He's had such a tragic life.
context: Go and thoroughly purify your dirty self.\Hmm... So that Master Mushin is the one who raised you?\Yeah... Everything bad, I learned from him.\He acts gruff, but he seems very kind.\I guess.\That Miroku... Going timid over little nicks like that.\Well, I can't blame him.\He's had such a tragic life. response:	Why did Miroku leave us like that?
context: Hmm... So that Master Mushin is the one who raised you?\Yeah... Everything bad, I learned from him.\He acts gruff, but he seems very kind.\I guess.\That Miroku... Going timid over little nicks like that.\Well, I can't blame him.\He's had such a tragic life.\Why did Miroku leave us like that? response:	Isn't it'cuz you treated him so coldly yesterday?
context: Yeah... Everything bad, I learned from him.\He acts gruff, but he seems very kind.\I guess.\That Miroku... Going timid over little nicks like that.\Well, I can't blame him.\He's had such a tragic life.\Why did Miroku leave us like that?\Isn't it'cuz you treated him so coldly yesterday? response:	Huh?!
context: He acts gruff, but he seems very kind.\I guess.\That Miroku... Going timid over little nicks like that.\Well, I can't blame him.\He's had such a tragic life.\Why did Miroku leave us like that?\Isn't it'cuz you treated him so coldly yesterday?\Huh?! response:	Err... Master Inuyasha...
context: I guess.\That Miroku... Going timid over little nicks like that.\Well, I can't blame him.\He's had such a tragic life.\Why did Miroku leave us like that?\Isn't it'cuz you treated him so coldly yesterday?\Huh?!\Err... Master Inuyasha... response:	Old Myoga? You're here?
context: That Miroku... Going timid over little nicks like that.\Well, I can't blame him.\He's had such a tragic life.\Why did Miroku leave us like that?\Isn't it'cuz you treated him so coldly yesterday?\Huh?!\Err... Master Inuyasha...\Old Myoga? You're here? response:	Yes.
context: Well, I can't blame him.\He's had such a tragic life.\Why did Miroku leave us like that?\Isn't it'cuz you treated him so coldly yesterday?\Huh?!\Err... Master Inuyasha...\Old Myoga? You're here?\Yes. response:	Actually, I returned last night.
context: He's had such a tragic life.\Why did Miroku leave us like that?\Isn't it'cuz you treated him so coldly yesterday?\Huh?!\Err... Master Inuyasha...\Old Myoga? You're here?\Yes.\Actually, I returned last night. response:	And the monk was acting strangely.
context: Why did Miroku leave us like that?\Isn't it'cuz you treated him so coldly yesterday?\Huh?!\Err... Master Inuyasha...\Old Myoga? You're here?\Yes.\Actually, I returned last night.\And the monk was acting strangely. response:	Whaddya mean?
context: Isn't it'cuz you treated him so coldly yesterday?\Huh?!\Err... Master Inuyasha...\Old Myoga? You're here?\Yes.\Actually, I returned last night.\And the monk was acting strangely.\Whaddya mean? response:	He kept staring at his right hand and seemed deep in thought.
context: Huh?!\Err... Master Inuyasha...\Old Myoga? You're here?\Yes.\Actually, I returned last night.\And the monk was acting strangely.\Whaddya mean?\He kept staring at his right hand and seemed deep in thought. response:	I'm not sure what he was thinking about...
context: Err... Master Inuyasha...\Old Myoga? You're here?\Yes.\Actually, I returned last night.\And the monk was acting strangely.\Whaddya mean?\He kept staring at his right hand and seemed deep in thought.\I'm not sure what he was thinking about... response:	Inuyasha, let's find Miroku.
context: Old Myoga? You're here?\Yes.\Actually, I returned last night.\And the monk was acting strangely.\Whaddya mean?\He kept staring at his right hand and seemed deep in thought.\I'm not sure what he was thinking about...\Inuyasha, let's find Miroku. response:	Huh? Did something happen?
context: Yes.\Actually, I returned last night.\And the monk was acting strangely.\Whaddya mean?\He kept staring at his right hand and seemed deep in thought.\I'm not sure what he was thinking about...\Inuyasha, let's find Miroku.\Huh? Did something happen? response:	Yes... but we're not sure what.
context: Actually, I returned last night.\And the monk was acting strangely.\Whaddya mean?\He kept staring at his right hand and seemed deep in thought.\I'm not sure what he was thinking about...\Inuyasha, let's find Miroku.\Huh? Did something happen?\Yes... but we're not sure what. response:	Find him? But how!
context: And the monk was acting strangely.\Whaddya mean?\He kept staring at his right hand and seemed deep in thought.\I'm not sure what he was thinking about...\Inuyasha, let's find Miroku.\Huh? Did something happen?\Yes... but we're not sure what.\Find him? But how! response:	Well...
context: Whaddya mean?\He kept staring at his right hand and seemed deep in thought.\I'm not sure what he was thinking about...\Inuyasha, let's find Miroku.\Huh? Did something happen?\Yes... but we're not sure what.\Find him? But how!\Well... response:	Leave'im alone!
context: He kept staring at his right hand and seemed deep in thought.\I'm not sure what he was thinking about...\Inuyasha, let's find Miroku.\Huh? Did something happen?\Yes... but we're not sure what.\Find him? But how!\Well...\Leave'im alone! response:	Finding the Sacred Jewel fragments is more important!
context: I'm not sure what he was thinking about...\Inuyasha, let's find Miroku.\Huh? Did something happen?\Yes... but we're not sure what.\Find him? But how!\Well...\Leave'im alone!\Finding the Sacred Jewel fragments is more important! response:	Miroku...what happened?
context: Inuyasha, let's find Miroku.\Huh? Did something happen?\Yes... but we're not sure what.\Find him? But how!\Well...\Leave'im alone!\Finding the Sacred Jewel fragments is more important!\Miroku...what happened? response:	It's still day, but unusually dark.
context: Huh? Did something happen?\Yes... but we're not sure what.\Find him? But how!\Well...\Leave'im alone!\Finding the Sacred Jewel fragments is more important!\Miroku...what happened?\It's still day, but unusually dark. response:	W-who are you?!
context: Yes... but we're not sure what.\Find him? But how!\Well...\Leave'im alone!\Finding the Sacred Jewel fragments is more important!\Miroku...what happened?\It's still day, but unusually dark.\W-who are you?! response:	Did you take your medicine?
context: Find him? But how!\Well...\Leave'im alone!\Finding the Sacred Jewel fragments is more important!\Miroku...what happened?\It's still day, but unusually dark.\W-who are you?!\Did you take your medicine? response:	Yeah.
context: Well...\Leave'im alone!\Finding the Sacred Jewel fragments is more important!\Miroku...what happened?\It's still day, but unusually dark.\W-who are you?!\Did you take your medicine?\Yeah. response:	I feel quite groggy.
context: Leave'im alone!\Finding the Sacred Jewel fragments is more important!\Miroku...what happened?\It's still day, but unusually dark.\W-who are you?!\Did you take your medicine?\Yeah.\I feel quite groggy. response:	Sleep.
context: Finding the Sacred Jewel fragments is more important!\Miroku...what happened?\It's still day, but unusually dark.\W-who are you?!\Did you take your medicine?\Yeah.\I feel quite groggy.\Sleep. response:	It'll be over soon.
context: Miroku...what happened?\It's still day, but unusually dark.\W-who are you?!\Did you take your medicine?\Yeah.\I feel quite groggy.\Sleep.\It'll be over soon. response:	I'm counting on you. Frankly, I don't want to die...
context: It's still day, but unusually dark.\W-who are you?!\Did you take your medicine?\Yeah.\I feel quite groggy.\Sleep.\It'll be over soon.\I'm counting on you. Frankly, I don't want to die... response:	Difficult you're not. I'll put you at ease soon.
context: W-who are you?!\Did you take your medicine?\Yeah.\I feel quite groggy.\Sleep.\It'll be over soon.\I'm counting on you. Frankly, I don't want to die...\Difficult you're not. I'll put you at ease soon. response:	What is this?
context: Did you take your medicine?\Yeah.\I feel quite groggy.\Sleep.\It'll be over soon.\I'm counting on you. Frankly, I don't want to die...\Difficult you're not. I'll put you at ease soon.\What is this? response:	I don't like it.
context: Yeah.\I feel quite groggy.\Sleep.\It'll be over soon.\I'm counting on you. Frankly, I don't want to die...\Difficult you're not. I'll put you at ease soon.\What is this?\I don't like it. response:	Inuyasha!
context: I feel quite groggy.\Sleep.\It'll be over soon.\I'm counting on you. Frankly, I don't want to die...\Difficult you're not. I'll put you at ease soon.\What is this?\I don't like it.\Inuyasha! response:	Naraku's toxic insects!
context: Sleep.\It'll be over soon.\I'm counting on you. Frankly, I don't want to die...\Difficult you're not. I'll put you at ease soon.\What is this?\I don't like it.\Inuyasha!\Naraku's toxic insects! response:	Hiraikotsu!
