context: I'm still calling your name, Nana. response:	No matter how much it hurts...
context: Stop messing with me! Then you come with me!\I guess negotiations break off there. Oh well, good luck.\Yasu! There are law firms in Tokyo, too!\You can sing in this town, too.\But there is no big stage like the Tokyo Dome or Budokan here.\Think of it as a foolish dream if you want.\But one day, I will definitely perform on a big stage.\I'll perform before an incredible number of spotlights response:	and amount of cheering,
context: I guess negotiations break off there. Oh well, good luck.\Yasu! There are law firms in Tokyo, too!\You can sing in this town, too.\But there is no big stage like the Tokyo Dome or Budokan here.\Think of it as a foolish dream if you want.\But one day, I will definitely perform on a big stage.\I'll perform before an incredible number of spotlights\and amount of cheering, response:	and earn so much money I won't know how to spend it.
context: Yasu! There are law firms in Tokyo, too!\You can sing in this town, too.\But there is no big stage like the Tokyo Dome or Budokan here.\Think of it as a foolish dream if you want.\But one day, I will definitely perform on a big stage.\I'll perform before an incredible number of spotlights\and amount of cheering,\and earn so much money I won't know how to spend it. response:	I'm not some princess who is satisfied just singing.
context: You can sing in this town, too.\But there is no big stage like the Tokyo Dome or Budokan here.\Think of it as a foolish dream if you want.\But one day, I will definitely perform on a big stage.\I'll perform before an incredible number of spotlights\and amount of cheering,\and earn so much money I won't know how to spend it.\I'm not some princess who is satisfied just singing. response:	Singing is my means to live.
context: But there is no big stage like the Tokyo Dome or Budokan here.\Think of it as a foolish dream if you want.\But one day, I will definitely perform on a big stage.\I'll perform before an incredible number of spotlights\and amount of cheering,\and earn so much money I won't know how to spend it.\I'm not some princess who is satisfied just singing.\Singing is my means to live. response:	So one day, I'll definitely...
context: Think of it as a foolish dream if you want.\But one day, I will definitely perform on a big stage.\I'll perform before an incredible number of spotlights\and amount of cheering,\and earn so much money I won't know how to spend it.\I'm not some princess who is satisfied just singing.\Singing is my means to live.\So one day, I'll definitely... response:	What? Who?
context: But one day, I will definitely perform on a big stage.\I'll perform before an incredible number of spotlights\and amount of cheering,\and earn so much money I won't know how to spend it.\I'm not some princess who is satisfied just singing.\Singing is my means to live.\So one day, I'll definitely...\What? Who? response:	And, how long does she intend to stay on top of me?
context: I'll perform before an incredible number of spotlights\and amount of cheering,\and earn so much money I won't know how to spend it.\I'm not some princess who is satisfied just singing.\Singing is my means to live.\So one day, I'll definitely...\What? Who?\And, how long does she intend to stay on top of me? response:	Are you all right?
context: and amount of cheering,\and earn so much money I won't know how to spend it.\I'm not some princess who is satisfied just singing.\Singing is my means to live.\So one day, I'll definitely...\What? Who?\And, how long does she intend to stay on top of me?\Are you all right? response:	I'm fine. Sorry!
context: and earn so much money I won't know how to spend it.\I'm not some princess who is satisfied just singing.\Singing is my means to live.\So one day, I'll definitely...\What? Who?\And, how long does she intend to stay on top of me?\Are you all right?\I'm fine. Sorry! response:	I'll never forget that day. March 5th, 2001.
context: I'm not some princess who is satisfied just singing.\Singing is my means to live.\So one day, I'll definitely...\What? Who?\And, how long does she intend to stay on top of me?\Are you all right?\I'm fine. Sorry!\I'll never forget that day. March 5th, 2001. response:	My twentieth birthday.
context: Singing is my means to live.\So one day, I'll definitely...\What? Who?\And, how long does she intend to stay on top of me?\Are you all right?\I'm fine. Sorry!\I'll never forget that day. March 5th, 2001.\My twentieth birthday. response:	That's the day I met you.
context: So one day, I'll definitely...\What? Who?\And, how long does she intend to stay on top of me?\Are you all right?\I'm fine. Sorry!\I'll never forget that day. March 5th, 2001.\My twentieth birthday.\That's the day I met you. response:	That stupid Demon Lord!
context: What? Who?\And, how long does she intend to stay on top of me?\Are you all right?\I'm fine. Sorry!\I'll never forget that day. March 5th, 2001.\My twentieth birthday.\That's the day I met you.\That stupid Demon Lord! response:	It's nothing to cry about.
context: And, how long does she intend to stay on top of me?\Are you all right?\I'm fine. Sorry!\I'll never forget that day. March 5th, 2001.\My twentieth birthday.\That's the day I met you.\That stupid Demon Lord!\It's nothing to cry about. response:	But I was really looking forward to the fireworks!
context: Are you all right?\I'm fine. Sorry!\I'll never forget that day. March 5th, 2001.\My twentieth birthday.\That's the day I met you.\That stupid Demon Lord!\It's nothing to cry about.\But I was really looking forward to the fireworks! response:	I even withdrew cash from my savings to buy a yukata to wear!
context: I'm fine. Sorry!\I'll never forget that day. March 5th, 2001.\My twentieth birthday.\That's the day I met you.\That stupid Demon Lord!\It's nothing to cry about.\But I was really looking forward to the fireworks!\I even withdrew cash from my savings to buy a yukata to wear! response:	So you finally dipped into Natsuko's 300,000 yen.
context: I'll never forget that day. March 5th, 2001.\My twentieth birthday.\That's the day I met you.\That stupid Demon Lord!\It's nothing to cry about.\But I was really looking forward to the fireworks!\I even withdrew cash from my savings to buy a yukata to wear!\So you finally dipped into Natsuko's 300,000 yen. response:	We met on the train to Tokyo,
context: My twentieth birthday.\That's the day I met you.\That stupid Demon Lord!\It's nothing to cry about.\But I was really looking forward to the fireworks!\I even withdrew cash from my savings to buy a yukata to wear!\So you finally dipped into Natsuko's 300,000 yen.\We met on the train to Tokyo, response:	I ended up moving in together with Nana Komatsu.
context: That's the day I met you.\That stupid Demon Lord!\It's nothing to cry about.\But I was really looking forward to the fireworks!\I even withdrew cash from my savings to buy a yukata to wear!\So you finally dipped into Natsuko's 300,000 yen.\We met on the train to Tokyo,\I ended up moving in together with Nana Komatsu. response:	Nickname Hachi, or Hachiko.
context: That stupid Demon Lord!\It's nothing to cry about.\But I was really looking forward to the fireworks!\I even withdrew cash from my savings to buy a yukata to wear!\So you finally dipped into Natsuko's 300,000 yen.\We met on the train to Tokyo,\I ended up moving in together with Nana Komatsu.\Nickname Hachi, or Hachiko. response:	Hachiko is selfish, overly dependent and cries easily.
context: It's nothing to cry about.\But I was really looking forward to the fireworks!\I even withdrew cash from my savings to buy a yukata to wear!\So you finally dipped into Natsuko's 300,000 yen.\We met on the train to Tokyo,\I ended up moving in together with Nana Komatsu.\Nickname Hachi, or Hachiko.\Hachiko is selfish, overly dependent and cries easily. response:	She is completely boy crazy
context: But I was really looking forward to the fireworks!\I even withdrew cash from my savings to buy a yukata to wear!\So you finally dipped into Natsuko's 300,000 yen.\We met on the train to Tokyo,\I ended up moving in together with Nana Komatsu.\Nickname Hachi, or Hachiko.\Hachiko is selfish, overly dependent and cries easily.\She is completely boy crazy response:	and she's quick to switch over.
context: I even withdrew cash from my savings to buy a yukata to wear!\So you finally dipped into Natsuko's 300,000 yen.\We met on the train to Tokyo,\I ended up moving in together with Nana Komatsu.\Nickname Hachi, or Hachiko.\Hachiko is selfish, overly dependent and cries easily.\She is completely boy crazy\and she's quick to switch over. response:	She's only been in Tokyo for six months
context: So you finally dipped into Natsuko's 300,000 yen.\We met on the train to Tokyo,\I ended up moving in together with Nana Komatsu.\Nickname Hachi, or Hachiko.\Hachiko is selfish, overly dependent and cries easily.\She is completely boy crazy\and she's quick to switch over.\She's only been in Tokyo for six months response:	and she's already dating a third guy.
context: We met on the train to Tokyo,\I ended up moving in together with Nana Komatsu.\Nickname Hachi, or Hachiko.\Hachiko is selfish, overly dependent and cries easily.\She is completely boy crazy\and she's quick to switch over.\She's only been in Tokyo for six months\and she's already dating a third guy. response:	Nobu...
context: I ended up moving in together with Nana Komatsu.\Nickname Hachi, or Hachiko.\Hachiko is selfish, overly dependent and cries easily.\She is completely boy crazy\and she's quick to switch over.\She's only been in Tokyo for six months\and she's already dating a third guy.\Nobu... response:	But she would remain uncorrupted. She was a strange woman.
context: Nickname Hachi, or Hachiko.\Hachiko is selfish, overly dependent and cries easily.\She is completely boy crazy\and she's quick to switch over.\She's only been in Tokyo for six months\and she's already dating a third guy.\Nobu...\But she would remain uncorrupted. She was a strange woman. response:	Typhoon Eleven, which has made its way onto land in the Kanto region,
context: Hachiko is selfish, overly dependent and cries easily.\She is completely boy crazy\and she's quick to switch over.\She's only been in Tokyo for six months\and she's already dating a third guy.\Nobu...\But she would remain uncorrupted. She was a strange woman.\Typhoon Eleven, which has made its way onto land in the Kanto region, response:	is getting stronger as it continues north and is expected to reach,.,
context: She is completely boy crazy\and she's quick to switch over.\She's only been in Tokyo for six months\and she's already dating a third guy.\Nobu...\But she would remain uncorrupted. She was a strange woman.\Typhoon Eleven, which has made its way onto land in the Kanto region,\is getting stronger as it continues north and is expected to reach,., response:	- Are you that jealous of our happiness? - the Tohoku area later tonight,.,
context: and she's quick to switch over.\She's only been in Tokyo for six months\and she's already dating a third guy.\Nobu...\But she would remain uncorrupted. She was a strange woman.\Typhoon Eleven, which has made its way onto land in the Kanto region,\is getting stronger as it continues north and is expected to reach,.,\- Are you that jealous of our happiness? - the Tohoku area later tonight,., response:	- Well, I do understand how you feel. - and Hokkaido tomorrow morning.
context: She's only been in Tokyo for six months\and she's already dating a third guy.\Nobu...\But she would remain uncorrupted. She was a strange woman.\Typhoon Eleven, which has made its way onto land in the Kanto region,\is getting stronger as it continues north and is expected to reach,.,\- Are you that jealous of our happiness? - the Tohoku area later tonight,.,\- Well, I do understand how you feel. - and Hokkaido tomorrow morning. response:	- Are you talking to the Demon Lord again? - Total rain accumulation is estimated,.,
context: and she's already dating a third guy.\Nobu...\But she would remain uncorrupted. She was a strange woman.\Typhoon Eleven, which has made its way onto land in the Kanto region,\is getting stronger as it continues north and is expected to reach,.,\- Are you that jealous of our happiness? - the Tohoku area later tonight,.,\- Well, I do understand how you feel. - and Hokkaido tomorrow morning.\- Are you talking to the Demon Lord again? - Total rain accumulation is estimated,., response:	- I worry about you, Nobu. - at 200 ml. in the Kanto region,
context: Nobu...\But she would remain uncorrupted. She was a strange woman.\Typhoon Eleven, which has made its way onto land in the Kanto region,\is getting stronger as it continues north and is expected to reach,.,\- Are you that jealous of our happiness? - the Tohoku area later tonight,.,\- Well, I do understand how you feel. - and Hokkaido tomorrow morning.\- Are you talking to the Demon Lord again? - Total rain accumulation is estimated,.,\- I worry about you, Nobu. - at 200 ml. in the Kanto region, response:	- But I'll let it go since Hachi's cute. - 150 ml. in the Tohoku region,
context: But she would remain uncorrupted. She was a strange woman.\Typhoon Eleven, which has made its way onto land in the Kanto region,\is getting stronger as it continues north and is expected to reach,.,\- Are you that jealous of our happiness? - the Tohoku area later tonight,.,\- Well, I do understand how you feel. - and Hokkaido tomorrow morning.\- Are you talking to the Demon Lord again? - Total rain accumulation is estimated,.,\- I worry about you, Nobu. - at 200 ml. in the Kanto region,\- But I'll let it go since Hachi's cute. - 150 ml. in the Tohoku region, response:	- Wrong. I'm talking to the weather girl. - and 100 to 150 ml. in Hokkaido.
context: Typhoon Eleven, which has made its way onto land in the Kanto region,\is getting stronger as it continues north and is expected to reach,.,\- Are you that jealous of our happiness? - the Tohoku area later tonight,.,\- Well, I do understand how you feel. - and Hokkaido tomorrow morning.\- Are you talking to the Demon Lord again? - Total rain accumulation is estimated,.,\- I worry about you, Nobu. - at 200 ml. in the Kanto region,\- But I'll let it go since Hachi's cute. - 150 ml. in the Tohoku region,\- Wrong. I'm talking to the weather girl. - and 100 to 150 ml. in Hokkaido. response:	- Now I'm even more worried. - Now, tomorrow's weather.
context: is getting stronger as it continues north and is expected to reach,.,\- Are you that jealous of our happiness? - the Tohoku area later tonight,.,\- Well, I do understand how you feel. - and Hokkaido tomorrow morning.\- Are you talking to the Demon Lord again? - Total rain accumulation is estimated,.,\- I worry about you, Nobu. - at 200 ml. in the Kanto region,\- But I'll let it go since Hachi's cute. - 150 ml. in the Tohoku region,\- Wrong. I'm talking to the weather girl. - and 100 to 150 ml. in Hokkaido.\- Now I'm even more worried. - Now, tomorrow's weather. response:	First, the Kyushu and Okinawa regions,.,
context: - Are you that jealous of our happiness? - the Tohoku area later tonight,.,\- Well, I do understand how you feel. - and Hokkaido tomorrow morning.\- Are you talking to the Demon Lord again? - Total rain accumulation is estimated,.,\- I worry about you, Nobu. - at 200 ml. in the Kanto region,\- But I'll let it go since Hachi's cute. - 150 ml. in the Tohoku region,\- Wrong. I'm talking to the weather girl. - and 100 to 150 ml. in Hokkaido.\- Now I'm even more worried. - Now, tomorrow's weather.\First, the Kyushu and Okinawa regions,., response:	- Na... - Nobuo! What are you doing?
context: - Well, I do understand how you feel. - and Hokkaido tomorrow morning.\- Are you talking to the Demon Lord again? - Total rain accumulation is estimated,.,\- I worry about you, Nobu. - at 200 ml. in the Kanto region,\- But I'll let it go since Hachi's cute. - 150 ml. in the Tohoku region,\- Wrong. I'm talking to the weather girl. - and 100 to 150 ml. in Hokkaido.\- Now I'm even more worried. - Now, tomorrow's weather.\First, the Kyushu and Okinawa regions,.,\- Na... - Nobuo! What are you doing? response:	Come here right now!
context: - Are you talking to the Demon Lord again? - Total rain accumulation is estimated,.,\- I worry about you, Nobu. - at 200 ml. in the Kanto region,\- But I'll let it go since Hachi's cute. - 150 ml. in the Tohoku region,\- Wrong. I'm talking to the weather girl. - and 100 to 150 ml. in Hokkaido.\- Now I'm even more worried. - Now, tomorrow's weather.\First, the Kyushu and Okinawa regions,.,\- Na... - Nobuo! What are you doing?\Come here right now! response:	You promised to pick up Hachiko at seven o'clock, right?!
