context: My eternal liege, the ultimate demon who knows no rival... response:	my Lord Sesshomaru.
context: And only my Lord Sesshomaru is worthy of its magnificence!\Such a sword is wasted on Lord Sesshomaru's younger brother...\Inuyasha, that despicable half-demon with a mortal for a mother!\Rin.\Yes, Lord Sesshomaru?\When you're hungry, you must find your own food.\All right! I'm off!\My goodness! response:	Lord Sesshomaru instructed Rin to find her own food.
context: Such a sword is wasted on Lord Sesshomaru's younger brother...\Inuyasha, that despicable half-demon with a mortal for a mother!\Rin.\Yes, Lord Sesshomaru?\When you're hungry, you must find your own food.\All right! I'm off!\My goodness!\Lord Sesshomaru instructed Rin to find her own food. response:	Then he tells me to go help her!
context: Inuyasha, that despicable half-demon with a mortal for a mother!\Rin.\Yes, Lord Sesshomaru?\When you're hungry, you must find your own food.\All right! I'm off!\My goodness!\Lord Sesshomaru instructed Rin to find her own food.\Then he tells me to go help her! response:	Master Jaken, how far must we go?
context: Rin.\Yes, Lord Sesshomaru?\When you're hungry, you must find your own food.\All right! I'm off!\My goodness!\Lord Sesshomaru instructed Rin to find her own food.\Then he tells me to go help her!\Master Jaken, how far must we go? response:	How far?! Until we find food!
context: Yes, Lord Sesshomaru?\When you're hungry, you must find your own food.\All right! I'm off!\My goodness!\Lord Sesshomaru instructed Rin to find her own food.\Then he tells me to go help her!\Master Jaken, how far must we go?\How far?! Until we find food! response:	Master Jaken?
context: When you're hungry, you must find your own food.\All right! I'm off!\My goodness!\Lord Sesshomaru instructed Rin to find her own food.\Then he tells me to go help her!\Master Jaken, how far must we go?\How far?! Until we find food!\Master Jaken? response:	Just how are you of service to Lord Sesshomaru?
context: All right! I'm off!\My goodness!\Lord Sesshomaru instructed Rin to find her own food.\Then he tells me to go help her!\Master Jaken, how far must we go?\How far?! Until we find food!\Master Jaken?\Just how are you of service to Lord Sesshomaru? response:	W-Whaa!
context: My goodness!\Lord Sesshomaru instructed Rin to find her own food.\Then he tells me to go help her!\Master Jaken, how far must we go?\How far?! Until we find food!\Master Jaken?\Just how are you of service to Lord Sesshomaru?\W-Whaa! response:	I serve him in many ways!
context: Lord Sesshomaru instructed Rin to find her own food.\Then he tells me to go help her!\Master Jaken, how far must we go?\How far?! Until we find food!\Master Jaken?\Just how are you of service to Lord Sesshomaru?\W-Whaa!\I serve him in many ways! response:	- Many ways? - Yes!
context: Then he tells me to go help her!\Master Jaken, how far must we go?\How far?! Until we find food!\Master Jaken?\Just how are you of service to Lord Sesshomaru?\W-Whaa!\I serve him in many ways!\- Many ways? - Yes! response:	For instance...
context: Master Jaken, how far must we go?\How far?! Until we find food!\Master Jaken?\Just how are you of service to Lord Sesshomaru?\W-Whaa!\I serve him in many ways!\- Many ways? - Yes!\For instance... response:	Inuyasha's Tetsusaiga turned bright red.
context: How far?! Until we find food!\Master Jaken?\Just how are you of service to Lord Sesshomaru?\W-Whaa!\I serve him in many ways!\- Many ways? - Yes!\For instance...\Inuyasha's Tetsusaiga turned bright red. response:	I can't fathom how Lord Sesshomaru feels.
context: Master Jaken?\Just how are you of service to Lord Sesshomaru?\W-Whaa!\I serve him in many ways!\- Many ways? - Yes!\For instance...\Inuyasha's Tetsusaiga turned bright red.\I can't fathom how Lord Sesshomaru feels. response:	But Inuyasha's sword can even break through a demon barrier.
context: Just how are you of service to Lord Sesshomaru?\W-Whaa!\I serve him in many ways!\- Many ways? - Yes!\For instance...\Inuyasha's Tetsusaiga turned bright red.\I can't fathom how Lord Sesshomaru feels.\But Inuyasha's sword can even break through a demon barrier. response:	It's become extremely dangerous.
context: W-Whaa!\I serve him in many ways!\- Many ways? - Yes!\For instance...\Inuyasha's Tetsusaiga turned bright red.\I can't fathom how Lord Sesshomaru feels.\But Inuyasha's sword can even break through a demon barrier.\It's become extremely dangerous. response:	Yes, Lord Sesshomaru has his sword Tokijin.
context: I serve him in many ways!\- Many ways? - Yes!\For instance...\Inuyasha's Tetsusaiga turned bright red.\I can't fathom how Lord Sesshomaru feels.\But Inuyasha's sword can even break through a demon barrier.\It's become extremely dangerous.\Yes, Lord Sesshomaru has his sword Tokijin. response:	As well as Tenseiga...
context: - Many ways? - Yes!\For instance...\Inuyasha's Tetsusaiga turned bright red.\I can't fathom how Lord Sesshomaru feels.\But Inuyasha's sword can even break through a demon barrier.\It's become extremely dangerous.\Yes, Lord Sesshomaru has his sword Tokijin.\As well as Tenseiga... response:	But no good can come out
context: For instance...\Inuyasha's Tetsusaiga turned bright red.\I can't fathom how Lord Sesshomaru feels.\But Inuyasha's sword can even break through a demon barrier.\It's become extremely dangerous.\Yes, Lord Sesshomaru has his sword Tokijin.\As well as Tenseiga...\But no good can come out response:	of Inuyasha wielding such a frightening sword.
context: Inuyasha's Tetsusaiga turned bright red.\I can't fathom how Lord Sesshomaru feels.\But Inuyasha's sword can even break through a demon barrier.\It's become extremely dangerous.\Yes, Lord Sesshomaru has his sword Tokijin.\As well as Tenseiga...\But no good can come out\of Inuyasha wielding such a frightening sword. response:	That's it! Just prevent him from holding the sword!
context: I can't fathom how Lord Sesshomaru feels.\But Inuyasha's sword can even break through a demon barrier.\It's become extremely dangerous.\Yes, Lord Sesshomaru has his sword Tokijin.\As well as Tenseiga...\But no good can come out\of Inuyasha wielding such a frightening sword.\That's it! Just prevent him from holding the sword! response:	Master Jaken!
context: But Inuyasha's sword can even break through a demon barrier.\It's become extremely dangerous.\Yes, Lord Sesshomaru has his sword Tokijin.\As well as Tenseiga...\But no good can come out\of Inuyasha wielding such a frightening sword.\That's it! Just prevent him from holding the sword!\Master Jaken! response:	Listen Rin!
context: It's become extremely dangerous.\Yes, Lord Sesshomaru has his sword Tokijin.\As well as Tenseiga...\But no good can come out\of Inuyasha wielding such a frightening sword.\That's it! Just prevent him from holding the sword!\Master Jaken!\Listen Rin! response:	Today, you shall witness...
context: Yes, Lord Sesshomaru has his sword Tokijin.\As well as Tenseiga...\But no good can come out\of Inuyasha wielding such a frightening sword.\That's it! Just prevent him from holding the sword!\Master Jaken!\Listen Rin!\Today, you shall witness... response:	how I serve my Lord Sesshomaru!
context: As well as Tenseiga...\But no good can come out\of Inuyasha wielding such a frightening sword.\That's it! Just prevent him from holding the sword!\Master Jaken!\Listen Rin!\Today, you shall witness...\how I serve my Lord Sesshomaru! response:	Okay, next! Next!
context: But no good can come out\of Inuyasha wielding such a frightening sword.\That's it! Just prevent him from holding the sword!\Master Jaken!\Listen Rin!\Today, you shall witness...\how I serve my Lord Sesshomaru!\Okay, next! Next! response:	Ready!
context: of Inuyasha wielding such a frightening sword.\That's it! Just prevent him from holding the sword!\Master Jaken!\Listen Rin!\Today, you shall witness...\how I serve my Lord Sesshomaru!\Okay, next! Next!\Ready! response:	Rock, paper, scissors!
context: That's it! Just prevent him from holding the sword!\Master Jaken!\Listen Rin!\Today, you shall witness...\how I serve my Lord Sesshomaru!\Okay, next! Next!\Ready!\Rock, paper, scissors! response:	Yes! We win again!
context: Master Jaken!\Listen Rin!\Today, you shall witness...\how I serve my Lord Sesshomaru!\Okay, next! Next!\Ready!\Rock, paper, scissors!\Yes! We win again! response:	Sure feels good to win over and over again. Right?
context: Listen Rin!\Today, you shall witness...\how I serve my Lord Sesshomaru!\Okay, next! Next!\Ready!\Rock, paper, scissors!\Yes! We win again!\Sure feels good to win over and over again. Right? response:	Let's see...
context: Today, you shall witness...\how I serve my Lord Sesshomaru!\Okay, next! Next!\Ready!\Rock, paper, scissors!\Yes! We win again!\Sure feels good to win over and over again. Right?\Let's see... response:	Iron-Reaver, Soul-Stealer!
context: how I serve my Lord Sesshomaru!\Okay, next! Next!\Ready!\Rock, paper, scissors!\Yes! We win again!\Sure feels good to win over and over again. Right?\Let's see...\Iron-Reaver, Soul-Stealer! response:	Next!
context: Okay, next! Next!\Ready!\Rock, paper, scissors!\Yes! We win again!\Sure feels good to win over and over again. Right?\Let's see...\Iron-Reaver, Soul-Stealer!\Next! response:	Sango, can you hear?
context: Ready!\Rock, paper, scissors!\Yes! We win again!\Sure feels good to win over and over again. Right?\Let's see...\Iron-Reaver, Soul-Stealer!\Next!\Sango, can you hear? response:	Yes!
context: Rock, paper, scissors!\Yes! We win again!\Sure feels good to win over and over again. Right?\Let's see...\Iron-Reaver, Soul-Stealer!\Next!\Sango, can you hear?\Yes! response:	Miroku, can you stop sighing so much? It's irritating.
context: Yes! We win again!\Sure feels good to win over and over again. Right?\Let's see...\Iron-Reaver, Soul-Stealer!\Next!\Sango, can you hear?\Yes!\Miroku, can you stop sighing so much? It's irritating. response:	If you hadn't shown the same hand as me,
context: Sure feels good to win over and over again. Right?\Let's see...\Iron-Reaver, Soul-Stealer!\Next!\Sango, can you hear?\Yes!\Miroku, can you stop sighing so much? It's irritating.\If you hadn't shown the same hand as me, response:	we'd have had another chance.
context: Let's see...\Iron-Reaver, Soul-Stealer!\Next!\Sango, can you hear?\Yes!\Miroku, can you stop sighing so much? It's irritating.\If you hadn't shown the same hand as me,\we'd have had another chance. response:	Oh, I get it.
context: Iron-Reaver, Soul-Stealer!\Next!\Sango, can you hear?\Yes!\Miroku, can you stop sighing so much? It's irritating.\If you hadn't shown the same hand as me,\we'd have had another chance.\Oh, I get it. response:	Sango, you really wanted to stay back with me, huh?
context: Next!\Sango, can you hear?\Yes!\Miroku, can you stop sighing so much? It's irritating.\If you hadn't shown the same hand as me,\we'd have had another chance.\Oh, I get it.\Sango, you really wanted to stay back with me, huh? response:	Listen! l just lost, okay?
context: Sango, can you hear?\Yes!\Miroku, can you stop sighing so much? It's irritating.\If you hadn't shown the same hand as me,\we'd have had another chance.\Oh, I get it.\Sango, you really wanted to stay back with me, huh?\Listen! l just lost, okay? response:	Or... is this hand cursed?
context: Yes!\Miroku, can you stop sighing so much? It's irritating.\If you hadn't shown the same hand as me,\we'd have had another chance.\Oh, I get it.\Sango, you really wanted to stay back with me, huh?\Listen! l just lost, okay?\Or... is this hand cursed? response:	It's your personality that's cursed!
context: Miroku, can you stop sighing so much? It's irritating.\If you hadn't shown the same hand as me,\we'd have had another chance.\Oh, I get it.\Sango, you really wanted to stay back with me, huh?\Listen! l just lost, okay?\Or... is this hand cursed?\It's your personality that's cursed! response:	Rock, paper, scissors!
context: If you hadn't shown the same hand as me,\we'd have had another chance.\Oh, I get it.\Sango, you really wanted to stay back with me, huh?\Listen! l just lost, okay?\Or... is this hand cursed?\It's your personality that's cursed!\Rock, paper, scissors! response:	We did it! We've won again!
context: we'd have had another chance.\Oh, I get it.\Sango, you really wanted to stay back with me, huh?\Listen! l just lost, okay?\Or... is this hand cursed?\It's your personality that's cursed!\Rock, paper, scissors!\We did it! We've won again! response:	We won with paper...
context: Oh, I get it.\Sango, you really wanted to stay back with me, huh?\Listen! l just lost, okay?\Or... is this hand cursed?\It's your personality that's cursed!\Rock, paper, scissors!\We did it! We've won again!\We won with paper... response:	So that's Wind Tunnel.
context: Sango, you really wanted to stay back with me, huh?\Listen! l just lost, okay?\Or... is this hand cursed?\It's your personality that's cursed!\Rock, paper, scissors!\We did it! We've won again!\We won with paper...\So that's Wind Tunnel. response:	Wi-nd Tun-nel!
context: Listen! l just lost, okay?\Or... is this hand cursed?\It's your personality that's cursed!\Rock, paper, scissors!\We did it! We've won again!\We won with paper...\So that's Wind Tunnel.\Wi-nd Tun-nel! response:	Hey! Sure you aren't cheating?
context: Or... is this hand cursed?\It's your personality that's cursed!\Rock, paper, scissors!\We did it! We've won again!\We won with paper...\So that's Wind Tunnel.\Wi-nd Tun-nel!\Hey! Sure you aren't cheating? response:	Stop being a sore loser.
context: It's your personality that's cursed!\Rock, paper, scissors!\We did it! We've won again!\We won with paper...\So that's Wind Tunnel.\Wi-nd Tun-nel!\Hey! Sure you aren't cheating?\Stop being a sore loser. response:	Rock, paper, scissors!
context: Rock, paper, scissors!\We did it! We've won again!\We won with paper...\So that's Wind Tunnel.\Wi-nd Tun-nel!\Hey! Sure you aren't cheating?\Stop being a sore loser.\Rock, paper, scissors! response:	Here they come! At last!
context: We did it! We've won again!\We won with paper...\So that's Wind Tunnel.\Wi-nd Tun-nel!\Hey! Sure you aren't cheating?\Stop being a sore loser.\Rock, paper, scissors!\Here they come! At last! response:	Stop dawdling! They're coming!
context: We won with paper...\So that's Wind Tunnel.\Wi-nd Tun-nel!\Hey! Sure you aren't cheating?\Stop being a sore loser.\Rock, paper, scissors!\Here they come! At last!\Stop dawdling! They're coming! response:	Appear, No-Man!
context: So that's Wind Tunnel.\Wi-nd Tun-nel!\Hey! Sure you aren't cheating?\Stop being a sore loser.\Rock, paper, scissors!\Here they come! At last!\Stop dawdling! They're coming!\Appear, No-Man! response:	You summoned?
context: Wi-nd Tun-nel!\Hey! Sure you aren't cheating?\Stop being a sore loser.\Rock, paper, scissors!\Here they come! At last!\Stop dawdling! They're coming!\Appear, No-Man!\You summoned? response:	No-Man, Inuyasha and his group are coming.
context: Hey! Sure you aren't cheating?\Stop being a sore loser.\Rock, paper, scissors!\Here they come! At last!\Stop dawdling! They're coming!\Appear, No-Man!\You summoned?\No-Man, Inuyasha and his group are coming. response:	Get close to them and steal Tetsusaiga!
context: Stop being a sore loser.\Rock, paper, scissors!\Here they come! At last!\Stop dawdling! They're coming!\Appear, No-Man!\You summoned?\No-Man, Inuyasha and his group are coming.\Get close to them and steal Tetsusaiga! response:	You are a demon borne out of the regrets of Man.
context: Rock, paper, scissors!\Here they come! At last!\Stop dawdling! They're coming!\Appear, No-Man!\You summoned?\No-Man, Inuyasha and his group are coming.\Get close to them and steal Tetsusaiga!\You are a demon borne out of the regrets of Man. response:	You should be able to grasp Tetsusaiga.
context: Here they come! At last!\Stop dawdling! They're coming!\Appear, No-Man!\You summoned?\No-Man, Inuyasha and his group are coming.\Get close to them and steal Tetsusaiga!\You are a demon borne out of the regrets of Man.\You should be able to grasp Tetsusaiga. response:	Now go and steal it!
context: Stop dawdling! They're coming!\Appear, No-Man!\You summoned?\No-Man, Inuyasha and his group are coming.\Get close to them and steal Tetsusaiga!\You are a demon borne out of the regrets of Man.\You should be able to grasp Tetsusaiga.\Now go and steal it! response:	Tetsusaiga?
context: Appear, No-Man!\You summoned?\No-Man, Inuyasha and his group are coming.\Get close to them and steal Tetsusaiga!\You are a demon borne out of the regrets of Man.\You should be able to grasp Tetsusaiga.\Now go and steal it!\Tetsusaiga? response:	The one that Inuyasha treasures so much!
context: You summoned?\No-Man, Inuyasha and his group are coming.\Get close to them and steal Tetsusaiga!\You are a demon borne out of the regrets of Man.\You should be able to grasp Tetsusaiga.\Now go and steal it!\Tetsusaiga?\The one that Inuyasha treasures so much! response:	Is it valuable?
context: No-Man, Inuyasha and his group are coming.\Get close to them and steal Tetsusaiga!\You are a demon borne out of the regrets of Man.\You should be able to grasp Tetsusaiga.\Now go and steal it!\Tetsusaiga?\The one that Inuyasha treasures so much!\Is it valuable? response:	Yes, so go and get it.
context: Get close to them and steal Tetsusaiga!\You are a demon borne out of the regrets of Man.\You should be able to grasp Tetsusaiga.\Now go and steal it!\Tetsusaiga?\The one that Inuyasha treasures so much!\Is it valuable?\Yes, so go and get it. response:	Rock, paper, scissors!
context: You are a demon borne out of the regrets of Man.\You should be able to grasp Tetsusaiga.\Now go and steal it!\Tetsusaiga?\The one that Inuyasha treasures so much!\Is it valuable?\Yes, so go and get it.\Rock, paper, scissors! response:	We did it! We won again!
context: You should be able to grasp Tetsusaiga.\Now go and steal it!\Tetsusaiga?\The one that Inuyasha treasures so much!\Is it valuable?\Yes, so go and get it.\Rock, paper, scissors!\We did it! We won again! response:	Kagome, you're so strong.
context: Now go and steal it!\Tetsusaiga?\The one that Inuyasha treasures so much!\Is it valuable?\Yes, so go and get it.\Rock, paper, scissors!\We did it! We won again!\Kagome, you're so strong. response:	Yup, I'm really good at this.
context: Tetsusaiga?\The one that Inuyasha treasures so much!\Is it valuable?\Yes, so go and get it.\Rock, paper, scissors!\We did it! We won again!\Kagome, you're so strong.\Yup, I'm really good at this. response:	Now then, scissors is...
context: The one that Inuyasha treasures so much!\Is it valuable?\Yes, so go and get it.\Rock, paper, scissors!\We did it! We won again!\Kagome, you're so strong.\Yup, I'm really good at this.\Now then, scissors is... response:	Hi-rai-ko-tsu.
context: Is it valuable?\Yes, so go and get it.\Rock, paper, scissors!\We did it! We won again!\Kagome, you're so strong.\Yup, I'm really good at this.\Now then, scissors is...\Hi-rai-ko-tsu. response:	Geez, I can't see Kagome anymore.
context: Yes, so go and get it.\Rock, paper, scissors!\We did it! We won again!\Kagome, you're so strong.\Yup, I'm really good at this.\Now then, scissors is...\Hi-rai-ko-tsu.\Geez, I can't see Kagome anymore. response:	If we can't see them, we won't know if they cheat.
context: Rock, paper, scissors!\We did it! We won again!\Kagome, you're so strong.\Yup, I'm really good at this.\Now then, scissors is...\Hi-rai-ko-tsu.\Geez, I can't see Kagome anymore.\If we can't see them, we won't know if they cheat. response:	That's why!
context: We did it! We won again!\Kagome, you're so strong.\Yup, I'm really good at this.\Now then, scissors is...\Hi-rai-ko-tsu.\Geez, I can't see Kagome anymore.\If we can't see them, we won't know if they cheat.\That's why! response:	Miroku!
context: Kagome, you're so strong.\Yup, I'm really good at this.\Now then, scissors is...\Hi-rai-ko-tsu.\Geez, I can't see Kagome anymore.\If we can't see them, we won't know if they cheat.\That's why!\Miroku! response:	Inuyasha, something's coming!
context: Yup, I'm really good at this.\Now then, scissors is...\Hi-rai-ko-tsu.\Geez, I can't see Kagome anymore.\If we can't see them, we won't know if they cheat.\That's why!\Miroku!\Inuyasha, something's coming! response:	What?!
context: Now then, scissors is...\Hi-rai-ko-tsu.\Geez, I can't see Kagome anymore.\If we can't see them, we won't know if they cheat.\That's why!\Miroku!\Inuyasha, something's coming!\What?! response:	What is it?
context: Hi-rai-ko-tsu.\Geez, I can't see Kagome anymore.\If we can't see them, we won't know if they cheat.\That's why!\Miroku!\Inuyasha, something's coming!\What?!\What is it? response:	A mist?
context: Geez, I can't see Kagome anymore.\If we can't see them, we won't know if they cheat.\That's why!\Miroku!\Inuyasha, something's coming!\What?!\What is it?\A mist? response:	More like smoke.
context: If we can't see them, we won't know if they cheat.\That's why!\Miroku!\Inuyasha, something's coming!\What?!\What is it?\A mist?\More like smoke. response:	A mountain fire?
context: That's why!\Miroku!\Inuyasha, something's coming!\What?!\What is it?\A mist?\More like smoke.\A mountain fire? response:	No, it's not fire.
context: Miroku!\Inuyasha, something's coming!\What?!\What is it?\A mist?\More like smoke.\A mountain fire?\No, it's not fire. response:	W-What was that?!
context: Inuyasha, something's coming!\What?!\What is it?\A mist?\More like smoke.\A mountain fire?\No, it's not fire.\W-What was that?! response:	Don't touch me!
context: What?!\What is it?\A mist?\More like smoke.\A mountain fire?\No, it's not fire.\W-What was that?!\Don't touch me! response:	It wasn't me who did it!
context: What is it?\A mist?\More like smoke.\A mountain fire?\No, it's not fire.\W-What was that?!\Don't touch me!\It wasn't me who did it! response:	Someone's pulling at me!
context: A mist?\More like smoke.\A mountain fire?\No, it's not fire.\W-What was that?!\Don't touch me!\It wasn't me who did it!\Someone's pulling at me! response:	Kagome!
context: More like smoke.\A mountain fire?\No, it's not fire.\W-What was that?!\Don't touch me!\It wasn't me who did it!\Someone's pulling at me!\Kagome! response:	Why you!
context: A mountain fire?\No, it's not fire.\W-What was that?!\Don't touch me!\It wasn't me who did it!\Someone's pulling at me!\Kagome!\Why you! response:	It's gone!
context: No, it's not fire.\W-What was that?!\Don't touch me!\It wasn't me who did it!\Someone's pulling at me!\Kagome!\Why you!\It's gone! response:	The Sacred Jewel shards are gone!
context: W-What was that?!\Don't touch me!\It wasn't me who did it!\Someone's pulling at me!\Kagome!\Why you!\It's gone!\The Sacred Jewel shards are gone! response:	What?!
context: Don't touch me!\It wasn't me who did it!\Someone's pulling at me!\Kagome!\Why you!\It's gone!\The Sacred Jewel shards are gone!\What?! response:	Oh... he's late!
context: It wasn't me who did it!\Someone's pulling at me!\Kagome!\Why you!\It's gone!\The Sacred Jewel shards are gone!\What?!\Oh... he's late! response:	Master Jaken!
context: Someone's pulling at me!\Kagome!\Why you!\It's gone!\The Sacred Jewel shards are gone!\What?!\Oh... he's late!\Master Jaken! response:	The treasures!
context: Kagome!\Why you!\It's gone!\The Sacred Jewel shards are gone!\What?!\Oh... he's late!\Master Jaken!\The treasures! response:	Oh! Did you get Tetsusaiga?
context: Why you!\It's gone!\The Sacred Jewel shards are gone!\What?!\Oh... he's late!\Master Jaken!\The treasures!\Oh! Did you get Tetsusaiga? response:	What? No, no!
context: It's gone!\The Sacred Jewel shards are gone!\What?!\Oh... he's late!\Master Jaken!\The treasures!\Oh! Did you get Tetsusaiga?\What? No, no! response:	These aren't it!
context: The Sacred Jewel shards are gone!\What?!\Oh... he's late!\Master Jaken!\The treasures!\Oh! Did you get Tetsusaiga?\What? No, no!\These aren't it! response:	What are these?
context: What?!\Oh... he's late!\Master Jaken!\The treasures!\Oh! Did you get Tetsusaiga?\What? No, no!\These aren't it!\What are these? response:	Mmm... treasures.
context: Oh... he's late!\Master Jaken!\The treasures!\Oh! Did you get Tetsusaiga?\What? No, no!\These aren't it!\What are these?\Mmm... treasures. response:	Fool!
context: Master Jaken!\The treasures!\Oh! Did you get Tetsusaiga?\What? No, no!\These aren't it!\What are these?\Mmm... treasures.\Fool! response:	I have no need of these!
context: The treasures!\Oh! Did you get Tetsusaiga?\What? No, no!\These aren't it!\What are these?\Mmm... treasures.\Fool!\I have no need of these! response:	You didn't get Tetsusaiga!
context: Oh! Did you get Tetsusaiga?\What? No, no!\These aren't it!\What are these?\Mmm... treasures.\Fool!\I have no need of these!\You didn't get Tetsusaiga! response:	Tetsusaiga?
context: What? No, no!\These aren't it!\What are these?\Mmm... treasures.\Fool!\I have no need of these!\You didn't get Tetsusaiga!\Tetsusaiga? response:	Inuyasha's sword.
context: These aren't it!\What are these?\Mmm... treasures.\Fool!\I have no need of these!\You didn't get Tetsusaiga!\Tetsusaiga?\Inuyasha's sword. response:	He had an old, rusty sword.
context: What are these?\Mmm... treasures.\Fool!\I have no need of these!\You didn't get Tetsusaiga!\Tetsusaiga?\Inuyasha's sword.\He had an old, rusty sword. response:	Fool! That's it!
context: Mmm... treasures.\Fool!\I have no need of these!\You didn't get Tetsusaiga!\Tetsusaiga?\Inuyasha's sword.\He had an old, rusty sword.\Fool! That's it! response:	It sure didn't look like a treasure.
context: Fool!\I have no need of these!\You didn't get Tetsusaiga!\Tetsusaiga?\Inuyasha's sword.\He had an old, rusty sword.\Fool! That's it!\It sure didn't look like a treasure. response:	What are you saying?!
context: I have no need of these!\You didn't get Tetsusaiga!\Tetsusaiga?\Inuyasha's sword.\He had an old, rusty sword.\Fool! That's it!\It sure didn't look like a treasure.\What are you saying?! response:	Now, go and get it!
context: You didn't get Tetsusaiga!\Tetsusaiga?\Inuyasha's sword.\He had an old, rusty sword.\Fool! That's it!\It sure didn't look like a treasure.\What are you saying?!\Now, go and get it! response:	He's so slow.
context: Tetsusaiga?\Inuyasha's sword.\He had an old, rusty sword.\Fool! That's it!\It sure didn't look like a treasure.\What are you saying?!\Now, go and get it!\He's so slow. response:	Master Jaken, are you sure that demon can handle it?
context: Inuyasha's sword.\He had an old, rusty sword.\Fool! That's it!\It sure didn't look like a treasure.\What are you saying?!\Now, go and get it!\He's so slow.\Master Jaken, are you sure that demon can handle it? response:	How I wish I had my henchmen.
context: He had an old, rusty sword.\Fool! That's it!\It sure didn't look like a treasure.\What are you saying?!\Now, go and get it!\He's so slow.\Master Jaken, are you sure that demon can handle it?\How I wish I had my henchmen. response:	Oh, I remember those days...
context: Fool! That's it!\It sure didn't look like a treasure.\What are you saying?!\Now, go and get it!\He's so slow.\Master Jaken, are you sure that demon can handle it?\How I wish I had my henchmen.\Oh, I remember those days... response:	When I was the commander of many.
context: It sure didn't look like a treasure.\What are you saying?!\Now, go and get it!\He's so slow.\Master Jaken, are you sure that demon can handle it?\How I wish I had my henchmen.\Oh, I remember those days...\When I was the commander of many. response:	Back then, I led hundreds of demons
context: What are you saying?!\Now, go and get it!\He's so slow.\Master Jaken, are you sure that demon can handle it?\How I wish I had my henchmen.\Oh, I remember those days...\When I was the commander of many.\Back then, I led hundreds of demons response:	and controlled the plains of Musashi.
context: Now, go and get it!\He's so slow.\Master Jaken, are you sure that demon can handle it?\How I wish I had my henchmen.\Oh, I remember those days...\When I was the commander of many.\Back then, I led hundreds of demons\and controlled the plains of Musashi. response:	At that time, we were at battle with demons
context: He's so slow.\Master Jaken, are you sure that demon can handle it?\How I wish I had my henchmen.\Oh, I remember those days...\When I was the commander of many.\Back then, I led hundreds of demons\and controlled the plains of Musashi.\At that time, we were at battle with demons response:	who controlled the eastern mountains.
context: Master Jaken, are you sure that demon can handle it?\How I wish I had my henchmen.\Oh, I remember those days...\When I was the commander of many.\Back then, I led hundreds of demons\and controlled the plains of Musashi.\At that time, we were at battle with demons\who controlled the eastern mountains. response:	Their leader was Bikuni, who, despite being several hundred years old,
