context: Once upon a time, response:	a kind-hearted red ogre lived all by himself
context: Okay!\Takeo-senpai!\Osu!\Right.\Thank you for being with the club for three years.\Please come by sometime!\Okay.\Thank you for everything Shinonara Ippon! Thank you! Nomura You're the man!! You're my role model To Takeo-senpai Congratulations on your graduation response:	This is from all of us.
context: Takeo-senpai!\Osu!\Right.\Thank you for being with the club for three years.\Please come by sometime!\Okay.\Thank you for everything Shinonara Ippon! Thank you! Nomura You're the man!! You're my role model To Takeo-senpai Congratulations on your graduation\This is from all of us. response:	Okay, thanks.
context: Osu!\Right.\Thank you for being with the club for three years.\Please come by sometime!\Okay.\Thank you for everything Shinonara Ippon! Thank you! Nomura You're the man!! You're my role model To Takeo-senpai Congratulations on your graduation\This is from all of us.\Okay, thanks. response:	Make it to nationals this year, okay?
context: Right.\Thank you for being with the club for three years.\Please come by sometime!\Okay.\Thank you for everything Shinonara Ippon! Thank you! Nomura You're the man!! You're my role model To Takeo-senpai Congratulations on your graduation\This is from all of us.\Okay, thanks.\Make it to nationals this year, okay? response:	Bye!
context: Thank you for being with the club for three years.\Please come by sometime!\Okay.\Thank you for everything Shinonara Ippon! Thank you! Nomura You're the man!! You're my role model To Takeo-senpai Congratulations on your graduation\This is from all of us.\Okay, thanks.\Make it to nationals this year, okay?\Bye! response:	Oh, Senpai!
context: Please come by sometime!\Okay.\Thank you for everything Shinonara Ippon! Thank you! Nomura You're the man!! You're my role model To Takeo-senpai Congratulations on your graduation\This is from all of us.\Okay, thanks.\Make it to nationals this year, okay?\Bye!\Oh, Senpai! response:	Senpai!
context: Okay.\Thank you for everything Shinonara Ippon! Thank you! Nomura You're the man!! You're my role model To Takeo-senpai Congratulations on your graduation\This is from all of us.\Okay, thanks.\Make it to nationals this year, okay?\Bye!\Oh, Senpai!\Senpai! response:	Takeo-senpai!
context: Thank you for everything Shinonara Ippon! Thank you! Nomura You're the man!! You're my role model To Takeo-senpai Congratulations on your graduation\This is from all of us.\Okay, thanks.\Make it to nationals this year, okay?\Bye!\Oh, Senpai!\Senpai!\Takeo-senpai! response:	Wait a minute!
context: This is from all of us.\Okay, thanks.\Make it to nationals this year, okay?\Bye!\Oh, Senpai!\Senpai!\Takeo-senpai!\Wait a minute! response:	Senpai!
context: Okay, thanks.\Make it to nationals this year, okay?\Bye!\Oh, Senpai!\Senpai!\Takeo-senpai!\Wait a minute!\Senpai! response:	Takeo!
context: Make it to nationals this year, okay?\Bye!\Oh, Senpai!\Senpai!\Takeo-senpai!\Wait a minute!\Senpai!\Takeo! response:	Hey, Takeo! Where are you going?
context: Bye!\Oh, Senpai!\Senpai!\Takeo-senpai!\Wait a minute!\Senpai!\Takeo!\Hey, Takeo! Where are you going? response:	Takeo!
context: Oh, Senpai!\Senpai!\Takeo-senpai!\Wait a minute!\Senpai!\Takeo!\Hey, Takeo! Where are you going?\Takeo! response:	I've been working with Satou-san in the student council.
context: Senpai!\Takeo-senpai!\Wait a minute!\Senpai!\Takeo!\Hey, Takeo! Where are you going?\Takeo!\I've been working with Satou-san in the student council. response:	She's kind and has a great smile.
context: Takeo-senpai!\Wait a minute!\Senpai!\Takeo!\Hey, Takeo! Where are you going?\Takeo!\I've been working with Satou-san in the student council.\She's kind and has a great smile. response:	Gouda-kun...
context: Wait a minute!\Senpai!\Takeo!\Hey, Takeo! Where are you going?\Takeo!\I've been working with Satou-san in the student council.\She's kind and has a great smile.\Gouda-kun... response:	Before I graduate, I want to tell her how I feel.
context: Senpai!\Takeo!\Hey, Takeo! Where are you going?\Takeo!\I've been working with Satou-san in the student council.\She's kind and has a great smile.\Gouda-kun...\Before I graduate, I want to tell her how I feel. response:	Where are you, Satou-san?
context: Takeo!\Hey, Takeo! Where are you going?\Takeo!\I've been working with Satou-san in the student council.\She's kind and has a great smile.\Gouda-kun...\Before I graduate, I want to tell her how I feel.\Where are you, Satou-san? response:	Satou-san!
context: Hey, Takeo! Where are you going?\Takeo!\I've been working with Satou-san in the student council.\She's kind and has a great smile.\Gouda-kun...\Before I graduate, I want to tell her how I feel.\Where are you, Satou-san?\Satou-san! response:	Um, I...
context: Takeo!\I've been working with Satou-san in the student council.\She's kind and has a great smile.\Gouda-kun...\Before I graduate, I want to tell her how I feel.\Where are you, Satou-san?\Satou-san!\Um, I... response:	I've always liked you, Sunakawa-kun!
context: I've been working with Satou-san in the student council.\She's kind and has a great smile.\Gouda-kun...\Before I graduate, I want to tell her how I feel.\Where are you, Satou-san?\Satou-san!\Um, I...\I've always liked you, Sunakawa-kun! response:	I don't have any feelings for you.
context: She's kind and has a great smile.\Gouda-kun...\Before I graduate, I want to tell her how I feel.\Where are you, Satou-san?\Satou-san!\Um, I...\I've always liked you, Sunakawa-kun!\I don't have any feelings for you. response:	Oh, Takeo...
context: Gouda-kun...\Before I graduate, I want to tell her how I feel.\Where are you, Satou-san?\Satou-san!\Um, I...\I've always liked you, Sunakawa-kun!\I don't have any feelings for you.\Oh, Takeo... response:	You going home?
context: Before I graduate, I want to tell her how I feel.\Where are you, Satou-san?\Satou-san!\Um, I...\I've always liked you, Sunakawa-kun!\I don't have any feelings for you.\Oh, Takeo...\You going home? response:	Uh, yeah.
context: Where are you, Satou-san?\Satou-san!\Um, I...\I've always liked you, Sunakawa-kun!\I don't have any feelings for you.\Oh, Takeo...\You going home?\Uh, yeah. response:	Okay, let's go.
context: Satou-san!\Um, I...\I've always liked you, Sunakawa-kun!\I don't have any feelings for you.\Oh, Takeo...\You going home?\Uh, yeah.\Okay, let's go. response:	Let's get out of here.
context: Um, I...\I've always liked you, Sunakawa-kun!\I don't have any feelings for you.\Oh, Takeo...\You going home?\Uh, yeah.\Okay, let's go.\Let's get out of here. response:	This guy is my friend, Sunakawa Makoto.
context: I've always liked you, Sunakawa-kun!\I don't have any feelings for you.\Oh, Takeo...\You going home?\Uh, yeah.\Okay, let's go.\Let's get out of here.\This guy is my friend, Sunakawa Makoto. response:	Why are we friends, you ask?
context: I don't have any feelings for you.\Oh, Takeo...\You going home?\Uh, yeah.\Okay, let's go.\Let's get out of here.\This guy is my friend, Sunakawa Makoto.\Why are we friends, you ask? response:	I'm not really sure myself.
context: Oh, Takeo...\You going home?\Uh, yeah.\Okay, let's go.\Let's get out of here.\This guy is my friend, Sunakawa Makoto.\Why are we friends, you ask?\I'm not really sure myself. response:	When is the high school entrance ceremony again?
context: You going home?\Uh, yeah.\Okay, let's go.\Let's get out of here.\This guy is my friend, Sunakawa Makoto.\Why are we friends, you ask?\I'm not really sure myself.\When is the high school entrance ceremony again? response:	April 7th, I think?
context: Uh, yeah.\Okay, let's go.\Let's get out of here.\This guy is my friend, Sunakawa Makoto.\Why are we friends, you ask?\I'm not really sure myself.\When is the high school entrance ceremony again?\April 7th, I think? response:	No, the 6th...
context: Okay, let's go.\Let's get out of here.\This guy is my friend, Sunakawa Makoto.\Why are we friends, you ask?\I'm not really sure myself.\When is the high school entrance ceremony again?\April 7th, I think?\No, the 6th... response:	Around there.
context: Let's get out of here.\This guy is my friend, Sunakawa Makoto.\Why are we friends, you ask?\I'm not really sure myself.\When is the high school entrance ceremony again?\April 7th, I think?\No, the 6th...\Around there. response:	You lazy bum.
context: This guy is my friend, Sunakawa Makoto.\Why are we friends, you ask?\I'm not really sure myself.\When is the high school entrance ceremony again?\April 7th, I think?\No, the 6th...\Around there.\You lazy bum. response:	Suna's super popular with the girls.
context: Why are we friends, you ask?\I'm not really sure myself.\When is the high school entrance ceremony again?\April 7th, I think?\No, the 6th...\Around there.\You lazy bum.\Suna's super popular with the girls. response:	Sunakawa-kun's so cool.
context: I'm not really sure myself.\When is the high school entrance ceremony again?\April 7th, I think?\No, the 6th...\Around there.\You lazy bum.\Suna's super popular with the girls.\Sunakawa-kun's so cool. response:	I've never seen him laugh.
context: When is the high school entrance ceremony again?\April 7th, I think?\No, the 6th...\Around there.\You lazy bum.\Suna's super popular with the girls.\Sunakawa-kun's so cool.\I've never seen him laugh. response:	Wouldn't that be great?
context: April 7th, I think?\No, the 6th...\Around there.\You lazy bum.\Suna's super popular with the girls.\Sunakawa-kun's so cool.\I've never seen him laugh.\Wouldn't that be great? response:	I bet he only laughs for girls he likes.
context: No, the 6th...\Around there.\You lazy bum.\Suna's super popular with the girls.\Sunakawa-kun's so cool.\I've never seen him laugh.\Wouldn't that be great?\I bet he only laughs for girls he likes. response:	That's so cool.
context: Around there.\You lazy bum.\Suna's super popular with the girls.\Sunakawa-kun's so cool.\I've never seen him laugh.\Wouldn't that be great?\I bet he only laughs for girls he likes.\That's so cool. response:	Isn't it?
context: You lazy bum.\Suna's super popular with the girls.\Sunakawa-kun's so cool.\I've never seen him laugh.\Wouldn't that be great?\I bet he only laughs for girls he likes.\That's so cool.\Isn't it? response:	When we graduated from kindergarten,
context: Suna's super popular with the girls.\Sunakawa-kun's so cool.\I've never seen him laugh.\Wouldn't that be great?\I bet he only laughs for girls he likes.\That's so cool.\Isn't it?\When we graduated from kindergarten, response:	the girl I liked, Yuzuha-chan...
context: Sunakawa-kun's so cool.\I've never seen him laugh.\Wouldn't that be great?\I bet he only laughs for girls he likes.\That's so cool.\Isn't it?\When we graduated from kindergarten,\the girl I liked, Yuzuha-chan... response:	I like you a lot, Sunakawa-kun.
context: I've never seen him laugh.\Wouldn't that be great?\I bet he only laughs for girls he likes.\That's so cool.\Isn't it?\When we graduated from kindergarten,\the girl I liked, Yuzuha-chan...\I like you a lot, Sunakawa-kun. response:	I don't like you.
context: Wouldn't that be great?\I bet he only laughs for girls he likes.\That's so cool.\Isn't it?\When we graduated from kindergarten,\the girl I liked, Yuzuha-chan...\I like you a lot, Sunakawa-kun.\I don't like you. response:	With that, he made her cry.
context: I bet he only laughs for girls he likes.\That's so cool.\Isn't it?\When we graduated from kindergarten,\the girl I liked, Yuzuha-chan...\I like you a lot, Sunakawa-kun.\I don't like you.\With that, he made her cry. response:	Don't make girls cry!
context: That's so cool.\Isn't it?\When we graduated from kindergarten,\the girl I liked, Yuzuha-chan...\I like you a lot, Sunakawa-kun.\I don't like you.\With that, he made her cry.\Don't make girls cry! response:	Sorry.
context: Isn't it?\When we graduated from kindergarten,\the girl I liked, Yuzuha-chan...\I like you a lot, Sunakawa-kun.\I don't like you.\With that, he made her cry.\Don't make girls cry!\Sorry. response:	It's okay.
context: When we graduated from kindergarten,\the girl I liked, Yuzuha-chan...\I like you a lot, Sunakawa-kun.\I don't like you.\With that, he made her cry.\Don't make girls cry!\Sorry.\It's okay. response:	See? I apologized.
context: the girl I liked, Yuzuha-chan...\I like you a lot, Sunakawa-kun.\I don't like you.\With that, he made her cry.\Don't make girls cry!\Sorry.\It's okay.\See? I apologized. response:	It was the same story in elementary school with the girl I liked, Misaki-chan.
context: I like you a lot, Sunakawa-kun.\I don't like you.\With that, he made her cry.\Don't make girls cry!\Sorry.\It's okay.\See? I apologized.\It was the same story in elementary school with the girl I liked, Misaki-chan. response:	I like you.
context: I don't like you.\With that, he made her cry.\Don't make girls cry!\Sorry.\It's okay.\See? I apologized.\It was the same story in elementary school with the girl I liked, Misaki-chan.\I like you. response:	I don't.
context: With that, he made her cry.\Don't make girls cry!\Sorry.\It's okay.\See? I apologized.\It was the same story in elementary school with the girl I liked, Misaki-chan.\I like you.\I don't. response:	And for Kayomi-chan.
context: Don't make girls cry!\Sorry.\It's okay.\See? I apologized.\It was the same story in elementary school with the girl I liked, Misaki-chan.\I like you.\I don't.\And for Kayomi-chan. response:	No.
context: Sorry.\It's okay.\See? I apologized.\It was the same story in elementary school with the girl I liked, Misaki-chan.\I like you.\I don't.\And for Kayomi-chan.\No. response:	And Eriha-chan.
context: It's okay.\See? I apologized.\It was the same story in elementary school with the girl I liked, Misaki-chan.\I like you.\I don't.\And for Kayomi-chan.\No.\And Eriha-chan. response:	Nope.
context: See? I apologized.\It was the same story in elementary school with the girl I liked, Misaki-chan.\I like you.\I don't.\And for Kayomi-chan.\No.\And Eriha-chan.\Nope. response:	And Mao-chan.
context: It was the same story in elementary school with the girl I liked, Misaki-chan.\I like you.\I don't.\And for Kayomi-chan.\No.\And Eriha-chan.\Nope.\And Mao-chan. response:	Dislike.
context: I like you.\I don't.\And for Kayomi-chan.\No.\And Eriha-chan.\Nope.\And Mao-chan.\Dislike. response:	All of them fall for Suna.
context: I don't.\And for Kayomi-chan.\No.\And Eriha-chan.\Nope.\And Mao-chan.\Dislike.\All of them fall for Suna. response:	People often ask why I'm friends with him...
context: And for Kayomi-chan.\No.\And Eriha-chan.\Nope.\And Mao-chan.\Dislike.\All of them fall for Suna.\People often ask why I'm friends with him... response:	We live in the same apartment complex.
context: No.\And Eriha-chan.\Nope.\And Mao-chan.\Dislike.\All of them fall for Suna.\People often ask why I'm friends with him...\We live in the same apartment complex. response:	We're neighbors, and our moms are friends.
context: And Eriha-chan.\Nope.\And Mao-chan.\Dislike.\All of them fall for Suna.\People often ask why I'm friends with him...\We live in the same apartment complex.\We're neighbors, and our moms are friends. response:	As kids, we played together a lot.
context: Nope.\And Mao-chan.\Dislike.\All of them fall for Suna.\People often ask why I'm friends with him...\We live in the same apartment complex.\We're neighbors, and our moms are friends.\As kids, we played together a lot. response:	We're here!
context: And Mao-chan.\Dislike.\All of them fall for Suna.\People often ask why I'm friends with him...\We live in the same apartment complex.\We're neighbors, and our moms are friends.\As kids, we played together a lot.\We're here! response:	Come in! Sorry for the mess!
context: Dislike.\All of them fall for Suna.\People often ask why I'm friends with him...\We live in the same apartment complex.\We're neighbors, and our moms are friends.\As kids, we played together a lot.\We're here!\Come in! Sorry for the mess! response:	Yeah!
context: All of them fall for Suna.\People often ask why I'm friends with him...\We live in the same apartment complex.\We're neighbors, and our moms are friends.\As kids, we played together a lot.\We're here!\Come in! Sorry for the mess!\Yeah! response:	Real men should fight!
context: People often ask why I'm friends with him...\We live in the same apartment complex.\We're neighbors, and our moms are friends.\As kids, we played together a lot.\We're here!\Come in! Sorry for the mess!\Yeah!\Real men should fight! response:	It's time for a face-off, man! How do you wanna do this?
context: We live in the same apartment complex.\We're neighbors, and our moms are friends.\As kids, we played together a lot.\We're here!\Come in! Sorry for the mess!\Yeah!\Real men should fight!\It's time for a face-off, man! How do you wanna do this? response:	Sumo?
context: We're neighbors, and our moms are friends.\As kids, we played together a lot.\We're here!\Come in! Sorry for the mess!\Yeah!\Real men should fight!\It's time for a face-off, man! How do you wanna do this?\Sumo? response:	Sword fight?
context: As kids, we played together a lot.\We're here!\Come in! Sorry for the mess!\Yeah!\Real men should fight!\It's time for a face-off, man! How do you wanna do this?\Sumo?\Sword fight? response:	Card game?
context: We're here!\Come in! Sorry for the mess!\Yeah!\Real men should fight!\It's time for a face-off, man! How do you wanna do this?\Sumo?\Sword fight?\Card game? response:	Yeah!
context: Come in! Sorry for the mess!\Yeah!\Real men should fight!\It's time for a face-off, man! How do you wanna do this?\Sumo?\Sword fight?\Card game?\Yeah! response:	Achooo!
context: Yeah!\Real men should fight!\It's time for a face-off, man! How do you wanna do this?\Sumo?\Sword fight?\Card game?\Yeah!\Achooo! response:	Even though our moms got along,
context: Real men should fight!\It's time for a face-off, man! How do you wanna do this?\Sumo?\Sword fight?\Card game?\Yeah!\Achooo!\Even though our moms got along, response:	Wa-chaaa!
context: It's time for a face-off, man! How do you wanna do this?\Sumo?\Sword fight?\Card game?\Yeah!\Achooo!\Even though our moms got along,\Wa-chaaa! response:	that isn't to say that we did.
context: Sumo?\Sword fight?\Card game?\Yeah!\Achooo!\Even though our moms got along,\Wa-chaaa!\that isn't to say that we did. response:	Kick!
context: Sword fight?\Card game?\Yeah!\Achooo!\Even though our moms got along,\Wa-chaaa!\that isn't to say that we did.\Kick! response:	Video game, then.
context: Card game?\Yeah!\Achooo!\Even though our moms got along,\Wa-chaaa!\that isn't to say that we did.\Kick!\Video game, then. response:	Laser Beam!
context: Yeah!\Achooo!\Even though our moms got along,\Wa-chaaa!\that isn't to say that we did.\Kick!\Video game, then.\Laser Beam! response:	Def not on the same wavelength... Laser Beam
context: Achooo!\Even though our moms got along,\Wa-chaaa!\that isn't to say that we did.\Kick!\Video game, then.\Laser Beam!\Def not on the same wavelength... Laser Beam response:	However...
context: Even though our moms got along,\Wa-chaaa!\that isn't to say that we did.\Kick!\Video game, then.\Laser Beam!\Def not on the same wavelength... Laser Beam\However... response:	Crap!
context: Wa-chaaa!\that isn't to say that we did.\Kick!\Video game, then.\Laser Beam!\Def not on the same wavelength... Laser Beam\However...\Crap! response:	I can't see
context: that isn't to say that we did.\Kick!\Video game, then.\Laser Beam!\Def not on the same wavelength... Laser Beam\However...\Crap!\I can't see response:	Why?
context: Kick!\Video game, then.\Laser Beam!\Def not on the same wavelength... Laser Beam\However...\Crap!\I can't see\Why? response:	Why can I not win?
context: Video game, then.\Laser Beam!\Def not on the same wavelength... Laser Beam\However...\Crap!\I can't see\Why?\Why can I not win? response:	Because you suck?
context: Laser Beam!\Def not on the same wavelength... Laser Beam\However...\Crap!\I can't see\Why?\Why can I not win?\Because you suck? response:	Damn it!
context: Def not on the same wavelength... Laser Beam\However...\Crap!\I can't see\Why?\Why can I not win?\Because you suck?\Damn it! response:	I'm always losing!
context: However...\Crap!\I can't see\Why?\Why can I not win?\Because you suck?\Damn it!\I'm always losing! response:	This sucks!
context: Crap!\I can't see\Why?\Why can I not win?\Because you suck?\Damn it!\I'm always losing!\This sucks! response:	Damn it!
context: I can't see\Why?\Why can I not win?\Because you suck?\Damn it!\I'm always losing!\This sucks!\Damn it! response:	I can't see
context: Why?\Why can I not win?\Because you suck?\Damn it!\I'm always losing!\This sucks!\Damn it!\I can't see response:	We never fought, either.
context: Why can I not win?\Because you suck?\Damn it!\I'm always losing!\This sucks!\Damn it!\I can't see\We never fought, either. response:	Man, another loss!
context: Because you suck?\Damn it!\I'm always losing!\This sucks!\Damn it!\I can't see\We never fought, either.\Man, another loss! response:	I lost again!
context: Damn it!\I'm always losing!\This sucks!\Damn it!\I can't see\We never fought, either.\Man, another loss!\I lost again! response:	And so on and so forth.
context: I'm always losing!\This sucks!\Damn it!\I can't see\We never fought, either.\Man, another loss!\I lost again!\And so on and so forth. response:	Till the present day. I guess.
context: This sucks!\Damn it!\I can't see\We never fought, either.\Man, another loss!\I lost again!\And so on and so forth.\Till the present day. I guess. response:	Look, it's Sunakawa-kun.
context: Damn it!\I can't see\We never fought, either.\Man, another loss!\I lost again!\And so on and so forth.\Till the present day. I guess.\Look, it's Sunakawa-kun. response:	I guess he comes through here!
context: I can't see\We never fought, either.\Man, another loss!\I lost again!\And so on and so forth.\Till the present day. I guess.\Look, it's Sunakawa-kun.\I guess he comes through here! response:	Oh, Sunakawa-senpai...
context: We never fought, either.\Man, another loss!\I lost again!\And so on and so forth.\Till the present day. I guess.\Look, it's Sunakawa-kun.\I guess he comes through here!\Oh, Sunakawa-senpai... response:	Hey, wasn't that guy super hot?
context: Man, another loss!\I lost again!\And so on and so forth.\Till the present day. I guess.\Look, it's Sunakawa-kun.\I guess he comes through here!\Oh, Sunakawa-senpai...\Hey, wasn't that guy super hot? response:	Hey, Suna...
context: I lost again!\And so on and so forth.\Till the present day. I guess.\Look, it's Sunakawa-kun.\I guess he comes through here!\Oh, Sunakawa-senpai...\Hey, wasn't that guy super hot?\Hey, Suna... response:	Yeah?
context: And so on and so forth.\Till the present day. I guess.\Look, it's Sunakawa-kun.\I guess he comes through here!\Oh, Sunakawa-senpai...\Hey, wasn't that guy super hot?\Hey, Suna...\Yeah? response:	Did you hear that there's been a prowler around here lately?
context: Till the present day. I guess.\Look, it's Sunakawa-kun.\I guess he comes through here!\Oh, Sunakawa-senpai...\Hey, wasn't that guy super hot?\Hey, Suna...\Yeah?\Did you hear that there's been a prowler around here lately? response:	I guess.
context: Look, it's Sunakawa-kun.\I guess he comes through here!\Oh, Sunakawa-senpai...\Hey, wasn't that guy super hot?\Hey, Suna...\Yeah?\Did you hear that there's been a prowler around here lately?\I guess. response:	Shisuda Municipal Elementary School
context: I guess he comes through here!\Oh, Sunakawa-senpai...\Hey, wasn't that guy super hot?\Hey, Suna...\Yeah?\Did you hear that there's been a prowler around here lately?\I guess.\Shisuda Municipal Elementary School response:	What? Seriously?
context: Oh, Sunakawa-senpai...\Hey, wasn't that guy super hot?\Hey, Suna...\Yeah?\Did you hear that there's been a prowler around here lately?\I guess.\Shisuda Municipal Elementary School\What? Seriously? response:	Is he after kids?
context: Hey, wasn't that guy super hot?\Hey, Suna...\Yeah?\Did you hear that there's been a prowler around here lately?\I guess.\Shisuda Municipal Elementary School\What? Seriously?\Is he after kids? response:	How dare he?!
context: Hey, Suna...\Yeah?\Did you hear that there's been a prowler around here lately?\I guess.\Shisuda Municipal Elementary School\What? Seriously?\Is he after kids?\How dare he?! response:	I got kind of hung up over it, so yesterday...
context: Yeah?\Did you hear that there's been a prowler around here lately?\I guess.\Shisuda Municipal Elementary School\What? Seriously?\Is he after kids?\How dare he?!\I got kind of hung up over it, so yesterday... response:	Shisuda Municipal Elementary School
context: Did you hear that there's been a prowler around here lately?\I guess.\Shisuda Municipal Elementary School\What? Seriously?\Is he after kids?\How dare he?!\I got kind of hung up over it, so yesterday...\Shisuda Municipal Elementary School response:	Huh? What?
context: I guess.\Shisuda Municipal Elementary School\What? Seriously?\Is he after kids?\How dare he?!\I got kind of hung up over it, so yesterday...\Shisuda Municipal Elementary School\Huh? What? response:	He makes me nervous
