context: You're Old Now response:	A letter?
context: I damn near bust a gut.\Oh, my.\I did not consider the consequences.\My strategy was flawed.\I shall be more careful.\Do not fold Hideyo.\Anyway, thanks for returning it.\It's not what you think. response:	I just find it cute that a high schooler
context: Oh, my.\I did not consider the consequences.\My strategy was flawed.\I shall be more careful.\Do not fold Hideyo.\Anyway, thanks for returning it.\It's not what you think.\I just find it cute that a high schooler response:	is awkwardly but earnestly trying to change.
context: I did not consider the consequences.\My strategy was flawed.\I shall be more careful.\Do not fold Hideyo.\Anyway, thanks for returning it.\It's not what you think.\I just find it cute that a high schooler\is awkwardly but earnestly trying to change. response:	It's like watching a kid sister grow up.
context: My strategy was flawed.\I shall be more careful.\Do not fold Hideyo.\Anyway, thanks for returning it.\It's not what you think.\I just find it cute that a high schooler\is awkwardly but earnestly trying to change.\It's like watching a kid sister grow up. response:	Mornin', Arata.
context: I shall be more careful.\Do not fold Hideyo.\Anyway, thanks for returning it.\It's not what you think.\I just find it cute that a high schooler\is awkwardly but earnestly trying to change.\It's like watching a kid sister grow up.\Mornin', Arata. response:	Morning... Wait, no honorific, huh?
context: Do not fold Hideyo.\Anyway, thanks for returning it.\It's not what you think.\I just find it cute that a high schooler\is awkwardly but earnestly trying to change.\It's like watching a kid sister grow up.\Mornin', Arata.\Morning... Wait, no honorific, huh? response:	Arata's easy to say!
context: Anyway, thanks for returning it.\It's not what you think.\I just find it cute that a high schooler\is awkwardly but earnestly trying to change.\It's like watching a kid sister grow up.\Mornin', Arata.\Morning... Wait, no honorific, huh?\Arata's easy to say! response:	Feel free to call me Kazu-kun.
context: It's not what you think.\I just find it cute that a high schooler\is awkwardly but earnestly trying to change.\It's like watching a kid sister grow up.\Mornin', Arata.\Morning... Wait, no honorific, huh?\Arata's easy to say!\Feel free to call me Kazu-kun. response:	Nah, Oga's fine. Easy to say.
context: I just find it cute that a high schooler\is awkwardly but earnestly trying to change.\It's like watching a kid sister grow up.\Mornin', Arata.\Morning... Wait, no honorific, huh?\Arata's easy to say!\Feel free to call me Kazu-kun.\Nah, Oga's fine. Easy to say. response:	Either way,
context: is awkwardly but earnestly trying to change.\It's like watching a kid sister grow up.\Mornin', Arata.\Morning... Wait, no honorific, huh?\Arata's easy to say!\Feel free to call me Kazu-kun.\Nah, Oga's fine. Easy to say.\Either way, response:	none of them will remember me a year from now.
context: It's like watching a kid sister grow up.\Mornin', Arata.\Morning... Wait, no honorific, huh?\Arata's easy to say!\Feel free to call me Kazu-kun.\Nah, Oga's fine. Easy to say.\Either way,\none of them will remember me a year from now. response:	Wh-Why are your scores getting worse?!
context: Mornin', Arata.\Morning... Wait, no honorific, huh?\Arata's easy to say!\Feel free to call me Kazu-kun.\Nah, Oga's fine. Easy to say.\Either way,\none of them will remember me a year from now.\Wh-Why are your scores getting worse?! response:	We're truly ashamed.
context: Morning... Wait, no honorific, huh?\Arata's easy to say!\Feel free to call me Kazu-kun.\Nah, Oga's fine. Easy to say.\Either way,\none of them will remember me a year from now.\Wh-Why are your scores getting worse?!\We're truly ashamed. response:	Arata's scores don't surprise me,
context: Arata's easy to say!\Feel free to call me Kazu-kun.\Nah, Oga's fine. Easy to say.\Either way,\none of them will remember me a year from now.\Wh-Why are your scores getting worse?!\We're truly ashamed.\Arata's scores don't surprise me, response:	but I thought An-chan would at least pass one.
context: Feel free to call me Kazu-kun.\Nah, Oga's fine. Easy to say.\Either way,\none of them will remember me a year from now.\Wh-Why are your scores getting worse?!\We're truly ashamed.\Arata's scores don't surprise me,\but I thought An-chan would at least pass one. response:	Hey, why don't my scores surprise you?
context: Nah, Oga's fine. Easy to say.\Either way,\none of them will remember me a year from now.\Wh-Why are your scores getting worse?!\We're truly ashamed.\Arata's scores don't surprise me,\but I thought An-chan would at least pass one.\Hey, why don't my scores surprise you? response:	Because you always gossip when we try to study!
context: Either way,\none of them will remember me a year from now.\Wh-Why are your scores getting worse?!\We're truly ashamed.\Arata's scores don't surprise me,\but I thought An-chan would at least pass one.\Hey, why don't my scores surprise you?\Because you always gossip when we try to study! response:	Uh... point...
context: none of them will remember me a year from now.\Wh-Why are your scores getting worse?!\We're truly ashamed.\Arata's scores don't surprise me,\but I thought An-chan would at least pass one.\Hey, why don't my scores surprise you?\Because you always gossip when we try to study!\Uh... point... response:	Got your hands full, Oga?
context: Wh-Why are your scores getting worse?!\We're truly ashamed.\Arata's scores don't surprise me,\but I thought An-chan would at least pass one.\Hey, why don't my scores surprise you?\Because you always gossip when we try to study!\Uh... point...\Got your hands full, Oga? response:	Help, Kariu!
context: We're truly ashamed.\Arata's scores don't surprise me,\but I thought An-chan would at least pass one.\Hey, why don't my scores surprise you?\Because you always gossip when we try to study!\Uh... point...\Got your hands full, Oga?\Help, Kariu! response:	They're the worst! They keep derailing the conversation!
context: Arata's scores don't surprise me,\but I thought An-chan would at least pass one.\Hey, why don't my scores surprise you?\Because you always gossip when we try to study!\Uh... point...\Got your hands full, Oga?\Help, Kariu!\They're the worst! They keep derailing the conversation! response:	Like how?
context: but I thought An-chan would at least pass one.\Hey, why don't my scores surprise you?\Because you always gossip when we try to study!\Uh... point...\Got your hands full, Oga?\Help, Kariu!\They're the worst! They keep derailing the conversation!\Like how? response:	Like asking if you and I are go
context: Hey, why don't my scores surprise you?\Because you always gossip when we try to study!\Uh... point...\Got your hands full, Oga?\Help, Kariu!\They're the worst! They keep derailing the conversation!\Like how?\Like asking if you and I are go response:	What the hell are you trying to say?
context: Because you always gossip when we try to study!\Uh... point...\Got your hands full, Oga?\Help, Kariu!\They're the worst! They keep derailing the conversation!\Like how?\Like asking if you and I are go\What the hell are you trying to say? response:	Huh? I'm telling her about how you asked if me and her were going out.
context: Uh... point...\Got your hands full, Oga?\Help, Kariu!\They're the worst! They keep derailing the conversation!\Like how?\Like asking if you and I are go\What the hell are you trying to say?\Huh? I'm telling her about how you asked if me and her were going out. response:	And why would you tell her that?
context: Got your hands full, Oga?\Help, Kariu!\They're the worst! They keep derailing the conversation!\Like how?\Like asking if you and I are go\What the hell are you trying to say?\Huh? I'm telling her about how you asked if me and her were going out.\And why would you tell her that? response:	Are you stupid?!
context: Help, Kariu!\They're the worst! They keep derailing the conversation!\Like how?\Like asking if you and I are go\What the hell are you trying to say?\Huh? I'm telling her about how you asked if me and her were going out.\And why would you tell her that?\Are you stupid?! response:	W-Wow, stupid?
context: They're the worst! They keep derailing the conversation!\Like how?\Like asking if you and I are go\What the hell are you trying to say?\Huh? I'm telling her about how you asked if me and her were going out.\And why would you tell her that?\Are you stupid?!\W-Wow, stupid? response:	I just thought you two should get an earful from her, too.
context: Like how?\Like asking if you and I are go\What the hell are you trying to say?\Huh? I'm telling her about how you asked if me and her were going out.\And why would you tell her that?\Are you stupid?!\W-Wow, stupid?\I just thought you two should get an earful from her, too. response:	You're the one she'd be mad at, not us.
context: Like asking if you and I are go\What the hell are you trying to say?\Huh? I'm telling her about how you asked if me and her were going out.\And why would you tell her that?\Are you stupid?!\W-Wow, stupid?\I just thought you two should get an earful from her, too.\You're the one she'd be mad at, not us. response:	Huh? Why?
context: What the hell are you trying to say?\Huh? I'm telling her about how you asked if me and her were going out.\And why would you tell her that?\Are you stupid?!\W-Wow, stupid?\I just thought you two should get an earful from her, too.\You're the one she'd be mad at, not us.\Huh? Why? response:	He's hopeless.
context: Huh? I'm telling her about how you asked if me and her were going out.\And why would you tell her that?\Are you stupid?!\W-Wow, stupid?\I just thought you two should get an earful from her, too.\You're the one she'd be mad at, not us.\Huh? Why?\He's hopeless. response:	Huh?!
context: And why would you tell her that?\Are you stupid?!\W-Wow, stupid?\I just thought you two should get an earful from her, too.\You're the one she'd be mad at, not us.\Huh? Why?\He's hopeless.\Huh?! response:	Oga-san.
context: Are you stupid?!\W-Wow, stupid?\I just thought you two should get an earful from her, too.\You're the one she'd be mad at, not us.\Huh? Why?\He's hopeless.\Huh?!\Oga-san. response:	Sensei asked both class reps to come to the staff room.
context: W-Wow, stupid?\I just thought you two should get an earful from her, too.\You're the one she'd be mad at, not us.\Huh? Why?\He's hopeless.\Huh?!\Oga-san.\Sensei asked both class reps to come to the staff room. response:	R-Really?
context: I just thought you two should get an earful from her, too.\You're the one she'd be mad at, not us.\Huh? Why?\He's hopeless.\Huh?!\Oga-san.\Sensei asked both class reps to come to the staff room.\R-Really? response:	Sorry, I didn't hear her.
context: You're the one she'd be mad at, not us.\Huh? Why?\He's hopeless.\Huh?!\Oga-san.\Sensei asked both class reps to come to the staff room.\R-Really?\Sorry, I didn't hear her. response:	So you really are dumb.
context: Huh? Why?\He's hopeless.\Huh?!\Oga-san.\Sensei asked both class reps to come to the staff room.\R-Really?\Sorry, I didn't hear her.\So you really are dumb. response:	Dumber than I'd imagined, too.
context: He's hopeless.\Huh?!\Oga-san.\Sensei asked both class reps to come to the staff room.\R-Really?\Sorry, I didn't hear her.\So you really are dumb.\Dumber than I'd imagined, too. response:	Ouch!
context: Huh?!\Oga-san.\Sensei asked both class reps to come to the staff room.\R-Really?\Sorry, I didn't hear her.\So you really are dumb.\Dumber than I'd imagined, too.\Ouch! response:	I was better when I was actually in school!
context: Oga-san.\Sensei asked both class reps to come to the staff room.\R-Really?\Sorry, I didn't hear her.\So you really are dumb.\Dumber than I'd imagined, too.\Ouch!\I was better when I was actually in school! response:	Actually, I can do better than this.
context: Sensei asked both class reps to come to the staff room.\R-Really?\Sorry, I didn't hear her.\So you really are dumb.\Dumber than I'd imagined, too.\Ouch!\I was better when I was actually in school!\Actually, I can do better than this. response:	Then do it!
context: R-Really?\Sorry, I didn't hear her.\So you really are dumb.\Dumber than I'd imagined, too.\Ouch!\I was better when I was actually in school!\Actually, I can do better than this.\Then do it! response:	Shut up!
context: Sorry, I didn't hear her.\So you really are dumb.\Dumber than I'd imagined, too.\Ouch!\I was better when I was actually in school!\Actually, I can do better than this.\Then do it!\Shut up! response:	I just... haven't put my mind to it yet.
context: So you really are dumb.\Dumber than I'd imagined, too.\Ouch!\I was better when I was actually in school!\Actually, I can do better than this.\Then do it!\Shut up!\I just... haven't put my mind to it yet. response:	Would that make a difference?
context: Dumber than I'd imagined, too.\Ouch!\I was better when I was actually in school!\Actually, I can do better than this.\Then do it!\Shut up!\I just... haven't put my mind to it yet.\Would that make a difference? response:	Right? Makes you sick, doesn't it?
context: Ouch!\I was better when I was actually in school!\Actually, I can do better than this.\Then do it!\Shut up!\I just... haven't put my mind to it yet.\Would that make a difference?\Right? Makes you sick, doesn't it? response:	I wouldn't go that far.
context: I was better when I was actually in school!\Actually, I can do better than this.\Then do it!\Shut up!\I just... haven't put my mind to it yet.\Would that make a difference?\Right? Makes you sick, doesn't it?\I wouldn't go that far. response:	Oh, really?
context: Actually, I can do better than this.\Then do it!\Shut up!\I just... haven't put my mind to it yet.\Would that make a difference?\Right? Makes you sick, doesn't it?\I wouldn't go that far.\Oh, really? response:	Oga!
context: Then do it!\Shut up!\I just... haven't put my mind to it yet.\Would that make a difference?\Right? Makes you sick, doesn't it?\I wouldn't go that far.\Oh, really?\Oga! response:	I am trying, you know!
context: Shut up!\I just... haven't put my mind to it yet.\Would that make a difference?\Right? Makes you sick, doesn't it?\I wouldn't go that far.\Oh, really?\Oga!\I am trying, you know! response:	Then try a bit harder.
context: I just... haven't put my mind to it yet.\Would that make a difference?\Right? Makes you sick, doesn't it?\I wouldn't go that far.\Oh, really?\Oga!\I am trying, you know!\Then try a bit harder. response:	Yeah! So will I!
context: Would that make a difference?\Right? Makes you sick, doesn't it?\I wouldn't go that far.\Oh, really?\Oga!\I am trying, you know!\Then try a bit harder.\Yeah! So will I! response:	Ah, youth.
context: Right? Makes you sick, doesn't it?\I wouldn't go that far.\Oh, really?\Oga!\I am trying, you know!\Then try a bit harder.\Yeah! So will I!\Ah, youth. response:	But with math, they say that you should put something down even if you have no idea.
context: I wouldn't go that far.\Oh, really?\Oga!\I am trying, you know!\Then try a bit harder.\Yeah! So will I!\Ah, youth.\But with math, they say that you should put something down even if you have no idea. response:	Shall we go, Hishiro-san?
context: Oh, really?\Oga!\I am trying, you know!\Then try a bit harder.\Yeah! So will I!\Ah, youth.\But with math, they say that you should put something down even if you have no idea.\Shall we go, Hishiro-san? response:	Okay, Oga-san.
context: Oga!\I am trying, you know!\Then try a bit harder.\Yeah! So will I!\Ah, youth.\But with math, they say that you should put something down even if you have no idea.\Shall we go, Hishiro-san?\Okay, Oga-san. response:	That's too formal!
context: I am trying, you know!\Then try a bit harder.\Yeah! So will I!\Ah, youth.\But with math, they say that you should put something down even if you have no idea.\Shall we go, Hishiro-san?\Okay, Oga-san.\That's too formal! response:	Just call me Kazu-kun!
context: Then try a bit harder.\Yeah! So will I!\Ah, youth.\But with math, they say that you should put something down even if you have no idea.\Shall we go, Hishiro-san?\Okay, Oga-san.\That's too formal!\Just call me Kazu-kun! response:	Huh?
context: Yeah! So will I!\Ah, youth.\But with math, they say that you should put something down even if you have no idea.\Shall we go, Hishiro-san?\Okay, Oga-san.\That's too formal!\Just call me Kazu-kun!\Huh? response:	My given name's Kazuomi.
context: Ah, youth.\But with math, they say that you should put something down even if you have no idea.\Shall we go, Hishiro-san?\Okay, Oga-san.\That's too formal!\Just call me Kazu-kun!\Huh?\My given name's Kazuomi. response:	Then...
context: But with math, they say that you should put something down even if you have no idea.\Shall we go, Hishiro-san?\Okay, Oga-san.\That's too formal!\Just call me Kazu-kun!\Huh?\My given name's Kazuomi.\Then... response:	Kazu-kun.
context: Shall we go, Hishiro-san?\Okay, Oga-san.\That's too formal!\Just call me Kazu-kun!\Huh?\My given name's Kazuomi.\Then...\Kazu-kun. response:	Wow! You're the first person to ever call me that!
context: Okay, Oga-san.\That's too formal!\Just call me Kazu-kun!\Huh?\My given name's Kazuomi.\Then...\Kazu-kun.\Wow! You're the first person to ever call me that! response:	I am?
context: That's too formal!\Just call me Kazu-kun!\Huh?\My given name's Kazuomi.\Then...\Kazu-kun.\Wow! You're the first person to ever call me that!\I am? response:	Everyone says Oga is easier!
context: Just call me Kazu-kun!\Huh?\My given name's Kazuomi.\Then...\Kazu-kun.\Wow! You're the first person to ever call me that!\I am?\Everyone says Oga is easier! response:	Hurray!
context: Huh?\My given name's Kazuomi.\Then...\Kazu-kun.\Wow! You're the first person to ever call me that!\I am?\Everyone says Oga is easier!\Hurray! response:	They might have a point.
context: My given name's Kazuomi.\Then...\Kazu-kun.\Wow! You're the first person to ever call me that!\I am?\Everyone says Oga is easier!\Hurray!\They might have a point. response:	I dunno, maybe try smiling a little more?
context: Then...\Kazu-kun.\Wow! You're the first person to ever call me that!\I am?\Everyone says Oga is easier!\Hurray!\They might have a point.\I dunno, maybe try smiling a little more? response:	I've got to try harder to make friends.
context: Kazu-kun.\Wow! You're the first person to ever call me that!\I am?\Everyone says Oga is easier!\Hurray!\They might have a point.\I dunno, maybe try smiling a little more?\I've got to try harder to make friends. response:	Please wait, Kazu-kun.
context: Wow! You're the first person to ever call me that!\I am?\Everyone says Oga is easier!\Hurray!\They might have a point.\I dunno, maybe try smiling a little more?\I've got to try harder to make friends.\Please wait, Kazu-kun. response:	You've got it wrong, Kariu. She was trying for a friendly smile.
context: I am?\Everyone says Oga is easier!\Hurray!\They might have a point.\I dunno, maybe try smiling a little more?\I've got to try harder to make friends.\Please wait, Kazu-kun.\You've got it wrong, Kariu. She was trying for a friendly smile. response:	She didn't mean
context: Everyone says Oga is easier!\Hurray!\They might have a point.\I dunno, maybe try smiling a little more?\I've got to try harder to make friends.\Please wait, Kazu-kun.\You've got it wrong, Kariu. She was trying for a friendly smile.\She didn't mean response:	Nobody's that bad at smiling!
context: Hurray!\They might have a point.\I dunno, maybe try smiling a little more?\I've got to try harder to make friends.\Please wait, Kazu-kun.\You've got it wrong, Kariu. She was trying for a friendly smile.\She didn't mean\Nobody's that bad at smiling! response:	She's clearly making fun of me!
context: They might have a point.\I dunno, maybe try smiling a little more?\I've got to try harder to make friends.\Please wait, Kazu-kun.\You've got it wrong, Kariu. She was trying for a friendly smile.\She didn't mean\Nobody's that bad at smiling!\She's clearly making fun of me! response:	Yeah, I totally know how you feel, but I mean it.
context: I dunno, maybe try smiling a little more?\I've got to try harder to make friends.\Please wait, Kazu-kun.\You've got it wrong, Kariu. She was trying for a friendly smile.\She didn't mean\Nobody's that bad at smiling!\She's clearly making fun of me!\Yeah, I totally know how you feel, but I mean it. response:	Arata-kun, are you friends with Hishiro-san?
context: I've got to try harder to make friends.\Please wait, Kazu-kun.\You've got it wrong, Kariu. She was trying for a friendly smile.\She didn't mean\Nobody's that bad at smiling!\She's clearly making fun of me!\Yeah, I totally know how you feel, but I mean it.\Arata-kun, are you friends with Hishiro-san? response:	Nah, we just talk sometimes.
context: Please wait, Kazu-kun.\You've got it wrong, Kariu. She was trying for a friendly smile.\She didn't mean\Nobody's that bad at smiling!\She's clearly making fun of me!\Yeah, I totally know how you feel, but I mean it.\Arata-kun, are you friends with Hishiro-san?\Nah, we just talk sometimes. response:	And you're still covering for her? You're so nice.
context: You've got it wrong, Kariu. She was trying for a friendly smile.\She didn't mean\Nobody's that bad at smiling!\She's clearly making fun of me!\Yeah, I totally know how you feel, but I mean it.\Arata-kun, are you friends with Hishiro-san?\Nah, we just talk sometimes.\And you're still covering for her? You're so nice. response:	Oh, nah...
context: She didn't mean\Nobody's that bad at smiling!\She's clearly making fun of me!\Yeah, I totally know how you feel, but I mean it.\Arata-kun, are you friends with Hishiro-san?\Nah, we just talk sometimes.\And you're still covering for her? You're so nice.\Oh, nah... response:	Come to think of it, the other day at lunch, you loaned her...
context: Nobody's that bad at smiling!\She's clearly making fun of me!\Yeah, I totally know how you feel, but I mean it.\Arata-kun, are you friends with Hishiro-san?\Nah, we just talk sometimes.\And you're still covering for her? You're so nice.\Oh, nah...\Come to think of it, the other day at lunch, you loaned her... response:	Don't forget to write your name on the record sheet.
context: She's clearly making fun of me!\Yeah, I totally know how you feel, but I mean it.\Arata-kun, are you friends with Hishiro-san?\Nah, we just talk sometimes.\And you're still covering for her? You're so nice.\Oh, nah...\Come to think of it, the other day at lunch, you loaned her...\Don't forget to write your name on the record sheet. response:	National Fitness Test Averages
context: Yeah, I totally know how you feel, but I mean it.\Arata-kun, are you friends with Hishiro-san?\Nah, we just talk sometimes.\And you're still covering for her? You're so nice.\Oh, nah...\Come to think of it, the other day at lunch, you loaned her...\Don't forget to write your name on the record sheet.\National Fitness Test Averages response:	When did I last exercise?
context: Arata-kun, are you friends with Hishiro-san?\Nah, we just talk sometimes.\And you're still covering for her? You're so nice.\Oh, nah...\Come to think of it, the other day at lunch, you loaned her...\Don't forget to write your name on the record sheet.\National Fitness Test Averages\When did I last exercise? response:	Crap.
context: Nah, we just talk sometimes.\And you're still covering for her? You're so nice.\Oh, nah...\Come to think of it, the other day at lunch, you loaned her...\Don't forget to write your name on the record sheet.\National Fitness Test Averages\When did I last exercise?\Crap. response:	Girls start with the 50m dash.
context: And you're still covering for her? You're so nice.\Oh, nah...\Come to think of it, the other day at lunch, you loaned her...\Don't forget to write your name on the record sheet.\National Fitness Test Averages\When did I last exercise?\Crap.\Girls start with the 50m dash. response:	Guys start with the handball toss.
context: Oh, nah...\Come to think of it, the other day at lunch, you loaned her...\Don't forget to write your name on the record sheet.\National Fitness Test Averages\When did I last exercise?\Crap.\Girls start with the 50m dash.\Guys start with the handball toss. response:	Amatsu-sensei, could you not stand so close?
context: Come to think of it, the other day at lunch, you loaned her...\Don't forget to write your name on the record sheet.\National Fitness Test Averages\When did I last exercise?\Crap.\Girls start with the 50m dash.\Guys start with the handball toss.\Amatsu-sensei, could you not stand so close? response:	If we shout over each other, nobody will hear us.
context: Don't forget to write your name on the record sheet.\National Fitness Test Averages\When did I last exercise?\Crap.\Girls start with the 50m dash.\Guys start with the handball toss.\Amatsu-sensei, could you not stand so close?\If we shout over each other, nobody will hear us. response:	Usa-sensei, your voice is stupid loud, so I'm sure it'll be fine.
context: National Fitness Test Averages\When did I last exercise?\Crap.\Girls start with the 50m dash.\Guys start with the handball toss.\Amatsu-sensei, could you not stand so close?\If we shout over each other, nobody will hear us.\Usa-sensei, your voice is stupid loud, so I'm sure it'll be fine. response:	If you've got a problem, move yourself.
context: When did I last exercise?\Crap.\Girls start with the 50m dash.\Guys start with the handball toss.\Amatsu-sensei, could you not stand so close?\If we shout over each other, nobody will hear us.\Usa-sensei, your voice is stupid loud, so I'm sure it'll be fine.\If you've got a problem, move yourself. response:	Class 4's homeroom teacher, Usa-sensei, was Amatsu-sensei's senior in college.
context: Crap.\Girls start with the 50m dash.\Guys start with the handball toss.\Amatsu-sensei, could you not stand so close?\If we shout over each other, nobody will hear us.\Usa-sensei, your voice is stupid loud, so I'm sure it'll be fine.\If you've got a problem, move yourself.\Class 4's homeroom teacher, Usa-sensei, was Amatsu-sensei's senior in college. response:	Oh? They're pretty close, huh?
context: Girls start with the 50m dash.\Guys start with the handball toss.\Amatsu-sensei, could you not stand so close?\If we shout over each other, nobody will hear us.\Usa-sensei, your voice is stupid loud, so I'm sure it'll be fine.\If you've got a problem, move yourself.\Class 4's homeroom teacher, Usa-sensei, was Amatsu-sensei's senior in college.\Oh? They're pretty close, huh? response:	Huh? How so?
context: Guys start with the handball toss.\Amatsu-sensei, could you not stand so close?\If we shout over each other, nobody will hear us.\Usa-sensei, your voice is stupid loud, so I'm sure it'll be fine.\If you've got a problem, move yourself.\Class 4's homeroom teacher, Usa-sensei, was Amatsu-sensei's senior in college.\Oh? They're pretty close, huh?\Huh? How so? response:	Oga, you really suck at this stuff.
