context: I'd been thinking for a while... response:	Is something that will disappear the same as something that never existed?
context: sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story response:	niya niya waratte iru
context: katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru response:	fugainaiya iya
context: hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya response:	sugari nagara oikakete mitemo ashige ni saretemo
context: dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo response:	aita ana wo fusagou
context: tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou response:	chigai nai ya iya
context: kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya response:	fugainai ya iya
context: aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya response:	tsurai naa iya iya
context: tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya response:	My hometown lay buried in snow the morning I was born.
context: niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born. response:	I looked up at the blue sky with my tiny hands.
context: fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands. response:	The face of the girl next door that I've known so well...
context: sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well... response:	It's as familiar as the graduation canon.
context: aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon. response:	Thriving in solitude has been mistaken as my life story.
context: chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story. response:	I want to blame it on someone.
context: fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone. response:	It's so difficult. No, I hate it.
context: tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it. response:	Tears and sorrow caused me to miss my chance.
context: My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance. response:	Autumn passed, winter came again, and I became a year older.
context: I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older. response:	You think you've run far away, but your story never ends.
context: The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends. response:	And yet, you're smirking.
context: It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking. response:	It's so cowardly. I hate it.
context: Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it. response:	Even if I have to cling to you, chase after you, and get kicked down...
context: I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down... response:	It's so cowardly. No...
context: It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No... response:	It's so difficult. I hate it. I hate it.
context: Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it. response:	Here you go.
context: Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Here you go. response:	Sorry...
context: You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Here you go.\Sorry... response:	U-Um, Sensei...
context: And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Here you go.\Sorry...\U-Um, Sensei... response:	W-W-What you said earlier...
context: It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Here you go.\Sorry...\U-Um, Sensei...\W-W-What you said earlier... response:	Well, it's just as you heard.
context: Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Here you go.\Sorry...\U-Um, Sensei...\W-W-What you said earlier...\Well, it's just as you heard. response:	Yeah, I love her!
context: It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Here you go.\Sorry...\U-Um, Sensei...\W-W-What you said earlier...\Well, it's just as you heard.\Yeah, I love her! response:	I love her very much!
context: It's so difficult. I hate it. I hate it.\Here you go.\Sorry...\U-Um, Sensei...\W-W-What you said earlier...\Well, it's just as you heard.\Yeah, I love her!\I love her very much! response:	U-Um, s-s-since when...?
context: Here you go.\Sorry...\U-Um, Sensei...\W-W-What you said earlier...\Well, it's just as you heard.\Yeah, I love her!\I love her very much!\U-Um, s-s-since when...? response:	When?
context: Sorry...\U-Um, Sensei...\W-W-What you said earlier...\Well, it's just as you heard.\Yeah, I love her!\I love her very much!\U-Um, s-s-since when...?\When? response:	When, you say?
context: U-Um, Sensei...\W-W-What you said earlier...\Well, it's just as you heard.\Yeah, I love her!\I love her very much!\U-Um, s-s-since when...?\When?\When, you say? response:	Um... I can explain it if you want me to, but take it easy on me.
context: W-W-What you said earlier...\Well, it's just as you heard.\Yeah, I love her!\I love her very much!\U-Um, s-s-since when...?\When?\When, you say?\Um... I can explain it if you want me to, but take it easy on me. response:	W-Why?
context: Well, it's just as you heard.\Yeah, I love her!\I love her very much!\U-Um, s-s-since when...?\When?\When, you say?\Um... I can explain it if you want me to, but take it easy on me.\W-Why? response:	Well, um... you see...
context: Yeah, I love her!\I love her very much!\U-Um, s-s-since when...?\When?\When, you say?\Um... I can explain it if you want me to, but take it easy on me.\W-Why?\Well, um... you see... response:	It's embarrassing!
context: I love her very much!\U-Um, s-s-since when...?\When?\When, you say?\Um... I can explain it if you want me to, but take it easy on me.\W-Why?\Well, um... you see...\It's embarrassing! response:	U-Um, have you t-t-t-told Hagu-chan -
context: U-Um, s-s-since when...?\When?\When, you say?\Um... I can explain it if you want me to, but take it easy on me.\W-Why?\Well, um... you see...\It's embarrassing!\U-Um, have you t-t-t-told Hagu-chan - response:	I haven't told her.
context: When?\When, you say?\Um... I can explain it if you want me to, but take it easy on me.\W-Why?\Well, um... you see...\It's embarrassing!\U-Um, have you t-t-t-told Hagu-chan -\I haven't told her. response:	I think she knows already.
context: When, you say?\Um... I can explain it if you want me to, but take it easy on me.\W-Why?\Well, um... you see...\It's embarrassing!\U-Um, have you t-t-t-told Hagu-chan -\I haven't told her.\I think she knows already. response:	Or maybe she doesn't.
context: Um... I can explain it if you want me to, but take it easy on me.\W-Why?\Well, um... you see...\It's embarrassing!\U-Um, have you t-t-t-told Hagu-chan -\I haven't told her.\I think she knows already.\Or maybe she doesn't. response:	W-W-W-W-W...
context: W-Why?\Well, um... you see...\It's embarrassing!\U-Um, have you t-t-t-told Hagu-chan -\I haven't told her.\I think she knows already.\Or maybe she doesn't.\W-W-W-W-W... response:	When are you telling her?
context: Well, um... you see...\It's embarrassing!\U-Um, have you t-t-t-told Hagu-chan -\I haven't told her.\I think she knows already.\Or maybe she doesn't.\W-W-W-W-W...\When are you telling her? response:	Yamada-san, will you speak normally?
context: It's embarrassing!\U-Um, have you t-t-t-told Hagu-chan -\I haven't told her.\I think she knows already.\Or maybe she doesn't.\W-W-W-W-W...\When are you telling her?\Yamada-san, will you speak normally? response:	I-I'm in shock...
context: U-Um, have you t-t-t-told Hagu-chan -\I haven't told her.\I think she knows already.\Or maybe she doesn't.\W-W-W-W-W...\When are you telling her?\Yamada-san, will you speak normally?\I-I'm in shock... response:	I mean, I never noticed anything like that.
context: I haven't told her.\I think she knows already.\Or maybe she doesn't.\W-W-W-W-W...\When are you telling her?\Yamada-san, will you speak normally?\I-I'm in shock...\I mean, I never noticed anything like that. response:	But now that I think about it, Sensei is a man, despite his age...
context: I think she knows already.\Or maybe she doesn't.\W-W-W-W-W...\When are you telling her?\Yamada-san, will you speak normally?\I-I'm in shock...\I mean, I never noticed anything like that.\But now that I think about it, Sensei is a man, despite his age... response:	A man, despite his age.
context: Or maybe she doesn't.\W-W-W-W-W...\When are you telling her?\Yamada-san, will you speak normally?\I-I'm in shock...\I mean, I never noticed anything like that.\But now that I think about it, Sensei is a man, despite his age...\A man, despite his age. response:	Well, I hadn't thought about that at all.
context: W-W-W-W-W...\When are you telling her?\Yamada-san, will you speak normally?\I-I'm in shock...\I mean, I never noticed anything like that.\But now that I think about it, Sensei is a man, despite his age...\A man, despite his age.\Well, I hadn't thought about that at all. response:	Or rather, I thought you were completely out of the equation...
context: When are you telling her?\Yamada-san, will you speak normally?\I-I'm in shock...\I mean, I never noticed anything like that.\But now that I think about it, Sensei is a man, despite his age...\A man, despite his age.\Well, I hadn't thought about that at all.\Or rather, I thought you were completely out of the equation... response:	Essentially out of the equation.
context: Yamada-san, will you speak normally?\I-I'm in shock...\I mean, I never noticed anything like that.\But now that I think about it, Sensei is a man, despite his age...\A man, despite his age.\Well, I hadn't thought about that at all.\Or rather, I thought you were completely out of the equation...\Essentially out of the equation. response:	Hey, Yamada-san, your thoughts are flowing right out.
context: I-I'm in shock...\I mean, I never noticed anything like that.\But now that I think about it, Sensei is a man, despite his age...\A man, despite his age.\Well, I hadn't thought about that at all.\Or rather, I thought you were completely out of the equation...\Essentially out of the equation.\Hey, Yamada-san, your thoughts are flowing right out. response:	Oh, right! I need to go to Hagu-chan and t-t-t-t-t-...
context: I mean, I never noticed anything like that.\But now that I think about it, Sensei is a man, despite his age...\A man, despite his age.\Well, I hadn't thought about that at all.\Or rather, I thought you were completely out of the equation...\Essentially out of the equation.\Hey, Yamada-san, your thoughts are flowing right out.\Oh, right! I need to go to Hagu-chan and t-t-t-t-t-... response:	I need to go tell her.
context: But now that I think about it, Sensei is a man, despite his age...\A man, despite his age.\Well, I hadn't thought about that at all.\Or rather, I thought you were completely out of the equation...\Essentially out of the equation.\Hey, Yamada-san, your thoughts are flowing right out.\Oh, right! I need to go to Hagu-chan and t-t-t-t-t-...\I need to go tell her. response:	Hold on a second, damn it!
context: A man, despite his age.\Well, I hadn't thought about that at all.\Or rather, I thought you were completely out of the equation...\Essentially out of the equation.\Hey, Yamada-san, your thoughts are flowing right out.\Oh, right! I need to go to Hagu-chan and t-t-t-t-t-...\I need to go tell her.\Hold on a second, damn it! response:	Why do you have to go and tell her?!
context: Well, I hadn't thought about that at all.\Or rather, I thought you were completely out of the equation...\Essentially out of the equation.\Hey, Yamada-san, your thoughts are flowing right out.\Oh, right! I need to go to Hagu-chan and t-t-t-t-t-...\I need to go tell her.\Hold on a second, damn it!\Why do you have to go and tell her?! response:	Yamada-san, please calm down!
context: Or rather, I thought you were completely out of the equation...\Essentially out of the equation.\Hey, Yamada-san, your thoughts are flowing right out.\Oh, right! I need to go to Hagu-chan and t-t-t-t-t-...\I need to go tell her.\Hold on a second, damn it!\Why do you have to go and tell her?!\Yamada-san, please calm down! response:	M-Mayama!
context: Essentially out of the equation.\Hey, Yamada-san, your thoughts are flowing right out.\Oh, right! I need to go to Hagu-chan and t-t-t-t-t-...\I need to go tell her.\Hold on a second, damn it!\Why do you have to go and tell her?!\Yamada-san, please calm down!\M-Mayama! response:	But why? What about Spain?
context: Hey, Yamada-san, your thoughts are flowing right out.\Oh, right! I need to go to Hagu-chan and t-t-t-t-t-...\I need to go tell her.\Hold on a second, damn it!\Why do you have to go and tell her?!\Yamada-san, please calm down!\M-Mayama!\But why? What about Spain? response:	S-Sensei!
context: Oh, right! I need to go to Hagu-chan and t-t-t-t-t-...\I need to go tell her.\Hold on a second, damn it!\Why do you have to go and tell her?!\Yamada-san, please calm down!\M-Mayama!\But why? What about Spain?\S-Sensei! response:	W-W-W-What?
context: I need to go tell her.\Hold on a second, damn it!\Why do you have to go and tell her?!\Yamada-san, please calm down!\M-Mayama!\But why? What about Spain?\S-Sensei!\W-W-W-What? response:	I just heard from Professor Tange!
context: Hold on a second, damn it!\Why do you have to go and tell her?!\Yamada-san, please calm down!\M-Mayama!\But why? What about Spain?\S-Sensei!\W-W-W-What?\I just heard from Professor Tange! response:	Sensei, I'm so happy for you right now!
context: Why do you have to go and tell her?!\Yamada-san, please calm down!\M-Mayama!\But why? What about Spain?\S-Sensei!\W-W-W-What?\I just heard from Professor Tange!\Sensei, I'm so happy for you right now! response:	Well... I'm suffocating...
context: Yamada-san, please calm down!\M-Mayama!\But why? What about Spain?\S-Sensei!\W-W-W-What?\I just heard from Professor Tange!\Sensei, I'm so happy for you right now!\Well... I'm suffocating... response:	But will you be all right, Sensei?
context: M-Mayama!\But why? What about Spain?\S-Sensei!\W-W-W-What?\I just heard from Professor Tange!\Sensei, I'm so happy for you right now!\Well... I'm suffocating...\But will you be all right, Sensei? response:	Taking a sabbatical all of a sudden like this... What about your living expenses?
context: But why? What about Spain?\S-Sensei!\W-W-W-What?\I just heard from Professor Tange!\Sensei, I'm so happy for you right now!\Well... I'm suffocating...\But will you be all right, Sensei?\Taking a sabbatical all of a sudden like this... What about your living expenses? response:	I never thought I'd see the day when you would worry about me.
context: S-Sensei!\W-W-W-What?\I just heard from Professor Tange!\Sensei, I'm so happy for you right now!\Well... I'm suffocating...\But will you be all right, Sensei?\Taking a sabbatical all of a sudden like this... What about your living expenses?\I never thought I'd see the day when you would worry about me. response:	I'll be fine.
context: W-W-W-What?\I just heard from Professor Tange!\Sensei, I'm so happy for you right now!\Well... I'm suffocating...\But will you be all right, Sensei?\Taking a sabbatical all of a sudden like this... What about your living expenses?\I never thought I'd see the day when you would worry about me.\I'll be fine. response:	I have various projects to do for some publishers, thanks to my work with Tokudaiji-sensei.
context: I just heard from Professor Tange!\Sensei, I'm so happy for you right now!\Well... I'm suffocating...\But will you be all right, Sensei?\Taking a sabbatical all of a sudden like this... What about your living expenses?\I never thought I'd see the day when you would worry about me.\I'll be fine.\I have various projects to do for some publishers, thanks to my work with Tokudaiji-sensei. response:	I can also give art seminars to the general public.
context: Sensei, I'm so happy for you right now!\Well... I'm suffocating...\But will you be all right, Sensei?\Taking a sabbatical all of a sudden like this... What about your living expenses?\I never thought I'd see the day when you would worry about me.\I'll be fine.\I have various projects to do for some publishers, thanks to my work with Tokudaiji-sensei.\I can also give art seminars to the general public. response:	I'm tougher than you think.
context: Well... I'm suffocating...\But will you be all right, Sensei?\Taking a sabbatical all of a sudden like this... What about your living expenses?\I never thought I'd see the day when you would worry about me.\I'll be fine.\I have various projects to do for some publishers, thanks to my work with Tokudaiji-sensei.\I can also give art seminars to the general public.\I'm tougher than you think. response:	Sensei... you've finally decided, huh?
context: But will you be all right, Sensei?\Taking a sabbatical all of a sudden like this... What about your living expenses?\I never thought I'd see the day when you would worry about me.\I'll be fine.\I have various projects to do for some publishers, thanks to my work with Tokudaiji-sensei.\I can also give art seminars to the general public.\I'm tougher than you think.\Sensei... you've finally decided, huh? response:	Well, pretty much.
context: Taking a sabbatical all of a sudden like this... What about your living expenses?\I never thought I'd see the day when you would worry about me.\I'll be fine.\I have various projects to do for some publishers, thanks to my work with Tokudaiji-sensei.\I can also give art seminars to the general public.\I'm tougher than you think.\Sensei... you've finally decided, huh?\Well, pretty much. response:	Yamada, thanks for contacting me about Hagu-chan.
context: I never thought I'd see the day when you would worry about me.\I'll be fine.\I have various projects to do for some publishers, thanks to my work with Tokudaiji-sensei.\I can also give art seminars to the general public.\I'm tougher than you think.\Sensei... you've finally decided, huh?\Well, pretty much.\Yamada, thanks for contacting me about Hagu-chan. response:	I should've contacted you earlier, but I thought I'd just be worrying you.
context: I'll be fine.\I have various projects to do for some publishers, thanks to my work with Tokudaiji-sensei.\I can also give art seminars to the general public.\I'm tougher than you think.\Sensei... you've finally decided, huh?\Well, pretty much.\Yamada, thanks for contacting me about Hagu-chan.\I should've contacted you earlier, but I thought I'd just be worrying you. response:	Yeah.
context: I have various projects to do for some publishers, thanks to my work with Tokudaiji-sensei.\I can also give art seminars to the general public.\I'm tougher than you think.\Sensei... you've finally decided, huh?\Well, pretty much.\Yamada, thanks for contacting me about Hagu-chan.\I should've contacted you earlier, but I thought I'd just be worrying you.\Yeah. response:	Oh, and thanks for finding Morita-san.
context: I can also give art seminars to the general public.\I'm tougher than you think.\Sensei... you've finally decided, huh?\Well, pretty much.\Yamada, thanks for contacting me about Hagu-chan.\I should've contacted you earlier, but I thought I'd just be worrying you.\Yeah.\Oh, and thanks for finding Morita-san. response:	Yeah.
context: I'm tougher than you think.\Sensei... you've finally decided, huh?\Well, pretty much.\Yamada, thanks for contacting me about Hagu-chan.\I should've contacted you earlier, but I thought I'd just be worrying you.\Yeah.\Oh, and thanks for finding Morita-san.\Yeah. response:	But I wonder...
context: Sensei... you've finally decided, huh?\Well, pretty much.\Yamada, thanks for contacting me about Hagu-chan.\I should've contacted you earlier, but I thought I'd just be worrying you.\Yeah.\Oh, and thanks for finding Morita-san.\Yeah.\But I wonder... response:	Did I do something unnecessary again?
context: Well, pretty much.\Yamada, thanks for contacting me about Hagu-chan.\I should've contacted you earlier, but I thought I'd just be worrying you.\Yeah.\Oh, and thanks for finding Morita-san.\Yeah.\But I wonder...\Did I do something unnecessary again? response:	Are you talking about Morita-san?
context: Yamada, thanks for contacting me about Hagu-chan.\I should've contacted you earlier, but I thought I'd just be worrying you.\Yeah.\Oh, and thanks for finding Morita-san.\Yeah.\But I wonder...\Did I do something unnecessary again?\Are you talking about Morita-san? response:	I mean...
context: I should've contacted you earlier, but I thought I'd just be worrying you.\Yeah.\Oh, and thanks for finding Morita-san.\Yeah.\But I wonder...\Did I do something unnecessary again?\Are you talking about Morita-san?\I mean... response:	You know, I think it had to turn out like this...
context: Yeah.\Oh, and thanks for finding Morita-san.\Yeah.\But I wonder...\Did I do something unnecessary again?\Are you talking about Morita-san?\I mean...\You know, I think it had to turn out like this... response:	Or rather, the sequence of events was all leading up to this outcome.
context: Oh, and thanks for finding Morita-san.\Yeah.\But I wonder...\Did I do something unnecessary again?\Are you talking about Morita-san?\I mean...\You know, I think it had to turn out like this...\Or rather, the sequence of events was all leading up to this outcome. response:	I thought that Hagu-chan was in love with Morita-san...
context: Yeah.\But I wonder...\Did I do something unnecessary again?\Are you talking about Morita-san?\I mean...\You know, I think it had to turn out like this...\Or rather, the sequence of events was all leading up to this outcome.\I thought that Hagu-chan was in love with Morita-san... response:	She is in love with him.
context: But I wonder...\Did I do something unnecessary again?\Are you talking about Morita-san?\I mean...\You know, I think it had to turn out like this...\Or rather, the sequence of events was all leading up to this outcome.\I thought that Hagu-chan was in love with Morita-san...\She is in love with him. response:	Then why?
context: Did I do something unnecessary again?\Are you talking about Morita-san?\I mean...\You know, I think it had to turn out like this...\Or rather, the sequence of events was all leading up to this outcome.\I thought that Hagu-chan was in love with Morita-san...\She is in love with him.\Then why? response:	I think it's a matter of what her purpose in life is.
context: Are you talking about Morita-san?\I mean...\You know, I think it had to turn out like this...\Or rather, the sequence of events was all leading up to this outcome.\I thought that Hagu-chan was in love with Morita-san...\She is in love with him.\Then why?\I think it's a matter of what her purpose in life is. response:	Purpose in life...?
context: I mean...\You know, I think it had to turn out like this...\Or rather, the sequence of events was all leading up to this outcome.\I thought that Hagu-chan was in love with Morita-san...\She is in love with him.\Then why?\I think it's a matter of what her purpose in life is.\Purpose in life...? response:	Yeah. Love is the reason for some, but not for others.
context: You know, I think it had to turn out like this...\Or rather, the sequence of events was all leading up to this outcome.\I thought that Hagu-chan was in love with Morita-san...\She is in love with him.\Then why?\I think it's a matter of what her purpose in life is.\Purpose in life...?\Yeah. Love is the reason for some, but not for others. response:	Hagu-chan is motivated by her desire to accomplish something... I believe.
context: Or rather, the sequence of events was all leading up to this outcome.\I thought that Hagu-chan was in love with Morita-san...\She is in love with him.\Then why?\I think it's a matter of what her purpose in life is.\Purpose in life...?\Yeah. Love is the reason for some, but not for others.\Hagu-chan is motivated by her desire to accomplish something... I believe. response:	Is that more important than love?
context: I thought that Hagu-chan was in love with Morita-san...\She is in love with him.\Then why?\I think it's a matter of what her purpose in life is.\Purpose in life...?\Yeah. Love is the reason for some, but not for others.\Hagu-chan is motivated by her desire to accomplish something... I believe.\Is that more important than love? response:	It's not a matter of which is more important or which is right.
context: She is in love with him.\Then why?\I think it's a matter of what her purpose in life is.\Purpose in life...?\Yeah. Love is the reason for some, but not for others.\Hagu-chan is motivated by her desire to accomplish something... I believe.\Is that more important than love?\It's not a matter of which is more important or which is right. response:	It's not an act of selfishness either.
context: Then why?\I think it's a matter of what her purpose in life is.\Purpose in life...?\Yeah. Love is the reason for some, but not for others.\Hagu-chan is motivated by her desire to accomplish something... I believe.\Is that more important than love?\It's not a matter of which is more important or which is right.\It's not an act of selfishness either. response:	She chooses instinctively before she has time to think it through.
