context: We just have to pass through these, right? response:	Yay!
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
context: I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine response:	I'm like a washing machine
context: and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine response:	Just kidding
context: and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding response:	Just kidding
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding response:	Yes, I'm spinning around
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around response:	Yes, I'm spinning around
context: With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around response:	Around, around the world
context: With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world response:	Around, around the world
context: I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world response:	Because there's no limit to my love
context: I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love response:	Because there's no limit to my love
context: Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love response:	Spinning around, around, around the world
context: Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world response:	Spinning around, around, around the world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	The Nanami from twelve years ago is someone I do not recognize.
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\The Nanami from twelve years ago is someone I do not recognize. response:	The God Receives a Marriage Proposal
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\The Nanami from twelve years ago is someone I do not recognize.\The God Receives a Marriage Proposal response:	This bamboo-leaf rice cake is yummy!
context: Hey, God,\I'm your god\I'm your god\I think\I think\The Nanami from twelve years ago is someone I do not recognize.\The God Receives a Marriage Proposal\This bamboo-leaf rice cake is yummy! response:	I made plenty more.
context: I'm your god\I'm your god\I think\I think\The Nanami from twelve years ago is someone I do not recognize.\The God Receives a Marriage Proposal\This bamboo-leaf rice cake is yummy!\I made plenty more. response:	I'll put the rest in the freezer.
context: I'm your god\I think\I think\The Nanami from twelve years ago is someone I do not recognize.\The God Receives a Marriage Proposal\This bamboo-leaf rice cake is yummy!\I made plenty more.\I'll put the rest in the freezer. response:	The money I hid in the freezer for this month's electric bill...
context: I think\I think\The Nanami from twelve years ago is someone I do not recognize.\The God Receives a Marriage Proposal\This bamboo-leaf rice cake is yummy!\I made plenty more.\I'll put the rest in the freezer.\The money I hid in the freezer for this month's electric bill... response:	is gone!
context: I think\The Nanami from twelve years ago is someone I do not recognize.\The God Receives a Marriage Proposal\This bamboo-leaf rice cake is yummy!\I made plenty more.\I'll put the rest in the freezer.\The money I hid in the freezer for this month's electric bill...\is gone! response:	Curse you...
context: The Nanami from twelve years ago is someone I do not recognize.\The God Receives a Marriage Proposal\This bamboo-leaf rice cake is yummy!\I made plenty more.\I'll put the rest in the freezer.\The money I hid in the freezer for this month's electric bill...\is gone!\Curse you... response:	That was the best hiding spot I could come up with.
context: The God Receives a Marriage Proposal\This bamboo-leaf rice cake is yummy!\I made plenty more.\I'll put the rest in the freezer.\The money I hid in the freezer for this month's electric bill...\is gone!\Curse you...\That was the best hiding spot I could come up with. response:	Dad
context: This bamboo-leaf rice cake is yummy!\I made plenty more.\I'll put the rest in the freezer.\The money I hid in the freezer for this month's electric bill...\is gone!\Curse you...\That was the best hiding spot I could come up with.\Dad response:	Lucky me!
context: I made plenty more.\I'll put the rest in the freezer.\The money I hid in the freezer for this month's electric bill...\is gone!\Curse you...\That was the best hiding spot I could come up with.\Dad\Lucky me! response:	Ooh! Lucky me!
context: I'll put the rest in the freezer.\The money I hid in the freezer for this month's electric bill...\is gone!\Curse you...\That was the best hiding spot I could come up with.\Dad\Lucky me!\Ooh! Lucky me! response:	Mom! Hang in there!
context: The money I hid in the freezer for this month's electric bill...\is gone!\Curse you...\That was the best hiding spot I could come up with.\Dad\Lucky me!\Ooh! Lucky me!\Mom! Hang in there! response:	I'm okay. I'm okay.
context: is gone!\Curse you...\That was the best hiding spot I could come up with.\Dad\Lucky me!\Ooh! Lucky me!\Mom! Hang in there!\I'm okay. I'm okay. response:	I'm sorry, Nanami.
context: Curse you...\That was the best hiding spot I could come up with.\Dad\Lucky me!\Ooh! Lucky me!\Mom! Hang in there!\I'm okay. I'm okay.\I'm sorry, Nanami. response:	Mommy won't be able to stay with you forever,
context: That was the best hiding spot I could come up with.\Dad\Lucky me!\Ooh! Lucky me!\Mom! Hang in there!\I'm okay. I'm okay.\I'm sorry, Nanami.\Mommy won't be able to stay with you forever, response:	so if Mommy ever goes away, you be strong all by yourself, okay?
context: Dad\Lucky me!\Ooh! Lucky me!\Mom! Hang in there!\I'm okay. I'm okay.\I'm sorry, Nanami.\Mommy won't be able to stay with you forever,\so if Mommy ever goes away, you be strong all by yourself, okay? response:	Locking up and taking care of the house... Everything.
context: Lucky me!\Ooh! Lucky me!\Mom! Hang in there!\I'm okay. I'm okay.\I'm sorry, Nanami.\Mommy won't be able to stay with you forever,\so if Mommy ever goes away, you be strong all by yourself, okay?\Locking up and taking care of the house... Everything. response:	All by myself? What about Dad?
context: Ooh! Lucky me!\Mom! Hang in there!\I'm okay. I'm okay.\I'm sorry, Nanami.\Mommy won't be able to stay with you forever,\so if Mommy ever goes away, you be strong all by yourself, okay?\Locking up and taking care of the house... Everything.\All by myself? What about Dad? response:	You mustn't count on your dad!
context: Mom! Hang in there!\I'm okay. I'm okay.\I'm sorry, Nanami.\Mommy won't be able to stay with you forever,\so if Mommy ever goes away, you be strong all by yourself, okay?\Locking up and taking care of the house... Everything.\All by myself? What about Dad?\You mustn't count on your dad! response:	And don't tell him where the money is hidden!
context: I'm okay. I'm okay.\I'm sorry, Nanami.\Mommy won't be able to stay with you forever,\so if Mommy ever goes away, you be strong all by yourself, okay?\Locking up and taking care of the house... Everything.\All by myself? What about Dad?\You mustn't count on your dad!\And don't tell him where the money is hidden! response:	Even if he begs and cries, you keep it to yourself, okay?
context: I'm sorry, Nanami.\Mommy won't be able to stay with you forever,\so if Mommy ever goes away, you be strong all by yourself, okay?\Locking up and taking care of the house... Everything.\All by myself? What about Dad?\You mustn't count on your dad!\And don't tell him where the money is hidden!\Even if he begs and cries, you keep it to yourself, okay? response:	Okay.
context: Mommy won't be able to stay with you forever,\so if Mommy ever goes away, you be strong all by yourself, okay?\Locking up and taking care of the house... Everything.\All by myself? What about Dad?\You mustn't count on your dad!\And don't tell him where the money is hidden!\Even if he begs and cries, you keep it to yourself, okay?\Okay. response:	It would've been nice if I could've given you a little brother or sister.
context: so if Mommy ever goes away, you be strong all by yourself, okay?\Locking up and taking care of the house... Everything.\All by myself? What about Dad?\You mustn't count on your dad!\And don't tell him where the money is hidden!\Even if he begs and cries, you keep it to yourself, okay?\Okay.\It would've been nice if I could've given you a little brother or sister. response:	Our family line has been entirely female, and for some reason, only one girl is born to each generation.
context: Locking up and taking care of the house... Everything.\All by myself? What about Dad?\You mustn't count on your dad!\And don't tell him where the money is hidden!\Even if he begs and cries, you keep it to yourself, okay?\Okay.\It would've been nice if I could've given you a little brother or sister.\Our family line has been entirely female, and for some reason, only one girl is born to each generation. response:	It was like that for your grandma, your great-grandma, and so on.
context: All by myself? What about Dad?\You mustn't count on your dad!\And don't tell him where the money is hidden!\Even if he begs and cries, you keep it to yourself, okay?\Okay.\It would've been nice if I could've given you a little brother or sister.\Our family line has been entirely female, and for some reason, only one girl is born to each generation.\It was like that for your grandma, your great-grandma, and so on. response:	Why? I wanted a big brother!
context: You mustn't count on your dad!\And don't tell him where the money is hidden!\Even if he begs and cries, you keep it to yourself, okay?\Okay.\It would've been nice if I could've given you a little brother or sister.\Our family line has been entirely female, and for some reason, only one girl is born to each generation.\It was like that for your grandma, your great-grandma, and so on.\Why? I wanted a big brother! response:	Boo!
context: And don't tell him where the money is hidden!\Even if he begs and cries, you keep it to yourself, okay?\Okay.\It would've been nice if I could've given you a little brother or sister.\Our family line has been entirely female, and for some reason, only one girl is born to each generation.\It was like that for your grandma, your great-grandma, and so on.\Why? I wanted a big brother!\Boo! response:	Boo!
context: Even if he begs and cries, you keep it to yourself, okay?\Okay.\It would've been nice if I could've given you a little brother or sister.\Our family line has been entirely female, and for some reason, only one girl is born to each generation.\It was like that for your grandma, your great-grandma, and so on.\Why? I wanted a big brother!\Boo!\Boo! response:	Boo!
context: Okay.\It would've been nice if I could've given you a little brother or sister.\Our family line has been entirely female, and for some reason, only one girl is born to each generation.\It was like that for your grandma, your great-grandma, and so on.\Why? I wanted a big brother!\Boo!\Boo!\Boo! response:	Boo!
context: It would've been nice if I could've given you a little brother or sister.\Our family line has been entirely female, and for some reason, only one girl is born to each generation.\It was like that for your grandma, your great-grandma, and so on.\Why? I wanted a big brother!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Our family line has been entirely female, and for some reason, only one girl is born to each generation.\It was like that for your grandma, your great-grandma, and so on.\Why? I wanted a big brother!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: It was like that for your grandma, your great-grandma, and so on.\Why? I wanted a big brother!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Why? I wanted a big brother!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Boo!
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo! response:	Really? But it's quite the romantic story, you know.
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Really? But it's quite the romantic story, you know. response:	They say that once upon a time,
context: Boo!\Boo!\Boo!\Boo!\Boo!\Boo!\Really? But it's quite the romantic story, you know.\They say that once upon a time, response:	our ancestor received a potion from the gods to become beautiful, and she drank it.
context: Boo!\Boo!\Boo!\Boo!\Boo!\Really? But it's quite the romantic story, you know.\They say that once upon a time,\our ancestor received a potion from the gods to become beautiful, and she drank it. response:	Ever since then, each generation of our family has been blessed with just one healthy, adorable girl.
context: Boo!\Boo!\Boo!\Boo!\Really? But it's quite the romantic story, you know.\They say that once upon a time,\our ancestor received a potion from the gods to become beautiful, and she drank it.\Ever since then, each generation of our family has been blessed with just one healthy, adorable girl. response:	That's why... Look.
context: Boo!\Boo!\Boo!\Really? But it's quite the romantic story, you know.\They say that once upon a time,\our ancestor received a potion from the gods to become beautiful, and she drank it.\Ever since then, each generation of our family has been blessed with just one healthy, adorable girl.\That's why... Look. response:	Look at how beautiful I got you to turn out.
context: Boo!\Boo!\Really? But it's quite the romantic story, you know.\They say that once upon a time,\our ancestor received a potion from the gods to become beautiful, and she drank it.\Ever since then, each generation of our family has been blessed with just one healthy, adorable girl.\That's why... Look.\Look at how beautiful I got you to turn out. response:	But unfortunately, every generation of our family...
context: Boo!\Really? But it's quite the romantic story, you know.\They say that once upon a time,\our ancestor received a potion from the gods to become beautiful, and she drank it.\Ever since then, each generation of our family has been blessed with just one healthy, adorable girl.\That's why... Look.\Look at how beautiful I got you to turn out.\But unfortunately, every generation of our family... response:	has bad luck with men for some reason!
context: Really? But it's quite the romantic story, you know.\They say that once upon a time,\our ancestor received a potion from the gods to become beautiful, and she drank it.\Ever since then, each generation of our family has been blessed with just one healthy, adorable girl.\That's why... Look.\Look at how beautiful I got you to turn out.\But unfortunately, every generation of our family...\has bad luck with men for some reason! response:	Our family has the worst trouble with men!
context: They say that once upon a time,\our ancestor received a potion from the gods to become beautiful, and she drank it.\Ever since then, each generation of our family has been blessed with just one healthy, adorable girl.\That's why... Look.\Look at how beautiful I got you to turn out.\But unfortunately, every generation of our family...\has bad luck with men for some reason!\Our family has the worst trouble with men! response:	So please listen to me, Nanami.
context: our ancestor received a potion from the gods to become beautiful, and she drank it.\Ever since then, each generation of our family has been blessed with just one healthy, adorable girl.\That's why... Look.\Look at how beautiful I got you to turn out.\But unfortunately, every generation of our family...\has bad luck with men for some reason!\Our family has the worst trouble with men!\So please listen to me, Nanami. response:	You mustn't count on men, okay?
context: Ever since then, each generation of our family has been blessed with just one healthy, adorable girl.\That's why... Look.\Look at how beautiful I got you to turn out.\But unfortunately, every generation of our family...\has bad luck with men for some reason!\Our family has the worst trouble with men!\So please listen to me, Nanami.\You mustn't count on men, okay? response:	That way, you won't ruin your health like Mommy did.
context: That's why... Look.\Look at how beautiful I got you to turn out.\But unfortunately, every generation of our family...\has bad luck with men for some reason!\Our family has the worst trouble with men!\So please listen to me, Nanami.\You mustn't count on men, okay?\That way, you won't ruin your health like Mommy did. response:	You can live big and live long, even if you have to stay single!
context: Look at how beautiful I got you to turn out.\But unfortunately, every generation of our family...\has bad luck with men for some reason!\Our family has the worst trouble with men!\So please listen to me, Nanami.\You mustn't count on men, okay?\That way, you won't ruin your health like Mommy did.\You can live big and live long, even if you have to stay single! response:	Okay!
context: But unfortunately, every generation of our family...\has bad luck with men for some reason!\Our family has the worst trouble with men!\So please listen to me, Nanami.\You mustn't count on men, okay?\That way, you won't ruin your health like Mommy did.\You can live big and live long, even if you have to stay single!\Okay! response:	I won't count on men!
context: has bad luck with men for some reason!\Our family has the worst trouble with men!\So please listen to me, Nanami.\You mustn't count on men, okay?\That way, you won't ruin your health like Mommy did.\You can live big and live long, even if you have to stay single!\Okay!\I won't count on men! response:	I'll stay single and get big!
context: Our family has the worst trouble with men!\So please listen to me, Nanami.\You mustn't count on men, okay?\That way, you won't ruin your health like Mommy did.\You can live big and live long, even if you have to stay single!\Okay!\I won't count on men!\I'll stay single and get big! response:	Good!
context: So please listen to me, Nanami.\You mustn't count on men, okay?\That way, you won't ruin your health like Mommy did.\You can live big and live long, even if you have to stay single!\Okay!\I won't count on men!\I'll stay single and get big!\Good! response:	I see.
context: You mustn't count on men, okay?\That way, you won't ruin your health like Mommy did.\You can live big and live long, even if you have to stay single!\Okay!\I won't count on men!\I'll stay single and get big!\Good!\I see. response:	So Nanami's nerves of steel come from her late mother.
context: That way, you won't ruin your health like Mommy did.\You can live big and live long, even if you have to stay single!\Okay!\I won't count on men!\I'll stay single and get big!\Good!\I see.\So Nanami's nerves of steel come from her late mother. response:	Interesting.
context: You can live big and live long, even if you have to stay single!\Okay!\I won't count on men!\I'll stay single and get big!\Good!\I see.\So Nanami's nerves of steel come from her late mother.\Interesting. response:	Human children all grow up by watching their parents.
context: Okay!\I won't count on men!\I'll stay single and get big!\Good!\I see.\So Nanami's nerves of steel come from her late mother.\Interesting.\Human children all grow up by watching their parents. response:	Nanami is no different. Her parents set the example of who she could become.
context: I won't count on men!\I'll stay single and get big!\Good!\I see.\So Nanami's nerves of steel come from her late mother.\Interesting.\Human children all grow up by watching their parents.\Nanami is no different. Her parents set the example of who she could become. response:	Why do you like look you've gotten settled in here, Tomoe?
context: I'll stay single and get big!\Good!\I see.\So Nanami's nerves of steel come from her late mother.\Interesting.\Human children all grow up by watching their parents.\Nanami is no different. Her parents set the example of who she could become.\Why do you like look you've gotten settled in here, Tomoe? response:	I can understand wanting to get your fill of the adorable Nanami, but this is the world of Nanami's memories.
context: Good!\I see.\So Nanami's nerves of steel come from her late mother.\Interesting.\Human children all grow up by watching their parents.\Nanami is no different. Her parents set the example of who she could become.\Why do you like look you've gotten settled in here, Tomoe?\I can understand wanting to get your fill of the adorable Nanami, but this is the world of Nanami's memories. response:	There's nothing we can do here.
context: I see.\So Nanami's nerves of steel come from her late mother.\Interesting.\Human children all grow up by watching their parents.\Nanami is no different. Her parents set the example of who she could become.\Why do you like look you've gotten settled in here, Tomoe?\I can understand wanting to get your fill of the adorable Nanami, but this is the world of Nanami's memories.\There's nothing we can do here. response:	Let's hurry up and lead her out of this nightmare.
context: So Nanami's nerves of steel come from her late mother.\Interesting.\Human children all grow up by watching their parents.\Nanami is no different. Her parents set the example of who she could become.\Why do you like look you've gotten settled in here, Tomoe?\I can understand wanting to get your fill of the adorable Nanami, but this is the world of Nanami's memories.\There's nothing we can do here.\Let's hurry up and lead her out of this nightmare. response:	Yes, you are right.
context: Interesting.\Human children all grow up by watching their parents.\Nanami is no different. Her parents set the example of who she could become.\Why do you like look you've gotten settled in here, Tomoe?\I can understand wanting to get your fill of the adorable Nanami, but this is the world of Nanami's memories.\There's nothing we can do here.\Let's hurry up and lead her out of this nightmare.\Yes, you are right. response:	But even so, just a little longer...
context: Human children all grow up by watching their parents.\Nanami is no different. Her parents set the example of who she could become.\Why do you like look you've gotten settled in here, Tomoe?\I can understand wanting to get your fill of the adorable Nanami, but this is the world of Nanami's memories.\There's nothing we can do here.\Let's hurry up and lead her out of this nightmare.\Yes, you are right.\But even so, just a little longer... response:	I want to see this side of her that I do not know.
context: Nanami is no different. Her parents set the example of who she could become.\Why do you like look you've gotten settled in here, Tomoe?\I can understand wanting to get your fill of the adorable Nanami, but this is the world of Nanami's memories.\There's nothing we can do here.\Let's hurry up and lead her out of this nightmare.\Yes, you are right.\But even so, just a little longer...\I want to see this side of her that I do not know. response:	A little longer...
context: Why do you like look you've gotten settled in here, Tomoe?\I can understand wanting to get your fill of the adorable Nanami, but this is the world of Nanami's memories.\There's nothing we can do here.\Let's hurry up and lead her out of this nightmare.\Yes, you are right.\But even so, just a little longer...\I want to see this side of her that I do not know.\A little longer... response:	A little longer...
context: I can understand wanting to get your fill of the adorable Nanami, but this is the world of Nanami's memories.\There's nothing we can do here.\Let's hurry up and lead her out of this nightmare.\Yes, you are right.\But even so, just a little longer...\I want to see this side of her that I do not know.\A little longer...\A little longer... response:	Hey, Emii, what did you ask Santa for this year?
context: There's nothing we can do here.\Let's hurry up and lead her out of this nightmare.\Yes, you are right.\But even so, just a little longer...\I want to see this side of her that I do not know.\A little longer...\A little longer...\Hey, Emii, what did you ask Santa for this year? response:	Last year, I got a new Barbar doll, so this year, I'm asking for a matching dream house.
context: Let's hurry up and lead her out of this nightmare.\Yes, you are right.\But even so, just a little longer...\I want to see this side of her that I do not know.\A little longer...\A little longer...\Hey, Emii, what did you ask Santa for this year?\Last year, I got a new Barbar doll, so this year, I'm asking for a matching dream house. response:	You're so lucky!
context: Yes, you are right.\But even so, just a little longer...\I want to see this side of her that I do not know.\A little longer...\A little longer...\Hey, Emii, what did you ask Santa for this year?\Last year, I got a new Barbar doll, so this year, I'm asking for a matching dream house.\You're so lucky! response:	I asked for a bicycle.
context: But even so, just a little longer...\I want to see this side of her that I do not know.\A little longer...\A little longer...\Hey, Emii, what did you ask Santa for this year?\Last year, I got a new Barbar doll, so this year, I'm asking for a matching dream house.\You're so lucky!\I asked for a bicycle. response:	What about you, Nanami?
context: I want to see this side of her that I do not know.\A little longer...\A little longer...\Hey, Emii, what did you ask Santa for this year?\Last year, I got a new Barbar doll, so this year, I'm asking for a matching dream house.\You're so lucky!\I asked for a bicycle.\What about you, Nanami? response:	I'll be okay.
