context: Dijun, are you unsure? response:	In the past few days, Dijun saved Qing Qiu's Little Princess twice
context: I will love her with all my heart for all eternity.\And never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity.\And never part from him, regardless of fortune or calamity.\Ye Hua. response:	I didn't think we would end up like this.
context: And never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity.\And never part from him, regardless of fortune or calamity.\Ye Hua.\I didn't think we would end up like this. response:	It's a pity that in the end, it's an ill-fated relationship.
context: I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity.\And never part from him, regardless of fortune or calamity.\Ye Hua.\I didn't think we would end up like this.\It's a pity that in the end, it's an ill-fated relationship. response:	From now on, there will no longer be Su Su of Mount Junji of the Far East.
context: in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity.\And never part from him, regardless of fortune or calamity.\Ye Hua.\I didn't think we would end up like this.\It's a pity that in the end, it's an ill-fated relationship.\From now on, there will no longer be Su Su of Mount Junji of the Far East. response:	When I wake up from the dream, I will forget everything in the dream.
context: From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity.\And never part from him, regardless of fortune or calamity.\Ye Hua.\I didn't think we would end up like this.\It's a pity that in the end, it's an ill-fated relationship.\From now on, there will no longer be Su Su of Mount Junji of the Far East.\When I wake up from the dream, I will forget everything in the dream. response:	Hurry! Hurry! Medicine King!
context: I will love him with all my heart for all eternity.\And never part from him, regardless of fortune or calamity.\Ye Hua.\I didn't think we would end up like this.\It's a pity that in the end, it's an ill-fated relationship.\From now on, there will no longer be Su Su of Mount Junji of the Far East.\When I wake up from the dream, I will forget everything in the dream.\Hurry! Hurry! Medicine King! response:	Lian Song.
context: And never part from him, regardless of fortune or calamity.\Ye Hua.\I didn't think we would end up like this.\It's a pity that in the end, it's an ill-fated relationship.\From now on, there will no longer be Su Su of Mount Junji of the Far East.\When I wake up from the dream, I will forget everything in the dream.\Hurry! Hurry! Medicine King!\Lian Song. response:	Father.
context: Ye Hua.\I didn't think we would end up like this.\It's a pity that in the end, it's an ill-fated relationship.\From now on, there will no longer be Su Su of Mount Junji of the Far East.\When I wake up from the dream, I will forget everything in the dream.\Hurry! Hurry! Medicine King!\Lian Song.\Father. response:	The past few days I've been thinking, was I too strict with Ye Hua?
context: I didn't think we would end up like this.\It's a pity that in the end, it's an ill-fated relationship.\From now on, there will no longer be Su Su of Mount Junji of the Far East.\When I wake up from the dream, I will forget everything in the dream.\Hurry! Hurry! Medicine King!\Lian Song.\Father.\The past few days I've been thinking, was I too strict with Ye Hua? response:	For the past thousands of years he's been living according to my wishes.
context: It's a pity that in the end, it's an ill-fated relationship.\From now on, there will no longer be Su Su of Mount Junji of the Far East.\When I wake up from the dream, I will forget everything in the dream.\Hurry! Hurry! Medicine King!\Lian Song.\Father.\The past few days I've been thinking, was I too strict with Ye Hua?\For the past thousands of years he's been living according to my wishes. response:	When he first learned to sit, he was sent to the study.
context: From now on, there will no longer be Su Su of Mount Junji of the Far East.\When I wake up from the dream, I will forget everything in the dream.\Hurry! Hurry! Medicine King!\Lian Song.\Father.\The past few days I've been thinking, was I too strict with Ye Hua?\For the past thousands of years he's been living according to my wishes.\When he first learned to sit, he was sent to the study. response:	He would sit for 14 hours a day.
context: When I wake up from the dream, I will forget everything in the dream.\Hurry! Hurry! Medicine King!\Lian Song.\Father.\The past few days I've been thinking, was I too strict with Ye Hua?\For the past thousands of years he's been living according to my wishes.\When he first learned to sit, he was sent to the study.\He would sit for 14 hours a day. response:	I also remember that he was too young for that.
context: Hurry! Hurry! Medicine King!\Lian Song.\Father.\The past few days I've been thinking, was I too strict with Ye Hua?\For the past thousands of years he's been living according to my wishes.\When he first learned to sit, he was sent to the study.\He would sit for 14 hours a day.\I also remember that he was too young for that. response:	He couldn't understand the scriptures.
context: Lian Song.\Father.\The past few days I've been thinking, was I too strict with Ye Hua?\For the past thousands of years he's been living according to my wishes.\When he first learned to sit, he was sent to the study.\He would sit for 14 hours a day.\I also remember that he was too young for that.\He couldn't understand the scriptures. response:	He cried to his mother, so she came to me to plea for leniency.
context: Father.\The past few days I've been thinking, was I too strict with Ye Hua?\For the past thousands of years he's been living according to my wishes.\When he first learned to sit, he was sent to the study.\He would sit for 14 hours a day.\I also remember that he was too young for that.\He couldn't understand the scriptures.\He cried to his mother, so she came to me to plea for leniency. response:	I was furious.
context: The past few days I've been thinking, was I too strict with Ye Hua?\For the past thousands of years he's been living according to my wishes.\When he first learned to sit, he was sent to the study.\He would sit for 14 hours a day.\I also remember that he was too young for that.\He couldn't understand the scriptures.\He cried to his mother, so she came to me to plea for leniency.\I was furious. response:	A warm and caring mother will ruin a child.
context: For the past thousands of years he's been living according to my wishes.\When he first learned to sit, he was sent to the study.\He would sit for 14 hours a day.\I also remember that he was too young for that.\He couldn't understand the scriptures.\He cried to his mother, so she came to me to plea for leniency.\I was furious.\A warm and caring mother will ruin a child. response:	But after that, he didn't see his mother
context: When he first learned to sit, he was sent to the study.\He would sit for 14 hours a day.\I also remember that he was too young for that.\He couldn't understand the scriptures.\He cried to his mother, so she came to me to plea for leniency.\I was furious.\A warm and caring mother will ruin a child.\But after that, he didn't see his mother response:	until he ascended to become a high immortal.
context: He would sit for 14 hours a day.\I also remember that he was too young for that.\He couldn't understand the scriptures.\He cried to his mother, so she came to me to plea for leniency.\I was furious.\A warm and caring mother will ruin a child.\But after that, he didn't see his mother\until he ascended to become a high immortal. response:	Since you are asking me, I will answer you honestly.
context: I also remember that he was too young for that.\He couldn't understand the scriptures.\He cried to his mother, so she came to me to plea for leniency.\I was furious.\A warm and caring mother will ruin a child.\But after that, he didn't see his mother\until he ascended to become a high immortal.\Since you are asking me, I will answer you honestly. response:	When others speak of Crown Prince Ye Hua
context: He couldn't understand the scriptures.\He cried to his mother, so she came to me to plea for leniency.\I was furious.\A warm and caring mother will ruin a child.\But after that, he didn't see his mother\until he ascended to become a high immortal.\Since you are asking me, I will answer you honestly.\When others speak of Crown Prince Ye Hua response:	they always say that he became a high immortal at the age of 20,000.
context: He cried to his mother, so she came to me to plea for leniency.\I was furious.\A warm and caring mother will ruin a child.\But after that, he didn't see his mother\until he ascended to become a high immortal.\Since you are asking me, I will answer you honestly.\When others speak of Crown Prince Ye Hua\they always say that he became a high immortal at the age of 20,000. response:	He studied under Spiritual Master Ci Hang and Lord Yuan Shi.
context: I was furious.\A warm and caring mother will ruin a child.\But after that, he didn't see his mother\until he ascended to become a high immortal.\Since you are asking me, I will answer you honestly.\When others speak of Crown Prince Ye Hua\they always say that he became a high immortal at the age of 20,000.\He studied under Spiritual Master Ci Hang and Lord Yuan Shi. response:	He far exceeds God of War Mo Yuan.
context: A warm and caring mother will ruin a child.\But after that, he didn't see his mother\until he ascended to become a high immortal.\Since you are asking me, I will answer you honestly.\When others speak of Crown Prince Ye Hua\they always say that he became a high immortal at the age of 20,000.\He studied under Spiritual Master Ci Hang and Lord Yuan Shi.\He far exceeds God of War Mo Yuan. response:	But in my eyes, he's always been a pitiful child.
context: But after that, he didn't see his mother\until he ascended to become a high immortal.\Since you are asking me, I will answer you honestly.\When others speak of Crown Prince Ye Hua\they always say that he became a high immortal at the age of 20,000.\He studied under Spiritual Master Ci Hang and Lord Yuan Shi.\He far exceeds God of War Mo Yuan.\But in my eyes, he's always been a pitiful child. response:	He's been alone since he was young.
context: until he ascended to become a high immortal.\Since you are asking me, I will answer you honestly.\When others speak of Crown Prince Ye Hua\they always say that he became a high immortal at the age of 20,000.\He studied under Spiritual Master Ci Hang and Lord Yuan Shi.\He far exceeds God of War Mo Yuan.\But in my eyes, he's always been a pitiful child.\He's been alone since he was young. response:	He's never had any playmates.
context: Since you are asking me, I will answer you honestly.\When others speak of Crown Prince Ye Hua\they always say that he became a high immortal at the age of 20,000.\He studied under Spiritual Master Ci Hang and Lord Yuan Shi.\He far exceeds God of War Mo Yuan.\But in my eyes, he's always been a pitiful child.\He's been alone since he was young.\He's never had any playmates. response:	I won't keep it from you. I tease him privately
context: When others speak of Crown Prince Ye Hua\they always say that he became a high immortal at the age of 20,000.\He studied under Spiritual Master Ci Hang and Lord Yuan Shi.\He far exceeds God of War Mo Yuan.\But in my eyes, he's always been a pitiful child.\He's been alone since he was young.\He's never had any playmates.\I won't keep it from you. I tease him privately response:	that he doesn't have a perfect life.
context: they always say that he became a high immortal at the age of 20,000.\He studied under Spiritual Master Ci Hang and Lord Yuan Shi.\He far exceeds God of War Mo Yuan.\But in my eyes, he's always been a pitiful child.\He's been alone since he was young.\He's never had any playmates.\I won't keep it from you. I tease him privately\that he doesn't have a perfect life. response:	He's never even tried loving anyone.
context: He studied under Spiritual Master Ci Hang and Lord Yuan Shi.\He far exceeds God of War Mo Yuan.\But in my eyes, he's always been a pitiful child.\He's been alone since he was young.\He's never had any playmates.\I won't keep it from you. I tease him privately\that he doesn't have a perfect life.\He's never even tried loving anyone. response:	But when he met Su Su, someone he truly wanted to love
context: He far exceeds God of War Mo Yuan.\But in my eyes, he's always been a pitiful child.\He's been alone since he was young.\He's never had any playmates.\I won't keep it from you. I tease him privately\that he doesn't have a perfect life.\He's never even tried loving anyone.\But when he met Su Su, someone he truly wanted to love response:	who knew he would end up in such a state?
context: But in my eyes, he's always been a pitiful child.\He's been alone since he was young.\He's never had any playmates.\I won't keep it from you. I tease him privately\that he doesn't have a perfect life.\He's never even tried loving anyone.\But when he met Su Su, someone he truly wanted to love\who knew he would end up in such a state? response:	This child values her relationships.
context: He's been alone since he was young.\He's never had any playmates.\I won't keep it from you. I tease him privately\that he doesn't have a perfect life.\He's never even tried loving anyone.\But when he met Su Su, someone he truly wanted to love\who knew he would end up in such a state?\This child values her relationships. response:	Mo Yuan was only her master for 20,000 years.
context: He's never had any playmates.\I won't keep it from you. I tease him privately\that he doesn't have a perfect life.\He's never even tried loving anyone.\But when he met Su Su, someone he truly wanted to love\who knew he would end up in such a state?\This child values her relationships.\Mo Yuan was only her master for 20,000 years. response:	Yet she used blood from her heart to nourish his body every day.
context: I won't keep it from you. I tease him privately\that he doesn't have a perfect life.\He's never even tried loving anyone.\But when he met Su Su, someone he truly wanted to love\who knew he would end up in such a state?\This child values her relationships.\Mo Yuan was only her master for 20,000 years.\Yet she used blood from her heart to nourish his body every day. response:	How could this happen?
context: that he doesn't have a perfect life.\He's never even tried loving anyone.\But when he met Su Su, someone he truly wanted to love\who knew he would end up in such a state?\This child values her relationships.\Mo Yuan was only her master for 20,000 years.\Yet she used blood from her heart to nourish his body every day.\How could this happen? response:	For her godly ascension to high goddess, she had to go through heartbreak again.
context: He's never even tried loving anyone.\But when he met Su Su, someone he truly wanted to love\who knew he would end up in such a state?\This child values her relationships.\Mo Yuan was only her master for 20,000 years.\Yet she used blood from her heart to nourish his body every day.\How could this happen?\For her godly ascension to high goddess, she had to go through heartbreak again. response:	When she asked me for the amnesia potion she was deeply hurt.
context: But when he met Su Su, someone he truly wanted to love\who knew he would end up in such a state?\This child values her relationships.\Mo Yuan was only her master for 20,000 years.\Yet she used blood from her heart to nourish his body every day.\How could this happen?\For her godly ascension to high goddess, she had to go through heartbreak again.\When she asked me for the amnesia potion she was deeply hurt. response:	I think it's okay if she wakes up and forgets everything.
context: who knew he would end up in such a state?\This child values her relationships.\Mo Yuan was only her master for 20,000 years.\Yet she used blood from her heart to nourish his body every day.\How could this happen?\For her godly ascension to high goddess, she had to go through heartbreak again.\When she asked me for the amnesia potion she was deeply hurt.\I think it's okay if she wakes up and forgets everything. response:	We'll pretend we don't know anything.
context: This child values her relationships.\Mo Yuan was only her master for 20,000 years.\Yet she used blood from her heart to nourish his body every day.\How could this happen?\For her godly ascension to high goddess, she had to go through heartbreak again.\When she asked me for the amnesia potion she was deeply hurt.\I think it's okay if she wakes up and forgets everything.\We'll pretend we don't know anything. response:	I've healed her sight.
context: Mo Yuan was only her master for 20,000 years.\Yet she used blood from her heart to nourish his body every day.\How could this happen?\For her godly ascension to high goddess, she had to go through heartbreak again.\When she asked me for the amnesia potion she was deeply hurt.\I think it's okay if she wakes up and forgets everything.\We'll pretend we don't know anything.\I've healed her sight. response:	But her eyes won't be able to withstand intense light.
context: Yet she used blood from her heart to nourish his body every day.\How could this happen?\For her godly ascension to high goddess, she had to go through heartbreak again.\When she asked me for the amnesia potion she was deeply hurt.\I think it's okay if she wakes up and forgets everything.\We'll pretend we don't know anything.\I've healed her sight.\But her eyes won't be able to withstand intense light. response:	I never lie.
context: How could this happen?\For her godly ascension to high goddess, she had to go through heartbreak again.\When she asked me for the amnesia potion she was deeply hurt.\I think it's okay if she wakes up and forgets everything.\We'll pretend we don't know anything.\I've healed her sight.\But her eyes won't be able to withstand intense light.\I never lie. response:	Whether we can get her to believe us all depends on you.
context: For her godly ascension to high goddess, she had to go through heartbreak again.\When she asked me for the amnesia potion she was deeply hurt.\I think it's okay if she wakes up and forgets everything.\We'll pretend we don't know anything.\I've healed her sight.\But her eyes won't be able to withstand intense light.\I never lie.\Whether we can get her to believe us all depends on you. response:	Me? Why me?
context: When she asked me for the amnesia potion she was deeply hurt.\I think it's okay if she wakes up and forgets everything.\We'll pretend we don't know anything.\I've healed her sight.\But her eyes won't be able to withstand intense light.\I never lie.\Whether we can get her to believe us all depends on you.\Me? Why me? response:	What? You don't want to?
context: I think it's okay if she wakes up and forgets everything.\We'll pretend we don't know anything.\I've healed her sight.\But her eyes won't be able to withstand intense light.\I never lie.\Whether we can get her to believe us all depends on you.\Me? Why me?\What? You don't want to? response:	I wouldn't dare. I'll do as you say.
context: We'll pretend we don't know anything.\I've healed her sight.\But her eyes won't be able to withstand intense light.\I never lie.\Whether we can get her to believe us all depends on you.\Me? Why me?\What? You don't want to?\I wouldn't dare. I'll do as you say. response:	Why do we have to keep it from her?
context: I've healed her sight.\But her eyes won't be able to withstand intense light.\I never lie.\Whether we can get her to believe us all depends on you.\Me? Why me?\What? You don't want to?\I wouldn't dare. I'll do as you say.\Why do we have to keep it from her? response:	It's her heavenly trial.
context: But her eyes won't be able to withstand intense light.\I never lie.\Whether we can get her to believe us all depends on you.\Me? Why me?\What? You don't want to?\I wouldn't dare. I'll do as you say.\Why do we have to keep it from her?\It's her heavenly trial. response:	They all went through it in the past.
context: I never lie.\Whether we can get her to believe us all depends on you.\Me? Why me?\What? You don't want to?\I wouldn't dare. I'll do as you say.\Why do we have to keep it from her?\It's her heavenly trial.\They all went through it in the past. response:	It's just that this girl has injuries all over her body.
context: Whether we can get her to believe us all depends on you.\Me? Why me?\What? You don't want to?\I wouldn't dare. I'll do as you say.\Why do we have to keep it from her?\It's her heavenly trial.\They all went through it in the past.\It's just that this girl has injuries all over her body. response:	It breaks my heart just looking at her.
context: Me? Why me?\What? You don't want to?\I wouldn't dare. I'll do as you say.\Why do we have to keep it from her?\It's her heavenly trial.\They all went through it in the past.\It's just that this girl has injuries all over her body.\It breaks my heart just looking at her. response:	All right. What do you know?
context: What? You don't want to?\I wouldn't dare. I'll do as you say.\Why do we have to keep it from her?\It's her heavenly trial.\They all went through it in the past.\It's just that this girl has injuries all over her body.\It breaks my heart just looking at her.\All right. What do you know? response:	If she couldn't handle it, why would she ask Zhe Yan for the amnesia potion?
context: I wouldn't dare. I'll do as you say.\Why do we have to keep it from her?\It's her heavenly trial.\They all went through it in the past.\It's just that this girl has injuries all over her body.\It breaks my heart just looking at her.\All right. What do you know?\If she couldn't handle it, why would she ask Zhe Yan for the amnesia potion? response:	This is fine. If she wants to forget, then let her forget.
context: Why do we have to keep it from her?\It's her heavenly trial.\They all went through it in the past.\It's just that this girl has injuries all over her body.\It breaks my heart just looking at her.\All right. What do you know?\If she couldn't handle it, why would she ask Zhe Yan for the amnesia potion?\This is fine. If she wants to forget, then let her forget. response:	That's right.
context: It's her heavenly trial.\They all went through it in the past.\It's just that this girl has injuries all over her body.\It breaks my heart just looking at her.\All right. What do you know?\If she couldn't handle it, why would she ask Zhe Yan for the amnesia potion?\This is fine. If she wants to forget, then let her forget.\That's right. response:	We'll just tell her she was injured in the battle against Qing Cang
context: They all went through it in the past.\It's just that this girl has injuries all over her body.\It breaks my heart just looking at her.\All right. What do you know?\If she couldn't handle it, why would she ask Zhe Yan for the amnesia potion?\This is fine. If she wants to forget, then let her forget.\That's right.\We'll just tell her she was injured in the battle against Qing Cang response:	so she fell into a deep sleep.
context: It's just that this girl has injuries all over her body.\It breaks my heart just looking at her.\All right. What do you know?\If she couldn't handle it, why would she ask Zhe Yan for the amnesia potion?\This is fine. If she wants to forget, then let her forget.\That's right.\We'll just tell her she was injured in the battle against Qing Cang\so she fell into a deep sleep. response:	As for her eyes...
context: It breaks my heart just looking at her.\All right. What do you know?\If she couldn't handle it, why would she ask Zhe Yan for the amnesia potion?\This is fine. If she wants to forget, then let her forget.\That's right.\We'll just tell her she was injured in the battle against Qing Cang\so she fell into a deep sleep.\As for her eyes... response:	we'll say that it was a disease from when she was born.
context: All right. What do you know?\If she couldn't handle it, why would she ask Zhe Yan for the amnesia potion?\This is fine. If she wants to forget, then let her forget.\That's right.\We'll just tell her she was injured in the battle against Qing Cang\so she fell into a deep sleep.\As for her eyes...\we'll say that it was a disease from when she was born. response:	It was dormant.
context: If she couldn't handle it, why would she ask Zhe Yan for the amnesia potion?\This is fine. If she wants to forget, then let her forget.\That's right.\We'll just tell her she was injured in the battle against Qing Cang\so she fell into a deep sleep.\As for her eyes...\we'll say that it was a disease from when she was born.\It was dormant. response:	It was activated after she was hurt.
context: This is fine. If she wants to forget, then let her forget.\That's right.\We'll just tell her she was injured in the battle against Qing Cang\so she fell into a deep sleep.\As for her eyes...\we'll say that it was a disease from when she was born.\It was dormant.\It was activated after she was hurt. response:	Okay. That's what we'll tell her.
context: That's right.\We'll just tell her she was injured in the battle against Qing Cang\so she fell into a deep sleep.\As for her eyes...\we'll say that it was a disease from when she was born.\It was dormant.\It was activated after she was hurt.\Okay. That's what we'll tell her. response:	Will you remember all of that?
context: We'll just tell her she was injured in the battle against Qing Cang\so she fell into a deep sleep.\As for her eyes...\we'll say that it was a disease from when she was born.\It was dormant.\It was activated after she was hurt.\Okay. That's what we'll tell her.\Will you remember all of that? response:	I'll remember.
context: so she fell into a deep sleep.\As for her eyes...\we'll say that it was a disease from when she was born.\It was dormant.\It was activated after she was hurt.\Okay. That's what we'll tell her.\Will you remember all of that?\I'll remember. response:	Go to the Yellow Springs.
context: As for her eyes...\we'll say that it was a disease from when she was born.\It was dormant.\It was activated after she was hurt.\Okay. That's what we'll tell her.\Will you remember all of that?\I'll remember.\Go to the Yellow Springs. response:	Use dark rays to find a white silk that can block intense lights
context: we'll say that it was a disease from when she was born.\It was dormant.\It was activated after she was hurt.\Okay. That's what we'll tell her.\Will you remember all of that?\I'll remember.\Go to the Yellow Springs.\Use dark rays to find a white silk that can block intense lights response:	so that Bai Qian can wear it.
context: It was dormant.\It was activated after she was hurt.\Okay. That's what we'll tell her.\Will you remember all of that?\I'll remember.\Go to the Yellow Springs.\Use dark rays to find a white silk that can block intense lights\so that Bai Qian can wear it. response:	Okay. I'll go now.
context: It was activated after she was hurt.\Okay. That's what we'll tell her.\Will you remember all of that?\I'll remember.\Go to the Yellow Springs.\Use dark rays to find a white silk that can block intense lights\so that Bai Qian can wear it.\Okay. I'll go now. response:	My mother and father always listen to you.
context: Okay. That's what we'll tell her.\Will you remember all of that?\I'll remember.\Go to the Yellow Springs.\Use dark rays to find a white silk that can block intense lights\so that Bai Qian can wear it.\Okay. I'll go now.\My mother and father always listen to you. response:	They agree with everything you say.
context: Will you remember all of that?\I'll remember.\Go to the Yellow Springs.\Use dark rays to find a white silk that can block intense lights\so that Bai Qian can wear it.\Okay. I'll go now.\My mother and father always listen to you.\They agree with everything you say. response:	I haven't asked you before.
context: I'll remember.\Go to the Yellow Springs.\Use dark rays to find a white silk that can block intense lights\so that Bai Qian can wear it.\Okay. I'll go now.\My mother and father always listen to you.\They agree with everything you say.\I haven't asked you before. response:	Before I was born, how did you know my parents?
context: Go to the Yellow Springs.\Use dark rays to find a white silk that can block intense lights\so that Bai Qian can wear it.\Okay. I'll go now.\My mother and father always listen to you.\They agree with everything you say.\I haven't asked you before.\Before I was born, how did you know my parents? response:	Before you were born?
context: Use dark rays to find a white silk that can block intense lights\so that Bai Qian can wear it.\Okay. I'll go now.\My mother and father always listen to you.\They agree with everything you say.\I haven't asked you before.\Before I was born, how did you know my parents?\Before you were born? response:	Back then, I was the first to fall in love with your mother.
context: so that Bai Qian can wear it.\Okay. I'll go now.\My mother and father always listen to you.\They agree with everything you say.\I haven't asked you before.\Before I was born, how did you know my parents?\Before you were born?\Back then, I was the first to fall in love with your mother. response:	But your mother insisted on your unromantic father.
context: Okay. I'll go now.\My mother and father always listen to you.\They agree with everything you say.\I haven't asked you before.\Before I was born, how did you know my parents?\Before you were born?\Back then, I was the first to fall in love with your mother.\But your mother insisted on your unromantic father. response:	After battling with your father
context: My mother and father always listen to you.\They agree with everything you say.\I haven't asked you before.\Before I was born, how did you know my parents?\Before you were born?\Back then, I was the first to fall in love with your mother.\But your mother insisted on your unromantic father.\After battling with your father response:	I found that our personalities were complimentary
context: They agree with everything you say.\I haven't asked you before.\Before I was born, how did you know my parents?\Before you were born?\Back then, I was the first to fall in love with your mother.\But your mother insisted on your unromantic father.\After battling with your father\I found that our personalities were complimentary response:	so we just became friends.
context: I haven't asked you before.\Before I was born, how did you know my parents?\Before you were born?\Back then, I was the first to fall in love with your mother.\But your mother insisted on your unromantic father.\After battling with your father\I found that our personalities were complimentary\so we just became friends. response:	That happened?
