context: So hot! response:	It's getting hotter by the day...
context: That's true.\With the height of summer coming up,\we should consider what demis, particularly Hikari and Yuki,\can do to get by.\That's a good idea.\Every year, I worry about how I should spend the summer.\As it is, it's already pretty rough on you and Hikari-chan, huh?\Sensei, that's great! Let's do it! Right now! response:	Not right now.
context: With the height of summer coming up,\we should consider what demis, particularly Hikari and Yuki,\can do to get by.\That's a good idea.\Every year, I worry about how I should spend the summer.\As it is, it's already pretty rough on you and Hikari-chan, huh?\Sensei, that's great! Let's do it! Right now!\Not right now. response:	Huh? Why not?
context: we should consider what demis, particularly Hikari and Yuki,\can do to get by.\That's a good idea.\Every year, I worry about how I should spend the summer.\As it is, it's already pretty rough on you and Hikari-chan, huh?\Sensei, that's great! Let's do it! Right now!\Not right now.\Huh? Why not? response:	It's already late.
context: can do to get by.\That's a good idea.\Every year, I worry about how I should spend the summer.\As it is, it's already pretty rough on you and Hikari-chan, huh?\Sensei, that's great! Let's do it! Right now!\Not right now.\Huh? Why not?\It's already late. response:	Besides, I want to think it over myself first.
context: That's a good idea.\Every year, I worry about how I should spend the summer.\As it is, it's already pretty rough on you and Hikari-chan, huh?\Sensei, that's great! Let's do it! Right now!\Not right now.\Huh? Why not?\It's already late.\Besides, I want to think it over myself first. response:	Tomorrow, then?
context: Every year, I worry about how I should spend the summer.\As it is, it's already pretty rough on you and Hikari-chan, huh?\Sensei, that's great! Let's do it! Right now!\Not right now.\Huh? Why not?\It's already late.\Besides, I want to think it over myself first.\Tomorrow, then? response:	Well, let's see...
context: As it is, it's already pretty rough on you and Hikari-chan, huh?\Sensei, that's great! Let's do it! Right now!\Not right now.\Huh? Why not?\It's already late.\Besides, I want to think it over myself first.\Tomorrow, then?\Well, let's see... response:	How about Saturday?
context: Sensei, that's great! Let's do it! Right now!\Not right now.\Huh? Why not?\It's already late.\Besides, I want to think it over myself first.\Tomorrow, then?\Well, let's see...\How about Saturday? response:	We'll have plenty of time on Saturday.
context: Not right now.\Huh? Why not?\It's already late.\Besides, I want to think it over myself first.\Tomorrow, then?\Well, let's see...\How about Saturday?\We'll have plenty of time on Saturday. response:	I'm in!
context: Huh? Why not?\It's already late.\Besides, I want to think it over myself first.\Tomorrow, then?\Well, let's see...\How about Saturday?\We'll have plenty of time on Saturday.\I'm in! response:	How Vampires and Snow Women Can Spend Summer in Comfort
context: It's already late.\Besides, I want to think it over myself first.\Tomorrow, then?\Well, let's see...\How about Saturday?\We'll have plenty of time on Saturday.\I'm in!\How Vampires and Snow Women Can Spend Summer in Comfort response:	Interviews with Monster Girls
context: Besides, I want to think it over myself first.\Tomorrow, then?\Well, let's see...\How about Saturday?\We'll have plenty of time on Saturday.\I'm in!\How Vampires and Snow Women Can Spend Summer in Comfort\Interviews with Monster Girls response:	Demi-chans Want to Support
context: Tomorrow, then?\Well, let's see...\How about Saturday?\We'll have plenty of time on Saturday.\I'm in!\How Vampires and Snow Women Can Spend Summer in Comfort\Interviews with Monster Girls\Demi-chans Want to Support response:	Hey, Tetsu-sensei...
context: Well, let's see...\How about Saturday?\We'll have plenty of time on Saturday.\I'm in!\How Vampires and Snow Women Can Spend Summer in Comfort\Interviews with Monster Girls\Demi-chans Want to Support\Hey, Tetsu-sensei... response:	Perfect timing!
context: How about Saturday?\We'll have plenty of time on Saturday.\I'm in!\How Vampires and Snow Women Can Spend Summer in Comfort\Interviews with Monster Girls\Demi-chans Want to Support\Hey, Tetsu-sensei...\Perfect timing! response:	We're playing soccer after school, but we're short on players.
context: We'll have plenty of time on Saturday.\I'm in!\How Vampires and Snow Women Can Spend Summer in Comfort\Interviews with Monster Girls\Demi-chans Want to Support\Hey, Tetsu-sensei...\Perfect timing!\We're playing soccer after school, but we're short on players. response:	Will you be our goalie?
context: I'm in!\How Vampires and Snow Women Can Spend Summer in Comfort\Interviews with Monster Girls\Demi-chans Want to Support\Hey, Tetsu-sensei...\Perfect timing!\We're playing soccer after school, but we're short on players.\Will you be our goalie? response:	No, I won't.
context: How Vampires and Snow Women Can Spend Summer in Comfort\Interviews with Monster Girls\Demi-chans Want to Support\Hey, Tetsu-sensei...\Perfect timing!\We're playing soccer after school, but we're short on players.\Will you be our goalie?\No, I won't. response:	Why not? You have nothing else to do, right?
context: Interviews with Monster Girls\Demi-chans Want to Support\Hey, Tetsu-sensei...\Perfect timing!\We're playing soccer after school, but we're short on players.\Will you be our goalie?\No, I won't.\Why not? You have nothing else to do, right? response:	What, exactly, do you think teachers are?
context: Demi-chans Want to Support\Hey, Tetsu-sensei...\Perfect timing!\We're playing soccer after school, but we're short on players.\Will you be our goalie?\No, I won't.\Why not? You have nothing else to do, right?\What, exactly, do you think teachers are? response:	Either way, I can't today.
context: Hey, Tetsu-sensei...\Perfect timing!\We're playing soccer after school, but we're short on players.\Will you be our goalie?\No, I won't.\Why not? You have nothing else to do, right?\What, exactly, do you think teachers are?\Either way, I can't today. response:	I'm working on a plan to help Yuki and Hikari pass the summer in comfort.
context: Perfect timing!\We're playing soccer after school, but we're short on players.\Will you be our goalie?\No, I won't.\Why not? You have nothing else to do, right?\What, exactly, do you think teachers are?\Either way, I can't today.\I'm working on a plan to help Yuki and Hikari pass the summer in comfort. response:	What? Again?
context: We're playing soccer after school, but we're short on players.\Will you be our goalie?\No, I won't.\Why not? You have nothing else to do, right?\What, exactly, do you think teachers are?\Either way, I can't today.\I'm working on a plan to help Yuki and Hikari pass the summer in comfort.\What? Again? response:	Eh?
context: Will you be our goalie?\No, I won't.\Why not? You have nothing else to do, right?\What, exactly, do you think teachers are?\Either way, I can't today.\I'm working on a plan to help Yuki and Hikari pass the summer in comfort.\What? Again?\Eh? response:	You've become the demi-chans' personal teacher, huh?
context: No, I won't.\Why not? You have nothing else to do, right?\What, exactly, do you think teachers are?\Either way, I can't today.\I'm working on a plan to help Yuki and Hikari pass the summer in comfort.\What? Again?\Eh?\You've become the demi-chans' personal teacher, huh? response:	Huh? H-Have I?
context: Why not? You have nothing else to do, right?\What, exactly, do you think teachers are?\Either way, I can't today.\I'm working on a plan to help Yuki and Hikari pass the summer in comfort.\What? Again?\Eh?\You've become the demi-chans' personal teacher, huh?\Huh? H-Have I? response:	Yeah, you have!
context: What, exactly, do you think teachers are?\Either way, I can't today.\I'm working on a plan to help Yuki and Hikari pass the summer in comfort.\What? Again?\Eh?\You've become the demi-chans' personal teacher, huh?\Huh? H-Have I?\Yeah, you have! response:	You're the only one they'll talk to about their bodies!
context: Either way, I can't today.\I'm working on a plan to help Yuki and Hikari pass the summer in comfort.\What? Again?\Eh?\You've become the demi-chans' personal teacher, huh?\Huh? H-Have I?\Yeah, you have!\You're the only one they'll talk to about their bodies! response:	I am?
context: I'm working on a plan to help Yuki and Hikari pass the summer in comfort.\What? Again?\Eh?\You've become the demi-chans' personal teacher, huh?\Huh? H-Have I?\Yeah, you have!\You're the only one they'll talk to about their bodies!\I am? response:	Yes, you are.
context: What? Again?\Eh?\You've become the demi-chans' personal teacher, huh?\Huh? H-Have I?\Yeah, you have!\You're the only one they'll talk to about their bodies!\I am?\Yes, you are. response:	Oh, Vice Principal...
context: Eh?\You've become the demi-chans' personal teacher, huh?\Huh? H-Have I?\Yeah, you have!\You're the only one they'll talk to about their bodies!\I am?\Yes, you are.\Oh, Vice Principal... response:	Hello.
context: You've become the demi-chans' personal teacher, huh?\Huh? H-Have I?\Yeah, you have!\You're the only one they'll talk to about their bodies!\I am?\Yes, you are.\Oh, Vice Principal...\Hello. response:	Offering counsel to our demi-human students is a very good thing.
context: Huh? H-Have I?\Yeah, you have!\You're the only one they'll talk to about their bodies!\I am?\Yes, you are.\Oh, Vice Principal...\Hello.\Offering counsel to our demi-human students is a very good thing. response:	But working too hard at it causes a bit of a problem.
context: Yeah, you have!\You're the only one they'll talk to about their bodies!\I am?\Yes, you are.\Oh, Vice Principal...\Hello.\Offering counsel to our demi-human students is a very good thing.\But working too hard at it causes a bit of a problem. response:	You need to pay attention to students who aren't demi-humans, as well.
context: You're the only one they'll talk to about their bodies!\I am?\Yes, you are.\Oh, Vice Principal...\Hello.\Offering counsel to our demi-human students is a very good thing.\But working too hard at it causes a bit of a problem.\You need to pay attention to students who aren't demi-humans, as well. response:	R-Right...
context: I am?\Yes, you are.\Oh, Vice Principal...\Hello.\Offering counsel to our demi-human students is a very good thing.\But working too hard at it causes a bit of a problem.\You need to pay attention to students who aren't demi-humans, as well.\R-Right... response:	Nah, I think Tetsu-sensei looks after non-demi students really well!
context: Yes, you are.\Oh, Vice Principal...\Hello.\Offering counsel to our demi-human students is a very good thing.\But working too hard at it causes a bit of a problem.\You need to pay attention to students who aren't demi-humans, as well.\R-Right...\Nah, I think Tetsu-sensei looks after non-demi students really well! response:	Uh, s-sir.
context: Oh, Vice Principal...\Hello.\Offering counsel to our demi-human students is a very good thing.\But working too hard at it causes a bit of a problem.\You need to pay attention to students who aren't demi-humans, as well.\R-Right...\Nah, I think Tetsu-sensei looks after non-demi students really well!\Uh, s-sir. response:	Then why do the demi-human students only rely on Takahashi-sensei?
context: Hello.\Offering counsel to our demi-human students is a very good thing.\But working too hard at it causes a bit of a problem.\You need to pay attention to students who aren't demi-humans, as well.\R-Right...\Nah, I think Tetsu-sensei looks after non-demi students really well!\Uh, s-sir.\Then why do the demi-human students only rely on Takahashi-sensei? response:	Well...
context: Offering counsel to our demi-human students is a very good thing.\But working too hard at it causes a bit of a problem.\You need to pay attention to students who aren't demi-humans, as well.\R-Right...\Nah, I think Tetsu-sensei looks after non-demi students really well!\Uh, s-sir.\Then why do the demi-human students only rely on Takahashi-sensei?\Well... response:	Uh...
context: But working too hard at it causes a bit of a problem.\You need to pay attention to students who aren't demi-humans, as well.\R-Right...\Nah, I think Tetsu-sensei looks after non-demi students really well!\Uh, s-sir.\Then why do the demi-human students only rely on Takahashi-sensei?\Well...\Uh... response:	You're trying too hard.
context: You need to pay attention to students who aren't demi-humans, as well.\R-Right...\Nah, I think Tetsu-sensei looks after non-demi students really well!\Uh, s-sir.\Then why do the demi-human students only rely on Takahashi-sensei?\Well...\Uh...\You're trying too hard. response:	If you would show some restraint,
context: R-Right...\Nah, I think Tetsu-sensei looks after non-demi students really well!\Uh, s-sir.\Then why do the demi-human students only rely on Takahashi-sensei?\Well...\Uh...\You're trying too hard.\If you would show some restraint, response:	the demi-humans' dependence on you would disperse naturally.
context: Nah, I think Tetsu-sensei looks after non-demi students really well!\Uh, s-sir.\Then why do the demi-human students only rely on Takahashi-sensei?\Well...\Uh...\You're trying too hard.\If you would show some restraint,\the demi-humans' dependence on you would disperse naturally. response:	But I
context: Uh, s-sir.\Then why do the demi-human students only rely on Takahashi-sensei?\Well...\Uh...\You're trying too hard.\If you would show some restraint,\the demi-humans' dependence on you would disperse naturally.\But I response:	Do you think those students
context: Then why do the demi-human students only rely on Takahashi-sensei?\Well...\Uh...\You're trying too hard.\If you would show some restraint,\the demi-humans' dependence on you would disperse naturally.\But I\Do you think those students response:	having no one but you to rely on is a good thing?
context: Well...\Uh...\You're trying too hard.\If you would show some restraint,\the demi-humans' dependence on you would disperse naturally.\But I\Do you think those students\having no one but you to rely on is a good thing? response:	It may take time, but rather than depend on you alone,
context: Uh...\You're trying too hard.\If you would show some restraint,\the demi-humans' dependence on you would disperse naturally.\But I\Do you think those students\having no one but you to rely on is a good thing?\It may take time, but rather than depend on you alone, response:	How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo
context: You're trying too hard.\If you would show some restraint,\the demi-humans' dependence on you would disperse naturally.\But I\Do you think those students\having no one but you to rely on is a good thing?\It may take time, but rather than depend on you alone,\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo response:	they can resolve their problems by interacting with other people.
context: If you would show some restraint,\the demi-humans' dependence on you would disperse naturally.\But I\Do you think those students\having no one but you to rely on is a good thing?\It may take time, but rather than depend on you alone,\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\they can resolve their problems by interacting with other people. response:	Would that not be a more natural course?
context: the demi-humans' dependence on you would disperse naturally.\But I\Do you think those students\having no one but you to rely on is a good thing?\It may take time, but rather than depend on you alone,\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\they can resolve their problems by interacting with other people.\Would that not be a more natural course? response:	That... may be true.
context: But I\Do you think those students\having no one but you to rely on is a good thing?\It may take time, but rather than depend on you alone,\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\they can resolve their problems by interacting with other people.\Would that not be a more natural course?\That... may be true. response:	But I do see the vice principal's point.
context: Do you think those students\having no one but you to rely on is a good thing?\It may take time, but rather than depend on you alone,\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\they can resolve their problems by interacting with other people.\Would that not be a more natural course?\That... may be true.\But I do see the vice principal's point. response:	Huh?
context: having no one but you to rely on is a good thing?\It may take time, but rather than depend on you alone,\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\they can resolve their problems by interacting with other people.\Would that not be a more natural course?\That... may be true.\But I do see the vice principal's point.\Huh? response:	Tetsu-sensei isn't the only teacher in the school.
context: It may take time, but rather than depend on you alone,\How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\they can resolve their problems by interacting with other people.\Would that not be a more natural course?\That... may be true.\But I do see the vice principal's point.\Huh?\Tetsu-sensei isn't the only teacher in the school. response:	If they could turn to lots of people, wouldn't it be better?
context: How Vampires and Snow Women Can Spend Summer in Comfort Takahashi Tetsuo\they can resolve their problems by interacting with other people.\Would that not be a more natural course?\That... may be true.\But I do see the vice principal's point.\Huh?\Tetsu-sensei isn't the only teacher in the school.\If they could turn to lots of people, wouldn't it be better? response:	Would it turn out that way if Tetsu-sensei stopped trying?
context: they can resolve their problems by interacting with other people.\Would that not be a more natural course?\That... may be true.\But I do see the vice principal's point.\Huh?\Tetsu-sensei isn't the only teacher in the school.\If they could turn to lots of people, wouldn't it be better?\Would it turn out that way if Tetsu-sensei stopped trying? response:	Wouldn't it?
context: Would that not be a more natural course?\That... may be true.\But I do see the vice principal's point.\Huh?\Tetsu-sensei isn't the only teacher in the school.\If they could turn to lots of people, wouldn't it be better?\Would it turn out that way if Tetsu-sensei stopped trying?\Wouldn't it? response:	The vice principal said as much.
context: That... may be true.\But I do see the vice principal's point.\Huh?\Tetsu-sensei isn't the only teacher in the school.\If they could turn to lots of people, wouldn't it be better?\Would it turn out that way if Tetsu-sensei stopped trying?\Wouldn't it?\The vice principal said as much. response:	Satake-kun!
context: But I do see the vice principal's point.\Huh?\Tetsu-sensei isn't the only teacher in the school.\If they could turn to lots of people, wouldn't it be better?\Would it turn out that way if Tetsu-sensei stopped trying?\Wouldn't it?\The vice principal said as much.\Satake-kun! response:	Please, Satake...
context: Huh?\Tetsu-sensei isn't the only teacher in the school.\If they could turn to lots of people, wouldn't it be better?\Would it turn out that way if Tetsu-sensei stopped trying?\Wouldn't it?\The vice principal said as much.\Satake-kun!\Please, Satake... response:	Satake-kyun!
context: Tetsu-sensei isn't the only teacher in the school.\If they could turn to lots of people, wouldn't it be better?\Would it turn out that way if Tetsu-sensei stopped trying?\Wouldn't it?\The vice principal said as much.\Satake-kun!\Please, Satake...\Satake-kyun! response:	If he stopped, would they turn to me instead?
context: If they could turn to lots of people, wouldn't it be better?\Would it turn out that way if Tetsu-sensei stopped trying?\Wouldn't it?\The vice principal said as much.\Satake-kun!\Please, Satake...\Satake-kyun!\If he stopped, would they turn to me instead? response:	Well, I don't know if they'd specifically turn to you.
context: Would it turn out that way if Tetsu-sensei stopped trying?\Wouldn't it?\The vice principal said as much.\Satake-kun!\Please, Satake...\Satake-kyun!\If he stopped, would they turn to me instead?\Well, I don't know if they'd specifically turn to you. response:	Sorry.
context: Wouldn't it?\The vice principal said as much.\Satake-kun!\Please, Satake...\Satake-kyun!\If he stopped, would they turn to me instead?\Well, I don't know if they'd specifically turn to you.\Sorry. response:	I was trying to pass it.
context: The vice principal said as much.\Satake-kun!\Please, Satake...\Satake-kyun!\If he stopped, would they turn to me instead?\Well, I don't know if they'd specifically turn to you.\Sorry.\I was trying to pass it. response:	He said that, huh?
context: Satake-kun!\Please, Satake...\Satake-kyun!\If he stopped, would they turn to me instead?\Well, I don't know if they'd specifically turn to you.\Sorry.\I was trying to pass it.\He said that, huh? response:	Come to think of it, they've never asked me for help, either.
context: Please, Satake...\Satake-kyun!\If he stopped, would they turn to me instead?\Well, I don't know if they'd specifically turn to you.\Sorry.\I was trying to pass it.\He said that, huh?\Come to think of it, they've never asked me for help, either. response:	Yeah, I bet.
context: Satake-kyun!\If he stopped, would they turn to me instead?\Well, I don't know if they'd specifically turn to you.\Sorry.\I was trying to pass it.\He said that, huh?\Come to think of it, they've never asked me for help, either.\Yeah, I bet. response:	You'd probably be a last resort.
context: If he stopped, would they turn to me instead?\Well, I don't know if they'd specifically turn to you.\Sorry.\I was trying to pass it.\He said that, huh?\Come to think of it, they've never asked me for help, either.\Yeah, I bet.\You'd probably be a last resort. response:	What?
context: Well, I don't know if they'd specifically turn to you.\Sorry.\I was trying to pass it.\He said that, huh?\Come to think of it, they've never asked me for help, either.\Yeah, I bet.\You'd probably be a last resort.\What? response:	S-Sorry!
context: Sorry.\I was trying to pass it.\He said that, huh?\Come to think of it, they've never asked me for help, either.\Yeah, I bet.\You'd probably be a last resort.\What?\S-Sorry! response:	Anyway, I wonder what the demi-chans need advice about.
context: I was trying to pass it.\He said that, huh?\Come to think of it, they've never asked me for help, either.\Yeah, I bet.\You'd probably be a last resort.\What?\S-Sorry!\Anyway, I wonder what the demi-chans need advice about. response:	Demi-humans are no different than regular humans, are they?
context: He said that, huh?\Come to think of it, they've never asked me for help, either.\Yeah, I bet.\You'd probably be a last resort.\What?\S-Sorry!\Anyway, I wonder what the demi-chans need advice about.\Demi-humans are no different than regular humans, are they? response:	Kusakabe and Takanashi were saying they don't handle heat well.
context: Come to think of it, they've never asked me for help, either.\Yeah, I bet.\You'd probably be a last resort.\What?\S-Sorry!\Anyway, I wonder what the demi-chans need advice about.\Demi-humans are no different than regular humans, are they?\Kusakabe and Takanashi were saying they don't handle heat well. response:	He was wondering how they can live in comfort for summer
context: Yeah, I bet.\You'd probably be a last resort.\What?\S-Sorry!\Anyway, I wonder what the demi-chans need advice about.\Demi-humans are no different than regular humans, are they?\Kusakabe and Takanashi were saying they don't handle heat well.\He was wondering how they can live in comfort for summer response:	They really have to rely on Takahashi for every little thing like that?
context: You'd probably be a last resort.\What?\S-Sorry!\Anyway, I wonder what the demi-chans need advice about.\Demi-humans are no different than regular humans, are they?\Kusakabe and Takanashi were saying they don't handle heat well.\He was wondering how they can live in comfort for summer\They really have to rely on Takahashi for every little thing like that? response:	Hmm... Maybe that's it!
context: What?\S-Sorry!\Anyway, I wonder what the demi-chans need advice about.\Demi-humans are no different than regular humans, are they?\Kusakabe and Takanashi were saying they don't handle heat well.\He was wondering how they can live in comfort for summer\They really have to rely on Takahashi for every little thing like that?\Hmm... Maybe that's it! response:	Takanashi drinks a lot of tomato juice,
context: S-Sorry!\Anyway, I wonder what the demi-chans need advice about.\Demi-humans are no different than regular humans, are they?\Kusakabe and Takanashi were saying they don't handle heat well.\He was wondering how they can live in comfort for summer\They really have to rely on Takahashi for every little thing like that?\Hmm... Maybe that's it!\Takanashi drinks a lot of tomato juice, response:	so maybe you could ask her which brand is best.
context: Anyway, I wonder what the demi-chans need advice about.\Demi-humans are no different than regular humans, are they?\Kusakabe and Takanashi were saying they don't handle heat well.\He was wondering how they can live in comfort for summer\They really have to rely on Takahashi for every little thing like that?\Hmm... Maybe that's it!\Takanashi drinks a lot of tomato juice,\so maybe you could ask her which brand is best. response:	Look it up online.
context: Demi-humans are no different than regular humans, are they?\Kusakabe and Takanashi were saying they don't handle heat well.\He was wondering how they can live in comfort for summer\They really have to rely on Takahashi for every little thing like that?\Hmm... Maybe that's it!\Takanashi drinks a lot of tomato juice,\so maybe you could ask her which brand is best.\Look it up online. response:	Like online reviews are worth anything!
context: Kusakabe and Takanashi were saying they don't handle heat well.\He was wondering how they can live in comfort for summer\They really have to rely on Takahashi for every little thing like that?\Hmm... Maybe that's it!\Takanashi drinks a lot of tomato juice,\so maybe you could ask her which brand is best.\Look it up online.\Like online reviews are worth anything! response:	Shut up!
context: He was wondering how they can live in comfort for summer\They really have to rely on Takahashi for every little thing like that?\Hmm... Maybe that's it!\Takanashi drinks a lot of tomato juice,\so maybe you could ask her which brand is best.\Look it up online.\Like online reviews are worth anything!\Shut up! response:	You know...
context: They really have to rely on Takahashi for every little thing like that?\Hmm... Maybe that's it!\Takanashi drinks a lot of tomato juice,\so maybe you could ask her which brand is best.\Look it up online.\Like online reviews are worth anything!\Shut up!\You know... response:	Should we really think of demis
context: Hmm... Maybe that's it!\Takanashi drinks a lot of tomato juice,\so maybe you could ask her which brand is best.\Look it up online.\Like online reviews are worth anything!\Shut up!\You know...\Should we really think of demis response:	as human, just like the rest of us?
context: Takanashi drinks a lot of tomato juice,\so maybe you could ask her which brand is best.\Look it up online.\Like online reviews are worth anything!\Shut up!\You know...\Should we really think of demis\as human, just like the rest of us? response:	Huh?
context: so maybe you could ask her which brand is best.\Look it up online.\Like online reviews are worth anything!\Shut up!\You know...\Should we really think of demis\as human, just like the rest of us?\Huh? response:	Hey, that's a little...
context: Look it up online.\Like online reviews are worth anything!\Shut up!\You know...\Should we really think of demis\as human, just like the rest of us?\Huh?\Hey, that's a little... response:	You're saying they aren't?
context: Like online reviews are worth anything!\Shut up!\You know...\Should we really think of demis\as human, just like the rest of us?\Huh?\Hey, that's a little...\You're saying they aren't? response:	That's discrimination!
context: Shut up!\You know...\Should we really think of demis\as human, just like the rest of us?\Huh?\Hey, that's a little...\You're saying they aren't?\That's discrimination! response:	Is it?
context: You know...\Should we really think of demis\as human, just like the rest of us?\Huh?\Hey, that's a little...\You're saying they aren't?\That's discrimination!\Is it? response:	Earlier, you said they're basically the same as regular humans,
context: Should we really think of demis\as human, just like the rest of us?\Huh?\Hey, that's a little...\You're saying they aren't?\That's discrimination!\Is it?\Earlier, you said they're basically the same as regular humans, response:	but that means something about them is different, doesn't it?
context: as human, just like the rest of us?\Huh?\Hey, that's a little...\You're saying they aren't?\That's discrimination!\Is it?\Earlier, you said they're basically the same as regular humans,\but that means something about them is different, doesn't it? response:	To ignore that and treat them as normal humans...
context: Huh?\Hey, that's a little...\You're saying they aren't?\That's discrimination!\Is it?\Earlier, you said they're basically the same as regular humans,\but that means something about them is different, doesn't it?\To ignore that and treat them as normal humans... response:	Wouldn't that be real discrimination?
context: Hey, that's a little...\You're saying they aren't?\That's discrimination!\Is it?\Earlier, you said they're basically the same as regular humans,\but that means something about them is different, doesn't it?\To ignore that and treat them as normal humans...\Wouldn't that be real discrimination? response:	I think Takahashi
context: You're saying they aren't?\That's discrimination!\Is it?\Earlier, you said they're basically the same as regular humans,\but that means something about them is different, doesn't it?\To ignore that and treat them as normal humans...\Wouldn't that be real discrimination?\I think Takahashi response:	understands them very well, including those parts of them.
context: That's discrimination!\Is it?\Earlier, you said they're basically the same as regular humans,\but that means something about them is different, doesn't it?\To ignore that and treat them as normal humans...\Wouldn't that be real discrimination?\I think Takahashi\understands them very well, including those parts of them. response:	That's probably why they find him so easy to confide in.
context: Is it?\Earlier, you said they're basically the same as regular humans,\but that means something about them is different, doesn't it?\To ignore that and treat them as normal humans...\Wouldn't that be real discrimination?\I think Takahashi\understands them very well, including those parts of them.\That's probably why they find him so easy to confide in. response:	And what about us?
context: Earlier, you said they're basically the same as regular humans,\but that means something about them is different, doesn't it?\To ignore that and treat them as normal humans...\Wouldn't that be real discrimination?\I think Takahashi\understands them very well, including those parts of them.\That's probably why they find him so easy to confide in.\And what about us? response:	Would a demi want to seek advice from someone
context: but that means something about them is different, doesn't it?\To ignore that and treat them as normal humans...\Wouldn't that be real discrimination?\I think Takahashi\understands them very well, including those parts of them.\That's probably why they find him so easy to confide in.\And what about us?\Would a demi want to seek advice from someone response:	who just blindly thinks of them as normal humans?
context: To ignore that and treat them as normal humans...\Wouldn't that be real discrimination?\I think Takahashi\understands them very well, including those parts of them.\That's probably why they find him so easy to confide in.\And what about us?\Would a demi want to seek advice from someone\who just blindly thinks of them as normal humans? response:	Wouldn't that scare them? And take courage?
context: Wouldn't that be real discrimination?\I think Takahashi\understands them very well, including those parts of them.\That's probably why they find him so easy to confide in.\And what about us?\Would a demi want to seek advice from someone\who just blindly thinks of them as normal humans?\Wouldn't that scare them? And take courage? response:	Maybe they want to be more at ease,
context: I think Takahashi\understands them very well, including those parts of them.\That's probably why they find him so easy to confide in.\And what about us?\Would a demi want to seek advice from someone\who just blindly thinks of them as normal humans?\Wouldn't that scare them? And take courage?\Maybe they want to be more at ease, response:	asking for help or talking about demi-human stuff.
