context: Hey, have you heard the phrase a sea of flames? response:	It's saying that the fire is like the sea, right?
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	Kirihito, are you awake?
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Kirihito, are you awake? response:	How are you feeling?
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Kirihito, are you awake?\How are you feeling? response:	Do you mind if I come in?
context: Hey, God,\I'm your god\I'm your god\I think\I think\Kirihito, are you awake?\How are you feeling?\Do you mind if I come in? response:	You haven't eaten since morning, right?
context: I'm your god\I'm your god\I think\I think\Kirihito, are you awake?\How are you feeling?\Do you mind if I come in?\You haven't eaten since morning, right? response:	You have to eat something.
context: I'm your god\I think\I think\Kirihito, are you awake?\How are you feeling?\Do you mind if I come in?\You haven't eaten since morning, right?\You have to eat something. response:	Oh, good. Your complexion looks great today.
context: I think\I think\Kirihito, are you awake?\How are you feeling?\Do you mind if I come in?\You haven't eaten since morning, right?\You have to eat something.\Oh, good. Your complexion looks great today. response:	It's your favorite: sauteed liver with garlic chives.
context: I think\Kirihito, are you awake?\How are you feeling?\Do you mind if I come in?\You haven't eaten since morning, right?\You have to eat something.\Oh, good. Your complexion looks great today.\It's your favorite: sauteed liver with garlic chives. response:	Boys need to eat a lot to build their strength.
context: Kirihito, are you awake?\How are you feeling?\Do you mind if I come in?\You haven't eaten since morning, right?\You have to eat something.\Oh, good. Your complexion looks great today.\It's your favorite: sauteed liver with garlic chives.\Boys need to eat a lot to build their strength. response:	If you don't eat, you won't heal as quickly, okay?
context: How are you feeling?\Do you mind if I come in?\You haven't eaten since morning, right?\You have to eat something.\Oh, good. Your complexion looks great today.\It's your favorite: sauteed liver with garlic chives.\Boys need to eat a lot to build their strength.\If you don't eat, you won't heal as quickly, okay? response:	Oh, dear, your hand is so cold.
context: Do you mind if I come in?\You haven't eaten since morning, right?\You have to eat something.\Oh, good. Your complexion looks great today.\It's your favorite: sauteed liver with garlic chives.\Boys need to eat a lot to build their strength.\If you don't eat, you won't heal as quickly, okay?\Oh, dear, your hand is so cold. response:	Did you forget to turn on the heat?
context: You haven't eaten since morning, right?\You have to eat something.\Oh, good. Your complexion looks great today.\It's your favorite: sauteed liver with garlic chives.\Boys need to eat a lot to build their strength.\If you don't eat, you won't heal as quickly, okay?\Oh, dear, your hand is so cold.\Did you forget to turn on the heat? response:	I told you, didn't I? I'm busy right now.
context: You have to eat something.\Oh, good. Your complexion looks great today.\It's your favorite: sauteed liver with garlic chives.\Boys need to eat a lot to build their strength.\If you don't eat, you won't heal as quickly, okay?\Oh, dear, your hand is so cold.\Did you forget to turn on the heat?\I told you, didn't I? I'm busy right now. response:	You don't need to prepare my meals for me.
context: Oh, good. Your complexion looks great today.\It's your favorite: sauteed liver with garlic chives.\Boys need to eat a lot to build their strength.\If you don't eat, you won't heal as quickly, okay?\Oh, dear, your hand is so cold.\Did you forget to turn on the heat?\I told you, didn't I? I'm busy right now.\You don't need to prepare my meals for me. response:	Leave me alone, Mother.
context: It's your favorite: sauteed liver with garlic chives.\Boys need to eat a lot to build their strength.\If you don't eat, you won't heal as quickly, okay?\Oh, dear, your hand is so cold.\Did you forget to turn on the heat?\I told you, didn't I? I'm busy right now.\You don't need to prepare my meals for me.\Leave me alone, Mother. response:	Y-You're right. I'm sorry for interrupting your studies.
context: Boys need to eat a lot to build their strength.\If you don't eat, you won't heal as quickly, okay?\Oh, dear, your hand is so cold.\Did you forget to turn on the heat?\I told you, didn't I? I'm busy right now.\You don't need to prepare my meals for me.\Leave me alone, Mother.\Y-You're right. I'm sorry for interrupting your studies. response:	But...
context: If you don't eat, you won't heal as quickly, okay?\Oh, dear, your hand is so cold.\Did you forget to turn on the heat?\I told you, didn't I? I'm busy right now.\You don't need to prepare my meals for me.\Leave me alone, Mother.\Y-You're right. I'm sorry for interrupting your studies.\But... response:	Meals are a different matter.
context: Oh, dear, your hand is so cold.\Did you forget to turn on the heat?\I told you, didn't I? I'm busy right now.\You don't need to prepare my meals for me.\Leave me alone, Mother.\Y-You're right. I'm sorry for interrupting your studies.\But...\Meals are a different matter. response:	Make sure you eat it all.
context: Did you forget to turn on the heat?\I told you, didn't I? I'm busy right now.\You don't need to prepare my meals for me.\Leave me alone, Mother.\Y-You're right. I'm sorry for interrupting your studies.\But...\Meals are a different matter.\Make sure you eat it all. response:	Once you're done, leave the plates out in the hallway for me.
context: I told you, didn't I? I'm busy right now.\You don't need to prepare my meals for me.\Leave me alone, Mother.\Y-You're right. I'm sorry for interrupting your studies.\But...\Meals are a different matter.\Make sure you eat it all.\Once you're done, leave the plates out in the hallway for me. response:	The God Goes Back to Being a Child
context: You don't need to prepare my meals for me.\Leave me alone, Mother.\Y-You're right. I'm sorry for interrupting your studies.\But...\Meals are a different matter.\Make sure you eat it all.\Once you're done, leave the plates out in the hallway for me.\The God Goes Back to Being a Child response:	Damn. I never know how to deal with that woman.
context: Leave me alone, Mother.\Y-You're right. I'm sorry for interrupting your studies.\But...\Meals are a different matter.\Make sure you eat it all.\Once you're done, leave the plates out in the hallway for me.\The God Goes Back to Being a Child\Damn. I never know how to deal with that woman. response:	Oh-ho! Are these organ meats, Master Kirihito?
context: Y-You're right. I'm sorry for interrupting your studies.\But...\Meals are a different matter.\Make sure you eat it all.\Once you're done, leave the plates out in the hallway for me.\The God Goes Back to Being a Child\Damn. I never know how to deal with that woman.\Oh-ho! Are these organ meats, Master Kirihito? response:	Liver and chives! Liver and chives!
context: But...\Meals are a different matter.\Make sure you eat it all.\Once you're done, leave the plates out in the hallway for me.\The God Goes Back to Being a Child\Damn. I never know how to deal with that woman.\Oh-ho! Are these organ meats, Master Kirihito?\Liver and chives! Liver and chives! response:	They sealed off Yomotsu Hirasaka, but there are other entrances to the Netherworld.
context: Meals are a different matter.\Make sure you eat it all.\Once you're done, leave the plates out in the hallway for me.\The God Goes Back to Being a Child\Damn. I never know how to deal with that woman.\Oh-ho! Are these organ meats, Master Kirihito?\Liver and chives! Liver and chives!\They sealed off Yomotsu Hirasaka, but there are other entrances to the Netherworld. response:	I made this stone mirror with soil I brought back from the Netherworld.
context: Make sure you eat it all.\Once you're done, leave the plates out in the hallway for me.\The God Goes Back to Being a Child\Damn. I never know how to deal with that woman.\Oh-ho! Are these organ meats, Master Kirihito?\Liver and chives! Liver and chives!\They sealed off Yomotsu Hirasaka, but there are other entrances to the Netherworld.\I made this stone mirror with soil I brought back from the Netherworld. response:	When it resonates at the frequency of the Netherworld,
context: Once you're done, leave the plates out in the hallway for me.\The God Goes Back to Being a Child\Damn. I never know how to deal with that woman.\Oh-ho! Are these organ meats, Master Kirihito?\Liver and chives! Liver and chives!\They sealed off Yomotsu Hirasaka, but there are other entrances to the Netherworld.\I made this stone mirror with soil I brought back from the Netherworld.\When it resonates at the frequency of the Netherworld, response:	the entrance should be complete.
context: The God Goes Back to Being a Child\Damn. I never know how to deal with that woman.\Oh-ho! Are these organ meats, Master Kirihito?\Liver and chives! Liver and chives!\They sealed off Yomotsu Hirasaka, but there are other entrances to the Netherworld.\I made this stone mirror with soil I brought back from the Netherworld.\When it resonates at the frequency of the Netherworld,\the entrance should be complete. response:	And soon enough...
context: Damn. I never know how to deal with that woman.\Oh-ho! Are these organ meats, Master Kirihito?\Liver and chives! Liver and chives!\They sealed off Yomotsu Hirasaka, but there are other entrances to the Netherworld.\I made this stone mirror with soil I brought back from the Netherworld.\When it resonates at the frequency of the Netherworld,\the entrance should be complete.\And soon enough... response:	the door will open!
context: Oh-ho! Are these organ meats, Master Kirihito?\Liver and chives! Liver and chives!\They sealed off Yomotsu Hirasaka, but there are other entrances to the Netherworld.\I made this stone mirror with soil I brought back from the Netherworld.\When it resonates at the frequency of the Netherworld,\the entrance should be complete.\And soon enough...\the door will open! response:	I'll enter the Netherworld once more, and this time, I will regain my old body.
context: Liver and chives! Liver and chives!\They sealed off Yomotsu Hirasaka, but there are other entrances to the Netherworld.\I made this stone mirror with soil I brought back from the Netherworld.\When it resonates at the frequency of the Netherworld,\the entrance should be complete.\And soon enough...\the door will open!\I'll enter the Netherworld once more, and this time, I will regain my old body. response:	The two of you can stay here.
context: They sealed off Yomotsu Hirasaka, but there are other entrances to the Netherworld.\I made this stone mirror with soil I brought back from the Netherworld.\When it resonates at the frequency of the Netherworld,\the entrance should be complete.\And soon enough...\the door will open!\I'll enter the Netherworld once more, and this time, I will regain my old body.\The two of you can stay here. response:	Daemons and spirits turn to dust when they come in contact with the air of the Netherworld.
context: I made this stone mirror with soil I brought back from the Netherworld.\When it resonates at the frequency of the Netherworld,\the entrance should be complete.\And soon enough...\the door will open!\I'll enter the Netherworld once more, and this time, I will regain my old body.\The two of you can stay here.\Daemons and spirits turn to dust when they come in contact with the air of the Netherworld. response:	But will you be all right going alone?
context: When it resonates at the frequency of the Netherworld,\the entrance should be complete.\And soon enough...\the door will open!\I'll enter the Netherworld once more, and this time, I will regain my old body.\The two of you can stay here.\Daemons and spirits turn to dust when they come in contact with the air of the Netherworld.\But will you be all right going alone? response:	Yeah.
context: the entrance should be complete.\And soon enough...\the door will open!\I'll enter the Netherworld once more, and this time, I will regain my old body.\The two of you can stay here.\Daemons and spirits turn to dust when they come in contact with the air of the Netherworld.\But will you be all right going alone?\Yeah. response:	That woman's hair...
context: And soon enough...\the door will open!\I'll enter the Netherworld once more, and this time, I will regain my old body.\The two of you can stay here.\Daemons and spirits turn to dust when they come in contact with the air of the Netherworld.\But will you be all right going alone?\Yeah.\That woman's hair... response:	That is the key.
context: the door will open!\I'll enter the Netherworld once more, and this time, I will regain my old body.\The two of you can stay here.\Daemons and spirits turn to dust when they come in contact with the air of the Netherworld.\But will you be all right going alone?\Yeah.\That woman's hair...\That is the key. response:	Heading out to do battle, Master Kirihito?
context: I'll enter the Netherworld once more, and this time, I will regain my old body.\The two of you can stay here.\Daemons and spirits turn to dust when they come in contact with the air of the Netherworld.\But will you be all right going alone?\Yeah.\That woman's hair...\That is the key.\Heading out to do battle, Master Kirihito? response:	How incredibly brave of you.
context: The two of you can stay here.\Daemons and spirits turn to dust when they come in contact with the air of the Netherworld.\But will you be all right going alone?\Yeah.\That woman's hair...\That is the key.\Heading out to do battle, Master Kirihito?\How incredibly brave of you. response:	I would absolutely love it if you took me to the Netherworld with you.
context: Daemons and spirits turn to dust when they come in contact with the air of the Netherworld.\But will you be all right going alone?\Yeah.\That woman's hair...\That is the key.\Heading out to do battle, Master Kirihito?\How incredibly brave of you.\I would absolutely love it if you took me to the Netherworld with you. response:	You! You're that rude bastard from before!
context: But will you be all right going alone?\Yeah.\That woman's hair...\That is the key.\Heading out to do battle, Master Kirihito?\How incredibly brave of you.\I would absolutely love it if you took me to the Netherworld with you.\You! You're that rude bastard from before! response:	Whoa-oh.
context: Yeah.\That woman's hair...\That is the key.\Heading out to do battle, Master Kirihito?\How incredibly brave of you.\I would absolutely love it if you took me to the Netherworld with you.\You! You're that rude bastard from before!\Whoa-oh. response:	What are you doing here?!
context: That woman's hair...\That is the key.\Heading out to do battle, Master Kirihito?\How incredibly brave of you.\I would absolutely love it if you took me to the Netherworld with you.\You! You're that rude bastard from before!\Whoa-oh.\What are you doing here?! response:	Well, I am so ashamed about what happened with Kurama.
context: That is the key.\Heading out to do battle, Master Kirihito?\How incredibly brave of you.\I would absolutely love it if you took me to the Netherworld with you.\You! You're that rude bastard from before!\Whoa-oh.\What are you doing here?!\Well, I am so ashamed about what happened with Kurama. response:	I really dropped the ball there.
context: Heading out to do battle, Master Kirihito?\How incredibly brave of you.\I would absolutely love it if you took me to the Netherworld with you.\You! You're that rude bastard from before!\Whoa-oh.\What are you doing here?!\Well, I am so ashamed about what happened with Kurama.\I really dropped the ball there. response:	You're pathetic.
context: How incredibly brave of you.\I would absolutely love it if you took me to the Netherworld with you.\You! You're that rude bastard from before!\Whoa-oh.\What are you doing here?!\Well, I am so ashamed about what happened with Kurama.\I really dropped the ball there.\You're pathetic. response:	You talk such a big game, and then you come back here with nothing to show for it. That's gutsy, Yatori.
context: I would absolutely love it if you took me to the Netherworld with you.\You! You're that rude bastard from before!\Whoa-oh.\What are you doing here?!\Well, I am so ashamed about what happened with Kurama.\I really dropped the ball there.\You're pathetic.\You talk such a big game, and then you come back here with nothing to show for it. That's gutsy, Yatori. response:	I'm so flattered! You actually remember who I am!
context: You! You're that rude bastard from before!\Whoa-oh.\What are you doing here?!\Well, I am so ashamed about what happened with Kurama.\I really dropped the ball there.\You're pathetic.\You talk such a big game, and then you come back here with nothing to show for it. That's gutsy, Yatori.\I'm so flattered! You actually remember who I am! response:	Trickle
context: Whoa-oh.\What are you doing here?!\Well, I am so ashamed about what happened with Kurama.\I really dropped the ball there.\You're pathetic.\You talk such a big game, and then you come back here with nothing to show for it. That's gutsy, Yatori.\I'm so flattered! You actually remember who I am!\Trickle response:	Trickle
context: What are you doing here?!\Well, I am so ashamed about what happened with Kurama.\I really dropped the ball there.\You're pathetic.\You talk such a big game, and then you come back here with nothing to show for it. That's gutsy, Yatori.\I'm so flattered! You actually remember who I am!\Trickle\Trickle response:	Master Kirihito!
context: Well, I am so ashamed about what happened with Kurama.\I really dropped the ball there.\You're pathetic.\You talk such a big game, and then you come back here with nothing to show for it. That's gutsy, Yatori.\I'm so flattered! You actually remember who I am!\Trickle\Trickle\Master Kirihito! response:	Of course.
context: I really dropped the ball there.\You're pathetic.\You talk such a big game, and then you come back here with nothing to show for it. That's gutsy, Yatori.\I'm so flattered! You actually remember who I am!\Trickle\Trickle\Master Kirihito!\Of course. response:	Do I look so stupid that I can't even remember your name?
context: You're pathetic.\You talk such a big game, and then you come back here with nothing to show for it. That's gutsy, Yatori.\I'm so flattered! You actually remember who I am!\Trickle\Trickle\Master Kirihito!\Of course.\Do I look so stupid that I can't even remember your name? response:	Master Kirihito!
context: You talk such a big game, and then you come back here with nothing to show for it. That's gutsy, Yatori.\I'm so flattered! You actually remember who I am!\Trickle\Trickle\Master Kirihito!\Of course.\Do I look so stupid that I can't even remember your name?\Master Kirihito! response:	The stone mirror is about to open!
context: I'm so flattered! You actually remember who I am!\Trickle\Trickle\Master Kirihito!\Of course.\Do I look so stupid that I can't even remember your name?\Master Kirihito!\The stone mirror is about to open! response:	It's finally opening...
context: Trickle\Trickle\Master Kirihito!\Of course.\Do I look so stupid that I can't even remember your name?\Master Kirihito!\The stone mirror is about to open!\It's finally opening... response:	Master Kirihito, I would like to accompany you as well.
context: Trickle\Master Kirihito!\Of course.\Do I look so stupid that I can't even remember your name?\Master Kirihito!\The stone mirror is about to open!\It's finally opening...\Master Kirihito, I would like to accompany you as well. response:	No way!
context: Master Kirihito!\Of course.\Do I look so stupid that I can't even remember your name?\Master Kirihito!\The stone mirror is about to open!\It's finally opening...\Master Kirihito, I would like to accompany you as well.\No way! response:	Fine.
context: Of course.\Do I look so stupid that I can't even remember your name?\Master Kirihito!\The stone mirror is about to open!\It's finally opening...\Master Kirihito, I would like to accompany you as well.\No way!\Fine. response:	What?
context: Do I look so stupid that I can't even remember your name?\Master Kirihito!\The stone mirror is about to open!\It's finally opening...\Master Kirihito, I would like to accompany you as well.\No way!\Fine.\What? response:	Have it your way.
context: Master Kirihito!\The stone mirror is about to open!\It's finally opening...\Master Kirihito, I would like to accompany you as well.\No way!\Fine.\What?\Have it your way. response:	If you can keep up.
context: The stone mirror is about to open!\It's finally opening...\Master Kirihito, I would like to accompany you as well.\No way!\Fine.\What?\Have it your way.\If you can keep up. response:	The underground world of stench and defilement.
context: It's finally opening...\Master Kirihito, I would like to accompany you as well.\No way!\Fine.\What?\Have it your way.\If you can keep up.\The underground world of stench and defilement. response:	Those who cannot withstand the poisonous atmosphere turn to dust.
context: Master Kirihito, I would like to accompany you as well.\No way!\Fine.\What?\Have it your way.\If you can keep up.\The underground world of stench and defilement.\Those who cannot withstand the poisonous atmosphere turn to dust. response:	Slumbering somewhere down here is my body.
context: No way!\Fine.\What?\Have it your way.\If you can keep up.\The underground world of stench and defilement.\Those who cannot withstand the poisonous atmosphere turn to dust.\Slumbering somewhere down here is my body. response:	And I will get it back.
context: Fine.\What?\Have it your way.\If you can keep up.\The underground world of stench and defilement.\Those who cannot withstand the poisonous atmosphere turn to dust.\Slumbering somewhere down here is my body.\And I will get it back. response:	It's massive.
