context: Yuuichi! response:	Sorry! Were you waiting long?
context: That's just your opinion, Yukimura-kun.\The exact boundaries of our meeting place, in front of the Hachisuke statue,\were not clearly defined.\I can see that your impudence, at least, is first-class as always today.\Why, thank you.\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station. Proceed toward the Yono shopping district. Approx. 3 min 15 sec response:	Now then.
context: The exact boundaries of our meeting place, in front of the Hachisuke statue,\were not clearly defined.\I can see that your impudence, at least, is first-class as always today.\Why, thank you.\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station. Proceed toward the Yono shopping district. Approx. 3 min 15 sec\Now then. response:	According to the date plan we optimized yesterday...
context: were not clearly defined.\I can see that your impudence, at least, is first-class as always today.\Why, thank you.\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station. Proceed toward the Yono shopping district. Approx. 3 min 15 sec\Now then.\According to the date plan we optimized yesterday... response:	After walking 3 minutes and 15 seconds from here
context: I can see that your impudence, at least, is first-class as always today.\Why, thank you.\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station. Proceed toward the Yono shopping district. Approx. 3 min 15 sec\Now then.\According to the date plan we optimized yesterday...\After walking 3 minutes and 15 seconds from here response:	we shop for 37 minutes and 28 seconds. Correct?
context: Why, thank you.\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station. Proceed toward the Yono shopping district. Approx. 3 min 15 sec\Now then.\According to the date plan we optimized yesterday...\After walking 3 minutes and 15 seconds from here\we shop for 37 minutes and 28 seconds. Correct? response:	Where should we go?
context: Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station. Proceed toward the Yono shopping district. Approx. 3 min 15 sec\Now then.\According to the date plan we optimized yesterday...\After walking 3 minutes and 15 seconds from here\we shop for 37 minutes and 28 seconds. Correct?\Where should we go? response:	Let's see...
context: Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station. Proceed toward the Yono shopping district. Approx. 3 min 15 sec\Now then.\According to the date plan we optimized yesterday...\After walking 3 minutes and 15 seconds from here\we shop for 37 minutes and 28 seconds. Correct?\Where should we go?\Let's see... response:	Let us begin our date!
context: Meet in front of the Hachisuke statue at Higashiyono Station. Proceed toward the Yono shopping district. Approx. 3 min 15 sec\Now then.\According to the date plan we optimized yesterday...\After walking 3 minutes and 15 seconds from here\we shop for 37 minutes and 28 seconds. Correct?\Where should we go?\Let's see...\Let us begin our date! response:	Yes.
context: Now then.\According to the date plan we optimized yesterday...\After walking 3 minutes and 15 seconds from here\we shop for 37 minutes and 28 seconds. Correct?\Where should we go?\Let's see...\Let us begin our date!\Yes. response:	Science Fell in Love, So I Tried to Prove It
context: According to the date plan we optimized yesterday...\After walking 3 minutes and 15 seconds from here\we shop for 37 minutes and 28 seconds. Correct?\Where should we go?\Let's see...\Let us begin our date!\Yes.\Science Fell in Love, So I Tried to Prove It response:	What's going on...?
context: After walking 3 minutes and 15 seconds from here\we shop for 37 minutes and 28 seconds. Correct?\Where should we go?\Let's see...\Let us begin our date!\Yes.\Science Fell in Love, So I Tried to Prove It\What's going on...? response:	A hospital director going on rounds?
context: we shop for 37 minutes and 28 seconds. Correct?\Where should we go?\Let's see...\Let us begin our date!\Yes.\Science Fell in Love, So I Tried to Prove It\What's going on...?\A hospital director going on rounds? response:	Stop!
context: Where should we go?\Let's see...\Let us begin our date!\Yes.\Science Fell in Love, So I Tried to Prove It\What's going on...?\A hospital director going on rounds?\Stop! response:	Proof 4 Science-types Fell in Love, So They Tried Going on a Date.
context: Let's see...\Let us begin our date!\Yes.\Science Fell in Love, So I Tried to Prove It\What's going on...?\A hospital director going on rounds?\Stop!\Proof 4 Science-types Fell in Love, So They Tried Going on a Date. response:	Oh, Kanade-chan. What's wrong?
context: Let us begin our date!\Yes.\Science Fell in Love, So I Tried to Prove It\What's going on...?\A hospital director going on rounds?\Stop!\Proof 4 Science-types Fell in Love, So They Tried Going on a Date.\Oh, Kanade-chan. What's wrong? response:	Your duties here only include observation and recording.
context: Yes.\Science Fell in Love, So I Tried to Prove It\What's going on...?\A hospital director going on rounds?\Stop!\Proof 4 Science-types Fell in Love, So They Tried Going on a Date.\Oh, Kanade-chan. What's wrong?\Your duties here only include observation and recording. response:	Do not intervene in the date!
context: Science Fell in Love, So I Tried to Prove It\What's going on...?\A hospital director going on rounds?\Stop!\Proof 4 Science-types Fell in Love, So They Tried Going on a Date.\Oh, Kanade-chan. What's wrong?\Your duties here only include observation and recording.\Do not intervene in the date! response:	It's not like I particularly want to interfere with your date, you know.
context: What's going on...?\A hospital director going on rounds?\Stop!\Proof 4 Science-types Fell in Love, So They Tried Going on a Date.\Oh, Kanade-chan. What's wrong?\Your duties here only include observation and recording.\Do not intervene in the date!\It's not like I particularly want to interfere with your date, you know. response:	But there are just too many things to call you out on.
context: A hospital director going on rounds?\Stop!\Proof 4 Science-types Fell in Love, So They Tried Going on a Date.\Oh, Kanade-chan. What's wrong?\Your duties here only include observation and recording.\Do not intervene in the date!\It's not like I particularly want to interfere with your date, you know.\But there are just too many things to call you out on. response:	Call us out?
context: Stop!\Proof 4 Science-types Fell in Love, So They Tried Going on a Date.\Oh, Kanade-chan. What's wrong?\Your duties here only include observation and recording.\Do not intervene in the date!\It's not like I particularly want to interfere with your date, you know.\But there are just too many things to call you out on.\Call us out? response:	Plan for Date with Yukimura
context: Proof 4 Science-types Fell in Love, So They Tried Going on a Date.\Oh, Kanade-chan. What's wrong?\Your duties here only include observation and recording.\Do not intervene in the date!\It's not like I particularly want to interfere with your date, you know.\But there are just too many things to call you out on.\Call us out?\Plan for Date with Yukimura response:	Itinerary
context: Oh, Kanade-chan. What's wrong?\Your duties here only include observation and recording.\Do not intervene in the date!\It's not like I particularly want to interfere with your date, you know.\But there are just too many things to call you out on.\Call us out?\Plan for Date with Yukimura\Itinerary response:	Meet in front of the Hachisuke statue at Higashiyono Station Proceed toward the Yono shopping district. Approx. 3 min 15 sec
context: Your duties here only include observation and recording.\Do not intervene in the date!\It's not like I particularly want to interfere with your date, you know.\But there are just too many things to call you out on.\Call us out?\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station Proceed toward the Yono shopping district. Approx. 3 min 15 sec response:	We are executing the date according to the optimized plan we created yesterday.
context: Do not intervene in the date!\It's not like I particularly want to interfere with your date, you know.\But there are just too many things to call you out on.\Call us out?\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station Proceed toward the Yono shopping district. Approx. 3 min 15 sec\We are executing the date according to the optimized plan we created yesterday. response:	Then, let me say just one thing.
context: It's not like I particularly want to interfere with your date, you know.\But there are just too many things to call you out on.\Call us out?\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station Proceed toward the Yono shopping district. Approx. 3 min 15 sec\We are executing the date according to the optimized plan we created yesterday.\Then, let me say just one thing. response:	Why are you wearing lab coats on a date?
context: But there are just too many things to call you out on.\Call us out?\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station Proceed toward the Yono shopping district. Approx. 3 min 15 sec\We are executing the date according to the optimized plan we created yesterday.\Then, let me say just one thing.\Why are you wearing lab coats on a date? response:	We're going to go buy clothes! Clothes!
context: Call us out?\Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station Proceed toward the Yono shopping district. Approx. 3 min 15 sec\We are executing the date according to the optimized plan we created yesterday.\Then, let me say just one thing.\Why are you wearing lab coats on a date?\We're going to go buy clothes! Clothes! response:	minutes later.
context: Plan for Date with Yukimura\Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station Proceed toward the Yono shopping district. Approx. 3 min 15 sec\We are executing the date according to the optimized plan we created yesterday.\Then, let me say just one thing.\Why are you wearing lab coats on a date?\We're going to go buy clothes! Clothes!\minutes later. response:	What happened to Himuro and Kanade?
context: Itinerary\Meet in front of the Hachisuke statue at Higashiyono Station Proceed toward the Yono shopping district. Approx. 3 min 15 sec\We are executing the date according to the optimized plan we created yesterday.\Then, let me say just one thing.\Why are you wearing lab coats on a date?\We're going to go buy clothes! Clothes!\minutes later.\What happened to Himuro and Kanade? response:	They're not back yet?
context: Meet in front of the Hachisuke statue at Higashiyono Station Proceed toward the Yono shopping district. Approx. 3 min 15 sec\We are executing the date according to the optimized plan we created yesterday.\Then, let me say just one thing.\Why are you wearing lab coats on a date?\We're going to go buy clothes! Clothes!\minutes later.\What happened to Himuro and Kanade?\They're not back yet? response:	Doesn't seem like it. They're taking forever.
context: We are executing the date according to the optimized plan we created yesterday.\Then, let me say just one thing.\Why are you wearing lab coats on a date?\We're going to go buy clothes! Clothes!\minutes later.\What happened to Himuro and Kanade?\They're not back yet?\Doesn't seem like it. They're taking forever. response:	We can only stay here another 25 minutes and 08 seconds.
context: Then, let me say just one thing.\Why are you wearing lab coats on a date?\We're going to go buy clothes! Clothes!\minutes later.\What happened to Himuro and Kanade?\They're not back yet?\Doesn't seem like it. They're taking forever.\We can only stay here another 25 minutes and 08 seconds. response:	At this rate, it will negatively impact the next item on the schedule.
context: Why are you wearing lab coats on a date?\We're going to go buy clothes! Clothes!\minutes later.\What happened to Himuro and Kanade?\They're not back yet?\Doesn't seem like it. They're taking forever.\We can only stay here another 25 minutes and 08 seconds.\At this rate, it will negatively impact the next item on the schedule. response:	Should we rework the schedule?
context: We're going to go buy clothes! Clothes!\minutes later.\What happened to Himuro and Kanade?\They're not back yet?\Doesn't seem like it. They're taking forever.\We can only stay here another 25 minutes and 08 seconds.\At this rate, it will negatively impact the next item on the schedule.\Should we rework the schedule? response:	We put in all that work to prepare it.
context: minutes later.\What happened to Himuro and Kanade?\They're not back yet?\Doesn't seem like it. They're taking forever.\We can only stay here another 25 minutes and 08 seconds.\At this rate, it will negatively impact the next item on the schedule.\Should we rework the schedule?\We put in all that work to prepare it. response:	minutes earlier.
context: What happened to Himuro and Kanade?\They're not back yet?\Doesn't seem like it. They're taking forever.\We can only stay here another 25 minutes and 08 seconds.\At this rate, it will negatively impact the next item on the schedule.\Should we rework the schedule?\We put in all that work to prepare it.\minutes earlier. response:	hours
context: They're not back yet?\Doesn't seem like it. They're taking forever.\We can only stay here another 25 minutes and 08 seconds.\At this rate, it will negatively impact the next item on the schedule.\Should we rework the schedule?\We put in all that work to prepare it.\minutes earlier.\hours response:	Date Experiment Protocol
context: Doesn't seem like it. They're taking forever.\We can only stay here another 25 minutes and 08 seconds.\At this rate, it will negatively impact the next item on the schedule.\Should we rework the schedule?\We put in all that work to prepare it.\minutes earlier.\hours\Date Experiment Protocol response:	Himuro Ayame Yukimura Shinya
context: We can only stay here another 25 minutes and 08 seconds.\At this rate, it will negatively impact the next item on the schedule.\Should we rework the schedule?\We put in all that work to prepare it.\minutes earlier.\hours\Date Experiment Protocol\Himuro Ayame Yukimura Shinya response:	Itinerary
context: At this rate, it will negatively impact the next item on the schedule.\Should we rework the schedule?\We put in all that work to prepare it.\minutes earlier.\hours\Date Experiment Protocol\Himuro Ayame Yukimura Shinya\Itinerary response:	Begin Date
context: Should we rework the schedule?\We put in all that work to prepare it.\minutes earlier.\hours\Date Experiment Protocol\Himuro Ayame Yukimura Shinya\Itinerary\Begin Date response:	Begin Shopping Date
context: We put in all that work to prepare it.\minutes earlier.\hours\Date Experiment Protocol\Himuro Ayame Yukimura Shinya\Itinerary\Begin Date\Begin Shopping Date response:	Begin Lunch Date
context: minutes earlier.\hours\Date Experiment Protocol\Himuro Ayame Yukimura Shinya\Itinerary\Begin Date\Begin Shopping Date\Begin Lunch Date response:	Begin Movie Appreciation Date
context: hours\Date Experiment Protocol\Himuro Ayame Yukimura Shinya\Itinerary\Begin Date\Begin Shopping Date\Begin Lunch Date\Begin Movie Appreciation Date response:	Begin Amusement Park Date
context: Date Experiment Protocol\Himuro Ayame Yukimura Shinya\Itinerary\Begin Date\Begin Shopping Date\Begin Lunch Date\Begin Movie Appreciation Date\Begin Amusement Park Date response:	Right.
context: Himuro Ayame Yukimura Shinya\Itinerary\Begin Date\Begin Shopping Date\Begin Lunch Date\Begin Movie Appreciation Date\Begin Amusement Park Date\Right. response:	That should do it for the date plan.
context: Itinerary\Begin Date\Begin Shopping Date\Begin Lunch Date\Begin Movie Appreciation Date\Begin Amusement Park Date\Right.\That should do it for the date plan. response:	Heart Rate Monitor (With Blood Pressure Monitor)
context: Begin Date\Begin Shopping Date\Begin Lunch Date\Begin Movie Appreciation Date\Begin Amusement Park Date\Right.\That should do it for the date plan.\Heart Rate Monitor (With Blood Pressure Monitor) response:	The heart rate and blood pressure monitor can be worn on the wrist.
context: Begin Shopping Date\Begin Lunch Date\Begin Movie Appreciation Date\Begin Amusement Park Date\Right.\That should do it for the date plan.\Heart Rate Monitor (With Blood Pressure Monitor)\The heart rate and blood pressure monitor can be worn on the wrist. response:	Sticker-type Thermometer (Connects with Smartphones)
context: Begin Lunch Date\Begin Movie Appreciation Date\Begin Amusement Park Date\Right.\That should do it for the date plan.\Heart Rate Monitor (With Blood Pressure Monitor)\The heart rate and blood pressure monitor can be worn on the wrist.\Sticker-type Thermometer (Connects with Smartphones) response:	For body temperature, we'll use a sticker-type thermometer with smartphone connectivity.
context: Begin Movie Appreciation Date\Begin Amusement Park Date\Right.\That should do it for the date plan.\Heart Rate Monitor (With Blood Pressure Monitor)\The heart rate and blood pressure monitor can be worn on the wrist.\Sticker-type Thermometer (Connects with Smartphones)\For body temperature, we'll use a sticker-type thermometer with smartphone connectivity. response:	Good.
context: Begin Amusement Park Date\Right.\That should do it for the date plan.\Heart Rate Monitor (With Blood Pressure Monitor)\The heart rate and blood pressure monitor can be worn on the wrist.\Sticker-type Thermometer (Connects with Smartphones)\For body temperature, we'll use a sticker-type thermometer with smartphone connectivity.\Good. response:	With those, we will be able to measure our vitals while on the date.
context: Right.\That should do it for the date plan.\Heart Rate Monitor (With Blood Pressure Monitor)\The heart rate and blood pressure monitor can be worn on the wrist.\Sticker-type Thermometer (Connects with Smartphones)\For body temperature, we'll use a sticker-type thermometer with smartphone connectivity.\Good.\With those, we will be able to measure our vitals while on the date. response:	Data on your vitals might be good for reference,
context: That should do it for the date plan.\Heart Rate Monitor (With Blood Pressure Monitor)\The heart rate and blood pressure monitor can be worn on the wrist.\Sticker-type Thermometer (Connects with Smartphones)\For body temperature, we'll use a sticker-type thermometer with smartphone connectivity.\Good.\With those, we will be able to measure our vitals while on the date.\Data on your vitals might be good for reference, response:	but it's not going to give you a decisive finishing blow.
context: Heart Rate Monitor (With Blood Pressure Monitor)\The heart rate and blood pressure monitor can be worn on the wrist.\Sticker-type Thermometer (Connects with Smartphones)\For body temperature, we'll use a sticker-type thermometer with smartphone connectivity.\Good.\With those, we will be able to measure our vitals while on the date.\Data on your vitals might be good for reference,\but it's not going to give you a decisive finishing blow. response:	Argh! Dang it!
context: The heart rate and blood pressure monitor can be worn on the wrist.\Sticker-type Thermometer (Connects with Smartphones)\For body temperature, we'll use a sticker-type thermometer with smartphone connectivity.\Good.\With those, we will be able to measure our vitals while on the date.\Data on your vitals might be good for reference,\but it's not going to give you a decisive finishing blow.\Argh! Dang it! response:	It'd be nice if you could collect some other kind of data, too.
context: Sticker-type Thermometer (Connects with Smartphones)\For body temperature, we'll use a sticker-type thermometer with smartphone connectivity.\Good.\With those, we will be able to measure our vitals while on the date.\Data on your vitals might be good for reference,\but it's not going to give you a decisive finishing blow.\Argh! Dang it!\It'd be nice if you could collect some other kind of data, too. response:	True.
context: For body temperature, we'll use a sticker-type thermometer with smartphone connectivity.\Good.\With those, we will be able to measure our vitals while on the date.\Data on your vitals might be good for reference,\but it's not going to give you a decisive finishing blow.\Argh! Dang it!\It'd be nice if you could collect some other kind of data, too.\True. response:	Okay! Yeah! Yeah!
context: Good.\With those, we will be able to measure our vitals while on the date.\Data on your vitals might be good for reference,\but it's not going to give you a decisive finishing blow.\Argh! Dang it!\It'd be nice if you could collect some other kind of data, too.\True.\Okay! Yeah! Yeah! response:	Simply running would cause heart rate to increase.
context: With those, we will be able to measure our vitals while on the date.\Data on your vitals might be good for reference,\but it's not going to give you a decisive finishing blow.\Argh! Dang it!\It'd be nice if you could collect some other kind of data, too.\True.\Okay! Yeah! Yeah!\Simply running would cause heart rate to increase. response:	Just a little more and I'd have had her!
context: Data on your vitals might be good for reference,\but it's not going to give you a decisive finishing blow.\Argh! Dang it!\It'd be nice if you could collect some other kind of data, too.\True.\Okay! Yeah! Yeah!\Simply running would cause heart rate to increase.\Just a little more and I'd have had her! response:	To put it in extreme terms, all you can understand from it is that you're excited.
context: but it's not going to give you a decisive finishing blow.\Argh! Dang it!\It'd be nice if you could collect some other kind of data, too.\True.\Okay! Yeah! Yeah!\Simply running would cause heart rate to increase.\Just a little more and I'd have had her!\To put it in extreme terms, all you can understand from it is that you're excited. response:	That's true. Being in love is more complicated than that, isn't it?
context: Argh! Dang it!\It'd be nice if you could collect some other kind of data, too.\True.\Okay! Yeah! Yeah!\Simply running would cause heart rate to increase.\Just a little more and I'd have had her!\To put it in extreme terms, all you can understand from it is that you're excited.\That's true. Being in love is more complicated than that, isn't it? response:	What's this, Kanade? Speaking from experience?
context: It'd be nice if you could collect some other kind of data, too.\True.\Okay! Yeah! Yeah!\Simply running would cause heart rate to increase.\Just a little more and I'd have had her!\To put it in extreme terms, all you can understand from it is that you're excited.\That's true. Being in love is more complicated than that, isn't it?\What's this, Kanade? Speaking from experience? response:	N-No! It's not like that!
context: True.\Okay! Yeah! Yeah!\Simply running would cause heart rate to increase.\Just a little more and I'd have had her!\To put it in extreme terms, all you can understand from it is that you're excited.\That's true. Being in love is more complicated than that, isn't it?\What's this, Kanade? Speaking from experience?\N-No! It's not like that! response:	But, how can I put it... It's...
context: Okay! Yeah! Yeah!\Simply running would cause heart rate to increase.\Just a little more and I'd have had her!\To put it in extreme terms, all you can understand from it is that you're excited.\That's true. Being in love is more complicated than that, isn't it?\What's this, Kanade? Speaking from experience?\N-No! It's not like that!\But, how can I put it... It's... response:	It's sort of...
context: Simply running would cause heart rate to increase.\Just a little more and I'd have had her!\To put it in extreme terms, all you can understand from it is that you're excited.\That's true. Being in love is more complicated than that, isn't it?\What's this, Kanade? Speaking from experience?\N-No! It's not like that!\But, how can I put it... It's...\It's sort of... response:	The person makes your heart skip a beat,
context: Just a little more and I'd have had her!\To put it in extreme terms, all you can understand from it is that you're excited.\That's true. Being in love is more complicated than that, isn't it?\What's this, Kanade? Speaking from experience?\N-No! It's not like that!\But, how can I put it... It's...\It's sort of...\The person makes your heart skip a beat, response:	makes you happy,
context: To put it in extreme terms, all you can understand from it is that you're excited.\That's true. Being in love is more complicated than that, isn't it?\What's this, Kanade? Speaking from experience?\N-No! It's not like that!\But, how can I put it... It's...\It's sort of...\The person makes your heart skip a beat,\makes you happy, response:	makes you feel at ease,
context: That's true. Being in love is more complicated than that, isn't it?\What's this, Kanade? Speaking from experience?\N-No! It's not like that!\But, how can I put it... It's...\It's sort of...\The person makes your heart skip a beat,\makes you happy,\makes you feel at ease, response:	and maybe a little uncertain.
context: What's this, Kanade? Speaking from experience?\N-No! It's not like that!\But, how can I put it... It's...\It's sort of...\The person makes your heart skip a beat,\makes you happy,\makes you feel at ease,\and maybe a little uncertain. response:	You want to snuggle close a little.
context: N-No! It's not like that!\But, how can I put it... It's...\It's sort of...\The person makes your heart skip a beat,\makes you happy,\makes you feel at ease,\and maybe a little uncertain.\You want to snuggle close a little. response:	You're filled with so many different emotions...
context: But, how can I put it... It's...\It's sort of...\The person makes your heart skip a beat,\makes you happy,\makes you feel at ease,\and maybe a little uncertain.\You want to snuggle close a little.\You're filled with so many different emotions... response:	A date with the person you love goes something like that, right?
context: It's sort of...\The person makes your heart skip a beat,\makes you happy,\makes you feel at ease,\and maybe a little uncertain.\You want to snuggle close a little.\You're filled with so many different emotions...\A date with the person you love goes something like that, right? response:	I see.
context: The person makes your heart skip a beat,\makes you happy,\makes you feel at ease,\and maybe a little uncertain.\You want to snuggle close a little.\You're filled with so many different emotions...\A date with the person you love goes something like that, right?\I see. response:	Number of times the other person makes your heart skip.
context: makes you happy,\makes you feel at ease,\and maybe a little uncertain.\You want to snuggle close a little.\You're filled with so many different emotions...\A date with the person you love goes something like that, right?\I see.\Number of times the other person makes your heart skip. response:	Times the other person makes your heart skip.
context: makes you feel at ease,\and maybe a little uncertain.\You want to snuggle close a little.\You're filled with so many different emotions...\A date with the person you love goes something like that, right?\I see.\Number of times the other person makes your heart skip.\Times the other person makes your heart skip. response:	Times you feel happy.
context: and maybe a little uncertain.\You want to snuggle close a little.\You're filled with so many different emotions...\A date with the person you love goes something like that, right?\I see.\Number of times the other person makes your heart skip.\Times the other person makes your heart skip.\Times you feel happy. response:	Number of times you feel happy.
context: You want to snuggle close a little.\You're filled with so many different emotions...\A date with the person you love goes something like that, right?\I see.\Number of times the other person makes your heart skip.\Times the other person makes your heart skip.\Times you feel happy.\Number of times you feel happy. response:	Times you feel at ease.
context: You're filled with so many different emotions...\A date with the person you love goes something like that, right?\I see.\Number of times the other person makes your heart skip.\Times the other person makes your heart skip.\Times you feel happy.\Number of times you feel happy.\Times you feel at ease. response:	Number of times you feel at ease.
context: A date with the person you love goes something like that, right?\I see.\Number of times the other person makes your heart skip.\Times the other person makes your heart skip.\Times you feel happy.\Number of times you feel happy.\Times you feel at ease.\Number of times you feel at ease. response:	Number of times you feel a little uncertain.
context: I see.\Number of times the other person makes your heart skip.\Times the other person makes your heart skip.\Times you feel happy.\Number of times you feel happy.\Times you feel at ease.\Number of times you feel at ease.\Number of times you feel a little uncertain. response:	Times you feel a little uncertain.
context: Number of times the other person makes your heart skip.\Times the other person makes your heart skip.\Times you feel happy.\Number of times you feel happy.\Times you feel at ease.\Number of times you feel at ease.\Number of times you feel a little uncertain.\Times you feel a little uncertain. response:	Number of times you want to snuggle close a little.
context: Times the other person makes your heart skip.\Times you feel happy.\Number of times you feel happy.\Times you feel at ease.\Number of times you feel at ease.\Number of times you feel a little uncertain.\Times you feel a little uncertain.\Number of times you want to snuggle close a little. response:	Times you want to snuggle close a little.
context: Times you feel happy.\Number of times you feel happy.\Times you feel at ease.\Number of times you feel at ease.\Number of times you feel a little uncertain.\Times you feel a little uncertain.\Number of times you want to snuggle close a little.\Times you want to snuggle close a little. response:	Measuring Emotions Counter
context: Number of times you feel happy.\Times you feel at ease.\Number of times you feel at ease.\Number of times you feel a little uncertain.\Times you feel a little uncertain.\Number of times you want to snuggle close a little.\Times you want to snuggle close a little.\Measuring Emotions Counter response:	Let's count each of those feelings and keep a record.
context: Times you feel at ease.\Number of times you feel at ease.\Number of times you feel a little uncertain.\Times you feel a little uncertain.\Number of times you want to snuggle close a little.\Times you want to snuggle close a little.\Measuring Emotions Counter\Let's count each of those feelings and keep a record. response:	That makes sense.
context: Number of times you feel at ease.\Number of times you feel a little uncertain.\Times you feel a little uncertain.\Number of times you want to snuggle close a little.\Times you want to snuggle close a little.\Measuring Emotions Counter\Let's count each of those feelings and keep a record.\That makes sense. response:	Oh. That's that thing.
context: Number of times you feel a little uncertain.\Times you feel a little uncertain.\Number of times you want to snuggle close a little.\Times you want to snuggle close a little.\Measuring Emotions Counter\Let's count each of those feelings and keep a record.\That makes sense.\Oh. That's that thing. response:	The thing part-timers use for measuring traffic flow.
context: Times you feel a little uncertain.\Number of times you want to snuggle close a little.\Times you want to snuggle close a little.\Measuring Emotions Counter\Let's count each of those feelings and keep a record.\That makes sense.\Oh. That's that thing.\The thing part-timers use for measuring traffic flow. response:	Wait.
