context: We kissed, held hands, response:	and walked to the convenience store without saying a word.
context: What expression do you have right now,\and what are you thinking?\I'm too scared to find out.\It's okay if you wanna take me away somewhere.\But what if he then thinks I could easily fall for a guy\even though I have a boyfriend, and ends up seriously hating me?\What's with all this boring talk, baldy?\We just have to sell records, right? response:	That's no big deal at all.
context: and what are you thinking?\I'm too scared to find out.\It's okay if you wanna take me away somewhere.\But what if he then thinks I could easily fall for a guy\even though I have a boyfriend, and ends up seriously hating me?\What's with all this boring talk, baldy?\We just have to sell records, right?\That's no big deal at all. response:	Hurry up and tell Kawano to have the contract ready.
context: I'm too scared to find out.\It's okay if you wanna take me away somewhere.\But what if he then thinks I could easily fall for a guy\even though I have a boyfriend, and ends up seriously hating me?\What's with all this boring talk, baldy?\We just have to sell records, right?\That's no big deal at all.\Hurry up and tell Kawano to have the contract ready. response:	Got it? Answer me.
context: It's okay if you wanna take me away somewhere.\But what if he then thinks I could easily fall for a guy\even though I have a boyfriend, and ends up seriously hating me?\What's with all this boring talk, baldy?\We just have to sell records, right?\That's no big deal at all.\Hurry up and tell Kawano to have the contract ready.\Got it? Answer me. response:	Okay.
context: But what if he then thinks I could easily fall for a guy\even though I have a boyfriend, and ends up seriously hating me?\What's with all this boring talk, baldy?\We just have to sell records, right?\That's no big deal at all.\Hurry up and tell Kawano to have the contract ready.\Got it? Answer me.\Okay. response:	Man, this is really making me sleepy.
context: even though I have a boyfriend, and ends up seriously hating me?\What's with all this boring talk, baldy?\We just have to sell records, right?\That's no big deal at all.\Hurry up and tell Kawano to have the contract ready.\Got it? Answer me.\Okay.\Man, this is really making me sleepy. response:	I'm so sleepy, I could go bald.
context: What's with all this boring talk, baldy?\We just have to sell records, right?\That's no big deal at all.\Hurry up and tell Kawano to have the contract ready.\Got it? Answer me.\Okay.\Man, this is really making me sleepy.\I'm so sleepy, I could go bald. response:	I'm taking a bath and going to bed.
context: We just have to sell records, right?\That's no big deal at all.\Hurry up and tell Kawano to have the contract ready.\Got it? Answer me.\Okay.\Man, this is really making me sleepy.\I'm so sleepy, I could go bald.\I'm taking a bath and going to bed. response:	Huh? Aren't you gonna stay up until Hachiko returns?
context: That's no big deal at all.\Hurry up and tell Kawano to have the contract ready.\Got it? Answer me.\Okay.\Man, this is really making me sleepy.\I'm so sleepy, I could go bald.\I'm taking a bath and going to bed.\Huh? Aren't you gonna stay up until Hachiko returns? response:	She won't be coming back. I win the bet.
context: Hurry up and tell Kawano to have the contract ready.\Got it? Answer me.\Okay.\Man, this is really making me sleepy.\I'm so sleepy, I could go bald.\I'm taking a bath and going to bed.\Huh? Aren't you gonna stay up until Hachiko returns?\She won't be coming back. I win the bet. response:	I bet one hundred yen that he'll come before they even do it!
context: Got it? Answer me.\Okay.\Man, this is really making me sleepy.\I'm so sleepy, I could go bald.\I'm taking a bath and going to bed.\Huh? Aren't you gonna stay up until Hachiko returns?\She won't be coming back. I win the bet.\I bet one hundred yen that he'll come before they even do it! response:	But Miss Hachiko has a boyfriend.
context: Okay.\Man, this is really making me sleepy.\I'm so sleepy, I could go bald.\I'm taking a bath and going to bed.\Huh? Aren't you gonna stay up until Hachiko returns?\She won't be coming back. I win the bet.\I bet one hundred yen that he'll come before they even do it!\But Miss Hachiko has a boyfriend. response:	Well, if I can't stay at Nobu's place,
context: Man, this is really making me sleepy.\I'm so sleepy, I could go bald.\I'm taking a bath and going to bed.\Huh? Aren't you gonna stay up until Hachiko returns?\She won't be coming back. I win the bet.\I bet one hundred yen that he'll come before they even do it!\But Miss Hachiko has a boyfriend.\Well, if I can't stay at Nobu's place, response:	I guess I'll just go back to my parent's place tonight.
context: I'm so sleepy, I could go bald.\I'm taking a bath and going to bed.\Huh? Aren't you gonna stay up until Hachiko returns?\She won't be coming back. I win the bet.\I bet one hundred yen that he'll come before they even do it!\But Miss Hachiko has a boyfriend.\Well, if I can't stay at Nobu's place,\I guess I'll just go back to my parent's place tonight. response:	Your parent's place?
context: I'm taking a bath and going to bed.\Huh? Aren't you gonna stay up until Hachiko returns?\She won't be coming back. I win the bet.\I bet one hundred yen that he'll come before they even do it!\But Miss Hachiko has a boyfriend.\Well, if I can't stay at Nobu's place,\I guess I'll just go back to my parent's place tonight.\Your parent's place? response:	Oh, hello, Ryoko? Working hard?
context: Huh? Aren't you gonna stay up until Hachiko returns?\She won't be coming back. I win the bet.\I bet one hundred yen that he'll come before they even do it!\But Miss Hachiko has a boyfriend.\Well, if I can't stay at Nobu's place,\I guess I'll just go back to my parent's place tonight.\Your parent's place?\Oh, hello, Ryoko? Working hard? response:	I'm sorry for not contacting you until now.
context: She won't be coming back. I win the bet.\I bet one hundred yen that he'll come before they even do it!\But Miss Hachiko has a boyfriend.\Well, if I can't stay at Nobu's place,\I guess I'll just go back to my parent's place tonight.\Your parent's place?\Oh, hello, Ryoko? Working hard?\I'm sorry for not contacting you until now. response:	Yeah, I'm fine. I'm coming over now, okay?
context: I bet one hundred yen that he'll come before they even do it!\But Miss Hachiko has a boyfriend.\Well, if I can't stay at Nobu's place,\I guess I'll just go back to my parent's place tonight.\Your parent's place?\Oh, hello, Ryoko? Working hard?\I'm sorry for not contacting you until now.\Yeah, I'm fine. I'm coming over now, okay? response:	Well, see ya, Misato.
context: But Miss Hachiko has a boyfriend.\Well, if I can't stay at Nobu's place,\I guess I'll just go back to my parent's place tonight.\Your parent's place?\Oh, hello, Ryoko? Working hard?\I'm sorry for not contacting you until now.\Yeah, I'm fine. I'm coming over now, okay?\Well, see ya, Misato. response:	Huh?! You're leaving?! What about the wine?
context: Well, if I can't stay at Nobu's place,\I guess I'll just go back to my parent's place tonight.\Your parent's place?\Oh, hello, Ryoko? Working hard?\I'm sorry for not contacting you until now.\Yeah, I'm fine. I'm coming over now, okay?\Well, see ya, Misato.\Huh?! You're leaving?! What about the wine? response:	Wait, Shin!
context: I guess I'll just go back to my parent's place tonight.\Your parent's place?\Oh, hello, Ryoko? Working hard?\I'm sorry for not contacting you until now.\Yeah, I'm fine. I'm coming over now, okay?\Well, see ya, Misato.\Huh?! You're leaving?! What about the wine?\Wait, Shin! response:	Who's Ryoko?
context: Your parent's place?\Oh, hello, Ryoko? Working hard?\I'm sorry for not contacting you until now.\Yeah, I'm fine. I'm coming over now, okay?\Well, see ya, Misato.\Huh?! You're leaving?! What about the wine?\Wait, Shin!\Who's Ryoko? response:	She raised me.
context: Oh, hello, Ryoko? Working hard?\I'm sorry for not contacting you until now.\Yeah, I'm fine. I'm coming over now, okay?\Well, see ya, Misato.\Huh?! You're leaving?! What about the wine?\Wait, Shin!\Who's Ryoko?\She raised me. response:	Liar. I know you don't have a mother.
context: I'm sorry for not contacting you until now.\Yeah, I'm fine. I'm coming over now, okay?\Well, see ya, Misato.\Huh?! You're leaving?! What about the wine?\Wait, Shin!\Who's Ryoko?\She raised me.\Liar. I know you don't have a mother. response:	How do you know that?
context: Yeah, I'm fine. I'm coming over now, okay?\Well, see ya, Misato.\Huh?! You're leaving?! What about the wine?\Wait, Shin!\Who's Ryoko?\She raised me.\Liar. I know you don't have a mother.\How do you know that? response:	If you don't want people finding out about you,
context: Well, see ya, Misato.\Huh?! You're leaving?! What about the wine?\Wait, Shin!\Who's Ryoko?\She raised me.\Liar. I know you don't have a mother.\How do you know that?\If you don't want people finding out about you, response:	at least be smart enough to use an alias.
context: Huh?! You're leaving?! What about the wine?\Wait, Shin!\Who's Ryoko?\She raised me.\Liar. I know you don't have a mother.\How do you know that?\If you don't want people finding out about you,\at least be smart enough to use an alias. response:	Lately, I haven't told anyone my full name.
context: Wait, Shin!\Who's Ryoko?\She raised me.\Liar. I know you don't have a mother.\How do you know that?\If you don't want people finding out about you,\at least be smart enough to use an alias.\Lately, I haven't told anyone my full name. response:	Not that I care if people find out,
context: Who's Ryoko?\She raised me.\Liar. I know you don't have a mother.\How do you know that?\If you don't want people finding out about you,\at least be smart enough to use an alias.\Lately, I haven't told anyone my full name.\Not that I care if people find out, response:	but I don't like people snooping around.
context: She raised me.\Liar. I know you don't have a mother.\How do you know that?\If you don't want people finding out about you,\at least be smart enough to use an alias.\Lately, I haven't told anyone my full name.\Not that I care if people find out,\but I don't like people snooping around. response:	Then don't do things to make people worry.
context: Liar. I know you don't have a mother.\How do you know that?\If you don't want people finding out about you,\at least be smart enough to use an alias.\Lately, I haven't told anyone my full name.\Not that I care if people find out,\but I don't like people snooping around.\Then don't do things to make people worry. response:	You can put up a front as you like, but you're still a fifteen-year-old kid.
context: How do you know that?\If you don't want people finding out about you,\at least be smart enough to use an alias.\Lately, I haven't told anyone my full name.\Not that I care if people find out,\but I don't like people snooping around.\Then don't do things to make people worry.\You can put up a front as you like, but you're still a fifteen-year-old kid. response:	You'll need a guardian to sign on your behalf
context: If you don't want people finding out about you,\at least be smart enough to use an alias.\Lately, I haven't told anyone my full name.\Not that I care if people find out,\but I don't like people snooping around.\Then don't do things to make people worry.\You can put up a front as you like, but you're still a fifteen-year-old kid.\You'll need a guardian to sign on your behalf response:	on the record contract.
context: at least be smart enough to use an alias.\Lately, I haven't told anyone my full name.\Not that I care if people find out,\but I don't like people snooping around.\Then don't do things to make people worry.\You can put up a front as you like, but you're still a fifteen-year-old kid.\You'll need a guardian to sign on your behalf\on the record contract. response:	If you don't wanna see him, I'll go and get that signature for you.
context: Lately, I haven't told anyone my full name.\Not that I care if people find out,\but I don't like people snooping around.\Then don't do things to make people worry.\You can put up a front as you like, but you're still a fifteen-year-old kid.\You'll need a guardian to sign on your behalf\on the record contract.\If you don't wanna see him, I'll go and get that signature for you. response:	I'm counting on you, Yasu.
context: Not that I care if people find out,\but I don't like people snooping around.\Then don't do things to make people worry.\You can put up a front as you like, but you're still a fifteen-year-old kid.\You'll need a guardian to sign on your behalf\on the record contract.\If you don't wanna see him, I'll go and get that signature for you.\I'm counting on you, Yasu. response:	Misato, I'm going home, too.
context: but I don't like people snooping around.\Then don't do things to make people worry.\You can put up a front as you like, but you're still a fifteen-year-old kid.\You'll need a guardian to sign on your behalf\on the record contract.\If you don't wanna see him, I'll go and get that signature for you.\I'm counting on you, Yasu.\Misato, I'm going home, too. response:	Huh?
context: Then don't do things to make people worry.\You can put up a front as you like, but you're still a fifteen-year-old kid.\You'll need a guardian to sign on your behalf\on the record contract.\If you don't wanna see him, I'll go and get that signature for you.\I'm counting on you, Yasu.\Misato, I'm going home, too.\Huh? response:	Sorry, I've got a lot of work to do.
context: You can put up a front as you like, but you're still a fifteen-year-old kid.\You'll need a guardian to sign on your behalf\on the record contract.\If you don't wanna see him, I'll go and get that signature for you.\I'm counting on you, Yasu.\Misato, I'm going home, too.\Huh?\Sorry, I've got a lot of work to do. response:	That's fine. I don't mind, but...
context: You'll need a guardian to sign on your behalf\on the record contract.\If you don't wanna see him, I'll go and get that signature for you.\I'm counting on you, Yasu.\Misato, I'm going home, too.\Huh?\Sorry, I've got a lot of work to do.\That's fine. I don't mind, but... response:	Does that mean you've accepted defeat in that bet you made?
context: on the record contract.\If you don't wanna see him, I'll go and get that signature for you.\I'm counting on you, Yasu.\Misato, I'm going home, too.\Huh?\Sorry, I've got a lot of work to do.\That's fine. I don't mind, but...\Does that mean you've accepted defeat in that bet you made? response:	Hachiko already has a boyfriend, so are you all right with that?
context: If you don't wanna see him, I'll go and get that signature for you.\I'm counting on you, Yasu.\Misato, I'm going home, too.\Huh?\Sorry, I've got a lot of work to do.\That's fine. I don't mind, but...\Does that mean you've accepted defeat in that bet you made?\Hachiko already has a boyfriend, so are you all right with that? response:	Or rather, is Nobu all right with that?
context: I'm counting on you, Yasu.\Misato, I'm going home, too.\Huh?\Sorry, I've got a lot of work to do.\That's fine. I don't mind, but...\Does that mean you've accepted defeat in that bet you made?\Hachiko already has a boyfriend, so are you all right with that?\Or rather, is Nobu all right with that? response:	I dunno. Well, a man becomes weak toward the woman he loves,
context: Misato, I'm going home, too.\Huh?\Sorry, I've got a lot of work to do.\That's fine. I don't mind, but...\Does that mean you've accepted defeat in that bet you made?\Hachiko already has a boyfriend, so are you all right with that?\Or rather, is Nobu all right with that?\I dunno. Well, a man becomes weak toward the woman he loves, response:	but I just can't understand what goes on in the complicated mind of a woman.
context: Huh?\Sorry, I've got a lot of work to do.\That's fine. I don't mind, but...\Does that mean you've accepted defeat in that bet you made?\Hachiko already has a boyfriend, so are you all right with that?\Or rather, is Nobu all right with that?\I dunno. Well, a man becomes weak toward the woman he loves,\but I just can't understand what goes on in the complicated mind of a woman. response:	In other words, it's a complicated situation, isn't it?
context: Sorry, I've got a lot of work to do.\That's fine. I don't mind, but...\Does that mean you've accepted defeat in that bet you made?\Hachiko already has a boyfriend, so are you all right with that?\Or rather, is Nobu all right with that?\I dunno. Well, a man becomes weak toward the woman he loves,\but I just can't understand what goes on in the complicated mind of a woman.\In other words, it's a complicated situation, isn't it? response:	I'm sorry. I'll try to be more discreet.
context: That's fine. I don't mind, but...\Does that mean you've accepted defeat in that bet you made?\Hachiko already has a boyfriend, so are you all right with that?\Or rather, is Nobu all right with that?\I dunno. Well, a man becomes weak toward the woman he loves,\but I just can't understand what goes on in the complicated mind of a woman.\In other words, it's a complicated situation, isn't it?\I'm sorry. I'll try to be more discreet. response:	You'll be here until the end of summer vacation, right, Misato?
context: Does that mean you've accepted defeat in that bet you made?\Hachiko already has a boyfriend, so are you all right with that?\Or rather, is Nobu all right with that?\I dunno. Well, a man becomes weak toward the woman he loves,\but I just can't understand what goes on in the complicated mind of a woman.\In other words, it's a complicated situation, isn't it?\I'm sorry. I'll try to be more discreet.\You'll be here until the end of summer vacation, right, Misato? response:	Are your parents okay with that?
context: Hachiko already has a boyfriend, so are you all right with that?\Or rather, is Nobu all right with that?\I dunno. Well, a man becomes weak toward the woman he loves,\but I just can't understand what goes on in the complicated mind of a woman.\In other words, it's a complicated situation, isn't it?\I'm sorry. I'll try to be more discreet.\You'll be here until the end of summer vacation, right, Misato?\Are your parents okay with that? response:	Yes. There's no need to worry.
context: Or rather, is Nobu all right with that?\I dunno. Well, a man becomes weak toward the woman he loves,\but I just can't understand what goes on in the complicated mind of a woman.\In other words, it's a complicated situation, isn't it?\I'm sorry. I'll try to be more discreet.\You'll be here until the end of summer vacation, right, Misato?\Are your parents okay with that?\Yes. There's no need to worry. response:	Can I ask you a personal question?
context: I dunno. Well, a man becomes weak toward the woman he loves,\but I just can't understand what goes on in the complicated mind of a woman.\In other words, it's a complicated situation, isn't it?\I'm sorry. I'll try to be more discreet.\You'll be here until the end of summer vacation, right, Misato?\Are your parents okay with that?\Yes. There's no need to worry.\Can I ask you a personal question? response:	What is it?
context: but I just can't understand what goes on in the complicated mind of a woman.\In other words, it's a complicated situation, isn't it?\I'm sorry. I'll try to be more discreet.\You'll be here until the end of summer vacation, right, Misato?\Are your parents okay with that?\Yes. There's no need to worry.\Can I ask you a personal question?\What is it? response:	Misato Uehara. What's your real name?
context: In other words, it's a complicated situation, isn't it?\I'm sorry. I'll try to be more discreet.\You'll be here until the end of summer vacation, right, Misato?\Are your parents okay with that?\Yes. There's no need to worry.\Can I ask you a personal question?\What is it?\Misato Uehara. What's your real name? response:	It's a secret.
context: I'm sorry. I'll try to be more discreet.\You'll be here until the end of summer vacation, right, Misato?\Are your parents okay with that?\Yes. There's no need to worry.\Can I ask you a personal question?\What is it?\Misato Uehara. What's your real name?\It's a secret. response:	It really was a fake name.
context: You'll be here until the end of summer vacation, right, Misato?\Are your parents okay with that?\Yes. There's no need to worry.\Can I ask you a personal question?\What is it?\Misato Uehara. What's your real name?\It's a secret.\It really was a fake name. response:	And she's such a nice girl.
context: Are your parents okay with that?\Yes. There's no need to worry.\Can I ask you a personal question?\What is it?\Misato Uehara. What's your real name?\It's a secret.\It really was a fake name.\And she's such a nice girl. response:	I really can't understand women. Man, oh man...
context: Yes. There's no need to worry.\Can I ask you a personal question?\What is it?\Misato Uehara. What's your real name?\It's a secret.\It really was a fake name.\And she's such a nice girl.\I really can't understand women. Man, oh man... response:	Huh?
context: Can I ask you a personal question?\What is it?\Misato Uehara. What's your real name?\It's a secret.\It really was a fake name.\And she's such a nice girl.\I really can't understand women. Man, oh man...\Huh? response:	Oh, there she is.
context: What is it?\Misato Uehara. What's your real name?\It's a secret.\It really was a fake name.\And she's such a nice girl.\I really can't understand women. Man, oh man...\Huh?\Oh, there she is. response:	2001 FIREWORKS DISPLAY WEDNESDAY, AUGUST 22ND TAMAGAWA RIVERBED 19:00 to 20:45
context: Misato Uehara. What's your real name?\It's a secret.\It really was a fake name.\And she's such a nice girl.\I really can't understand women. Man, oh man...\Huh?\Oh, there she is.\2001 FIREWORKS DISPLAY WEDNESDAY, AUGUST 22ND TAMAGAWA RIVERBED 19:00 to 20:45 response:	They're having fireworks!
context: It's a secret.\It really was a fake name.\And she's such a nice girl.\I really can't understand women. Man, oh man...\Huh?\Oh, there she is.\2001 FIREWORKS DISPLAY WEDNESDAY, AUGUST 22ND TAMAGAWA RIVERBED 19:00 to 20:45\They're having fireworks! response:	It's close by.
context: It really was a fake name.\And she's such a nice girl.\I really can't understand women. Man, oh man...\Huh?\Oh, there she is.\2001 FIREWORKS DISPLAY WEDNESDAY, AUGUST 22ND TAMAGAWA RIVERBED 19:00 to 20:45\They're having fireworks!\It's close by. response:	Wanna go together?
context: And she's such a nice girl.\I really can't understand women. Man, oh man...\Huh?\Oh, there she is.\2001 FIREWORKS DISPLAY WEDNESDAY, AUGUST 22ND TAMAGAWA RIVERBED 19:00 to 20:45\They're having fireworks!\It's close by.\Wanna go together? response:	I'll carry one.
context: I really can't understand women. Man, oh man...\Huh?\Oh, there she is.\2001 FIREWORKS DISPLAY WEDNESDAY, AUGUST 22ND TAMAGAWA RIVERBED 19:00 to 20:45\They're having fireworks!\It's close by.\Wanna go together?\I'll carry one. response:	It's okay.
context: Huh?\Oh, there she is.\2001 FIREWORKS DISPLAY WEDNESDAY, AUGUST 22ND TAMAGAWA RIVERBED 19:00 to 20:45\They're having fireworks!\It's close by.\Wanna go together?\I'll carry one.\It's okay. response:	Actually, carry one.
context: Oh, there she is.\2001 FIREWORKS DISPLAY WEDNESDAY, AUGUST 22ND TAMAGAWA RIVERBED 19:00 to 20:45\They're having fireworks!\It's close by.\Wanna go together?\I'll carry one.\It's okay.\Actually, carry one. response:	How can you tell?
context: 2001 FIREWORKS DISPLAY WEDNESDAY, AUGUST 22ND TAMAGAWA RIVERBED 19:00 to 20:45\They're having fireworks!\It's close by.\Wanna go together?\I'll carry one.\It's okay.\Actually, carry one.\How can you tell? response:	Huh? Tell what?
context: They're having fireworks!\It's close by.\Wanna go together?\I'll carry one.\It's okay.\Actually, carry one.\How can you tell?\Huh? Tell what? response:	What I'm thinking.
context: It's close by.\Wanna go together?\I'll carry one.\It's okay.\Actually, carry one.\How can you tell?\Huh? Tell what?\What I'm thinking. response:	I can't tell.
context: Wanna go together?\I'll carry one.\It's okay.\Actually, carry one.\How can you tell?\Huh? Tell what?\What I'm thinking.\I can't tell. response:	I kinda feel a connection.
context: I'll carry one.\It's okay.\Actually, carry one.\How can you tell?\Huh? Tell what?\What I'm thinking.\I can't tell.\I kinda feel a connection. response:	Really?
context: It's okay.\Actually, carry one.\How can you tell?\Huh? Tell what?\What I'm thinking.\I can't tell.\I kinda feel a connection.\Really? response:	I'm feeling awkward not having a clue what you're getting at,
context: Actually, carry one.\How can you tell?\Huh? Tell what?\What I'm thinking.\I can't tell.\I kinda feel a connection.\Really?\I'm feeling awkward not having a clue what you're getting at, response:	so if possible, I'd like you to explain it to me.
context: How can you tell?\Huh? Tell what?\What I'm thinking.\I can't tell.\I kinda feel a connection.\Really?\I'm feeling awkward not having a clue what you're getting at,\so if possible, I'd like you to explain it to me. response:	Telepathy?
context: Huh? Tell what?\What I'm thinking.\I can't tell.\I kinda feel a connection.\Really?\I'm feeling awkward not having a clue what you're getting at,\so if possible, I'd like you to explain it to me.\Telepathy? response:	Listen to what I'm saying.
context: What I'm thinking.\I can't tell.\I kinda feel a connection.\Really?\I'm feeling awkward not having a clue what you're getting at,\so if possible, I'd like you to explain it to me.\Telepathy?\Listen to what I'm saying. response:	Sorry, I have a tendency to get carried away.
