context: Once in a while when I wake up response:	I find myself crying.
context: You can have it.\- Good morning. - Good morning.\Mitsuha, you're late!\I'll make breakfast tomorrow.\Is this too much?\Oh well.\You're normal today.\You were nuts yesterday. response:	What are you talking about?
context: - Good morning. - Good morning.\Mitsuha, you're late!\I'll make breakfast tomorrow.\Is this too much?\Oh well.\You're normal today.\You were nuts yesterday.\What are you talking about? response:	Good morning, everyone.
context: Mitsuha, you're late!\I'll make breakfast tomorrow.\Is this too much?\Oh well.\You're normal today.\You were nuts yesterday.\What are you talking about?\Good morning, everyone. response:	This is an announcement from Itomori Town Hall.
context: I'll make breakfast tomorrow.\Is this too much?\Oh well.\You're normal today.\You were nuts yesterday.\What are you talking about?\Good morning, everyone.\This is an announcement from Itomori Town Hall. response:	Regarding the Mayoral election
context: Is this too much?\Oh well.\You're normal today.\You were nuts yesterday.\What are you talking about?\Good morning, everyone.\This is an announcement from Itomori Town Hall.\Regarding the Mayoral election response:	to be held on the 20th next month, the election committee...
context: Oh well.\You're normal today.\You were nuts yesterday.\What are you talking about?\Good morning, everyone.\This is an announcement from Itomori Town Hall.\Regarding the Mayoral election\to be held on the 20th next month, the election committee... response:	Comet to pass by in a month: Visible to the naked eye
context: You're normal today.\You were nuts yesterday.\What are you talking about?\Good morning, everyone.\This is an announcement from Itomori Town Hall.\Regarding the Mayoral election\to be held on the 20th next month, the election committee...\Comet to pass by in a month: Visible to the naked eye response:	The comet will be visible to the naked eye for several days...
context: You were nuts yesterday.\What are you talking about?\Good morning, everyone.\This is an announcement from Itomori Town Hall.\Regarding the Mayoral election\to be held on the 20th next month, the election committee...\Comet to pass by in a month: Visible to the naked eye\The comet will be visible to the naked eye for several days... response:	Just make up with him.
context: What are you talking about?\Good morning, everyone.\This is an announcement from Itomori Town Hall.\Regarding the Mayoral election\to be held on the 20th next month, the election committee...\Comet to pass by in a month: Visible to the naked eye\The comet will be visible to the naked eye for several days...\Just make up with him. response:	It's an adult matter.
context: Good morning, everyone.\This is an announcement from Itomori Town Hall.\Regarding the Mayoral election\to be held on the 20th next month, the election committee...\Comet to pass by in a month: Visible to the naked eye\The comet will be visible to the naked eye for several days...\Just make up with him.\It's an adult matter. response:	Position of Comet Tiamat We are preparing to observe the celestial show of the century.
context: This is an announcement from Itomori Town Hall.\Regarding the Mayoral election\to be held on the 20th next month, the election committee...\Comet to pass by in a month: Visible to the naked eye\The comet will be visible to the naked eye for several days...\Just make up with him.\It's an adult matter.\Position of Comet Tiamat We are preparing to observe the celestial show of the century. response:	We're going now!
context: Regarding the Mayoral election\to be held on the 20th next month, the election committee...\Comet to pass by in a month: Visible to the naked eye\The comet will be visible to the naked eye for several days...\Just make up with him.\It's an adult matter.\Position of Comet Tiamat We are preparing to observe the celestial show of the century.\We're going now! response:	Study hard!
context: to be held on the 20th next month, the election committee...\Comet to pass by in a month: Visible to the naked eye\The comet will be visible to the naked eye for several days...\Just make up with him.\It's an adult matter.\Position of Comet Tiamat We are preparing to observe the celestial show of the century.\We're going now!\Study hard! response:	Mitsuha!
context: Comet to pass by in a month: Visible to the naked eye\The comet will be visible to the naked eye for several days...\Just make up with him.\It's an adult matter.\Position of Comet Tiamat We are preparing to observe the celestial show of the century.\We're going now!\Study hard!\Mitsuha! response:	Morning, Sayaka, Tessie.
context: The comet will be visible to the naked eye for several days...\Just make up with him.\It's an adult matter.\Position of Comet Tiamat We are preparing to observe the celestial show of the century.\We're going now!\Study hard!\Mitsuha!\Morning, Sayaka, Tessie. response:	Morning.
context: Just make up with him.\It's an adult matter.\Position of Comet Tiamat We are preparing to observe the celestial show of the century.\We're going now!\Study hard!\Mitsuha!\Morning, Sayaka, Tessie.\Morning. response:	- Get off. - Why? Meanie.
context: It's an adult matter.\Position of Comet Tiamat We are preparing to observe the celestial show of the century.\We're going now!\Study hard!\Mitsuha!\Morning, Sayaka, Tessie.\Morning.\- Get off. - Why? Meanie. response:	- You're heavy. - That's rude.
context: Position of Comet Tiamat We are preparing to observe the celestial show of the century.\We're going now!\Study hard!\Mitsuha!\Morning, Sayaka, Tessie.\Morning.\- Get off. - Why? Meanie.\- You're heavy. - That's rude. response:	You two get along so well.
context: We're going now!\Study hard!\Mitsuha!\Morning, Sayaka, Tessie.\Morning.\- Get off. - Why? Meanie.\- You're heavy. - That's rude.\You two get along so well. response:	We do not!
context: Study hard!\Mitsuha!\Morning, Sayaka, Tessie.\Morning.\- Get off. - Why? Meanie.\- You're heavy. - That's rude.\You two get along so well.\We do not! response:	Your hair looks all right today.
context: Mitsuha!\Morning, Sayaka, Tessie.\Morning.\- Get off. - Why? Meanie.\- You're heavy. - That's rude.\You two get along so well.\We do not!\Your hair looks all right today. response:	What?
context: Morning, Sayaka, Tessie.\Morning.\- Get off. - Why? Meanie.\- You're heavy. - That's rude.\You two get along so well.\We do not!\Your hair looks all right today.\What? response:	- Yeah, did your grandma exorcise you? - Exorcise?
context: Morning.\- Get off. - Why? Meanie.\- You're heavy. - That's rude.\You two get along so well.\We do not!\Your hair looks all right today.\What?\- Yeah, did your grandma exorcise you? - Exorcise? response:	You were totally possessed!
context: - Get off. - Why? Meanie.\- You're heavy. - That's rude.\You two get along so well.\We do not!\Your hair looks all right today.\What?\- Yeah, did your grandma exorcise you? - Exorcise?\You were totally possessed! response:	Cut out the occultism. Mitsuha is just stressed. Right?
context: - You're heavy. - That's rude.\You two get along so well.\We do not!\Your hair looks all right today.\What?\- Yeah, did your grandma exorcise you? - Exorcise?\You were totally possessed!\Cut out the occultism. Mitsuha is just stressed. Right? response:	Huh? What are you talking about?
context: You two get along so well.\We do not!\Your hair looks all right today.\What?\- Yeah, did your grandma exorcise you? - Exorcise?\You were totally possessed!\Cut out the occultism. Mitsuha is just stressed. Right?\Huh? What are you talking about? response:	You don't remember?
context: We do not!\Your hair looks all right today.\What?\- Yeah, did your grandma exorcise you? - Exorcise?\You were totally possessed!\Cut out the occultism. Mitsuha is just stressed. Right?\Huh? What are you talking about?\You don't remember? response:	And above all
context: Your hair looks all right today.\What?\- Yeah, did your grandma exorcise you? - Exorcise?\You were totally possessed!\Cut out the occultism. Mitsuha is just stressed. Right?\Huh? What are you talking about?\You don't remember?\And above all response:	restoring the town's fiscal health to continue its revitalization project!
context: What?\- Yeah, did your grandma exorcise you? - Exorcise?\You were totally possessed!\Cut out the occultism. Mitsuha is just stressed. Right?\Huh? What are you talking about?\You don't remember?\And above all\restoring the town's fiscal health to continue its revitalization project! response:	Only when these are achieved
context: - Yeah, did your grandma exorcise you? - Exorcise?\You were totally possessed!\Cut out the occultism. Mitsuha is just stressed. Right?\Huh? What are you talking about?\You don't remember?\And above all\restoring the town's fiscal health to continue its revitalization project!\Only when these are achieved response:	can a safe and secure community be created!
context: You were totally possessed!\Cut out the occultism. Mitsuha is just stressed. Right?\Huh? What are you talking about?\You don't remember?\And above all\restoring the town's fiscal health to continue its revitalization project!\Only when these are achieved\can a safe and secure community be created! response:	As the incumbent Mayor...
context: Cut out the occultism. Mitsuha is just stressed. Right?\Huh? What are you talking about?\You don't remember?\And above all\restoring the town's fiscal health to continue its revitalization project!\Only when these are achieved\can a safe and secure community be created!\As the incumbent Mayor... response:	He'll be re-elected again anyway.
context: Huh? What are you talking about?\You don't remember?\And above all\restoring the town's fiscal health to continue its revitalization project!\Only when these are achieved\can a safe and secure community be created!\As the incumbent Mayor...\He'll be re-elected again anyway. response:	I heard he's been dishing out the pork.
context: You don't remember?\And above all\restoring the town's fiscal health to continue its revitalization project!\Only when these are achieved\can a safe and secure community be created!\As the incumbent Mayor...\He'll be re-elected again anyway.\I heard he's been dishing out the pork. response:	Hey, Miyamizu.
context: And above all\restoring the town's fiscal health to continue its revitalization project!\Only when these are achieved\can a safe and secure community be created!\As the incumbent Mayor...\He'll be re-elected again anyway.\I heard he's been dishing out the pork.\Hey, Miyamizu. response:	Morning.
context: restoring the town's fiscal health to continue its revitalization project!\Only when these are achieved\can a safe and secure community be created!\As the incumbent Mayor...\He'll be re-elected again anyway.\I heard he's been dishing out the pork.\Hey, Miyamizu.\Morning. response:	So the Mayor's kid and his contractor's kid get along too.
context: Only when these are achieved\can a safe and secure community be created!\As the incumbent Mayor...\He'll be re-elected again anyway.\I heard he's been dishing out the pork.\Hey, Miyamizu.\Morning.\So the Mayor's kid and his contractor's kid get along too. response:	Ew.
context: can a safe and secure community be created!\As the incumbent Mayor...\He'll be re-elected again anyway.\I heard he's been dishing out the pork.\Hey, Miyamizu.\Morning.\So the Mayor's kid and his contractor's kid get along too.\Ew. response:	Mitsuha!
context: As the incumbent Mayor...\He'll be re-elected again anyway.\I heard he's been dishing out the pork.\Hey, Miyamizu.\Morning.\So the Mayor's kid and his contractor's kid get along too.\Ew.\Mitsuha! response:	Stand up straight!
context: He'll be re-elected again anyway.\I heard he's been dishing out the pork.\Hey, Miyamizu.\Morning.\So the Mayor's kid and his contractor's kid get along too.\Ew.\Mitsuha!\Stand up straight! response:	- He's strict with his family. - I'm impressed.
context: I heard he's been dishing out the pork.\Hey, Miyamizu.\Morning.\So the Mayor's kid and his contractor's kid get along too.\Ew.\Mitsuha!\Stand up straight!\- He's strict with his family. - I'm impressed. response:	- So embarrassing. - Sucks to be her.
context: Hey, Miyamizu.\Morning.\So the Mayor's kid and his contractor's kid get along too.\Ew.\Mitsuha!\Stand up straight!\- He's strict with his family. - I'm impressed.\- So embarrassing. - Sucks to be her. response:	Mitsuha.
context: Morning.\So the Mayor's kid and his contractor's kid get along too.\Ew.\Mitsuha!\Stand up straight!\- He's strict with his family. - I'm impressed.\- So embarrassing. - Sucks to be her.\Mitsuha. response:	In front of everybody...
context: So the Mayor's kid and his contractor's kid get along too.\Ew.\Mitsuha!\Stand up straight!\- He's strict with his family. - I'm impressed.\- So embarrassing. - Sucks to be her.\Mitsuha.\In front of everybody... response:	Who are you?
context: Ew.\Mitsuha!\Stand up straight!\- He's strict with his family. - I'm impressed.\- So embarrassing. - Sucks to be her.\Mitsuha.\In front of everybody...\Who are you? response:	Tasokare
context: Mitsuha!\Stand up straight!\- He's strict with his family. - I'm impressed.\- So embarrassing. - Sucks to be her.\Mitsuha.\In front of everybody...\Who are you?\Tasokare response:	Tasokare means Twilight and is
context: Stand up straight!\- He's strict with his family. - I'm impressed.\- So embarrassing. - Sucks to be her.\Mitsuha.\In front of everybody...\Who are you?\Tasokare\Tasokare means Twilight and is response:	the origin of the word tasogare-doki
context: - He's strict with his family. - I'm impressed.\- So embarrassing. - Sucks to be her.\Mitsuha.\In front of everybody...\Who are you?\Tasokare\Tasokare means Twilight and is\the origin of the word tasogare-doki response:	Twilight, when it's neither day nor night.
context: - So embarrassing. - Sucks to be her.\Mitsuha.\In front of everybody...\Who are you?\Tasokare\Tasokare means Twilight and is\the origin of the word tasogare-doki\Twilight, when it's neither day nor night. response:	When the world blurs and one might encounter something supernatural.
context: Mitsuha.\In front of everybody...\Who are you?\Tasokare\Tasokare means Twilight and is\the origin of the word tasogare-doki\Twilight, when it's neither day nor night.\When the world blurs and one might encounter something supernatural. response:	Older expressions include Karetaso-doki
context: In front of everybody...\Who are you?\Tasokare\Tasokare means Twilight and is\the origin of the word tasogare-doki\Twilight, when it's neither day nor night.\When the world blurs and one might encounter something supernatural.\Older expressions include Karetaso-doki response:	Karetaso = Twilight
context: Who are you?\Tasokare\Tasokare means Twilight and is\the origin of the word tasogare-doki\Twilight, when it's neither day nor night.\When the world blurs and one might encounter something supernatural.\Older expressions include Karetaso-doki\Karetaso = Twilight response:	Question! Not Kataware-doki?
context: Tasokare\Tasokare means Twilight and is\the origin of the word tasogare-doki\Twilight, when it's neither day nor night.\When the world blurs and one might encounter something supernatural.\Older expressions include Karetaso-doki\Karetaso = Twilight\Question! Not Kataware-doki? response:	Kataware-doki? I think that's a local dialect.
context: Tasokare means Twilight and is\the origin of the word tasogare-doki\Twilight, when it's neither day nor night.\When the world blurs and one might encounter something supernatural.\Older expressions include Karetaso-doki\Karetaso = Twilight\Question! Not Kataware-doki?\Kataware-doki? I think that's a local dialect. response:	I've heard that ltomori's elderly still use the old language.
context: the origin of the word tasogare-doki\Twilight, when it's neither day nor night.\When the world blurs and one might encounter something supernatural.\Older expressions include Karetaso-doki\Karetaso = Twilight\Question! Not Kataware-doki?\Kataware-doki? I think that's a local dialect.\I've heard that ltomori's elderly still use the old language. response:	We're in the boonies, after all.
context: Twilight, when it's neither day nor night.\When the world blurs and one might encounter something supernatural.\Older expressions include Karetaso-doki\Karetaso = Twilight\Question! Not Kataware-doki?\Kataware-doki? I think that's a local dialect.\I've heard that ltomori's elderly still use the old language.\We're in the boonies, after all. response:	Who are you?
context: When the world blurs and one might encounter something supernatural.\Older expressions include Karetaso-doki\Karetaso = Twilight\Question! Not Kataware-doki?\Kataware-doki? I think that's a local dialect.\I've heard that ltomori's elderly still use the old language.\We're in the boonies, after all.\Who are you? response:	OK next, Mitsuha.
context: Older expressions include Karetaso-doki\Karetaso = Twilight\Question! Not Kataware-doki?\Kataware-doki? I think that's a local dialect.\I've heard that ltomori's elderly still use the old language.\We're in the boonies, after all.\Who are you?\OK next, Mitsuha. response:	Yes.
context: Karetaso = Twilight\Question! Not Kataware-doki?\Kataware-doki? I think that's a local dialect.\I've heard that ltomori's elderly still use the old language.\We're in the boonies, after all.\Who are you?\OK next, Mitsuha.\Yes. response:	Oh, so you remember your name today?
context: Question! Not Kataware-doki?\Kataware-doki? I think that's a local dialect.\I've heard that ltomori's elderly still use the old language.\We're in the boonies, after all.\Who are you?\OK next, Mitsuha.\Yes.\Oh, so you remember your name today? response:	You don't remember?
context: Kataware-doki? I think that's a local dialect.\I've heard that ltomori's elderly still use the old language.\We're in the boonies, after all.\Who are you?\OK next, Mitsuha.\Yes.\Oh, so you remember your name today?\You don't remember? response:	Yesterday you forgot where your desk and locker were.
context: I've heard that ltomori's elderly still use the old language.\We're in the boonies, after all.\Who are you?\OK next, Mitsuha.\Yes.\Oh, so you remember your name today?\You don't remember?\Yesterday you forgot where your desk and locker were. response:	You had bedhead and no ribbon.
context: We're in the boonies, after all.\Who are you?\OK next, Mitsuha.\Yes.\Oh, so you remember your name today?\You don't remember?\Yesterday you forgot where your desk and locker were.\You had bedhead and no ribbon. response:	What? No way! Really?
context: Who are you?\OK next, Mitsuha.\Yes.\Oh, so you remember your name today?\You don't remember?\Yesterday you forgot where your desk and locker were.\You had bedhead and no ribbon.\What? No way! Really? response:	It was like you had amnesia.
context: OK next, Mitsuha.\Yes.\Oh, so you remember your name today?\You don't remember?\Yesterday you forgot where your desk and locker were.\You had bedhead and no ribbon.\What? No way! Really?\It was like you had amnesia. response:	Well, I do feel like I've been in a strange dream lately...
context: Yes.\Oh, so you remember your name today?\You don't remember?\Yesterday you forgot where your desk and locker were.\You had bedhead and no ribbon.\What? No way! Really?\It was like you had amnesia.\Well, I do feel like I've been in a strange dream lately... response:	A dream about someone else's life?
context: Oh, so you remember your name today?\You don't remember?\Yesterday you forgot where your desk and locker were.\You had bedhead and no ribbon.\What? No way! Really?\It was like you had amnesia.\Well, I do feel like I've been in a strange dream lately...\A dream about someone else's life? response:	I can't remember clearly.
context: You don't remember?\Yesterday you forgot where your desk and locker were.\You had bedhead and no ribbon.\What? No way! Really?\It was like you had amnesia.\Well, I do feel like I've been in a strange dream lately...\A dream about someone else's life?\I can't remember clearly. response:	I know! That was...
context: Yesterday you forgot where your desk and locker were.\You had bedhead and no ribbon.\What? No way! Really?\It was like you had amnesia.\Well, I do feel like I've been in a strange dream lately...\A dream about someone else's life?\I can't remember clearly.\I know! That was... response:	your previous life!
context: You had bedhead and no ribbon.\What? No way! Really?\It was like you had amnesia.\Well, I do feel like I've been in a strange dream lately...\A dream about someone else's life?\I can't remember clearly.\I know! That was...\your previous life! response:	Or maybe your subconscious linked to the Everett multiverse...
context: What? No way! Really?\It was like you had amnesia.\Well, I do feel like I've been in a strange dream lately...\A dream about someone else's life?\I can't remember clearly.\I know! That was...\your previous life!\Or maybe your subconscious linked to the Everett multiverse... response:	Stay out of this.
context: It was like you had amnesia.\Well, I do feel like I've been in a strange dream lately...\A dream about someone else's life?\I can't remember clearly.\I know! That was...\your previous life!\Or maybe your subconscious linked to the Everett multiverse...\Stay out of this. response:	Oh! Tessie, did you write that in my notebook?
context: Well, I do feel like I've been in a strange dream lately...\A dream about someone else's life?\I can't remember clearly.\I know! That was...\your previous life!\Or maybe your subconscious linked to the Everett multiverse...\Stay out of this.\Oh! Tessie, did you write that in my notebook? response:	Nothing.
context: A dream about someone else's life?\I can't remember clearly.\I know! That was...\your previous life!\Or maybe your subconscious linked to the Everett multiverse...\Stay out of this.\Oh! Tessie, did you write that in my notebook?\Nothing. response:	But Mitsuha, you really were a bit weird yesterday.
context: I can't remember clearly.\I know! That was...\your previous life!\Or maybe your subconscious linked to the Everett multiverse...\Stay out of this.\Oh! Tessie, did you write that in my notebook?\Nothing.\But Mitsuha, you really were a bit weird yesterday. response:	You been feeling alright?
context: I know! That was...\your previous life!\Or maybe your subconscious linked to the Everett multiverse...\Stay out of this.\Oh! Tessie, did you write that in my notebook?\Nothing.\But Mitsuha, you really were a bit weird yesterday.\You been feeling alright? response:	That's so strange. I feel fine.
context: your previous life!\Or maybe your subconscious linked to the Everett multiverse...\Stay out of this.\Oh! Tessie, did you write that in my notebook?\Nothing.\But Mitsuha, you really were a bit weird yesterday.\You been feeling alright?\That's so strange. I feel fine. response:	Maybe it's stress. That ritual is coming up, isn't it?
context: Or maybe your subconscious linked to the Everett multiverse...\Stay out of this.\Oh! Tessie, did you write that in my notebook?\Nothing.\But Mitsuha, you really were a bit weird yesterday.\You been feeling alright?\That's so strange. I feel fine.\Maybe it's stress. That ritual is coming up, isn't it? response:	Oh, don't remind me!
context: Stay out of this.\Oh! Tessie, did you write that in my notebook?\Nothing.\But Mitsuha, you really were a bit weird yesterday.\You been feeling alright?\That's so strange. I feel fine.\Maybe it's stress. That ritual is coming up, isn't it?\Oh, don't remind me! response:	I can't stand this town anymore.
context: Oh! Tessie, did you write that in my notebook?\Nothing.\But Mitsuha, you really were a bit weird yesterday.\You been feeling alright?\That's so strange. I feel fine.\Maybe it's stress. That ritual is coming up, isn't it?\Oh, don't remind me!\I can't stand this town anymore. response:	It's too small and close-knit. I want to graduate and go to Tokyo.
context: Nothing.\But Mitsuha, you really were a bit weird yesterday.\You been feeling alright?\That's so strange. I feel fine.\Maybe it's stress. That ritual is coming up, isn't it?\Oh, don't remind me!\I can't stand this town anymore.\It's too small and close-knit. I want to graduate and go to Tokyo. response:	I don't blame you. There's really nothing here.
context: But Mitsuha, you really were a bit weird yesterday.\You been feeling alright?\That's so strange. I feel fine.\Maybe it's stress. That ritual is coming up, isn't it?\Oh, don't remind me!\I can't stand this town anymore.\It's too small and close-knit. I want to graduate and go to Tokyo.\I don't blame you. There's really nothing here. response:	Trains come every 2 hours.
context: You been feeling alright?\That's so strange. I feel fine.\Maybe it's stress. That ritual is coming up, isn't it?\Oh, don't remind me!\I can't stand this town anymore.\It's too small and close-knit. I want to graduate and go to Tokyo.\I don't blame you. There's really nothing here.\Trains come every 2 hours. response:	The store closes at 8:00 p.m.
context: That's so strange. I feel fine.\Maybe it's stress. That ritual is coming up, isn't it?\Oh, don't remind me!\I can't stand this town anymore.\It's too small and close-knit. I want to graduate and go to Tokyo.\I don't blame you. There's really nothing here.\Trains come every 2 hours.\The store closes at 8:00 p.m. response:	No bookstore. No dentist.
context: Maybe it's stress. That ritual is coming up, isn't it?\Oh, don't remind me!\I can't stand this town anymore.\It's too small and close-knit. I want to graduate and go to Tokyo.\I don't blame you. There's really nothing here.\Trains come every 2 hours.\The store closes at 8:00 p.m.\No bookstore. No dentist. response:	Pub Mother Pub Cat's Eye But 2 pubs for some reason.
context: Oh, don't remind me!\I can't stand this town anymore.\It's too small and close-knit. I want to graduate and go to Tokyo.\I don't blame you. There's really nothing here.\Trains come every 2 hours.\The store closes at 8:00 p.m.\No bookstore. No dentist.\Pub Mother Pub Cat's Eye But 2 pubs for some reason. response:	No jobs.
context: I can't stand this town anymore.\It's too small and close-knit. I want to graduate and go to Tokyo.\I don't blame you. There's really nothing here.\Trains come every 2 hours.\The store closes at 8:00 p.m.\No bookstore. No dentist.\Pub Mother Pub Cat's Eye But 2 pubs for some reason.\No jobs. response:	No brides.
context: It's too small and close-knit. I want to graduate and go to Tokyo.\I don't blame you. There's really nothing here.\Trains come every 2 hours.\The store closes at 8:00 p.m.\No bookstore. No dentist.\Pub Mother Pub Cat's Eye But 2 pubs for some reason.\No jobs.\No brides. response:	Short daylight hours.
context: I don't blame you. There's really nothing here.\Trains come every 2 hours.\The store closes at 8:00 p.m.\No bookstore. No dentist.\Pub Mother Pub Cat's Eye But 2 pubs for some reason.\No jobs.\No brides.\Short daylight hours. response:	- Give me a break! - What?
context: Trains come every 2 hours.\The store closes at 8:00 p.m.\No bookstore. No dentist.\Pub Mother Pub Cat's Eye But 2 pubs for some reason.\No jobs.\No brides.\Short daylight hours.\- Give me a break! - What? response:	I mean... How about we stop by a cafe?
context: The store closes at 8:00 p.m.\No bookstore. No dentist.\Pub Mother Pub Cat's Eye But 2 pubs for some reason.\No jobs.\No brides.\Short daylight hours.\- Give me a break! - What?\I mean... How about we stop by a cafe? response:	- A cafe? - Really?
context: No bookstore. No dentist.\Pub Mother Pub Cat's Eye But 2 pubs for some reason.\No jobs.\No brides.\Short daylight hours.\- Give me a break! - What?\I mean... How about we stop by a cafe?\- A cafe? - Really? response:	Where?
context: Pub Mother Pub Cat's Eye But 2 pubs for some reason.\No jobs.\No brides.\Short daylight hours.\- Give me a break! - What?\I mean... How about we stop by a cafe?\- A cafe? - Really?\Where? response:	Hello.
context: No jobs.\No brides.\Short daylight hours.\- Give me a break! - What?\I mean... How about we stop by a cafe?\- A cafe? - Really?\Where?\Hello. response:	Hello.
context: No brides.\Short daylight hours.\- Give me a break! - What?\I mean... How about we stop by a cafe?\- A cafe? - Really?\Where?\Hello.\Hello. response:	This is a cafe?
context: Short daylight hours.\- Give me a break! - What?\I mean... How about we stop by a cafe?\- A cafe? - Really?\Where?\Hello.\Hello.\This is a cafe? response:	You know there isn't one.
