context: Thank you very much. response:	Okay. We'll take a fifteen minute break before we start the second round.
context: Timing is important,\but you also need to have control.\Still...\How do I get rid of that left hand?\What do I have besides my speed?\If she used 1/10 of that focus on studying,\her grades wouldn't be fifth from the bottom in our grade.\Chihaya Furu response:	Verse 20
context: but you also need to have control.\Still...\How do I get rid of that left hand?\What do I have besides my speed?\If she used 1/10 of that focus on studying,\her grades wouldn't be fifth from the bottom in our grade.\Chihaya Furu\Verse 20 response:	The Cresting Waves Almost Look Like Clouds in the Skies
context: Still...\How do I get rid of that left hand?\What do I have besides my speed?\If she used 1/10 of that focus on studying,\her grades wouldn't be fifth from the bottom in our grade.\Chihaya Furu\Verse 20\The Cresting Waves Almost Look Like Clouds in the Skies response:	I heard that you'll be participating in the tournament
context: How do I get rid of that left hand?\What do I have besides my speed?\If she used 1/10 of that focus on studying,\her grades wouldn't be fifth from the bottom in our grade.\Chihaya Furu\Verse 20\The Cresting Waves Almost Look Like Clouds in the Skies\I heard that you'll be participating in the tournament response:	on Sunday in Kawaguchi.
context: What do I have besides my speed?\If she used 1/10 of that focus on studying,\her grades wouldn't be fifth from the bottom in our grade.\Chihaya Furu\Verse 20\The Cresting Waves Almost Look Like Clouds in the Skies\I heard that you'll be participating in the tournament\on Sunday in Kawaguchi. response:	Yes, I'll do my best!
context: If she used 1/10 of that focus on studying,\her grades wouldn't be fifth from the bottom in our grade.\Chihaya Furu\Verse 20\The Cresting Waves Almost Look Like Clouds in the Skies\I heard that you'll be participating in the tournament\on Sunday in Kawaguchi.\Yes, I'll do my best! response:	I cannot allow you to go.
context: her grades wouldn't be fifth from the bottom in our grade.\Chihaya Furu\Verse 20\The Cresting Waves Almost Look Like Clouds in the Skies\I heard that you'll be participating in the tournament\on Sunday in Kawaguchi.\Yes, I'll do my best!\I cannot allow you to go. response:	What?!
context: Chihaya Furu\Verse 20\The Cresting Waves Almost Look Like Clouds in the Skies\I heard that you'll be participating in the tournament\on Sunday in Kawaguchi.\Yes, I'll do my best!\I cannot allow you to go.\What?! response:	Wh-Why not, Sensei?!
context: Verse 20\The Cresting Waves Almost Look Like Clouds in the Skies\I heard that you'll be participating in the tournament\on Sunday in Kawaguchi.\Yes, I'll do my best!\I cannot allow you to go.\What?!\Wh-Why not, Sensei?! response:	The Yoshino Tournament is the
context: The Cresting Waves Almost Look Like Clouds in the Skies\I heard that you'll be participating in the tournament\on Sunday in Kawaguchi.\Yes, I'll do my best!\I cannot allow you to go.\What?!\Wh-Why not, Sensei?!\The Yoshino Tournament is the response:	last major tournament before the Master/Queen qualifiers!
context: I heard that you'll be participating in the tournament\on Sunday in Kawaguchi.\Yes, I'll do my best!\I cannot allow you to go.\What?!\Wh-Why not, Sensei?!\The Yoshino Tournament is the\last major tournament before the Master/Queen qualifiers! response:	Everyone will be participating as-
context: on Sunday in Kawaguchi.\Yes, I'll do my best!\I cannot allow you to go.\What?!\Wh-Why not, Sensei?!\The Yoshino Tournament is the\last major tournament before the Master/Queen qualifiers!\Everyone will be participating as- response:	What day is the Monday following the tournament?
context: Yes, I'll do my best!\I cannot allow you to go.\What?!\Wh-Why not, Sensei?!\The Yoshino Tournament is the\last major tournament before the Master/Queen qualifiers!\Everyone will be participating as-\What day is the Monday following the tournament? response:	Marine Day?
context: I cannot allow you to go.\What?!\Wh-Why not, Sensei?!\The Yoshino Tournament is the\last major tournament before the Master/Queen qualifiers!\Everyone will be participating as-\What day is the Monday following the tournament?\Marine Day? response:	The first day of exams!
context: What?!\Wh-Why not, Sensei?!\The Yoshino Tournament is the\last major tournament before the Master/Queen qualifiers!\Everyone will be participating as-\What day is the Monday following the tournament?\Marine Day?\The first day of exams! response:	At this rate, you're going to be held back!
context: Wh-Why not, Sensei?!\The Yoshino Tournament is the\last major tournament before the Master/Queen qualifiers!\Everyone will be participating as-\What day is the Monday following the tournament?\Marine Day?\The first day of exams!\At this rate, you're going to be held back! response:	What? Seriously? For real?
context: The Yoshino Tournament is the\last major tournament before the Master/Queen qualifiers!\Everyone will be participating as-\What day is the Monday following the tournament?\Marine Day?\The first day of exams!\At this rate, you're going to be held back!\What? Seriously? For real? response:	I realize that you are dedicated to karuta,
context: last major tournament before the Master/Queen qualifiers!\Everyone will be participating as-\What day is the Monday following the tournament?\Marine Day?\The first day of exams!\At this rate, you're going to be held back!\What? Seriously? For real?\I realize that you are dedicated to karuta, response:	but you need to start thinking about your future.
context: Everyone will be participating as-\What day is the Monday following the tournament?\Marine Day?\The first day of exams!\At this rate, you're going to be held back!\What? Seriously? For real?\I realize that you are dedicated to karuta,\but you need to start thinking about your future. response:	My future...
context: What day is the Monday following the tournament?\Marine Day?\The first day of exams!\At this rate, you're going to be held back!\What? Seriously? For real?\I realize that you are dedicated to karuta,\but you need to start thinking about your future.\My future... response:	Queen
context: Marine Day?\The first day of exams!\At this rate, you're going to be held back!\What? Seriously? For real?\I realize that you are dedicated to karuta,\but you need to start thinking about your future.\My future...\Queen response:	East Qualifier
context: The first day of exams!\At this rate, you're going to be held back!\What? Seriously? For real?\I realize that you are dedicated to karuta,\but you need to start thinking about your future.\My future...\Queen\East Qualifier response:	Shinobu-chan
context: At this rate, you're going to be held back!\What? Seriously? For real?\I realize that you are dedicated to karuta,\but you need to start thinking about your future.\My future...\Queen\East Qualifier\Shinobu-chan response:	Yoshino Tournament
context: What? Seriously? For real?\I realize that you are dedicated to karuta,\but you need to start thinking about your future.\My future...\Queen\East Qualifier\Shinobu-chan\Yoshino Tournament response:	What's recently been on her mind
context: I realize that you are dedicated to karuta,\but you need to start thinking about your future.\My future...\Queen\East Qualifier\Shinobu-chan\Yoshino Tournament\What's recently been on her mind response:	Food
context: but you need to start thinking about your future.\My future...\Queen\East Qualifier\Shinobu-chan\Yoshino Tournament\What's recently been on her mind\Food response:	The new Daddy Bear
context: My future...\Queen\East Qualifier\Shinobu-chan\Yoshino Tournament\What's recently been on her mind\Food\The new Daddy Bear response:	Future
context: Queen\East Qualifier\Shinobu-chan\Yoshino Tournament\What's recently been on her mind\Food\The new Daddy Bear\Future response:	First appearance
context: East Qualifier\Shinobu-chan\Yoshino Tournament\What's recently been on her mind\Food\The new Daddy Bear\Future\First appearance response:	So I found a tutor for you.
context: Shinobu-chan\Yoshino Tournament\What's recently been on her mind\Food\The new Daddy Bear\Future\First appearance\So I found a tutor for you. response:	He'll go over every one of your courses
context: Yoshino Tournament\What's recently been on her mind\Food\The new Daddy Bear\Future\First appearance\So I found a tutor for you.\He'll go over every one of your courses response:	with you in the next two days.
context: What's recently been on her mind\Food\The new Daddy Bear\Future\First appearance\So I found a tutor for you.\He'll go over every one of your courses\with you in the next two days. response:	Don't do this, Desktomu-kun!
context: Food\The new Daddy Bear\Future\First appearance\So I found a tutor for you.\He'll go over every one of your courses\with you in the next two days.\Don't do this, Desktomu-kun! response:	Call me Tutor.
context: The new Daddy Bear\Future\First appearance\So I found a tutor for you.\He'll go over every one of your courses\with you in the next two days.\Don't do this, Desktomu-kun!\Call me Tutor. response:	T-Tutor...
context: Future\First appearance\So I found a tutor for you.\He'll go over every one of your courses\with you in the next two days.\Don't do this, Desktomu-kun!\Call me Tutor.\T-Tutor... response:	Please teach me...
context: First appearance\So I found a tutor for you.\He'll go over every one of your courses\with you in the next two days.\Don't do this, Desktomu-kun!\Call me Tutor.\T-Tutor...\Please teach me... response:	I'm on the verge of failing English and Math...
context: So I found a tutor for you.\He'll go over every one of your courses\with you in the next two days.\Don't do this, Desktomu-kun!\Call me Tutor.\T-Tutor...\Please teach me...\I'm on the verge of failing English and Math... response:	What about the Yoshino Tournament tomorrow?
context: He'll go over every one of your courses\with you in the next two days.\Don't do this, Desktomu-kun!\Call me Tutor.\T-Tutor...\Please teach me...\I'm on the verge of failing English and Math...\What about the Yoshino Tournament tomorrow? response:	I'll be going.
context: with you in the next two days.\Don't do this, Desktomu-kun!\Call me Tutor.\T-Tutor...\Please teach me...\I'm on the verge of failing English and Math...\What about the Yoshino Tournament tomorrow?\I'll be going. response:	Yoshino only has brackets for Class A and Class B,
context: Don't do this, Desktomu-kun!\Call me Tutor.\T-Tutor...\Please teach me...\I'm on the verge of failing English and Math...\What about the Yoshino Tournament tomorrow?\I'll be going.\Yoshino only has brackets for Class A and Class B, response:	so I'll go by myself.
context: Call me Tutor.\T-Tutor...\Please teach me...\I'm on the verge of failing English and Math...\What about the Yoshino Tournament tomorrow?\I'll be going.\Yoshino only has brackets for Class A and Class B,\so I'll go by myself. response:	If we aren't going to practice today,
context: T-Tutor...\Please teach me...\I'm on the verge of failing English and Math...\What about the Yoshino Tournament tomorrow?\I'll be going.\Yoshino only has brackets for Class A and Class B,\so I'll go by myself.\If we aren't going to practice today, response:	I'll head over to the Shiranami Society.
context: Please teach me...\I'm on the verge of failing English and Math...\What about the Yoshino Tournament tomorrow?\I'll be going.\Yoshino only has brackets for Class A and Class B,\so I'll go by myself.\If we aren't going to practice today,\I'll head over to the Shiranami Society. response:	Hey, Mashima.
context: I'm on the verge of failing English and Math...\What about the Yoshino Tournament tomorrow?\I'll be going.\Yoshino only has brackets for Class A and Class B,\so I'll go by myself.\If we aren't going to practice today,\I'll head over to the Shiranami Society.\Hey, Mashima. response:	You placed second at Nationals
context: What about the Yoshino Tournament tomorrow?\I'll be going.\Yoshino only has brackets for Class A and Class B,\so I'll go by myself.\If we aren't going to practice today,\I'll head over to the Shiranami Society.\Hey, Mashima.\You placed second at Nationals response:	and the Saitama tournament, right?
context: I'll be going.\Yoshino only has brackets for Class A and Class B,\so I'll go by myself.\If we aren't going to practice today,\I'll head over to the Shiranami Society.\Hey, Mashima.\You placed second at Nationals\and the Saitama tournament, right? response:	Normally, you're allowed to advance
context: Yoshino only has brackets for Class A and Class B,\so I'll go by myself.\If we aren't going to practice today,\I'll head over to the Shiranami Society.\Hey, Mashima.\You placed second at Nationals\and the Saitama tournament, right?\Normally, you're allowed to advance response:	to Class A if you've placed second twice.
context: so I'll go by myself.\If we aren't going to practice today,\I'll head over to the Shiranami Society.\Hey, Mashima.\You placed second at Nationals\and the Saitama tournament, right?\Normally, you're allowed to advance\to Class A if you've placed second twice. response:	Have you asked the Shiranami Society coach?
context: If we aren't going to practice today,\I'll head over to the Shiranami Society.\Hey, Mashima.\You placed second at Nationals\and the Saitama tournament, right?\Normally, you're allowed to advance\to Class A if you've placed second twice.\Have you asked the Shiranami Society coach? response:	He said that I had to win a tournament first.
context: I'll head over to the Shiranami Society.\Hey, Mashima.\You placed second at Nationals\and the Saitama tournament, right?\Normally, you're allowed to advance\to Class A if you've placed second twice.\Have you asked the Shiranami Society coach?\He said that I had to win a tournament first. response:	You too? That's harsh.
context: Hey, Mashima.\You placed second at Nationals\and the Saitama tournament, right?\Normally, you're allowed to advance\to Class A if you've placed second twice.\Have you asked the Shiranami Society coach?\He said that I had to win a tournament first.\You too? That's harsh. response:	Our society's the same.
context: You placed second at Nationals\and the Saitama tournament, right?\Normally, you're allowed to advance\to Class A if you've placed second twice.\Have you asked the Shiranami Society coach?\He said that I had to win a tournament first.\You too? That's harsh.\Our society's the same. response:	So when I told everyone I won...
context: and the Saitama tournament, right?\Normally, you're allowed to advance\to Class A if you've placed second twice.\Have you asked the Shiranami Society coach?\He said that I had to win a tournament first.\You too? That's harsh.\Our society's the same.\So when I told everyone I won... response:	It's awesome, Yusei!
context: Normally, you're allowed to advance\to Class A if you've placed second twice.\Have you asked the Shiranami Society coach?\He said that I had to win a tournament first.\You too? That's harsh.\Our society's the same.\So when I told everyone I won...\It's awesome, Yusei! response:	It was all thanks to Coach and the other players at this society.
context: to Class A if you've placed second twice.\Have you asked the Shiranami Society coach?\He said that I had to win a tournament first.\You too? That's harsh.\Our society's the same.\So when I told everyone I won...\It's awesome, Yusei!\It was all thanks to Coach and the other players at this society. response:	Idiot!
context: Have you asked the Shiranami Society coach?\He said that I had to win a tournament first.\You too? That's harsh.\Our society's the same.\So when I told everyone I won...\It's awesome, Yusei!\It was all thanks to Coach and the other players at this society.\Idiot! response:	Don't make me mad, boy!
context: He said that I had to win a tournament first.\You too? That's harsh.\Our society's the same.\So when I told everyone I won...\It's awesome, Yusei!\It was all thanks to Coach and the other players at this society.\Idiot!\Don't make me mad, boy! response:	Your friends are the reason the old you,
context: You too? That's harsh.\Our society's the same.\So when I told everyone I won...\It's awesome, Yusei!\It was all thanks to Coach and the other players at this society.\Idiot!\Don't make me mad, boy!\Your friends are the reason the old you, response:	who hates to lose, is back!
context: Our society's the same.\So when I told everyone I won...\It's awesome, Yusei!\It was all thanks to Coach and the other players at this society.\Idiot!\Don't make me mad, boy!\Your friends are the reason the old you,\who hates to lose, is back! response:	Isn't that right?!
context: So when I told everyone I won...\It's awesome, Yusei!\It was all thanks to Coach and the other players at this society.\Idiot!\Don't make me mad, boy!\Your friends are the reason the old you,\who hates to lose, is back!\Isn't that right?! response:	I can only advance if I win, so that's what I'll have to do.
context: It's awesome, Yusei!\It was all thanks to Coach and the other players at this society.\Idiot!\Don't make me mad, boy!\Your friends are the reason the old you,\who hates to lose, is back!\Isn't that right?!\I can only advance if I win, so that's what I'll have to do. response:	I'm off then.
context: It was all thanks to Coach and the other players at this society.\Idiot!\Don't make me mad, boy!\Your friends are the reason the old you,\who hates to lose, is back!\Isn't that right?!\I can only advance if I win, so that's what I'll have to do.\I'm off then. response:	Yoshino Tournament...
context: Idiot!\Don't make me mad, boy!\Your friends are the reason the old you,\who hates to lose, is back!\Isn't that right?!\I can only advance if I win, so that's what I'll have to do.\I'm off then.\Yoshino Tournament... response:	If he wants to play in this year's Eastern qualifier...
context: Don't make me mad, boy!\Your friends are the reason the old you,\who hates to lose, is back!\Isn't that right?!\I can only advance if I win, so that's what I'll have to do.\I'm off then.\Yoshino Tournament...\If he wants to play in this year's Eastern qualifier... response:	If he wants to make Class A this year...
context: Your friends are the reason the old you,\who hates to lose, is back!\Isn't that right?!\I can only advance if I win, so that's what I'll have to do.\I'm off then.\Yoshino Tournament...\If he wants to play in this year's Eastern qualifier...\If he wants to make Class A this year... response:	This is his last chance!
context: who hates to lose, is back!\Isn't that right?!\I can only advance if I win, so that's what I'll have to do.\I'm off then.\Yoshino Tournament...\If he wants to play in this year's Eastern qualifier...\If he wants to make Class A this year...\This is his last chance! response:	It's too late to try to learn anything!
context: Isn't that right?!\I can only advance if I win, so that's what I'll have to do.\I'm off then.\Yoshino Tournament...\If he wants to play in this year's Eastern qualifier...\If he wants to make Class A this year...\This is his last chance!\It's too late to try to learn anything! response:	So memorize! Memorize!
context: I can only advance if I win, so that's what I'll have to do.\I'm off then.\Yoshino Tournament...\If he wants to play in this year's Eastern qualifier...\If he wants to make Class A this year...\This is his last chance!\It's too late to try to learn anything!\So memorize! Memorize! response:	Treat this like a match and memorize hard!
context: I'm off then.\Yoshino Tournament...\If he wants to play in this year's Eastern qualifier...\If he wants to make Class A this year...\This is his last chance!\It's too late to try to learn anything!\So memorize! Memorize!\Treat this like a match and memorize hard! response:	But I'll forget it all before the test.
context: Yoshino Tournament...\If he wants to play in this year's Eastern qualifier...\If he wants to make Class A this year...\This is his last chance!\It's too late to try to learn anything!\So memorize! Memorize!\Treat this like a match and memorize hard!\But I'll forget it all before the test. response:	I made it past the second round!
context: If he wants to play in this year's Eastern qualifier...\If he wants to make Class A this year...\This is his last chance!\It's too late to try to learn anything!\So memorize! Memorize!\Treat this like a match and memorize hard!\But I'll forget it all before the test.\I made it past the second round! response:	I'm on a roll today.
context: If he wants to make Class A this year...\This is his last chance!\It's too late to try to learn anything!\So memorize! Memorize!\Treat this like a match and memorize hard!\But I'll forget it all before the test.\I made it past the second round!\I'm on a roll today. response:	Okay...
context: This is his last chance!\It's too late to try to learn anything!\So memorize! Memorize!\Treat this like a match and memorize hard!\But I'll forget it all before the test.\I made it past the second round!\I'm on a roll today.\Okay... response:	Starting with the next round,
context: It's too late to try to learn anything!\So memorize! Memorize!\Treat this like a match and memorize hard!\But I'll forget it all before the test.\I made it past the second round!\I'm on a roll today.\Okay...\Starting with the next round, response:	my matches will be in the same room
context: So memorize! Memorize!\Treat this like a match and memorize hard!\But I'll forget it all before the test.\I made it past the second round!\I'm on a roll today.\Okay...\Starting with the next round,\my matches will be in the same room response:	as the Class A matches.
context: Treat this like a match and memorize hard!\But I'll forget it all before the test.\I made it past the second round!\I'm on a roll today.\Okay...\Starting with the next round,\my matches will be in the same room\as the Class A matches. response:	Eyebrows.
context: But I'll forget it all before the test.\I made it past the second round!\I'm on a roll today.\Okay...\Starting with the next round,\my matches will be in the same room\as the Class A matches.\Eyebrows. response:	You're winning games.
context: I made it past the second round!\I'm on a roll today.\Okay...\Starting with the next round,\my matches will be in the same room\as the Class A matches.\Eyebrows.\You're winning games. response:	How are you doing, Dr. Harada?
context: I'm on a roll today.\Okay...\Starting with the next round,\my matches will be in the same room\as the Class A matches.\Eyebrows.\You're winning games.\How are you doing, Dr. Harada? response:	I'm winning, of course.
context: Okay...\Starting with the next round,\my matches will be in the same room\as the Class A matches.\Eyebrows.\You're winning games.\How are you doing, Dr. Harada?\I'm winning, of course. response:	I'm playing the best karuta I can, today.
context: Starting with the next round,\my matches will be in the same room\as the Class A matches.\Eyebrows.\You're winning games.\How are you doing, Dr. Harada?\I'm winning, of course.\I'm playing the best karuta I can, today. response:	The strongest Class A players all participate
context: my matches will be in the same room\as the Class A matches.\Eyebrows.\You're winning games.\How are you doing, Dr. Harada?\I'm winning, of course.\I'm playing the best karuta I can, today.\The strongest Class A players all participate response:	in the Yoshino Tournament to prepare for the Master Qualifiers.
context: as the Class A matches.\Eyebrows.\You're winning games.\How are you doing, Dr. Harada?\I'm winning, of course.\I'm playing the best karuta I can, today.\The strongest Class A players all participate\in the Yoshino Tournament to prepare for the Master Qualifiers. response:	There are players from Kansai and Kyushu here.
context: Eyebrows.\You're winning games.\How are you doing, Dr. Harada?\I'm winning, of course.\I'm playing the best karuta I can, today.\The strongest Class A players all participate\in the Yoshino Tournament to prepare for the Master Qualifiers.\There are players from Kansai and Kyushu here. response:	It's an excellent chance to see how you match up against the best.
context: You're winning games.\How are you doing, Dr. Harada?\I'm winning, of course.\I'm playing the best karuta I can, today.\The strongest Class A players all participate\in the Yoshino Tournament to prepare for the Master Qualifiers.\There are players from Kansai and Kyushu here.\It's an excellent chance to see how you match up against the best. response:	Everyone's preparing for the Master qualifiers...
context: How are you doing, Dr. Harada?\I'm winning, of course.\I'm playing the best karuta I can, today.\The strongest Class A players all participate\in the Yoshino Tournament to prepare for the Master Qualifiers.\There are players from Kansai and Kyushu here.\It's an excellent chance to see how you match up against the best.\Everyone's preparing for the Master qualifiers... response:	So am I.
context: I'm winning, of course.\I'm playing the best karuta I can, today.\The strongest Class A players all participate\in the Yoshino Tournament to prepare for the Master Qualifiers.\There are players from Kansai and Kyushu here.\It's an excellent chance to see how you match up against the best.\Everyone's preparing for the Master qualifiers...\So am I. response:	That reminds me. Have you run into him yet?
context: I'm playing the best karuta I can, today.\The strongest Class A players all participate\in the Yoshino Tournament to prepare for the Master Qualifiers.\There are players from Kansai and Kyushu here.\It's an excellent chance to see how you match up against the best.\Everyone's preparing for the Master qualifiers...\So am I.\That reminds me. Have you run into him yet? response:	Huh?
context: The strongest Class A players all participate\in the Yoshino Tournament to prepare for the Master Qualifiers.\There are players from Kansai and Kyushu here.\It's an excellent chance to see how you match up against the best.\Everyone's preparing for the Master qualifiers...\So am I.\That reminds me. Have you run into him yet?\Huh? response:	Huh?
context: in the Yoshino Tournament to prepare for the Master Qualifiers.\There are players from Kansai and Kyushu here.\It's an excellent chance to see how you match up against the best.\Everyone's preparing for the Master qualifiers...\So am I.\That reminds me. Have you run into him yet?\Huh?\Huh? response:	Hey, hasn't Ayase been in the restroom a while?
context: There are players from Kansai and Kyushu here.\It's an excellent chance to see how you match up against the best.\Everyone's preparing for the Master qualifiers...\So am I.\That reminds me. Have you run into him yet?\Huh?\Huh?\Hey, hasn't Ayase been in the restroom a while? response:	Number two. That or she fell asleep.
context: It's an excellent chance to see how you match up against the best.\Everyone's preparing for the Master qualifiers...\So am I.\That reminds me. Have you run into him yet?\Huh?\Huh?\Hey, hasn't Ayase been in the restroom a while?\Number two. That or she fell asleep. response:	Forgot to put my phone on vibrate.
context: Everyone's preparing for the Master qualifiers...\So am I.\That reminds me. Have you run into him yet?\Huh?\Huh?\Hey, hasn't Ayase been in the restroom a while?\Number two. That or she fell asleep.\Forgot to put my phone on vibrate. response:	Sorry, Tutor. I'm going to cheer for Taichi. -Chihaya
context: So am I.\That reminds me. Have you run into him yet?\Huh?\Huh?\Hey, hasn't Ayase been in the restroom a while?\Number two. That or she fell asleep.\Forgot to put my phone on vibrate.\Sorry, Tutor. I'm going to cheer for Taichi. -Chihaya response:	That fool!
context: That reminds me. Have you run into him yet?\Huh?\Huh?\Hey, hasn't Ayase been in the restroom a while?\Number two. That or she fell asleep.\Forgot to put my phone on vibrate.\Sorry, Tutor. I'm going to cheer for Taichi. -Chihaya\That fool! response:	Huh?
context: Huh?\Huh?\Hey, hasn't Ayase been in the restroom a while?\Number two. That or she fell asleep.\Forgot to put my phone on vibrate.\Sorry, Tutor. I'm going to cheer for Taichi. -Chihaya\That fool!\Huh? response:	Kuriyama-kun!
context: Huh?\Hey, hasn't Ayase been in the restroom a while?\Number two. That or she fell asleep.\Forgot to put my phone on vibrate.\Sorry, Tutor. I'm going to cheer for Taichi. -Chihaya\That fool!\Huh?\Kuriyama-kun! response:	Harada-kun!
context: Hey, hasn't Ayase been in the restroom a while?\Number two. That or she fell asleep.\Forgot to put my phone on vibrate.\Sorry, Tutor. I'm going to cheer for Taichi. -Chihaya\That fool!\Huh?\Kuriyama-kun!\Harada-kun! response:	It's been ages since the last time you came to Kanto!
context: Number two. That or she fell asleep.\Forgot to put my phone on vibrate.\Sorry, Tutor. I'm going to cheer for Taichi. -Chihaya\That fool!\Huh?\Kuriyama-kun!\Harada-kun!\It's been ages since the last time you came to Kanto! response:	My knees have been killing me,
context: Forgot to put my phone on vibrate.\Sorry, Tutor. I'm going to cheer for Taichi. -Chihaya\That fool!\Huh?\Kuriyama-kun!\Harada-kun!\It's been ages since the last time you came to Kanto!\My knees have been killing me, response:	but I had to come along
context: Sorry, Tutor. I'm going to cheer for Taichi. -Chihaya\That fool!\Huh?\Kuriyama-kun!\Harada-kun!\It's been ages since the last time you came to Kanto!\My knees have been killing me,\but I had to come along response:	since so many of our players are participating.
context: That fool!\Huh?\Kuriyama-kun!\Harada-kun!\It's been ages since the last time you came to Kanto!\My knees have been killing me,\but I had to come along\since so many of our players are participating. response:	Mr. Kuriyama and Dr. Harada
context: Huh?\Kuriyama-kun!\Harada-kun!\It's been ages since the last time you came to Kanto!\My knees have been killing me,\but I had to come along\since so many of our players are participating.\Mr. Kuriyama and Dr. Harada response:	You need to get those knees patched up
context: Kuriyama-kun!\Harada-kun!\It's been ages since the last time you came to Kanto!\My knees have been killing me,\but I had to come along\since so many of our players are participating.\Mr. Kuriyama and Dr. Harada\You need to get those knees patched up response:	have been rivals since they were young.
context: Harada-kun!\It's been ages since the last time you came to Kanto!\My knees have been killing me,\but I had to come along\since so many of our players are participating.\Mr. Kuriyama and Dr. Harada\You need to get those knees patched up\have been rivals since they were young. response:	so you can play karuta again.
