context: Wanting to make someone smile is a wonderful thing, isn't it? response:	That's what being an Undine is all about!
context: It smells delicious.\I'm quite proud of this dish. It has cheese in it!\My, my. I'm looking forward to it.\Thank you for waiting, President Aria.\President Aria, you don't seem like your usual self.\Are you reading the Nyan Nyan Puu comic strip like you always do?\Huh? You're not?\This is... an article about the Ca' d'Oro? response:	Let's see...
context: I'm quite proud of this dish. It has cheese in it!\My, my. I'm looking forward to it.\Thank you for waiting, President Aria.\President Aria, you don't seem like your usual self.\Are you reading the Nyan Nyan Puu comic strip like you always do?\Huh? You're not?\This is... an article about the Ca' d'Oro?\Let's see... response:	The Ca' d'Oro, a Gothic architectural masterpiece brought directly from Manhome's Venice...
context: My, my. I'm looking forward to it.\Thank you for waiting, President Aria.\President Aria, you don't seem like your usual self.\Are you reading the Nyan Nyan Puu comic strip like you always do?\Huh? You're not?\This is... an article about the Ca' d'Oro?\Let's see...\The Ca' d'Oro, a Gothic architectural masterpiece brought directly from Manhome's Venice... response:	You were reading this article? That's our President!
context: Thank you for waiting, President Aria.\President Aria, you don't seem like your usual self.\Are you reading the Nyan Nyan Puu comic strip like you always do?\Huh? You're not?\This is... an article about the Ca' d'Oro?\Let's see...\The Ca' d'Oro, a Gothic architectural masterpiece brought directly from Manhome's Venice...\You were reading this article? That's our President! response:	Nyan Nyan Puu Perfect Guide Book coming soon?
context: President Aria, you don't seem like your usual self.\Are you reading the Nyan Nyan Puu comic strip like you always do?\Huh? You're not?\This is... an article about the Ca' d'Oro?\Let's see...\The Ca' d'Oro, a Gothic architectural masterpiece brought directly from Manhome's Venice...\You were reading this article? That's our President!\Nyan Nyan Puu Perfect Guide Book coming soon? response:	My, my, President Aria. You're in a good mood this morning.
context: Are you reading the Nyan Nyan Puu comic strip like you always do?\Huh? You're not?\This is... an article about the Ca' d'Oro?\Let's see...\The Ca' d'Oro, a Gothic architectural masterpiece brought directly from Manhome's Venice...\You were reading this article? That's our President!\Nyan Nyan Puu Perfect Guide Book coming soon?\My, my, President Aria. You're in a good mood this morning. response:	Do you remember that day Oboeteimasuka ano hi o
context: Huh? You're not?\This is... an article about the Ca' d'Oro?\Let's see...\The Ca' d'Oro, a Gothic architectural masterpiece brought directly from Manhome's Venice...\You were reading this article? That's our President!\Nyan Nyan Puu Perfect Guide Book coming soon?\My, my, President Aria. You're in a good mood this morning.\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: This is... an article about the Ca' d'Oro?\Let's see...\The Ca' d'Oro, a Gothic architectural masterpiece brought directly from Manhome's Venice...\You were reading this article? That's our President!\Nyan Nyan Puu Perfect Guide Book coming soon?\My, my, President Aria. You're in a good mood this morning.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: Let's see...\The Ca' d'Oro, a Gothic architectural masterpiece brought directly from Manhome's Venice...\You were reading this article? That's our President!\Nyan Nyan Puu Perfect Guide Book coming soon?\My, my, President Aria. You're in a good mood this morning.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: The Ca' d'Oro, a Gothic architectural masterpiece brought directly from Manhome's Venice...\You were reading this article? That's our President!\Nyan Nyan Puu Perfect Guide Book coming soon?\My, my, President Aria. You're in a good mood this morning.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: You were reading this article? That's our President!\Nyan Nyan Puu Perfect Guide Book coming soon?\My, my, President Aria. You're in a good mood this morning.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: Nyan Nyan Puu Perfect Guide Book coming soon?\My, my, President Aria. You're in a good mood this morning.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi
context: My, my, President Aria. You're in a good mood this morning.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru response:	When you climb the next hill, Tsugi no saka o nobottara
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara response:	Let's meet again Mata aimashou
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou response:	Good morning, Aika!
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\Good morning, Aika! response:	You're late!
context: I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\Good morning, Aika!\You're late! response:	Those Feelings Within...
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\Good morning, Aika!\You're late!\Those Feelings Within... response:	I read that article about the restoration work this morning, too.
context: An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\Good morning, Aika!\You're late!\Those Feelings Within...\I read that article about the restoration work this morning, too. response:	It's because so many of the buildings in this city were brought from Manhome.
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\Good morning, Aika!\You're late!\Those Feelings Within...\I read that article about the restoration work this morning, too.\It's because so many of the buildings in this city were brought from Manhome. response:	Like the Teatro La Fenice and the Accademia di Belle Arti, right?
context: When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\Good morning, Aika!\You're late!\Those Feelings Within...\I read that article about the restoration work this morning, too.\It's because so many of the buildings in this city were brought from Manhome.\Like the Teatro La Fenice and the Accademia di Belle Arti, right? response:	There's also the Basilica di Santa Maria della Salute.
context: Let's meet again Mata aimashou\Good morning, Aika!\You're late!\Those Feelings Within...\I read that article about the restoration work this morning, too.\It's because so many of the buildings in this city were brought from Manhome.\Like the Teatro La Fenice and the Accademia di Belle Arti, right?\There's also the Basilica di Santa Maria della Salute. response:	There's another church too, the Basilica di San Giorgio Maggiore.
context: Good morning, Aika!\You're late!\Those Feelings Within...\I read that article about the restoration work this morning, too.\It's because so many of the buildings in this city were brought from Manhome.\Like the Teatro La Fenice and the Accademia di Belle Arti, right?\There's also the Basilica di Santa Maria della Salute.\There's another church too, the Basilica di San Giorgio Maggiore. response:	And the Chiesa del Redentore.
context: You're late!\Those Feelings Within...\I read that article about the restoration work this morning, too.\It's because so many of the buildings in this city were brought from Manhome.\Like the Teatro La Fenice and the Accademia di Belle Arti, right?\There's also the Basilica di Santa Maria della Salute.\There's another church too, the Basilica di San Giorgio Maggiore.\And the Chiesa del Redentore. response:	Speaking of buildings brought over from Manhome, Caffe Florian was brought over too, right?
context: Those Feelings Within...\I read that article about the restoration work this morning, too.\It's because so many of the buildings in this city were brought from Manhome.\Like the Teatro La Fenice and the Accademia di Belle Arti, right?\There's also the Basilica di Santa Maria della Salute.\There's another church too, the Basilica di San Giorgio Maggiore.\And the Chiesa del Redentore.\Speaking of buildings brought over from Manhome, Caffe Florian was brought over too, right? response:	Yes. You can really get a sense of its long history from the beautiful rooms inside.
context: I read that article about the restoration work this morning, too.\It's because so many of the buildings in this city were brought from Manhome.\Like the Teatro La Fenice and the Accademia di Belle Arti, right?\There's also the Basilica di Santa Maria della Salute.\There's another church too, the Basilica di San Giorgio Maggiore.\And the Chiesa del Redentore.\Speaking of buildings brought over from Manhome, Caffe Florian was brought over too, right?\Yes. You can really get a sense of its long history from the beautiful rooms inside. response:	Oh, really? I wish I could see it.
context: It's because so many of the buildings in this city were brought from Manhome.\Like the Teatro La Fenice and the Accademia di Belle Arti, right?\There's also the Basilica di Santa Maria della Salute.\There's another church too, the Basilica di San Giorgio Maggiore.\And the Chiesa del Redentore.\Speaking of buildings brought over from Manhome, Caffe Florian was brought over too, right?\Yes. You can really get a sense of its long history from the beautiful rooms inside.\Oh, really? I wish I could see it. response:	Wha-?! You've never been inside?
context: Like the Teatro La Fenice and the Accademia di Belle Arti, right?\There's also the Basilica di Santa Maria della Salute.\There's another church too, the Basilica di San Giorgio Maggiore.\And the Chiesa del Redentore.\Speaking of buildings brought over from Manhome, Caffe Florian was brought over too, right?\Yes. You can really get a sense of its long history from the beautiful rooms inside.\Oh, really? I wish I could see it.\Wha-?! You've never been inside? response:	Yeah.
context: There's also the Basilica di Santa Maria della Salute.\There's another church too, the Basilica di San Giorgio Maggiore.\And the Chiesa del Redentore.\Speaking of buildings brought over from Manhome, Caffe Florian was brought over too, right?\Yes. You can really get a sense of its long history from the beautiful rooms inside.\Oh, really? I wish I could see it.\Wha-?! You've never been inside?\Yeah. response:	That's really surprising since you're friends with the owner, Akari.
context: There's another church too, the Basilica di San Giorgio Maggiore.\And the Chiesa del Redentore.\Speaking of buildings brought over from Manhome, Caffe Florian was brought over too, right?\Yes. You can really get a sense of its long history from the beautiful rooms inside.\Oh, really? I wish I could see it.\Wha-?! You've never been inside?\Yeah.\That's really surprising since you're friends with the owner, Akari. response:	Since we're on the subject, why don't we go have some tea?
context: And the Chiesa del Redentore.\Speaking of buildings brought over from Manhome, Caffe Florian was brought over too, right?\Yes. You can really get a sense of its long history from the beautiful rooms inside.\Oh, really? I wish I could see it.\Wha-?! You've never been inside?\Yeah.\That's really surprising since you're friends with the owner, Akari.\Since we're on the subject, why don't we go have some tea? response:	Good idea. Let's go there for our break.
context: Speaking of buildings brought over from Manhome, Caffe Florian was brought over too, right?\Yes. You can really get a sense of its long history from the beautiful rooms inside.\Oh, really? I wish I could see it.\Wha-?! You've never been inside?\Yeah.\That's really surprising since you're friends with the owner, Akari.\Since we're on the subject, why don't we go have some tea?\Good idea. Let's go there for our break. response:	Yay! I get to see the inside!
context: Yes. You can really get a sense of its long history from the beautiful rooms inside.\Oh, really? I wish I could see it.\Wha-?! You've never been inside?\Yeah.\That's really surprising since you're friends with the owner, Akari.\Since we're on the subject, why don't we go have some tea?\Good idea. Let's go there for our break.\Yay! I get to see the inside! response:	I can't wait, President Aria!
context: Oh, really? I wish I could see it.\Wha-?! You've never been inside?\Yeah.\That's really surprising since you're friends with the owner, Akari.\Since we're on the subject, why don't we go have some tea?\Good idea. Let's go there for our break.\Yay! I get to see the inside!\I can't wait, President Aria! response:	P-President Aria?
context: Wha-?! You've never been inside?\Yeah.\That's really surprising since you're friends with the owner, Akari.\Since we're on the subject, why don't we go have some tea?\Good idea. Let's go there for our break.\Yay! I get to see the inside!\I can't wait, President Aria!\P-President Aria? response:	What's the matter, President Aria? Are you all right?
context: Yeah.\That's really surprising since you're friends with the owner, Akari.\Since we're on the subject, why don't we go have some tea?\Good idea. Let's go there for our break.\Yay! I get to see the inside!\I can't wait, President Aria!\P-President Aria?\What's the matter, President Aria? Are you all right? response:	Oh yeah, last month they started restoration work on this building too, didn't they?
context: That's really surprising since you're friends with the owner, Akari.\Since we're on the subject, why don't we go have some tea?\Good idea. Let's go there for our break.\Yay! I get to see the inside!\I can't wait, President Aria!\P-President Aria?\What's the matter, President Aria? Are you all right?\Oh yeah, last month they started restoration work on this building too, didn't they? response:	Wow... Those are such big paintings...
context: Since we're on the subject, why don't we go have some tea?\Good idea. Let's go there for our break.\Yay! I get to see the inside!\I can't wait, President Aria!\P-President Aria?\What's the matter, President Aria? Are you all right?\Oh yeah, last month they started restoration work on this building too, didn't they?\Wow... Those are such big paintings... response:	A student from the Neo-Venezia Art University did the artwork on the scaffold wraps.
context: Good idea. Let's go there for our break.\Yay! I get to see the inside!\I can't wait, President Aria!\P-President Aria?\What's the matter, President Aria? Are you all right?\Oh yeah, last month they started restoration work on this building too, didn't they?\Wow... Those are such big paintings...\A student from the Neo-Venezia Art University did the artwork on the scaffold wraps. response:	A student did?
context: Yay! I get to see the inside!\I can't wait, President Aria!\P-President Aria?\What's the matter, President Aria? Are you all right?\Oh yeah, last month they started restoration work on this building too, didn't they?\Wow... Those are such big paintings...\A student from the Neo-Venezia Art University did the artwork on the scaffold wraps.\A student did? response:	Students had to submit their designs, and then the student who was chosen got to paint the wraps.
context: I can't wait, President Aria!\P-President Aria?\What's the matter, President Aria? Are you all right?\Oh yeah, last month they started restoration work on this building too, didn't they?\Wow... Those are such big paintings...\A student from the Neo-Venezia Art University did the artwork on the scaffold wraps.\A student did?\Students had to submit their designs, and then the student who was chosen got to paint the wraps. response:	I heard it was really competitive.
context: P-President Aria?\What's the matter, President Aria? Are you all right?\Oh yeah, last month they started restoration work on this building too, didn't they?\Wow... Those are such big paintings...\A student from the Neo-Venezia Art University did the artwork on the scaffold wraps.\A student did?\Students had to submit their designs, and then the student who was chosen got to paint the wraps.\I heard it was really competitive. response:	Because in a sense, the wraps will be the city's face while they do the restoration.
context: What's the matter, President Aria? Are you all right?\Oh yeah, last month they started restoration work on this building too, didn't they?\Wow... Those are such big paintings...\A student from the Neo-Venezia Art University did the artwork on the scaffold wraps.\A student did?\Students had to submit their designs, and then the student who was chosen got to paint the wraps.\I heard it was really competitive.\Because in a sense, the wraps will be the city's face while they do the restoration. response:	Once the restoration work is complete, there won't be a use for them anymore, right?
context: Oh yeah, last month they started restoration work on this building too, didn't they?\Wow... Those are such big paintings...\A student from the Neo-Venezia Art University did the artwork on the scaffold wraps.\A student did?\Students had to submit their designs, and then the student who was chosen got to paint the wraps.\I heard it was really competitive.\Because in a sense, the wraps will be the city's face while they do the restoration.\Once the restoration work is complete, there won't be a use for them anymore, right? response:	But even if it's just for a short while, they'll delight everyone, visitors and locals alike.
context: Wow... Those are such big paintings...\A student from the Neo-Venezia Art University did the artwork on the scaffold wraps.\A student did?\Students had to submit their designs, and then the student who was chosen got to paint the wraps.\I heard it was really competitive.\Because in a sense, the wraps will be the city's face while they do the restoration.\Once the restoration work is complete, there won't be a use for them anymore, right?\But even if it's just for a short while, they'll delight everyone, visitors and locals alike. response:	So in a way, it's Neo-Venezia's very own method of showing hospitality. How wonderful!
context: A student from the Neo-Venezia Art University did the artwork on the scaffold wraps.\A student did?\Students had to submit their designs, and then the student who was chosen got to paint the wraps.\I heard it was really competitive.\Because in a sense, the wraps will be the city's face while they do the restoration.\Once the restoration work is complete, there won't be a use for them anymore, right?\But even if it's just for a short while, they'll delight everyone, visitors and locals alike.\So in a way, it's Neo-Venezia's very own method of showing hospitality. How wonderful! response:	No sappy lines allowed!
context: A student did?\Students had to submit their designs, and then the student who was chosen got to paint the wraps.\I heard it was really competitive.\Because in a sense, the wraps will be the city's face while they do the restoration.\Once the restoration work is complete, there won't be a use for them anymore, right?\But even if it's just for a short while, they'll delight everyone, visitors and locals alike.\So in a way, it's Neo-Venezia's very own method of showing hospitality. How wonderful!\No sappy lines allowed! response:	Huh?!
context: Students had to submit their designs, and then the student who was chosen got to paint the wraps.\I heard it was really competitive.\Because in a sense, the wraps will be the city's face while they do the restoration.\Once the restoration work is complete, there won't be a use for them anymore, right?\But even if it's just for a short while, they'll delight everyone, visitors and locals alike.\So in a way, it's Neo-Venezia's very own method of showing hospitality. How wonderful!\No sappy lines allowed!\Huh?! response:	What is it, Junior?
context: I heard it was really competitive.\Because in a sense, the wraps will be the city's face while they do the restoration.\Once the restoration work is complete, there won't be a use for them anymore, right?\But even if it's just for a short while, they'll delight everyone, visitors and locals alike.\So in a way, it's Neo-Venezia's very own method of showing hospitality. How wonderful!\No sappy lines allowed!\Huh?!\What is it, Junior? response:	There's a bunch of people over there.
context: Because in a sense, the wraps will be the city's face while they do the restoration.\Once the restoration work is complete, there won't be a use for them anymore, right?\But even if it's just for a short while, they'll delight everyone, visitors and locals alike.\So in a way, it's Neo-Venezia's very own method of showing hospitality. How wonderful!\No sappy lines allowed!\Huh?!\What is it, Junior?\There's a bunch of people over there. response:	I wonder if they're selling something?
context: Once the restoration work is complete, there won't be a use for them anymore, right?\But even if it's just for a short while, they'll delight everyone, visitors and locals alike.\So in a way, it's Neo-Venezia's very own method of showing hospitality. How wonderful!\No sappy lines allowed!\Huh?!\What is it, Junior?\There's a bunch of people over there.\I wonder if they're selling something? response:	Let's go see!
context: But even if it's just for a short while, they'll delight everyone, visitors and locals alike.\So in a way, it's Neo-Venezia's very own method of showing hospitality. How wonderful!\No sappy lines allowed!\Huh?!\What is it, Junior?\There's a bunch of people over there.\I wonder if they're selling something?\Let's go see! response:	Here you go. Thank you very much.
context: So in a way, it's Neo-Venezia's very own method of showing hospitality. How wonderful!\No sappy lines allowed!\Huh?!\What is it, Junior?\There's a bunch of people over there.\I wonder if they're selling something?\Let's go see!\Here you go. Thank you very much. response:	How cute!
context: No sappy lines allowed!\Huh?!\What is it, Junior?\There's a bunch of people over there.\I wonder if they're selling something?\Let's go see!\Here you go. Thank you very much.\How cute! response:	Are those bottled sweets?
context: Huh?!\What is it, Junior?\There's a bunch of people over there.\I wonder if they're selling something?\Let's go see!\Here you go. Thank you very much.\How cute!\Are those bottled sweets? response:	I'd like one, please. Are those bottled sweets?
context: What is it, Junior?\There's a bunch of people over there.\I wonder if they're selling something?\Let's go see!\Here you go. Thank you very much.\How cute!\Are those bottled sweets?\I'd like one, please. Are those bottled sweets? response:	I'd like one, please.
context: There's a bunch of people over there.\I wonder if they're selling something?\Let's go see!\Here you go. Thank you very much.\How cute!\Are those bottled sweets?\I'd like one, please. Are those bottled sweets?\I'd like one, please. response:	Huh? That guy...
context: I wonder if they're selling something?\Let's go see!\Here you go. Thank you very much.\How cute!\Are those bottled sweets?\I'd like one, please. Are those bottled sweets?\I'd like one, please.\Huh? That guy... response:	Here you go. Thank you. Huh? That guy...
context: Let's go see!\Here you go. Thank you very much.\How cute!\Are those bottled sweets?\I'd like one, please. Are those bottled sweets?\I'd like one, please.\Huh? That guy...\Here you go. Thank you. Huh? That guy... response:	Here you go. Thank you. Isn't he a patissier at the Hotel Appresso's restaurant?
context: Here you go. Thank you very much.\How cute!\Are those bottled sweets?\I'd like one, please. Are those bottled sweets?\I'd like one, please.\Huh? That guy...\Here you go. Thank you. Huh? That guy...\Here you go. Thank you. Isn't he a patissier at the Hotel Appresso's restaurant? response:	Isn't he a patissier at the Hotel Appresso's restaurant?
context: How cute!\Are those bottled sweets?\I'd like one, please. Are those bottled sweets?\I'd like one, please.\Huh? That guy...\Here you go. Thank you. Huh? That guy...\Here you go. Thank you. Isn't he a patissier at the Hotel Appresso's restaurant?\Isn't he a patissier at the Hotel Appresso's restaurant? response:	Thank you! Isn't he a patissier at the Hotel Appresso's restaurant?
context: Are those bottled sweets?\I'd like one, please. Are those bottled sweets?\I'd like one, please.\Huh? That guy...\Here you go. Thank you. Huh? That guy...\Here you go. Thank you. Isn't he a patissier at the Hotel Appresso's restaurant?\Isn't he a patissier at the Hotel Appresso's restaurant?\Thank you! Isn't he a patissier at the Hotel Appresso's restaurant? response:	Isn't he a patissier at the Hotel Appresso's restaurant?
