context: High School Championship Tokyo Regional Final Tournament Bracket response:	Mizusawa High School Homei High School Hokuo Academy Shoha High School
context: How can you say that, President Amakasu?!\Have you forgotten how we were humiliated last year?!\We must defeat Mizusawa and reclaim our trophy!\What? That's too much effort.\Whatever.\We still have our Retrot cards.\Tell us the enemy order so we can win\with a minimal amount of effort. response:	We'll go after those three.
context: Have you forgotten how we were humiliated last year?!\We must defeat Mizusawa and reclaim our trophy!\What? That's too much effort.\Whatever.\We still have our Retrot cards.\Tell us the enemy order so we can win\with a minimal amount of effort.\We'll go after those three. response:	Mizusawa has one Class B and two Class C players.
context: We must defeat Mizusawa and reclaim our trophy!\What? That's too much effort.\Whatever.\We still have our Retrot cards.\Tell us the enemy order so we can win\with a minimal amount of effort.\We'll go after those three.\Mizusawa has one Class B and two Class C players. response:	If we know their order, we can guarantee three wins.
context: What? That's too much effort.\Whatever.\We still have our Retrot cards.\Tell us the enemy order so we can win\with a minimal amount of effort.\We'll go after those three.\Mizusawa has one Class B and two Class C players.\If we know their order, we can guarantee three wins. response:	Retro's never been wrong before.
context: Whatever.\We still have our Retrot cards.\Tell us the enemy order so we can win\with a minimal amount of effort.\We'll go after those three.\Mizusawa has one Class B and two Class C players.\If we know their order, we can guarantee three wins.\Retro's never been wrong before. response:	Well, we're counting on you.
context: We still have our Retrot cards.\Tell us the enemy order so we can win\with a minimal amount of effort.\We'll go after those three.\Mizusawa has one Class B and two Class C players.\If we know their order, we can guarantee three wins.\Retro's never been wrong before.\Well, we're counting on you. response:	Retrot
context: Tell us the enemy order so we can win\with a minimal amount of effort.\We'll go after those three.\Mizusawa has one Class B and two Class C players.\If we know their order, we can guarantee three wins.\Retro's never been wrong before.\Well, we're counting on you.\Retrot response:	Chihaya Furu
context: with a minimal amount of effort.\We'll go after those three.\Mizusawa has one Class B and two Class C players.\If we know their order, we can guarantee three wins.\Retro's never been wrong before.\Well, we're counting on you.\Retrot\Chihaya Furu response:	Verse 5
context: We'll go after those three.\Mizusawa has one Class B and two Class C players.\If we know their order, we can guarantee three wins.\Retro's never been wrong before.\Well, we're counting on you.\Retrot\Chihaya Furu\Verse 5 response:	Be as dear now, those were the good old days
context: Mizusawa has one Class B and two Class C players.\If we know their order, we can guarantee three wins.\Retro's never been wrong before.\Well, we're counting on you.\Retrot\Chihaya Furu\Verse 5\Be as dear now, those were the good old days response:	Hey, why do they put all the responsibility on you?
context: If we know their order, we can guarantee three wins.\Retro's never been wrong before.\Well, we're counting on you.\Retrot\Chihaya Furu\Verse 5\Be as dear now, those were the good old days\Hey, why do they put all the responsibility on you? response:	Are you getting enough rest?
context: Retro's never been wrong before.\Well, we're counting on you.\Retrot\Chihaya Furu\Verse 5\Be as dear now, those were the good old days\Hey, why do they put all the responsibility on you?\Are you getting enough rest? response:	Well?
context: Well, we're counting on you.\Retrot\Chihaya Furu\Verse 5\Be as dear now, those were the good old days\Hey, why do they put all the responsibility on you?\Are you getting enough rest?\Well? response:	What order should we go with?
context: Retrot\Chihaya Furu\Verse 5\Be as dear now, those were the good old days\Hey, why do they put all the responsibility on you?\Are you getting enough rest?\Well?\What order should we go with? response:	Not sure.
context: Chihaya Furu\Verse 5\Be as dear now, those were the good old days\Hey, why do they put all the responsibility on you?\Are you getting enough rest?\Well?\What order should we go with?\Not sure. response:	It'll help if we can out think Hokuo.
context: Verse 5\Be as dear now, those were the good old days\Hey, why do they put all the responsibility on you?\Are you getting enough rest?\Well?\What order should we go with?\Not sure.\It'll help if we can out think Hokuo. response:	But it's great that we still go to Nationals, even if we lose.
context: Be as dear now, those were the good old days\Hey, why do they put all the responsibility on you?\Are you getting enough rest?\Well?\What order should we go with?\Not sure.\It'll help if we can out think Hokuo.\But it's great that we still go to Nationals, even if we lose. response:	This means we can relax...
context: Hey, why do they put all the responsibility on you?\Are you getting enough rest?\Well?\What order should we go with?\Not sure.\It'll help if we can out think Hokuo.\But it's great that we still go to Nationals, even if we lose.\This means we can relax... response:	What are you talking about?
context: Are you getting enough rest?\Well?\What order should we go with?\Not sure.\It'll help if we can out think Hokuo.\But it's great that we still go to Nationals, even if we lose.\This means we can relax...\What are you talking about? response:	Our goal is to become number one in Japan!
context: Well?\What order should we go with?\Not sure.\It'll help if we can out think Hokuo.\But it's great that we still go to Nationals, even if we lose.\This means we can relax...\What are you talking about?\Our goal is to become number one in Japan! response:	To become number one in Japan, we can never lose!
context: What order should we go with?\Not sure.\It'll help if we can out think Hokuo.\But it's great that we still go to Nationals, even if we lose.\This means we can relax...\What are you talking about?\Our goal is to become number one in Japan!\To become number one in Japan, we can never lose! response:	Hokuo will give us their best shot.
context: Not sure.\It'll help if we can out think Hokuo.\But it's great that we still go to Nationals, even if we lose.\This means we can relax...\What are you talking about?\Our goal is to become number one in Japan!\To become number one in Japan, we can never lose!\Hokuo will give us their best shot. response:	We'll take it back next year!
context: It'll help if we can out think Hokuo.\But it's great that we still go to Nationals, even if we lose.\This means we can relax...\What are you talking about?\Our goal is to become number one in Japan!\To become number one in Japan, we can never lose!\Hokuo will give us their best shot.\We'll take it back next year! response:	We get to play a 100 serious match!
context: But it's great that we still go to Nationals, even if we lose.\This means we can relax...\What are you talking about?\Our goal is to become number one in Japan!\To become number one in Japan, we can never lose!\Hokuo will give us their best shot.\We'll take it back next year!\We get to play a 100 serious match! response:	Well, it's a good idea to aim high.
context: This means we can relax...\What are you talking about?\Our goal is to become number one in Japan!\To become number one in Japan, we can never lose!\Hokuo will give us their best shot.\We'll take it back next year!\We get to play a 100 serious match!\Well, it's a good idea to aim high. response:	I'm a little worried about the ultimate weapon Retro-kun mentioned.
context: What are you talking about?\Our goal is to become number one in Japan!\To become number one in Japan, we can never lose!\Hokuo will give us their best shot.\We'll take it back next year!\We get to play a 100 serious match!\Well, it's a good idea to aim high.\I'm a little worried about the ultimate weapon Retro-kun mentioned. response:	Here, drink this.
context: Our goal is to become number one in Japan!\To become number one in Japan, we can never lose!\Hokuo will give us their best shot.\We'll take it back next year!\We get to play a 100 serious match!\Well, it's a good idea to aim high.\I'm a little worried about the ultimate weapon Retro-kun mentioned.\Here, drink this. response:	Honestly, you can't do anything without me.
context: To become number one in Japan, we can never lose!\Hokuo will give us their best shot.\We'll take it back next year!\We get to play a 100 serious match!\Well, it's a good idea to aim high.\I'm a little worried about the ultimate weapon Retro-kun mentioned.\Here, drink this.\Honestly, you can't do anything without me. response:	S-Sis?!
context: Hokuo will give us their best shot.\We'll take it back next year!\We get to play a 100 serious match!\Well, it's a good idea to aim high.\I'm a little worried about the ultimate weapon Retro-kun mentioned.\Here, drink this.\Honestly, you can't do anything without me.\S-Sis?! response:	I got a boyfriend recently who's totally hooked on me!
context: We'll take it back next year!\We get to play a 100 serious match!\Well, it's a good idea to aim high.\I'm a little worried about the ultimate weapon Retro-kun mentioned.\Here, drink this.\Honestly, you can't do anything without me.\S-Sis?!\I got a boyfriend recently who's totally hooked on me! response:	Retro-kun is her boyfriend?!
context: We get to play a 100 serious match!\Well, it's a good idea to aim high.\I'm a little worried about the ultimate weapon Retro-kun mentioned.\Here, drink this.\Honestly, you can't do anything without me.\S-Sis?!\I got a boyfriend recently who's totally hooked on me!\Retro-kun is her boyfriend?! response:	Is this the ultimate weapon he mentioned?!
context: Well, it's a good idea to aim high.\I'm a little worried about the ultimate weapon Retro-kun mentioned.\Here, drink this.\Honestly, you can't do anything without me.\S-Sis?!\I got a boyfriend recently who's totally hooked on me!\Retro-kun is her boyfriend?!\Is this the ultimate weapon he mentioned?! response:	Excuse me.
context: I'm a little worried about the ultimate weapon Retro-kun mentioned.\Here, drink this.\Honestly, you can't do anything without me.\S-Sis?!\I got a boyfriend recently who's totally hooked on me!\Retro-kun is her boyfriend?!\Is this the ultimate weapon he mentioned?!\Excuse me. response:	I went over to scout the other team
context: Here, drink this.\Honestly, you can't do anything without me.\S-Sis?!\I got a boyfriend recently who's totally hooked on me!\Retro-kun is her boyfriend?!\Is this the ultimate weapon he mentioned?!\Excuse me.\I went over to scout the other team response:	during their semi-final match,
context: Honestly, you can't do anything without me.\S-Sis?!\I got a boyfriend recently who's totally hooked on me!\Retro-kun is her boyfriend?!\Is this the ultimate weapon he mentioned?!\Excuse me.\I went over to scout the other team\during their semi-final match, response:	and I heard their president talking, since he wasn't playing.
context: S-Sis?!\I got a boyfriend recently who's totally hooked on me!\Retro-kun is her boyfriend?!\Is this the ultimate weapon he mentioned?!\Excuse me.\I went over to scout the other team\during their semi-final match,\and I heard their president talking, since he wasn't playing. response:	It'll be easy to win against Mizusawa.
context: I got a boyfriend recently who's totally hooked on me!\Retro-kun is her boyfriend?!\Is this the ultimate weapon he mentioned?!\Excuse me.\I went over to scout the other team\during their semi-final match,\and I heard their president talking, since he wasn't playing.\It'll be easy to win against Mizusawa. response:	I just have to beat Mashima.
context: Retro-kun is her boyfriend?!\Is this the ultimate weapon he mentioned?!\Excuse me.\I went over to scout the other team\during their semi-final match,\and I heard their president talking, since he wasn't playing.\It'll be easy to win against Mizusawa.\I just have to beat Mashima. response:	We only need three wins.
context: Is this the ultimate weapon he mentioned?!\Excuse me.\I went over to scout the other team\during their semi-final match,\and I heard their president talking, since he wasn't playing.\It'll be easy to win against Mizusawa.\I just have to beat Mashima.\We only need three wins. response:	Any one of our regular starters
context: Excuse me.\I went over to scout the other team\during their semi-final match,\and I heard their president talking, since he wasn't playing.\It'll be easy to win against Mizusawa.\I just have to beat Mashima.\We only need three wins.\Any one of our regular starters response:	can beat glasses boy and boobie girl.
context: I went over to scout the other team\during their semi-final match,\and I heard their president talking, since he wasn't playing.\It'll be easy to win against Mizusawa.\I just have to beat Mashima.\We only need three wins.\Any one of our regular starters\can beat glasses boy and boobie girl. response:	Huh? He ignored us?
context: during their semi-final match,\and I heard their president talking, since he wasn't playing.\It'll be easy to win against Mizusawa.\I just have to beat Mashima.\We only need three wins.\Any one of our regular starters\can beat glasses boy and boobie girl.\Huh? He ignored us? response:	No way!
context: and I heard their president talking, since he wasn't playing.\It'll be easy to win against Mizusawa.\I just have to beat Mashima.\We only need three wins.\Any one of our regular starters\can beat glasses boy and boobie girl.\Huh? He ignored us?\No way! response:	They wouldn't be so conservative in the final match!
context: It'll be easy to win against Mizusawa.\I just have to beat Mashima.\We only need three wins.\Any one of our regular starters\can beat glasses boy and boobie girl.\Huh? He ignored us?\No way!\They wouldn't be so conservative in the final match! response:	No, Chihaya.
context: I just have to beat Mashima.\We only need three wins.\Any one of our regular starters\can beat glasses boy and boobie girl.\Huh? He ignored us?\No way!\They wouldn't be so conservative in the final match!\No, Chihaya. response:	This is how the strong schools play.
context: We only need three wins.\Any one of our regular starters\can beat glasses boy and boobie girl.\Huh? He ignored us?\No way!\They wouldn't be so conservative in the final match!\No, Chihaya.\This is how the strong schools play. response:	It makes sense to focus on securing wins.
context: Any one of our regular starters\can beat glasses boy and boobie girl.\Huh? He ignored us?\No way!\They wouldn't be so conservative in the final match!\No, Chihaya.\This is how the strong schools play.\It makes sense to focus on securing wins. response:	If they can guess our order, they'll use that against us.
context: can beat glasses boy and boobie girl.\Huh? He ignored us?\No way!\They wouldn't be so conservative in the final match!\No, Chihaya.\This is how the strong schools play.\It makes sense to focus on securing wins.\If they can guess our order, they'll use that against us. response:	That's fine.
context: Huh? He ignored us?\No way!\They wouldn't be so conservative in the final match!\No, Chihaya.\This is how the strong schools play.\It makes sense to focus on securing wins.\If they can guess our order, they'll use that against us.\That's fine. response:	We just need one or two of us to pull off an upset!
context: No way!\They wouldn't be so conservative in the final match!\No, Chihaya.\This is how the strong schools play.\It makes sense to focus on securing wins.\If they can guess our order, they'll use that against us.\That's fine.\We just need one or two of us to pull off an upset! response:	I just have to beat Mashima.
context: They wouldn't be so conservative in the final match!\No, Chihaya.\This is how the strong schools play.\It makes sense to focus on securing wins.\If they can guess our order, they'll use that against us.\That's fine.\We just need one or two of us to pull off an upset!\I just have to beat Mashima. response:	I'm mad now!
context: No, Chihaya.\This is how the strong schools play.\It makes sense to focus on securing wins.\If they can guess our order, they'll use that against us.\That's fine.\We just need one or two of us to pull off an upset!\I just have to beat Mashima.\I'm mad now! response:	Any one of our regular starters
context: This is how the strong schools play.\It makes sense to focus on securing wins.\If they can guess our order, they'll use that against us.\That's fine.\We just need one or two of us to pull off an upset!\I just have to beat Mashima.\I'm mad now!\Any one of our regular starters response:	can beat glasses boy and boobie girl.
context: It makes sense to focus on securing wins.\If they can guess our order, they'll use that against us.\That's fine.\We just need one or two of us to pull off an upset!\I just have to beat Mashima.\I'm mad now!\Any one of our regular starters\can beat glasses boy and boobie girl. response:	I'll make him regret that!
context: If they can guess our order, they'll use that against us.\That's fine.\We just need one or two of us to pull off an upset!\I just have to beat Mashima.\I'm mad now!\Any one of our regular starters\can beat glasses boy and boobie girl.\I'll make him regret that! response:	Boobie girl?!
context: That's fine.\We just need one or two of us to pull off an upset!\I just have to beat Mashima.\I'm mad now!\Any one of our regular starters\can beat glasses boy and boobie girl.\I'll make him regret that!\Boobie girl?! response:	Our captain wants us to become number one in Japan!
context: We just need one or two of us to pull off an upset!\I just have to beat Mashima.\I'm mad now!\Any one of our regular starters\can beat glasses boy and boobie girl.\I'll make him regret that!\Boobie girl?!\Our captain wants us to become number one in Japan! response:	No trickery!
context: I just have to beat Mashima.\I'm mad now!\Any one of our regular starters\can beat glasses boy and boobie girl.\I'll make him regret that!\Boobie girl?!\Our captain wants us to become number one in Japan!\No trickery! response:	Nishida Yusei Oe Kana Ayase Chihaya Komano Tsutomu Mashima Taichi
context: I'm mad now!\Any one of our regular starters\can beat glasses boy and boobie girl.\I'll make him regret that!\Boobie girl?!\Our captain wants us to become number one in Japan!\No trickery!\Nishida Yusei Oe Kana Ayase Chihaya Komano Tsutomu Mashima Taichi response:	Here's the order we'll use!
context: Any one of our regular starters\can beat glasses boy and boobie girl.\I'll make him regret that!\Boobie girl?!\Our captain wants us to become number one in Japan!\No trickery!\Nishida Yusei Oe Kana Ayase Chihaya Komano Tsutomu Mashima Taichi\Here's the order we'll use! response:	Oh, I'll turn in the order.
context: can beat glasses boy and boobie girl.\I'll make him regret that!\Boobie girl?!\Our captain wants us to become number one in Japan!\No trickery!\Nishida Yusei Oe Kana Ayase Chihaya Komano Tsutomu Mashima Taichi\Here's the order we'll use!\Oh, I'll turn in the order. response:	Yeah, thanks.
context: I'll make him regret that!\Boobie girl?!\Our captain wants us to become number one in Japan!\No trickery!\Nishida Yusei Oe Kana Ayase Chihaya Komano Tsutomu Mashima Taichi\Here's the order we'll use!\Oh, I'll turn in the order.\Yeah, thanks. response:	Wait, hey!
context: Boobie girl?!\Our captain wants us to become number one in Japan!\No trickery!\Nishida Yusei Oe Kana Ayase Chihaya Komano Tsutomu Mashima Taichi\Here's the order we'll use!\Oh, I'll turn in the order.\Yeah, thanks.\Wait, hey! response:	Not again! Why you...
context: Our captain wants us to become number one in Japan!\No trickery!\Nishida Yusei Oe Kana Ayase Chihaya Komano Tsutomu Mashima Taichi\Here's the order we'll use!\Oh, I'll turn in the order.\Yeah, thanks.\Wait, hey!\Not again! Why you... response:	But Oe-senpai looks a little tired.
context: No trickery!\Nishida Yusei Oe Kana Ayase Chihaya Komano Tsutomu Mashima Taichi\Here's the order we'll use!\Oh, I'll turn in the order.\Yeah, thanks.\Wait, hey!\Not again! Why you...\But Oe-senpai looks a little tired. response:	That doesn't make it okay to change anything!
context: Nishida Yusei Oe Kana Ayase Chihaya Komano Tsutomu Mashima Taichi\Here's the order we'll use!\Oh, I'll turn in the order.\Yeah, thanks.\Wait, hey!\Not again! Why you...\But Oe-senpai looks a little tired.\That doesn't make it okay to change anything! response:	You lost your match earlier!
context: Here's the order we'll use!\Oh, I'll turn in the order.\Yeah, thanks.\Wait, hey!\Not again! Why you...\But Oe-senpai looks a little tired.\That doesn't make it okay to change anything!\You lost your match earlier! response:	But I was getting better as I played.
context: Oh, I'll turn in the order.\Yeah, thanks.\Wait, hey!\Not again! Why you...\But Oe-senpai looks a little tired.\That doesn't make it okay to change anything!\You lost your match earlier!\But I was getting better as I played. response:	I think I can win my next match!
context: Yeah, thanks.\Wait, hey!\Not again! Why you...\But Oe-senpai looks a little tired.\That doesn't make it okay to change anything!\You lost your match earlier!\But I was getting better as I played.\I think I can win my next match! response:	Your methods are wrong.
context: Wait, hey!\Not again! Why you...\But Oe-senpai looks a little tired.\That doesn't make it okay to change anything!\You lost your match earlier!\But I was getting better as I played.\I think I can win my next match!\Your methods are wrong. response:	But! But!
context: Not again! Why you...\But Oe-senpai looks a little tired.\That doesn't make it okay to change anything!\You lost your match earlier!\But I was getting better as I played.\I think I can win my next match!\Your methods are wrong.\But! But! response:	I'll be more useful than someone who's tired!
context: But Oe-senpai looks a little tired.\That doesn't make it okay to change anything!\You lost your match earlier!\But I was getting better as I played.\I think I can win my next match!\Your methods are wrong.\But! But!\I'll be more useful than someone who's tired! response:	Enough!
context: That doesn't make it okay to change anything!\You lost your match earlier!\But I was getting better as I played.\I think I can win my next match!\Your methods are wrong.\But! But!\I'll be more useful than someone who's tired!\Enough! response:	Starting today, the boys in this club aren't allowed
context: You lost your match earlier!\But I was getting better as I played.\I think I can win my next match!\Your methods are wrong.\But! But!\I'll be more useful than someone who's tired!\Enough!\Starting today, the boys in this club aren't allowed response:	to start sentences with but!
context: But I was getting better as I played.\I think I can win my next match!\Your methods are wrong.\But! But!\I'll be more useful than someone who's tired!\Enough!\Starting today, the boys in this club aren't allowed\to start sentences with but! response:	What?!
context: I think I can win my next match!\Your methods are wrong.\But! But!\I'll be more useful than someone who's tired!\Enough!\Starting today, the boys in this club aren't allowed\to start sentences with but!\What?! response:	Just the boys?!
context: Your methods are wrong.\But! But!\I'll be more useful than someone who's tired!\Enough!\Starting today, the boys in this club aren't allowed\to start sentences with but!\What?!\Just the boys?! response:	We're sticking with a second-year order!
context: But! But!\I'll be more useful than someone who's tired!\Enough!\Starting today, the boys in this club aren't allowed\to start sentences with but!\What?!\Just the boys?!\We're sticking with a second-year order! response:	You're a spectator, Tsukuba!
context: I'll be more useful than someone who's tired!\Enough!\Starting today, the boys in this club aren't allowed\to start sentences with but!\What?!\Just the boys?!\We're sticking with a second-year order!\You're a spectator, Tsukuba! response:	Good thing I'm a girl.
context: Enough!\Starting today, the boys in this club aren't allowed\to start sentences with but!\What?!\Just the boys?!\We're sticking with a second-year order!\You're a spectator, Tsukuba!\Good thing I'm a girl. response:	The president snapped...
context: Starting today, the boys in this club aren't allowed\to start sentences with but!\What?!\Just the boys?!\We're sticking with a second-year order!\You're a spectator, Tsukuba!\Good thing I'm a girl.\The president snapped... response:	Ta-Taichi...
context: to start sentences with but!\What?!\Just the boys?!\We're sticking with a second-year order!\You're a spectator, Tsukuba!\Good thing I'm a girl.\The president snapped...\Ta-Taichi... response:	Why are you telling them not to use but?
context: What?!\Just the boys?!\We're sticking with a second-year order!\You're a spectator, Tsukuba!\Good thing I'm a girl.\The president snapped...\Ta-Taichi...\Why are you telling them not to use but? response:	I've been following that rule since third grade.
context: Just the boys?!\We're sticking with a second-year order!\You're a spectator, Tsukuba!\Good thing I'm a girl.\The president snapped...\Ta-Taichi...\Why are you telling them not to use but?\I've been following that rule since third grade. response:	Huh?
context: We're sticking with a second-year order!\You're a spectator, Tsukuba!\Good thing I'm a girl.\The president snapped...\Ta-Taichi...\Why are you telling them not to use but?\I've been following that rule since third grade.\Huh? response:	Men should never begin a sentence with the word but!
context: You're a spectator, Tsukuba!\Good thing I'm a girl.\The president snapped...\Ta-Taichi...\Why are you telling them not to use but?\I've been following that rule since third grade.\Huh?\Men should never begin a sentence with the word but! response:	I didn't always agree with my mother,
context: Good thing I'm a girl.\The president snapped...\Ta-Taichi...\Why are you telling them not to use but?\I've been following that rule since third grade.\Huh?\Men should never begin a sentence with the word but!\I didn't always agree with my mother, response:	but she taught me to pay attention to when I'm making excuses.
context: The president snapped...\Ta-Taichi...\Why are you telling them not to use but?\I've been following that rule since third grade.\Huh?\Men should never begin a sentence with the word but!\I didn't always agree with my mother,\but she taught me to pay attention to when I'm making excuses. response:	I'm a little scared of your mom...
context: Ta-Taichi...\Why are you telling them not to use but?\I've been following that rule since third grade.\Huh?\Men should never begin a sentence with the word but!\I didn't always agree with my mother,\but she taught me to pay attention to when I'm making excuses.\I'm a little scared of your mom... response:	but that's incredible.
context: Why are you telling them not to use but?\I've been following that rule since third grade.\Huh?\Men should never begin a sentence with the word but!\I didn't always agree with my mother,\but she taught me to pay attention to when I'm making excuses.\I'm a little scared of your mom...\but that's incredible. response:	Your mom helped you become strong.
context: I've been following that rule since third grade.\Huh?\Men should never begin a sentence with the word but!\I didn't always agree with my mother,\but she taught me to pay attention to when I'm making excuses.\I'm a little scared of your mom...\but that's incredible.\Your mom helped you become strong. response:	This year, Hokuo is lead by the third-year Class A Amakasu.
context: Huh?\Men should never begin a sentence with the word but!\I didn't always agree with my mother,\but she taught me to pay attention to when I'm making excuses.\I'm a little scared of your mom...\but that's incredible.\Your mom helped you become strong.\This year, Hokuo is lead by the third-year Class A Amakasu. response:	The first-year Shiroyama is also in Class A.
context: Men should never begin a sentence with the word but!\I didn't always agree with my mother,\but she taught me to pay attention to when I'm making excuses.\I'm a little scared of your mom...\but that's incredible.\Your mom helped you become strong.\This year, Hokuo is lead by the third-year Class A Amakasu.\The first-year Shiroyama is also in Class A. response:	A first-year in Class A?
context: I didn't always agree with my mother,\but she taught me to pay attention to when I'm making excuses.\I'm a little scared of your mom...\but that's incredible.\Your mom helped you become strong.\This year, Hokuo is lead by the third-year Class A Amakasu.\The first-year Shiroyama is also in Class A.\A first-year in Class A? response:	The other players are in Class B.
context: but she taught me to pay attention to when I'm making excuses.\I'm a little scared of your mom...\but that's incredible.\Your mom helped you become strong.\This year, Hokuo is lead by the third-year Class A Amakasu.\The first-year Shiroyama is also in Class A.\A first-year in Class A?\The other players are in Class B. response:	Schools with real coaches have way more depth.
context: I'm a little scared of your mom...\but that's incredible.\Your mom helped you become strong.\This year, Hokuo is lead by the third-year Class A Amakasu.\The first-year Shiroyama is also in Class A.\A first-year in Class A?\The other players are in Class B.\Schools with real coaches have way more depth. response:	Our coach is a science and PE teacher.
context: but that's incredible.\Your mom helped you become strong.\This year, Hokuo is lead by the third-year Class A Amakasu.\The first-year Shiroyama is also in Class A.\A first-year in Class A?\The other players are in Class B.\Schools with real coaches have way more depth.\Our coach is a science and PE teacher. response:	Okay, everyone! We've reached the final!
context: Your mom helped you become strong.\This year, Hokuo is lead by the third-year Class A Amakasu.\The first-year Shiroyama is also in Class A.\A first-year in Class A?\The other players are in Class B.\Schools with real coaches have way more depth.\Our coach is a science and PE teacher.\Okay, everyone! We've reached the final! response:	Stay focused!
context: This year, Hokuo is lead by the third-year Class A Amakasu.\The first-year Shiroyama is also in Class A.\A first-year in Class A?\The other players are in Class B.\Schools with real coaches have way more depth.\Our coach is a science and PE teacher.\Okay, everyone! We've reached the final!\Stay focused! response:	To ensure that all the practice we put in after
context: The first-year Shiroyama is also in Class A.\A first-year in Class A?\The other players are in Class B.\Schools with real coaches have way more depth.\Our coach is a science and PE teacher.\Okay, everyone! We've reached the final!\Stay focused!\To ensure that all the practice we put in after response:	last year's loss will pay off, I have an ultimate weapon...
context: A first-year in Class A?\The other players are in Class B.\Schools with real coaches have way more depth.\Our coach is a science and PE teacher.\Okay, everyone! We've reached the final!\Stay focused!\To ensure that all the practice we put in after\last year's loss will pay off, I have an ultimate weapon... response:	We lost last year because we
context: The other players are in Class B.\Schools with real coaches have way more depth.\Our coach is a science and PE teacher.\Okay, everyone! We've reached the final!\Stay focused!\To ensure that all the practice we put in after\last year's loss will pay off, I have an ultimate weapon...\We lost last year because we response:	correctly guessed their order, but failed to use that advantage.
context: Schools with real coaches have way more depth.\Our coach is a science and PE teacher.\Okay, everyone! We've reached the final!\Stay focused!\To ensure that all the practice we put in after\last year's loss will pay off, I have an ultimate weapon...\We lost last year because we\correctly guessed their order, but failed to use that advantage. response:	That won't be an issue this year.
context: Our coach is a science and PE teacher.\Okay, everyone! We've reached the final!\Stay focused!\To ensure that all the practice we put in after\last year's loss will pay off, I have an ultimate weapon...\We lost last year because we\correctly guessed their order, but failed to use that advantage.\That won't be an issue this year. response:	This will be easy.
context: Okay, everyone! We've reached the final!\Stay focused!\To ensure that all the practice we put in after\last year's loss will pay off, I have an ultimate weapon...\We lost last year because we\correctly guessed their order, but failed to use that advantage.\That won't be an issue this year.\This will be easy. response:	Retro's Projected Order Oe (C) - Shiroyama Ayase (A) - Kameda Mashima (B) - Amakas Nishida (A) - Takuma Komano (C) - Kinashi <- Me
context: Stay focused!\To ensure that all the practice we put in after\last year's loss will pay off, I have an ultimate weapon...\We lost last year because we\correctly guessed their order, but failed to use that advantage.\That won't be an issue this year.\This will be easy.\Retro's Projected Order Oe (C) - Shiroyama Ayase (A) - Kameda Mashima (B) - Amakas Nishida (A) - Takuma Komano (C) - Kinashi <- Me response:	Even if we lose to Ayase and Nishida,
